ID;SalesAndConsumption;SBI93;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4;WeightFactor_5;IndexNumbers_6;MonthOnMonthDevelopment_7;YearOnYearDevelopment_8
2192;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2006 September;5982;110.0;0.2;4.0;5982;110.0;0.2;4.0
2193;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2006 October;5982;110.0;0.4;4.2;5982;110.0;0.4;4.2
2194;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2006 November;5982;111.0;0.1;4.3;5982;111.0;0.1;4.3
2195;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2006 December;5982;110.0;-0.1;4.2;5982;110.0;-0.1;4.2
2196;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2006;5982;109.0;;3.6;5982;109.0;;3.6
2197;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 January;5982;114.0;3.5;5.7;5982;114.0;3.5;5.7
2198;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 February;5982;115.0;0.2;5.6;5982;115.0;0.2;5.6
2199;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 March;5982;115.0;0.1;5.5;5982;115.0;0.1;5.5
2200;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 April;5982;115.0;0.5;5.7;5982;115.0;0.5;5.7
2201;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 May;5982;115.0;0.0;5.7;5982;115.0;0.0;5.7
2202;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 June;5982;115.0;0.1;5.7;5982;115.0;0.1;5.7
2203;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 July;5982;116.0;0.2;5.4;5982;116.0;0.2;5.4
2204;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 August;5982;116.0;0.0;5.3;5982;116.0;0.0;5.3
2205;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 September;5982;116.0;0.0;5.1;5982;116.0;0.0;5.1
2206;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 October;5982;116.0;0.4;5.1;5982;116.0;0.4;5.1
2207;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 November;5982;116.0;0.1;5.1;5982;116.0;0.1;5.1
2208;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007 December;5982;116.0;0.0;5.2;5982;116.0;0.0;5.2
2209;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2007;5982;115.0;;5.4;5982;115.0;;5.4
2210;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 January;5982;120.0;3.1;4.7;5982;120.0;3.1;4.7
2211;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 February;5982;120.0;0.0;4.5;5982;120.0;0.0;4.5
2212;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 March;5982;120.0;0.0;4.5;5982;120.0;0.0;4.5
2213;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 April;5982;121.0;0.6;4.6;5982;121.0;0.6;4.6
2214;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 May;5982;121.0;0.0;4.7;5982;121.0;0.0;4.7
2215;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 June;5982;121.0;0.1;4.6;5982;121.0;0.1;4.6
2216;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 July;5982;122.0;1.3;5.8;5982;122.0;1.3;5.8
2217;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 August;5982;123.0;0.2;5.9;5982;123.0;0.2;5.9
2218;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 September;5982;122.0;0.0;5.9;5982;122.0;0.0;5.9
2219;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 October;5982;123.0;0.3;5.9;5982;123.0;0.3;5.9
2220;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 November;5982;123.0;-0.3;5.5;5982;123.0;-0.3;5.5
2221;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008 December;5982;122.0;-0.4;5.1;5982;122.0;-0.4;5.1
2222;Total sales;DI MANUFACTURE OF OTHER NON-METALLIC MIN;2008;5982;121.0;;5.1;5982;121.0;;5.1
2223;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 January;16799;97.0;;;16801;97.0;;
2224;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 February;16799;98.0;0.8;;16801;98.0;0.8;
2225;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 March;16799;98.0;0.6;;16801;98.0;0.6;
2226;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 April;16799;99.0;1.1;;16801;99.0;1.1;
2227;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 May;16799;100.0;0.7;;16801;100.0;0.7;
2228;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 June;16799;100.0;-0.1;;16801;100.0;-0.1;
2229;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 July;16799;101.0;0.8;;16801;101.0;0.8;
2230;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 August;16799;101.0;0.1;;16801;101.0;0.1;
2231;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 September;16799;101.0;0.3;;16801;101.0;0.3;
2232;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 October;16799;102.0;0.6;;16801;102.0;0.6;
2233;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 November;16799;102.0;-0.1;;16801;102.0;-0.1;
2234;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000 December;16799;101.0;-0.6;;16801;101.0;-0.6;
2235;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2000;16799;100.0;;;16801;100.0;;
2236;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 January;16799;101.0;0.5;4.6;16801;101.0;0.5;4.6
2237;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 February;16799;101.0;-0.2;3.7;16801;101.0;-0.2;3.7
2238;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 March;16799;101.0;-0.2;2.9;16801;101.0;-0.2;2.9
2239;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 April;16799;101.0;-0.4;1.3;16801;101.0;-0.4;1.3
2240;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 May;16799;101.0;0.1;0.7;16801;101.0;0.1;0.7
2241;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 June;16799;101.0;0.1;0.9;16801;101.0;0.1;0.9
2242;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 July;16799;101.0;-0.3;-0.2;16801;101.0;-0.3;-0.2
2243;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 August;16799;101.0;0.1;-0.2;16801;101.0;0.1;-0.2
2244;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 September;16799;101.0;0.0;-0.4;16801;101.0;0.0;-0.4
2245;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 October;16799;100.0;-0.9;-1.9;16801;100.0;-0.9;-1.9
2246;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 November;16799;100.0;-0.3;-2.0;16801;100.0;-0.3;-2.0
2247;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001 December;16799;99.0;-0.3;-1.7;16801;99.0;-0.3;-1.7
2248;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2001;16799;101.0;;0.6;16801;101.0;;0.6
2249;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 January;16799;99.0;-0.1;-2.3;16801;99.0;-0.1;-2.3
2250;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 February;16799;99.0;0.3;-1.8;16801;99.0;0.3;-1.8
2251;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 March;16799;100.0;0.2;-1.4;16801;100.0;0.2;-1.4
2252;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 April;16799;100.0;0.4;-0.6;16801;100.0;0.4;-0.6
2253;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 May;16799;101.0;0.6;-0.2;16801;101.0;0.6;-0.2
2254;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 June;16799;101.0;0.0;-0.3;16801;101.0;0.0;-0.3
2255;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 July;16799;101.0;0.2;0.2;16801;101.0;0.2;0.2
2256;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 August;16799;100.0;-0.6;-0.5;16801;100.0;-0.6;-0.5
2257;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 September;16799;100.0;-0.2;-0.7;16801;100.0;-0.2;-0.7
2258;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 October;16799;101.0;0.8;1.0;16801;101.0;0.8;1.0
2259;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 November;16799;101.0;0.0;1.3;16801;101.0;0.0;1.3
2260;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002 December;16799;101.0;0.2;1.8;16801;101.0;0.2;1.8
2261;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2002;16799;100.0;;-0.3;16801;100.0;;-0.3
2262;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 January;16799;102.0;0.5;2.4;16801;102.0;0.5;2.4
2263;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 February;16799;102.0;0.3;2.4;16801;102.0;0.3;2.4
2264;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 March;16799;102.0;0.2;2.4;16801;102.0;0.2;2.4
2265;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 April;16799;102.0;-0.2;1.8;16801;102.0;-0.2;1.8
2266;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 May;16799;102.0;-0.3;0.9;16801;102.0;-0.3;0.9
2267;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 June;16799;101.0;-0.1;0.8;16801;101.0;-0.1;0.8
2268;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 July;16799;101.0;-0.4;0.2;16801;101.0;-0.4;0.2
2269;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 August;16799;101.0;0.0;0.7;16801;101.0;0.0;0.7
2270;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 September;16799;101.0;0.0;0.9;16801;101.0;0.0;0.9
2271;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 October;16799;101.0;0.1;0.3;16801;101.0;0.1;0.3
2272;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 November;16799;101.0;0.1;0.4;16801;101.0;0.1;0.4
2273;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003 December;16799;101.0;-0.5;-0.3;16801;101.0;-0.5;-0.3
2274;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2003;16799;101.0;;1.1;16801;101.0;;1.1
2275;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 January;16799;102.0;0.7;-0.1;16801;102.0;0.7;-0.1
2276;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 February;16799;102.0;0.5;0.2;16801;102.0;0.5;0.2
2277;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 March;16799;104.0;1.4;1.4;16801;104.0;1.4;1.4
2278;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 April;16799;106.0;2.6;4.2;16801;106.0;2.6;4.2
2279;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 May;16799;107.0;1.1;5.7;16801;107.0;1.1;5.7
2280;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 June;16799;107.0;0.1;5.9;16801;107.0;0.1;5.9
2281;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 July;16799;110.0;2.0;8.4;16801;110.0;2.0;8.4
2282;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 August;16799;110.0;0.2;8.7;16801;110.0;0.2;8.7
2283;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 September;16799;111.0;0.9;9.6;16801;111.0;0.9;9.6
2284;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 October;16799;112.0;1.4;11.0;16801;112.0;1.4;11.0
2285;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 November;16799;112.0;-0.6;10.1;16801;112.0;-0.6;10.1
2286;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004 December;16799;111.0;-0.2;10.5;16801;111.0;-0.2;10.5
2287;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2004;16799;108.0;;6.3;16801;108.0;;6.3
2288;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 January;16799;114.0;2.7;12.7;16801;114.0;2.7;12.7
2289;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 February;16799;115.0;0.2;12.3;16801;115.0;0.2;12.3
2290;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 March;16799;115.0;0.3;11.0;16801;115.0;0.3;11.0
2291;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 April;16799;115.0;0.2;8.4;16801;115.0;0.2;8.4
2292;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 May;16799;115.0;-0.1;7.1;16801;115.0;-0.1;7.1
2293;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 June;16799;115.0;0.1;7.1;16801;115.0;0.1;7.1
2294;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 July;16799;114.0;-1.1;3.9;16801;114.0;-1.1;3.9
2295;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 August;16799;114.0;-0.2;3.5;16801;114.0;-0.2;3.5
2296;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 September;16799;114.0;0.4;3.0;16801;114.0;0.4;3.0
2297;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 October;16799;115.0;0.6;2.2;16801;115.0;0.6;2.2
2298;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 November;16799;115.0;0.0;2.9;16801;115.0;0.0;2.9
2299;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005 December;16799;115.0;0.1;3.2;16801;115.0;0.1;3.2
2300;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2005;16799;115.0;;6.3;16801;115.0;;6.3
2301;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 January;16799;117.0;1.8;2.2;16801;117.0;1.8;2.2
2302;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 February;16799;117.0;0.4;2.5;16801;117.0;0.4;2.5
2303;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 March;16799;118.0;0.2;2.4;16801;118.0;0.2;2.4
2304;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 April;16799;120.0;2.3;4.6;16801;120.0;2.3;4.6
2305;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 May;16799;121.0;0.3;5.0;16801;121.0;0.3;5.0
2306;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 June;16799;121.0;0.3;5.2;16801;121.0;0.3;5.2
2307;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 July;16799;124.0;2.3;8.8;16801;124.0;2.3;8.8
2308;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 August;16799;125.0;0.6;9.7;16801;125.0;0.6;9.7
2309;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 September;16799;125.0;0.0;9.2;16801;125.0;0.0;9.2
2310;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 October;16799;126.0;1.2;9.8;16801;126.0;1.2;9.8
2311;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 November;16799;126.0;-0.1;9.7;16801;126.0;-0.1;9.7
2312;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006 December;16799;125.0;-0.5;9.1;16801;125.0;-0.5;9.1
2313;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2006;16799;122.0;;6.5;16801;122.0;;6.5
2314;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 January;16799;127.0;1.0;8.3;16801;127.0;1.0;8.3
2315;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 February;16799;126.0;-0.2;7.6;16801;126.0;-0.2;7.6
2316;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 March;16799;126.0;0.0;7.3;16801;126.0;0.0;7.3
2317;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 April;16799;128.0;1.0;6.0;16801;128.0;1.0;6.0
2318;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 May;16799;128.0;0.6;6.3;16801;128.0;0.6;6.3
2319;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 June;16799;128.0;-0.1;5.9;16801;128.0;-0.1;5.9
2320;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 July;16799;128.0;-0.2;3.3;16801;128.0;-0.2;3.3
2321;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 August;16799;128.0;-0.1;2.6;16801;128.0;-0.1;2.6
2322;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 September;16799;127.0;-0.4;2.2;16801;127.0;-0.4;2.2
2323;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 October;16799;127.0;0.1;1.1;16801;127.0;0.1;1.1
2324;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 November;16799;127.0;-0.7;0.5;16801;127.0;-0.7;0.5
2325;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007 December;16799;126.0;-0.3;0.6;16801;126.0;-0.3;0.6
2326;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2007;16799;127.0;;4.2;16801;127.0;;4.2
2327;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 January;16799;127.0;0.8;0.4;16801;127.0;0.8;0.4
2328;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 February;16799;127.0;0.0;0.6;16801;127.0;0.0;0.6
2329;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 March;16799;127.0;0.2;0.8;16801;127.0;0.2;0.8
2330;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 April;16799;130.0;2.3;2.0;16801;130.0;2.3;2.0
2331;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 May;16799;132.0;1.2;2.6;16801;132.0;1.2;2.6
2332;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 June;16799;133.0;0.7;3.5;16801;133.0;0.7;3.5
2333;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 July;16799;136.0;2.5;6.3;16801;136.0;2.5;6.3
2334;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 August;16799;137.0;0.8;7.4;16801;137.0;0.8;7.4
2335;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 September;16799;136.0;-0.5;7.3;16801;136.0;-0.5;7.3
2336;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 October;16799;135.0;-1.0;6.1;16801;135.0;-1.0;6.1
2337;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 November;16799;133.0;-1.4;5.3;16801;133.0;-1.4;5.3
2338;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008 December;16799;131.0;-1.7;3.8;16801;131.0;-1.7;3.8
2339;Total sales;DJ MANUFACTURE OF BASIC METALS AND FABRI;2008;16799;132.0;;3.8;16801;132.0;;3.8
2340;Total sales;27 Manufacture of basic metals;2000 January;5635;93.0;;;5637;93.0;;
2341;Total sales;27 Manufacture of basic metals;2000 February;5635;95.0;2.0;;5637;95.0;2.0;
2342;Total sales;27 Manufacture of basic metals;2000 March;5635;97.0;1.4;;5637;97.0;1.4;
2343;Total sales;27 Manufacture of basic metals;2000 April;5635;99.0;2.4;;5637;99.0;2.4;
2344;Total sales;27 Manufacture of basic metals;2000 May;5635;101.0;1.9;;5637;101.0;1.9;
2345;Total sales;27 Manufacture of basic metals;2000 June;5635;101.0;-0.1;;5637;101.0;-0.1;
2346;Total sales;27 Manufacture of basic metals;2000 July;5635;101.0;0.8;;5637;101.0;0.8;
2347;Total sales;27 Manufacture of basic metals;2000 August;5635;102.0;0.3;;5637;102.0;0.3;
2348;Total sales;27 Manufacture of basic metals;2000 September;5635;103.0;0.8;;5637;103.0;0.8;
2349;Total sales;27 Manufacture of basic metals;2000 October;5635;103.0;0.8;;5637;103.0;0.8;
2350;Total sales;27 Manufacture of basic metals;2000 November;5635;103.0;0.0;;5637;103.0;0.0;
2351;Total sales;27 Manufacture of basic metals;2000 December;5635;102.0;-1.4;;5637;102.0;-1.4;
2352;Total sales;27 Manufacture of basic metals;2000;5635;100.0;;;5637;100.0;;
2353;Total sales;27 Manufacture of basic metals;2001 January;5635;101.0;-0.8;8.2;5637;101.0;-0.8;8.2
2354;Total sales;27 Manufacture of basic metals;2001 February;5635;100.0;-0.7;5.4;5637;100.0;-0.7;5.4
2355;Total sales;27 Manufacture of basic metals;2001 March;5635;99.0;-0.9;3.0;5637;99.0;-0.9;3.0
2356;Total sales;27 Manufacture of basic metals;2001 April;5635;99.0;-0.6;-0.1;5637;99.0;-0.6;-0.1
2357;Total sales;27 Manufacture of basic metals;2001 May;5635;99.0;0.4;-1.5;5637;99.0;0.4;-1.5
2358;Total sales;27 Manufacture of basic metals;2001 June;5635;100.0;0.6;-0.8;5637;100.0;0.6;-0.8
2359;Total sales;27 Manufacture of basic metals;2001 July;5635;98.0;-1.4;-2.9;5637;98.0;-1.4;-2.9
2360;Total sales;27 Manufacture of basic metals;2001 August;5635;99.0;0.3;-3.0;5637;99.0;0.3;-3.0
2361;Total sales;27 Manufacture of basic metals;2001 September;5635;99.0;0.0;-3.8;5637;99.0;0.0;-3.8
2362;Total sales;27 Manufacture of basic metals;2001 October;5635;96.0;-2.6;-7.0;5637;96.0;-2.6;-7.0
2363;Total sales;27 Manufacture of basic metals;2001 November;5635;96.0;-0.6;-7.5;5637;96.0;-0.6;-7.5
2364;Total sales;27 Manufacture of basic metals;2001 December;5635;95.0;-0.8;-6.9;5637;95.0;-0.8;-6.9
2365;Total sales;27 Manufacture of basic metals;2001;5635;98.0;;-1.6;5637;98.0;;-1.6
2366;Total sales;27 Manufacture of basic metals;2002 January;5635;93.0;-2.0;-8.1;5637;93.0;-2.0;-8.1
2367;Total sales;27 Manufacture of basic metals;2002 February;5635;93.0;0.4;-7.0;5637;93.0;0.4;-7.0
2368;Total sales;27 Manufacture of basic metals;2002 March;5635;94.0;0.6;-5.6;5637;94.0;0.6;-5.6
2369;Total sales;27 Manufacture of basic metals;2002 April;5635;95.0;0.7;-4.4;5637;95.0;0.7;-4.4
2370;Total sales;27 Manufacture of basic metals;2002 May;5635;96.0;1.8;-3.0;5637;96.0;1.8;-3.0
2371;Total sales;27 Manufacture of basic metals;2002 June;5635;96.0;0.0;-3.6;5637;96.0;0.0;-3.6
2372;Total sales;27 Manufacture of basic metals;2002 July;5635;96.0;0.2;-2.1;5637;96.0;0.2;-2.1
2373;Total sales;27 Manufacture of basic metals;2002 August;5635;95.0;-1.9;-4.2;5637;95.0;-1.9;-4.2
2374;Total sales;27 Manufacture of basic metals;2002 September;5635;94.0;-0.5;-4.6;5637;94.0;-0.5;-4.6
2375;Total sales;27 Manufacture of basic metals;2002 October;5635;96.0;2.3;0.2;5637;96.0;2.3;0.2
2376;Total sales;27 Manufacture of basic metals;2002 November;5635;96.0;0.0;0.9;5637;96.0;0.0;0.9
2377;Total sales;27 Manufacture of basic metals;2002 December;5635;97.0;0.5;2.2;5637;97.0;0.5;2.2
2378;Total sales;27 Manufacture of basic metals;2002;5635;95.0;;-3.3;5637;95.0;;-3.3
2379;Total sales;27 Manufacture of basic metals;2003 January;5635;97.0;0.1;4.3;5637;97.0;0.1;4.3
2380;Total sales;27 Manufacture of basic metals;2003 February;5635;98.0;0.7;4.6;5637;98.0;0.7;4.6
2381;Total sales;27 Manufacture of basic metals;2003 March;5635;98.0;0.6;4.6;5637;98.0;0.6;4.6
2382;Total sales;27 Manufacture of basic metals;2003 April;5635;98.0;-0.6;3.3;5637;98.0;-0.6;3.3
2383;Total sales;27 Manufacture of basic metals;2003 May;5635;97.0;-0.8;0.6;5637;97.0;-0.8;0.6
2384;Total sales;27 Manufacture of basic metals;2003 June;5635;97.0;-0.1;0.6;5637;97.0;-0.1;0.6
2385;Total sales;27 Manufacture of basic metals;2003 July;5635;95.0;-1.4;-1.0;5637;95.0;-1.4;-1.0
2386;Total sales;27 Manufacture of basic metals;2003 August;5635;96.0;0.1;1.0;5637;96.0;0.1;1.0
2387;Total sales;27 Manufacture of basic metals;2003 September;5635;95.0;0.0;1.4;5637;95.0;0.0;1.4
2388;Total sales;27 Manufacture of basic metals;2003 October;5635;96.0;0.6;-0.3;5637;96.0;0.6;-0.3
2389;Total sales;27 Manufacture of basic metals;2003 November;5635;97.0;0.5;0.1;5637;97.0;0.5;0.1
2390;Total sales;27 Manufacture of basic metals;2003 December;5635;95.0;-1.2;-1.6;5637;95.0;-1.2;-1.6
2391;Total sales;27 Manufacture of basic metals;2003;5635;97.0;;1.4;5637;97.0;;1.4
2392;Total sales;27 Manufacture of basic metals;2004 January;5635;96.0;1.1;-0.5;5637;96.0;1.1;-0.5
2393;Total sales;27 Manufacture of basic metals;2004 February;5635;97.0;0.7;-0.5;5637;97.0;0.7;-0.4
2394;Total sales;27 Manufacture of basic metals;2004 March;5635;100.0;2.8;1.8;5637;100.0;2.8;1.8
2395;Total sales;27 Manufacture of basic metals;2004 April;5635;103.0;3.5;6.0;5637;103.0;3.5;6.0
2396;Total sales;27 Manufacture of basic metals;2004 May;5635;106.0;2.8;9.8;5637;106.0;2.8;9.8
2397;Total sales;27 Manufacture of basic metals;2004 June;5635;107.0;0.3;10.3;5637;107.0;0.3;10.3
2398;Total sales;27 Manufacture of basic metals;2004 July;5635;110.0;3.2;15.4;5637;110.0;3.2;15.4
2399;Total sales;27 Manufacture of basic metals;2004 August;5635;111.0;0.4;15.8;5637;111.0;0.4;15.8
2400;Total sales;27 Manufacture of basic metals;2004 September;5635;113.0;2.1;18.3;5637;113.0;2.1;18.3
2401;Total sales;27 Manufacture of basic metals;2004 October;5635;117.0;3.4;21.5;5637;117.0;3.4;21.5
2402;Total sales;27 Manufacture of basic metals;2004 November;5635;115.0;-1.2;19.4;5637;115.0;-1.2;19.4
2403;Total sales;27 Manufacture of basic metals;2004 December;5635;115.0;0.0;20.8;5637;115.0;0.0;20.8
