ID;OriginOfExports;Periods;ExportsOfGoodsAndServices_1;ExportsOfGoods_2;ExportsOfServices_3;ExportsOfGoodsAndServices_4;ExportsOfGoods_5;ExportsOfServices_6;ExportsOfGoodsAndServices_7;ExportsOfGoods_8;ExportsOfServices_9;ExportsOfGoodsAndServices_10;ExportsOfGoods_11;ExportsOfServices_12
228;64 Financial institutions, no insurance;2021;8015;0;8015;8015.0;0.0;8015.0;;;;100.0;;100.0
229;64 Financial institutions, no insurance;2022;8794;0;8794;7231.0;;7231.0;-9.8;;-9.8;121.6;;121.6
230;64 Financial institutions, no insurance;2023;12234;0;12234;7344.0;;7344.0;1.6;;1.6;166.6;;166.6
231;65 Insurance and pension funding;2021;2022;0;2022;2022.0;0.0;2022.0;;;;100.0;;100.0
232;65 Insurance and pension funding;2022;2140;0;2140;2142.0;;2142.0;5.9;;5.9;99.9;;99.9
233;65 Insurance and pension funding;2023;2295;0;2295;2101.0;;2101.0;-1.9;;-1.9;109.2;;109.2
234;66 Other financial services;2021;5895;0;5895;5895.0;0.0;5895.0;;;;100.0;;100.0
235;66 Other financial services;2022;6707;0;6707;5960.0;;5960.0;1.1;;1.1;112.5;;112.5
236;66 Other financial services;2023;7761;0;7761;6523.0;;6523.0;9.5;;9.5;119.0;;119.0
237;L Renting, buying, selling real estate;2021;1273;0;1273;1273.0;0.0;1273.0;;;;100.0;;100.0
238;L Renting, buying, selling real estate;2022;1844;0;1844;1736.0;;1736.0;36.4;;36.4;106.2;;106.2
239;L Renting, buying, selling real estate;2023;2293;0;2293;2084.0;;2084.0;20.1;;20.1;110.0;;110.0
240;68 Renting, buying, selling real estate;2021;1273;0;1273;1273.0;0.0;1273.0;;;;100.0;;100.0
241;68 Renting, buying, selling real estate;2022;1844;0;1844;1736.0;;1736.0;36.4;;36.4;106.2;;106.2
242;68 Renting, buying, selling real estate;2023;2293;0;2293;2084.0;;2084.0;20.1;;20.1;110.0;;110.0
243;M-N Business services;2021;74510;2332;72178;74510.0;2332.0;72178.0;;;;100.0;100.0;100.0
244;M-N Business services;2022;90444;2502;87942;86244.0;1941.0;84303.0;15.7;-16.8;16.8;104.9;128.9;104.3
245;M-N Business services;2023;101385;2623;98762;91307.0;1981.0;89343.0;5.9;2.1;6.0;111.0;132.4;110.5
246;M Other specialised business services;2021;49829;2266;47563;49829.0;2266.0;47563.0;;;;100.0;100.0;100.0
247;M Other specialised business services;2022;57168;2488;54680;54659.0;1930.0;52729.0;9.7;-14.8;10.9;104.6;128.9;103.7
248;M Other specialised business services;2023;64064;2610;61454;58144.0;1970.0;56194.0;6.4;2.1;6.6;110.2;132.5;109.4
249;69-71 Management,  technical consultancy;2021;42209;2168;40041;42209.0;2168.0;40041.0;;;;100.0;100.0;100.0
250;69-71 Management,  technical consultancy;2022;46148;2334;43814;44074.0;1783.0;42291.0;4.4;-17.8;5.6;104.7;130.9;103.6
251;69-71 Management,  technical consultancy;2023;52973;2427;50546;48029.0;1811.0;46253.0;9.0;1.5;9.4;110.3;134.1;109.3
252;69-70 Legal and management consultancy;2021;39267;2035;37232;39267.0;2035.0;37232.0;;;;100.0;100.0;100.0
253;69-70 Legal and management consultancy;2022;43006;2195;40811;41101.0;1649.0;39452.0;4.7;-19.0;6.0;104.6;133.1;103.4
254;69-70 Legal and management consultancy;2023;49484;2250;47234;44875.0;1653.0;43265.0;9.2;0.2;9.7;110.3;136.1;109.2
255;69 Legal services, administration etc.;2021;2408;0;2408;2408.0;0.0;2408.0;;;;100.0;;100.0
256;69 Legal services, administration etc.;2022;2610;0;2610;2497.0;;2497.0;3.7;;3.7;104.5;;104.5
257;69 Legal services, administration etc.;2023;2545;0;2545;2297.0;;2297.0;-8.0;;-8.0;110.8;;110.8
258;70 Holding companies (not financial);2021;36859;2035;34824;36859.0;2035.0;34824.0;;;;100.0;100.0;100.0
259;70 Holding companies (not financial);2022;40396;2195;38201;38604.0;1649.0;36955.0;4.7;-19.0;6.1;104.6;133.1;103.4
260;70 Holding companies (not financial);2023;46939;2250;44689;42578.0;1653.0;40973.0;10.3;0.2;10.9;110.2;136.1;109.1
261;71 Architects, technical services etc.;2021;2942;133;2809;2942.0;133.0;2809.0;;;;100.0;100.0;100.0
262;71 Architects, technical services etc.;2022;3142;139;3003;2973.0;134.0;2839.0;1.1;0.8;1.1;105.7;103.7;105.8
263;71 Architects, technical services etc.;2023;3489;177;3312;3155.0;164.0;2991.0;6.1;22.3;5.4;110.6;108.0;110.7
264;72 Research and development;2021;2850;0;2850;2850.0;0.0;2850.0;;;;100.0;;100.0
265;72 Research and development;2022;4599;0;4599;4364.0;;4364.0;53.1;;53.1;105.4;;105.4
266;72 Research and development;2023;4652;0;4652;4171.0;;4171.0;-4.4;;-4.4;111.5;;111.5
267;73-75 Advertising, design and other;2021;4770;98;4672;4770.0;98.0;4672.0;;;;100.0;100.0;100.0
268;73-75 Advertising, design and other;2022;6421;154;6267;6221.0;147.0;6074.0;30.4;50.0;30.0;103.2;104.8;103.2
269;73-75 Advertising, design and other;2023;6439;183;6256;5937.0;162.0;5775.0;-4.6;10.4;-4.9;108.5;112.8;108.3
270;73 Advertising and market research;2021;3991;70;3921;3991.0;70.0;3921.0;;;;100.0;100.0;100.0
271;73 Advertising and market research;2022;5509;143;5366;5352.0;137.0;5215.0;34.1;95.7;33.0;102.9;104.4;102.9
272;73 Advertising and market research;2023;5383;169;5214;4985.0;149.0;4835.0;-6.9;9.1;-7.3;108.0;113.1;107.8
273;74-75 Other specialised services;2021;779;28;751;779.0;28.0;751.0;;;;100.0;100.0;100.0
274;74-75 Other specialised services;2022;912;11;901;869.0;10.0;859.0;11.6;-64.3;14.4;104.9;110.0;104.9
275;74-75 Other specialised services;2023;1056;14;1042;950.0;13.0;937.0;9.3;27.3;9.1;111.2;110.0;111.2
276;74 Other specialised business services;2021;744;28;716;744.0;28.0;716.0;;;;100.0;100.0;100.0
277;74 Other specialised business services;2022;871;11;860;832.0;10.0;822.0;11.8;-64.3;14.8;104.7;110.0;104.6
278;74 Other specialised business services;2023;1008;14;994;909.0;13.0;897.0;9.3;27.3;9.1;110.8;110.0;110.9
279;75 Veterinary activities;2021;35;0;35;35.0;0.0;35.0;;;;100.0;;100.0
280;75 Veterinary activities;2022;41;0;41;37.0;;37.0;5.7;;5.7;110.8;;110.8
281;75 Veterinary activities;2023;48;0;48;41.0;;41.0;9.8;;9.8;118.2;;118.2
282;N Renting and other business support;2021;24681;66;24615;24681.0;66.0;24615.0;;;;100.0;100.0;100.0
283;N Renting and other business support;2022;33276;14;33262;31585.0;11.0;31574.0;28.0;-83.3;28.3;105.4;127.3;105.3
284;N Renting and other business support;2023;37321;13;37308;33165.0;11.0;33155.0;5.0;0.0;5.0;112.5;118.2;112.5
285;77 Renting and leasing of tangible goods;2021;12530;57;12473;12530.0;57.0;12473.0;;;;100.0;100.0;100.0
286;77 Renting and leasing of tangible goods;2022;14093;6;14087;13375.0;5.0;13370.0;6.7;-91.2;7.2;105.4;120.0;105.4
287;77 Renting and leasing of tangible goods;2023;14436;6;14430;13016.0;5.0;13011.0;-2.7;0.0;-2.7;110.9;120.0;110.9
288;78 Employment activities;2021;59;0;59;59.0;0.0;59.0;;;;100.0;;100.0
289;78 Employment activities;2022;61;0;61;60.0;;60.0;1.7;;1.7;101.7;;101.7
290;78 Employment activities;2023;59;0;59;57.0;;57.0;-4.9;;-4.9;103.4;;103.4
291;79 Travel agencies, tour operators etc;2021;7054;0;7054;7054.0;0.0;7054.0;;;;100.0;;100.0
292;79 Travel agencies, tour operators etc;2022;13266;0;13266;12526.0;;12526.0;77.6;;77.6;105.9;;105.9
293;79 Travel agencies, tour operators etc;2023;16327;0;16327;14398.0;;14398.0;14.9;;14.9;113.4;;113.4
294;80-82 Security, other business services;2021;5038;9;5029;5038.0;9.0;5029.0;;;;100.0;100.0;100.0
295;80-82 Security, other business services;2022;5856;8;5848;5624.0;6.0;5618.0;11.6;-33.3;11.7;104.1;133.3;104.1
296;80-82 Security, other business services;2023;6499;7;6492;5685.0;6.0;5679.0;1.1;0.0;1.1;114.3;116.7;114.3
297;80 Security and investigation;2021;70;0;70;70.0;0.0;70.0;;;;100.0;;100.0
298;80 Security and investigation;2022;80;0;80;78.0;;78.0;11.4;;11.4;102.6;;102.6
299;80 Security and investigation;2023;99;0;99;82.0;;82.0;5.0;;5.0;120.9;;120.9
300;81 Cleaning activities, gardening etc.;2021;381;0;381;381.0;0.0;381.0;;;;100.0;;100.0
301;81 Cleaning activities, gardening etc.;2022;418;0;418;400.0;;400.0;5.0;;5.0;104.5;;104.5
302;81 Cleaning activities, gardening etc.;2023;474;0;474;411.0;;411.0;2.9;;2.9;115.2;;115.2
303;82 Other business services;2021;4587;9;4578;4587.0;9.0;4578.0;;;;100.0;100.0;100.0
304;82 Other business services;2022;5358;8;5350;5146.0;6.0;5140.0;12.2;-33.3;12.3;104.1;133.3;104.1
305;82 Other business services;2023;5926;7;5919;5191.0;6.0;5185.0;0.9;0.0;0.9;114.2;116.7;114.2
306;O-Q Government and care;2021;2311;294;2017;2311.0;294.0;2017.0;;;;100.0;100.0;100.0
307;O-Q Government and care;2022;2749;355;2394;2635.0;288.0;2347.0;14.0;-2.0;16.4;104.3;123.3;102.0
308;O-Q Government and care;2023;2857;334;2523;2613.0;289.0;2323.0;-0.8;0.3;-1.0;109.3;115.6;108.6
309;O Public administration and services;2021;1202;294;908;1202.0;294.0;908.0;;;;100.0;100.0;100.0
310;O Public administration and services;2022;1468;355;1113;1381.0;288.0;1093.0;14.9;-2.0;20.4;106.3;123.3;101.8
311;O Public administration and services;2023;1444;334;1110;1352.0;289.0;1062.0;-2.1;0.3;-2.9;106.8;115.6;104.6
312;84 Public administration and services;2021;1202;294;908;1202.0;294.0;908.0;;;;100.0;100.0;100.0
313;84 Public administration and services;2022;1468;355;1113;1381.0;288.0;1093.0;14.9;-2.0;20.4;106.3;123.3;101.8
314;84 Public administration and services;2023;1444;334;1110;1352.0;289.0;1062.0;-2.1;0.3;-2.9;106.8;115.6;104.6
315;P Education;2021;679;0;679;679.0;0.0;679.0;;;;100.0;;100.0
316;P Education;2022;777;0;777;796.0;;796.0;17.2;;17.2;97.6;;97.6
317;P Education;2023;858;0;858;783.0;;783.0;-1.7;;-1.7;109.6;;109.6
318;85 Education;2021;679;0;679;679.0;0.0;679.0;;;;100.0;;100.0
319;85 Education;2022;777;0;777;796.0;;796.0;17.2;;17.2;97.6;;97.6
320;85 Education;2023;858;0;858;783.0;;783.0;-1.7;;-1.7;109.6;;109.6
321;Q Health and social work activities;2021;430;0;430;430.0;0.0;430.0;;;;100.0;;100.0
322;Q Health and social work activities;2022;504;0;504;458.0;;458.0;6.5;;6.5;110.0;;110.0
323;Q Health and social work activities;2023;555;0;555;477.0;;477.0;4.2;;4.2;116.3;;116.3
324;86 Human health activities;2021;361;0;361;361.0;0.0;361.0;;;;100.0;;100.0
325;86 Human health activities;2022;405;0;405;371.0;;371.0;2.8;;2.8;109.2;;109.2
326;86 Human health activities;2023;433;0;433;377.0;;377.0;1.7;;1.7;114.7;;114.7
327;87-88 Care and social work;2021;69;0;69;69.0;0.0;69.0;;;;100.0;;100.0
328;87-88 Care and social work;2022;99;0;99;87.0;;87.0;26.1;;26.1;113.8;;113.8
329;87-88 Care and social work;2023;122;0;122;99.0;;99.0;14.1;;14.1;122.9;;122.9
330;R-U Culture, recreation, other services;2021;1936;92;1844;1936.0;92.0;1844.0;;;;100.0;100.0;100.0
331;R-U Culture, recreation, other services;2022;2533;136;2397;2441.0;131.0;2310.0;26.1;42.4;25.3;103.8;103.8;103.8
332;R-U Culture, recreation, other services;2023;2624;109;2515;2446.0;109.0;2337.0;0.2;-16.9;1.2;107.3;100.1;107.6
333;R Culture, sports and recreation;2021;1640;67;1573;1640.0;67.0;1573.0;;;;100.0;100.0;100.0
334;R Culture, sports and recreation;2022;2188;107;2081;2111.0;105.0;2006.0;28.7;56.7;27.5;103.6;101.9;103.7
335;R Culture, sports and recreation;2023;2236;80;2156;2097.0;82.0;2015.0;-0.6;-21.5;0.4;106.6;97.1;107.0
336;90-92 Arts, culture and lotteries;2021;1254;67;1187;1254.0;67.0;1187.0;;;;100.0;100.0;100.0
337;90-92 Arts, culture and lotteries;2022;1617;107;1510;1561.0;105.0;1456.0;24.5;56.7;22.7;103.6;101.9;103.7
338;90-92 Arts, culture and lotteries;2023;1605;80;1525;1523.0;82.0;1441.0;-2.4;-21.5;-1.1;105.4;97.1;105.9
339;90 Arts;2021;1041;67;974;1041.0;67.0;974.0;;;;100.0;100.0;100.0
340;90 Arts;2022;1383;107;1276;1334.0;105.0;1229.0;28.1;56.7;26.2;103.7;101.9;103.8
341;90 Arts;2023;1325;80;1245;1259.0;82.0;1176.0;-5.6;-21.5;-4.3;105.3;97.1;105.9
342;91 Libraries, museums, zoos etc;2021;57;0;57;57.0;0.0;57.0;;;;100.0;;100.0
343;91 Libraries, museums, zoos etc;2022;68;0;68;66.0;;66.0;15.8;;15.8;103.0;;103.0
344;91 Libraries, museums, zoos etc;2023;93;0;93;84.0;;84.0;27.9;;27.9;110.1;;110.1
345;92 Lotteries and betting;2021;156;0;156;156.0;0.0;156.0;;;;100.0;;100.0
346;92 Lotteries and betting;2022;166;0;166;161.0;;161.0;3.2;;3.2;103.1;;103.1
347;92 Lotteries and betting;2023;187;0;187;180.0;;180.0;12.0;;12.0;103.7;;103.7
348;93 Sports and recreation;2021;386;0;386;386.0;0.0;386.0;;;;100.0;;100.0
349;93 Sports and recreation;2022;571;0;571;550.0;;550.0;42.5;;42.5;103.8;;103.8
350;93 Sports and recreation;2023;631;0;631;574.0;;574.0;4.4;;4.4;109.9;;109.9
351;S Other service activities;2021;296;25;271;296.0;25.0;271.0;;;;100.0;100.0;100.0
352;S Other service activities;2022;345;29;316;330.0;26.0;304.0;11.5;4.0;12.2;104.5;111.5;103.9
353;S Other service activities;2023;388;29;359;348.0;26.0;322.0;5.5;0.0;6.0;111.4;111.5;111.4
354;94 Membership organisations;2021;35;23;12;35.0;23.0;12.0;;;;100.0;100.0;100.0
355;94 Membership organisations;2022;40;26;14;36.0;23.0;13.0;2.9;0.0;8.3;111.1;113.0;107.7
356;94 Membership organisations;2023;40;26;14;37.0;23.0;14.0;2.5;0.0;7.1;108.4;113.0;100.5
357;95 Repair computers and consumergoods;2021;64;2;62;64.0;2.0;62.0;;;;100.0;100.0;100.0
358;95 Repair computers and consumergoods;2022;75;3;72;72.0;3.0;69.0;12.5;50.0;11.3;104.2;100.0;104.3
359;95 Repair computers and consumergoods;2023;83;3;80;74.0;3.0;71.0;2.7;0.0;2.8;112.3;100.0;112.8
360;96 Other personal services;2021;197;0;197;197.0;0.0;197.0;;;;100.0;;100.0
361;96 Other personal services;2022;230;0;230;222.0;;222.0;12.7;;12.7;103.6;;103.6
362;96 Other personal services;2023;265;0;265;237.0;;237.0;7.0;;7.0;111.6;;111.6
363;T Activities of households;2021;0;0;0;0.0;0.0;0.0;;;;;;
364;T Activities of households;2022;0;0;0;;;;;;;;;
365;T Activities of households;2023;0;0;0;;;;;;;;;
366;97 Households with domestic personnel;2021;0;0;0;0.0;0.0;0.0;;;;;;
367;97 Households with domestic personnel;2022;0;0;0;;;;;;;;;
368;97 Households with domestic personnel;2023;0;0;0;;;;;;;;;
369;98 Households producing for own use;2021;0;0;0;0.0;0.0;0.0;;;;;;
370;98 Households producing for own use;2022;0;0;0;;;;;;;;;
371;98 Households producing for own use;2023;0;0;0;;;;;;;;;
372;U Extraterritorial organisations;2021;0;0;0;0.0;0.0;0.0;;;;;;
373;U Extraterritorial organisations;2022;0;0;0;;;;;;;;;
374;U Extraterritorial organisations;2023;0;0;0;;;;;;;;;
375;99 Extraterritorial organisations;2021;0;0;0;0.0;0.0;0.0;;;;;;
376;99 Extraterritorial organisations;2022;0;0;0;;;;;;;;;
377;99 Extraterritorial organisations;2023;0;0;0;;;;;;;;;
378;68A Imp. rents owner-occupided dwellings;2021;442;0;442;442.0;0.0;442.0;;;;100.0;;100.0
379;68A Imp. rents owner-occupided dwellings;2022;907;0;907;824.0;;824.0;86.4;;86.4;110.1;;110.1
380;68A Imp. rents owner-occupided dwellings;2023;1192;0;1192;1046.0;;1046.0;26.9;;26.9;114.0;;114.0
381;68B Real estate excl. imputed rents;2021;831;0;831;831.0;0.0;831.0;;;;100.0;;100.0
382;68B Real estate excl. imputed rents;2022;937;0;937;912.0;;912.0;9.7;;9.7;102.7;;102.7
383;68B Real estate excl. imputed rents;2023;1101;0;1101;1035.0;;1035.0;13.4;;13.4;106.4;;106.4
384;Total other items;2021;310995;288646;22349;310995.0;288646.0;22349.0;;;;100.0;100.0;100.0
385;Total other items;2022;398823;378903;19920;323697.0;305114.0;18583.0;4.1;5.7;-16.9;123.2;124.2;107.2
386;Total other items;2023;380672;361092;19580;324019.0;305220.0;18830.0;0.1;0.0;1.3;117.5;118.3;104.0
387;Re-exports;2021;251819;230591;21228;251819.0;230591.0;21228.0;;;;100.0;100.0;100.0
388;Re-exports;2022;336892;315439;21453;266138.0;245938.0;20200.0;5.7;6.7;-4.8;126.6;128.3;106.2
389;Re-exports;2023;318091;295872;22219;266406.0;246399.0;19963.0;0.1;0.2;-1.2;119.4;120.1;111.3
390;Taxes less subsidies on products;2021;3148;1518;1630;3148.0;1518.0;1630.0;;;;100.0;100.0;100.0
391;Taxes less subsidies on products;2022;4347;2068;2279;3837.0;1705.0;2132.0;21.9;12.3;30.8;113.3;121.3;106.9
392;Taxes less subsidies on products;2023;4646;1892;2754;4012.0;1605.0;2430.0;4.6;-5.9;14.0;115.8;117.9;113.3
393;Trade and transport margins;2021;58628;56537;2091;58628.0;56537.0;2091.0;;;;100.0;100.0;100.0
394;Trade and transport margins;2022;63783;61396;2387;59746.0;57471.0;2275.0;1.9;1.7;8.8;106.8;106.8;104.9
395;Trade and transport margins;2023;66122;63328;2794;59667.0;57155.0;2517.0;-0.1;-0.6;10.6;110.8;110.8;111.0
396;Cif/fob-adjustment;2021;-2600;0;-2600;-2600.0;0.0;-2600.0;;;;100.0;;100.0
397;Cif/fob-adjustment;2022;-6199;0;-6199;-6024.0;;-6024.0;131.7;;131.7;102.9;;102.9
398;Cif/fob-adjustment;2023;-8187;0;-8187;-6078.0;;-6078.0;0.9;;0.9;134.7;;134.7
399;Total exports;2021;770745;560235;210510;770745.0;560235.0;210510.0;;;;100.0;100.0;100.0
400;Total exports;2022;958476;705159;253317;804773.0;569232.0;235541.0;4.4;1.6;11.9;119.1;123.9;107.5
401;Total exports;2023;945221;676942;268279;800458.0;563797.0;237023.0;-0.5;-1.0;0.6;118.1;120.1;113.2
