ID;EducationLevel;FieldsOfEducation;CaribbeanNetherlands;Periods;MBOstudents_1
878;Total MBO;Domain Tourism and recreation;St Eustatius;2023/'24;
879;Total MBO;Domain Tourism and recreation;St Eustatius;2024/'25;
880;Total MBO;Domain Tourism and recreation;Saba;2009/'10;
881;Total MBO;Domain Tourism and recreation;Saba;2010/'11;
882;Total MBO;Domain Tourism and recreation;Saba;2011/'12;
883;Total MBO;Domain Tourism and recreation;Saba;2012/'13;0.0
884;Total MBO;Domain Tourism and recreation;Saba;2013/'14;0.0
885;Total MBO;Domain Tourism and recreation;Saba;2014/'15;0.0
886;Total MBO;Domain Tourism and recreation;Saba;2015/'16;0.0
887;Total MBO;Domain Tourism and recreation;Saba;2016/'17;0.0
888;Total MBO;Domain Tourism and recreation;Saba;2017/'18;0.0
889;Total MBO;Domain Tourism and recreation;Saba;2018/'19;0.0
890;Total MBO;Domain Tourism and recreation;Saba;2019/'20;14.0
891;Total MBO;Domain Tourism and recreation;Saba;2020/'21;26.0
892;Total MBO;Domain Tourism and recreation;Saba;2021/'22;
893;Total MBO;Domain Tourism and recreation;Saba;2022/'23;
894;Total MBO;Domain Tourism and recreation;Saba;2023/'24;
895;Total MBO;Domain Tourism and recreation;Saba;2024/'25;
896;Total MBO;Domain Health and welfare;Caribbean Netherlands;2009/'10;57.0
897;Total MBO;Domain Health and welfare;Caribbean Netherlands;2010/'11;57.0
898;Total MBO;Domain Health and welfare;Caribbean Netherlands;2011/'12;70.0
899;Total MBO;Domain Health and welfare;Caribbean Netherlands;2012/'13;
900;Total MBO;Domain Health and welfare;Caribbean Netherlands;2013/'14;114.0
901;Total MBO;Domain Health and welfare;Caribbean Netherlands;2014/'15;136.0
902;Total MBO;Domain Health and welfare;Caribbean Netherlands;2015/'16;120.0
903;Total MBO;Domain Health and welfare;Caribbean Netherlands;2016/'17;112.0
904;Total MBO;Domain Health and welfare;Caribbean Netherlands;2017/'18;108.0
905;Total MBO;Domain Health and welfare;Caribbean Netherlands;2018/'19;136.0
906;Total MBO;Domain Health and welfare;Caribbean Netherlands;2019/'20;133.0
907;Total MBO;Domain Health and welfare;Caribbean Netherlands;2020/'21;222.0
908;Total MBO;Domain Health and welfare;Caribbean Netherlands;2021/'22;216.0
909;Total MBO;Domain Health and welfare;Caribbean Netherlands;2022/'23;209.0
910;Total MBO;Domain Health and welfare;Caribbean Netherlands;2023/'24;238.0
911;Total MBO;Domain Health and welfare;Caribbean Netherlands;2024/'25;302.0
912;Total MBO;Domain Health and welfare;Bonaire;2009/'10;57.0
913;Total MBO;Domain Health and welfare;Bonaire;2010/'11;57.0
914;Total MBO;Domain Health and welfare;Bonaire;2011/'12;70.0
915;Total MBO;Domain Health and welfare;Bonaire;2012/'13;
916;Total MBO;Domain Health and welfare;Bonaire;2013/'14;107.0
917;Total MBO;Domain Health and welfare;Bonaire;2014/'15;131.0
918;Total MBO;Domain Health and welfare;Bonaire;2015/'16;113.0
919;Total MBO;Domain Health and welfare;Bonaire;2016/'17;107.0
920;Total MBO;Domain Health and welfare;Bonaire;2017/'18;98.0
921;Total MBO;Domain Health and welfare;Bonaire;2018/'19;126.0
922;Total MBO;Domain Health and welfare;Bonaire;2019/'20;125.0
923;Total MBO;Domain Health and welfare;Bonaire;2020/'21;211.0
924;Total MBO;Domain Health and welfare;Bonaire;2021/'22;216.0
925;Total MBO;Domain Health and welfare;Bonaire;2022/'23;209.0
926;Total MBO;Domain Health and welfare;Bonaire;2023/'24;238.0
927;Total MBO;Domain Health and welfare;Bonaire;2024/'25;302.0
928;Total MBO;Domain Health and welfare;St Eustatius;2009/'10;
929;Total MBO;Domain Health and welfare;St Eustatius;2010/'11;
930;Total MBO;Domain Health and welfare;St Eustatius;2011/'12;
931;Total MBO;Domain Health and welfare;St Eustatius;2012/'13;0.0
932;Total MBO;Domain Health and welfare;St Eustatius;2013/'14;7.0
933;Total MBO;Domain Health and welfare;St Eustatius;2014/'15;5.0
934;Total MBO;Domain Health and welfare;St Eustatius;2015/'16;7.0
935;Total MBO;Domain Health and welfare;St Eustatius;2016/'17;5.0
936;Total MBO;Domain Health and welfare;St Eustatius;2017/'18;10.0
937;Total MBO;Domain Health and welfare;St Eustatius;2018/'19;10.0
938;Total MBO;Domain Health and welfare;St Eustatius;2019/'20;8.0
939;Total MBO;Domain Health and welfare;St Eustatius;2020/'21;11.0
940;Total MBO;Domain Health and welfare;St Eustatius;2021/'22;
941;Total MBO;Domain Health and welfare;St Eustatius;2022/'23;
942;Total MBO;Domain Health and welfare;St Eustatius;2023/'24;
943;Total MBO;Domain Health and welfare;St Eustatius;2024/'25;
944;Total MBO;Domain Health and welfare;Saba;2009/'10;
945;Total MBO;Domain Health and welfare;Saba;2010/'11;
946;Total MBO;Domain Health and welfare;Saba;2011/'12;
947;Total MBO;Domain Health and welfare;Saba;2012/'13;0.0
948;Total MBO;Domain Health and welfare;Saba;2013/'14;0.0
949;Total MBO;Domain Health and welfare;Saba;2014/'15;0.0
950;Total MBO;Domain Health and welfare;Saba;2015/'16;0.0
951;Total MBO;Domain Health and welfare;Saba;2016/'17;0.0
952;Total MBO;Domain Health and welfare;Saba;2017/'18;0.0
953;Total MBO;Domain Health and welfare;Saba;2018/'19;0.0
954;Total MBO;Domain Health and welfare;Saba;2019/'20;0.0
955;Total MBO;Domain Health and welfare;Saba;2020/'21;0.0
956;Total MBO;Domain Health and welfare;Saba;2021/'22;
957;Total MBO;Domain Health and welfare;Saba;2022/'23;
958;Total MBO;Domain Health and welfare;Saba;2023/'24;
959;Total MBO;Domain Health and welfare;Saba;2024/'25;
960;Total MBO;Domain not classified;Caribbean Netherlands;2009/'10;0.0
961;Total MBO;Domain not classified;Caribbean Netherlands;2010/'11;0.0
962;Total MBO;Domain not classified;Caribbean Netherlands;2011/'12;44.0
963;Total MBO;Domain not classified;Caribbean Netherlands;2012/'13;
964;Total MBO;Domain not classified;Caribbean Netherlands;2013/'14;73.0
965;Total MBO;Domain not classified;Caribbean Netherlands;2014/'15;77.0
966;Total MBO;Domain not classified;Caribbean Netherlands;2015/'16;66.0
967;Total MBO;Domain not classified;Caribbean Netherlands;2016/'17;104.0
968;Total MBO;Domain not classified;Caribbean Netherlands;2017/'18;117.0
969;Total MBO;Domain not classified;Caribbean Netherlands;2018/'19;93.0
970;Total MBO;Domain not classified;Caribbean Netherlands;2019/'20;127.0
971;Total MBO;Domain not classified;Caribbean Netherlands;2020/'21;110.0
972;Total MBO;Domain not classified;Caribbean Netherlands;2021/'22;101.0
973;Total MBO;Domain not classified;Caribbean Netherlands;2022/'23;120.0
974;Total MBO;Domain not classified;Caribbean Netherlands;2023/'24;95.0
975;Total MBO;Domain not classified;Caribbean Netherlands;2024/'25;109.0
976;Total MBO;Domain not classified;Bonaire;2009/'10;0.0
977;Total MBO;Domain not classified;Bonaire;2010/'11;0.0
978;Total MBO;Domain not classified;Bonaire;2011/'12;44.0
979;Total MBO;Domain not classified;Bonaire;2012/'13;
980;Total MBO;Domain not classified;Bonaire;2013/'14;61.0
981;Total MBO;Domain not classified;Bonaire;2014/'15;56.0
982;Total MBO;Domain not classified;Bonaire;2015/'16;52.0
983;Total MBO;Domain not classified;Bonaire;2016/'17;100.0
984;Total MBO;Domain not classified;Bonaire;2017/'18;104.0
985;Total MBO;Domain not classified;Bonaire;2018/'19;93.0
986;Total MBO;Domain not classified;Bonaire;2019/'20;127.0
987;Total MBO;Domain not classified;Bonaire;2020/'21;110.0
988;Total MBO;Domain not classified;Bonaire;2021/'22;101.0
989;Total MBO;Domain not classified;Bonaire;2022/'23;120.0
990;Total MBO;Domain not classified;Bonaire;2023/'24;95.0
991;Total MBO;Domain not classified;Bonaire;2024/'25;109.0
992;Total MBO;Domain not classified;St Eustatius;2009/'10;
993;Total MBO;Domain not classified;St Eustatius;2010/'11;
994;Total MBO;Domain not classified;St Eustatius;2011/'12;
995;Total MBO;Domain not classified;St Eustatius;2012/'13;7.0
996;Total MBO;Domain not classified;St Eustatius;2013/'14;12.0
997;Total MBO;Domain not classified;St Eustatius;2014/'15;21.0
998;Total MBO;Domain not classified;St Eustatius;2015/'16;14.0
999;Total MBO;Domain not classified;St Eustatius;2016/'17;4.0
1000;Total MBO;Domain not classified;St Eustatius;2017/'18;13.0
1001;Total MBO;Domain not classified;St Eustatius;2018/'19;0.0
1002;Total MBO;Domain not classified;St Eustatius;2019/'20;0.0
1003;Total MBO;Domain not classified;St Eustatius;2020/'21;0.0
1004;Total MBO;Domain not classified;St Eustatius;2021/'22;
1005;Total MBO;Domain not classified;St Eustatius;2022/'23;
1006;Total MBO;Domain not classified;St Eustatius;2023/'24;
1007;Total MBO;Domain not classified;St Eustatius;2024/'25;
1008;Total MBO;Domain not classified;Saba;2009/'10;
1009;Total MBO;Domain not classified;Saba;2010/'11;
1010;Total MBO;Domain not classified;Saba;2011/'12;
1011;Total MBO;Domain not classified;Saba;2012/'13;0.0
1012;Total MBO;Domain not classified;Saba;2013/'14;0.0
1013;Total MBO;Domain not classified;Saba;2014/'15;0.0
1014;Total MBO;Domain not classified;Saba;2015/'16;0.0
1015;Total MBO;Domain not classified;Saba;2016/'17;0.0
1016;Total MBO;Domain not classified;Saba;2017/'18;0.0
1017;Total MBO;Domain not classified;Saba;2018/'19;0.0
1018;Total MBO;Domain not classified;Saba;2019/'20;0.0
1019;Total MBO;Domain not classified;Saba;2020/'21;0.0
1020;Total MBO;Domain not classified;Saba;2021/'22;
1021;Total MBO;Domain not classified;Saba;2022/'23;
1022;Total MBO;Domain not classified;Saba;2023/'24;
1023;Total MBO;Domain not classified;Saba;2024/'25;
1024;MBO entrance training;Total fields of education;Caribbean Netherlands;2009/'10;0.0
1025;MBO entrance training;Total fields of education;Caribbean Netherlands;2010/'11;0.0
1026;MBO entrance training;Total fields of education;Caribbean Netherlands;2011/'12;74.0
1027;MBO entrance training;Total fields of education;Caribbean Netherlands;2012/'13;
1028;MBO entrance training;Total fields of education;Caribbean Netherlands;2013/'14;98.0
1029;MBO entrance training;Total fields of education;Caribbean Netherlands;2014/'15;116.0
1030;MBO entrance training;Total fields of education;Caribbean Netherlands;2015/'16;95.0
1031;MBO entrance training;Total fields of education;Caribbean Netherlands;2016/'17;104.0
1032;MBO entrance training;Total fields of education;Caribbean Netherlands;2017/'18;117.0
1033;MBO entrance training;Total fields of education;Caribbean Netherlands;2018/'19;93.0
1034;MBO entrance training;Total fields of education;Caribbean Netherlands;2019/'20;127.0
1035;MBO entrance training;Total fields of education;Caribbean Netherlands;2020/'21;110.0
1036;MBO entrance training;Total fields of education;Caribbean Netherlands;2021/'22;101.0
1037;MBO entrance training;Total fields of education;Caribbean Netherlands;2022/'23;120.0
1038;MBO entrance training;Total fields of education;Caribbean Netherlands;2023/'24;95.0
1039;MBO entrance training;Total fields of education;Caribbean Netherlands;2024/'25;109.0
1040;MBO entrance training;Total fields of education;Bonaire;2009/'10;0.0
1041;MBO entrance training;Total fields of education;Bonaire;2010/'11;0.0
1042;MBO entrance training;Total fields of education;Bonaire;2011/'12;74.0
1043;MBO entrance training;Total fields of education;Bonaire;2012/'13;
1044;MBO entrance training;Total fields of education;Bonaire;2013/'14;79.0
1045;MBO entrance training;Total fields of education;Bonaire;2014/'15;91.0
1046;MBO entrance training;Total fields of education;Bonaire;2015/'16;81.0
1047;MBO entrance training;Total fields of education;Bonaire;2016/'17;100.0
1048;MBO entrance training;Total fields of education;Bonaire;2017/'18;104.0
1049;MBO entrance training;Total fields of education;Bonaire;2018/'19;93.0
1050;MBO entrance training;Total fields of education;Bonaire;2019/'20;127.0
1051;MBO entrance training;Total fields of education;Bonaire;2020/'21;110.0
1052;MBO entrance training;Total fields of education;Bonaire;2021/'22;101.0
1053;MBO entrance training;Total fields of education;Bonaire;2022/'23;120.0
1054;MBO entrance training;Total fields of education;Bonaire;2023/'24;95.0
1055;MBO entrance training;Total fields of education;Bonaire;2024/'25;109.0
1056;MBO entrance training;Total fields of education;St Eustatius;2009/'10;
1057;MBO entrance training;Total fields of education;St Eustatius;2010/'11;
1058;MBO entrance training;Total fields of education;St Eustatius;2011/'12;
1059;MBO entrance training;Total fields of education;St Eustatius;2012/'13;7.0
1060;MBO entrance training;Total fields of education;St Eustatius;2013/'14;12.0
1061;MBO entrance training;Total fields of education;St Eustatius;2014/'15;21.0
1062;MBO entrance training;Total fields of education;St Eustatius;2015/'16;14.0
1063;MBO entrance training;Total fields of education;St Eustatius;2016/'17;4.0
1064;MBO entrance training;Total fields of education;St Eustatius;2017/'18;13.0
1065;MBO entrance training;Total fields of education;St Eustatius;2018/'19;0.0
1066;MBO entrance training;Total fields of education;St Eustatius;2019/'20;0.0
1067;MBO entrance training;Total fields of education;St Eustatius;2020/'21;0.0
1068;MBO entrance training;Total fields of education;St Eustatius;2021/'22;
1069;MBO entrance training;Total fields of education;St Eustatius;2022/'23;
1070;MBO entrance training;Total fields of education;St Eustatius;2023/'24;
1071;MBO entrance training;Total fields of education;St Eustatius;2024/'25;
1072;MBO entrance training;Total fields of education;Saba;2009/'10;
1073;MBO entrance training;Total fields of education;Saba;2010/'11;
1074;MBO entrance training;Total fields of education;Saba;2011/'12;
1075;MBO entrance training;Total fields of education;Saba;2012/'13;0.0
1076;MBO entrance training;Total fields of education;Saba;2013/'14;7.0
1077;MBO entrance training;Total fields of education;Saba;2014/'15;4.0
1078;MBO entrance training;Total fields of education;Saba;2015/'16;0.0
1079;MBO entrance training;Total fields of education;Saba;2016/'17;0.0
1080;MBO entrance training;Total fields of education;Saba;2017/'18;0.0
1081;MBO entrance training;Total fields of education;Saba;2018/'19;0.0
1082;MBO entrance training;Total fields of education;Saba;2019/'20;0.0
1083;MBO entrance training;Total fields of education;Saba;2020/'21;0.0
1084;MBO entrance training;Total fields of education;Saba;2021/'22;
1085;MBO entrance training;Total fields of education;Saba;2022/'23;
1086;MBO entrance training;Total fields of education;Saba;2023/'24;
1087;MBO entrance training;Total fields of education;Saba;2024/'25;
1088;MBO entrance training;Sector Economics;Caribbean Netherlands;2009/'10;0.0
1089;MBO entrance training;Sector Economics;Caribbean Netherlands;2010/'11;0.0
1090;MBO entrance training;Sector Economics;Caribbean Netherlands;2011/'12;17.0
1091;MBO entrance training;Sector Economics;Caribbean Netherlands;2012/'13;
1092;MBO entrance training;Sector Economics;Caribbean Netherlands;2013/'14;19.0
1093;MBO entrance training;Sector Economics;Caribbean Netherlands;2014/'15;36.0
1094;MBO entrance training;Sector Economics;Caribbean Netherlands;2015/'16;29.0
1095;MBO entrance training;Sector Economics;Caribbean Netherlands;2016/'17;0.0
1096;MBO entrance training;Sector Economics;Caribbean Netherlands;2017/'18;0.0
1097;MBO entrance training;Sector Economics;Caribbean Netherlands;2018/'19;0.0
1098;MBO entrance training;Sector Economics;Caribbean Netherlands;2019/'20;0.0
1099;MBO entrance training;Sector Economics;Caribbean Netherlands;2020/'21;0.0
1100;MBO entrance training;Sector Economics;Caribbean Netherlands;2021/'22;0.0
1101;MBO entrance training;Sector Economics;Caribbean Netherlands;2022/'23;0.0
1102;MBO entrance training;Sector Economics;Caribbean Netherlands;2023/'24;0.0
1103;MBO entrance training;Sector Economics;Caribbean Netherlands;2024/'25;0.0
1104;MBO entrance training;Sector Economics;Bonaire;2009/'10;0.0
1105;MBO entrance training;Sector Economics;Bonaire;2010/'11;0.0
1106;MBO entrance training;Sector Economics;Bonaire;2011/'12;17.0
1107;MBO entrance training;Sector Economics;Bonaire;2012/'13;
1108;MBO entrance training;Sector Economics;Bonaire;2013/'14;16.0
1109;MBO entrance training;Sector Economics;Bonaire;2014/'15;35.0
1110;MBO entrance training;Sector Economics;Bonaire;2015/'16;29.0
1111;MBO entrance training;Sector Economics;Bonaire;2016/'17;0.0
1112;MBO entrance training;Sector Economics;Bonaire;2017/'18;0.0
1113;MBO entrance training;Sector Economics;Bonaire;2018/'19;0.0
1114;MBO entrance training;Sector Economics;Bonaire;2019/'20;0.0
1115;MBO entrance training;Sector Economics;Bonaire;2020/'21;0.0
1116;MBO entrance training;Sector Economics;Bonaire;2021/'22;0.0
1117;MBO entrance training;Sector Economics;Bonaire;2022/'23;0.0
1118;MBO entrance training;Sector Economics;Bonaire;2023/'24;0.0
1119;MBO entrance training;Sector Economics;Bonaire;2024/'25;0.0
1120;MBO entrance training;Sector Economics;St Eustatius;2009/'10;
1121;MBO entrance training;Sector Economics;St Eustatius;2010/'11;
1122;MBO entrance training;Sector Economics;St Eustatius;2011/'12;
1123;MBO entrance training;Sector Economics;St Eustatius;2012/'13;0.0
1124;MBO entrance training;Sector Economics;St Eustatius;2013/'14;0.0
1125;MBO entrance training;Sector Economics;St Eustatius;2014/'15;0.0
1126;MBO entrance training;Sector Economics;St Eustatius;2015/'16;0.0
1127;MBO entrance training;Sector Economics;St Eustatius;2016/'17;0.0
1128;MBO entrance training;Sector Economics;St Eustatius;2017/'18;0.0
1129;MBO entrance training;Sector Economics;St Eustatius;2018/'19;0.0
1130;MBO entrance training;Sector Economics;St Eustatius;2019/'20;0.0
1131;MBO entrance training;Sector Economics;St Eustatius;2020/'21;0.0
1132;MBO entrance training;Sector Economics;St Eustatius;2021/'22;
1133;MBO entrance training;Sector Economics;St Eustatius;2022/'23;
1134;MBO entrance training;Sector Economics;St Eustatius;2023/'24;
1135;MBO entrance training;Sector Economics;St Eustatius;2024/'25;
1136;MBO entrance training;Sector Economics;Saba;2009/'10;
1137;MBO entrance training;Sector Economics;Saba;2010/'11;
1138;MBO entrance training;Sector Economics;Saba;2011/'12;
1139;MBO entrance training;Sector Economics;Saba;2012/'13;0.0
1140;MBO entrance training;Sector Economics;Saba;2013/'14;3.0
1141;MBO entrance training;Sector Economics;Saba;2014/'15;1.0
1142;MBO entrance training;Sector Economics;Saba;2015/'16;0.0
1143;MBO entrance training;Sector Economics;Saba;2016/'17;0.0
1144;MBO entrance training;Sector Economics;Saba;2017/'18;0.0
1145;MBO entrance training;Sector Economics;Saba;2018/'19;0.0
1146;MBO entrance training;Sector Economics;Saba;2019/'20;0.0
1147;MBO entrance training;Sector Economics;Saba;2020/'21;0.0
1148;MBO entrance training;Sector Economics;Saba;2021/'22;
1149;MBO entrance training;Sector Economics;Saba;2022/'23;
1150;MBO entrance training;Sector Economics;Saba;2023/'24;
1151;MBO entrance training;Sector Economics;Saba;2024/'25;
1152;MBO entrance training;Sector Technology;Caribbean Netherlands;2009/'10;0.0
1153;MBO entrance training;Sector Technology;Caribbean Netherlands;2010/'11;0.0
1154;MBO entrance training;Sector Technology;Caribbean Netherlands;2011/'12;13.0
1155;MBO entrance training;Sector Technology;Caribbean Netherlands;2012/'13;
1156;MBO entrance training;Sector Technology;Caribbean Netherlands;2013/'14;6.0
1157;MBO entrance training;Sector Technology;Caribbean Netherlands;2014/'15;3.0
1158;MBO entrance training;Sector Technology;Caribbean Netherlands;2015/'16;0.0
1159;MBO entrance training;Sector Technology;Caribbean Netherlands;2016/'17;0.0
1160;MBO entrance training;Sector Technology;Caribbean Netherlands;2017/'18;0.0
1161;MBO entrance training;Sector Technology;Caribbean Netherlands;2018/'19;0.0
1162;MBO entrance training;Sector Technology;Caribbean Netherlands;2019/'20;0.0
1163;MBO entrance training;Sector Technology;Caribbean Netherlands;2020/'21;0.0
1164;MBO entrance training;Sector Technology;Caribbean Netherlands;2021/'22;0.0
1165;MBO entrance training;Sector Technology;Caribbean Netherlands;2022/'23;0.0
1166;MBO entrance training;Sector Technology;Caribbean Netherlands;2023/'24;0.0
1167;MBO entrance training;Sector Technology;Caribbean Netherlands;2024/'25;0.0
1168;MBO entrance training;Sector Technology;Bonaire;2009/'10;0.0
1169;MBO entrance training;Sector Technology;Bonaire;2010/'11;0.0
1170;MBO entrance training;Sector Technology;Bonaire;2011/'12;13.0
1171;MBO entrance training;Sector Technology;Bonaire;2012/'13;
1172;MBO entrance training;Sector Technology;Bonaire;2013/'14;2.0
1173;MBO entrance training;Sector Technology;Bonaire;2014/'15;0.0
1174;MBO entrance training;Sector Technology;Bonaire;2015/'16;0.0
1175;MBO entrance training;Sector Technology;Bonaire;2016/'17;0.0
1176;MBO entrance training;Sector Technology;Bonaire;2017/'18;0.0
1177;MBO entrance training;Sector Technology;Bonaire;2018/'19;0.0
1178;MBO entrance training;Sector Technology;Bonaire;2019/'20;0.0
1179;MBO entrance training;Sector Technology;Bonaire;2020/'21;0.0
1180;MBO entrance training;Sector Technology;Bonaire;2021/'22;0.0
1181;MBO entrance training;Sector Technology;Bonaire;2022/'23;0.0
1182;MBO entrance training;Sector Technology;Bonaire;2023/'24;0.0
1183;MBO entrance training;Sector Technology;Bonaire;2024/'25;0.0
1184;MBO entrance training;Sector Technology;St Eustatius;2009/'10;
1185;MBO entrance training;Sector Technology;St Eustatius;2010/'11;
1186;MBO entrance training;Sector Technology;St Eustatius;2011/'12;
1187;MBO entrance training;Sector Technology;St Eustatius;2012/'13;0.0
1188;MBO entrance training;Sector Technology;St Eustatius;2013/'14;0.0
1189;MBO entrance training;Sector Technology;St Eustatius;2014/'15;0.0
1190;MBO entrance training;Sector Technology;St Eustatius;2015/'16;0.0
1191;MBO entrance training;Sector Technology;St Eustatius;2016/'17;0.0
1192;MBO entrance training;Sector Technology;St Eustatius;2017/'18;0.0
1193;MBO entrance training;Sector Technology;St Eustatius;2018/'19;0.0
1194;MBO entrance training;Sector Technology;St Eustatius;2019/'20;0.0
1195;MBO entrance training;Sector Technology;St Eustatius;2020/'21;0.0
1196;MBO entrance training;Sector Technology;St Eustatius;2021/'22;
1197;MBO entrance training;Sector Technology;St Eustatius;2022/'23;
1198;MBO entrance training;Sector Technology;St Eustatius;2023/'24;
1199;MBO entrance training;Sector Technology;St Eustatius;2024/'25;
1200;MBO entrance training;Sector Technology;Saba;2009/'10;
1201;MBO entrance training;Sector Technology;Saba;2010/'11;
1202;MBO entrance training;Sector Technology;Saba;2011/'12;
1203;MBO entrance training;Sector Technology;Saba;2012/'13;0.0
1204;MBO entrance training;Sector Technology;Saba;2013/'14;4.0
1205;MBO entrance training;Sector Technology;Saba;2014/'15;3.0
1206;MBO entrance training;Sector Technology;Saba;2015/'16;0.0
1207;MBO entrance training;Sector Technology;Saba;2016/'17;0.0
1208;MBO entrance training;Sector Technology;Saba;2017/'18;0.0
1209;MBO entrance training;Sector Technology;Saba;2018/'19;0.0
1210;MBO entrance training;Sector Technology;Saba;2019/'20;0.0
1211;MBO entrance training;Sector Technology;Saba;2020/'21;0.0
1212;MBO entrance training;Sector Technology;Saba;2021/'22;
1213;MBO entrance training;Sector Technology;Saba;2022/'23;
1214;MBO entrance training;Sector Technology;Saba;2023/'24;
1215;MBO entrance training;Sector Technology;Saba;2024/'25;
1216;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2009/'10;0.0
1217;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2010/'11;0.0
1218;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2011/'12;0.0
1219;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2012/'13;
1220;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2013/'14;0.0
1221;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2014/'15;0.0
1222;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2015/'16;0.0
1223;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2016/'17;0.0
1224;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2017/'18;0.0
1225;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2018/'19;0.0
1226;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2019/'20;0.0
1227;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2020/'21;0.0
1228;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2021/'22;0.0
1229;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2022/'23;0.0
1230;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2023/'24;0.0
1231;MBO entrance training;Sector Health and welfare;Caribbean Netherlands;2024/'25;0.0
1232;MBO entrance training;Sector Health and welfare;Bonaire;2009/'10;0.0
1233;MBO entrance training;Sector Health and welfare;Bonaire;2010/'11;0.0
1234;MBO entrance training;Sector Health and welfare;Bonaire;2011/'12;0.0
1235;MBO entrance training;Sector Health and welfare;Bonaire;2012/'13;
1236;MBO entrance training;Sector Health and welfare;Bonaire;2013/'14;0.0
1237;MBO entrance training;Sector Health and welfare;Bonaire;2014/'15;0.0
1238;MBO entrance training;Sector Health and welfare;Bonaire;2015/'16;0.0
1239;MBO entrance training;Sector Health and welfare;Bonaire;2016/'17;0.0
1240;MBO entrance training;Sector Health and welfare;Bonaire;2017/'18;0.0
1241;MBO entrance training;Sector Health and welfare;Bonaire;2018/'19;0.0
1242;MBO entrance training;Sector Health and welfare;Bonaire;2019/'20;0.0
1243;MBO entrance training;Sector Health and welfare;Bonaire;2020/'21;0.0
1244;MBO entrance training;Sector Health and welfare;Bonaire;2021/'22;0.0
1245;MBO entrance training;Sector Health and welfare;Bonaire;2022/'23;0.0
1246;MBO entrance training;Sector Health and welfare;Bonaire;2023/'24;0.0
1247;MBO entrance training;Sector Health and welfare;Bonaire;2024/'25;0.0
1248;MBO entrance training;Sector Health and welfare;St Eustatius;2009/'10;
1249;MBO entrance training;Sector Health and welfare;St Eustatius;2010/'11;
1250;MBO entrance training;Sector Health and welfare;St Eustatius;2011/'12;
1251;MBO entrance training;Sector Health and welfare;St Eustatius;2012/'13;0.0
1252;MBO entrance training;Sector Health and welfare;St Eustatius;2013/'14;0.0
1253;MBO entrance training;Sector Health and welfare;St Eustatius;2014/'15;0.0
1254;MBO entrance training;Sector Health and welfare;St Eustatius;2015/'16;0.0
1255;MBO entrance training;Sector Health and welfare;St Eustatius;2016/'17;0.0
1256;MBO entrance training;Sector Health and welfare;St Eustatius;2017/'18;0.0
1257;MBO entrance training;Sector Health and welfare;St Eustatius;2018/'19;0.0
1258;MBO entrance training;Sector Health and welfare;St Eustatius;2019/'20;0.0
1259;MBO entrance training;Sector Health and welfare;St Eustatius;2020/'21;0.0
1260;MBO entrance training;Sector Health and welfare;St Eustatius;2021/'22;
1261;MBO entrance training;Sector Health and welfare;St Eustatius;2022/'23;
1262;MBO entrance training;Sector Health and welfare;St Eustatius;2023/'24;
1263;MBO entrance training;Sector Health and welfare;St Eustatius;2024/'25;
1264;MBO entrance training;Sector Health and welfare;Saba;2009/'10;
1265;MBO entrance training;Sector Health and welfare;Saba;2010/'11;
1266;MBO entrance training;Sector Health and welfare;Saba;2011/'12;
1267;MBO entrance training;Sector Health and welfare;Saba;2012/'13;0.0
1268;MBO entrance training;Sector Health and welfare;Saba;2013/'14;0.0
1269;MBO entrance training;Sector Health and welfare;Saba;2014/'15;0.0
1270;MBO entrance training;Sector Health and welfare;Saba;2015/'16;0.0
1271;MBO entrance training;Sector Health and welfare;Saba;2016/'17;0.0
1272;MBO entrance training;Sector Health and welfare;Saba;2017/'18;0.0
1273;MBO entrance training;Sector Health and welfare;Saba;2018/'19;0.0
1274;MBO entrance training;Sector Health and welfare;Saba;2019/'20;0.0
1275;MBO entrance training;Sector Health and welfare;Saba;2020/'21;0.0
1276;MBO entrance training;Sector Health and welfare;Saba;2021/'22;
1277;MBO entrance training;Sector Health and welfare;Saba;2022/'23;
1278;MBO entrance training;Sector Health and welfare;Saba;2023/'24;
1279;MBO entrance training;Sector Health and welfare;Saba;2024/'25;
1280;MBO entrance training;Combination of sectors;Caribbean Netherlands;2009/'10;0.0
1281;MBO entrance training;Combination of sectors;Caribbean Netherlands;2010/'11;0.0
1282;MBO entrance training;Combination of sectors;Caribbean Netherlands;2011/'12;44.0
1283;MBO entrance training;Combination of sectors;Caribbean Netherlands;2012/'13;
