ID;OutputPrices;SIC2008;Periods;IndexNumbers_1;YearOnYearDevelopment_2;MonthOnMonthDevelopment_3;WeightFactor_4
1160;Total output prices;08 Mining and quarrying (no oil and gas);1996 April;69.9;3.8;0.2;0
1161;Total output prices;08 Mining and quarrying (no oil and gas);1996 May;69.9;4.1;0.1;0
1162;Total output prices;08 Mining and quarrying (no oil and gas);1996 June;69.6;3.7;-0.5;0
1163;Total output prices;08 Mining and quarrying (no oil and gas);1996 July;69.8;3.9;0.2;0
1164;Total output prices;08 Mining and quarrying (no oil and gas);1996 August;69.8;4.0;0.1;0
1165;Total output prices;08 Mining and quarrying (no oil and gas);1996 September;69.8;4.6;0.0;0
1166;Total output prices;08 Mining and quarrying (no oil and gas);1996 October;70.0;4.6;0.2;0
1167;Total output prices;08 Mining and quarrying (no oil and gas);1996 November;70.0;3.8;0.1;0
1168;Total output prices;08 Mining and quarrying (no oil and gas);1996 December;69.9;3.7;-0.1;0
1169;Total output prices;08 Mining and quarrying (no oil and gas);1996;69.8;4.0;;0
1170;Total output prices;08 Mining and quarrying (no oil and gas);1997 January;71.6;3.1;2.4;0
1171;Total output prices;08 Mining and quarrying (no oil and gas);1997 February;71.6;2.7;0.0;0
1172;Total output prices;08 Mining and quarrying (no oil and gas);1997 March ;71.8;2.9;0.2;0
1173;Total output prices;08 Mining and quarrying (no oil and gas);1997 April;71.7;2.6;-0.1;0
1174;Total output prices;08 Mining and quarrying (no oil and gas);1997 May;71.7;2.5;0.0;0
1175;Total output prices;08 Mining and quarrying (no oil and gas);1997 June;71.6;2.9;0.0;0
1176;Total output prices;08 Mining and quarrying (no oil and gas);1997 July;71.8;2.8;0.2;0
1177;Total output prices;08 Mining and quarrying (no oil and gas);1997 August;71.8;2.8;0.0;0
1178;Total output prices;08 Mining and quarrying (no oil and gas);1997 September;71.7;2.7;-0.1;0
1179;Total output prices;08 Mining and quarrying (no oil and gas);1997 October;71.6;2.3;-0.2;0
1180;Total output prices;08 Mining and quarrying (no oil and gas);1997 November;71.6;2.3;0.0;0
1181;Total output prices;08 Mining and quarrying (no oil and gas);1997 December;71.5;2.3;-0.1;0
1182;Total output prices;08 Mining and quarrying (no oil and gas);1997;71.7;2.7;;0
1183;Total output prices;08 Mining and quarrying (no oil and gas);1998 January;73.2;2.2;2.4;0
1184;Total output prices;08 Mining and quarrying (no oil and gas);1998 February;73.2;2.2;-0.1;0
1185;Total output prices;08 Mining and quarrying (no oil and gas);1998 March ;73.0;1.6;-0.3;0
1186;Total output prices;08 Mining and quarrying (no oil and gas);1998 April;72.8;1.5;-0.3;0
1187;Total output prices;08 Mining and quarrying (no oil and gas);1998 May;72.8;1.6;0.1;0
1188;Total output prices;08 Mining and quarrying (no oil and gas);1998 June;72.9;1.7;0.1;0
1189;Total output prices;08 Mining and quarrying (no oil and gas);1998 July;72.5;1.1;-0.4;0
1190;Total output prices;08 Mining and quarrying (no oil and gas);1998 August;72.0;0.4;-0.7;0
1191;Total output prices;08 Mining and quarrying (no oil and gas);1998 September;71.6;-0.3;-0.7;0
1192;Total output prices;08 Mining and quarrying (no oil and gas);1998 October;71.2;-0.6;-0.5;0
1193;Total output prices;08 Mining and quarrying (no oil and gas);1998 November;71.1;-0.7;-0.2;0
1194;Total output prices;08 Mining and quarrying (no oil and gas);1998 December;71.1;-0.6;0.0;0
1195;Total output prices;08 Mining and quarrying (no oil and gas);1998;72.3;0.8;;0
1196;Total output prices;08 Mining and quarrying (no oil and gas);1999 January;72.4;-1.2;1.8;0
1197;Total output prices;08 Mining and quarrying (no oil and gas);1999 February;72.6;-0.7;0.4;0
1198;Total output prices;08 Mining and quarrying (no oil and gas);1999 March ;72.4;-0.7;-0.3;0
1199;Total output prices;08 Mining and quarrying (no oil and gas);1999 April;72.6;-0.3;0.2;0
1200;Total output prices;08 Mining and quarrying (no oil and gas);1999 May;72.4;-0.5;-0.2;0
1201;Total output prices;08 Mining and quarrying (no oil and gas);1999 June;72.3;-0.8;-0.2;0
1202;Total output prices;08 Mining and quarrying (no oil and gas);1999 July;71.7;-1.1;-0.8;0
1203;Total output prices;08 Mining and quarrying (no oil and gas);1999 August;70.8;-1.7;-1.3;0
1204;Total output prices;08 Mining and quarrying (no oil and gas);1999 September;70.3;-1.8;-0.8;0
1205;Total output prices;08 Mining and quarrying (no oil and gas);1999 October;69.6;-2.4;-1.0;0
1206;Total output prices;08 Mining and quarrying (no oil and gas);1999 November;68.7;-3.4;-1.3;0
1207;Total output prices;08 Mining and quarrying (no oil and gas);1999 December;67.8;-4.7;-1.3;0
1208;Total output prices;08 Mining and quarrying (no oil and gas);1999;71.1;-1.6;;0
1209;Total output prices;08 Mining and quarrying (no oil and gas);2000 January;68.4;-5.5;0.9;0
1210;Total output prices;08 Mining and quarrying (no oil and gas);2000 February;70.2;-3.3;2.7;0
1211;Total output prices;08 Mining and quarrying (no oil and gas);2000 March;72.0;-0.6;2.5;0
1212;Total output prices;08 Mining and quarrying (no oil and gas);2000 April;73.0;0.6;1.4;0
1213;Total output prices;08 Mining and quarrying (no oil and gas);2000 May;73.9;2.0;1.3;0
1214;Total output prices;08 Mining and quarrying (no oil and gas);2000 June;73.7;1.9;-0.3;0
1215;Total output prices;08 Mining and quarrying (no oil and gas);2000 July;73.7;2.8;0.0;0
1216;Total output prices;08 Mining and quarrying (no oil and gas);2000 August;72.5;2.4;-1.6;0
1217;Total output prices;08 Mining and quarrying (no oil and gas);2000 September;74.5;6.1;2.8;0
1218;Total output prices;08 Mining and quarrying (no oil and gas);2000 October;75.9;9.1;1.8;0
1219;Total output prices;08 Mining and quarrying (no oil and gas);2000 November;76.8;11.8;1.1;0
1220;Total output prices;08 Mining and quarrying (no oil and gas);2000 December;77.1;13.7;0.4;0
1221;Total output prices;08 Mining and quarrying (no oil and gas);2000;73.5;3.3;;0
1222;Total output prices;08 Mining and quarrying (no oil and gas);2001 January;78.7;15.1;2.2;0
1223;Total output prices;08 Mining and quarrying (no oil and gas);2001 February;79.2;12.7;0.6;0
1224;Total output prices;08 Mining and quarrying (no oil and gas);2001 March;79.2;10.1;0.1;0
1225;Total output prices;08 Mining and quarrying (no oil and gas);2001 April;79.0;8.2;-0.3;0
1226;Total output prices;08 Mining and quarrying (no oil and gas);2001 May;80.0;8.2;1.3;0
1227;Total output prices;08 Mining and quarrying (no oil and gas);2001 June;78.5;6.5;-1.9;0
1228;Total output prices;08 Mining and quarrying (no oil and gas);2001 July;76.7;4.0;-2.3;0
1229;Total output prices;08 Mining and quarrying (no oil and gas);2001 August;75.8;4.5;-1.1;0
1230;Total output prices;08 Mining and quarrying (no oil and gas);2001 September;75.6;1.5;-0.2;0
1231;Total output prices;08 Mining and quarrying (no oil and gas);2001 October;75.4;-0.7;-0.3;0
1232;Total output prices;08 Mining and quarrying (no oil and gas);2001 November;76.0;-1.0;0.8;0
1233;Total output prices;08 Mining and quarrying (no oil and gas);2001 December;76.0;-1.4;0.0;0
1234;Total output prices;08 Mining and quarrying (no oil and gas);2001;77.5;5.5;;0
1235;Total output prices;08 Mining and quarrying (no oil and gas);2002 January;76.9;-2.3;1.3;0
1236;Total output prices;08 Mining and quarrying (no oil and gas);2002 February;78.2;-1.2;1.7;0
1237;Total output prices;08 Mining and quarrying (no oil and gas);2002 March;78.3;-1.2;0.1;0
1238;Total output prices;08 Mining and quarrying (no oil and gas);2002 April;78.7;-0.3;0.5;0
1239;Total output prices;08 Mining and quarrying (no oil and gas);2002 May;76.8;-3.9;-2.4;0
1240;Total output prices;08 Mining and quarrying (no oil and gas);2002 June;76.4;-2.6;-0.5;0
1241;Total output prices;08 Mining and quarrying (no oil and gas);2002 July;76.3;-0.5;-0.2;0
1242;Total output prices;08 Mining and quarrying (no oil and gas);2002 August;76.1;0.4;-0.2;0
1243;Total output prices;08 Mining and quarrying (no oil and gas);2002 September;76.2;0.8;0.1;0
1244;Total output prices;08 Mining and quarrying (no oil and gas);2002 October;76.6;1.6;0.5;0
1245;Total output prices;08 Mining and quarrying (no oil and gas);2002 November;78.7;3.6;2.8;0
1246;Total output prices;08 Mining and quarrying (no oil and gas);2002 December;79.0;4.0;0.4;0
1247;Total output prices;08 Mining and quarrying (no oil and gas);2002;77.4;-0.2;;0
1248;Total output prices;08 Mining and quarrying (no oil and gas);2003 January;79.8;3.8;1.0;0
1249;Total output prices;08 Mining and quarrying (no oil and gas);2003 February;78.3;0.1;-1.9;0
1250;Total output prices;08 Mining and quarrying (no oil and gas);2003 March;79.8;1.9;1.8;0
1251;Total output prices;08 Mining and quarrying (no oil and gas);2003 April;80.4;2.1;0.8;0
1252;Total output prices;08 Mining and quarrying (no oil and gas);2003 May;79.6;3.6;-1.0;0
1253;Total output prices;08 Mining and quarrying (no oil and gas);2003 June;79.1;3.4;-0.6;0
1254;Total output prices;08 Mining and quarrying (no oil and gas);2003 July;78.1;2.4;-1.2;0
1255;Total output prices;08 Mining and quarrying (no oil and gas);2003 August;77.4;1.6;-1.0;0
1256;Total output prices;08 Mining and quarrying (no oil and gas);2003 September;77.8;2.1;0.6;0
1257;Total output prices;08 Mining and quarrying (no oil and gas);2003 October;78.6;2.6;1.0;0
1258;Total output prices;08 Mining and quarrying (no oil and gas);2003 November;78.4;-0.3;-0.2;0
1259;Total output prices;08 Mining and quarrying (no oil and gas);2003 December;78.7;-0.4;0.3;0
1260;Total output prices;08 Mining and quarrying (no oil and gas);2003;78.8;1.9;;0
1261;Total output prices;08 Mining and quarrying (no oil and gas);2004 January;79.2;-0.8;0.6;0
1262;Total output prices;08 Mining and quarrying (no oil and gas);2004 February;80.2;2.3;1.2;0
1263;Total output prices;08 Mining and quarrying (no oil and gas);2004 March;80.0;0.3;-0.2;0
1264;Total output prices;08 Mining and quarrying (no oil and gas);2004 April;78.9;-1.8;-1.3;0
1265;Total output prices;08 Mining and quarrying (no oil and gas);2004 May;78.1;-1.8;-1.0;0
1266;Total output prices;08 Mining and quarrying (no oil and gas);2004 June;77.4;-2.1;-0.9;0
1267;Total output prices;08 Mining and quarrying (no oil and gas);2004 July;77.6;-0.7;0.2;0
1268;Total output prices;08 Mining and quarrying (no oil and gas);2004 August;77.7;0.5;0.2;0
1269;Total output prices;08 Mining and quarrying (no oil and gas);2004 September;78.2;0.5;0.6;0
1270;Total output prices;08 Mining and quarrying (no oil and gas);2004 October;79.0;0.6;1.1;0
1271;Total output prices;08 Mining and quarrying (no oil and gas);2004 November;80.0;1.9;1.2;0
1272;Total output prices;08 Mining and quarrying (no oil and gas);2004 December;80.9;2.8;1.1;0
1273;Total output prices;08 Mining and quarrying (no oil and gas);2004;78.9;0.1;;0
1274;Total output prices;08 Mining and quarrying (no oil and gas);2005 January;81.7;;;800
1275;Total output prices;08 Mining and quarrying (no oil and gas);2005 February;81.9;;0.3;800
1276;Total output prices;08 Mining and quarrying (no oil and gas);2005 March;82.0;;0.1;800
1277;Total output prices;08 Mining and quarrying (no oil and gas);2005 April;81.5;;-0.6;800
1278;Total output prices;08 Mining and quarrying (no oil and gas);2005 May;80.8;;-0.8;800
1279;Total output prices;08 Mining and quarrying (no oil and gas);2005 June;80.9;;0.1;800
1280;Total output prices;08 Mining and quarrying (no oil and gas);2005 July;81.4;;0.6;800
1281;Total output prices;08 Mining and quarrying (no oil and gas);2005 August;81.5;;0.2;800
1282;Total output prices;08 Mining and quarrying (no oil and gas);2005 September;81.9;;0.4;800
1283;Total output prices;08 Mining and quarrying (no oil and gas);2005 October;82.5;;0.8;800
1284;Total output prices;08 Mining and quarrying (no oil and gas);2005 November;82.9;;0.5;800
1285;Total output prices;08 Mining and quarrying (no oil and gas);2005 December;84.0;;1.3;800
1286;Total output prices;08 Mining and quarrying (no oil and gas);2005;81.9;;;800
1287;Total output prices;08 Mining and quarrying (no oil and gas);2006 January;84.5;3.5;0.6;800
1288;Total output prices;08 Mining and quarrying (no oil and gas);2006 February;84.8;3.5;0.4;800
1289;Total output prices;08 Mining and quarrying (no oil and gas);2006 March;85.1;3.8;0.3;800
1290;Total output prices;08 Mining and quarrying (no oil and gas);2006 April;85.6;5.1;0.6;800
1291;Total output prices;08 Mining and quarrying (no oil and gas);2006 May;86.1;6.5;0.5;800
1292;Total output prices;08 Mining and quarrying (no oil and gas);2006 June;85.1;5.3;-1.1;800
1293;Total output prices;08 Mining and quarrying (no oil and gas);2006 July;85.2;4.7;0.1;800
1294;Total output prices;08 Mining and quarrying (no oil and gas);2006 August;85.2;4.5;-0.1;800
1295;Total output prices;08 Mining and quarrying (no oil and gas);2006 September;85.3;4.1;0.1;800
1296;Total output prices;08 Mining and quarrying (no oil and gas);2006 October;85.3;3.3;0.0;800
1297;Total output prices;08 Mining and quarrying (no oil and gas);2006 November;85.3;2.8;0.0;800
1298;Total output prices;08 Mining and quarrying (no oil and gas);2006 December;85.3;1.6;0.0;800
1299;Total output prices;08 Mining and quarrying (no oil and gas);2006;85.2;4.0;;800
1300;Total output prices;08 Mining and quarrying (no oil and gas);2007 January;86.4;2.3;1.3;800
1301;Total output prices;08 Mining and quarrying (no oil and gas);2007 February;87.7;3.5;1.5;800
1302;Total output prices;08 Mining and quarrying (no oil and gas);2007 March;88.3;3.8;0.6;800
1303;Total output prices;08 Mining and quarrying (no oil and gas);2007 April;90.4;5.6;2.4;800
1304;Total output prices;08 Mining and quarrying (no oil and gas);2007 May;89.7;4.2;-0.8;800
1305;Total output prices;08 Mining and quarrying (no oil and gas);2007 June;89.2;4.8;-0.5;800
1306;Total output prices;08 Mining and quarrying (no oil and gas);2007 July;89.6;5.1;0.4;800
1307;Total output prices;08 Mining and quarrying (no oil and gas);2007 August;89.7;5.4;0.2;800
1308;Total output prices;08 Mining and quarrying (no oil and gas);2007 September;89.8;5.4;0.1;800
1309;Total output prices;08 Mining and quarrying (no oil and gas);2007 October;91.5;7.3;1.9;800
1310;Total output prices;08 Mining and quarrying (no oil and gas);2007 November;94.3;10.6;3.1;800
1311;Total output prices;08 Mining and quarrying (no oil and gas);2007 December;97.4;14.2;3.2;800
1312;Total output prices;08 Mining and quarrying (no oil and gas);2007;90.4;6.0;;800
1313;Total output prices;08 Mining and quarrying (no oil and gas);2008 January;102.7;18.8;5.5;800
1314;Total output prices;08 Mining and quarrying (no oil and gas);2008 February;106.7;21.6;3.9;800
1315;Total output prices;08 Mining and quarrying (no oil and gas);2008 March;110.2;24.8;3.3;800
1316;Total output prices;08 Mining and quarrying (no oil and gas);2008 April;113.0;25.0;2.6;800
1317;Total output prices;08 Mining and quarrying (no oil and gas);2008 May;115.5;28.8;2.2;800
1318;Total output prices;08 Mining and quarrying (no oil and gas);2008 June;120.2;34.7;4.0;800
1319;Total output prices;08 Mining and quarrying (no oil and gas);2008 July;125.9;40.5;4.7;800
1320;Total output prices;08 Mining and quarrying (no oil and gas);2008 August;130.9;45.9;4.0;800
1321;Total output prices;08 Mining and quarrying (no oil and gas);2008 September;135.5;50.8;3.5;800
1322;Total output prices;08 Mining and quarrying (no oil and gas);2008 October;132.7;45.0;-2.0;800
1323;Total output prices;08 Mining and quarrying (no oil and gas);2008 November;134.0;42.0;1.0;800
1324;Total output prices;08 Mining and quarrying (no oil and gas);2008 December;123.4;26.7;-7.9;800
1325;Total output prices;08 Mining and quarrying (no oil and gas);2008;120.9;33.8;;800
1326;Total output prices;08 Mining and quarrying (no oil and gas);2009 January;115.7;12.7;-6.2;800
1327;Total output prices;08 Mining and quarrying (no oil and gas);2009 February;114.3;7.1;-1.2;800
1328;Total output prices;08 Mining and quarrying (no oil and gas);2009 March;112.4;2.0;-1.7;800
1329;Total output prices;08 Mining and quarrying (no oil and gas);2009 April;108.9;-3.7;-3.1;800
1330;Total output prices;08 Mining and quarrying (no oil and gas);2009 May;101.8;-11.9;-6.5;800
1331;Total output prices;08 Mining and quarrying (no oil and gas);2009 June;91.0;-24.3;-10.6;800
1332;Total output prices;08 Mining and quarrying (no oil and gas);2009 July;90.6;-28.0;-0.4;800
1333;Total output prices;08 Mining and quarrying (no oil and gas);2009 August;91.2;-30.3;0.7;800
1334;Total output prices;08 Mining and quarrying (no oil and gas);2009 September;90.7;-33.1;-0.6;800
1335;Total output prices;08 Mining and quarrying (no oil and gas);2009 October;90.8;-31.5;0.2;800
1336;Total output prices;08 Mining and quarrying (no oil and gas);2009 November;89.7;-33.0;-1.2;800
1337;Total output prices;08 Mining and quarrying (no oil and gas);2009 December;88.6;-28.2;-1.2;800
1338;Total output prices;08 Mining and quarrying (no oil and gas);2009;98.8;-18.3;;800
1339;Total output prices;08 Mining and quarrying (no oil and gas);2010 January;92.7;-19.9;4.6;800
1340;Total output prices;08 Mining and quarrying (no oil and gas);2010 February;94.4;-17.4;1.8;800
1341;Total output prices;08 Mining and quarrying (no oil and gas);2010 March;98.5;-12.4;4.3;800
1342;Total output prices;08 Mining and quarrying (no oil and gas);2010 April;100.1;-8.1;1.6;800
1343;Total output prices;08 Mining and quarrying (no oil and gas);2010 May;98.5;-3.2;-1.6;800
1344;Total output prices;08 Mining and quarrying (no oil and gas);2010 June;97.0;6.6;-1.5;800
1345;Total output prices;08 Mining and quarrying (no oil and gas);2010 July;97.5;7.6;0.5;800
1346;Total output prices;08 Mining and quarrying (no oil and gas);2010 August;98.6;8.1;1.2;800
1347;Total output prices;08 Mining and quarrying (no oil and gas);2010 September;100.9;11.3;2.3;800
1348;Total output prices;08 Mining and quarrying (no oil and gas);2010 October;105.0;15.6;4.1;800
1349;Total output prices;08 Mining and quarrying (no oil and gas);2010 November;106.8;19.0;1.7;800
1350;Total output prices;08 Mining and quarrying (no oil and gas);2010 December;109.9;24.0;3.0;800
1351;Total output prices;08 Mining and quarrying (no oil and gas);2010;100.0;1.2;;800
1352;Total output prices;08 Mining and quarrying (no oil and gas);2011 January;111.9;20.7;1.8;800
1353;Total output prices;08 Mining and quarrying (no oil and gas);2011 February;114.3;21.1;2.1;800
1354;Total output prices;08 Mining and quarrying (no oil and gas);2011 March;114.8;16.6;0.5;800
1355;Total output prices;08 Mining and quarrying (no oil and gas);2011 April;112.7;12.7;-1.8;800
1356;Total output prices;08 Mining and quarrying (no oil and gas);2011 May;112.5;14.2;-0.2;800
1357;Total output prices;08 Mining and quarrying (no oil and gas);2011 June;114.1;17.7;1.5;800
1358;Total output prices;08 Mining and quarrying (no oil and gas);2011 July;116.7;19.7;2.3;800
1359;Total output prices;08 Mining and quarrying (no oil and gas);2011 August;117.5;19.2;0.7;800
1360;Total output prices;08 Mining and quarrying (no oil and gas);2011 September;118.8;17.7;1.1;800
1361;Total output prices;08 Mining and quarrying (no oil and gas);2011 October;120.0;14.3;1.0;800
1362;Total output prices;08 Mining and quarrying (no oil and gas);2011 November;120.8;13.1;0.6;800
1363;Total output prices;08 Mining and quarrying (no oil and gas);2011 December;121.7;10.7;0.8;800
1364;Total output prices;08 Mining and quarrying (no oil and gas);2011;116.3;16.3;;800
1365;Total output prices;08 Mining and quarrying (no oil and gas);2012 January;120.6;7.7;-0.9;800
1366;Total output prices;08 Mining and quarrying (no oil and gas);2012 February;119.3;4.4;-1.0;800
1367;Total output prices;08 Mining and quarrying (no oil and gas);2012 March;118.9;3.5;-0.4;800
1368;Total output prices;08 Mining and quarrying (no oil and gas);2012 April;118.2;4.8;-0.6;800
1369;Total output prices;08 Mining and quarrying (no oil and gas);2012 May;118.6;5.5;0.4;800
1370;Total output prices;08 Mining and quarrying (no oil and gas);2012 June;118.3;3.6;-0.3;800
1371;Total output prices;08 Mining and quarrying (no oil and gas);2012 July;117.7;0.9;-0.5;800
1372;Total output prices;08 Mining and quarrying (no oil and gas);2012 August;117.8;0.2;0.1;800
1373;Total output prices;08 Mining and quarrying (no oil and gas);2012 September;118.4;-0.3;0.5;800
1374;Total output prices;08 Mining and quarrying (no oil and gas);2012 October;117.5;-2.1;-0.8;800
1375;Total output prices;08 Mining and quarrying (no oil and gas);2012 November;117.9;-2.4;0.3;800
1376;Total output prices;08 Mining and quarrying (no oil and gas);2012 December;116.9;-4.0;-0.8;800
1377;Total output prices;08 Mining and quarrying (no oil and gas);2012;118.3;1.7;;800
1378;Total output prices;08 Mining and quarrying (no oil and gas);2013 January;116.7;-3.2;-0.2;800
1379;Total output prices;08 Mining and quarrying (no oil and gas);2013 February;117.4;-1.6;0.6;800
1380;Total output prices;08 Mining and quarrying (no oil and gas);2013 March;118.1;-0.7;0.5;800
1381;Total output prices;08 Mining and quarrying (no oil and gas);2013 April;117.2;-0.8;-0.7;800
1382;Total output prices;08 Mining and quarrying (no oil and gas);2013 May;114.8;-3.2;-2.0;800
1383;Total output prices;08 Mining and quarrying (no oil and gas);2013 June;111.3;-5.9;-3.0;800
1384;Total output prices;08 Mining and quarrying (no oil and gas);2013 July;110.0;-6.6;-1.2;800
1385;Total output prices;08 Mining and quarrying (no oil and gas);2013 August;110.0;-6.6;0.1;800
1386;Total output prices;08 Mining and quarrying (no oil and gas);2013 September;109.1;-7.8;-0.8;800
1387;Total output prices;08 Mining and quarrying (no oil and gas);2013 October;107.6;-8.5;-1.4;800
1388;Total output prices;08 Mining and quarrying (no oil and gas);2013 November;106.9;-9.3;-0.6;800
1389;Total output prices;08 Mining and quarrying (no oil and gas);2013 December;107.0;-8.4;0.1;800
1390;Total output prices;08 Mining and quarrying (no oil and gas);2013;112.2;-5.2;;800
1391;Total output prices;08 Mining and quarrying (no oil and gas);2014 January;108.9;-6.6;1.8;800
1392;Total output prices;08 Mining and quarrying (no oil and gas);2014 February;110.4;-6.0;1.4;800
1393;Total output prices;08 Mining and quarrying (no oil and gas);2014 March;111.0;-5.9;0.6;800
1394;Total output prices;08 Mining and quarrying (no oil and gas);2014 April;112.2;-4.3;1.0;800
1395;Total output prices;08 Mining and quarrying (no oil and gas);2014 May;112.9;-1.7;0.7;800
1396;Total output prices;08 Mining and quarrying (no oil and gas);2014 June;110.2;-1.0;-2.4;800
1397;Total output prices;08 Mining and quarrying (no oil and gas);2014 July;108.0;-1.8;-2.0;800
1398;Total output prices;08 Mining and quarrying (no oil and gas);2014 August;108.5;-1.4;0.4;800
1399;Total output prices;08 Mining and quarrying (no oil and gas);2014 September;109.3;0.2;0.8;800
1400;Total output prices;08 Mining and quarrying (no oil and gas);2014 October;111.3;3.4;1.8;800
1401;Total output prices;08 Mining and quarrying (no oil and gas);2014 November;109.3;2.3;-1.8;800
1402;Total output prices;08 Mining and quarrying (no oil and gas);2014 December;111.2;3.9;1.7;800
1403;Total output prices;08 Mining and quarrying (no oil and gas);2014;110.3;-1.7;;800
1404;Total output prices;08 Mining and quarrying (no oil and gas);2015 January;110.9;1.8;-0.2;800
1405;Total output prices;08 Mining and quarrying (no oil and gas);2015 February;110.4;0.0;-0.5;800
1406;Total output prices;08 Mining and quarrying (no oil and gas);2015 March;112.1;1.0;1.6;800
1407;Total output prices;08 Mining and quarrying (no oil and gas);2015 April;111.2;-0.9;-0.8;800
1408;Total output prices;08 Mining and quarrying (no oil and gas);2015 May;108.9;-3.5;-2.0;800
1409;Total output prices;08 Mining and quarrying (no oil and gas);2015 June;109.8;-0.4;0.8;800
1410;Total output prices;08 Mining and quarrying (no oil and gas);2015 July;109.9;1.8;0.1;800
1411;Total output prices;08 Mining and quarrying (no oil and gas);2015 August;110.9;2.2;0.9;800
1412;Total output prices;08 Mining and quarrying (no oil and gas);2015 September;110.1;0.7;-0.7;800
1413;Total output prices;08 Mining and quarrying (no oil and gas);2015 October;109.5;-1.6;-0.6;800
1414;Total output prices;08 Mining and quarrying (no oil and gas);2015 November;107.9;-1.3;-1.4;800
1415;Total output prices;08 Mining and quarrying (no oil and gas);2015 December;110.5;-0.6;2.4;800
1416;Total output prices;08 Mining and quarrying (no oil and gas);2015;110.2;-0.1;;800
1417;Total output prices;08 Mining and quarrying (no oil and gas);2016 January;109.1;-1.6;-1.2;800
1418;Total output prices;08 Mining and quarrying (no oil and gas);2016 February;106.0;-4.0;-2.9;800
1419;Total output prices;08 Mining and quarrying (no oil and gas);2016 March;104.9;-6.5;-1.0;800
1420;Total output prices;08 Mining and quarrying (no oil and gas);2016 April;101.7;-8.5;-3.0;800
1421;Total output prices;08 Mining and quarrying (no oil and gas);2016 May;101.9;-6.4;0.2;800
1422;Total output prices;08 Mining and quarrying (no oil and gas);2016 June;99.8;-9.1;-2.1;800
1423;Total output prices;08 Mining and quarrying (no oil and gas);2016 July;99.0;-10.0;-0.8;800
1424;Total output prices;08 Mining and quarrying (no oil and gas);2016 August;98.6;-11.0;-0.3;800
1425;Total output prices;08 Mining and quarrying (no oil and gas);2016 September;97.6;-11.3;-1.0;800
1426;Total output prices;08 Mining and quarrying (no oil and gas);2016 October;97.4;-11.0;-0.2;800
1427;Total output prices;08 Mining and quarrying (no oil and gas);2016 November;98.5;-8.7;1.1;800
1428;Total output prices;08 Mining and quarrying (no oil and gas);2016 December;101.3;-8.3;2.8;800
1429;Total output prices;08 Mining and quarrying (no oil and gas);2016;101.3;-8.0;;800
1430;Total output prices;08 Mining and quarrying (no oil and gas);2017 January;103.2;-5.4;1.9;800
1431;Total output prices;08 Mining and quarrying (no oil and gas);2017 February;105.0;-0.9;1.7;800
1432;Total output prices;08 Mining and quarrying (no oil and gas);2017 March;106.6;1.6;1.5;800
1433;Total output prices;08 Mining and quarrying (no oil and gas);2017 April;104.6;2.9;-1.9;800
1434;Total output prices;08 Mining and quarrying (no oil and gas);2017 May;100.6;-1.3;-3.8;800
1435;Total output prices;08 Mining and quarrying (no oil and gas);2017 June;98.0;-1.8;-2.6;800
1436;Total output prices;08 Mining and quarrying (no oil and gas);2017 July;97.5;-1.5;-0.6;800
1437;Total output prices;08 Mining and quarrying (no oil and gas);2017 August;97.7;-1.0;0.2;800
1438;Total output prices;08 Mining and quarrying (no oil and gas);2017 September;100.4;2.8;2.8;800
1439;Total output prices;08 Mining and quarrying (no oil and gas);2017 October;103.2;6.0;2.9;800
1440;Total output prices;08 Mining and quarrying (no oil and gas);2017 November;104.5;6.1;1.2;800
1441;Total output prices;08 Mining and quarrying (no oil and gas);2017 December;104.8;3.5;0.3;800
1442;Total output prices;08 Mining and quarrying (no oil and gas);2017;102.2;0.9;;800
1443;Total output prices;C Manufacturing;1981 January;64.4;;;0
1444;Total output prices;C Manufacturing;1981 February;65.1;;1.1;0
1445;Total output prices;C Manufacturing;1981 March ;65.3;;0.3;0
1446;Total output prices;C Manufacturing;1981 April;65.9;;0.9;0
1447;Total output prices;C Manufacturing;1981 May;66.4;;0.8;0
1448;Total output prices;C Manufacturing;1981 June;66.8;;0.6;0
1449;Total output prices;C Manufacturing;1981 July;67.8;;1.4;0
1450;Total output prices;C Manufacturing;1981 August;68.2;;0.5;0
1451;Total output prices;C Manufacturing;1981 September;67.9;;-0.4;0
1452;Total output prices;C Manufacturing;1981 October;68.3;;0.6;0
1453;Total output prices;C Manufacturing;1981 November;68.3;;0.0;0
1454;Total output prices;C Manufacturing;1981 December;68.4;;0.1;0
1455;Total output prices;C Manufacturing;1981;66.9;;;0
1456;Total output prices;C Manufacturing;1982 January;69.5;7.9;1.6;0
1457;Total output prices;C Manufacturing;1982 February;69.9;7.4;0.6;0
1458;Total output prices;C Manufacturing;1982 March ;69.9;7.1;0.0;0
1459;Total output prices;C Manufacturing;1982 April;70.1;6.3;0.2;0
1460;Total output prices;C Manufacturing;1982 May;69.9;5.2;-0.3;0
1461;Total output prices;C Manufacturing;1982 June;70.0;4.8;0.2;0
1462;Total output prices;C Manufacturing;1982 July;70.0;3.2;-0.1;0
1463;Total output prices;C Manufacturing;1982 August;70.0;2.7;0.0;0
1464;Total output prices;C Manufacturing;1982 September;70.0;3.1;0.0;0
1465;Total output prices;C Manufacturing;1982 October;69.5;1.8;-0.7;0
1466;Total output prices;C Manufacturing;1982 November;69.5;1.7;-0.1;0
