ID;Perioden;TotaalGoederenvervoer_1;TotaalGoederenvervoer_2;NoordNederland_3;OostNederland_4;ZuidNederland_5;TotaleLadingWestNederland_6;Rijnmond_7;NoordzeeKanaalgebied_8;OverigWestNederland_9;TotaalGoederenvervoer_10;NoordNederland_11;OostNederland_12;ZuidNederland_13;TotaleLossingWestNederland_14;Rijnmond_15;NoordzeeKanaalgebied_16;OverigWestNederland_17;TotaalGoederenvervoer_18;LandbouwproductenDieren_19;VoedingsproductenVeevoeder_20;VasteBrandstoffen_21;AardolieEnAardolieproducten_22;ErtsenEnMetaalresiduen_23;MetalenEnMetalenHalffabricaten_24;RuweMineralenBouwmaterialen_25;Meststoffen_26;ChemischeProducten_27;OverigeGoederenEnFabricaten_28;TotaalLadingtonkilometers_29;TotaalLadingtonkilometers_30;NoordNederland_31;OostNederland_32;ZuidNederland_33;TotaleLadingWestNederland_34;Rijnmond_35;NoordzeeKanaalgebied_36;OverigWestNederland_37;TotaalLadingtonkilometers_38;NoordNederland_39;OostNederland_40;ZuidNederland_41;TotaleLossingWestNederland_42;Rijnmond_43;NoordzeeKanaalgebied_44;OverigWestNederland_45;TotaalLadingtonkilometers_46;LandbouwproductenDieren_47;VoedingsproductenVeevoeder_48;VasteBrandstoffen_49;AardolieEnAardolieproducten_50;ErtsenEnMetaalresiduen_51;MetalenEnMetalenHalffabricaten_52;RuweMineralenBouwmaterialen_53;Meststoffen_54;ChemischeProducten_55;OverigeGoederenEnFabricaten_56
102;2002 januari;429;429;142;26;93;168;78;40;50;429;52;20;105;253;185;34;34;429;0;28;0;11;0;5;0;0;103;282;76;76;43;2;13;18;10;3;5;76;7;2;15;53;50;1;2;76;0;2;0;3;0;1;0;0;17;53
103;2002 februari;475;475;140;34;98;202;68;82;52;475;45;39;102;289;181;68;40;475;0;23;0;8;0;5;0;0;93;345;77;77;43;2;14;18;9;4;4;77;6;4;16;51;49;1;2;77;0;2;0;3;0;1;0;0;15;56
104;2002 maart;462;462;140;45;103;173;70;47;57;462;54;42;100;266;176;41;48;462;0;24;0;10;0;5;0;0;93;330;75;75;42;2;14;16;9;3;5;75;7;2;14;51;48;1;3;75;0;2;0;3;0;1;0;0;15;54
105;2002 1e kwartaal;1365;1365;422;106;295;543;216;169;158;1365;151;101;306;807;542;144;122;1365;0;75;0;28;0;15;0;1;290;957;228;228;129;6;41;52;28;10;14;228;20;8;44;156;147;3;6;228;0;6;0;9;0;2;0;0;47;163
106;2002 april;465;465;159;37;111;158;71;43;45;465;60;36;103;266;193;44;29;465;0;29;0;8;0;4;0;2;88;334;80;80;47;2;15;16;10;1;5;80;8;3;12;56;53;2;1;80;0;2;0;3;0;1;0;1;14;60
107;2002 mei;488;488;172;36;117;164;81;26;57;488;71;31;104;283;211;35;36;488;0;31;0;8;0;4;0;1;113;332;88;88;50;2;18;18;11;2;5;88;10;2;14;62;57;3;2;88;0;3;0;2;0;0;0;0;17;65
108;2002 juni;517;517;173;59;121;164;66;33;64;517;73;65;91;288;204;40;45;517;0;28;0;8;0;6;0;0;98;377;85;85;49;2;18;17;9;3;5;85;9;4;12;61;55;3;2;85;0;2;0;3;0;1;0;0;15;65
109;2002 2e kwartaal;1469;1469;504;132;348;486;218;102;166;1469;203;132;297;837;608;118;110;1469;0;88;0;24;0;14;0;3;299;1042;254;254;146;6;51;51;30;6;15;254;27;9;38;179;165;8;6;254;0;7;0;8;0;2;0;1;46;190
110;2002 juli;468;468;168;37;110;154;72;22;59;468;70;36;88;274;200;31;42;468;0;31;0;8;0;3;0;1;115;310;85;85;49;2;18;16;9;2;5;85;10;3;12;60;54;3;2;85;0;3;0;3;0;0;0;0;17;62
111;2002 augustus;470;470;163;33;110;165;74;44;47;470;66;25;103;277;197;54;26;470;0;28;0;6;0;5;0;0;106;324;82;82;47;2;17;17;10;2;5;82;9;2;13;58;54;3;2;82;0;2;0;2;0;1;0;0;16;61
112;2002 september;527;527;181;48;112;187;81;57;49;527;86;50;96;296;204;59;33;527;0;28;0;8;0;5;0;0;112;375;88;88;49;2;18;20;11;4;5;88;11;3;14;61;55;4;2;88;0;2;0;3;0;1;0;0;18;66
113;2002 3e kwartaal;1466;1466;511;118;331;506;227;124;155;1466;222;111;288;846;601;144;100;1466;0;87;0;22;0;13;0;1;333;1009;256;256;145;6;52;53;31;8;14;256;29;8;39;179;163;10;6;256;0;7;0;7;0;2;0;0;51;189
114;2002 oktober;519;519;174;57;123;165;85;33;47;519;84;63;105;268;200;31;37;519;0;29;0;10;0;6;0;0;106;368;88;88;48;2;19;18;10;3;4;88;11;4;14;59;54;2;2;88;0;2;0;3;0;1;0;0;16;65
115;2002 november;504;504;175;37;128;165;89;33;44;504;79;32;125;268;202;36;30;504;0;31;0;10;0;8;0;0;102;353;87;87;48;2;18;19;11;3;4;87;10;2;15;60;54;4;2;87;0;2;0;3;0;1;0;0;16;65
116;2002 december;404;404;168;32;81;123;72;18;33;404;59;23;83;238;195;20;24;404;0;21;0;10;0;5;0;0;87;281;76;76;49;2;12;13;9;2;3;76;7;1;11;56;54;1;2;76;0;2;0;3;0;1;0;0;13;57
117;2002 4e kwartaal;1427;1427;517;126;332;453;246;83;123;1427;221;118;314;774;597;86;91;1427;0;81;0;30;0;19;0;0;295;1002;250;250;145;5;50;50;30;8;12;250;29;7;39;175;162;7;6;250;0;6;0;9;0;2;0;0;45;187
118;2002;5728;5728;1953;481;1307;1987;907;477;603;5728;797;462;1205;3264;2348;492;423;5728;0;331;0;104;0;61;0;5;1217;4010;988;988;565;23;195;205;118;32;55;988;105;33;161;689;637;28;24;988;0;27;0;33;0;8;0;2;189;729
119;2003 januari;456;456;168;31;114;143;81;18;45;456;72;18;101;265;207;30;28;456;0;26;0;9;0;6;0;1;111;303;94;94;52;2;21;19;13;2;4;94;11;1;15;66;61;3;2;94;0;3;0;3;0;1;0;0;17;70
120;2003 februari;446;446;172;21;107;146;84;23;39;446;58;13;107;269;211;30;28;446;0;24;0;8;0;8;0;1;87;319;91;91;54;2;17;18;13;1;3;91;9;1;15;66;62;2;2;91;0;2;0;3;0;1;0;0;13;72
121;2003 maart;501;501;174;44;102;180;83;42;55;501;72;38;108;283;210;32;40;501;0;28;0;9;0;6;0;1;51;407;92;92;53;2;16;21;13;4;5;92;10;2;16;65;61;1;2;92;0;2;0;3;0;1;0;0;9;77
122;2003 1e kwartaal;1404;1404;515;96;324;469;248;83;138;1404;202;69;316;817;629;93;95;1404;0;77;0;26;0;20;0;3;249;1030;277;277;160;6;54;58;39;7;12;277;30;4;46;196;183;6;6;277;0;7;0;8;0;2;0;1;40;219
123;2003 april;488;488;164;33;125;166;87;31;48;488;72;28;118;271;204;32;35;488;0;24;0;8;0;8;0;0;52;397;92;92;51;2;18;21;14;2;5;92;11;2;15;63;59;2;2;92;0;2;0;3;0;1;0;0;9;77
124;2003 mei;535;535;178;33;138;186;93;44;49;535;84;27;130;294;219;52;23;535;0;34;0;5;0;2;0;1;61;432;99;99;53;2;20;23;15;3;5;99;12;2;17;68;63;4;1;99;0;3;0;2;0;0;0;0;12;82
125;2003 juni;477;477;164;33;117;163;86;25;52;477;63;36;104;275;208;39;28;477;0;17;0;5;0;3;0;0;69;383;94;94;52;2;19;21;14;2;5;94;10;3;15;66;60;5;2;94;0;2;0;2;0;0;0;0;14;77
126;2003 2e kwartaal;1501;1501;506;99;380;515;266;99;150;1501;218;91;351;840;630;124;86;1501;0;75;0;19;0;14;0;1;182;1211;285;285;156;6;57;65;43;8;15;285;33;8;46;197;181;11;5;285;0;6;0;6;0;2;0;0;34;236
127;2003 juli;468;468;177;25;113;153;95;11;47;468;70;18;115;265;220;20;26;468;0;38;0;7;0;2;0;1;59;360;97;97;56;2;18;21;15;1;5;97;11;2;17;67;64;1;2;97;0;3;0;2;0;0;0;0;11;80
128;2003 augustus;475;475;163;34;109;170;90;35;44;475;56;34;113;273;213;35;25;475;0;28;0;7;0;2;0;0;59;380;91;91;52;2;17;21;14;2;4;91;8;3;16;65;62;1;2;91;0;2;0;2;0;0;0;0;11;76
129;2003 september;486;486;167;44;120;156;86;23;46;486;59;46;117;264;214;32;17;486;0;26;0;11;0;4;0;0;55;391;95;95;53;2;19;20;14;2;4;95;9;3;17;66;62;2;1;95;0;2;0;3;0;0;0;0;11;78
130;2003 3e kwartaal;1429;1429;507;103;342;478;271;69;138;1429;185;98;345;802;647;87;67;1429;0;92;0;24;0;8;0;1;173;1131;283;283;161;6;54;62;43;5;14;283;29;7;49;198;188;4;5;283;0;8;0;8;0;1;0;0;32;234
131;2003 oktober;493;493;167;38;123;165;104;12;48;493;68;28;122;275;215;32;27;493;0;26;0;10;0;3;0;1;66;389;99;99;53;3;21;22;16;1;5;99;10;2;19;67;63;3;2;99;0;2;0;3;0;0;0;0;12;81
132;2003 november;461;461;163;30;115;153;95;5;53;461;57;24;124;256;208;14;34;461;0;31;0;9;0;2;0;0;48;369;91;91;52;2;18;20;15;1;5;91;9;2;17;64;61;1;2;91;0;3;0;3;0;0;0;0;9;77
133;2003 december;420;420;163;25;96;136;92;4;40;420;59;12;106;244;205;17;23;420;0;31;0;10;0;3;0;0;60;317;89;89;52;2;17;18;14;0;4;89;9;1;16;63;60;1;2;89;0;2;0;3;0;0;0;0;11;73
134;2003 4e kwartaal;1374;1374;493;93;334;454;292;21;141;1374;183;64;352;774;629;62;83;1374;0;88;0;29;0;8;0;1;173;1075;279;279;158;6;55;60;45;2;14;279;28;4;52;195;184;5;6;279;0;7;0;9;0;1;0;0;32;230
135;2003;5708;5708;2021;391;1380;1916;1077;272;566;5708;789;322;1364;3233;2535;366;333;5708;0;332;0;97;0;50;0;5;777;4447;1124;1124;634;24;220;245;169;22;54;1124;120;24;194;786;737;26;23;1124;0;28;0;31;0;6;0;2;138;919
136;2004 januari;487;487;186;26;119;156;106;9;41;487;58;22;114;293;237;30;26;487;0;29;0;8;0;3;0;0;67;380;103;103;61;1;21;21;16;1;4;103;10;2;17;75;70;3;2;103;0;2;0;3;0;0;0;0;12;85
137;2004 februari;453;453;179;24;112;139;92;9;38;453;50;20;102;282;228;28;26;453;0;23;0;9;0;3;0;0;62;356;96;96;58;2;19;17;13;1;3;96;8;2;15;72;67;3;2;96;0;2;0;3;0;0;0;0;12;79
138;2004 maart;514;514;178;44;136;156;102;9;45;514;61;39;125;290;238;21;31;514;0;29;0;10;0;4;0;1;68;403;102;102;58;2;22;20;15;1;4;102;10;3;17;73;69;2;2;102;0;2;0;3;0;0;0;0;13;83
139;2004 1e kwartaal;1455;1455;543;94;367;450;300;26;124;1455;169;80;342;864;702;80;82;1455;0;82;0;26;0;10;0;1;198;1139;302;302;177;5;61;58;44;2;11;302;27;6;49;219;205;8;6;302;0;7;0;8;0;1;0;0;37;248
140;2004 april;476;476;176;28;111;162;104;16;42;476;58;20;118;280;236;17;28;476;0;25;0;8;0;3;0;0;63;378;100;100;58;2;18;22;15;2;4;100;9;2;18;71;68;1;2;100;0;2;0;3;0;0;0;0;12;83
141;2004 mei;462;462;179;27;100;155;109;10;37;462;54;21;109;277;235;18;24;462;0;24;0;7;0;4;0;0;60;366;99;99;59;2;18;20;16;1;4;99;9;2;17;71;68;1;2;99;0;2;0;2;0;0;0;0;11;83
142;2004 juni;479;479;186;26;119;148;102;6;40;479;58;20;116;285;237;22;26;479;0;28;0;9;0;4;0;0;67;371;104;104;61;2;20;20;15;1;4;104;9;2;17;75;71;2;2;104;0;2;0;3;0;1;0;0;12;85
143;2004 2e kwartaal;1417;1417;541;81;329;465;315;32;118;1417;170;62;343;842;708;56;78;1417;0;76;0;25;0;11;0;0;190;1115;303;303;179;5;57;62;46;4;12;303;27;5;53;218;208;4;6;303;0;7;0;8;0;1;0;0;36;251
144;2004 juli;417;417;182;28;97;110;49;16;44;417;56;22;92;246;195;25;26;417;0;29;0;6;0;3;0;0;69;310;88;88;60;2;14;13;6;2;4;88;9;2;10;68;63;3;2;88;0;3;0;2;0;0;0;0;13;70
145;2004 augustus;383;383;181;23;85;94;42;6;46;383;56;17;63;247;196;25;27;383;0;32;0;5;0;2;0;0;70;274;87;87;60;2;15;11;6;1;4;87;9;2;8;68;63;3;2;87;0;3;0;2;0;0;0;0;13;70
146;2004 september;436;436;200;37;85;114;50;14;50;436;71;38;67;260;198;39;23;436;0;28;0;7;0;5;0;0;71;325;90;90;61;2;15;12;6;1;5;90;9;3;9;69;63;4;2;90;0;2;0;2;0;1;0;0;13;71
147;2004 3e kwartaal;1236;1236;563;89;266;318;142;36;140;1236;184;77;222;753;589;89;76;1236;0;89;0;19;0;10;0;0;209;909;265;265;181;5;43;35;18;4;14;265;27;6;27;205;189;10;5;265;0;8;0;6;0;1;0;0;39;211
148;2004 oktober;435;435;205;38;88;104;41;16;48;435;68;37;65;265;207;38;21;435;0;30;0;9;0;6;0;0;59;331;91;91;65;2;15;10;5;1;5;91;9;2;7;73;67;4;1;91;0;2;0;3;0;1;0;0;11;75
149;2004 november;478;478;206;76;96;100;26;19;55;478;72;80;64;261;204;38;20;478;0;33;0;7;0;3;0;0;53;382;93;93;64;3;16;10;3;2;5;93;10;4;7;72;66;5;1;93;0;3;0;2;0;0;0;0;10;77
150;2004 december;451;451;208;59;81;104;34;16;54;451;67;67;54;263;205;34;24;451;0;27;0;10;0;3;0;0;63;348;91;91;66;2;14;10;3;2;5;91;9;3;6;72;67;4;1;91;0;2;0;3;0;0;0;0;11;74
151;2004 4e kwartaal;1365;1365;619;172;266;308;100;51;157;1365;207;184;183;790;616;110;64;1365;0;90;0;26;0;12;0;0;176;1060;275;275;194;6;45;30;11;5;14;275;28;9;20;217;200;14;4;275;0;7;0;8;0;1;0;0;32;225
152;2004;5473;5473;2266;436;1229;1542;857;146;539;5473;729;403;1091;3250;2615;334;300;5473;0;337;0;96;0;42;0;1;773;4223;1145;1145;731;22;206;185;119;15;51;1145;110;26;149;859;802;36;22;1145;0;29;0;31;0;5;0;0;144;935
153;2005 januari;384;384;183;36;70;94;37;17;40;384;58;34;42;250;190;31;30;384;0;17;0;7;0;4;1;0;67;288;83;83;58;2;14;9;4;1;4;83;8;2;6;67;61;5;2;83;0;1;0;2;0;0;0;0;13;67
154;2005 februari;376;376;175;34;70;98;37;23;38;376;46;35;47;248;190;28;29;376;0;15;0;7;0;6;0;0;52;295;81;81;58;1;12;9;4;1;4;81;8;2;6;65;61;3;2;81;0;1;0;2;0;1;0;0;10;67
155;2005 maart;477;477;189;59;79;150;32;73;44;477;61;75;70;271;196;47;29;477;0;24;0;8;0;11;0;0;50;383;86;86;59;2;12;13;4;5;4;86;7;4;8;66;62;2;1;86;0;2;0;3;0;1;0;0;10;71
156;2005 1e kwartaal;1237;1237;547;130;219;342;106;113;122;1237;165;143;159;770;576;106;87;1237;0;56;0;22;0;21;1;0;169;966;251;251;176;5;39;32;12;8;12;251;23;9;20;199;184;10;5;251;0;5;0;7;0;2;0;0;32;205
157;2005 april;450;450;185;33;83;149;39;60;50;450;58;28;81;283;199;51;33;450;0;29;0;7;0;8;2;0;53;350;87;87;61;2;12;12;4;3;5;87;10;2;9;67;63;2;2;87;0;3;0;2;0;1;0;0;9;72
158;2005 mei;454;454;186;40;81;146;42;50;55;454;67;38;65;284;197;54;33;454;0;24;0;7;0;6;3;0;58;356;91;91;61;2;14;13;5;3;6;91;11;3;8;69;64;4;2;91;0;2;0;2;0;1;0;0;11;74
159;2005 juni;443;443;182;42;90;128;38;31;59;443;56;46;86;255;192;39;24;443;0;26;0;8;0;3;3;0;52;351;89;89;60;2;13;14;4;2;7;89;9;3;9;68;62;4;1;89;0;2;0;2;0;0;0;0;10;74
160;2005 2e kwartaal;1347;1347;554;116;255;423;118;140;164;1347;181;112;232;822;588;143;91;1347;0;79;0;22;0;17;8;0;163;1057;267;267;183;6;39;39;14;8;18;267;30;7;25;204;189;10;5;267;0;7;0;7;0;2;0;0;30;220
161;2005 juli;411;411;187;49;59;116;46;24;46;411;59;37;67;248;192;34;22;411;0;20;0;4;0;2;12;0;50;321;87;87;61;3;11;12;5;1;5;87;8;2;9;67;63;3;2;87;0;2;0;1;0;0;1;0;10;73
162;2005 augustus;492;492;184;67;81;160;48;68;44;492;58;67;76;290;197;68;25;492;0;23;0;6;0;7;8;0;64;384;90;90;60;2;13;14;6;3;5;90;8;3;9;69;63;5;2;90;0;2;0;2;0;1;0;0;12;73
163;2005 september;463;463;186;46;81;149;48;44;58;463;59;37;98;268;190;48;31;463;0;22;0;5;0;7;19;0;53;356;87;87;60;2;10;14;6;2;6;87;8;2;11;66;62;2;2;87;0;2;0;2;0;1;0;0;10;73
164;2005 3e kwartaal;1365;1365;557;162;221;426;142;135;148;1365;176;142;240;807;579;150;77;1365;0;65;0;15;0;17;39;0;167;1062;264;264;182;7;35;40;17;7;16;264;25;6;29;203;188;10;5;264;0;6;0;5;0;2;1;0;32;218
165;2005 oktober;572;572;183;70;82;237;124;62;51;572;60;79;188;244;187;40;18;572;0;19;0;5;0;4;22;1;49;472;99;99;59;2;11;26;16;5;5;99;9;4;22;64;61;1;1;99;0;2;0;2;0;0;0;0;10;84
166;2005 november;543;543;186;40;101;215;112;54;50;543;67;43;175;257;194;41;22;543;0;22;0;7;0;4;8;0;47;456;98;98;61;2;13;23;13;4;5;98;10;3;18;67;63;2;2;98;0;2;0;2;0;0;0;0;10;83
167;2005 december;465;465;186;22;76;180;113;28;39;465;62;10;150;243;189;32;22;465;0;20;0;7;0;3;1;0;49;384;93;93;61;2;12;19;13;2;4;93;10;1;17;66;62;3;1;93;0;2;0;2;0;0;0;0;9;80
168;2005 4e kwartaal;1579;1579;555;133;259;632;349;143;140;1579;189;132;513;744;570;112;63;1579;0;61;0;19;0;10;30;1;146;1312;290;290;181;5;36;68;41;11;15;290;29;7;57;197;186;7;4;290;0;6;0;6;0;1;0;0;29;247
169;2005;5528;5528;2213;540;953;1822;716;532;575;5528;712;529;1144;3143;2313;512;318;5528;0;261;0;78;0;66;79;1;646;4397;1071;1071;721;23;148;179;84;34;61;1071;106;30;132;803;747;37;19;1071;0;24;0;25;0;7;2;0;123;890
170;2006 januari*;445;445;180;22;61;182;124;22;36;445;59;11;132;243;188;36;20;445;0;17;0;7;0;5;2;0;54;361;93;93;59;1;12;20;15;1;4;93;9;1;17;66;61;3;2;93;0;2;0;2;0;1;0;0;11;78
171;2006 februari*;455;455;179;29;62;185;121;31;33;455;54;24;127;250;187;39;24;455;0;17;0;7;0;3;4;0;52;373;93;93;59;2;13;20;14;2;3;93;9;2;16;66;61;4;2;93;0;1;0;2;0;0;0;0;10;79
172;2006 maart*;501;501;177;26;87;211;128;40;44;501;59;20;164;258;192;37;29;501;0;23;0;8;0;4;0;0;55;411;97;97;58;1;14;23;16;3;4;97;10;1;19;67;62;3;2;97;0;2;0;3;0;0;0;0;10;82
173;2006 1e kwartaal*;1402;1402;537;76;210;579;373;93;113;1402;171;55;424;751;567;112;73;1402;0;57;0;21;0;12;6;0;161;1145;283;283;176;5;40;63;45;6;12;283;27;5;52;199;184;10;5;283;0;5;0;7;0;1;0;0;31;238
174;2006 april*;391;391;156;18;65;152;97;13;42;391;57;10;116;208;165;17;25;391;0;21;0;8;0;3;0;0;48;311;81;81;51;1;11;18;13;1;5;81;9;1;14;57;54;2;2;81;0;2;0;3;0;0;0;0;9;68
175;2006 mei*;434;434;155;30;70;179;97;37;44;434;66;33;115;220;165;28;27;434;0;23;0;8;0;3;0;0;52;348;85;85;50;1;13;21;13;3;5;85;11;3;14;58;54;3;2;85;0;2;0;2;0;0;0;0;9;71
176;2006 juni*;471;471;156;29;71;215;101;62;52;471;61;42;106;263;163;67;33;471;0;21;0;8;0;5;5;1;63;368;89;89;51;1;15;22;13;3;5;89;11;4;14;60;53;5;2;89;0;2;0;2;0;1;0;0;11;71
177;2006 2e kwartaal*;1296;1296;467;78;206;546;295;112;138;1296;184;85;336;691;493;112;85;1296;0;66;0;24;0;11;5;1;164;1027;255;255;152;4;38;60;38;8;15;255;30;7;42;175;161;9;5;255;0;6;0;8;0;1;0;0;29;210
178;2006 juli*;430;430;171;21;85;153;89;25;40;430;50;23;111;246;181;37;28;430;0;22;0;4;0;2;0;0;61;341;89;89;56;1;14;18;12;1;4;89;9;1;13;66;59;4;2;89;0;2;0;1;0;0;0;0;11;74
179;2006 augustus*;433;433;171;15;91;156;87;26;43;433;55;21;112;245;182;38;25;433;0;26;0;6;0;4;0;0;65;333;93;93;56;1;17;19;12;3;5;93;10;2;14;67;59;6;2;93;0;2;0;2;0;1;0;0;12;76
180;2006 september*;485;485;170;18;109;189;98;49;42;485;52;22;161;250;183;45;22;485;0;23;0;4;0;4;3;0;59;393;96;96;55;1;16;24;14;5;5;96;9;2;19;66;59;6;1;96;0;2;0;1;0;0;0;0;11;81
181;2006 3e kwartaal*;1348;1348;511;54;285;499;273;99;126;1348;157;67;384;742;546;121;75;1348;0;70;0;14;0;9;3;0;185;1067;278;278;167;3;47;60;38;9;14;278;27;5;47;198;178;15;5;278;0;6;0;5;0;1;0;0;35;231
182;2006 oktober*;508;508;179;24;92;213;118;47;48;508;54;32;156;266;190;50;26;508;0;21;0;6;0;3;4;0;57;417;98;98;58;1;14;25;17;3;5;98;8;2;20;68;62;4;1;98;0;2;0;2;0;0;0;0;11;83
183;2006 november*;474;474;180;12;80;202;107;38;58;474;56;17;143;258;193;32;32;474;0;21;0;8;0;3;0;0;42;401;96;96;58;1;13;23;15;3;6;96;9;2;18;67;63;2;1;96;0;2;0;2;0;0;0;0;8;83
184;2006 december*;413;413;179;9;62;163;109;16;39;413;49;10;123;231;190;20;21;413;0;18;0;6;0;2;0;0;45;342;91;91;58;1;12;21;15;1;4;91;8;1;17;65;62;2;1;91;0;2;0;2;0;0;0;0;8;79
185;2006 4e kwartaal*;1395;1395;537;46;234;578;333;101;145;1395;159;59;423;754;573;102;79;1395;0;60;0;20;0;8;4;0;144;1160;284;284;174;2;39;69;47;7;15;284;26;5;55;199;186;9;4;284;0;6;0;6;0;1;0;0;27;244
186;2006*;5441;5441;2052;254;935;2202;1274;405;522;5441;671;266;1567;2938;2179;447;312;5441;0;253;0;79;0;40;18;1;654;4399;1100;1100;669;14;164;252;168;30;56;1100;110;22;196;771;709;43;19;1100;0;23;0;26;0;4;0;0;122;923
