ID;ExpenditureCategories;Periods;CPI_1;DerivedCPI_2;MonthOnMonthChangeCPI_3;MonthOnMonthChangeDerivedCPI_4;YearOnYearChangeCPI_5;YearOnYearChangeDerivedCPI_6;WeightingCoefficient_7
734;010000 Food and non-alcoholic beverages;2023 April;136.7;132.75;-0.2;-0.2;15.6;15.6;12044
735;010000 Food and non-alcoholic beverages;2023 May;137.83;133.84;0.8;0.8;14.8;14.8;12044
736;010000 Food and non-alcoholic beverages;2023 June;138.22;134.22;0.3;0.3;13.0;13.0;12044
737;010000 Food and non-alcoholic beverages;2023 July;138.43;134.42;0.2;0.1;11.5;11.5;12044
738;010000 Food and non-alcoholic beverages;2023 August;137.84;133.85;-0.4;-0.4;9.6;9.6;12044
739;010000 Food and non-alcoholic beverages;2023 September;136.71;132.76;-0.8;-0.8;9.3;9.3;12044
740;010000 Food and non-alcoholic beverages;2023 October;136.37;132.42;-0.2;-0.3;7.8;7.8;12044
741;010000 Food and non-alcoholic beverages;2023 November;136.91;132.95;0.4;0.4;6.2;6.2;12044
742;010000 Food and non-alcoholic beverages;2023 December;136.82;132.86;-0.1;-0.1;4.0;4.0;12044
743;010000 Food and non-alcoholic beverages;2023;136.91;132.95;;;11.9;11.9;12044
744;010000 Food and non-alcoholic beverages;2024 January;137.0;132.43;0.1;-0.3;2.5;2.0;11747
745;010000 Food and non-alcoholic beverages;2024 February;137.55;132.91;0.4;0.4;0.8;0.3;11747
746;010000 Food and non-alcoholic beverages;2024 March;138.18;133.51;0.5;0.5;0.9;0.4;11747
747;010000 Food and non-alcoholic beverages;2024 April;138.35;133.68;0.1;0.1;1.2;0.7;11747
748;010000 Food and non-alcoholic beverages;2024 May;139.18;134.49;0.6;0.6;1.0;0.5;11747
749;010000 Food and non-alcoholic beverages;2024 June;139.54;134.82;0.3;0.2;1.0;0.4;11747
750;010000 Food and non-alcoholic beverages;2024 July;140.15;135.41;0.4;0.4;1.2;0.7;11747
751;010000 Food and non-alcoholic beverages;2024 August;140.24;135.49;0.1;0.1;1.7;1.2;11747
752;010000 Food and non-alcoholic beverages;2024 September;139.67;134.94;-0.4;-0.4;2.2;1.6;11747
753;010000 Food and non-alcoholic beverages;2024 October;139.29;134.57;-0.3;-0.3;2.1;1.6;11747
754;010000 Food and non-alcoholic beverages;2024 November;140.28;135.53;0.7;0.7;2.5;1.9;11747
755;010000 Food and non-alcoholic beverages;2024 December;140.98;136.22;0.5;0.5;3.0;2.5;11747
756;010000 Food and non-alcoholic beverages;2024;139.2;134.5;;;1.7;1.2;11747
757;010000 Food and non-alcoholic beverages;2025 January;141.83;137.05;0.6;0.6;3.5;3.5;11882
758;010000 Food and non-alcoholic beverages;2025 February;143.49;138.65;1.2;1.2;4.3;4.3;11882
759;010000 Food and non-alcoholic beverages;2025 March;143.5;138.66;0.0;0.0;3.9;3.9;11882
760;011000 Food;1996 January;75.36;75.36;;;;;12074
761;011000 Food;1996 February;75.62;75.62;0.3;0.3;;;12074
762;011000 Food;1996 March;77.08;77.08;1.9;1.9;;;12074
763;011000 Food;1996 April;76.96;76.96;-0.2;-0.2;;;12074
764;011000 Food;1996 May;75.76;75.76;-1.6;-1.6;;;12074
765;011000 Food;1996 June;75.18;75.18;-0.8;-0.8;;;12074
766;011000 Food;1996 July;75.13;75.13;-0.1;-0.1;;;12074
767;011000 Food;1996 August;73.72;73.72;-1.9;-1.9;;;12074
768;011000 Food;1996 September;74.01;74.01;0.4;0.4;;;12074
769;011000 Food;1996 October;74.29;74.29;0.4;0.4;;;12074
770;011000 Food;1996 November;74.34;74.34;0.1;0.1;;;12074
771;011000 Food;1996 December;75.07;75.07;1.0;1.0;;;12074
772;011000 Food;1996;75.21;75.21;;;;;12074
773;011000 Food;1997 January;76.94;76.94;2.5;2.5;2.1;2.1;12074
774;011000 Food;1997 February;75.94;75.94;-1.3;-1.3;0.4;0.4;12074
775;011000 Food;1997 March;75.39;75.39;-0.7;-0.7;-2.2;-2.2;12074
776;011000 Food;1997 April;75.19;75.19;-0.3;-0.3;-2.3;-2.3;12074
777;011000 Food;1997 May;76.07;76.07;1.2;1.2;0.4;0.4;12074
778;011000 Food;1997 June;75.86;75.86;-0.3;-0.3;0.9;0.9;12074
779;011000 Food;1997 July;75.87;75.87;0.0;0.0;1.0;1.0;12074
780;011000 Food;1997 August;75.68;75.68;-0.3;-0.3;2.7;2.7;12074
781;011000 Food;1997 September;75.93;75.93;0.3;0.3;2.6;2.6;12074
782;011000 Food;1997 October;75.96;75.96;0.0;0.0;2.2;2.2;12074
783;011000 Food;1997 November;76.79;76.79;1.1;1.1;3.3;3.3;12074
784;011000 Food;1997 December;76.42;76.42;-0.5;-0.5;1.8;1.8;12074
785;011000 Food;1997;76.0;76.0;;;1.1;1.1;12074
786;011000 Food;1998 January;76.81;76.81;0.5;0.5;-0.2;-0.2;12074
787;011000 Food;1998 February;76.88;76.88;0.1;0.1;1.2;1.2;12074
788;011000 Food;1998 March;77.44;77.44;0.7;0.7;2.7;2.7;12074
789;011000 Food;1998 April;77.97;77.97;0.7;0.7;3.7;3.7;12074
790;011000 Food;1998 May;78.15;78.15;0.2;0.2;2.7;2.7;12074
791;011000 Food;1998 June;77.71;77.71;-0.6;-0.6;2.4;2.4;12074
792;011000 Food;1998 July;78.1;78.1;0.5;0.5;2.9;2.9;12074
793;011000 Food;1998 August;77.5;77.5;-0.8;-0.8;2.4;2.4;12074
794;011000 Food;1998 September;77.81;77.81;0.4;0.4;2.5;2.5;12074
795;011000 Food;1998 October;77.74;77.74;-0.1;-0.1;2.3;2.3;12074
796;011000 Food;1998 November;78.64;78.64;1.2;1.2;2.4;2.4;12074
797;011000 Food;1998 December;79.36;79.36;0.9;0.9;3.8;3.8;12074
798;011000 Food;1998;77.84;77.84;;;2.4;2.4;12074
799;011000 Food;1999 January;79.88;79.88;0.7;0.7;4.0;4.0;12074
800;011000 Food;1999 February;80.07;80.07;0.2;0.2;4.1;4.1;12074
801;011000 Food;1999 March;80.52;80.52;0.6;0.6;4.0;4.0;12074
802;011000 Food;1999 April;80.09;80.09;-0.5;-0.5;2.7;2.7;12074
803;011000 Food;1999 May;80.19;80.19;0.1;0.1;2.6;2.6;12074
804;011000 Food;1999 June;79.57;79.57;-0.8;-0.8;2.4;2.4;12074
805;011000 Food;1999 July;78.39;78.39;-1.5;-1.5;0.4;0.4;12074
806;011000 Food;1999 August;78.42;78.42;0.0;0.0;1.2;1.2;12074
807;011000 Food;1999 September;78.29;78.29;-0.2;-0.2;0.6;0.6;12074
808;011000 Food;1999 October;78.27;78.27;0.0;0.0;0.7;0.7;12074
809;011000 Food;1999 November;78.74;78.74;0.6;0.6;0.1;0.1;12074
810;011000 Food;1999 December;78.78;78.78;0.1;0.1;-0.7;-0.7;12074
811;011000 Food;1999;79.27;79.27;;;1.8;1.8;12074
812;011000 Food;2000 January;78.97;78.97;0.2;0.2;-1.1;-1.1;10027
813;011000 Food;2000 February;78.51;78.51;-0.6;-0.6;-1.9;-1.9;10027
814;011000 Food;2000 March;78.64;78.64;0.2;0.2;-2.3;-2.3;10027
815;011000 Food;2000 April;78.72;78.72;0.1;0.1;-1.7;-1.7;10027
816;011000 Food;2000 May;78.88;78.88;0.2;0.2;-1.6;-1.6;10027
817;011000 Food;2000 June;79.07;79.07;0.2;0.2;-0.6;-0.6;10027
818;011000 Food;2000 July;78.78;78.78;-0.4;-0.4;0.5;0.5;10027
819;011000 Food;2000 August;79.03;79.03;0.3;0.3;0.8;0.8;10027
820;011000 Food;2000 September;79.38;79.38;0.4;0.4;1.4;1.4;10027
821;011000 Food;2000 October;79.76;79.76;0.5;0.5;1.9;1.9;10027
822;011000 Food;2000 November;80.44;80.44;0.9;0.9;2.2;2.2;10027
823;011000 Food;2000 December;80.86;80.86;0.5;0.5;2.6;2.6;10027
824;011000 Food;2000;79.25;79.25;;;0.0;0.0;10027
825;011000 Food;2001 January;81.9;81.9;1.3;1.3;3.7;3.7;10027
826;011000 Food;2001 February;82.51;82.51;0.7;0.7;5.1;5.1;10027
827;011000 Food;2001 March;84.14;84.14;2.0;2.0;7.0;7.0;10027
828;011000 Food;2001 April;85.4;85.4;1.5;1.5;8.5;8.5;10027
829;011000 Food;2001 May;85.84;85.84;0.5;0.5;8.8;8.8;10027
830;011000 Food;2001 June;85.72;85.72;-0.1;-0.1;8.4;8.4;10027
831;011000 Food;2001 July;85.85;85.85;0.2;0.2;9.0;9.0;10027
832;011000 Food;2001 August;85.86;85.86;0.0;0.0;8.6;8.6;10027
833;011000 Food;2001 September;86.43;86.43;0.7;0.7;8.9;8.9;10027
834;011000 Food;2001 October;86.22;86.22;-0.2;-0.2;8.1;8.1;10027
835;011000 Food;2001 November;85.92;85.92;-0.3;-0.3;6.8;6.8;10027
836;011000 Food;2001 December;86.64;86.64;0.8;0.8;7.1;7.1;10027
837;011000 Food;2001;85.2;85.2;;;7.5;7.5;10027
838;011000 Food;2002 January;88.6;88.6;2.3;2.3;8.2;8.2;10027
839;011000 Food;2002 February;88.72;88.72;0.1;0.1;7.5;7.5;10027
840;011000 Food;2002 March;88.85;88.85;0.1;0.1;5.6;5.6;10027
841;011000 Food;2002 April;88.61;88.61;-0.3;-0.3;3.8;3.8;10027
842;011000 Food;2002 May;88.65;88.65;0.0;0.0;3.3;3.3;10027
843;011000 Food;2002 June;88.18;88.18;-0.5;-0.5;2.9;2.9;10027
844;011000 Food;2002 July;88.42;88.42;0.3;0.3;3.0;3.0;10027
845;011000 Food;2002 August;87.96;87.96;-0.5;-0.5;2.4;2.4;10027
846;011000 Food;2002 September;88.76;88.76;0.9;0.9;2.7;2.7;10027
847;011000 Food;2002 October;87.61;87.61;-1.3;-1.3;1.6;1.6;10027
848;011000 Food;2002 November;87.09;87.09;-0.6;-0.6;1.4;1.4;10027
849;011000 Food;2002 December;87.48;87.48;0.4;0.4;1.0;1.0;10027
850;011000 Food;2002;88.24;88.24;;;3.6;3.6;10027
851;011000 Food;2003 January;87.99;87.99;0.6;0.6;-0.7;-0.7;10027
852;011000 Food;2003 February;88.43;88.43;0.5;0.5;-0.3;-0.3;10027
853;011000 Food;2003 March;89.33;89.33;1.0;1.0;0.5;0.5;10027
854;011000 Food;2003 April;89.92;89.92;0.7;0.7;1.5;1.5;10027
855;011000 Food;2003 May;89.78;89.78;-0.2;-0.2;1.3;1.3;10027
856;011000 Food;2003 June;90.11;90.11;0.4;0.4;2.2;2.2;10027
857;011000 Food;2003 July;89.86;89.86;-0.3;-0.3;1.6;1.6;10027
858;011000 Food;2003 August;90.25;90.25;0.4;0.4;2.6;2.6;10027
859;011000 Food;2003 September;90.97;90.97;0.8;0.8;2.5;2.5;10027
860;011000 Food;2003 October;89.69;89.69;-1.4;-1.4;2.4;2.4;10027
861;011000 Food;2003 November;88.72;88.72;-1.1;-1.1;1.9;1.9;10027
862;011000 Food;2003 December;87.84;87.84;-1.0;-1.0;0.4;0.4;10027
863;011000 Food;2003;89.41;89.41;;;1.3;1.3;10027
864;011000 Food;2004 January;88.13;88.13;0.3;0.3;0.2;0.2;10027
865;011000 Food;2004 February;87.88;87.88;-0.3;-0.3;-0.6;-0.6;10027
866;011000 Food;2004 March;87.58;87.58;-0.3;-0.3;-2.0;-2.0;10027
867;011000 Food;2004 April;87.39;87.39;-0.2;-0.2;-2.8;-2.8;10027
868;011000 Food;2004 May;87.44;87.44;0.1;0.1;-2.6;-2.6;10027
869;011000 Food;2004 June;87.27;87.27;-0.2;-0.2;-3.2;-3.2;10027
870;011000 Food;2004 July;86.88;86.88;-0.4;-0.4;-3.3;-3.3;10027
871;011000 Food;2004 August;86.03;86.03;-1.0;-1.0;-4.7;-4.7;10027
872;011000 Food;2004 September;86.11;86.11;0.1;0.1;-5.3;-5.3;10027
873;011000 Food;2004 October;85.6;85.6;-0.6;-0.6;-4.6;-4.6;10027
874;011000 Food;2004 November;84.93;84.93;-0.8;-0.8;-4.3;-4.3;10027
875;011000 Food;2004 December;85.36;85.36;0.5;0.5;-2.8;-2.8;10027
876;011000 Food;2004;86.72;86.72;;;-3.0;-3.0;10027
877;011000 Food;2005 January;85.38;85.38;0.0;0.0;-3.1;-3.1;10027
878;011000 Food;2005 February;86.1;86.1;0.8;0.8;-2.0;-2.0;10027
879;011000 Food;2005 March;86.61;86.61;0.6;0.6;-1.1;-1.1;10027
880;011000 Food;2005 April;85.68;85.68;-1.1;-1.1;-2.0;-2.0;10027
881;011000 Food;2005 May;86.14;86.14;0.5;0.5;-1.5;-1.5;10027
882;011000 Food;2005 June;85.97;85.97;-0.2;-0.2;-1.5;-1.5;10027
883;011000 Food;2005 July;85.43;85.43;-0.6;-0.6;-1.7;-1.7;10027
884;011000 Food;2005 August;85.77;85.77;0.4;0.4;-0.3;-0.3;10027
885;011000 Food;2005 September;84.64;84.64;-1.3;-1.3;-1.7;-1.7;10027
886;011000 Food;2005 October;85.08;85.08;0.5;0.5;-0.6;-0.6;10027
887;011000 Food;2005 November;85.41;85.41;0.4;0.4;0.6;0.6;10027
888;011000 Food;2005 December;85.58;85.58;0.2;0.2;0.3;0.3;10027
889;011000 Food;2005;85.65;85.65;;;-1.2;-1.2;10027
890;011000 Food;2006 January;86.39;86.39;0.9;0.9;1.2;1.2;10004
891;011000 Food;2006 February;86.48;86.48;0.1;0.1;0.4;0.4;10004
892;011000 Food;2006 March;86.75;86.75;0.3;0.3;0.2;0.2;10004
893;011000 Food;2006 April;87.05;87.05;0.3;0.3;1.6;1.6;10004
894;011000 Food;2006 May;86.9;86.9;-0.2;-0.2;0.9;0.9;10004
895;011000 Food;2006 June;87.24;87.24;0.4;0.4;1.5;1.5;10004
896;011000 Food;2006 July;86.83;86.83;-0.5;-0.5;1.6;1.6;10004
897;011000 Food;2006 August;87.51;87.51;0.8;0.8;2.0;2.0;10004
898;011000 Food;2006 September;87.44;87.44;-0.1;-0.1;3.3;3.3;10004
899;011000 Food;2006 October;86.72;86.72;-0.8;-0.8;1.9;1.9;10004
900;011000 Food;2006 November;86.78;86.78;0.1;0.1;1.6;1.6;10004
901;011000 Food;2006 December;86.86;86.86;0.1;0.1;1.5;1.5;10004
902;011000 Food;2006;86.91;86.91;;;1.5;1.5;10004
903;011000 Food;2007 January;87.2;87.2;0.4;0.4;0.9;0.9;9941
904;011000 Food;2007 February;87.34;87.34;0.2;0.2;1.0;1.0;9941
905;011000 Food;2007 March;87.18;87.18;-0.2;-0.2;0.5;0.5;9941
906;011000 Food;2007 April;87.61;87.61;0.5;0.5;0.6;0.6;9941
907;011000 Food;2007 May;87.21;87.21;-0.5;-0.5;0.4;0.4;9941
908;011000 Food;2007 June;87.33;87.33;0.1;0.1;0.1;0.1;9941
909;011000 Food;2007 July;87.22;87.22;-0.1;-0.1;0.4;0.4;9941
910;011000 Food;2007 August;87.07;87.07;-0.2;-0.2;-0.5;-0.5;9941
911;011000 Food;2007 September;87.33;87.33;0.3;0.3;-0.1;-0.1;9941
912;011000 Food;2007 October;88.04;88.04;0.8;0.8;1.5;1.5;9941
913;011000 Food;2007 November;89.22;89.22;1.3;1.3;2.8;2.8;9941
914;011000 Food;2007 December;89.81;89.81;0.7;0.7;3.4;3.4;9941
915;011000 Food;2007;87.71;87.71;;;0.9;0.9;9941
916;011000 Food;2008 January;90.66;90.66;0.9;0.9;4.0;4.0;10139
917;011000 Food;2008 February;91.04;91.04;0.4;0.4;4.2;4.2;10139
918;011000 Food;2008 March;91.85;91.85;0.9;0.9;5.4;5.4;10139
919;011000 Food;2008 April;92.32;92.32;0.5;0.5;5.4;5.4;10139
920;011000 Food;2008 May;92.72;92.72;0.4;0.4;6.3;6.3;10139
921;011000 Food;2008 June;93.14;93.14;0.5;0.5;6.7;6.7;10139
922;011000 Food;2008 July;93.4;93.4;0.3;0.3;7.1;7.1;10139
923;011000 Food;2008 August;93.14;93.14;-0.3;-0.3;7.0;7.0;10139
924;011000 Food;2008 September;93.3;93.3;0.2;0.2;6.8;6.8;10139
925;011000 Food;2008 October;93.56;93.56;0.3;0.3;6.3;6.3;10139
926;011000 Food;2008 November;93.65;93.65;0.1;0.1;5.0;5.0;10139
927;011000 Food;2008 December;94.06;94.06;0.4;0.4;4.7;4.7;10139
928;011000 Food;2008;92.74;92.74;;;5.7;5.7;10139
929;011000 Food;2009 January;94.46;94.46;0.4;0.4;4.2;4.2;10069
930;011000 Food;2009 February;95.04;95.04;0.6;0.6;4.4;4.4;10069
931;011000 Food;2009 March;95.21;95.21;0.2;0.2;3.7;3.7;10069
932;011000 Food;2009 April;95.13;95.13;-0.1;-0.1;3.0;3.0;10069
933;011000 Food;2009 May;94.61;94.61;-0.5;-0.5;2.0;2.0;10069
934;011000 Food;2009 June;94.41;94.41;-0.2;-0.2;1.4;1.4;10069
935;011000 Food;2009 July;93.47;93.47;-1.0;-1.0;0.1;0.1;10069
936;011000 Food;2009 August;92.83;92.83;-0.7;-0.7;-0.3;-0.3;10069
937;011000 Food;2009 September;92.19;92.19;-0.7;-0.7;-1.2;-1.2;10069
938;011000 Food;2009 October;92.51;92.51;0.3;0.3;-1.1;-1.1;10069
939;011000 Food;2009 November;92.46;92.46;-0.1;-0.1;-1.3;-1.3;10069
940;011000 Food;2009 December;93.05;93.05;0.6;0.6;-1.1;-1.1;10069
941;011000 Food;2009;93.78;93.78;;;1.1;1.1;10069
942;011000 Food;2010 January;92.59;92.59;-0.5;-0.5;-2.0;-2.0;10307
943;011000 Food;2010 February;93.71;93.71;1.2;1.2;-1.4;-1.4;10307
944;011000 Food;2010 March;93.92;93.92;0.2;0.2;-1.4;-1.4;10307
945;011000 Food;2010 April;94.29;94.29;0.4;0.4;-0.9;-0.9;10307
946;011000 Food;2010 May;93.78;93.78;-0.5;-0.5;-0.9;-0.9;10307
947;011000 Food;2010 June;93.88;93.88;0.1;0.1;-0.6;-0.6;10307
948;011000 Food;2010 July;94.26;94.26;0.4;0.4;0.8;0.8;10307
949;011000 Food;2010 August;94.13;94.13;-0.1;-0.1;1.4;1.4;10307
950;011000 Food;2010 September;93.6;93.6;-0.6;-0.6;1.5;1.5;10307
951;011000 Food;2010 October;93.61;93.61;0.0;0.0;1.2;1.2;10307
952;011000 Food;2010 November;93.64;93.64;0.0;0.0;1.3;1.3;10307
953;011000 Food;2010 December;94.0;94.0;0.4;0.4;1.0;1.0;10307
954;011000 Food;2010;93.78;93.78;;;0.0;0.0;10307
955;011000 Food;2011 January;93.34;93.34;-0.7;-0.7;0.8;0.8;10312
956;011000 Food;2011 February;94.87;94.87;1.6;1.6;1.2;1.2;10312
957;011000 Food;2011 March;95.3;95.3;0.5;0.5;1.5;1.5;10312
958;011000 Food;2011 April;95.95;95.95;0.7;0.7;1.8;1.8;10312
959;011000 Food;2011 May;95.83;95.83;-0.1;-0.1;2.2;2.2;10312
960;011000 Food;2011 June;96.04;96.04;0.2;0.2;2.3;2.3;10312
961;011000 Food;2011 July;95.87;95.87;-0.2;-0.2;1.7;1.7;10312
962;011000 Food;2011 August;95.48;95.48;-0.4;-0.4;1.4;1.4;10312
963;011000 Food;2011 September;95.08;95.08;-0.4;-0.4;1.6;1.6;10312
964;011000 Food;2011 October;95.38;95.38;0.3;0.3;1.9;1.9;10312
965;011000 Food;2011 November;95.42;95.42;0.0;0.0;1.9;1.9;10312
966;011000 Food;2011 December;95.84;95.84;0.4;0.4;2.0;2.0;10312
967;011000 Food;2011;95.37;95.37;;;1.7;1.7;10312
968;011000 Food;2012 January;94.9;94.9;-1.0;-1.0;1.7;1.7;10365
969;011000 Food;2012 February;97.15;97.15;2.4;2.4;2.4;2.4;10365
970;011000 Food;2012 March;96.98;96.98;-0.2;-0.2;1.8;1.8;10365
971;011000 Food;2012 April;97.09;97.09;0.1;0.1;1.2;1.2;10365
972;011000 Food;2012 May;96.98;96.98;-0.1;-0.1;1.2;1.2;10365
973;011000 Food;2012 June;97.46;97.46;0.5;0.5;1.5;1.5;10365
974;011000 Food;2012 July;97.11;97.11;-0.4;-0.4;1.3;1.3;10365
975;011000 Food;2012 August;96.75;96.75;-0.4;-0.4;1.3;1.3;10365
976;011000 Food;2012 September;96.72;96.72;0.0;0.0;1.7;1.7;10365
977;011000 Food;2012 October;97.73;97.73;1.0;1.0;2.5;2.5;10365
978;011000 Food;2012 November;97.87;97.87;0.1;0.1;2.6;2.6;10365
979;011000 Food;2012 December;99.34;99.34;1.5;1.5;3.7;3.7;10365
980;011000 Food;2012;97.17;97.17;;;1.9;1.9;10365
981;011000 Food;2013 January;98.48;98.48;-0.9;-0.9;3.8;3.8;10470
982;011000 Food;2013 February;99.81;99.81;1.4;1.4;2.7;2.7;10470
983;011000 Food;2013 March;100.26;100.26;0.5;0.5;3.4;3.4;10470
984;011000 Food;2013 April;99.87;99.87;-0.4;-0.4;2.9;2.9;10470
985;011000 Food;2013 May;100.38;100.38;0.5;0.5;3.5;3.5;10470
986;011000 Food;2013 June;100.43;100.43;0.0;0.0;3.0;3.0;10470
987;011000 Food;2013 July;100.33;100.33;-0.1;-0.1;3.3;3.3;10470
988;011000 Food;2013 August;99.79;99.79;-0.5;-0.5;3.1;3.1;10470
989;011000 Food;2013 September;98.93;98.93;-0.9;-0.9;2.3;2.3;10470
990;011000 Food;2013 October;98.77;98.77;-0.2;-0.2;1.1;1.1;10470
991;011000 Food;2013 November;98.44;98.44;-0.3;-0.3;0.6;0.6;10470
992;011000 Food;2013 December;99.67;99.67;1.2;1.2;0.3;0.3;10470
993;011000 Food;2013;99.6;99.6;;;2.5;2.5;10470
994;011000 Food;2014 January;99.28;99.28;-0.4;-0.4;0.8;0.8;10493
995;011000 Food;2014 February;99.91;99.91;0.6;0.6;0.1;0.1;10493
996;011000 Food;2014 March;100.05;100.05;0.1;0.1;-0.2;-0.2;10493
997;011000 Food;2014 April;100.14;100.14;0.1;0.1;0.3;0.3;10493
998;011000 Food;2014 May;99.68;99.68;-0.5;-0.5;-0.7;-0.7;10493
999;011000 Food;2014 June;99.56;99.56;-0.1;-0.1;-0.9;-0.9;10493
1000;011000 Food;2014 July;99.68;99.68;0.1;0.1;-0.6;-0.6;10493
1001;011000 Food;2014 August;99.24;99.24;-0.4;-0.4;-0.6;-0.6;10493
1002;011000 Food;2014 September;98.85;98.85;-0.4;-0.4;-0.1;-0.1;10493
1003;011000 Food;2014 October;99.0;99.0;0.2;0.2;0.2;0.2;10493
1004;011000 Food;2014 November;99.12;99.12;0.1;0.1;0.7;0.7;10493
1005;011000 Food;2014 December;99.37;99.37;0.3;0.3;-0.3;-0.3;10493
1006;011000 Food;2014;99.49;99.49;;;-0.1;-0.1;10493
1007;011000 Food;2015 January;98.41;98.41;-1.0;-1.0;-0.9;-0.9;10674
1008;011000 Food;2015 February;99.47;99.47;1.1;1.1;-0.4;-0.4;10674
1009;011000 Food;2015 March;99.38;99.38;-0.1;-0.1;-0.7;-0.7;10674
1010;011000 Food;2015 April;99.92;99.92;0.5;0.5;-0.2;-0.2;10674
1011;011000 Food;2015 May;100.02;100.02;0.1;0.1;0.3;0.3;10674
1012;011000 Food;2015 June;100.0;100.0;0.0;0.0;0.4;0.4;10674
1013;011000 Food;2015 July;100.41;100.41;0.4;0.4;0.7;0.7;10674
1014;011000 Food;2015 August;100.87;100.87;0.5;0.5;1.6;1.6;10674
1015;011000 Food;2015 September;100.41;100.41;-0.5;-0.5;1.6;1.6;10674
1016;011000 Food;2015 October;100.35;100.35;-0.1;-0.1;1.4;1.4;10674
1017;011000 Food;2015 November;100.25;100.25;-0.1;-0.1;1.1;1.1;10674
1018;011000 Food;2015 December;100.5;100.5;0.2;0.2;1.1;1.1;10674
1019;011000 Food;2015;100.0;100.0;;;0.5;0.5;10674
1020;011000 Food;2016 January;99.56;99.56;-0.9;-0.9;1.2;1.2;10692
1021;011000 Food;2016 February;100.55;100.55;1.0;1.0;1.1;1.1;10692
1022;011000 Food;2016 March;100.88;100.88;0.3;0.3;1.5;1.5;10692
1023;011000 Food;2016 April;101.13;101.13;0.2;0.2;1.2;1.2;10692
1024;011000 Food;2016 May;101.16;101.16;0.0;0.0;1.1;1.1;10692
1025;011000 Food;2016 June;101.41;101.41;0.2;0.2;1.4;1.4;10692
1026;011000 Food;2016 July;100.94;100.94;-0.5;-0.5;0.5;0.5;10692
1027;011000 Food;2016 August;100.84;100.84;-0.1;-0.1;0.0;0.0;10692
1028;011000 Food;2016 September;100.25;100.25;-0.6;-0.6;-0.2;-0.2;10692
1029;011000 Food;2016 October;100.5;100.5;0.2;0.2;0.1;0.1;10692
1030;011000 Food;2016 November;100.9;100.9;0.4;0.4;0.6;0.6;10692
1031;011000 Food;2016 December;101.63;101.63;0.7;0.7;1.1;1.1;10692
1032;011000 Food;2016;100.81;100.81;;;0.8;0.8;10692
1033;011000 Food;2017 January;101.08;101.08;-0.5;-0.5;1.5;1.5;10816
1034;011000 Food;2017 February;102.72;102.72;1.6;1.6;2.2;2.2;10816
1035;011000 Food;2017 March;102.86;102.86;0.1;0.1;2.0;2.0;10816
1036;011000 Food;2017 April;102.95;102.95;0.1;0.1;1.8;1.8;10816
1037;011000 Food;2017 May;103.71;103.71;0.7;0.7;2.5;2.5;10816
1038;011000 Food;2017 June;104.22;104.22;0.5;0.5;2.8;2.8;10816
1039;011000 Food;2017 July;104.32;104.32;0.1;0.1;3.3;3.3;10816
1040;011000 Food;2017 August;104.54;104.54;0.2;0.2;3.7;3.7;10816
1041;011000 Food;2017 September;104.08;104.08;-0.4;-0.4;3.8;3.8;10816
1042;011000 Food;2017 October;104.07;104.07;0.0;0.0;3.6;3.6;10816
1043;011000 Food;2017 November;104.11;104.11;0.0;0.0;3.2;3.2;10816
1044;011000 Food;2017 December;104.28;104.28;0.2;0.2;2.6;2.6;10816
1045;011000 Food;2017;103.58;103.58;;;2.7;2.7;10816
1046;011000 Food;2018 January;103.35;103.35;-0.9;-0.9;2.2;2.2;10769
1047;011000 Food;2018 February;104.57;104.57;1.2;1.2;1.8;1.8;10769
1048;011000 Food;2018 March;103.61;103.61;-0.9;-0.9;0.7;0.7;10769
1049;011000 Food;2018 April;103.95;103.95;0.3;0.3;1.0;1.0;10769
1050;011000 Food;2018 May;104.37;104.37;0.4;0.4;0.6;0.6;10769
1051;011000 Food;2018 June;104.22;104.22;-0.1;-0.1;0.0;0.0;10769
1052;011000 Food;2018 July;104.49;104.49;0.3;0.3;0.2;0.2;10769
1053;011000 Food;2018 August;105.11;105.11;0.6;0.6;0.5;0.5;10769
1054;011000 Food;2018 September;104.75;104.75;-0.3;-0.3;0.6;0.6;10769
1055;011000 Food;2018 October;104.55;104.55;-0.2;-0.2;0.5;0.5;10769
1056;011000 Food;2018 November;105.22;105.22;0.6;0.6;1.1;1.1;10769
1057;011000 Food;2018 December;105.49;105.49;0.3;0.3;1.2;1.2;10769
1058;011000 Food;2018;104.47;104.47;;;0.9;0.9;10769
1059;011000 Food;2019 January;106.71;103.77;1.2;-1.6;3.3;0.4;10523
1060;011000 Food;2019 February;107.88;104.91;1.1;1.1;3.2;0.3;10523
1061;011000 Food;2019 March;107.57;104.61;-0.3;-0.3;3.8;1.0;10523
1062;011000 Food;2019 April;107.96;104.99;0.4;0.4;3.9;1.0;10523
1063;011000 Food;2019 May;108.34;105.36;0.4;0.4;3.8;0.9;10523
1064;011000 Food;2019 June;109.21;106.2;0.8;0.8;4.8;1.9;10523
1065;011000 Food;2019 July;109.8;106.78;0.5;0.5;5.1;2.2;10523
1066;011000 Food;2019 August;110.4;107.36;0.5;0.5;5.0;2.1;10523
1067;011000 Food;2019 September;109.93;106.91;-0.4;-0.4;4.9;2.1;10523
1068;011000 Food;2019 October;109.9;106.87;0.0;0.0;5.1;2.2;10523
1069;011000 Food;2019 November;109.85;106.82;0.0;0.0;4.4;1.5;10523
