ID;SIC1993SizeClasses;Periods;UnfilledVacancies_1;NewVacancies_2;FilledVacancies_3;UnfilledVacancies_4;NewVacancies_5;FilledVacancies_6
1049;G-K Commercial services;1998 annual figure;;;;73.8;482.0;473.0
1050;G-K Commercial services;1999 1st quarter;;;;86.3;134.0;122.0
1051;G-K Commercial services;1999 2nd quarter;;;;110.7;151.0;127.0
1052;G-K Commercial services;1999 3rd quarter;;;;93.3;118.0;135.0
1053;G-K Commercial services;1999 4th quarter;;;;99.9;132.0;125.0
1054;G-K Commercial services;1999 annual figure;;;;94.2;535.0;509.0
1055;G-K Commercial services;2000 1st quarter;;;;118.0;161.0;143.0
1056;G-K Commercial services;2000 2nd quarter;;;;116.1;137.0;139.0
1057;G-K Commercial services;2000 3rd quarter;;;;98.6;126.0;143.0
1058;G-K Commercial services;2000 4th quarter;;;;112.0;149.0;136.0
1059;G-K Commercial services;2000 annual figure;;;;109.7;573.0;561.0
1060;G-K Commercial services;2001 1st quarter;;;;118.7;152.0;145.0
1061;G-K Commercial services;2001 2nd quarter;;;;118.6;160.0;160.0
1062;G-K Commercial services;2001 3rd quarter;;;;88.1;114.0;145.0
1063;G-K Commercial services;2001 4th quarter;;;;82.0;107.0;113.0
1064;G-K Commercial services;2001 annual figure;;;;105.6;533.0;563.0
1065;G-K Commercial services;2002 1st quarter;;;;90.0;115.0;107.0
1066;G-K Commercial services;2002 2nd quarter;;;;82.3;111.0;119.0
1067;G-K Commercial services;2002 3rd quarter;;;;59.2;86.0;109.0
1068;G-K Commercial services;2002 4th quarter;;;;62.0;92.0;89.0
1069;G-K Commercial services;2002 annual figure;;;;75.9;404.0;423.0
1070;G-K Commercial services;2003 1st quarter;;;;66.4;100.0;95.0
1071;G-K Commercial services;2003 2nd quarter;;;;69.1;100.0;97.0
1072;G-K Commercial services;2003 3rd quarter;;;;41.3;79.0;106.0
1073;G-K Commercial services;2003 4th quarter;;;;52.5;93.0;82.0
1074;G-K Commercial services;2003 annual figure;;;;58.5;372.0;381.0
1075;G-K Commercial services;2004 1st quarter;;;;67.8;103.0;88.0
1076;G-K Commercial services;2004 2nd quarter;;;;74.9;117.0;110.0
1077;G-K Commercial services;2004 3rd quarter;;;;62.5;98.0;111.0
1078;G-K Commercial services;2004 4th quarter;;;;70.2;105.0;97.0
1079;G-K Commercial services;2004 annual figure;;;;66.7;423.0;405.0
1080;G-K Commercial services;2005 1st quarter;;;;92.8;129.0;106.0
1081;G-K Commercial services;2005 2nd quarter;;;;89.4;122.0;126.0
1082;G-K Commercial services;2005 3rd quarter;;;;91.7;136.0;134.0
1083;G-K Commercial services;2005 4th quarter;;;;91.2;125.0;126.0
1084;G-K Commercial services;2005 annual figure;;;;88.7;513.0;492.0
1085;G-K Commercial services;2006 1st quarter;;;;109.8;152.0;134.0
1086;G-K Commercial services;2006 2nd quarter;;;;122.3;170.0;157.0
1087;G-K Commercial services;2006 3rd quarter;;;;118.5;155.0;159.0
1088;G-K Commercial services;2006 4th quarter;131.7;153.0;157.0;119.3;142.0;141.0
1089;G-K Commercial services;2006 annual figure;;;;114.0;620.0;592.0
1090;G-K Commercial services;2007 1st quarter;141.7;176.0;166.0;;;
1091;G-K Commercial services;2007 2nd quarter;144.0;177.0;175.0;;;
1092;G-K Commercial services;2007 3rd quarter;136.7;158.0;165.0;;;
1093;G-K Commercial services;2007 4th quarter;140.5;161.0;157.0;;;
1094;G-K Commercial services;2007 annual figure;139.6;672.0;663.0;;;
1095;G-K Commercial services;2008 1st quarter;139.9;159.0;160.0;;;
1096;G-K Commercial services;2008 2nd quarter;144.2;170.0;165.0;;;
1097;G-K Commercial services;2008 3rd quarter;130.6;156.0;170.0;;;
1098;G-K Commercial services;2008 4rd quarter;100.0;123.0;154.0;;;
1099;G-K Commercial services;2008 annual figure;133.8;609.0;649.0;;;
1100;G-K Commercial services;2009 1st quarter;80.4;109.0;129.0;;;
1101;G-K Commercial services;2009 2nd quarter;68.2;106.0;119.0;;;
1102;G-K Commercial services;2009 3rd quarter;64.0;109.0;113.0;;;
1103;G-K Commercial services;2009 4rd quarter;60.2;103.0;106.0;;;
1104;G-K Commercial services;2009 annual figure;73.2;427.0;467.0;;;
1105;G Trade;1997 1st quarter;;;;14.7;30.0;28.0
1106;G Trade;1997 2nd quarter;;;;16.6;39.0;37.0
1107;G Trade;1997 3rd quarter;;;;15.5;39.0;41.0
1108;G Trade;1997 4th quarter;;;;21.4;45.0;39.0
1109;G Trade;1997 annual figure;;;;;;
1110;G Trade;1998 1st quarter;;;;20.7;45.0;46.0
1111;G Trade;1998 2nd quarter;;;;26.8;54.0;48.0
1112;G Trade;1998 3rd quarter;;;;24.0;51.0;54.0
1113;G Trade;1998 4th quarter;;;;23.5;48.0;48.0
1114;G Trade;1998 annual figure;;;;23.5;198.0;196.0
1115;G Trade;1999 1st quarter;;;;28.8;50.0;45.0
1116;G Trade;1999 2nd quarter;;;;36.9;59.0;50.0
1117;G Trade;1999 3rd quarter;;;;30.0;46.0;53.0
1118;G Trade;1999 4th quarter;;;;31.5;53.0;52.0
1119;G Trade;1999 annual figure;;;;30.8;207.0;199.0
1120;G Trade;2000 1st quarter;;;;36.1;57.0;52.0
1121;G Trade;2000 2nd quarter;;;;37.7;54.0;52.0
1122;G Trade;2000 3rd quarter;;;;31.3;51.0;58.0
1123;G Trade;2000 4th quarter;;;;35.3;61.0;57.0
1124;G Trade;2000 annual figure;;;;34.6;222.0;219.0
1125;G Trade;2001 1st quarter;;;;35.3;55.0;55.0
1126;G Trade;2001 2nd quarter;;;;35.9;52.0;51.0
1127;G Trade;2001 3rd quarter;;;;26.6;45.0;54.0
1128;G Trade;2001 4th quarter;;;;25.9;44.0;44.0
1129;G Trade;2001 annual figure;;;;32.1;195.0;205.0
1130;G Trade;2002 1st quarter;;;;29.9;43.0;39.0
1131;G Trade;2002 2nd quarter;;;;27.7;40.0;42.0
1132;G Trade;2002 3rd quarter;;;;20.7;35.0;42.0
1133;G Trade;2002 4th quarter;;;;23.7;38.0;35.0
1134;G Trade;2002 annual figure;;;;25.7;157.0;159.0
1135;G Trade;2003 1st quarter;;;;23.2;38.0;38.0
1136;G Trade;2003 2nd quarter;;;;26.9;38.0;34.0
1137;G Trade;2003 3rd quarter;;;;14.1;31.0;43.0
1138;G Trade;2003 4th quarter;;;;19.0;38.0;33.0
1139;G Trade;2003 annual figure;;;;21.4;144.0;149.0
1140;G Trade;2004 1st quarter;;;;20.7;34.0;32.0
1141;G Trade;2004 2nd quarter;;;;23.2;40.0;38.0
1142;G Trade;2004 3rd quarter;;;;18.7;35.0;40.0
1143;G Trade;2004 4th quarter;;;;22.3;39.0;36.0
1144;G Trade;2004 annual figure;;;;20.8;148.0;145.0
1145;G Trade;2005 1st quarter;;;;23.9;37.0;36.0
1146;G Trade;2005 2nd quarter;;;;23.8;39.0;39.0
1147;G Trade;2005 3rd quarter;;;;26.7;52.0;49.0
1148;G Trade;2005 4th quarter;;;;28.5;48.0;47.0
1149;G Trade;2005 annual figure;;;;25.0;177.0;170.0
1150;G Trade;2006 1st quarter;;;;30.8;50.0;47.0
1151;G Trade;2006 2nd quarter;;;;35.1;61.0;57.0
1152;G Trade;2006 3rd quarter;;;;35.3;57.0;57.0
1153;G Trade;2006 4th quarter;34.6;53.0;53.0;34.7;54.0;54.0
1154;G Trade;2006 annual figure;;;;33.2;221.0;215.0
1155;G Trade;2007 1st quarter;36.3;59.0;57.0;;;
1156;G Trade;2007 2nd quarter;39.4;62.0;59.0;;;
1157;G Trade;2007 3rd quarter;40.2;58.0;58.0;;;
1158;G Trade;2007 4th quarter;41.3;60.0;59.0;;;
1159;G Trade;2007 annual figure;38.5;240.0;233.0;;;
1160;G Trade;2008 1st quarter;40.8;55.0;56.0;;;
1161;G Trade;2008 2nd quarter;42.7;63.0;61.0;;;
1162;G Trade;2008 3rd quarter;40.0;64.0;66.0;;;
1163;G Trade;2008 4rd quarter;28.0;49.0;61.0;;;
1164;G Trade;2008 annual figure;39.6;231.0;244.0;;;
1165;G Trade;2009 1st quarter;22.6;43.0;48.0;;;
1166;G Trade;2009 2nd quarter;20.4;44.0;47.0;;;
1167;G Trade;2009 3rd quarter;19.9;48.0;48.0;;;
1168;G Trade;2009 4rd quarter;19.7;45.0;45.0;;;
1169;G Trade;2009 annual figure;21.7;180.0;188.0;;;
1170;50 Car trade and repairs;1997 1st quarter;;;;1.4;3.0;3.0
1171;50 Car trade and repairs;1997 2nd quarter;;;;2.1;4.0;4.0
1172;50 Car trade and repairs;1997 3rd quarter;;;;1.4;3.0;4.0
1173;50 Car trade and repairs;1997 4th quarter;;;;2.2;4.0;3.0
1174;50 Car trade and repairs;1997 annual figure;;;;;;
1175;50 Car trade and repairs;1998 1st quarter;;;;1.7;3.0;4.0
1176;50 Car trade and repairs;1998 2nd quarter;;;;2.7;5.0;4.0
1177;50 Car trade and repairs;1998 3rd quarter;;;;2.4;4.0;4.0
1178;50 Car trade and repairs;1998 4th quarter;;;;3.0;4.0;4.0
1179;50 Car trade and repairs;1998 annual figure;;;;2.3;16.0;15.0
1180;50 Car trade and repairs;1999 1st quarter;;;;3.5;5.0;4.0
1181;50 Car trade and repairs;1999 2nd quarter;;;;4.8;6.0;5.0
1182;50 Car trade and repairs;1999 3rd quarter;;;;3.5;4.0;5.0
1183;50 Car trade and repairs;1999 4th quarter;;;;4.1;5.0;4.0
1184;50 Car trade and repairs;1999 annual figure;;;;3.8;20.0;19.0
1185;50 Car trade and repairs;2000 1st quarter;;;;5.0;6.0;5.0
1186;50 Car trade and repairs;2000 2nd quarter;;;;5.0;5.0;5.0
1187;50 Car trade and repairs;2000 3rd quarter;;;;3.8;4.0;5.0
1188;50 Car trade and repairs;2000 4th quarter;;;;4.6;5.0;5.0
1189;50 Car trade and repairs;2000 annual figure;;;;4.5;21.0;21.0
1190;50 Car trade and repairs;2001 1st quarter;;;;4.5;6.0;6.0
1191;50 Car trade and repairs;2001 2nd quarter;;;;4.7;5.0;5.0
1192;50 Car trade and repairs;2001 3rd quarter;;;;3.1;4.0;5.0
1193;50 Car trade and repairs;2001 4th quarter;;;;3.3;5.0;4.0
1194;50 Car trade and repairs;2001 annual figure;;;;4.0;19.0;20.0
1195;50 Car trade and repairs;2002 1st quarter;;;;3.7;4.0;4.0
1196;50 Car trade and repairs;2002 2nd quarter;;;;4.0;5.0;5.0
1197;50 Car trade and repairs;2002 3rd quarter;;;;2.5;3.0;5.0
1198;50 Car trade and repairs;2002 4th quarter;;;;2.5;3.0;3.0
1199;50 Car trade and repairs;2002 annual figure;;;;3.3;16.0;17.0
1200;50 Car trade and repairs;2003 1st quarter;;;;2.8;3.0;3.0
1201;50 Car trade and repairs;2003 2nd quarter;;;;2.3;3.0;3.0
1202;50 Car trade and repairs;2003 3rd quarter;;;;1.8;3.0;3.0
1203;50 Car trade and repairs;2003 4th quarter;;;;2.0;3.0;3.0
1204;50 Car trade and repairs;2003 annual figure;;;;2.3;12.0;12.0
1205;50 Car trade and repairs;2004 1st quarter;;;;2.3;3.0;3.0
1206;50 Car trade and repairs;2004 2nd quarter;;;;2.6;4.0;4.0
1207;50 Car trade and repairs;2004 3rd quarter;;;;2.1;3.0;3.0
1208;50 Car trade and repairs;2004 4th quarter;;;;2.0;3.0;4.0
1209;50 Car trade and repairs;2004 annual figure;;;;2.2;13.0;13.0
1210;50 Car trade and repairs;2005 1st quarter;;;;2.8;4.0;3.0
1211;50 Car trade and repairs;2005 2nd quarter;;;;2.7;4.0;4.0
1212;50 Car trade and repairs;2005 3rd quarter;;;;3.0;5.0;5.0
1213;50 Car trade and repairs;2005 4th quarter;;;;2.9;4.0;4.0
1214;50 Car trade and repairs;2005 annual figure;;;;2.8;17.0;16.0
1215;50 Car trade and repairs;2006 1st quarter;;;;2.7;4.0;4.0
1216;50 Car trade and repairs;2006 2nd quarter;;;;3.8;6.0;5.0
1217;50 Car trade and repairs;2006 3rd quarter;;;;4.2;6.0;6.0
1218;50 Car trade and repairs;2006 4th quarter;4.5;5.0;5.0;5.0;6.0;6.0
1219;50 Car trade and repairs;2006 annual figure;;;;3.6;22.0;20.0
1220;50 Car trade and repairs;2007 1st quarter;3.8;4.0;5.0;;;
1221;50 Car trade and repairs;2007 2nd quarter;4.7;6.0;5.0;;;
1222;50 Car trade and repairs;2007 3rd quarter;4.0;5.0;5.0;;;
1223;50 Car trade and repairs;2007 4th quarter;4.9;6.0;5.0;;;
1224;50 Car trade and repairs;2007 annual figure;4.3;21.0;20.0;;;
1225;50 Car trade and repairs;2008 1st quarter;4.7;6.0;6.0;;;
1226;50 Car trade and repairs;2008 2nd quarter;5.0;6.0;5.0;;;
1227;50 Car trade and repairs;2008 3rd quarter;4.5;5.0;6.0;;;
1228;50 Car trade and repairs;2008 4rd quarter;2.4;3.0;5.0;;;
1229;50 Car trade and repairs;2008 annual figure;4.5;20.0;22.0;;;
1230;50 Car trade and repairs;2009 1st quarter;2.4;3.0;3.0;;;
1231;50 Car trade and repairs;2009 2nd quarter;1.9;3.0;4.0;;;
1232;50 Car trade and repairs;2009 3rd quarter;2.0;4.0;4.0;;;
1233;50 Car trade and repairs;2009 4rd quarter;1.6;3.0;3.0;;;
1234;50 Car trade and repairs;2009 annual figure;2.1;13.0;14.0;;;
1235;51 Wholesale;1997 1st quarter;;;;8.4;13.0;12.0
1236;51 Wholesale;1997 2nd quarter;;;;9.0;14.0;13.0
1237;51 Wholesale;1997 3rd quarter;;;;7.6;13.0;14.0
1238;51 Wholesale;1997 4th quarter;;;;9.9;16.0;14.0
1239;51 Wholesale;1997 annual figure;;;;;;
1240;51 Wholesale;1998 1st quarter;;;;10.1;19.0;19.0
1241;51 Wholesale;1998 2nd quarter;;;;13.6;21.0;17.0
1242;51 Wholesale;1998 3rd quarter;;;;10.7;17.0;20.0
1243;51 Wholesale;1998 4th quarter;;;;11.6;18.0;17.0
1244;51 Wholesale;1998 annual figure;;;;11.3;75.0;74.0
1245;51 Wholesale;1999 1st quarter;;;;13.4;20.0;18.0
1246;51 Wholesale;1999 2nd quarter;;;;16.0;21.0;19.0
1247;51 Wholesale;1999 3rd quarter;;;;13.4;16.0;19.0
1248;51 Wholesale;1999 4th quarter;;;;14.9;22.0;21.0
1249;51 Wholesale;1999 annual figure;;;;14.0;80.0;76.0
1250;51 Wholesale;2000 1st quarter;;;;16.3;23.0;22.0
1251;51 Wholesale;2000 2nd quarter;;;;16.6;20.0;19.0
1252;51 Wholesale;2000 3rd quarter;;;;14.7;17.0;19.0
1253;51 Wholesale;2000 4th quarter;;;;15.5;20.0;19.0
1254;51 Wholesale;2000 annual figure;;;;15.7;81.0;80.0
1255;51 Wholesale;2001 1st quarter;;;;14.7;20.0;21.0
1256;51 Wholesale;2001 2nd quarter;;;;14.5;16.0;16.0
1257;51 Wholesale;2001 3rd quarter;;;;11.1;14.0;17.0
1258;51 Wholesale;2001 4th quarter;;;;10.7;13.0;14.0
1259;51 Wholesale;2001 annual figure;;;;13.3;62.0;67.0
1260;51 Wholesale;2002 1st quarter;;;;12.0;16.0;14.0
1261;51 Wholesale;2002 2nd quarter;;;;11.4;15.0;15.0
1262;51 Wholesale;2002 3rd quarter;;;;7.7;11.0;15.0
1263;51 Wholesale;2002 4th quarter;;;;9.4;13.0;12.0
1264;51 Wholesale;2002 annual figure;;;;10.3;55.0;56.0
1265;51 Wholesale;2003 1st quarter;;;;9.1;13.0;13.0
1266;51 Wholesale;2003 2nd quarter;;;;8.5;12.0;13.0
1267;51 Wholesale;2003 3rd quarter;;;;5.6;9.0;12.0
1268;51 Wholesale;2003 4th quarter;;;;8.6;12.0;9.0
1269;51 Wholesale;2003 annual figure;;;;8.1;47.0;47.0
1270;51 Wholesale;2004 1st quarter;;;;9.2;13.0;12.0
1271;51 Wholesale;2004 2nd quarter;;;;11.5;16.0;14.0
1272;51 Wholesale;2004 3rd quarter;;;;8.9;14.0;16.0
1273;51 Wholesale;2004 4th quarter;;;;10.3;14.0;13.0
1274;51 Wholesale;2004 annual figure;;;;9.8;56.0;55.0
1275;51 Wholesale;2005 1st quarter;;;;10.7;14.0;14.0
1276;51 Wholesale;2005 2nd quarter;;;;10.8;14.0;14.0
1277;51 Wholesale;2005 3rd quarter;;;;11.3;15.0;15.0
1278;51 Wholesale;2005 4th quarter;;;;13.4;17.0;15.0
1279;51 Wholesale;2005 annual figure;;;;11.2;60.0;57.0
1280;51 Wholesale;2006 1st quarter;;;;14.6;18.0;17.0
1281;51 Wholesale;2006 2nd quarter;;;;16.1;20.0;19.0
1282;51 Wholesale;2006 3rd quarter;;;;14.5;17.0;19.0
1283;51 Wholesale;2006 4th quarter;17.2;18.0;17.0;15.7;18.0;17.0
1284;51 Wholesale;2006 annual figure;;;;14.9;73.0;71.0
1285;51 Wholesale;2007 1st quarter;17.2;23.0;23.0;;;
1286;51 Wholesale;2007 2nd quarter;17.5;22.0;22.0;;;
1287;51 Wholesale;2007 3rd quarter;18.7;19.0;18.0;;;
1288;51 Wholesale;2007 4th quarter;18.4;20.0;21.0;;;
1289;51 Wholesale;2007 annual figure;17.8;85.0;84.0;;;
1290;51 Wholesale;2008 1st quarter;18.6;18.0;18.0;;;
1291;51 Wholesale;2008 2nd quarter;18.5;19.0;19.0;;;
1292;51 Wholesale;2008 3rd quarter;16.5;18.0;20.0;;;
1293;51 Wholesale;2008 4rd quarter;11.2;13.0;18.0;;;
1294;51 Wholesale;2008 annual figure;17.1;69.0;76.0;;;
1295;51 Wholesale;2009 1st quarter;8.7;11.0;13.0;;;
1296;51 Wholesale;2009 2nd quarter;7.5;11.0;12.0;;;
1297;51 Wholesale;2009 3rd quarter;6.8;10.0;11.0;;;
1298;51 Wholesale;2009 4rd quarter;7.7;11.0;10.0;;;
1299;51 Wholesale;2009 annual figure;8.1;43.0;47.0;;;
1300;521 Department stores and supermarkets;1997 1st quarter;;;;1.4;4.0;4.0
1301;521 Department stores and supermarkets;1997 2nd quarter;;;;1.5;7.0;7.0
1302;521 Department stores and supermarkets;1997 3rd quarter;;;;2.0;8.0;8.0
1303;521 Department stores and supermarkets;1997 4th quarter;;;;1.8;6.0;7.0
1304;521 Department stores and supermarkets;1997 annual figure;;;;;;
1305;521 Department stores and supermarkets;1998 1st quarter;;;;2.2;6.0;6.0
1306;521 Department stores and supermarkets;1998 2nd quarter;;;;3.4;10.0;9.0
1307;521 Department stores and supermarkets;1998 3rd quarter;;;;3.1;11.0;11.0
1308;521 Department stores and supermarkets;1998 4th quarter;;;;2.4;10.0;11.0
1309;521 Department stores and supermarkets;1998 annual figure;;;;2.7;38.0;37.0
1310;521 Department stores and supermarkets;1999 1st quarter;;;;3.3;7.0;7.0
1311;521 Department stores and supermarkets;1999 2nd quarter;;;;4.1;9.0;8.0
1312;521 Department stores and supermarkets;1999 3rd quarter;;;;4.6;9.0;9.0
1313;521 Department stores and supermarkets;1999 4th quarter;;;;3.0;7.0;9.0
1314;521 Department stores and supermarkets;1999 annual figure;;;;3.7;33.0;32.0
1315;521 Department stores and supermarkets;2000 1st quarter;;;;3.2;7.0;6.0
1316;521 Department stores and supermarkets;2000 2nd quarter;;;;4.4;10.0;9.0
1317;521 Department stores and supermarkets;2000 3rd quarter;;;;4.6;11.0;11.0
1318;521 Department stores and supermarkets;2000 4th quarter;;;;4.3;11.0;11.0
1319;521 Department stores and supermarkets;2000 annual figure;;;;4.0;39.0;38.0
1320;521 Department stores and supermarkets;2001 1st quarter;;;;5.2;10.0;9.0
1321;521 Department stores and supermarkets;2001 2nd quarter;;;;4.8;8.0;9.0
1322;521 Department stores and supermarkets;2001 3rd quarter;;;;3.5;8.0;10.0
1323;521 Department stores and supermarkets;2001 4th quarter;;;;3.0;7.0;7.0
1324;521 Department stores and supermarkets;2001 annual figure;;;;4.3;33.0;34.0
1325;521 Department stores and supermarkets;2002 1st quarter;;;;3.2;6.0;5.0
1326;521 Department stores and supermarkets;2002 2nd quarter;;;;2.9;6.0;7.0
1327;521 Department stores and supermarkets;2002 3rd quarter;;;;2.2;5.0;5.0
1328;521 Department stores and supermarkets;2002 4th quarter;;;;3.5;6.0;5.0
1329;521 Department stores and supermarkets;2002 annual figure;;;;2.9;23.0;22.0
1330;521 Department stores and supermarkets;2003 1st quarter;;;;3.4;7.0;7.0
1331;521 Department stores and supermarkets;2003 2nd quarter;;;;3.9;6.0;5.0
1332;521 Department stores and supermarkets;2003 3rd quarter;;;;2.2;8.0;10.0
1333;521 Department stores and supermarkets;2003 4th quarter;;;;1.4;8.0;9.0
1334;521 Department stores and supermarkets;2003 annual figure;;;;3.0;29.0;31.0
1335;521 Department stores and supermarkets;2004 1st quarter;;;;1.4;6.0;6.0
1336;521 Department stores and supermarkets;2004 2nd quarter;;;;1.4;7.0;7.0
1337;521 Department stores and supermarkets;2004 3rd quarter;;;;1.3;7.0;7.0
1338;521 Department stores and supermarkets;2004 4th quarter;;;;2.4;9.0;8.0
1339;521 Department stores and supermarkets;2004 annual figure;;;;1.5;29.0;28.0
1340;521 Department stores and supermarkets;2005 1st quarter;;;;1.4;5.0;6.0
1341;521 Department stores and supermarkets;2005 2nd quarter;;;;2.3;7.0;6.0
1342;521 Department stores and supermarkets;2005 3rd quarter;;;;3.2;13.0;13.0
1343;521 Department stores and supermarkets;2005 4th quarter;;;;1.9;10.0;11.0
1344;521 Department stores and supermarkets;2005 annual figure;;;;2.3;36.0;36.0
1345;521 Department stores and supermarkets;2006 1st quarter;;;;2.7;11.0;10.0
1346;521 Department stores and supermarkets;2006 2nd quarter;;;;3.3;14.0;14.0
1347;521 Department stores and supermarkets;2006 3rd quarter;;;;4.8;15.0;14.0
1348;521 Department stores and supermarkets;2006 4th quarter;2.5;11.0;11.0;4.1;13.0;14.0
1349;521 Department stores and supermarkets;2006 annual figure;;;;3.4;54.0;52.0
1350;521 Department stores and supermarkets;2007 1st quarter;2.7;13.0;12.0;;;
1351;521 Department stores and supermarkets;2007 2nd quarter;3.2;13.0;13.0;;;
1352;521 Department stores and supermarkets;2007 3rd quarter;4.2;15.0;14.0;;;
1353;521 Department stores and supermarkets;2007 4th quarter;4.9;15.0;14.0;;;
1354;521 Department stores and supermarkets;2007 annual figure;3.5;55.0;53.0;;;
1355;521 Department stores and supermarkets;2008 1st quarter;4.5;14.0;14.0;;;
1356;521 Department stores and supermarkets;2008 2nd quarter;4.5;17.0;17.0;;;
1357;521 Department stores and supermarkets;2008 3rd quarter;4.5;19.0;19.0;;;
1358;521 Department stores and supermarkets;2008 4rd quarter;4.1;17.0;18.0;;;
1359;521 Department stores and supermarkets;2008 annual figure;4.5;67.0;67.0;;;
1360;521 Department stores and supermarkets;2009 1st quarter;3.2;15.0;16.0;;;
1361;521 Department stores and supermarkets;2009 2nd quarter;3.0;16.0;16.0;;;
1362;521 Department stores and supermarkets;2009 3rd quarter;2.6;18.0;19.0;;;
1363;521 Department stores and supermarkets;2009 4rd quarter;2.6;17.0;17.0;;;
1364;521 Department stores and supermarkets;2009 annual figure;3.0;67.0;69.0;;;
1365;522 Shops food, beverages and tobacco;1997 1st quarter;;;;0.5;1.0;1.0
1366;522 Shops food, beverages and tobacco;1997 2nd quarter;;;;0.6;1.0;1.0
1367;522 Shops food, beverages and tobacco;1997 3rd quarter;;;;0.8;2.0;2.0
1368;522 Shops food, beverages and tobacco;1997 4th quarter;;;;0.7;2.0;2.0
1369;522 Shops food, beverages and tobacco;1997 annual figure;;;;;;
1370;522 Shops food, beverages and tobacco;1998 1st quarter;;;;1.0;2.0;2.0
1371;522 Shops food, beverages and tobacco;1998 2nd quarter;;;;1.0;2.0;2.0
1372;522 Shops food, beverages and tobacco;1998 3rd quarter;;;;0.5;3.0;3.0
1373;522 Shops food, beverages and tobacco;1998 4th quarter;;;;0.8;2.0;2.0
1374;522 Shops food, beverages and tobacco;1998 annual figure;;;;0.8;10.0;9.0
1375;522 Shops food, beverages and tobacco;1999 1st quarter;;;;1.1;2.0;2.0
1376;522 Shops food, beverages and tobacco;1999 2nd quarter;;;;1.7;3.0;3.0
1377;522 Shops food, beverages and tobacco;1999 3rd quarter;;;;1.0;2.0;3.0
1378;522 Shops food, beverages and tobacco;1999 4th quarter;;;;1.2;2.0;2.0
1379;522 Shops food, beverages and tobacco;1999 annual figure;;;;1.2;10.0;10.0
1380;522 Shops food, beverages and tobacco;2000 1st quarter;;;;1.4;2.0;2.0
1381;522 Shops food, beverages and tobacco;2000 2nd quarter;;;;1.7;2.0;2.0
1382;522 Shops food, beverages and tobacco;2000 3rd quarter;;;;0.8;1.0;2.0
1383;522 Shops food, beverages and tobacco;2000 4th quarter;;;;1.7;3.0;2.0
1384;522 Shops food, beverages and tobacco;2000 annual figure;;;;1.3;9.0;8.0
1385;522 Shops food, beverages and tobacco;2001 1st quarter;;;;1.1;2.0;3.0
1386;522 Shops food, beverages and tobacco;2001 2nd quarter;;;;2.0;3.0;2.0
1387;522 Shops food, beverages and tobacco;2001 3rd quarter;;;;1.2;1.0;2.0
1388;522 Shops food, beverages and tobacco;2001 4th quarter;;;;0.9;2.0;2.0
1389;522 Shops food, beverages and tobacco;2001 annual figure;;;;1.4;9.0;10.0
1390;522 Shops food, beverages and tobacco;2002 1st quarter;;;;1.0;2.0;2.0
1391;522 Shops food, beverages and tobacco;2002 2nd quarter;;;;2.1;3.0;2.0
1392;522 Shops food, beverages and tobacco;2002 3rd quarter;;;;1.2;2.0;2.0
1393;522 Shops food, beverages and tobacco;2002 4th quarter;;;;0.7;1.0;2.0
1394;522 Shops food, beverages and tobacco;2002 annual figure;;;;1.3;8.0;8.0
1395;522 Shops food, beverages and tobacco;2003 1st quarter;;;;1.2;3.0;2.0
1396;522 Shops food, beverages and tobacco;2003 2nd quarter;;;;1.4;2.0;1.0
1397;522 Shops food, beverages and tobacco;2003 3rd quarter;;;;0.4;1.0;2.0
1398;522 Shops food, beverages and tobacco;2003 4th quarter;;;;1.3;3.0;2.0
1399;522 Shops food, beverages and tobacco;2003 annual figure;;;;1.0;8.0;7.0
1400;522 Shops food, beverages and tobacco;2004 1st quarter;;;;1.6;1.0;1.0
1401;522 Shops food, beverages and tobacco;2004 2nd quarter;;;;1.1;2.0;2.0
1402;522 Shops food, beverages and tobacco;2004 3rd quarter;;;;0.5;1.0;2.0
1403;522 Shops food, beverages and tobacco;2004 4th quarter;;;;0.6;1.0;1.0
1404;522 Shops food, beverages and tobacco;2004 annual figure;;;;1.0;5.0;6.0
1405;522 Shops food, beverages and tobacco;2005 1st quarter;;;;1.4;2.0;1.0
1406;522 Shops food, beverages and tobacco;2005 2nd quarter;;;;1.2;2.0;2.0
1407;522 Shops food, beverages and tobacco;2005 3rd quarter;;;;1.3;2.0;2.0
1408;522 Shops food, beverages and tobacco;2005 4th quarter;;;;1.0;2.0;2.0
1409;522 Shops food, beverages and tobacco;2005 annual figure;;;;1.1;9.0;8.0
1410;522 Shops food, beverages and tobacco;2006 1st quarter;;;;1.5;2.0;2.0
1411;522 Shops food, beverages and tobacco;2006 2nd quarter;;;;1.9;4.0;3.0
1412;522 Shops food, beverages and tobacco;2006 3rd quarter;;;;1.6;3.0;3.0
1413;522 Shops food, beverages and tobacco;2006 4th quarter;1.2;2.0;2.0;1.6;3.0;3.0
1414;522 Shops food, beverages and tobacco;2006 annual figure;;;;1.5;11.0;10.0
1415;522 Shops food, beverages and tobacco;2007 1st quarter;1.3;2.0;2.0;;;
1416;522 Shops food, beverages and tobacco;2007 2nd quarter;1.3;2.0;2.0;;;
1417;522 Shops food, beverages and tobacco;2007 3rd quarter;1.4;3.0;2.0;;;
1418;522 Shops food, beverages and tobacco;2007 4th quarter;1.2;2.0;3.0;;;
1419;522 Shops food, beverages and tobacco;2007 annual figure;1.3;9.0;9.0;;;
