ID;WijkenEnBuurten;Woningkenmerken;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldeElektriciteitslevering_5;GemiddeldeNettoElektriciteitslevering_6;Stadsverwarming_7;IndelingswijzigingWijkenEnBuurten_8
148;Schipborg;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800500;1250.0;1920.0;1220.0;;1.0
149;Schipborg;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800500;1830.0;3480.0;2100.0;;1.0
150;Schipborg;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800500;1690.0;3160.0;1890.0;;1.0
151;Schipborg;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800500;1360.0;2020.0;1420.0;;1.0
152;Verspreide huizen Schipborg;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800509;1410.0;3190.0;2860.0;;1.0
153;Verspreide huizen Schipborg;Appartement;Aa en Hunze                             ;Buurt     ;BU16800509;;;;;1.0
154;Verspreide huizen Schipborg;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800509;;;;;1.0
155;Verspreide huizen Schipborg;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800509;;;;;1.0
156;Verspreide huizen Schipborg;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800509;;;;;1.0
157;Verspreide huizen Schipborg;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800509;1410.0;3190.0;2860.0;;1.0
158;Verspreide huizen Schipborg;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800509;1520.0;3700.0;3270.0;;1.0
159;Verspreide huizen Schipborg;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800509;;;;;1.0
160;Wijk 06 Eexterveen;Totaal woningen;Aa en Hunze                             ;Wijk      ;WK168006  ;1460.0;3320.0;1790.0;;1.0
161;Wijk 06 Eexterveen;Appartement;Aa en Hunze                             ;Wijk      ;WK168006  ;1440.0;3360.0;2130.0;;1.0
162;Wijk 06 Eexterveen;Tussenwoning;Aa en Hunze                             ;Wijk      ;WK168006  ;1640.0;3260.0;1380.0;;1.0
