ID;Perioden;MannenEnVrouwen_1;Mannen_2;Vrouwen_3
702;2008 juli;16434935;8128957;8305978
703;2008 augustus;16440452;8132066;8308386
704;2008 september;16449092;8136720;8312372
705;2008 oktober;16464859;8144900;8319959
706;2008 november;16473709;8149659;8324050
707;2008 december;16479291;8152801;8326490
708;2009 januari;16485787;8156396;8329391
709;2009 februari;16489042;8158251;8330791
710;2009 maart;16495231;8161557;8333674
711;2009 april;16501683;8164994;8336689
712;2009 mei;16506782;8167762;8339020
713;2009 juni;16513615;8171387;8342228
714;2009 juli;16520661;8175119;8345542
715;2009 augustus;16528400;8179193;8349207
716;2009 september;16538542;8184457;8354085
717;2009 oktober;16554596;8192647;8361949
718;2009 november;16562317;8196713;8365604
719;2009 december;16568499;8200018;8368481
720;2010 januari;16574989;8203476;8371513
721;2010 februari;16578604;8205586;8373018
722;2010 maart;16585167;8209197;8375970
723;2010 april;16588947;8210899;8378048
724;2010 mei;16593973;8213427;8380546
725;2010 juni;16599333;8216286;8383047
726;2010 juli;16606135;8219951;8386184
727;2010 augustus;16611675;8222904;8388771
728;2010 september;16624215;8228652;8395563
729;2010 oktober;16638805;8235192;8403613
730;2010 november;16648268;8239730;8408538
731;2010 december;16654119;8242556;8411563
732;2011 januari;16655799;8243482;8412317
733;2011 februari;16661142;8246483;8414659
734;2011 maart;16669012;8250539;8418473
735;2011 april;16673931;8253158;8420773
736;2011 mei;16676905;8254803;8422102
737;2011 juni;16681513;8257440;8424073
738;2011 juli;16686550;8260524;8426026
739;2011 augustus;16690580;8262642;8427938
740;2011 september;16703472;8269045;8434427
741;2011 oktober;16719078;8276541;8442537
742;2011 november;16725328;8279969;8445359
743;2011 december;16729674;8282336;8447338
744;2012 januari;16730348;8282871;8447477
745;2012 februari;16731280;8283273;8448007
746;2012 maart;16735690;8285849;8449841
747;2012 april;16737631;8286974;8450657
748;2012 mei;16739764;8288019;8451745
749;2012 juni;16742830;8289646;8453184
750;2012 juli;16744696;8290866;8453830
751;2012 augustus;16746558;8291787;8454771
752;2012 september;16758167;8297340;8460827
753;2012 oktober;16772610;8304056;8468554
754;2012 november;16778726;8306959;8471767
755;2012 december;16781377;8308098;8473279
756;2013 januari;16779575;8307339;8472236
757;2013 februari;16781367;8308772;8472595
758;2013 maart;16783870;8310421;8473449
759;2013 april;16784986;8311363;8473623
760;2013 mei;16785783;8311926;8473857
761;2013 juni;16788992;8313781;8475211
762;2013 juli;16792122;8315731;8476391
763;2013 augustus;16795289;8317691;8477598
764;2013 september;16805879;8323013;8482866
765;2013 oktober;16820076;8329897;8490179
766;2013 november;16825762;8332639;8493123
767;2013 december;16829252;8334485;8494767
768;2014 januari;16829289;8334385;8494904
769;2014 februari;16833919;8337055;8496864
770;2014 maart;16840299;8340482;8499817
771;2014 april;16844980;8343066;8501914
772;2014 mei;16849473;8345517;8503956
773;2014 juni;16853737;8347964;8505773
774;2014 juli;16857811;8350453;8507358
775;2014 augustus;16859859;8351952;8507907
776;2014 september;16870851;8357487;8513364
777;2014 oktober;16887455;8365236;8522219
778;2014 november;16895020;8369371;8525649
779;2014 december;16900158;8372420;8527738
780;2015 januari;16900726;8372858;8527868
781;2015 februari;16902755;8374861;8527894
782;2015 maart;16907260;8377729;8529531
783;2015 april;16909935;8379637;8530298
784;2015 mei;16913226;8381851;8531375
785;2015 juni;16916874;8384251;8532623
786;2015 juli;16920914;8386614;8534300
787;2015 augustus;16924103;8388680;8535423
788;2015 september;16938111;8395572;8542539
789;2015 oktober;16957471;8404511;8552960
790;2015 november;16967044;8409838;8557206
791;2015 december;16975465;8414637;8560828
792;2016 januari;16979120;8417135;8561985
793;2016 februari ;16984642;8420985;8563657
794;2016 maart;16993719;8426542;8567177
795;2016 april;17000716;8431202;8569514
796;2016 mei;17006295;8435176;8571119
797;2016 juni;17014225;8440119;8574106
798;2016 juli;17022008;8445299;8576709
799;2016 augustus;17027548;8449063;8578485
800;2016 september;17045144;8458064;8587080
801;2016 oktober;17066717;8468403;8598314
802;2016 november;17078773;8474433;8604340
803;2016 december;17087536;8479254;8608282
804;2017 januari;17089690;8480565;8609125
