ID;Sales;SBI2008;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4
712;Total sales;06 Extraction of crude petroleum and gas;2003 November;15434;71.8;0.9;-3.2
713;Total sales;06 Extraction of crude petroleum and gas;2003 December;15434;74.6;3.8;-2.4
714;Total sales;06 Extraction of crude petroleum and gas;2003;15434;76.2;;7.6
715;Total sales;06 Extraction of crude petroleum and gas;2004 January;15434;72.9;-2.2;-7.9
716;Total sales;06 Extraction of crude petroleum and gas;2004 February;15434;73.4;0.6;-7.8
717;Total sales;06 Extraction of crude petroleum and gas;2004 March;15434;73.0;-0.6;-7.6
718;Total sales;06 Extraction of crude petroleum and gas;2004 April;15434;71.8;-1.6;-10.3
719;Total sales;06 Extraction of crude petroleum and gas;2004 May;15434;71.1;-1.0;-12.5
720;Total sales;06 Extraction of crude petroleum and gas;2004 June;15434;71.7;0.9;-12.2
721;Total sales;06 Extraction of crude petroleum and gas;2004 July;15434;73.1;1.9;0.0
722;Total sales;06 Extraction of crude petroleum and gas;2004 August;15434;72.6;-0.6;0.4
723;Total sales;06 Extraction of crude petroleum and gas;2004 September;15434;73.9;1.7;4.0
724;Total sales;06 Extraction of crude petroleum and gas;2004 October;15434;79.9;8.2;12.2
725;Total sales;06 Extraction of crude petroleum and gas;2004 November;15434;81.3;1.8;13.2
726;Total sales;06 Extraction of crude petroleum and gas;2004 December;15434;81.7;0.4;9.5
727;Total sales;06 Extraction of crude petroleum and gas;2004;15434;74.7;;-2.0
728;Total sales;06 Extraction of crude petroleum and gas;2005 January;15434;87.7;7.4;20.3
729;Total sales;06 Extraction of crude petroleum and gas;2005 February;15434;88.1;0.4;20.1
730;Total sales;06 Extraction of crude petroleum and gas;2005 March;15434;88.8;0.8;21.8
731;Total sales;06 Extraction of crude petroleum and gas;2005 April;15434;93.1;4.8;29.8
732;Total sales;06 Extraction of crude petroleum and gas;2005 May;15434;92.7;-0.4;30.5
733;Total sales;06 Extraction of crude petroleum and gas;2005 June;15434;95.2;2.7;32.8
734;Total sales;06 Extraction of crude petroleum and gas;2005 July;15434;99.7;4.7;36.5
735;Total sales;06 Extraction of crude petroleum and gas;2005 August;15434;102.9;3.2;41.7
736;Total sales;06 Extraction of crude petroleum and gas;2005 September;15434;104.9;2.0;42.1
737;Total sales;06 Extraction of crude petroleum and gas;2005 October;15434;113.1;7.8;41.5
738;Total sales;06 Extraction of crude petroleum and gas;2005 November;15434;113.3;0.2;39.3
739;Total sales;06 Extraction of crude petroleum and gas;2005 December;15434;120.3;6.2;47.3
740;Total sales;06 Extraction of crude petroleum and gas;2005;15434;100.0;;33.9
741;Total sales;06 Extraction of crude petroleum and gas;2006 January;15434;125.6;4.4;43.2
742;Total sales;06 Extraction of crude petroleum and gas;2006 February;15434;125.6;0.0;42.6
743;Total sales;06 Extraction of crude petroleum and gas;2006 March;15434;127.2;1.2;43.2
744;Total sales;06 Extraction of crude petroleum and gas;2006 April;15434;131.2;3.2;40.9
745;Total sales;06 Extraction of crude petroleum and gas;2006 May;15434;136.8;4.3;47.6
746;Total sales;06 Extraction of crude petroleum and gas;2006 June;15434;136.5;-0.2;43.4
747;Total sales;06 Extraction of crude petroleum and gas;2006 July;15434;135.7;-0.6;36.1
748;Total sales;06 Extraction of crude petroleum and gas;2006 August;15434;135.6;-0.1;31.8
749;Total sales;06 Extraction of crude petroleum and gas;2006 September;15434;136.6;0.7;30.2
750;Total sales;06 Extraction of crude petroleum and gas;2006 October;15434;135.8;-0.6;20.1
751;Total sales;06 Extraction of crude petroleum and gas;2006 November;15434;134.4;-1.0;18.6
752;Total sales;06 Extraction of crude petroleum and gas;2006 December;15434;134.9;0.4;12.1
753;Total sales;06 Extraction of crude petroleum and gas;2006;15434;133.0;;33.0
754;Total sales;06 Extraction of crude petroleum and gas;2007 January;15434;136.0;0.8;8.3
755;Total sales;06 Extraction of crude petroleum and gas;2007 February;15434;133.8;-1.6;6.5
756;Total sales;06 Extraction of crude petroleum and gas;2007 March;15434;134.6;0.6;5.9
757;Total sales;06 Extraction of crude petroleum and gas;2007 April;15434;133.8;-0.6;1.9
758;Total sales;06 Extraction of crude petroleum and gas;2007 May;15434;131.8;-1.5;-3.7
759;Total sales;06 Extraction of crude petroleum and gas;2007 June;15434;129.6;-1.7;-5.1
760;Total sales;06 Extraction of crude petroleum and gas;2007 July;15434;136.0;5.0;0.2
761;Total sales;06 Extraction of crude petroleum and gas;2007 August;15434;134.6;-1.1;-0.8
762;Total sales;06 Extraction of crude petroleum and gas;2007 September;15434;132.3;-1.7;-3.2
763;Total sales;06 Extraction of crude petroleum and gas;2007 October;15434;134.7;1.8;-0.8
764;Total sales;06 Extraction of crude petroleum and gas;2007 November;15434;135.2;0.4;0.6
765;Total sales;06 Extraction of crude petroleum and gas;2007 December;15434;136.4;0.9;1.1
766;Total sales;06 Extraction of crude petroleum and gas;2007;15434;134.1;;0.8
767;Total sales;06 Extraction of crude petroleum and gas;2008 January;15434;142.5;4.5;4.8
768;Total sales;06 Extraction of crude petroleum and gas;2008 February;15434;146.7;2.9;9.6
769;Total sales;06 Extraction of crude petroleum and gas;2008 March;15434;150.0;2.3;11.4
770;Total sales;06 Extraction of crude petroleum and gas;2008 April;15434;157.0;4.6;17.4
771;Total sales;06 Extraction of crude petroleum and gas;2008 May;15434;167.7;6.8;27.3
772;Total sales;06 Extraction of crude petroleum and gas;2008 June;15434;177.1;5.6;36.7
773;Total sales;06 Extraction of crude petroleum and gas;2008 July;15434;193.0;9.0;41.9
774;Total sales;06 Extraction of crude petroleum and gas;2008 August;15434;196.0;1.6;45.7
775;Total sales;06 Extraction of crude petroleum and gas;2008 September;15434;189.8;-3.1;43.5
776;Total sales;06 Extraction of crude petroleum and gas;2008 October;15434;193.9;2.1;43.9
777;Total sales;06 Extraction of crude petroleum and gas;2008 November;15434;186.1;-4.0;37.7
778;Total sales;06 Extraction of crude petroleum and gas;2008 December;15434;185.6;-0.3;36.1
779;Total sales;06 Extraction of crude petroleum and gas;2008;15434;173.8;;29.6
780;Total sales;06 Extraction of crude petroleum and gas;2009 January;15434;167.0;-10.0;17.1
781;Total sales;06 Extraction of crude petroleum and gas;2009 February;15434;162.1;-2.9;10.5
782;Total sales;06 Extraction of crude petroleum and gas;2009 March;15434;155.1;-4.3;3.4
783;Total sales;06 Extraction of crude petroleum and gas;2009 April;15434;131.0;-15.5;-16.5
784;Total sales;06 Extraction of crude petroleum and gas;2009 May;15434;124.1;-5.3;-26.0
785;Total sales;06 Extraction of crude petroleum and gas;2009 June;15434;120.7;-2.7;-31.8
786;Total sales;06 Extraction of crude petroleum and gas;2009 July;15434;111.1;-8.0;-42.4
787;Total sales;06 Extraction of crude petroleum and gas;2009 August;15434;108.5;-2.4;-44.6
788;Total sales;06 Extraction of crude petroleum and gas;2009 September;15434;108.2;-0.2;-43.0
789;Total sales;06 Extraction of crude petroleum and gas;2009 October;15434;114.2;5.5;-41.1
790;Total sales;06 Extraction of crude petroleum and gas;2009 November;15434;118.0;3.3;-36.6
791;Total sales;06 Extraction of crude petroleum and gas;2009 December;15434;117.4;-0.5;-36.7
792;Total sales;06 Extraction of crude petroleum and gas;2009;15434;128.1;;-26.3
793;Total sales;06 Extraction of crude petroleum and gas;2010 January;15434;114.8;-2.3;-31.3
794;Total sales;06 Extraction of crude petroleum and gas;2010 February;15434;117.5;2.4;-27.5
795;Total sales;06 Extraction of crude petroleum and gas;2010 March;15434;119.6;1.8;-22.9
796;Total sales;06 Extraction of crude petroleum and gas;2010 April;15434;122.5;2.4;-6.5
797;Total sales;06 Extraction of crude petroleum and gas;2010 May;15434;123.1;0.5;-0.8
798;Total sales;06 Extraction of crude petroleum and gas;2010 June;15434;130.3;5.8;7.9
799;Total sales;06 Extraction of crude petroleum and gas;2010 July;15434;141.2;8.4;27.1
800;Total sales;06 Extraction of crude petroleum and gas;2010 August;15434;141.6;0.3;30.5
801;Total sales;06 Extraction of crude petroleum and gas;2010 September;15434;138.2;-2.4;27.7
802;Total sales;06 Extraction of crude petroleum and gas;2010 October;15434;137.3;-0.7;20.2
803;Total sales;06 Extraction of crude petroleum and gas;2010 November;15434;140.5;2.4;19.1
804;Total sales;06 Extraction of crude petroleum and gas;2010 December;15434;136.6;-2.8;16.3
805;Total sales;06 Extraction of crude petroleum and gas;2010;15434;130.3;;1.7
806;Total sales;06 Extraction of crude petroleum and gas;2011 January;15434;144.9;6.1;26.3
807;Total sales;06 Extraction of crude petroleum and gas;2011 February;15434;145.5;0.4;23.8
808;Total sales;06 Extraction of crude petroleum and gas;2011 March;15434;146.6;0.7;22.5
809;Total sales;06 Extraction of crude petroleum and gas;2011 April;15434;156.2;6.6;27.6
810;Total sales;06 Extraction of crude petroleum and gas;2011 May;15434;154.9;-0.8;25.8
811;Total sales;06 Extraction of crude petroleum and gas;2011 June;15434;156.8;1.2;20.4
812;Total sales;06 Extraction of crude petroleum and gas;2011 July;15434;158.4;1.0;12.2
813;Total sales;06 Extraction of crude petroleum and gas;2011 August;15434;156.4;-1.3;10.4
814;Total sales;06 Extraction of crude petroleum and gas;2011 September;15434;162.6;4.0;17.6
815;Total sales;06 Extraction of crude petroleum and gas;2011 October;15434;173.4;6.6;26.3
816;Total sales;06 Extraction of crude petroleum and gas;2011 November;15434;174.5;0.7;24.2
817;Total sales;06 Extraction of crude petroleum and gas;2011 December;15434;174.0;-0.3;27.4
818;Total sales;06 Extraction of crude petroleum and gas;2011;15434;158.7;;21.8
819;Total sales;06 Extraction of crude petroleum and gas;2012 January;15434;167.9;-3.5;15.9
820;Total sales;06 Extraction of crude petroleum and gas;2012 February;15434;168.5;0.4;15.8
821;Total sales;06 Extraction of crude petroleum and gas;2012 March;15434;169.8;0.8;15.8
822;Total sales;06 Extraction of crude petroleum and gas;2012 April;15434;175.1;3.1;12.1
823;Total sales;06 Extraction of crude petroleum and gas;2012 May;15434;177.7;1.4;14.7
824;Total sales;06 Extraction of crude petroleum and gas;2012 June;15434;172.4;-2.9;10.0
825;Total sales;06 Extraction of crude petroleum and gas;2012 July;15434;171.5;-0.5;8.3
826;Total sales;06 Extraction of crude petroleum and gas;2012 August;15434;174.8;1.9;11.8
827;Total sales;06 Extraction of crude petroleum and gas;2012 September;15434;174.4;-0.2;7.3
828;Total sales;06 Extraction of crude petroleum and gas;2012 October;15434;178.7;2.4;3.1
829;Total sales;06 Extraction of crude petroleum and gas;2012 November;15434;185.7;3.9;6.4
830;Total sales;06 Extraction of crude petroleum and gas;2012 December;15434;178.7;-3.8;2.6
831;Total sales;06 Extraction of crude petroleum and gas;2012;15434;174.6;;10.0
832;Total sales;08 Mining and quarrying (no oil and gas);1981 January;0;64.1;;
833;Total sales;08 Mining and quarrying (no oil and gas);1981 February;0;64.7;1.0;
834;Total sales;08 Mining and quarrying (no oil and gas);1981 March ;0;65.0;0.5;
835;Total sales;08 Mining and quarrying (no oil and gas);1981 April;0;65.8;1.2;
836;Total sales;08 Mining and quarrying (no oil and gas);1981 May;0;65.9;0.2;
837;Total sales;08 Mining and quarrying (no oil and gas);1981 June;0;66.7;1.3;
838;Total sales;08 Mining and quarrying (no oil and gas);1981 July;0;67.9;1.7;
839;Total sales;08 Mining and quarrying (no oil and gas);1981 August;0;67.9;0.1;
840;Total sales;08 Mining and quarrying (no oil and gas);1981 September;0;67.7;-0.3;
841;Total sales;08 Mining and quarrying (no oil and gas);1981 October;0;67.4;-0.4;
842;Total sales;08 Mining and quarrying (no oil and gas);1981 November;0;67.2;-0.4;
843;Total sales;08 Mining and quarrying (no oil and gas);1981 December;0;66.7;-0.7;
844;Total sales;08 Mining and quarrying (no oil and gas);1981;0;66.4;;
845;Total sales;08 Mining and quarrying (no oil and gas);1982 January;0;67.9;1.8;6.0
846;Total sales;08 Mining and quarrying (no oil and gas);1982 February;0;67.7;-0.3;4.6
847;Total sales;08 Mining and quarrying (no oil and gas);1982 March ;0;67.8;0.2;4.3
848;Total sales;08 Mining and quarrying (no oil and gas);1982 April;0;67.7;-0.1;3.0
849;Total sales;08 Mining and quarrying (no oil and gas);1982 May;0;66.8;-1.3;1.5
850;Total sales;08 Mining and quarrying (no oil and gas);1982 June;0;66.7;-0.2;-0.1
851;Total sales;08 Mining and quarrying (no oil and gas);1982 July;0;66.5;-0.3;-2.0
852;Total sales;08 Mining and quarrying (no oil and gas);1982 August;0;66.9;0.5;-1.5
853;Total sales;08 Mining and quarrying (no oil and gas);1982 September;0;66.6;-0.4;-1.7
854;Total sales;08 Mining and quarrying (no oil and gas);1982 October;0;66.2;-0.6;-1.9
855;Total sales;08 Mining and quarrying (no oil and gas);1982 November;0;65.4;-1.1;-2.6
856;Total sales;08 Mining and quarrying (no oil and gas);1982 December;0;64.9;-0.8;-2.6
857;Total sales;08 Mining and quarrying (no oil and gas);1982;0;66.8;;0.5
858;Total sales;08 Mining and quarrying (no oil and gas);1983 January;0;65.1;0.2;-4.1
859;Total sales;08 Mining and quarrying (no oil and gas);1983 February;0;66.0;1.4;-2.5
860;Total sales;08 Mining and quarrying (no oil and gas);1983 March ;0;66.9;1.5;-1.3
861;Total sales;08 Mining and quarrying (no oil and gas);1983 April;0;68.2;1.9;0.7
862;Total sales;08 Mining and quarrying (no oil and gas);1983 May;0;68.6;0.6;2.7
863;Total sales;08 Mining and quarrying (no oil and gas);1983 June;0;70.6;2.9;5.9
864;Total sales;08 Mining and quarrying (no oil and gas);1983 July;0;70.9;0.3;6.5
865;Total sales;08 Mining and quarrying (no oil and gas);1983 August;0;72.3;2.0;8.1
866;Total sales;08 Mining and quarrying (no oil and gas);1983 September;0;73.5;1.7;10.4
867;Total sales;08 Mining and quarrying (no oil and gas);1983 October;0;74.1;0.9;12.1
868;Total sales;08 Mining and quarrying (no oil and gas);1983 November;0;74.5;0.5;13.9
869;Total sales;08 Mining and quarrying (no oil and gas);1983 December;0;75.7;1.6;16.6
870;Total sales;08 Mining and quarrying (no oil and gas);1983;0;70.5;;5.7
871;Total sales;08 Mining and quarrying (no oil and gas);1984 January;0;77.4;2.3;19.0
872;Total sales;08 Mining and quarrying (no oil and gas);1984 February;0;78.5;1.4;19.1
873;Total sales;08 Mining and quarrying (no oil and gas);1984 March ;0;78.9;0.4;17.8
874;Total sales;08 Mining and quarrying (no oil and gas);1984 April;0;79.6;0.9;16.7
875;Total sales;08 Mining and quarrying (no oil and gas);1984 May;0;80.0;0.5;16.6
876;Total sales;08 Mining and quarrying (no oil and gas);1984 June;0;79.7;-0.4;12.8
877;Total sales;08 Mining and quarrying (no oil and gas);1984 July;0;79.1;-0.8;11.6
878;Total sales;08 Mining and quarrying (no oil and gas);1984 August;0;79.3;0.2;9.7
879;Total sales;08 Mining and quarrying (no oil and gas);1984 September;0;78.6;-0.8;7.0
880;Total sales;08 Mining and quarrying (no oil and gas);1984 October;0;78.4;-0.2;5.8
881;Total sales;08 Mining and quarrying (no oil and gas);1984 November;0;78.3;-0.2;5.1
882;Total sales;08 Mining and quarrying (no oil and gas);1984 December;0;78.2;-0.1;3.3
883;Total sales;08 Mining and quarrying (no oil and gas);1984;0;78.8;;11.8
884;Total sales;08 Mining and quarrying (no oil and gas);1985 January;0;78.6;0.5;1.4
885;Total sales;08 Mining and quarrying (no oil and gas);1985 February;0;79.5;1.2;1.2
886;Total sales;08 Mining and quarrying (no oil and gas);1985 March ;0;81.0;1.9;2.7
887;Total sales;08 Mining and quarrying (no oil and gas);1985 April;0;80.5;-0.6;1.1
888;Total sales;08 Mining and quarrying (no oil and gas);1985 May;0;81.0;0.6;1.3
889;Total sales;08 Mining and quarrying (no oil and gas);1985 June;0;80.5;-0.6;1.0
890;Total sales;08 Mining and quarrying (no oil and gas);1985 July;0;78.7;-2.3;-0.5
891;Total sales;08 Mining and quarrying (no oil and gas);1985 August;0;77.3;-1.7;-2.4
892;Total sales;08 Mining and quarrying (no oil and gas);1985 September;0;76.1;-1.6;-3.2
893;Total sales;08 Mining and quarrying (no oil and gas);1985 October;0;75.3;-1.1;-4.0
894;Total sales;08 Mining and quarrying (no oil and gas);1985 November;0;73.8;-2.0;-5.8
895;Total sales;08 Mining and quarrying (no oil and gas);1985 December;0;71.8;-2.7;-8.1
896;Total sales;08 Mining and quarrying (no oil and gas);1985;0;77.8;;-1.3
897;Total sales;08 Mining and quarrying (no oil and gas);1986 January;0;71.1;-1.0;-9.5
898;Total sales;08 Mining and quarrying (no oil and gas);1986 February;0;69.7;-2.0;-12.4
899;Total sales;08 Mining and quarrying (no oil and gas);1986 March ;0;68.6;-1.5;-15.3
900;Total sales;08 Mining and quarrying (no oil and gas);1986 April;0;67.9;-1.1;-15.7
901;Total sales;08 Mining and quarrying (no oil and gas);1986 May;0;67.4;-0.7;-16.8
902;Total sales;08 Mining and quarrying (no oil and gas);1986 June;0;67.2;-0.4;-16.6
903;Total sales;08 Mining and quarrying (no oil and gas);1986 July;0;65.8;-2.1;-16.4
904;Total sales;08 Mining and quarrying (no oil and gas);1986 August;0;65.4;-0.6;-15.5
905;Total sales;08 Mining and quarrying (no oil and gas);1986 September;0;65.0;-0.5;-14.6
906;Total sales;08 Mining and quarrying (no oil and gas);1986 October;0;64.5;-0.8;-14.3
907;Total sales;08 Mining and quarrying (no oil and gas);1986 November;0;64.2;-0.4;-13.0
908;Total sales;08 Mining and quarrying (no oil and gas);1986 December;0;63.6;-0.9;-11.4
909;Total sales;08 Mining and quarrying (no oil and gas);1986;0;66.7;;-14.3
910;Total sales;08 Mining and quarrying (no oil and gas);1987 January;0;62.9;-1.1;-11.5
911;Total sales;08 Mining and quarrying (no oil and gas);1987 February;0;62.5;-0.8;-10.4
912;Total sales;08 Mining and quarrying (no oil and gas);1987 March ;0;62.6;0.2;-8.8
913;Total sales;08 Mining and quarrying (no oil and gas);1987 April;0;62.9;0.5;-7.3
914;Total sales;08 Mining and quarrying (no oil and gas);1987 May;0;62.8;-0.2;-6.9
915;Total sales;08 Mining and quarrying (no oil and gas);1987 June;0;62.9;0.3;-6.3
916;Total sales;08 Mining and quarrying (no oil and gas);1987 July;0;63.2;0.5;-3.8
917;Total sales;08 Mining and quarrying (no oil and gas);1987 August;0;63.2;0.0;-3.3
918;Total sales;08 Mining and quarrying (no oil and gas);1987 September;0;63.8;0.8;-1.9
919;Total sales;08 Mining and quarrying (no oil and gas);1987 October;0;63.8;0.0;-1.2
920;Total sales;08 Mining and quarrying (no oil and gas);1987 November;0;63.6;-0.2;-1.0
921;Total sales;08 Mining and quarrying (no oil and gas);1987 December;0;63.7;0.2;0.1
922;Total sales;08 Mining and quarrying (no oil and gas);1987;0;63.2;;-5.3
923;Total sales;08 Mining and quarrying (no oil and gas);1988 January;0;64.3;0.9;2.2
924;Total sales;08 Mining and quarrying (no oil and gas);1988 February;0;64.2;-0.2;2.8
925;Total sales;08 Mining and quarrying (no oil and gas);1988 March ;0;64.9;1.1;3.7
926;Total sales;08 Mining and quarrying (no oil and gas);1988 April;0;65.8;1.4;4.7
927;Total sales;08 Mining and quarrying (no oil and gas);1988 May;0;66.6;1.1;6.1
928;Total sales;08 Mining and quarrying (no oil and gas);1988 June;0;68.4;2.7;8.7
929;Total sales;08 Mining and quarrying (no oil and gas);1988 July;0;70.0;2.4;10.7
930;Total sales;08 Mining and quarrying (no oil and gas);1988 August;0;70.6;0.8;11.7
931;Total sales;08 Mining and quarrying (no oil and gas);1988 September;0;71.8;1.7;12.6
932;Total sales;08 Mining and quarrying (no oil and gas);1988 October;0;72.9;1.5;14.3
933;Total sales;08 Mining and quarrying (no oil and gas);1988 November;0;73.0;0.1;14.7
934;Total sales;08 Mining and quarrying (no oil and gas);1988 December;0;73.4;0.7;15.2
935;Total sales;08 Mining and quarrying (no oil and gas);1988;0;68.8;;9.0
936;Total sales;08 Mining and quarrying (no oil and gas);1989 January;0;74.9;2.0;16.5
937;Total sales;08 Mining and quarrying (no oil and gas);1989 February;0;76.5;2.1;19.2
938;Total sales;08 Mining and quarrying (no oil and gas);1989 March ;0;77.5;1.3;19.3
939;Total sales;08 Mining and quarrying (no oil and gas);1989 April;0;77.6;0.2;17.9
940;Total sales;08 Mining and quarrying (no oil and gas);1989 May;0;77.9;0.3;17.0
941;Total sales;08 Mining and quarrying (no oil and gas);1989 June;0;77.4;-0.7;13.2
942;Total sales;08 Mining and quarrying (no oil and gas);1989 July;0;77.3;-0.1;10.5
943;Total sales;08 Mining and quarrying (no oil and gas);1989 August;0;77.6;0.3;9.9
944;Total sales;08 Mining and quarrying (no oil and gas);1989 September;0;77.4;-0.2;7.9
945;Total sales;08 Mining and quarrying (no oil and gas);1989 October;0;76.7;-1.0;5.2
946;Total sales;08 Mining and quarrying (no oil and gas);1989 November;0;75.0;-2.1;2.8
947;Total sales;08 Mining and quarrying (no oil and gas);1989 December;0;73.9;-1.5;0.6
948;Total sales;08 Mining and quarrying (no oil and gas);1989;0;76.6;;11.4
949;Total sales;08 Mining and quarrying (no oil and gas);1990 January;0;72.4;-2.0;-3.3
950;Total sales;08 Mining and quarrying (no oil and gas);1990 February;0;72.7;0.5;-4.9
951;Total sales;08 Mining and quarrying (no oil and gas);1990 March ;0;73.2;0.7;-5.5
952;Total sales;08 Mining and quarrying (no oil and gas);1990 April;0;73.7;0.7;-5.0
953;Total sales;08 Mining and quarrying (no oil and gas);1990 May;0;74.0;0.4;-5.0
954;Total sales;08 Mining and quarrying (no oil and gas);1990 June;0;74.2;0.3;-4.1
955;Total sales;08 Mining and quarrying (no oil and gas);1990 July;0;74.4;0.3;-3.8
956;Total sales;08 Mining and quarrying (no oil and gas);1990 August;0;74.5;0.1;-4.0
957;Total sales;08 Mining and quarrying (no oil and gas);1990 September;0;74.5;0.0;-3.8
958;Total sales;08 Mining and quarrying (no oil and gas);1990 October;0;74.7;0.3;-2.5
959;Total sales;08 Mining and quarrying (no oil and gas);1990 November;0;74.8;0.1;-0.3
960;Total sales;08 Mining and quarrying (no oil and gas);1990 December;0;74.7;-0.1;1.1
961;Total sales;08 Mining and quarrying (no oil and gas);1990;0;74.0;;-3.5
962;Total sales;08 Mining and quarrying (no oil and gas);1991 January;0;77.4;3.7;7.0
963;Total sales;08 Mining and quarrying (no oil and gas);1991 February;0;77.3;-0.1;6.3
964;Total sales;08 Mining and quarrying (no oil and gas);1991 March ;0;77.2;-0.2;5.4
965;Total sales;08 Mining and quarrying (no oil and gas);1991 April;0;77.3;0.2;4.9
966;Total sales;08 Mining and quarrying (no oil and gas);1991 May;0;77.1;-0.2;4.2
967;Total sales;08 Mining and quarrying (no oil and gas);1991 June;0;77.0;-0.1;3.8
968;Total sales;08 Mining and quarrying (no oil and gas);1991 July;0;76.8;-0.3;3.2
969;Total sales;08 Mining and quarrying (no oil and gas);1991 August;0;76.8;0.0;3.1
970;Total sales;08 Mining and quarrying (no oil and gas);1991 September;0;76.7;-0.1;3.0
971;Total sales;08 Mining and quarrying (no oil and gas);1991 October;0;76.6;-0.2;2.5
972;Total sales;08 Mining and quarrying (no oil and gas);1991 November;0;76.7;0.2;2.6
973;Total sales;08 Mining and quarrying (no oil and gas);1991 December;0;77.0;0.3;3.0
974;Total sales;08 Mining and quarrying (no oil and gas);1991;0;77.0;;4.1
975;Total sales;08 Mining and quarrying (no oil and gas);1992 January;0;78.2;1.6;1.0
976;Total sales;08 Mining and quarrying (no oil and gas);1992 February;0;78.2;0.1;1.2
977;Total sales;08 Mining and quarrying (no oil and gas);1992 March ;0;78.2;0.0;1.4
978;Total sales;08 Mining and quarrying (no oil and gas);1992 April;0;78.3;0.1;1.3
979;Total sales;08 Mining and quarrying (no oil and gas);1992 May;0;78.3;-0.1;1.5
980;Total sales;08 Mining and quarrying (no oil and gas);1992 June;0;78.3;0.1;1.7
981;Total sales;08 Mining and quarrying (no oil and gas);1992 July;0;78.3;0.0;1.9
982;Total sales;08 Mining and quarrying (no oil and gas);1992 August;0;78.3;0.0;2.0
983;Total sales;08 Mining and quarrying (no oil and gas);1992 September;0;78.2;-0.1;2.0
984;Total sales;08 Mining and quarrying (no oil and gas);1992 October;0;78.3;0.1;2.3
985;Total sales;08 Mining and quarrying (no oil and gas);1992 November;0;78.3;-0.1;2.0
986;Total sales;08 Mining and quarrying (no oil and gas);1992 December;0;78.3;0.0;1.7
987;Total sales;08 Mining and quarrying (no oil and gas);1992;0;78.3;;1.6
988;Total sales;08 Mining and quarrying (no oil and gas);1993 January;0;79.1;1.0;1.2
989;Total sales;08 Mining and quarrying (no oil and gas);1993 February;0;79.1;0.1;1.2
990;Total sales;08 Mining and quarrying (no oil and gas);1993 March ;0;79.4;0.3;1.5
991;Total sales;08 Mining and quarrying (no oil and gas);1993 April;0;79.4;0.0;1.4
992;Total sales;08 Mining and quarrying (no oil and gas);1993 May;0;79.4;0.0;1.5
993;Total sales;08 Mining and quarrying (no oil and gas);1993 June;0;79.4;0.0;1.4
994;Total sales;08 Mining and quarrying (no oil and gas);1993 July;0;79.4;0.0;1.4
995;Total sales;08 Mining and quarrying (no oil and gas);1993 August;0;79.5;0.1;1.5
996;Total sales;08 Mining and quarrying (no oil and gas);1993 September;0;79.4;-0.1;1.5
997;Total sales;08 Mining and quarrying (no oil and gas);1993 October;0;79.4;0.0;1.4
998;Total sales;08 Mining and quarrying (no oil and gas);1993 November;0;79.4;0.1;1.5
999;Total sales;08 Mining and quarrying (no oil and gas);1993 December;0;79.4;-0.1;1.4
1000;Total sales;08 Mining and quarrying (no oil and gas);1993;0;79.4;;1.4
1001;Total sales;08 Mining and quarrying (no oil and gas);1994 January;0;79.9;0.7;1.0
1002;Total sales;08 Mining and quarrying (no oil and gas);1994 February;0;80.0;0.1;1.1
1003;Total sales;08 Mining and quarrying (no oil and gas);1994 March ;0;80.2;0.2;0.9
1004;Total sales;08 Mining and quarrying (no oil and gas);1994 April;0;80.3;0.1;1.1
1005;Total sales;08 Mining and quarrying (no oil and gas);1994 May;0;80.4;0.1;1.2
1006;Total sales;08 Mining and quarrying (no oil and gas);1994 June;0;80.3;-0.1;1.1
1007;Total sales;08 Mining and quarrying (no oil and gas);1994 July;0;80.4;0.2;1.3
1008;Total sales;08 Mining and quarrying (no oil and gas);1994 August;0;80.4;0.0;1.2
1009;Total sales;08 Mining and quarrying (no oil and gas);1994 September;0;80.4;0.0;1.3
1010;Total sales;08 Mining and quarrying (no oil and gas);1994 October;0;80.5;0.1;1.4
1011;Total sales;08 Mining and quarrying (no oil and gas);1994 November;0;80.6;0.0;1.4
1012;Total sales;08 Mining and quarrying (no oil and gas);1994 December;0;80.6;0.1;1.5
1013;Total sales;08 Mining and quarrying (no oil and gas);1994;0;80.3;;1.2
1014;Total sales;08 Mining and quarrying (no oil and gas);1995 January;0;81.8;1.5;2.4
1015;Total sales;08 Mining and quarrying (no oil and gas);1995 February;0;81.8;0.0;2.2
1016;Total sales;08 Mining and quarrying (no oil and gas);1995 March ;0;82.2;0.5;2.6
1017;Total sales;08 Mining and quarrying (no oil and gas);1995 April;0;82.2;-0.1;2.4
1018;Total sales;08 Mining and quarrying (no oil and gas);1995 May;0;82.0;-0.2;2.1
1019;Total sales;08 Mining and quarrying (no oil and gas);1995 June;0;81.9;-0.1;2.1
1020;Total sales;08 Mining and quarrying (no oil and gas);1995 July;0;82.0;0.0;1.9
1021;Total sales;08 Mining and quarrying (no oil and gas);1995 August;0;81.9;0.0;1.9
1022;Total sales;08 Mining and quarrying (no oil and gas);1995 September;0;81.5;-0.5;1.4
1023;Total sales;08 Mining and quarrying (no oil and gas);1995 October;0;81.7;0.2;1.4
1024;Total sales;08 Mining and quarrying (no oil and gas);1995 November;0;82.3;0.8;2.2
1025;Total sales;08 Mining and quarrying (no oil and gas);1995 December;0;82.4;0.0;2.2
1026;Total sales;08 Mining and quarrying (no oil and gas);1995;0;82.0;;2.1
