ID;Periods;MainRefinancingRateECB_1;MarginalLendingRateECB_2;DepositRateECB_3;LevyAndCollectionRate_4;AdvanceRateAgainstSecurities_5;FixedAdvanceRateDutchCentralBank_6;StatutoryInterestRate_7;RateOnStudentLoans_8;OneMonthAiborEuribor_9;ThreeMonthsAiborEuribor_10;SixMonthsAiborEuribor_11;TwelveMonthsAiborEuribor_12;ThreeMonthsLoans_13;ThreeMonthsEuroDollarDeposits_14;CallMoneyInterest_15
422;1989 July;;;;;10.75;6.75;8.0;;7.1;7.19;7.23;7.27;7.13;;6.94
423;1989 August;;;;;10.75;6.75;8.0;;7.26;7.25;7.25;7.25;7.2;;7.2
424;1989 September;;;;;10.75;6.75;8.0;;7.49;7.63;7.7;7.75;7.58;;7.23
425;1989 October;;;;;11.25;7.75;8.0;;8.14;8.17;8.17;8.15;8.11;;8.0
426;1989 November;;;;;11.25;7.75;8.0;;8.4;8.47;8.47;8.45;8.43;;8.25
427;1989 December;;;;;11.25;7.75;8.0;;8.56;8.57;8.58;8.58;8.51;;8.43
428;1989;;;;;11.25;7.75;8.0;;7.27;7.39;7.45;7.5;7.34;;6.99
429;1990 January;;;;;11.75;7.75;11.0;;8.82;8.92;8.98;9.01;8.85;;8.55
430;1990 February;;;;;11.75;7.75;11.0;;8.88;9.01;9.13;9.24;8.96;;8.61
431;1990 March;;;;;11.75;7.75;11.0;;8.61;8.8;9.0;9.24;8.74;;8.24
432;1990 April;;;;;11.75;7.75;11.0;;8.37;8.57;8.8;9.05;8.52;;8.15
433;1990 May;;;;;11.25;7.75;11.0;;8.29;8.48;8.96;8.98;8.42;;8.18
434;1990 June;;;;;11.25;7.75;11.0;;8.18;8.36;8.57;8.87;8.3;;7.95
435;1990 July;;;;;11.25;7.75;11.0;;8.07;8.27;8.48;8.7;8.22;;7.79
436;1990 August;;;;;11.25;7.75;11.0;;8.39;8.54;8.69;8.86;8.49;;8.25
437;1990 September;;;;;11.25;7.75;11.0;;8.33;8.51;8.75;8.96;8.46;;8.13
438;1990 October;;;;;11.25;7.75;11.0;;8.24;8.51;8.74;8.94;8.45;;7.97
439;1990 November;;;;;12.0;8.0;11.0;;8.52;8.82;8.98;9.1;8.75;;8.42
440;1990 December;;;;;12.0;8.0;11.0;;9.4;9.4;9.43;9.44;9.34;;9.23
441;1990;;;;;12.0;8.0;11.0;;8.51;8.68;8.85;9.03;8.63;;8.28
442;1991 January;;;;;12.0;8.0;11.0;;9.24;9.42;9.54;9.6;9.34;;8.72
443;1991 February;;;;;12.0;8.5;11.0;;9.06;9.1;9.12;9.16;9.03;;9.03
444;1991 March;;;;;12.0;8.5;11.0;;9.11;9.13;9.15;9.16;9.06;;9.1
445;1991 April;;;;;12.0;8.5;11.0;;9.1;9.19;9.25;9.27;9.11;;8.89
446;1991 May;;;;;12.0;8.5;11.0;;9.07;9.13;9.17;9.21;9.06;;8.98
447;1991 June;;;;;12.0;8.5;11.0;;9.12;9.15;9.2;9.22;9.09;;8.96
448;1991 July;;;;;12.0;8.5;11.0;;9.02;9.17;9.29;9.34;9.11;;8.66
449;1991 August;;;;;12.25;8.75;11.0;;9.2;9.34;9.45;9.53;9.28;;9.05
450;1991 September;;;;;12.25;8.75;11.0;;9.2;9.3;9.36;9.4;9.22;;9.0
451;1991 October;;;;;12.25;8.75;11.0;;9.21;9.33;9.38;9.41;9.26;;9.03
452;1991 November;;;;;12.25;8.75;11.0;;9.29;9.42;9.44;9.45;9.34;;9.0
453;1991 December;;;;;12.75;9.25;11.0;;9.79;9.7;9.65;9.58;9.6;;9.59
454;1991;;;;;12.75;9.25;11.0;;9.2;9.28;9.34;9.37;9.21;;9.0
455;1992 January;;;;;12.75;9.25;12.0;;9.59;9.55;9.47;9.33;9.49;;9.44
456;1992 February;;;;;12.75;9.25;12.0;;9.62;9.6;9.51;9.32;9.51;;9.45
457;1992 March;;;;;12.75;9.25;12.0;;9.62;9.61;9.57;9.45;9.52;;9.48
458;1992 April;;;;;12.75;9.25;12.0;;9.48;9.5;9.51;9.5;9.45;;9.28
459;1992 May;;;;;12.75;9.25;12.0;;9.51;9.52;9.52;9.5;9.47;;9.44
460;1992 June;;;;;12.75;9.25;12.0;;9.52;9.52;9.51;9.49;9.47;;9.38
461;1992 July;;;;;12.75;9.25;12.0;;9.57;9.58;9.57;9.56;9.53;;9.43
462;1992 August;;;;;12.75;9.25;12.0;;9.83;9.82;9.8;9.77;9.77;;9.79
463;1992 September;;;;;12.25;8.75;12.0;;9.38;9.35;9.29;9.18;9.3;;9.26
464;1992 October;;;;7.9;12.0;8.5;12.0;;8.88;8.74;8.46;8.08;8.67;;8.84
465;1992 November;;;;7.9;12.0;8.5;12.0;;8.84;8.78;8.43;7.88;8.71;;8.76
466;1992 December;;;;7.9;9.75;8.25;12.0;;8.79;8.66;8.28;7.77;8.6;;8.69
467;1992;;;;;9.75;8.25;12.0;;9.38;9.35;9.24;9.06;9.29;;9.27
468;1993 January;;;;7.1;11.5;8.0;12.0;;8.36;8.11;7.74;7.33;8.04;;8.38
469;1993 February;;;;7.1;11.5;8.0;12.0;;8.32;8.09;7.7;7.24;8.02;;8.3
470;1993 March;;;;7.1;11.0;7.5;12.0;;7.93;7.6;7.21;6.73;7.53;;8.07
471;1993 April;;;;6.65;10.75;7.25;12.0;;7.78;7.53;7.16;6.69;7.46;;7.81
472;1993 May;;;;6.65;10.25;6.75;12.0;;7.29;7.07;6.76;6.44;7.02;;7.36
473;1993 June;;;;6.65;10.25;6.75;12.0;;6.93;6.73;6.49;6.22;6.68;;7.06
474;1993 July;;;;6.45;9.75;6.25;12.0;;6.73;6.55;6.33;6.12;6.48;;6.79
475;1993 August;;;;6.45;9.75;6.25;12.0;;6.63;6.36;6.13;5.9;6.29;;6.63
476;1993 September;;;;6.45;9.5;6.0;12.0;;6.53;6.35;6.09;5.79;6.24;;6.51
477;1993 October;;;;5.55;9.25;5.75;12.0;;6.4;6.3;6.02;5.74;6.2;;6.32
478;1993 November;;;;5.55;9.25;5.75;12.0;;6.06;5.96;5.7;5.43;5.87;;6.08
479;1993 December;;;;5.55;9.0;5.5;12.0;;5.88;5.6;5.31;5.04;5.54;;5.85
480;1993;;;;6.44;9.0;5.5;12.0;;7.07;6.82;6.52;6.2;6.75;;7.07
481;1994 January;;;;5.15;8.75;5.25;9.0;7.49;5.48;5.22;5.02;4.83;5.17;3.21;5.49
482;1994 February;;;;5.15;8.5;5.0;9.0;7.49;5.48;5.29;5.12;4.96;5.23;3.49;5.56
483;1994 March;;;;5.15;8.5;5.0;9.0;7.49;5.47;5.32;5.24;5.21;5.26;3.81;5.52
484;1994 April;;;;4.9;8.25;4.75;9.0;7.49;5.39;5.3;5.28;5.28;5.24;4.07;5.37
485;1994 May;;;;4.9;8.0;4.5;9.0;7.49;5.17;5.13;5.12;5.13;5.09;4.55;5.18
486;1994 June;;;;4.9;8.0;4.5;9.0;7.49;5.04;5.05;5.09;5.23;4.98;4.57;5.0
487;1994 July;;;;5.25;8.0;4.5;9.0;7.49;4.9;4.92;5.02;5.2;4.86;4.8;4.8
488;1994 August;;;;5.25;8.0;4.5;9.0;7.49;4.93;4.97;5.08;5.34;4.91;4.84;4.89
489;1994 September;;;;5.25;8.0;4.5;9.0;7.49;4.99;5.07;5.24;5.61;5.02;5.06;4.92
490;1994 October;;;;5.0;7.5;4.5;9.0;7.49;4.97;5.2;5.34;5.76;5.15;5.56;4.86
491;1994 November;;;;5.0;7.5;4.5;9.0;7.49;5.05;5.23;5.36;5.75;5.18;5.82;4.97
492;1994 December;;;;5.0;7.5;4.5;9.0;7.49;5.36;5.42;5.55;5.92;5.38;6.31;5.17
493;1994;;;;5.08;7.5;4.5;9.0;7.49;5.18;5.17;5.21;5.36;5.12;4.68;5.14
494;1995 January;;;;5.0;7.5;4.5;8.0;8.29;5.1;5.18;5.41;5.91;5.14;6.28;4.96
495;1995 February;;;;5.0;7.5;4.5;8.0;8.29;5.01;5.11;5.3;5.77;5.06;6.2;4.92
496;1995 March;;;;5.0;7.0;4.0;8.0;8.29;5.01;5.1;5.27;5.63;5.05;6.19;4.93
497;1995 April;;;;5.0;7.25;4.0;8.0;8.29;4.58;4.69;4.8;5.05;4.64;6.16;4.38
498;1995 May;;;;5.0;7.25;4.0;8.0;8.29;4.44;4.49;4.57;4.77;4.44;6.06;4.36
499;1995 June;;;;5.0;7.25;3.75;8.0;8.29;4.23;4.28;4.32;4.49;4.23;5.94;4.11
500;1995 July;;;;4.5;7.0;3.75;8.0;8.29;4.14;4.18;4.26;4.5;4.12;5.83;4.04
501;1995 August;;;;4.5;7.0;3.5;8.0;8.29;4.09;4.1;4.12;4.28;4.03;5.83;4.05
502;1995 September;;;;4.5;6.75;3.5;8.0;8.29;3.92;3.92;3.94;4.06;3.85;5.77;3.88
503;1995 October;;;;4.25;6.75;3.5;8.0;8.29;3.91;3.94;3.98;4.07;3.88;5.81;3.79
504;1995 November;;;;4.25;6.5;3.25;8.0;8.29;3.79;3.82;3.84;3.91;3.77;5.78;3.7
505;1995 December;;;;4.25;6.25;2.75;8.0;8.29;3.67;3.66;3.66;3.66;3.62;5.66;3.56
506;1995;;;;4.69;6.25;2.75;8.0;8.29;4.33;4.37;4.46;4.68;4.32;5.96;4.23
507;1996 January;;;;4.0;6.0;2.75;7.0;6.6;3.33;3.28;3.27;3.29;3.24;5.43;3.33
508;1996 February;;;;4.0;6.0;2.75;7.0;6.6;3.13;3.1;3.1;3.25;3.05;5.18;3.13
509;1996 March;;;;4.0;6.0;2.5;7.0;6.6;3.17;3.17;3.17;3.31;3.16;5.29;3.09
510;1996 April;;;;3.25;5.75;2.0;7.0;6.6;2.93;2.94;2.95;3.11;2.93;5.4;2.87
511;1996 May;;;;3.25;5.5;2.0;7.0;6.6;2.7;2.7;2.7;2.89;2.68;5.41;2.67
512;1996 June;;;;3.25;5.5;2.0;7.0;6.6;2.83;2.9;2.99;3.27;2.87;5.49;2.74
513;1996 July;;;;2.5;5.5;2.0;7.0;6.6;2.98;3.08;3.24;3.52;3.06;5.56;2.82
514;1996 August;;;;2.5;5.5;2.0;7.0;6.6;2.93;3.01;3.13;3.36;2.99;5.45;2.82
515;1996 September;;;;2.5;5.5;2.0;7.0;6.6;2.79;2.81;2.89;3.13;2.78;5.54;2.73
516;1996 October;;;;2.5;5.5;2.0;7.0;6.6;2.86;2.89;2.92;3.1;2.87;5.45;2.84
517;1996 November;;;;2.5;5.5;2.0;7.0;6.6;2.9;3.01;3.08;3.25;2.99;5.43;2.78
518;1996 December;;;;2.5;5.5;2.0;7.0;6.6;3.06;3.08;3.11;3.23;3.06;5.48;2.88
519;1996;;;;3.06;5.5;2.0;7.0;6.6;2.97;3.0;3.05;3.23;2.98;5.43;2.88
520;1997 January;;;;2.5;5.5;2.0;5.0;5.67;2.98;3.03;3.07;3.17;3.01;5.49;2.68
521;1997 February;;;;2.5;5.5;2.0;5.0;5.67;2.97;3.01;3.07;3.19;2.99;5.42;2.93
522;1997 March;;;;2.5;5.75;2.5;5.0;5.67;3.13;3.2;3.27;3.38;3.18;5.55;3.03
523;1997 April;;;;2.5;5.75;2.5;5.0;5.67;3.16;3.2;3.28;3.41;3.18;5.75;2.96
524;1997 May;;;;2.5;5.75;2.5;5.0;5.67;3.2;3.22;3.29;3.41;3.12;5.76;3.11
525;1997 June;;;;2.5;5.75;2.5;5.0;5.67;3.19;3.23;3.27;3.38;3.21;5.74;3.04
526;1997 July;;;;3.0;5.75;2.5;5.0;5.67;3.2;3.25;3.31;3.43;3.23;5.68;3.12
527;1997 August;;;;3.0;6.0;2.5;5.0;5.67;3.36;3.42;3.53;3.71;3.4;5.64;3.19
528;1997 September;;;;3.0;6.0;2.5;5.0;5.67;3.32;3.43;3.57;3.79;3.41;5.64;3.1
529;1997 October;;;;3.0;6.25;2.75;5.0;5.67;3.4;3.58;3.75;4.06;3.56;5.69;3.19
530;1997 November;;;;3.0;6.25;2.75;5.0;5.67;3.5;3.75;3.88;4.13;3.73;5.79;3.32
531;1997 December;;;;3.0;6.25;2.75;5.0;5.67;3.52;3.69;3.61;4.01;3.67;5.84;3.14
532;1997;;;;2.75;6.25;2.75;5.0;5.67;3.25;3.34;3.43;3.59;3.31;5.67;3.07
533;1998 January;;;;3.25;6.25;2.75;6.0;6.09;3.38;3.48;3.61;3.81;3.45;5.57;3.31
534;1998 February;;;;3.25;6.25;2.75;6.0;6.09;3.38;3.44;3.55;3.76;3.4;5.56;3.22
535;1998 March;;;;3.25;6.25;2.75;6.0;6.09;3.41;3.45;3.54;3.73;3.4;5.6;3.57
536;1998 April;;;;3.25;6.25;2.75;6.0;6.09;3.47;3.56;3.66;3.88;3.52;5.59;3.25
537;1998 May;;;;3.25;6.25;2.75;6.0;6.09;3.52;3.63;3.74;3.94;3.59;5.61;3.36
538;1998 June;;;;3.25;6.25;2.75;6.0;6.09;3.42;3.54;3.66;3.87;3.5;5.6;2.99
539;1998 July;;;;3.25;6.25;2.75;6.0;6.09;3.43;3.5;3.58;3.8;3.46;5.61;3.24
540;1998 August;;;;3.25;6.25;2.75;6.0;6.09;3.4;3.44;3.53;3.73;3.4;5.59;3.24
541;1998 September;;;;3.25;6.25;2.75;6.0;6.09;3.33;3.35;3.47;3.55;3.31;5.42;3.25
542;1998 October;;;;3.25;6.25;2.75;6.0;6.09;3.26;3.32;3.43;3.46;3.28;5.19;3.14
543;1998 November;;;;3.25;6.25;2.75;6.0;6.09;3.27;3.42;3.46;3.47;3.38;5.23;3.18
544;1998 December;;;;3.25;6.25;2.75;6.0;6.09;3.36;3.33;3.3;3.26;3.29;5.16;2.78
545;1998;;;;3.25;6.25;2.75;6.0;6.09;3.39;3.45;3.54;3.68;3.41;5.47;3.21
546;1999 January;3.0;4.5;2.0;3.25;6.25;2.75;6.0;4.89;3.16;3.13;3.09;3.06;3.09;5.17;3.13
547;1999 February;3.0;4.5;2.0;3.25;6.25;2.75;6.0;4.89;3.13;3.1;3.04;3.03;3.06;5.13;3.1
548;1999 March;3.0;4.5;2.0;3.25;6.25;2.75;6.0;4.89;3.05;3.05;3.03;3.05;3.01;5.05;2.93
549;1999 April;2.5;3.5;1.5;3.25;5.75;2.25;6.0;4.89;2.68;2.69;2.7;2.75;2.65;4.98;2.69
550;1999 May;2.5;3.5;1.5;3.25;5.75;2.25;6.0;4.89;2.57;2.58;2.6;2.68;2.54;4.92;2.55
551;1999 June;2.5;3.5;1.5;3.25;5.75;2.25;6.0;4.89;2.61;2.63;2.68;2.84;2.59;5.09;2.56
552;1999 July;2.5;3.5;1.5;2.75;5.75;2.25;6.0;4.89;2.63;2.68;2.9;3.03;2.64;5.2;2.52
553;1999 August;2.5;3.5;1.5;2.75;5.75;2.25;6.0;4.89;2.61;2.7;3.05;3.24;2.66;5.32;2.44
554;1999 September;2.5;3.5;1.5;2.75;5.75;2.25;6.0;4.89;2.58;2.73;3.11;3.3;2.69;5.43;2.43
555;1999 October;2.5;3.5;1.5;2.75;5.75;2.25;6.0;4.89;2.76;3.38;3.46;3.68;3.34;5.99;2.5
556;1999 November;3.0;4.0;2.0;2.75;6.25;2.75;6.0;4.89;3.06;3.47;3.48;3.69;3.43;5.92;2.94
557;1999 December;3.0;4.0;2.0;2.75;6.25;2.75;6.0;4.89;3.51;3.45;3.51;3.83;3.41;6.01;3.04
558;1999;3.0;4.0;2.0;3.0;6.25;2.75;6.0;4.89;2.86;2.96;3.05;3.18;2.92;5.36;2.74
559;2000 January;3.0;4.0;2.0;2.75;;2.75;6.0;4.89;3.15;3.34;3.56;3.95;3.3;5.92;3.04
560;2000 February;3.25;4.25;2.25;2.75;;3.0;6.0;4.89;3.36;3.54;3.73;4.11;3.5;5.98;3.28
561;2000 March;3.5;4.5;2.5;2.75;;3.25;6.0;4.89;3.59;3.75;3.94;4.27;3.71;6.08;3.51
562;2000 April;3.5;4.75;2.75;3.25;;3.5;6.0;4.89;3.79;3.93;4.08;4.36;3.89;6.2;3.69
563;2000 May;3.75;4.75;2.75;3.25;;3.5;6.0;4.89;4.16;4.36;4.54;4.85;4.32;6.64;3.92
564;2000 June;4.25;5.25;3.25;3.25;;4.0;6.0;4.89;4.37;4.5;4.68;4.96;4.46;6.67;4.29
565;2000 July;4.25;5.25;3.25;4.0;;4.0;6.0;4.89;4.41;4.58;4.84;5.11;4.54;6.62;4.3
566;2000 August;4.25;5.25;3.25;4.0;;4.0;6.0;4.89;4.57;4.78;5.01;5.25;4.74;6.57;4.42
567;2000 September;4.5;5.5;3.5;4.0;;4.25;6.0;4.89;4.7;4.85;5.04;5.22;4.81;6.55;4.59
568;2000 October;4.75;5.75;3.75;4.5;;4.5;6.0;4.89;4.85;5.04;5.1;5.22;5.0;6.61;4.76
569;2000 November;4.75;5.75;3.75;4.5;;4.5;6.0;4.89;4.92;5.09;5.13;5.19;5.05;6.6;4.83
570;2000 December;4.75;5.75;3.75;4.5;;4.5;6.0;4.89;4.95;4.94;4.92;4.88;4.9;6.41;4.81
571;2000;4.75;5.75;3.75;3.63;;4.5;6.0;4.89;4.24;4.4;4.55;4.79;4.36;6.4;4.12
572;2001 January;4.75;5.75;3.75;4.7;;4.5;8.0;5.18;4.8;4.77;4.68;4.57;4.73;5.58;4.75
573;2001 February;4.75;5.75;3.75;4.7;;4.5;8.0;5.18;4.8;4.76;4.67;4.59;4.72;5.23;4.99
574;2001 March;4.75;5.75;3.75;4.7;;4.5;8.0;5.18;4.78;4.71;4.58;4.47;4.67;4.84;4.78
575;2001 April;4.75;5.75;3.75;4.1;;4.5;8.0;5.18;4.78;4.68;4.57;4.48;4.64;4.48;5.06
576;2001 May;4.5;5.5;3.5;4.1;;4.25;8.0;5.18;4.66;4.64;4.56;4.52;4.6;3.98;4.65
577;2001 June;4.5;5.5;3.5;4.1;;4.25;8.0;5.18;4.53;4.45;4.35;4.31;4.41;3.71;4.54
578;2001 July;4.5;5.5;3.5;4.45;;4.25;8.0;5.18;4.52;4.47;4.39;4.31;4.43;3.71;4.51
579;2001 August;4.5;5.25;3.25;4.45;;4.0;8.0;5.18;4.46;4.35;4.22;4.11;4.32;3.57;4.49
580;2001 September;3.75;4.75;2.75;4.45;;3.5;8.0;5.18;4.05;3.98;3.88;3.77;3.94;2.97;3.99
581;2001 October;3.75;4.75;2.75;4.25;;3.5;8.0;5.18;3.72;3.6;3.46;3.37;3.56;2.37;3.97
582;2001 November;3.25;4.25;2.25;4.25;;3.0;8.0;5.18;3.43;3.39;3.26;3.2;3.35;2.08;3.51
583;2001 December;3.25;4.25;2.25;4.25;;3.0;8.0;5.18;3.42;3.34;3.26;3.3;3.31;1.9;3.34
584;2001;3.25;4.25;2.25;4.38;;3.0;8.0;5.18;4.33;4.26;4.16;4.08;4.22;3.7;4.38
585;2002 January;3.25;4.25;2.25;3.45;;;7.0;4.03;3.35;3.34;3.34;3.48;3.3;1.84;3.29
586;2002 February;3.25;4.25;2.25;3.45;;;7.0;4.03;3.34;3.36;3.4;3.59;3.32;1.86;3.28
587;2002 March;3.25;4.25;2.25;3.45;;;7.0;4.03;3.35;3.39;3.5;3.82;3.35;1.9;3.26
588;2002 April;3.25;4.25;2.25;3.25;;;7.0;4.03;3.34;3.41;3.54;3.86;3.37;1.87;3.32
589;2002 May;3.25;4.25;2.25;3.25;;;7.0;4.03;3.37;3.47;3.63;3.96;3.43;1.8;3.31
590;2002 June;3.25;4.25;2.25;3.25;;;7.0;4.03;3.38;3.46;3.59;3.87;3.43;1.79;3.35
591;2002 July;3.25;4.25;2.25;3.25;;;7.0;4.03;3.36;3.41;3.48;3.64;3.37;1.76;3.3
592;2002 August;3.25;4.25;2.25;3.25;;;7.0;4.03;3.33;3.35;3.38;3.44;3.31;1.7;3.29
593;2002 September;3.25;4.25;2.25;3.25;;;7.0;4.03;3.32;3.31;3.27;3.24;3.27;1.73;3.32
594;2002 October;3.25;4.25;2.25;3.25;;;7.0;4.03;3.31;3.26;3.17;3.13;3.22;1.7;3.3
595;2002 November;3.25;4.25;2.25;3.25;;;7.0;4.03;3.23;3.12;3.04;3.02;3.08;1.37;3.3
596;2002 December;2.75;3.75;1.75;3.25;;;7.0;4.03;2.98;2.94;2.89;2.87;2.9;1.33;3.09
597;2002;2.75;3.75;1.75;3.3;;;7.0;4.03;3.31;3.32;3.35;3.49;3.28;1.72;3.28
598;2003 January;2.75;3.75;1.75;3.25;;;7.0;3.73;2.85;2.83;2.76;2.7;2.79;1.27;2.79
599;2003 February;2.75;3.75;1.75;3.25;;;7.0;3.73;2.77;2.69;2.58;2.5;2.65;1.25;2.76
600;2003 March;2.5;3.5;1.5;3.25;;;7.0;3.73;2.6;2.53;2.45;2.41;2.49;1.19;2.75
601;2003 April;2.5;3.5;1.5;3.1;;;7.0;3.73;2.58;2.53;2.47;2.45;2.49;1.21;2.56
602;2003 May;2.5;3.5;1.5;3.1;;;7.0;3.73;2.52;2.4;2.31;2.25;2.36;1.2;2.56
603;2003 June;2.0;3.0;1.0;3.1;;;7.0;3.73;2.18;2.15;2.08;2.01;2.11;1.02;2.21
604;2003 July;2.0;3.0;1.0;2.5;;;7.0;3.73;2.13;2.13;2.09;2.08;2.09;1.04;2.08
605;2003 August;2.0;3.0;1.0;2.5;;;5.0;3.73;2.12;2.14;2.17;2.28;2.1;1.05;2.1
606;2003 September;2.0;3.0;1.0;2.5;;;5.0;3.73;2.13;2.15;2.18;2.26;2.11;1.06;2.02
607;2003 October;2.0;3.0;1.0;2.0;;;5.0;3.73;2.1;2.14;2.17;2.3;2.1;1.08;2.01
608;2003 November;2.0;3.0;1.0;2.0;;;5.0;3.73;2.09;2.16;2.22;2.41;2.12;1.08;1.97
609;2003 December;2.0;3.0;1.0;2.0;;;5.0;3.73;2.13;2.15;2.2;2.38;2.11;1.08;2.06
