ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;CDA_5;CU_6;DN_7;D66_8;GL_9;LN_10;LPF_11;NMP_12;PvdA_13;PvdT_14;RVP_15;SGP_16;SP_17;VSP_18;VIPOU_19;VVD_20;CDA_21;CU_22;DN_23;D66_24;GL_25;LN_26;LPF_27;NMP_28;PvdA_29;PvdT_30;RVP_31;SGP_32;SP_33;VSP_34;VIPOU_35;VVD_36;LandsdeelCode_37;ProvincieCode_38;KamerkieskringCode_39;CoropCode_40;GemeenteCode_41
100;Diemen;17677;78.7;13908;13884;2267;143;6;893;1093;328;3038;5.0;2357;7.0;;18;989;;147;2593;16.3;1.0;0.0;6.4;7.9;2.4;21.9;0.0;17.0;0.1;;0.1;7.1;;1.1;18.7;3;27;10;23;0384
101;Dinxperlo;6403;74.7;4782;4779;2325;102;1;149;208;56;543;1.0;707;0.0;;7;176;3.0;11;490;48.7;2.1;0.0;3.1;4.4;1.2;11.4;0.0;14.8;0.0;;0.1;3.7;0.1;0.2;10.3;2;25;07;14;0219
102;Dirksland;6166;85.2;5254;5252;1304;289;2;147;112;80;935;2.0;608;3.0;;1050;166;1.0;18;535;24.8;5.5;0.0;2.8;2.1;1.5;17.8;0.0;11.6;0.1;;20.0;3.2;0.0;0.3;10.2;3;28;14;29;0504
103;Doesburg;8527;78.3;6673;6648;1558;109;6;349;372;75;1028;2.0;1311;5.0;;16;835;12.0;30;940;23.4;1.6;0.1;5.2;5.6;1.1;15.5;0.0;19.7;0.1;;0.2;12.6;0.2;0.5;14.1;2;25;07;15;0221
104;Doetinchem;36598;78.3;28638;28618;8187;502;24;1482;2289;410;3900;2.0;5253;13.0;;255;1769;20.0;89;4423;28.6;1.8;0.1;5.2;8.0;1.4;13.6;0.0;18.4;0.0;;0.9;6.2;0.1;0.3;15.5;2;25;07;14;0222
105;Dongen;18711;77.6;14524;14512;4838;108;19;747;895;203;2255;6.0;1855;8.0;;34;1237;14.0;34;2259;33.3;0.7;0.1;5.1;6.2;1.4;15.5;0.0;12.8;0.1;;0.2;8.5;0.1;0.2;15.6;4;30;17;34;0766
106;Dongeradeel;18344;83.5;15313;15298;7996;834;2;373;685;144;1611;3.0;1830;4.0;;100;630;;37;1049;52.3;5.5;0.0;2.4;4.5;0.9;10.5;0.0;12.0;0.0;;0.7;4.1;;0.2;6.9;1;21;02;04;0058
107;Doorn;7870;83.6;6583;6579;1888;130;2;363;519;68;928;;657;7.0;;192;251;6.0;18;1550;28.7;2.0;0.0;5.5;7.9;1.0;14.1;;10.0;0.1;;2.9;3.8;0.1;0.3;23.6;3;26;08;17;0315
108;Dordrecht;88196;75.1;66243;66161;13948;2189;284;3234;4164;1207;14606;29.0;11035;44.0;;1627;3908;184.0;449;9253;21.1;3.3;0.4;4.9;6.3;1.8;22.1;0.0;16.7;0.1;;2.5;5.9;0.3;0.7;14.0;3;28;14;30;0505
109;Drechterland;7425;85.2;6327;6325;2222;37;8;289;365;177;1127;0.0;645;;;3;286;5.0;32;1129;35.1;0.6;0.1;4.6;5.8;2.8;17.8;0.0;10.2;;;0.0;4.5;0.1;0.5;17.8;3;27;11;18;0498
110;Driebergen-Rijsenburg;13790;85.5;11784;11769;3137;362;4;680;1252;163;1585;;1418;8.0;;340;621;9.0;33;2157;26.7;3.1;0.0;5.8;10.6;1.4;13.5;;12.0;0.1;;2.9;5.3;0.1;0.3;18.3;3;26;08;17;0316
111;Drimmelen;20422;78.6;16043;16032;5284;73;6;915;816;364;2664;1.0;2061;22.0;;21;952;14.0;52;2787;33.0;0.5;0.0;5.7;5.1;2.3;16.6;0.0;12.9;0.1;;0.1;5.9;0.1;0.3;17.4;4;30;17;33;1719
112;Dronten;25516;83.6;21322;21308;7559;1119;5;869;1103;334;3225;2.0;2165;;;126;702;16.0;63;4020;35.5;5.3;0.0;4.1;5.2;1.6;15.1;0.0;10.2;;;0.6;3.3;0.1;0.3;18.9;2;24;05;40;0303
113;Druten;12936;79.9;10340;10332;3357;22;10;534;604;170;1657;;1696;3.0;;13;594;11.0;28;1633;32.5;0.2;0.1;5.2;5.8;1.6;16.0;;16.4;0.0;;0.1;5.7;0.1;0.3;15.8;2;25;06;15;0225
114;Duiven;18542;82.4;15277;15270;4826;171;2;847;1081;230;2377;3.0;2072;7.0;;21;772;23.0;62;2776;31.6;1.1;0.0;5.5;7.1;1.5;15.6;0.0;13.6;0.0;;0.1;5.1;0.2;0.4;18.2;2;25;07;15;0226
115;Echt;14800;74.6;11042;11031;4431;30;2;368;772;231;2131;3.0;1310;9.0;;10;502;17.0;69;1146;40.2;0.3;0.0;3.3;7.0;2.1;19.3;0.0;11.9;0.1;;0.1;4.6;0.2;0.6;10.4;4;31;19;38;0902
116;Edam-Volendam;21169;84.4;17869;17853;6373;94;6;499;630;396;5552;9.0;1421;;;5;648;9.0;56;2155;35.7;0.5;0.0;2.8;3.5;2.2;31.1;0.1;8.0;;;0.0;3.6;0.1;0.3;12.1;3;27;11;23;0385
117;Ede;75626;84.3;63770;63719;20576;4587;41;2383;3403;780;8329;10.0;5888;30.0;;6606;2092;112.0;141;8741;32.3;7.2;0.1;3.7;5.3;1.2;13.1;0.0;9.2;0.0;;10.4;3.3;0.2;0.2;13.7;2;25;07;13;0228
118;Eemnes;6283;87.6;5503;5498;1592;130;4;350;312;80;878;;605;5.0;;43;302;7.0;22;1168;29.0;2.4;0.1;6.4;5.7;1.5;16.0;;11.0;0.1;;0.8;5.5;0.1;0.4;21.2;3;26;08;17;0317
119;Eemsmond;12720;81.3;10343;10336;2910;978;4;326;547;180;1178;6.0;2495;6.0;;56;567;6.0;16;1061;28.2;9.5;0.0;3.2;5.3;1.7;11.4;0.1;24.1;0.1;;0.5;5.5;0.1;0.2;10.3;1;20;01;03;1651
120;Eersel;13602;82.9;11278;11258;5111;53;3;477;587;199;1583;2.0;971;9.0;;5;526;3.0;37;1692;45.4;0.5;0.0;4.2;5.2;1.8;14.1;0.0;8.6;0.1;;0.0;4.7;0.0;0.3;15.0;4;30;18;36;0770
121;Eibergen;12541;84.8;10629;10621;4872;46;7;361;548;130;1064;2.0;1776;5.0;;9;571;5.0;23;1202;45.9;0.4;0.1;3.4;5.2;1.2;10.0;0.0;16.7;0.0;;0.1;5.4;0.0;0.2;11.3;2;25;07;14;0229
122;Eijsden;9037;79.8;7209;7199;3129;17;1;276;490;80;1099;0.0;910;2.0;;5;249;5.0;21;915;43.5;0.2;0.0;3.8;6.8;1.1;15.3;0.0;12.6;0.0;;0.1;3.5;0.1;0.3;12.7;4;31;19;39;0905
123;Eindhoven;155384;74.6;115966;115966;29310;1202;231;7236;9936;2043;20540;41.0;16643;357.0;;128;10000;187.0;715;17397;25.3;1.0;0.2;6.2;8.6;1.8;17.7;0.0;14.4;0.3;;0.1;8.6;0.2;0.6;15.0;4;30;18;36;0772
124;Elburg;16004;85.5;13690;13680;5116;1758;1;284;367;124;1347;3.0;992;3.0;;1923;312;13.0;24;1413;37.4;12.9;0.0;2.1;2.7;0.9;9.8;0.0;7.3;0.0;;14.1;2.3;0.1;0.2;10.3;2;25;07;13;0230
125;Emmen;83158;74.4;61900;61860;17541;1444;53;2552;3586;892;8146;12.0;16904;58.0;;115;3455;61.0;216;6825;28.4;2.3;0.1;4.1;5.8;1.4;13.2;0.0;27.3;0.1;;0.2;5.6;0.1;0.3;11.0;1;22;03;08;0114
126;Enkhuizen;12850;80.7;10368;10358;2319;183;15;669;816;242;1809;4.0;1679;;;163;728;7.0;51;1673;22.4;1.8;0.1;6.5;7.9;2.3;17.5;0.0;16.2;;;1.6;7.0;0.1;0.5;16.2;3;27;11;18;0388
127;Enschede;113074;73.6;83252;83144;19618;3129;51;4415;6780;1138;11414;21.0;18593;53.0;;159;5451;135.0;359;11828;23.6;3.8;0.1;5.3;8.2;1.4;13.7;0.0;22.4;0.1;;0.2;6.6;0.2;0.4;14.2;2;23;04;12;0153
128;Epe;25794;81.5;21035;21025;6399;675;5;758;1075;236;3094;7.0;3553;20.0;;718;730;23.0;61;3671;30.4;3.2;0.0;3.6;5.1;1.1;14.7;0.0;16.9;0.1;;3.4;3.5;0.1;0.3;17.5;2;25;07;13;0232
129;Ermelo;19777;84.4;16683;16667;6947;1534;9;484;704;181;2058;0.0;1114;9.0;;792;599;11.0;31;2194;41.7;9.2;0.1;2.9;4.2;1.1;12.3;0.0;6.7;0.1;;4.8;3.6;0.1;0.2;13.2;2;25;07;13;0233
130;Etten-Leur;29122;74.2;21608;21584;6671;125;34;1185;1383;446;3805;1.0;2821;15.0;;20;1087;13.0;94;3884;30.9;0.6;0.2;5.5;6.4;2.1;17.6;0.0;13.1;0.1;;0.1;5.0;0.1;0.4;18.0;4;30;17;33;0777
131;Ferwerderadiel;6746;83.0;5601;5601;2684;248;1;152;259;65;681;3.0;688;3.0;;18;251;;13;535;47.9;4.4;0.0;2.7;4.6;1.2;12.2;0.1;12.3;0.1;;0.3;4.5;;0.2;9.6;1;21;02;04;1722
132;Franekeradeel;15436;79.4;12262;12247;4523;404;5;490;720;201;1410;6.0;2393;13.0;;37;627;;30;1388;36.9;3.3;0.0;4.0;5.9;1.6;11.5;0.0;19.5;0.1;;0.3;5.1;;0.2;11.3;1;21;02;04;0070
133;Gaasterlân-Sleat;7752;87.0;6743;6739;3058;154;1;201;357;82;890;1.0;673;2.0;;135;264;;17;904;45.4;2.3;0.0;3.0;5.3;1.2;13.2;0.0;10.0;0.0;;2.0;3.9;;0.3;13.4;1;21;02;05;0653
134;Geertruidenberg;16227;73.9;11990;11980;3695;41;4;531;678;351;2050;2.0;1790;12.0;;34;721;12.0;45;2014;30.8;0.3;0.0;4.4;5.7;2.9;17.1;0.0;14.9;0.1;;0.3;6.0;0.1;0.4;16.8;4;30;17;33;0779
135;Geldermalsen;18568;85.0;15784;15771;4461;231;1;576;654;239;2999;;2133;9.0;;1261;590;4.0;23;2590;28.3;1.5;0.0;3.7;4.1;1.5;19.0;;13.5;0.1;;8.0;3.7;0.0;0.1;16.4;2;25;06;16;0236
136;Geldrop;21289;77.5;16505;16505;5310;159;10;834;1202;284;3002;7.0;1847;41.0;;14;1218;18.0;108;2451;32.2;1.0;0.1;5.1;7.3;1.7;18.2;0.0;11.2;0.2;;0.1;7.4;0.1;0.7;14.9;4;30;18;36;0781
137;Gemert-Bakel;20804;77.8;16181;16146;6688;30;2;528;837;260;2898;0.0;1638;15.0;;5;1042;29.0;71;2103;41.4;0.2;0.0;3.3;5.2;1.6;17.9;0.0;10.1;0.1;;0.0;6.5;0.2;0.4;13.0;4;30;18;36;1652
138;Gendringen;15647;78.7;12318;12308;5581;66;15;408;547;202;1619;2.0;1854;10.0;;11;515;12.0;36;1430;45.3;0.5;0.1;3.3;4.4;1.6;13.2;0.0;15.1;0.1;;0.1;4.2;0.1;0.3;11.6;2;25;07;14;0237
139;Gennep;12733;73.3;9330;9314;3383;35;3;624;529;118;1670;3.0;1188;5.0;;6;623;6.0;34;1087;36.3;0.4;0.0;6.7;5.7;1.3;17.9;0.0;12.8;0.1;;0.1;6.7;0.1;0.4;11.7;4;31;19;37;0907
140;Giessenlanden;10677;89.1;9510;9504;2969;727;1;331;281;122;1433;2.0;1235;6.0;;405;311;4.0;37;1640;31.2;7.6;0.0;3.5;3.0;1.3;15.1;0.0;13.0;0.1;;4.3;3.3;0.0;0.4;17.3;3;28;14;30;0689
141;Gilze en Rijen;18438;79.8;14717;14705;4833;38;9;812;844;270;2467;4.0;2008;28.0;;12;899;17.0;72;2392;32.9;0.3;0.1;5.5;5.7;1.8;16.8;0.0;13.7;0.2;;0.1;6.1;0.1;0.5;16.3;4;30;17;34;0784
142;Goedereede;8749;88.9;7781;7772;2206;417;1;170;126;68;1156;2.0;713;2.0;;1837;161;3.0;16;894;28.4;5.4;0.0;2.2;1.6;0.9;14.9;0.0;9.2;0.0;;23.6;2.1;0.0;0.2;11.5;3;28;14;29;0511
143;Goes;27589;77.9;21501;21487;6689;791;21;989;1565;273;2552;10.0;3024;22.0;;1453;1028;;84;2986;31.1;3.7;0.1;4.6;7.3;1.3;11.9;0.0;14.1;0.1;;6.8;4.8;;0.4;13.9;3;29;16;32;0664
144;Goirle;17146;79.5;13627;13608;4306;28;1;808;1119;163;2340;0.0;1584;13.0;;5;988;7.0;64;2182;31.6;0.2;0.0;5.9;8.2;1.2;17.2;0.0;11.6;0.1;;0.0;7.3;0.1;0.5;16.0;4;30;17;34;0785
145;Gorinchem;24681;76.7;18931;18915;4075;762;9;1114;1074;362;3599;3.0;3406;21.0;;368;1021;16.0;133;2952;21.5;4.0;0.0;5.9;5.7;1.9;19.0;0.0;18.0;0.1;;1.9;5.4;0.1;0.7;15.6;3;28;14;30;0512
146;Gorssel;10541;86.6;9124;9113;2922;97;0;497;483;95;975;1.0;1358;7.0;;7;470;4.0;24;2173;32.1;1.1;0.0;5.5;5.3;1.0;10.7;0.0;14.9;0.1;;0.1;5.2;0.0;0.3;23.8;2;25;07;14;0239
147;Gouda;51679;82.5;42649;42582;9483;1638;8;2458;3234;715;8929;3.0;6510;17.0;;1363;2259;45.0;106;5814;22.3;3.8;0.0;5.8;7.6;1.7;21.0;0.0;15.3;0.0;;3.2;5.3;0.1;0.2;13.7;3;28;15;28;0513
148;Graafstroom;6756;90.7;6126;6114;2340;622;0;108;106;52;650;0.0;419;1.0;;1073;127;2.0;6;608;38.3;10.2;0.0;1.8;1.7;0.9;10.6;0.0;6.9;0.0;;17.5;2.1;0.0;0.1;9.9;3;28;14;30;0693
149;Graft-De Rijp;4769;88.2;4204;4200;1154;11;0;224;262;86;715;1.0;578;;;1;243;4.0;19;902;27.5;0.3;0.0;5.3;6.2;2.0;17.0;0.0;13.8;;;0.0;5.8;0.1;0.5;21.5;3;27;11;23;0365
150;Grave;9502;81.0;7701;7692;2553;31;1;378;512;109;1246;1.0;831;4.0;;2;576;15.0;85;1348;33.2;0.4;0.0;4.9;6.7;1.4;16.2;0.0;10.8;0.1;;0.0;7.5;0.2;1.1;17.5;4;30;18;35;0786
151;'s-Gravendeel;6922;83.0;5747;5744;1760;197;1;193;154;95;1088;1.0;950;2.0;;321;244;2.0;14;722;30.6;3.4;0.0;3.4;2.7;1.7;18.9;0.0;16.5;0.0;;5.6;4.2;0.0;0.2;12.6;3;28;14;30;0517
152;'s-Gravenhage;352474;71.7;252723;252127;45077;3237;830;15810;20183;3228;57446;53.0;41794;112.0;63.0;1345;13860;437.0;903;47749;17.9;1.3;0.3;6.3;8.0;1.3;22.8;0.0;16.6;0.0;0.0;0.5;5.5;0.2;0.4;18.9;3;28;12;26;0518
153;'s-Gravenhage: briefstemmers;21831;87.1;19023;18957;2875;370;8;1422;2204;173;3353;2.0;2275;3.0;5.0;68;578;16.0;79;5526;15.2;2.0;0.0;7.5;11.6;0.9;17.7;0.0;12.0;0.0;0.0;0.4;3.0;0.1;0.4;29.2; ;  ;  ;  ;    
154;'s-Gravenzande;14463;85.6;12385;12380;4863;351;3;315;238;185;2734;2.0;892;4.0;;425;276;6.0;22;2064;39.3;2.8;0.0;2.5;1.9;1.5;22.1;0.0;7.2;0.0;;3.4;2.2;0.0;0.2;16.7;3;28;14;27;0519
155;Groenlo;7313;80.8;5912;5903;2873;8;5;248;280;65;625;0.0;786;3.0;;4;255;8.0;22;721;48.7;0.1;0.1;4.2;4.7;1.1;10.6;0.0;13.3;0.1;;0.1;4.3;0.1;0.4;12.2;2;25;07;14;0240
156;Groesbeek;14782;79.7;11783;11775;3720;41;3;498;904;141;1973;;2157;12.0;;9;895;10.0;47;1365;31.6;0.3;0.0;4.2;7.7;1.2;16.8;;18.3;0.1;;0.1;7.6;0.1;0.4;11.6;2;25;06;15;0241
157;Groningen;142899;79.5;113666;113476;17355;4791;48;8632;15675;1103;11427;22.0;26982;63.0;;213;11453;103.0;271;15338;15.3;4.2;0.0;7.6;13.8;1.0;10.1;0.0;23.8;0.1;;0.2;10.1;0.1;0.2;13.5;1;20;01;03;0014
158;Grootegast;8806;81.3;7155;7150;3263;715;3;159;243;115;846;2.0;817;9.0;;74;237;0.0;8;659;45.6;10.0;0.0;2.2;3.4;1.6;11.8;0.0;11.4;0.1;;1.0;3.3;0.0;0.1;9.2;1;20;01;03;0015
159;Gulpen-Wittem;11750;84.1;9884;9876;4741;34;1;335;608;118;1599;2.0;1084;7.0;;12;424;6.0;23;882;48.0;0.3;0.0;3.4;6.2;1.2;16.2;0.0;11.0;0.1;;0.1;4.3;0.1;0.2;8.9;4;31;19;39;1729
160;Haaksbergen;18297;82.2;15048;15036;6926;87;5;660;620;222;1836;5.0;1918;5.0;;10;628;18.0;38;2058;46.1;0.6;0.0;4.4;4.1;1.5;12.2;0.0;12.8;0.0;;0.1;4.2;0.1;0.3;13.7;2;23;04;12;0158
161;Haaren;10520;78.7;8279;8272;3579;21;1;407;508;106;1154;2.0;711;12.0;;4;379;4.0;14;1370;43.3;0.3;0.0;4.9;6.1;1.3;14.0;0.0;8.6;0.1;;0.0;4.6;0.0;0.2;16.6;4;30;18;35;0788
162;Haarlem;112443;77.7;87414;87283;17107;1158;102;6137;9299;1546;14159;40.0;15515;81.0;;167;7276;;550;14146;19.6;1.3;0.1;7.0;10.7;1.8;16.2;0.0;17.8;0.1;;0.2;8.3;;0.6;16.2;3;27;10;21;0392
163;Haarlemmerliede c.a.;4106;86.3;3545;3543;1001;26;4;252;226;97;664;1.0;378;1.0;;6;193;;13;681;28.3;0.7;0.1;7.1;6.4;2.7;18.7;0.0;10.7;0.0;;0.2;5.4;;0.4;19.2;3;27;10;21;0393
164;Haarlemmermeer;87852;82.3;72294;72223;18556;1298;34;4206;4114;1725;14193;22.0;8081;61.0;;557;3109;;374;15893;25.7;1.8;0.0;5.8;5.7;2.4;19.7;0.0;11.2;0.1;;0.8;4.3;;0.5;22.0;3;27;10;23;0394
165;Haelen;7724;75.8;5853;5835;2301;27;3;265;343;112;1092;2.0;523;1.0;;5;232;4.0;37;888;39.4;0.5;0.1;4.5;5.9;1.9;18.7;0.0;9.0;0.0;;0.1;4.0;0.1;0.6;15.2;4;31;19;38;0914
166;Halderberge;22630;74.4;16839;16821;5765;84;19;694;749;268;3504;3.0;1951;10.0;;19;844;17.0;67;2827;34.3;0.5;0.1;4.1;4.5;1.6;20.8;0.0;11.6;0.1;;0.1;5.0;0.1;0.4;16.8;4;30;17;33;1655
167;Hardenberg;42359;85.1;36031;36011;15426;4330;3;1036;1143;458;3490;3.0;4989;20.0;;396;1131;21.0;66;3499;42.8;12.0;0.0;2.9;3.2;1.3;9.7;0.0;13.9;0.1;;1.1;3.1;0.1;0.2;9.7;2;23;04;10;0160
168;Harderwijk;29607;82.5;24426;24415;8901;1803;19;970;1244;356;3435;4.0;2461;16.0;;621;889;39.0;60;3597;36.5;7.4;0.1;4.0;5.1;1.5;14.1;0.0;10.1;0.1;;2.5;3.6;0.2;0.2;14.7;2;25;07;13;0243
169;Hardinxveld-Giessendam;13003;87.4;11371;11368;3114;1594;1;203;232;126;1472;0.0;1231;1.0;;2013;271;3.0;24;1083;27.4;14.0;0.0;1.8;2.0;1.1;12.9;0.0;10.8;0.0;;17.7;2.4;0.0;0.2;9.5;3;28;14;30;0523
170;Haren;14383;87.5;12582;12575;3004;585;4;987;1105;89;1186;0.0;2170;2.0;;42;561;6.0;31;2803;23.9;4.7;0.0;7.8;8.8;0.7;9.4;0.0;17.3;0.0;;0.3;4.5;0.0;0.2;22.3;1;20;01;03;0017
171;Harenkarspel;11433;83.5;9552;9548;3025;56;6;486;565;332;1575;4.0;1088;;;11;573;4.0;42;1781;31.7;0.6;0.1;5.1;5.9;3.5;16.5;0.0;11.4;;;0.1;6.0;0.0;0.4;18.7;3;27;11;18;0395
172;Harlingen;11587;78.7;9123;9112;2334;300;3;399;602;173;1489;6.0;1931;6.0;;10;547;;45;1267;25.6;3.3;0.0;4.4;6.6;1.9;16.3;0.1;21.2;0.1;;0.1;6.0;;0.5;13.9;1;21;02;04;0072
173;Hattem;8862;87.0;7706;7700;2520;1212;0;260;245;75;683;1.0;1453;2.0;;97;234;5.0;23;890;32.7;15.7;0.0;3.4;3.2;1.0;8.9;0.0;18.9;0.0;;1.3;3.0;0.1;0.3;11.6;2;25;07;13;0244
174;Heel;6344;73.2;4644;4628;1881;6;1;223;247;87;782;0.0;502;3.0;;2;193;7.0;31;663;40.6;0.1;0.0;4.8;5.3;1.9;16.9;0.0;10.8;0.1;;0.0;4.2;0.2;0.7;14.3;4;31;19;38;1937
175;Heemskerk;26792;79.9;21420;21400;6087;198;13;1168;1666;537;3877;2.0;3226;18.0;;32;1203;;137;3236;28.4;0.9;0.1;5.5;7.8;2.5;18.1;0.0;15.1;0.1;;0.1;5.6;;0.6;15.1;3;27;10;20;0396
176;Heemstede;19577;87.8;17197;17180;4409;123;4;1352;1267;150;2409;3.0;1843;7.0;;19;774;;70;4750;25.7;0.7;0.0;7.9;7.4;0.9;14.0;0.0;10.7;0.0;;0.1;4.5;;0.4;27.6;3;27;10;21;0397
177;Heerde;13897;84.4;11735;11720;4452;1149;3;287;385;124;1275;5.0;1965;3.0;;375;321;5.0;15;1356;38.0;9.8;0.0;2.4;3.3;1.1;10.9;0.0;16.8;0.0;;3.2;2.7;0.0;0.1;11.6;2;25;07;13;0246
178;Heerenveen;32015;79.3;25379;25354;5673;811;23;1256;1818;473;3240;6.0;6483;18.0;;43;1526;;69;3915;22.4;3.2;0.1;5.0;7.2;1.9;12.8;0.0;25.6;0.1;;0.2;6.0;;0.3;15.4;1;21;02;06;0074
179;Heerhugowaard;34224;80.8;27658;27640;7378;394;24;1771;2058;876;4417;15.0;3733;;;29;1479;17.0;121;5328;26.7;1.4;0.1;6.4;7.4;3.2;16.0;0.1;13.5;;;0.1;5.4;0.1;0.4;19.3;3;27;11;19;0398
180;Heerjansdam;2796;87.3;2442;2433;725;59;3;113;90;58;546;1.0;324;0.0;;40;102;1.0;16;355;29.8;2.4;0.1;4.6;3.7;2.4;22.4;0.0;13.3;0.0;;1.6;4.2;0.0;0.7;14.6;3;28;14;29;0526
181;Heerlen;72869;67.1;48901;48844;14227;298;12;1839;3312;888;10509;13.0;6726;38.0;;56;6152;96.0;218;4460;29.1;0.6;0.0;3.8;6.8;1.8;21.5;0.0;13.8;0.1;;0.1;12.6;0.2;0.4;9.1;4;31;19;39;0917
182;Heeze-Leende;11683;84.1;9828;9810;4064;25;5;463;494;140;1520;1.0;884;20.0;;4;424;4.0;33;1729;41.4;0.3;0.1;4.7;5.0;1.4;15.5;0.0;9.0;0.2;;0.0;4.3;0.0;0.3;17.6;4;30;18;36;1658
183;Heiloo;16951;86.8;14716;14691;3999;128;5;975;1085;245;2001;6.0;1982;;;15;820;5.0;71;3354;27.2;0.9;0.0;6.6;7.4;1.7;13.6;0.0;13.5;;;0.1;5.6;0.0;0.5;22.8;3;27;11;19;0399
184;Helden;14423;76.9;11089;11080;4867;27;15;333;618;184;1853;2.0;895;11.0;;4;431;1.0;37;1802;43.9;0.2;0.1;3.0;5.6;1.7;16.7;0.0;8.1;0.1;;0.0;3.9;0.0;0.3;16.3;4;31;19;37;0918
185;Den Helder;45825;72.6;33260;33221;7501;922;41;1703;1925;874;6864;22.0;4478;;;180;1542;139.0;349;6681;22.6;2.8;0.1;5.1;5.8;2.6;20.7;0.1;13.5;;;0.5;4.6;0.4;1.1;20.1;3;27;11;18;0400
186;Hellendoorn;27599;85.0;23468;23448;12818;978;6;607;891;272;2235;4.0;2714;11.0;;107;800;9.0;71;1925;54.7;4.2;0.0;2.6;3.8;1.2;9.5;0.0;11.6;0.0;;0.5;3.4;0.0;0.3;8.2;2;23;04;12;0163
187;Hellevoetsluis;29062;77.2;22427;22402;4004;279;18;1038;1095;544;6701;5.0;3127;20.0;;86;1166;29.0;138;4152;17.9;1.2;0.1;4.6;4.9;2.4;29.9;0.0;14.0;0.1;;0.4;5.2;0.1;0.6;18.5;3;28;14;29;0530
188;Helmond;60480;72.1;43609;43533;11911;226;21;1795;2448;792;10113;8.0;5739;75.0;;27;3445;67.0;321;6545;27.4;0.5;0.0;4.1;5.6;1.8;23.2;0.0;13.2;0.2;;0.1;7.9;0.2;0.7;15.0;4;30;18;36;0794
189;Hendrik-Ido-Ambacht;15670;85.5;13393;13381;3651;569;5;497;431;208;2555;3.0;1436;4.0;;1718;418;13.0;34;1839;27.3;4.3;0.0;3.7;3.2;1.6;19.1;0.0;10.7;0.0;;12.8;3.1;0.1;0.3;13.7;3;28;14;30;0531
190;Hengelo (O.);60928;80.1;48787;48717;15631;1018;11;2632;3657;641;6160;14.0;8377;21.0;;66;3635;104.0;161;6589;32.1;2.1;0.0;5.4;7.5;1.3;12.6;0.0;17.2;0.0;;0.1;7.5;0.2;0.3;13.5;2;23;04;12;0164
191;Hengelo (Gld.);6549;83.1;5444;5440;2734;26;0;179;160;75;644;0.0;731;0.0;;11;161;1.0;1;717;50.3;0.5;0.0;3.3;2.9;1.4;11.8;0.0;13.4;0.0;;0.2;3.0;0.0;0.0;13.2;2;25;07;14;0248
192;'s-Hertogenbosch;99697;77.1;76818;76722;18536;383;51;4503;7252;1113;14704;20.0;10699;80.0;;73;6510;86.0;319;12393;24.2;0.5;0.1;5.9;9.5;1.5;19.2;0.0;13.9;0.1;;0.1;8.5;0.1;0.4;16.2;4;30;18;35;0796
193;Heumen;12198;84.9;10353;10340;3504;26;2;646;944;110;1319;;1419;9.0;;2;587;11.0;22;1739;33.9;0.3;0.0;6.2;9.1;1.1;12.8;;13.7;0.1;;0.0;5.7;0.1;0.2;16.8;2;25;06;15;0252
194;Heusden;32519;78.7;25597;25597;8927;129;15;1322;1563;460;4473;23.0;2621;56.0;;67;1514;26.0;134;4267;34.9;0.5;0.1;5.2;6.1;1.8;17.5;0.1;10.2;0.2;;0.3;5.9;0.1;0.5;16.7;4;30;18;35;0797
195;Heythuysen;9048;78.2;7080;7069;3289;31;2;296;361;107;1152;3.0;534;0.0;;4;259;4.0;35;992;46.5;0.4;0.0;4.2;5.1;1.5;16.3;0.0;7.6;0.0;;0.1;3.7;0.1;0.5;14.0;4;31;19;38;0920
196;Hillegom;15556;82.3;12807;12796;4173;107;2;606;723;212;2520;7.0;1302;14.0;;81;552;8.0;48;2441;32.6;0.8;0.0;4.7;5.7;1.7;19.7;0.1;10.2;0.1;;0.6;4.3;0.1;0.4;19.1;3;28;15;25;0534
197;Hilvarenbeek;11108;83.5;9271;9262;3883;13;4;444;608;139;1182;0.0;986;13.0;;8;526;9.0;32;1415;41.9;0.1;0.0;4.8;6.6;1.5;12.8;0.0;10.6;0.1;;0.1;5.7;0.1;0.3;15.3;4;30;17;34;0798
198;Hilversum;63660;80.4;51151;51094;11594;1003;44;3521;4215;910;8349;10.0;7545;36.0;;321;3691;;331;9524;22.7;2.0;0.1;6.9;8.2;1.8;16.3;0.0;14.8;0.1;;0.6;7.2;;0.6;18.6;3;27;10;24;0402
199;Hof van Twente;26754;85.7;22931;22910;9349;190;4;899;856;252;2447;3.0;3620;24.0;;44;929;11.0;67;4215;40.8;0.8;0.0;3.9;3.7;1.1;10.7;0.0;15.8;0.1;;0.2;4.1;0.0;0.3;18.4;2;23;04;12;1735
200;Hontenisse;6069;81.8;4964;4961;2044;24;2;149;271;79;921;1.0;511;4.0;;9;237;;17;692;41.2;0.5;0.0;3.0;5.5;1.6;18.6;0.0;10.3;0.1;;0.2;4.8;;0.3;13.9;3;29;16;31;0675
201;Hoogeveen;40569;78.6;31888;31866;12000;1887;39;1020;1423;479;4096;9.0;5812;25.0;;409;1393;30.0;73;3171;37.7;5.9;0.1;3.2;4.5;1.5;12.9;0.0;18.2;0.1;;1.3;4.4;0.1;0.2;10.0;1;22;03;09;0118
