ID;Toepassingsgroepen;Perioden;AfzetWerkzameStof_1;AfzetWerkzameStofIndexcijfer_2
432;PGR01 Fysiologische plantengroeireg....;2022;708.0;353.0
433;PGR01 Fysiologische plantengroeireg....;2023;687.0;342.0
434;PGR02 Middelen tegen kiemen;2010;5.0;93.0
435;PGR02 Middelen tegen kiemen;2011;5.0;100.0
436;PGR02 Middelen tegen kiemen;2012;4.0;81.0
437;PGR02 Middelen tegen kiemen;2013;6.0;117.0
438;PGR02 Middelen tegen kiemen;2014;8.0;143.0
439;PGR02 Middelen tegen kiemen;2015;7.0;131.0
440;PGR02 Middelen tegen kiemen;2016;12.0;215.0
441;PGR02 Middelen tegen kiemen;2017;15.0;276.0
442;PGR02 Middelen tegen kiemen;2018;19.0;352.0
443;PGR02 Middelen tegen kiemen;2019;18.0;331.0
444;PGR02 Middelen tegen kiemen;2020;18.0;336.0
445;PGR02 Middelen tegen kiemen;2021;9.0;162.0
446;PGR02 Middelen tegen kiemen;2022;9.0;171.0
447;PGR02 Middelen tegen kiemen;2023;8.0;152.0
448;PGR03 Andere plantengroeiregulatoren;2010;;
449;PGR03 Andere plantengroeiregulatoren;2011;;
450;PGR03 Andere plantengroeiregulatoren;2012;;
451;PGR03 Andere plantengroeiregulatoren;2013;;
452;PGR03 Andere plantengroeiregulatoren;2014;;
453;PGR03 Andere plantengroeiregulatoren;2015;;
454;PGR03 Andere plantengroeiregulatoren;2016;;
455;PGR03 Andere plantengroeiregulatoren;2017;;
456;PGR03 Andere plantengroeiregulatoren;2018;;
457;PGR03 Andere plantengroeiregulatoren;2019;;
458;PGR03 Andere plantengroeiregulatoren;2020;;
459;PGR03 Andere plantengroeiregulatoren;2021;;
460;PGR03 Andere plantengroeiregulatoren;2022;;
461;PGR03 Andere plantengroeiregulatoren;2023;;
462;ZR01 Minerale oliën ;2010;;
463;ZR01 Minerale oliën ;2011;;
464;ZR01 Minerale oliën ;2012;;
465;ZR01 Minerale oliën ;2013;;
466;ZR01 Minerale oliën ;2014;;
467;ZR01 Minerale oliën ;2015;;
468;ZR01 Minerale oliën ;2016;;
469;ZR01 Minerale oliën ;2017;;
470;ZR01 Minerale oliën ;2018;;
471;ZR01 Minerale oliën ;2019;;
472;ZR01 Minerale oliën ;2020;;
473;ZR01 Minerale oliën ;2021;;
474;ZR01 Minerale oliën ;2022;;
475;ZR01 Minerale oliën ;2023;;
476;ZR02 Plantaardige oliën;2010;5.0;74.0
477;ZR02 Plantaardige oliën;2011;7.0;100.0
478;ZR02 Plantaardige oliën;2012;3.0;38.0
479;ZR02 Plantaardige oliën;2013;5.0;73.0
480;ZR02 Plantaardige oliën;2014;6.0;83.0
481;ZR02 Plantaardige oliën;2015;8.0;113.0
482;ZR02 Plantaardige oliën;2016;14.0;188.0
483;ZR02 Plantaardige oliën;2017;14.0;188.0
484;ZR02 Plantaardige oliën;2018;39.0;544.0
485;ZR02 Plantaardige oliën;2019;7.0;93.0
486;ZR02 Plantaardige oliën;2020;21.0;292.0
487;ZR02 Plantaardige oliën;2021;25.0;346.0
488;ZR02 Plantaardige oliën;2022;22.0;307.0
489;ZR02 Plantaardige oliën;2023;17.0;236.0
490;ZR03 Grondontsmetters (incl. nematicden);2010;1327.0;87.0
491;ZR03 Grondontsmetters (incl. nematicden);2011;1524.0;100.0
492;ZR03 Grondontsmetters (incl. nematicden);2012;1427.0;94.0
493;ZR03 Grondontsmetters (incl. nematicden);2013;1574.0;103.0
494;ZR03 Grondontsmetters (incl. nematicden);2014;270.0;18.0
495;ZR03 Grondontsmetters (incl. nematicden);2015;45.0;3.0
496;ZR03 Grondontsmetters (incl. nematicden);2016;66.0;4.0
497;ZR03 Grondontsmetters (incl. nematicden);2017;35.0;2.0
498;ZR03 Grondontsmetters (incl. nematicden);2018;79.0;5.0
499;ZR03 Grondontsmetters (incl. nematicden);2019;81.0;5.0
500;ZR03 Grondontsmetters (incl. nematicden);2020;159.0;10.0
501;ZR03 Grondontsmetters (incl. nematicden);2021;108.0;7.0
502;ZR03 Grondontsmetters (incl. nematicden);2022;163.0;11.0
503;ZR03 Grondontsmetters (incl. nematicden);2023;116.0;8.0
504;ZR04 Rodenticiden (tegen knaagdieren);2010;0.0;122.0
505;ZR04 Rodenticiden (tegen knaagdieren);2011;0.0;100.0
506;ZR04 Rodenticiden (tegen knaagdieren);2012;0.0;65.0
507;ZR04 Rodenticiden (tegen knaagdieren);2013;0.0;48.0
508;ZR04 Rodenticiden (tegen knaagdieren);2014;0.0;35.0
509;ZR04 Rodenticiden (tegen knaagdieren);2015;0.0;35.0
510;ZR04 Rodenticiden (tegen knaagdieren);2016;0.0;13.0
511;ZR04 Rodenticiden (tegen knaagdieren);2017;0.0;9.0
512;ZR04 Rodenticiden (tegen knaagdieren);2018;;0.0
513;ZR04 Rodenticiden (tegen knaagdieren);2019;;0.0
514;ZR04 Rodenticiden (tegen knaagdieren);2020;;0.0
515;ZR04 Rodenticiden (tegen knaagdieren);2021;;0.0
516;ZR04 Rodenticiden (tegen knaagdieren);2022;;0.0
517;ZR04 Rodenticiden (tegen knaagdieren);2023;;0.0
518;ZR99 Alle andere gewasbeschermings...;2010;3.0;371.0
519;ZR99 Alle andere gewasbeschermings...;2011;1.0;100.0
520;ZR99 Alle andere gewasbeschermings...;2012;3.0;420.0
521;ZR99 Alle andere gewasbeschermings...;2013;3.0;440.0
522;ZR99 Alle andere gewasbeschermings...;2014;5.0;692.0
523;ZR99 Alle andere gewasbeschermings...;2015;4.0;576.0
524;ZR99 Alle andere gewasbeschermings...;2016;3.0;358.0
525;ZR99 Alle andere gewasbeschermings...;2017;5.0;654.0
526;ZR99 Alle andere gewasbeschermings...;2018;9.0;1235.0
527;ZR99 Alle andere gewasbeschermings...;2019;8.0;1086.0
528;ZR99 Alle andere gewasbeschermings...;2020;90.0;12563.0
529;ZR99 Alle andere gewasbeschermings...;2021;129.0;18032.0
530;ZR99 Alle andere gewasbeschermings...;2022;130.0;18143.0
531;ZR99 Alle andere gewasbeschermings...;2023;107.0;14971.0
