ID;SIC93;Periods;Turnover_1;Price_2;Volume_3;Turnover_4;Price_5;Volume_6
400;93022 Beauty care;1996 August;74;;;-2.8;;
401;93022 Beauty care;1996 September;76;;;-8.6;;
402;93022 Beauty care;1996 3rd quarter;77;;;0.9;;
403;93022 Beauty care;1996 October;92;;;7.1;;
404;93022 Beauty care;1996 November;82;;;-5.4;;
405;93022 Beauty care;1996 December;93;;;0.9;;
406;93022 Beauty care;1996 4th quarter;89;;;0.8;;
407;93022 Beauty care;1996;84;;;2.0;;
408;93022 Beauty care;1997 January;79;;;-1.3;;
409;93022 Beauty care;1997 February;74;;;-4.1;;
410;93022 Beauty care;1997 March;83;;;-0.2;;
411;93022 Beauty care;1997 1st quarter;79;;;-1.8;;
412;93022 Beauty care;1997 April;86;;;-2.1;;
413;93022 Beauty care;1997 May;90;;;-1.9;;
414;93022 Beauty care;1997 June;85;;;-4.9;;
415;93022 Beauty care;1997 2nd quarter;87;;;-3.0;;
416;93022 Beauty care;1997 July;85;;;6.4;;
417;93022 Beauty care;1997 August;66;;;-11.0;;
418;93022 Beauty care;1997 September;83;;;8.8;;
419;93022 Beauty care;1997 3rd quarter;78;;;1.6;;
420;93022 Beauty care;1997 October;87;;;-4.8;;
421;93022 Beauty care;1997 November;82;;;0.7;;
422;93022 Beauty care;1997 December;97;;;4.4;;
423;93022 Beauty care;1997 4th quarter;89;;;0.1;;
424;93022 Beauty care;1997;83;;;-0.8;;
425;93022 Beauty care;1998 January;83;;;4.8;;
426;93022 Beauty care;1998 February;80;;;8.8;;
427;93022 Beauty care;1998 March;91;;;9.7;;
428;93022 Beauty care;1998 1st quarter;85;;;7.8;;
429;93022 Beauty care;1998 April;93;;;8.2;;
430;93022 Beauty care;1998 May;92;;;2.7;;
431;93022 Beauty care;1998 June;90;;;6.7;;
432;93022 Beauty care;1998 2nd quarter;92;;;5.8;;
433;93022 Beauty care;1998 July;92;;;8.4;;
434;93022 Beauty care;1998 August;71;;;7.3;;
435;93022 Beauty care;1998 September;91;;;9.6;;
436;93022 Beauty care;1998 3rd quarter;85;;;8.6;;
437;93022 Beauty care;1998 October;89;;;2.6;;
438;93022 Beauty care;1998 November;89;;;7.6;;
439;93022 Beauty care;1998 December;100;;;3.1;;
440;93022 Beauty care;1998 4th quarter;93;;;4.3;;
441;93022 Beauty care;1998;89;;;6.5;;
442;93022 Beauty care;1999 January;83;;;-0.6;;
443;93022 Beauty care;1999 February;78;;;-3.5;;
444;93022 Beauty care;1999 March;101;;;9.9;;
445;93022 Beauty care;1999 1st quarter;87;;;2.2;;
446;93022 Beauty care;1999 April;93;;;0.4;;
447;93022 Beauty care;1999 May;88;;;-4.1;;
448;93022 Beauty care;1999 June;100;;;10.0;;
449;93022 Beauty care;1999 2nd quarter;94;;;2.1;;
450;93022 Beauty care;1999 July;84;;;-9.1;;
451;93022 Beauty care;1999 August;81;;;14.3;;
452;93022 Beauty care;1999 September;89;;;-2.7;;
453;93022 Beauty care;1999 3rd quarter;84;;;-0.3;;
454;93022 Beauty care;1999 October;96;;;7.0;;
455;93022 Beauty care;1999 November;101;;;14.5;;
456;93022 Beauty care;1999 December;113;;;13.6;;
457;93022 Beauty care;1999 4th quarter;103;;;11.8;;
458;93022 Beauty care;1999;92;;;4.1;;
459;93022 Beauty care;2000 January;89;;;8.1;;
460;93022 Beauty care;2000 February;98;;;26.4;;
461;93022 Beauty care;2000 March;107;;;5.9;;
462;93022 Beauty care;2000 1st quarter;98;;;12.7;;
463;93022 Beauty care;2000 April;103;;;10.3;;
464;93022 Beauty care;2000 May;109;;;22.7;;
465;93022 Beauty care;2000 June;101;;;1.9;;
466;93022 Beauty care;2000 2nd quarter;104;;;11.2;;
467;93022 Beauty care;2000 July;89;;;6.1;;
468;93022 Beauty care;2000 August;89;;;9.5;;
469;93022 Beauty care;2000 September;97;;;9.2;;
470;93022 Beauty care;2000 3rd quarter;91;;;8.3;;
471;93022 Beauty care;2000 October;100;;;4.9;;
472;93022 Beauty care;2000 November;107;;;5.2;;
473;93022 Beauty care;2000 December;112;;;-1.0;;
474;93022 Beauty care;2000 4th quarter;106;;;2.8;;
475;93022 Beauty care;2000;100;;;8.5;;
476;93022 Beauty care;2001 January;100;;;12.2;;
477;93022 Beauty care;2001 February;99;;;0.6;;
478;93022 Beauty care;2001 March;115;;;8.1;;
479;93022 Beauty care;2001 1st quarter;105;;;6.8;;
480;93022 Beauty care;2001 April;108;;;5.3;;
481;93022 Beauty care;2001 May;117;;;7.9;;
482;93022 Beauty care;2001 June;110;;;8.1;;
483;93022 Beauty care;2001 2nd quarter;112;;;7.1;;
484;93022 Beauty care;2001 July;102;;;15.0;;
485;93022 Beauty care;2001 August;102;;;14.9;;
486;93022 Beauty care;2001 September;109;;;13.2;;
487;93022 Beauty care;2001 3rd quarter;105;;;14.3;;
488;93022 Beauty care;2001 October;123;;;22.1;;
489;93022 Beauty care;2001 November;123;;;14.9;;
490;93022 Beauty care;2001 December;121;;;7.8;;
491;93022 Beauty care;2001 4th quarter;122;;;14.7;;
492;93022 Beauty care;2001;111;;;10.7;;
493;93022 Beauty care;2002 January;112;;;12.0;;
494;93022 Beauty care;2002 February;109;;;10.6;;
495;93022 Beauty care;2002 March;123;;;6.4;;
496;93022 Beauty care;2002 1st quarter;115;;;9.5;;
497;93022 Beauty care;2002 April;123;;;13.4;;
498;93022 Beauty care;2002 May;132;;;12.5;;
499;93022 Beauty care;2002 June;126;;;14.6;;
500;93022 Beauty care;2002 2nd quarter;127;;;13.5;;
501;93022 Beauty care;2002 July;119;;;16.5;;
502;93022 Beauty care;2002 August;108;;;5.5;;
503;93022 Beauty care;2002 September;125;;;13.8;;
504;93022 Beauty care;2002 3rd quarter;117;;;12.0;;
505;93022 Beauty care;2002 October;137;;;11.7;;
506;93022 Beauty care;2002 November;135;;;9.8;;
507;93022 Beauty care;2002 December;136;;;12.7;;
508;93022 Beauty care;2002 4th quarter;136;;;11.4;;
509;93022 Beauty care;2002;124;;;11.6;;
