ID;TypeOfMonument;Regions2019;Periods;ListedMonumentsAndHistoricBuildings_1
1624;Listed monuments total;Veluwe (CR);1994;1053
1625;Listed monuments total;Veluwe (CR);1995;1055
1626;Listed monuments total;Veluwe (CR);1996;1055
1627;Listed monuments total;Veluwe (CR);1997;1060
1628;Listed monuments total;Veluwe (CR);1998;1068
1629;Listed monuments total;Veluwe (CR);1999;1068
1630;Listed monuments total;Veluwe (CR);2000;1191
1631;Listed monuments total;Veluwe (CR);2001;1208
1632;Listed monuments total;Veluwe (CR);2002;1442
1633;Listed monuments total;Veluwe (CR);2003;1486
1634;Listed monuments total;Veluwe (CR);2004;1542
1635;Listed monuments total;Veluwe (CR);2005;1656
1636;Listed monuments total;Veluwe (CR);2006;1697
1637;Listed monuments total;Veluwe (CR);2007;1748
1638;Listed monuments total;Veluwe (CR);2008;1748
1639;Listed monuments total;Veluwe (CR);2009;1753
1640;Listed monuments total;Veluwe (CR);2010;1779
1641;Listed monuments total;Veluwe (CR);2011;1788
1642;Listed monuments total;Veluwe (CR);2012;1815
1643;Listed monuments total;Veluwe (CR);2013;1815
1644;Listed monuments total;Veluwe (CR);2014;1819
1645;Listed monuments total;Veluwe (CR);2015;1820
1646;Listed monuments total;Veluwe (CR);2016;1820
1647;Listed monuments total;Veluwe (CR);2017;1823
1648;Listed monuments total;Veluwe (CR);2018;1825
1649;Listed monuments total;Veluwe (CR);2019;1823
1650;Listed monuments total;Achterhoek (CR);1965;0
1651;Listed monuments total;Achterhoek (CR);1966;534
1652;Listed monuments total;Achterhoek (CR);1967;658
1653;Listed monuments total;Achterhoek (CR);1968;662
1654;Listed monuments total;Achterhoek (CR);1969;667
1655;Listed monuments total;Achterhoek (CR);1970;669
1656;Listed monuments total;Achterhoek (CR);1971;694
1657;Listed monuments total;Achterhoek (CR);1972;696
1658;Listed monuments total;Achterhoek (CR);1973;699
1659;Listed monuments total;Achterhoek (CR);1974;704
1660;Listed monuments total;Achterhoek (CR);1975;710
1661;Listed monuments total;Achterhoek (CR);1976;730
1662;Listed monuments total;Achterhoek (CR);1977;741
1663;Listed monuments total;Achterhoek (CR);1978;761
1664;Listed monuments total;Achterhoek (CR);1979;766
1665;Listed monuments total;Achterhoek (CR);1980;767
1666;Listed monuments total;Achterhoek (CR);1981;768
1667;Listed monuments total;Achterhoek (CR);1982;770
1668;Listed monuments total;Achterhoek (CR);1983;773
1669;Listed monuments total;Achterhoek (CR);1984;774
1670;Listed monuments total;Achterhoek (CR);1985;774
1671;Listed monuments total;Achterhoek (CR);1986;774
1672;Listed monuments total;Achterhoek (CR);1987;774
1673;Listed monuments total;Achterhoek (CR);1988;775
1674;Listed monuments total;Achterhoek (CR);1989;776
1675;Listed monuments total;Achterhoek (CR);1990;776
1676;Listed monuments total;Achterhoek (CR);1991;777
1677;Listed monuments total;Achterhoek (CR);1992;779
1678;Listed monuments total;Achterhoek (CR);1993;793
1679;Listed monuments total;Achterhoek (CR);1994;806
1680;Listed monuments total;Achterhoek (CR);1995;807
1681;Listed monuments total;Achterhoek (CR);1996;807
1682;Listed monuments total;Achterhoek (CR);1997;809
1683;Listed monuments total;Achterhoek (CR);1998;813
1684;Listed monuments total;Achterhoek (CR);1999;902
1685;Listed monuments total;Achterhoek (CR);2000;1008
1686;Listed monuments total;Achterhoek (CR);2001;1105
1687;Listed monuments total;Achterhoek (CR);2002;1221
1688;Listed monuments total;Achterhoek (CR);2003;1230
1689;Listed monuments total;Achterhoek (CR);2004;1303
1690;Listed monuments total;Achterhoek (CR);2005;1434
1691;Listed monuments total;Achterhoek (CR);2006;1474
1692;Listed monuments total;Achterhoek (CR);2007;1504
1693;Listed monuments total;Achterhoek (CR);2008;1526
1694;Listed monuments total;Achterhoek (CR);2009;1526
1695;Listed monuments total;Achterhoek (CR);2010;1562
1696;Listed monuments total;Achterhoek (CR);2011;1566
1697;Listed monuments total;Achterhoek (CR);2012;1566
1698;Listed monuments total;Achterhoek (CR);2013;1566
1699;Listed monuments total;Achterhoek (CR);2014;1566
1700;Listed monuments total;Achterhoek (CR);2015;1566
1701;Listed monuments total;Achterhoek (CR);2016;1566
1702;Listed monuments total;Achterhoek (CR);2017;1567
1703;Listed monuments total;Achterhoek (CR);2018;1567
1704;Listed monuments total;Achterhoek (CR);2019;1567
1705;Listed monuments total;Arnhem/Nijmegen (CR);1965;70
1706;Listed monuments total;Arnhem/Nijmegen (CR);1966;237
1707;Listed monuments total;Arnhem/Nijmegen (CR);1967;275
1708;Listed monuments total;Arnhem/Nijmegen (CR);1968;293
1709;Listed monuments total;Arnhem/Nijmegen (CR);1969;297
1710;Listed monuments total;Arnhem/Nijmegen (CR);1970;339
1711;Listed monuments total;Arnhem/Nijmegen (CR);1971;511
1712;Listed monuments total;Arnhem/Nijmegen (CR);1972;515
1713;Listed monuments total;Arnhem/Nijmegen (CR);1973;620
1714;Listed monuments total;Arnhem/Nijmegen (CR);1974;632
1715;Listed monuments total;Arnhem/Nijmegen (CR);1975;653
1716;Listed monuments total;Arnhem/Nijmegen (CR);1976;674
1717;Listed monuments total;Arnhem/Nijmegen (CR);1977;678
1718;Listed monuments total;Arnhem/Nijmegen (CR);1978;693
1719;Listed monuments total;Arnhem/Nijmegen (CR);1979;697
1720;Listed monuments total;Arnhem/Nijmegen (CR);1980;732
1721;Listed monuments total;Arnhem/Nijmegen (CR);1981;736
1722;Listed monuments total;Arnhem/Nijmegen (CR);1982;739
1723;Listed monuments total;Arnhem/Nijmegen (CR);1983;742
1724;Listed monuments total;Arnhem/Nijmegen (CR);1984;742
1725;Listed monuments total;Arnhem/Nijmegen (CR);1985;746
1726;Listed monuments total;Arnhem/Nijmegen (CR);1986;761
1727;Listed monuments total;Arnhem/Nijmegen (CR);1987;761
1728;Listed monuments total;Arnhem/Nijmegen (CR);1988;763
1729;Listed monuments total;Arnhem/Nijmegen (CR);1989;764
1730;Listed monuments total;Arnhem/Nijmegen (CR);1990;775
1731;Listed monuments total;Arnhem/Nijmegen (CR);1991;779
1732;Listed monuments total;Arnhem/Nijmegen (CR);1992;781
1733;Listed monuments total;Arnhem/Nijmegen (CR);1993;804
1734;Listed monuments total;Arnhem/Nijmegen (CR);1994;805
1735;Listed monuments total;Arnhem/Nijmegen (CR);1995;805
1736;Listed monuments total;Arnhem/Nijmegen (CR);1996;805
1737;Listed monuments total;Arnhem/Nijmegen (CR);1997;806
1738;Listed monuments total;Arnhem/Nijmegen (CR);1998;806
1739;Listed monuments total;Arnhem/Nijmegen (CR);1999;821
1740;Listed monuments total;Arnhem/Nijmegen (CR);2000;1042
1741;Listed monuments total;Arnhem/Nijmegen (CR);2001;1206
1742;Listed monuments total;Arnhem/Nijmegen (CR);2002;1450
1743;Listed monuments total;Arnhem/Nijmegen (CR);2003;1462
1744;Listed monuments total;Arnhem/Nijmegen (CR);2004;1533
1745;Listed monuments total;Arnhem/Nijmegen (CR);2005;1579
1746;Listed monuments total;Arnhem/Nijmegen (CR);2006;1697
1747;Listed monuments total;Arnhem/Nijmegen (CR);2007;1702
1748;Listed monuments total;Arnhem/Nijmegen (CR);2008;1703
1749;Listed monuments total;Arnhem/Nijmegen (CR);2009;1703
1750;Listed monuments total;Arnhem/Nijmegen (CR);2010;1782
1751;Listed monuments total;Arnhem/Nijmegen (CR);2011;1806
1752;Listed monuments total;Arnhem/Nijmegen (CR);2012;1908
1753;Listed monuments total;Arnhem/Nijmegen (CR);2013;1914
1754;Listed monuments total;Arnhem/Nijmegen (CR);2014;1913
1755;Listed monuments total;Arnhem/Nijmegen (CR);2015;1923
1756;Listed monuments total;Arnhem/Nijmegen (CR);2016;1935
1757;Listed monuments total;Arnhem/Nijmegen (CR);2017;1936
1758;Listed monuments total;Arnhem/Nijmegen (CR);2018;1936
1759;Listed monuments total;Arnhem/Nijmegen (CR);2019;1936
1760;Listed monuments total;Zuidwest-Gelderland (CR);1965;0
1761;Listed monuments total;Zuidwest-Gelderland (CR);1966;0
1762;Listed monuments total;Zuidwest-Gelderland (CR);1967;16
1763;Listed monuments total;Zuidwest-Gelderland (CR);1968;16
1764;Listed monuments total;Zuidwest-Gelderland (CR);1969;22
1765;Listed monuments total;Zuidwest-Gelderland (CR);1970;87
1766;Listed monuments total;Zuidwest-Gelderland (CR);1971;675
1767;Listed monuments total;Zuidwest-Gelderland (CR);1972;677
1768;Listed monuments total;Zuidwest-Gelderland (CR);1973;696
1769;Listed monuments total;Zuidwest-Gelderland (CR);1974;706
1770;Listed monuments total;Zuidwest-Gelderland (CR);1975;721
1771;Listed monuments total;Zuidwest-Gelderland (CR);1976;771
1772;Listed monuments total;Zuidwest-Gelderland (CR);1977;802
1773;Listed monuments total;Zuidwest-Gelderland (CR);1978;806
1774;Listed monuments total;Zuidwest-Gelderland (CR);1979;807
1775;Listed monuments total;Zuidwest-Gelderland (CR);1980;811
1776;Listed monuments total;Zuidwest-Gelderland (CR);1981;815
1777;Listed monuments total;Zuidwest-Gelderland (CR);1982;820
1778;Listed monuments total;Zuidwest-Gelderland (CR);1983;821
1779;Listed monuments total;Zuidwest-Gelderland (CR);1984;822
1780;Listed monuments total;Zuidwest-Gelderland (CR);1985;823
1781;Listed monuments total;Zuidwest-Gelderland (CR);1986;823
1782;Listed monuments total;Zuidwest-Gelderland (CR);1987;823
1783;Listed monuments total;Zuidwest-Gelderland (CR);1988;828
1784;Listed monuments total;Zuidwest-Gelderland (CR);1989;828
1785;Listed monuments total;Zuidwest-Gelderland (CR);1990;828
1786;Listed monuments total;Zuidwest-Gelderland (CR);1991;828
1787;Listed monuments total;Zuidwest-Gelderland (CR);1992;832
1788;Listed monuments total;Zuidwest-Gelderland (CR);1993;832
1789;Listed monuments total;Zuidwest-Gelderland (CR);1994;842
1790;Listed monuments total;Zuidwest-Gelderland (CR);1995;842
1791;Listed monuments total;Zuidwest-Gelderland (CR);1996;843
1792;Listed monuments total;Zuidwest-Gelderland (CR);1997;843
1793;Listed monuments total;Zuidwest-Gelderland (CR);1998;844
1794;Listed monuments total;Zuidwest-Gelderland (CR);1999;852
1795;Listed monuments total;Zuidwest-Gelderland (CR);2000;854
1796;Listed monuments total;Zuidwest-Gelderland (CR);2001;951
1797;Listed monuments total;Zuidwest-Gelderland (CR);2002;1014
1798;Listed monuments total;Zuidwest-Gelderland (CR);2003;1023
1799;Listed monuments total;Zuidwest-Gelderland (CR);2004;1039
1800;Listed monuments total;Zuidwest-Gelderland (CR);2005;1063
1801;Listed monuments total;Zuidwest-Gelderland (CR);2006;1104
1802;Listed monuments total;Zuidwest-Gelderland (CR);2007;1108
1803;Listed monuments total;Zuidwest-Gelderland (CR);2008;1112
1804;Listed monuments total;Zuidwest-Gelderland (CR);2009;1112
1805;Listed monuments total;Zuidwest-Gelderland (CR);2010;1112
1806;Listed monuments total;Zuidwest-Gelderland (CR);2011;1112
1807;Listed monuments total;Zuidwest-Gelderland (CR);2012;1113
1808;Listed monuments total;Zuidwest-Gelderland (CR);2013;1113
1809;Listed monuments total;Zuidwest-Gelderland (CR);2014;1188
1810;Listed monuments total;Zuidwest-Gelderland (CR);2015;1226
1811;Listed monuments total;Zuidwest-Gelderland (CR);2016;1226
1812;Listed monuments total;Zuidwest-Gelderland (CR);2017;1236
1813;Listed monuments total;Zuidwest-Gelderland (CR);2018;1236
1814;Listed monuments total;Zuidwest-Gelderland (CR);2019;1237
1815;Listed monuments total;Utrecht (CR);1965;107
1816;Listed monuments total;Utrecht (CR);1966;701
1817;Listed monuments total;Utrecht (CR);1967;1592
1818;Listed monuments total;Utrecht (CR);1968;1714
1819;Listed monuments total;Utrecht (CR);1969;1750
1820;Listed monuments total;Utrecht (CR);1970;1941
1821;Listed monuments total;Utrecht (CR);1971;2170
1822;Listed monuments total;Utrecht (CR);1972;2474
1823;Listed monuments total;Utrecht (CR);1973;2756
1824;Listed monuments total;Utrecht (CR);1974;2811
1825;Listed monuments total;Utrecht (CR);1975;2939
1826;Listed monuments total;Utrecht (CR);1976;2981
1827;Listed monuments total;Utrecht (CR);1977;3003
1828;Listed monuments total;Utrecht (CR);1978;3033
1829;Listed monuments total;Utrecht (CR);1979;3049
1830;Listed monuments total;Utrecht (CR);1980;3056
1831;Listed monuments total;Utrecht (CR);1981;3061
1832;Listed monuments total;Utrecht (CR);1982;3074
1833;Listed monuments total;Utrecht (CR);1983;3080
1834;Listed monuments total;Utrecht (CR);1984;3083
1835;Listed monuments total;Utrecht (CR);1985;3106
1836;Listed monuments total;Utrecht (CR);1986;3117
1837;Listed monuments total;Utrecht (CR);1987;3120
1838;Listed monuments total;Utrecht (CR);1988;3130
1839;Listed monuments total;Utrecht (CR);1989;3135
1840;Listed monuments total;Utrecht (CR);1990;3180
1841;Listed monuments total;Utrecht (CR);1991;3226
1842;Listed monuments total;Utrecht (CR);1992;3434
1843;Listed monuments total;Utrecht (CR);1993;3488
1844;Listed monuments total;Utrecht (CR);1994;3502
1845;Listed monuments total;Utrecht (CR);1995;3502
1846;Listed monuments total;Utrecht (CR);1996;3509
1847;Listed monuments total;Utrecht (CR);1997;3582
1848;Listed monuments total;Utrecht (CR);1998;3714
1849;Listed monuments total;Utrecht (CR);1999;3994
1850;Listed monuments total;Utrecht (CR);2000;4202
1851;Listed monuments total;Utrecht (CR);2001;4696
1852;Listed monuments total;Utrecht (CR);2002;4857
1853;Listed monuments total;Utrecht (CR);2003;4907
1854;Listed monuments total;Utrecht (CR);2004;4996
1855;Listed monuments total;Utrecht (CR);2005;5091
1856;Listed monuments total;Utrecht (CR);2006;5200
1857;Listed monuments total;Utrecht (CR);2007;5260
1858;Listed monuments total;Utrecht (CR);2008;5262
1859;Listed monuments total;Utrecht (CR);2009;5292
1860;Listed monuments total;Utrecht (CR);2010;5304
1861;Listed monuments total;Utrecht (CR);2011;5449
1862;Listed monuments total;Utrecht (CR);2012;5563
1863;Listed monuments total;Utrecht (CR);2013;5616
1864;Listed monuments total;Utrecht (CR);2014;5686
1865;Listed monuments total;Utrecht (CR);2015;5719
1866;Listed monuments total;Utrecht (CR);2016;5871
1867;Listed monuments total;Utrecht (CR);2017;5874
1868;Listed monuments total;Utrecht (CR);2018;5874
1869;Listed monuments total;Utrecht (CR);2019;5873
1870;Listed monuments total;Kop van Noord-Holland (CR);1965;376
1871;Listed monuments total;Kop van Noord-Holland (CR);1966;677
1872;Listed monuments total;Kop van Noord-Holland (CR);1967;684
1873;Listed monuments total;Kop van Noord-Holland (CR);1968;684
1874;Listed monuments total;Kop van Noord-Holland (CR);1969;684
1875;Listed monuments total;Kop van Noord-Holland (CR);1970;715
1876;Listed monuments total;Kop van Noord-Holland (CR);1971;777
1877;Listed monuments total;Kop van Noord-Holland (CR);1972;842
1878;Listed monuments total;Kop van Noord-Holland (CR);1973;898
1879;Listed monuments total;Kop van Noord-Holland (CR);1974;923
1880;Listed monuments total;Kop van Noord-Holland (CR);1975;937
1881;Listed monuments total;Kop van Noord-Holland (CR);1976;1114
1882;Listed monuments total;Kop van Noord-Holland (CR);1977;1129
1883;Listed monuments total;Kop van Noord-Holland (CR);1978;1147
1884;Listed monuments total;Kop van Noord-Holland (CR);1979;1168
1885;Listed monuments total;Kop van Noord-Holland (CR);1980;1180
1886;Listed monuments total;Kop van Noord-Holland (CR);1981;1181
1887;Listed monuments total;Kop van Noord-Holland (CR);1982;1186
1888;Listed monuments total;Kop van Noord-Holland (CR);1983;1187
1889;Listed monuments total;Kop van Noord-Holland (CR);1984;1193
1890;Listed monuments total;Kop van Noord-Holland (CR);1985;1196
1891;Listed monuments total;Kop van Noord-Holland (CR);1986;1197
1892;Listed monuments total;Kop van Noord-Holland (CR);1987;1197
1893;Listed monuments total;Kop van Noord-Holland (CR);1988;1200
1894;Listed monuments total;Kop van Noord-Holland (CR);1989;1202
1895;Listed monuments total;Kop van Noord-Holland (CR);1990;1229
1896;Listed monuments total;Kop van Noord-Holland (CR);1991;1230
1897;Listed monuments total;Kop van Noord-Holland (CR);1992;1230
1898;Listed monuments total;Kop van Noord-Holland (CR);1993;1244
1899;Listed monuments total;Kop van Noord-Holland (CR);1994;1244
1900;Listed monuments total;Kop van Noord-Holland (CR);1995;1244
1901;Listed monuments total;Kop van Noord-Holland (CR);1996;1309
1902;Listed monuments total;Kop van Noord-Holland (CR);1997;1333
1903;Listed monuments total;Kop van Noord-Holland (CR);1998;1431
1904;Listed monuments total;Kop van Noord-Holland (CR);1999;1497
1905;Listed monuments total;Kop van Noord-Holland (CR);2000;1501
1906;Listed monuments total;Kop van Noord-Holland (CR);2001;1545
1907;Listed monuments total;Kop van Noord-Holland (CR);2002;1550
1908;Listed monuments total;Kop van Noord-Holland (CR);2003;1552
1909;Listed monuments total;Kop van Noord-Holland (CR);2004;1558
1910;Listed monuments total;Kop van Noord-Holland (CR);2005;1565
1911;Listed monuments total;Kop van Noord-Holland (CR);2006;1567
1912;Listed monuments total;Kop van Noord-Holland (CR);2007;1568
1913;Listed monuments total;Kop van Noord-Holland (CR);2008;1568
1914;Listed monuments total;Kop van Noord-Holland (CR);2009;1568
1915;Listed monuments total;Kop van Noord-Holland (CR);2010;1569
1916;Listed monuments total;Kop van Noord-Holland (CR);2011;1570
1917;Listed monuments total;Kop van Noord-Holland (CR);2012;1570
1918;Listed monuments total;Kop van Noord-Holland (CR);2013;1571
1919;Listed monuments total;Kop van Noord-Holland (CR);2014;1571
1920;Listed monuments total;Kop van Noord-Holland (CR);2015;1571
1921;Listed monuments total;Kop van Noord-Holland (CR);2016;1572
1922;Listed monuments total;Kop van Noord-Holland (CR);2017;1572
1923;Listed monuments total;Kop van Noord-Holland (CR);2018;1572
1924;Listed monuments total;Kop van Noord-Holland (CR);2019;1571
1925;Listed monuments total;Alkmaar en omgeving (CR);1965;0
1926;Listed monuments total;Alkmaar en omgeving (CR);1966;0
1927;Listed monuments total;Alkmaar en omgeving (CR);1967;123
1928;Listed monuments total;Alkmaar en omgeving (CR);1968;136
1929;Listed monuments total;Alkmaar en omgeving (CR);1969;438
1930;Listed monuments total;Alkmaar en omgeving (CR);1970;438
1931;Listed monuments total;Alkmaar en omgeving (CR);1971;442
1932;Listed monuments total;Alkmaar en omgeving (CR);1972;470
1933;Listed monuments total;Alkmaar en omgeving (CR);1973;490
1934;Listed monuments total;Alkmaar en omgeving (CR);1974;496
1935;Listed monuments total;Alkmaar en omgeving (CR);1975;503
1936;Listed monuments total;Alkmaar en omgeving (CR);1976;525
1937;Listed monuments total;Alkmaar en omgeving (CR);1977;529
1938;Listed monuments total;Alkmaar en omgeving (CR);1978;532
1939;Listed monuments total;Alkmaar en omgeving (CR);1979;537
1940;Listed monuments total;Alkmaar en omgeving (CR);1980;538
1941;Listed monuments total;Alkmaar en omgeving (CR);1981;539
1942;Listed monuments total;Alkmaar en omgeving (CR);1982;539
1943;Listed monuments total;Alkmaar en omgeving (CR);1983;539
1944;Listed monuments total;Alkmaar en omgeving (CR);1984;540
1945;Listed monuments total;Alkmaar en omgeving (CR);1985;557
1946;Listed monuments total;Alkmaar en omgeving (CR);1986;558
1947;Listed monuments total;Alkmaar en omgeving (CR);1987;558
1948;Listed monuments total;Alkmaar en omgeving (CR);1988;558
1949;Listed monuments total;Alkmaar en omgeving (CR);1989;559
1950;Listed monuments total;Alkmaar en omgeving (CR);1990;560
1951;Listed monuments total;Alkmaar en omgeving (CR);1991;560
1952;Listed monuments total;Alkmaar en omgeving (CR);1992;560
1953;Listed monuments total;Alkmaar en omgeving (CR);1993;560
1954;Listed monuments total;Alkmaar en omgeving (CR);1994;560
1955;Listed monuments total;Alkmaar en omgeving (CR);1995;560
1956;Listed monuments total;Alkmaar en omgeving (CR);1996;563
1957;Listed monuments total;Alkmaar en omgeving (CR);1997;587
1958;Listed monuments total;Alkmaar en omgeving (CR);1998;587
1959;Listed monuments total;Alkmaar en omgeving (CR);1999;587
1960;Listed monuments total;Alkmaar en omgeving (CR);2000;608
1961;Listed monuments total;Alkmaar en omgeving (CR);2001;670
1962;Listed monuments total;Alkmaar en omgeving (CR);2002;736
1963;Listed monuments total;Alkmaar en omgeving (CR);2003;737
1964;Listed monuments total;Alkmaar en omgeving (CR);2004;751
1965;Listed monuments total;Alkmaar en omgeving (CR);2005;751
1966;Listed monuments total;Alkmaar en omgeving (CR);2006;751
1967;Listed monuments total;Alkmaar en omgeving (CR);2007;751
1968;Listed monuments total;Alkmaar en omgeving (CR);2008;770
1969;Listed monuments total;Alkmaar en omgeving (CR);2009;773
1970;Listed monuments total;Alkmaar en omgeving (CR);2010;773
1971;Listed monuments total;Alkmaar en omgeving (CR);2011;773
1972;Listed monuments total;Alkmaar en omgeving (CR);2012;773
1973;Listed monuments total;Alkmaar en omgeving (CR);2013;773
1974;Listed monuments total;Alkmaar en omgeving (CR);2014;773
1975;Listed monuments total;Alkmaar en omgeving (CR);2015;773
1976;Listed monuments total;Alkmaar en omgeving (CR);2016;773
1977;Listed monuments total;Alkmaar en omgeving (CR);2017;773
1978;Listed monuments total;Alkmaar en omgeving (CR);2018;773
1979;Listed monuments total;Alkmaar en omgeving (CR);2019;773
1980;Listed monuments total;IJmond (CR);1965;0
1981;Listed monuments total;IJmond (CR);1966;0
1982;Listed monuments total;IJmond (CR);1967;35
1983;Listed monuments total;IJmond (CR);1968;35
1984;Listed monuments total;IJmond (CR);1969;35
1985;Listed monuments total;IJmond (CR);1970;35
1986;Listed monuments total;IJmond (CR);1971;35
1987;Listed monuments total;IJmond (CR);1972;35
1988;Listed monuments total;IJmond (CR);1973;81
1989;Listed monuments total;IJmond (CR);1974;81
1990;Listed monuments total;IJmond (CR);1975;84
1991;Listed monuments total;IJmond (CR);1976;85
1992;Listed monuments total;IJmond (CR);1977;88
1993;Listed monuments total;IJmond (CR);1978;89
1994;Listed monuments total;IJmond (CR);1979;92
1995;Listed monuments total;IJmond (CR);1980;92
1996;Listed monuments total;IJmond (CR);1981;94
1997;Listed monuments total;IJmond (CR);1982;96
1998;Listed monuments total;IJmond (CR);1983;96
1999;Listed monuments total;IJmond (CR);1984;97
2000;Listed monuments total;IJmond (CR);1985;100
2001;Listed monuments total;IJmond (CR);1986;100
2002;Listed monuments total;IJmond (CR);1987;100
2003;Listed monuments total;IJmond (CR);1988;100
2004;Listed monuments total;IJmond (CR);1989;100
2005;Listed monuments total;IJmond (CR);1990;100
2006;Listed monuments total;IJmond (CR);1991;107
2007;Listed monuments total;IJmond (CR);1992;107
2008;Listed monuments total;IJmond (CR);1993;108
2009;Listed monuments total;IJmond (CR);1994;108
2010;Listed monuments total;IJmond (CR);1995;109
2011;Listed monuments total;IJmond (CR);1996;109
2012;Listed monuments total;IJmond (CR);1997;109
2013;Listed monuments total;IJmond (CR);1998;134
2014;Listed monuments total;IJmond (CR);1999;136
2015;Listed monuments total;IJmond (CR);2000;141
2016;Listed monuments total;IJmond (CR);2001;211
2017;Listed monuments total;IJmond (CR);2002;218
2018;Listed monuments total;IJmond (CR);2003;218
2019;Listed monuments total;IJmond (CR);2004;257
2020;Listed monuments total;IJmond (CR);2005;257
2021;Listed monuments total;IJmond (CR);2006;278
2022;Listed monuments total;IJmond (CR);2007;278
2023;Listed monuments total;IJmond (CR);2008;278
2024;Listed monuments total;IJmond (CR);2009;278
2025;Listed monuments total;IJmond (CR);2010;278
2026;Listed monuments total;IJmond (CR);2011;278
2027;Listed monuments total;IJmond (CR);2012;279
2028;Listed monuments total;IJmond (CR);2013;281
2029;Listed monuments total;IJmond (CR);2014;284
2030;Listed monuments total;IJmond (CR);2015;285
2031;Listed monuments total;IJmond (CR);2016;285
2032;Listed monuments total;IJmond (CR);2017;285
2033;Listed monuments total;IJmond (CR);2018;285
2034;Listed monuments total;IJmond (CR);2019;285
2035;Listed monuments total;Agglomeratie Haarlem (CR);1965;0
2036;Listed monuments total;Agglomeratie Haarlem (CR);1966;0
2037;Listed monuments total;Agglomeratie Haarlem (CR);1967;0
2038;Listed monuments total;Agglomeratie Haarlem (CR);1968;0
2039;Listed monuments total;Agglomeratie Haarlem (CR);1969;919
2040;Listed monuments total;Agglomeratie Haarlem (CR);1970;919
2041;Listed monuments total;Agglomeratie Haarlem (CR);1971;930
2042;Listed monuments total;Agglomeratie Haarlem (CR);1972;935
2043;Listed monuments total;Agglomeratie Haarlem (CR);1973;1035
2044;Listed monuments total;Agglomeratie Haarlem (CR);1974;1050
2045;Listed monuments total;Agglomeratie Haarlem (CR);1975;1055
2046;Listed monuments total;Agglomeratie Haarlem (CR);1976;1068
2047;Listed monuments total;Agglomeratie Haarlem (CR);1977;1068
2048;Listed monuments total;Agglomeratie Haarlem (CR);1978;1072
2049;Listed monuments total;Agglomeratie Haarlem (CR);1979;1074
2050;Listed monuments total;Agglomeratie Haarlem (CR);1980;1081
2051;Listed monuments total;Agglomeratie Haarlem (CR);1981;1081
2052;Listed monuments total;Agglomeratie Haarlem (CR);1982;1081
2053;Listed monuments total;Agglomeratie Haarlem (CR);1983;1081
2054;Listed monuments total;Agglomeratie Haarlem (CR);1984;1097
2055;Listed monuments total;Agglomeratie Haarlem (CR);1985;1097
2056;Listed monuments total;Agglomeratie Haarlem (CR);1986;1099
2057;Listed monuments total;Agglomeratie Haarlem (CR);1987;1115
2058;Listed monuments total;Agglomeratie Haarlem (CR);1988;1116
2059;Listed monuments total;Agglomeratie Haarlem (CR);1989;1119
2060;Listed monuments total;Agglomeratie Haarlem (CR);1990;1164
2061;Listed monuments total;Agglomeratie Haarlem (CR);1991;1168
2062;Listed monuments total;Agglomeratie Haarlem (CR);1992;1169
2063;Listed monuments total;Agglomeratie Haarlem (CR);1993;1169
2064;Listed monuments total;Agglomeratie Haarlem (CR);1994;1171
2065;Listed monuments total;Agglomeratie Haarlem (CR);1995;1171
2066;Listed monuments total;Agglomeratie Haarlem (CR);1996;1174
2067;Listed monuments total;Agglomeratie Haarlem (CR);1997;1175
2068;Listed monuments total;Agglomeratie Haarlem (CR);1998;1245
2069;Listed monuments total;Agglomeratie Haarlem (CR);1999;1411
2070;Listed monuments total;Agglomeratie Haarlem (CR);2000;1436
2071;Listed monuments total;Agglomeratie Haarlem (CR);2001;1455
2072;Listed monuments total;Agglomeratie Haarlem (CR);2002;1468
2073;Listed monuments total;Agglomeratie Haarlem (CR);2003;1481
2074;Listed monuments total;Agglomeratie Haarlem (CR);2004;1496
2075;Listed monuments total;Agglomeratie Haarlem (CR);2005;1526
2076;Listed monuments total;Agglomeratie Haarlem (CR);2006;1552
2077;Listed monuments total;Agglomeratie Haarlem (CR);2007;1552
2078;Listed monuments total;Agglomeratie Haarlem (CR);2008;1552
2079;Listed monuments total;Agglomeratie Haarlem (CR);2009;1552
2080;Listed monuments total;Agglomeratie Haarlem (CR);2010;1564
2081;Listed monuments total;Agglomeratie Haarlem (CR);2011;1569
2082;Listed monuments total;Agglomeratie Haarlem (CR);2012;1569
2083;Listed monuments total;Agglomeratie Haarlem (CR);2013;1569
2084;Listed monuments total;Agglomeratie Haarlem (CR);2014;1569
2085;Listed monuments total;Agglomeratie Haarlem (CR);2015;1572
2086;Listed monuments total;Agglomeratie Haarlem (CR);2016;1573
2087;Listed monuments total;Agglomeratie Haarlem (CR);2017;1573
2088;Listed monuments total;Agglomeratie Haarlem (CR);2018;1573
2089;Listed monuments total;Agglomeratie Haarlem (CR);2019;1570
2090;Listed monuments total;Zaanstreek (CR);1965;0
2091;Listed monuments total;Zaanstreek (CR);1966;0
2092;Listed monuments total;Zaanstreek (CR);1967;67
2093;Listed monuments total;Zaanstreek (CR);1968;104
2094;Listed monuments total;Zaanstreek (CR);1969;157
2095;Listed monuments total;Zaanstreek (CR);1970;157
2096;Listed monuments total;Zaanstreek (CR);1971;158
2097;Listed monuments total;Zaanstreek (CR);1972;160
2098;Listed monuments total;Zaanstreek (CR);1973;162
