ID;Periods;OutputBasicPrices_1;IntermediateConsumption_2;TotalGrossValueAdded_3;AAgricultureForestryAndFishing_4;BEIndustryNoConstructionEnergy_5;BMiningAndQuarrying_6;CManufacturing_7;DElectricityAndGasSupply_8;EWaterSupplyAndWasteManagement_9;FConstruction_10;GITradeTransportHotelsCatering_11;JInformationAndCommunication_12;KFinancialInstitutions_13;LRealEstateActivities_14;MNBusinessServices_15;OQGovernmentAndCare_16;RUCultureRecreationOtherServices_17;TaxesLessSubsidiesOnProducts_18;TaxesOnProducts_19;SubsidiesOnProducts_20;DifferenceImputedAndPaidVAT_21;GrossDomesticProduct_22;OutputBasicPrices_23;IntermediateConsumption_24;TotalGrossValueAdded_25;AAgricultureForestryAndFishing_26;BEIndustryNoConstructionEnergy_27;BMiningAndQuarrying_28;CManufacturing_29;DElectricityAndGasSupply_30;EWaterSupplyAndWasteManagement_31;FConstruction_32;GITradeTransportHotelsCatering_33;JInformationAndCommunication_34;KFinancialInstitutions_35;LRealEstateActivities_36;MNBusinessServices_37;OQGovernmentAndCare_38;RUCultureRecreationOtherServices_39;TaxesLessSubsidiesOnProducts_40;TaxesOnProducts_41;SubsidiesOnProducts_42;DifferenceImputedAndPaidVAT_43;GrossDomesticProduct_44;OutputBasicPrices_45;IntermediateConsumption_46;TotalGrossValueAdded_47;AAgricultureForestryAndFishing_48;BEIndustryNoConstructionEnergy_49;BMiningAndQuarrying_50;CManufacturing_51;DElectricityAndGasSupply_52;EWaterSupplyAndWasteManagement_53;FConstruction_54;GITradeTransportHotelsCatering_55;JInformationAndCommunication_56;KFinancialInstitutions_57;LRealEstateActivities_58;MNBusinessServices_59;OQGovernmentAndCare_60;RUCultureRecreationOtherServices_61;TaxesLessSubsidiesOnProducts_62;TaxesOnProducts_63;SubsidiesOnProducts_64;DifferenceImputedAndPaidVAT_65;GrossDomesticProduct_66;OutputBasicPrices_67;IntermediateConsumption_68;TotalGrossValueAdded_69;AAgricultureForestryAndFishing_70;BEIndustryNoConstructionEnergy_71;BMiningAndQuarrying_72;CManufacturing_73;DElectricityAndGasSupply_74;EWaterSupplyAndWasteManagement_75;FConstruction_76;GITradeTransportHotelsCatering_77;JInformationAndCommunication_78;KFinancialInstitutions_79;LRealEstateActivities_80;MNBusinessServices_81;OQGovernmentAndCare_82;RUCultureRecreationOtherServices_83;TaxesLessSubsidiesOnProducts_84;TaxesOnProducts_85;SubsidiesOnProducts_86;DifferenceImputedAndPaidVAT_87;GrossDomesticProduct_88;TotalCompensationOfEmployees_89;WagesAndSalaries_90;EmployersSocialContributions_91;TaxesLessSubsidies_92;TaxesOnProductionAndImports_93;Subsidies_94;Gross_95;ConsumptionOfFixedCapital_96;Net_97;GrossDomesticProduct_98;TotalCompensationOfEmployees_99;WagesAndSalaries_100;EmployersSocialContributions_101;TaxesLessSubsidies_102;TaxesOnProductionAndImports_103;Subsidies_104;Gross_105;ConsumptionOfFixedCapital_106;Net_107;GrossDomesticProduct_108;TotalCompensationOfEmployees_109;WagesAndSalaries_110;EmployersSocialContributions_111;TaxesLessSubsidies_112;TaxesOnProductionAndImports_113;Subsidies_114;Gross_115;ConsumptionOfFixedCapital_116;Net_117;GrossDomesticProduct_118;TotalCompensationOfEmployees_119;WagesAndSalaries_120;EmployersSocailContributions_121;TaxesLessSubsidies_122;TaxesOnProductionAndImports_123;Subsidies_124;Gross_125;ConsumptionOfFixedCapital_126;Net_127;GrossDomesticProduct_128;TotalGrossNationalFinalExpenditure_129;Total_130;Households_131;GeneralGovernment_132;Total_133;CorporationsAndHouseholds_134;GeneralGovernment_135;ChangesInInventories_136;Total_137;Goods_138;Services_139;Total_140;Goods_141;Services_142;GrossDomesticProduct_143;TotalGrossNationalFinalExpenditure_144;Total_145;Households_146;GeneralGovernment_147;Total_148;CorporationsAndHouseholds_149;GeneralGovernment_150;ChangesInInventories_151;Total_152;Goods_153;Services_154;Total_155;Goods_156;Services_157;GrossDomesticProduct_158;TotalGrossNationalFinalExpenditure_159;Total_160;Households_161;GeneralGovernment_162;Total_163;CorporationsAndHouseholds_164;GeneralGovernment_165;ChangesInInventories_166;Total_167;Goods_168;Services_169;Total_170;Goods_171;Services_172;GrossDomesticProduct_173;TotalGrossNationalFinalExpenditure_174;Total_175;Households_176;GeneralGovernment_177;Total_178;CorporationsAndHouseholds_179;GeneralGovernment_180;ChangesInInventories_181;Total_182;Goods_183;Services_184;Total_185;Goods_186;Services_187;GrossDomesticProduct_188
29;1998;685191;361164;324027;9252;63650;7079;49436;4224;2911;17553;68591;14040;19478;26587;35633;61180;8063;37337;40864;3527;1100;362464;838539;447099;391624;8004;73690;13614;52765;4907;3365;24464;75190;13721;29153;30458;45167;82977;10447;49743;54209;4404;;441894;4.7;5.6;3.8;-6.1;1.5;-5.7;3.0;0.3;-0.6;3.3;6.6;18.2;5.9;2.3;4.8;1.5;3.1;5.3;4.8;0.5;;3.9;81.7;80.8;82.7;115.6;86.4;52.0;93.7;86.1;86.5;71.7;91.2;102.3;66.8;87.3;78.9;73.7;77.2;75.1;75.4;80.1;;82.0;184054;148291;35763;38233;44472;6239;140177;52383;87794;362464;;;;50695;58496;7786;;59679;;441894;;;;3.1;4.8;16.2;;5.4;;3.9;;;;75.4;76.0;80.1;;87.8;;82.0;345500;263029;182540;80489;80461;69727;10734;2010;226766;177540;49226;209802;159826;49976;362464;418238;323171;219136;104059;92376;80264;12116;2400;242695;184818;58115;219592;159884;60139;441894;5.1;4.3;5.1;2.5;6.8;6.7;7.4;;6.8;6.9;6.3;9.0;9.1;8.7;3.9;82.6;81.4;83.3;77.3;87.1;86.9;88.6;;93.4;96.1;84.7;95.5;100.0;83.1;82.0
30;1999;729542;385207;344335;8756;64366;6270;50570;4240;3286;19379;73853;15940;21336;28401;39011;64795;8498;41192;45096;3904;666;386193;878815;469576;409455;8465;75953;13819;54548;4773;3704;25868;79653;16199;30233;31229;48227;83879;10678;52627;57118;4439;;462594;4.8;5.0;4.6;5.8;3.1;1.5;3.4;-2.7;10.1;5.7;5.9;18.1;3.7;2.5;6.8;1.1;2.2;5.8;5.4;0.8;;4.7;83.0;82.0;84.1;103.4;84.7;45.4;92.7;88.8;88.7;74.9;92.7;98.4;70.6;90.9;80.9;77.2;79.6;78.3;79.0;87.9;;83.5;197344;159361;37983;42035;49114;7079;146814;56326;90488;386193;;;;53355;61757;8376;;63433;;462594;;;;5.2;5.6;7.6;;6.3;;4.7;;;;78.8;79.5;84.5;;88.8;;83.5;369932;281641;195774;85867;88383;76732;11651;-92;243457;188543;54914;227196;171471;55725;386193;438567;337771;230668;107003;100379;87285;13100;33;263768;200268;63839;240006;174700;65787;462594;4.9;4.5;5.3;2.8;8.7;8.7;8.1;;8.7;8.4;9.8;9.3;9.3;9.4;4.7;84.4;83.4;84.9;80.2;88.0;87.9;88.9;;92.3;94.1;86.0;94.7;98.2;84.7;83.5
31;2000;806161;432746;373415;9359;71271;9050;54655;4060;3506;21281;79571;17779;22675;30701;42201;69390;9187;43833;48060;4227;712;417960;920052;494521;425829;8618;80232;13176;58432;4979;3855;26783;83634;18797;29513;31895;50339;85116;11043;54445;58918;4437;;480825;4.7;5.3;4.0;1.8;5.6;-4.7;7.1;4.3;4.1;3.5;5.0;16.0;-2.4;2.1;4.4;1.5;3.4;3.5;3.2;-0.1;;3.9;87.6;87.5;87.7;108.6;88.8;68.7;93.5;81.5;91.0;79.5;95.1;94.6;76.8;96.3;83.8;81.5;83.2;80.5;81.6;95.3;;86.9;211803;170718;41085;44975;52381;7406;161182;61308;99874;417960;;;;55389;63710;8318;;67098;;480825;;;;3.8;3.2;-0.7;;5.8;;3.9;;;;81.2;82.2;89.0;;91.4;;86.9;394776;302694;210823;91871;91652;78540;13112;430;292916;232334;60582;269732;208558;61174;417960;450575;348532;239268;109089;100979;86497;14472;760;299256;230975;68310;269229;199392;69834;480825;2.7;3.2;3.7;1.9;0.6;-0.9;10.5;;13.5;15.3;7.0;12.2;14.1;6.2;3.9;87.6;86.8;88.1;84.2;90.8;90.8;90.6;;97.9;100.6;88.7;100.2;104.6;87.6;86.9
32;2001;853164;455608;397556;9614;74402;11078;55228;4448;3648;23089;83016;19549;24345;31688;46207;75671;9975;49167;53104;3937;1008;447731;937566;504072;433798;8193;81151;14115;58420;5214;3845;27279;83667;20684;29672;32418;52365;87226;11499;55887;60289;4392;;490085;1.9;1.9;1.9;-4.9;1.1;7.1;0.0;4.7;-0.3;1.9;0.0;10.0;0.5;1.6;4.0;2.5;4.1;2.6;2.3;-1.0;;1.9;91.0;90.4;91.6;117.3;91.7;78.5;94.5;85.3;94.9;84.6;99.2;94.5;82.0;97.7;88.2;86.8;86.7;88.0;88.1;89.6;;91.4;227390;182607;44783;50145;57892;7747;170196;65865;104331;447731;;;;56699;65503;8778;;69812;;490085;;;;2.4;2.8;5.5;;4.0;;1.9;;;;88.4;88.4;88.3;;94.3;;91.4;421820;325629;224244;101385;94673;80110;14563;1518;301216;236721;64495;275305;209757;65548;447731;460842;357792;243639;114066;101143;85588;15548;1643;305044;235065;70059;275829;203493;72486;490085;2.3;2.7;1.8;4.6;0.2;-1.1;7.4;;1.9;1.8;2.6;2.5;2.1;3.8;1.9;91.5;91.0;92.0;88.9;93.6;93.6;93.7;;98.7;100.7;92.1;99.8;103.1;90.4;91.4
33;2002;870427;456053;414374;8988;75196;9964;55516;5879;3837;24159;87054;21109;26908;31192;45821;83286;10661;49706;53886;4180;1134;465214;930469;496094;434620;8048;82079;14180;58442;5943;4010;26426;82521;21577;30185;32811;49802;90027;11631;55439;59556;4112;;490459;-0.8;-1.6;0.2;-1.8;1.1;0.5;0.0;14.0;4.3;-3.1;-1.4;4.3;1.7;1.2;-4.9;3.2;1.2;-0.8;-1.2;-6.4;;0.1;93.5;91.9;95.3;111.7;91.6;70.3;95.0;98.9;95.7;91.4;105.5;97.8;89.1;95.1;92.0;92.5;91.7;89.7;90.5;101.7;;94.9;238825;189544;49281;50731;58890;8159;175658;69427;106231;465214;;;;56347;64914;8542;;71844;;490459;;;;-0.6;-0.9;-2.7;;2.9;;0.1;;;;90.0;90.7;95.5;;96.6;;94.9;434876;343289;233043;110246;92862;76437;16425;-1275;298450;232123;66327;268112;200904;67208;465214;458947;363717;245897;117794;96543;79404;17130;-1346;307867;238058;69813;276541;204216;72449;490459;-0.4;1.7;0.9;3.3;-4.5;-7.2;10.2;;0.9;1.3;-0.4;0.3;0.4;-0.1;0.1;94.8;94.4;94.8;93.6;96.2;96.3;95.9;;96.9;97.5;95.0;97.0;98.4;92.8;94.9
34;2003;883492;458236;425256;9300;77222;10395;56499;6238;4090;24169;85865;22338;30888;30337;45689;88567;10881;50978;55414;4436;711;476945;924808;488132;436743;8401;81180;13740;57917;5839;4102;25127;83782;22284;31609;32997;47988;92306;11339;55068;59298;4209;;492105;-0.6;-1.6;0.5;4.4;-1.1;-3.1;-0.9;-1.8;2.3;-4.9;1.5;3.3;4.7;0.6;-3.6;2.5;-2.5;-0.7;-0.4;2.4;;0.3;95.5;93.9;97.4;110.7;95.1;75.7;97.6;106.8;99.7;96.2;102.5;100.2;97.7;91.9;95.2;95.9;96.0;92.6;93.5;105.4;;96.9;245752;193799;51953;52345;60464;8119;178848;71461;107387;476945;;;;56314;64548;8225;;72981;;492105;;;;-0.1;-0.6;-3.7;;1.6;;0.3;;;;93.0;93.7;98.7;;97.9;;96.9;446985;354896;238103;116793;92848;75916;16932;-759;300498;233263;67235;270538;202221;68317;476945;460943;366658;245449;121213;95049;77837;17204;-768;312589;243186;69368;281603;210645;70920;492105;0.4;0.8;-0.2;2.9;-1.5;-2.0;0.4;;1.5;2.2;-0.6;1.8;3.1;-2.1;0.3;97.0;96.8;97.0;96.4;97.7;97.5;98.4;;96.1;95.9;96.9;96.1;96.0;96.3;96.9
35;2004;913856;476982;436874;8671;79959;11267;58850;5765;4077;24122;87967;22530;32221;31984;47061;91230;11129;53876;58040;4164;434;491184;942523;495620;446904;8872;84552;15222;60113;5877;4005;24487;87083;22424;34053;33132;48133;93069;11209;55756;59881;4122;;503111;1.9;1.5;2.3;5.6;4.2;10.8;3.8;0.7;-2.4;-2.5;3.9;0.6;7.7;0.4;0.3;0.8;-1.1;1.2;1.0;-2.1;;2.2;97.0;96.2;97.8;97.7;94.6;74.0;97.9;98.1;101.8;98.5;101.0;100.5;94.6;96.5;97.8;98.0;99.3;96.6;96.9;101.0;;97.6;251030;195648;55382;55042;63301;8259;185112;73498;111614;491184;;;;56812;65231;8404;;74332;;503111;;;;0.9;1.1;2.2;;1.8;;2.2;;;;96.9;97.0;98.3;;98.9;;97.6;454967;361723;242781;118942;92426;76610;15816;818;326111;256089;70022;289894;220710;69184;491184;463416;368982;247856;121125;93553;77624;15931;898;337223;265575;71644;297647;227671;69954;503111;0.5;0.6;1.0;-0.1;-1.6;-0.3;-7.4;;7.9;9.2;3.3;5.7;8.1;-1.4;2.2;98.2;98.0;98.0;98.2;98.8;98.7;99.3;;96.7;96.4;97.7;97.4;96.9;98.9;97.6
36;2005;962007;505825;456182;8826;84813;12532;61405;6933;3943;25264;90548;23372;35093;33212;50029;93645;11380;56587;60693;4106;638;513407;962007;505825;456182;8826;84813;12532;61405;6933;3943;25264;90548;23372;35093;33212;50029;93645;11380;56587;60693;4106;;513407;2.1;2.1;2.1;-0.5;0.3;-17.7;2.1;18.0;-1.5;3.2;4.0;4.2;3.1;0.2;3.9;0.6;1.5;1.5;1.4;-0.4;;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;254563;199011;55552;58801;66292;7491;200043;75709;124334;513407;;;;58801;66292;7491;;75709;;513407;;;;3.5;1.6;-10.9;;1.9;;2.0;;;;100.0;100.0;100.0;;100.0;;100.0;469642;372028;250343;121685;97016;80132;16884;598;357453;281867;75586;313688;241157;72531;513407;469642;372028;250343;121685;97016;80132;16884;598;357453;281867;75586;313688;241157;72531;513407;1.3;0.8;1.0;0.5;3.7;3.2;6.0;;6.0;6.1;5.5;5.4;5.9;3.7;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0
37;2006;1021783;542771;479012;9808;90763;15906;62743;8015;4099;26930;94644;24482;32415;37022;54933;96363;11652;61048;65217;4169;156;540216;996752;525376;471376;8747;86504;12201;63527;6757;4019;25860;95930;24721;36972;33234;53293;94504;11611;58793;62950;4157;;530833;3.6;3.9;3.3;-0.9;2.0;-2.6;3.5;-2.5;1.9;2.4;5.9;5.8;5.4;0.1;6.5;0.9;2.0;3.9;3.7;1.2;;3.4;102.5;103.3;101.6;112.1;104.9;130.4;98.8;118.6;102.0;104.1;98.7;99.0;87.7;111.4;103.1;102.0;100.4;103.8;103.6;100.3;;101.8;264925;207545;57380;63188;70859;7671;212103;78594;133509;540216;;;;60949;68594;7645;;77184;;530833;;;;3.7;3.5;2.1;;1.9;;3.4;;;;103.7;103.3;100.3;;101.8;;101.8;498410;390317;254875;135442;106373;88536;17837;1720;393475;316270;77205;351669;274775;76894;540216;488777;382772;249482;133290;104275;86707;17568;1730;383443;306425;77018;341387;265356;76031;530833;4.1;2.9;-0.3;9.5;7.5;8.2;4.1;;7.3;8.7;1.9;8.8;10.0;4.8;3.4;102.0;102.0;102.2;101.6;102.0;102.1;101.5;;102.6;103.2;100.2;103.0;103.5;101.1;101.8
38;2007;1085522;577872;507650;9738;96280;15637;67416;9016;4211;28914;101033;26200;30014;41230;60868;101224;12149;64718;68385;3667;-595;571773;1037354;547245;490102;9088;89899;12183;67282;6616;4062;27301;101209;26253;38608;33331;56700;96003;11887;60836;65023;4184;;551645;4.1;4.2;4.0;3.9;3.9;-0.2;5.9;-2.1;1.1;5.6;5.5;6.2;4.4;0.3;6.4;1.6;2.4;3.5;3.3;0.6;;3.9;104.6;105.6;103.6;107.2;107.1;128.4;100.2;136.3;103.7;105.9;99.8;99.8;77.7;123.7;107.4;105.4;102.2;106.4;105.2;87.6;;103.6;280309;220159;60150;66178;74333;8155;225286;82072;143214;571773;;;;63434;70812;7361;;79140;;551645;;;;4.1;3.2;-3.7;;2.5;;3.9;;;;104.3;105.0;110.8;;103.7;;103.6;524778;407971;264099;143872;114340;95354;18986;2467;424229;342311;81918;377234;298650;78584;571773;504296;391844;253864;137988;110035;91727;18307;2415;407966;326477;81476;360618;283487;77054;551645;3.2;2.4;1.8;3.5;5.5;5.8;4.2;;6.4;6.5;5.8;5.6;6.8;1.3;3.9;104.1;104.1;104.0;104.3;103.9;104.0;103.7;;104.0;104.9;100.5;104.6;105.3;102.0;103.6
39;2008;1149443;621204;528239;8837;103046;21541;67700;9445;4360;30956;102011;26376;30058;42434;64800;107168;12553;65797;69296;3499;445;594481;1057786;557514;500273;9285;90570;13174;66292;6853;4173;28177;101700;26906;41116;33475;59009;98740;11930;60963;65070;4085;;561597;2.0;1.9;2.1;2.2;0.7;8.1;-1.5;3.6;2.7;3.2;0.5;2.5;6.5;0.4;4.1;2.9;0.4;0.2;0.1;-2.4;;1.8;108.7;111.4;105.6;95.2;113.8;163.5;102.1;137.8;104.5;109.9;100.3;98.0;73.1;126.8;109.8;108.5;105.2;107.9;106.5;85.7;;105.9;294716;230750;63966;67486;75719;8233;232279;85412;146867;594481;;;;63484;70904;7402;;80778;;561597;;;;0.1;0.1;0.6;;2.1;;1.8;;;;106.3;106.8;111.2;;105.7;;105.9;545086;423230;270417;152813;121849;101314;20535;7;453442;362462;90980;404047;319259;84788;594481;514398;398967;257164;141808;114962;95661;19301;470;416197;330377;85922;368988;288819;80132;561597;2.0;1.8;1.3;2.8;4.5;4.3;5.4;;2.0;1.2;5.5;2.3;1.9;4.0;1.8;106.0;106.1;105.2;107.8;106.0;105.9;106.4;;108.9;109.7;105.9;109.5;110.5;105.8;105.9
40;2009;1096415;585563;510852;7898;92840;15556;60025;12895;4364;30678;94259;25022;38022;33161;61751;114103;13118;59608;63324;3716;2775;573235;1018240;534600;483757;9700;84246;12494;60188;6933;4212;26636;94751;25869;40678;33365;55078;102374;11807;56892;61157;4350;;541000;-3.7;-4.1;-3.3;4.5;-7.0;-5.2;-9.2;1.2;0.9;-5.5;-6.8;-3.9;-1.1;-0.3;-6.7;3.7;-1.0;-6.7;-6.0;6.5;;-3.7;107.7;109.5;105.6;81.4;110.2;124.5;99.7;186.0;103.6;115.2;99.5;96.7;93.5;99.4;112.1;111.5;111.1;104.8;103.5;85.4;;106.0;298488;233570;64918;60170;70147;9977;214577;87974;126603;573235;;;;59617;67151;7493;;82187;;541000;;;;-6.1;-5.3;1.2;;1.7;;-3.7;;;;100.9;104.5;133.1;;107.0;;106.0;533168;427677;263537;164140;108774;87234;21540;-3283;393050;300908;92142;352983;264680;88303;573235;499981;400861;251867;148841;101148;80985;20148;-2016;383967;299511;84741;342881;261614;81536;541000;-2.8;0.5;-2.1;5.0;-12.0;-15.3;4.4;;-7.7;-9.3;-1.4;-7.1;-9.4;1.8;-3.7;106.6;106.7;104.6;110.3;107.5;107.7;106.9;;102.4;100.5;108.7;102.9;101.2;108.3;106.0
41;2010;1137237;613117;524120;9367;96966;16109;63879;12477;4501;28021;97586;25205;43679;32222;59867;117784;13423;62796;66462;3666;-127;586789;1026640;534925;491985;9641;90554;14286;63976;7435;4221;23810;97760;25646;41741;33844;53590;104721;11670;56720;60946;4305;;549265;0.8;0.1;1.7;-0.6;7.5;14.3;6.3;7.2;0.2;-10.6;3.2;-0.9;2.6;1.4;-2.7;2.3;-1.2;-0.3;-0.3;-1.0;;1.5;110.8;114.6;106.5;97.2;107.1;112.8;99.8;167.8;106.6;117.7;99.8;98.3;104.6;95.2;111.7;112.5;115.0;110.7;109.1;85.2;;106.8;300491;234552;65939;63454;73549;10095;222844;89725;133119;586789;;;;59473;67091;7556;;82764;;549265;;;;-0.2;-0.1;0.8;;0.7;;1.5;;;;106.7;109.6;133.6;;108.4;;106.8;539506;435169;268199;166970;101885;80548;21337;2452;461717;361676;100041;414434;319826;94608;586789;499513;402329;252611;149556;93620;73827;19788;3783;428468;338248;90844;378139;292769;85946;549265;-0.1;0.4;0.3;0.5;-7.4;-8.8;-1.8;;11.6;12.9;7.2;10.3;11.9;5.4;1.5;108.0;108.2;106.2;111.6;108.8;109.1;107.8;;107.8;106.9;110.1;109.6;109.2;110.1;106.8
42;2011;1183191;646573;536618;8743;102596;18777;68047;11192;4580;28986;100610;25232;42735;34640;60201;119206;13669;61425;64905;3480;1004;599047;1034735;537266;497884;9784;90805;13325;66030;6991;4265;25048;100240;25742;41044;34467;53639;106503;11605;56299;60379;4128;;554453;0.8;0.4;1.2;1.5;0.3;-6.7;3.2;-6.0;1.0;5.2;2.5;0.4;-1.7;1.8;0.1;1.7;-0.6;-0.7;-0.9;-4.1;;0.9;114.3;120.3;107.8;89.4;113.0;140.9;103.1;160.1;107.4;115.7;100.4;98.0;104.1;100.5;112.2;111.9;117.8;109.1;107.5;84.3;;108.0;306215;238903;67312;62548;72147;9599;230284;88944;141340;599047;;;;59306;66509;7211;;82745;;554453;;;;-0.3;-0.9;-4.6;;0.0;;0.9;;;;105.5;108.5;133.1;;107.5;;108.0;547623;439093;271763;167330;106866;86837;20029;1664;502393;397068;105325;450969;351874;99095;599047;503366;399930;249905;149806;99290;80855;18398;4359;445822;352650;93841;393941;306422;88131;554453;0.8;-0.6;-1.1;0.2;6.1;9.5;-7.0;;4.1;4.3;3.3;4.2;4.7;2.5;0.9;108.8;109.8;108.7;111.7;107.6;107.4;108.9;;112.7;112.6;112.2;114.5;114.8;112.4;108.0
43;2012;1195892;657855;538037;9072;104254;20652;67968;11131;4503;26551;100150;24544;46385;31551;59499;122210;13821;60261;63588;3327;1040;599338;1021785;530055;492196;9811;89957;13294;65368;6853;4256;23006;99131;25265;39822;34982;53019;106803;11489;55180;59061;3894;;547538;-1.3;-1.3;-1.1;0.3;-0.9;-0.2;-1.0;-2.0;-0.2;-8.2;-1.1;-1.9;-3.0;1.5;-1.2;0.3;-1.0;-2.0;-2.2;-5.7;;-1.2;117.0;124.1;109.3;92.5;115.9;155.4;104.0;162.4;105.8;115.4;101.0;97.1;116.5;90.2;112.2;114.4;120.3;109.2;107.7;85.4;;109.5;309190;239022;70168;62174;71056;8882;227974;89044;138930;599338;;;;58191;64720;6637;;83031;;547538;;;;-1.9;-2.7;-8.0;;0.3;;-1.2;;;;106.8;109.8;133.8;;107.2;;109.5;548989;443908;273294;170614;102007;82010;19997;3074;527583;420358;107225;477234;374386;102848;599338;495488;394790;245801;148749;95312;77115;18156;5599;460127;365203;95611;407063;317540;90135;547538;-1.6;-1.3;-1.6;-0.7;-4.0;-4.6;-1.3;;3.2;3.6;1.9;3.3;3.6;2.3;-1.2;110.8;112.4;111.2;114.7;107.0;106.3;110.1;;114.7;115.1;112.1;117.2;117.9;114.1;109.5
