ID;Sex;Characteristics;Periods;VictimsMurderManslaughter_1;VictimsMurderManslaughterRelative_2
548;Male;Age: 30 to 39 years;2012;19;18.4
549;Male;Age: 30 to 39 years;2013;22;21.7
550;Male;Age: 30 to 39 years;2014;26;25.8
551;Male;Age: 30 to 39 years;2015;17;16.8
552;Male;Age: 30 to 39 years;2016;18;17.6
553;Male;Age: 30 to 39 years;2017;22;21.2
554;Male;Age: 30 to 39 years;2018;13;12.4
555;Male;Age: 30 to 39 years;2019;20;18.7
556;Male;Age: 30 to 39 years;2020;14;12.8
557;Male;Age: 30 to 39 years;2021;13;11.7
558;Male;Age: 30 to 39 years;2022;19;16.7
559;Male;Age: 30 to 39 years;2023;18;15.4
560;Male;Age: 40 to 49 years;1996;28;23.5
561;Male;Age: 40 to 49 years;1997;28;23.7
562;Male;Age: 40 to 49 years;1998;31;26.3
563;Male;Age: 40 to 49 years;1999;35;29.5
564;Male;Age: 40 to 49 years;2000;34;28.4
565;Male;Age: 40 to 49 years;2001;39;32.1
566;Male;Age: 40 to 49 years;2002;21;17.1
567;Male;Age: 40 to 49 years;2003;24;19.3
568;Male;Age: 40 to 49 years;2004;28;22.2
569;Male;Age: 40 to 49 years;2005;30;23.5
570;Male;Age: 40 to 49 years;2006;22;17.1
571;Male;Age: 40 to 49 years;2007;21;16.3
572;Male;Age: 40 to 49 years;2008;28;21.6
573;Male;Age: 40 to 49 years;2009;19;14.6
574;Male;Age: 40 to 49 years;2010;18;13.8
575;Male;Age: 40 to 49 years;2011;25;19.1
576;Male;Age: 40 to 49 years;2012;28;21.6
577;Male;Age: 40 to 49 years;2013;16;12.5
578;Male;Age: 40 to 49 years;2014;28;22.4
579;Male;Age: 40 to 49 years;2015;17;13.9
580;Male;Age: 40 to 49 years;2016;13;10.9
581;Male;Age: 40 to 49 years;2017;23;19.8
582;Male;Age: 40 to 49 years;2018;12;10.5
583;Male;Age: 40 to 49 years;2019;15;13.5
584;Male;Age: 40 to 49 years;2020;11;10.1
585;Male;Age: 40 to 49 years;2021;15;14.0
586;Male;Age: 40 to 49 years;2022;18;17.0
587;Male;Age: 40 to 49 years;2023;20;18.9
588;Male;Age: 50 to 59 years;1996;21;24.0
589;Male;Age: 50 to 59 years;1997;16;17.3
590;Male;Age: 50 to 59 years;1998;12;12.4
591;Male;Age: 50 to 59 years;1999;16;16.0
592;Male;Age: 50 to 59 years;2000;15;14.5
593;Male;Age: 50 to 59 years;2001;24;22.7
594;Male;Age: 50 to 59 years;2002;22;20.3
595;Male;Age: 50 to 59 years;2003;23;20.8
596;Male;Age: 50 to 59 years;2004;25;22.3
597;Male;Age: 50 to 59 years;2005;15;13.2
598;Male;Age: 50 to 59 years;2006;11;9.7
599;Male;Age: 50 to 59 years;2007;20;17.7
600;Male;Age: 50 to 59 years;2008;14;12.4
601;Male;Age: 50 to 59 years;2009;24;21.2
602;Male;Age: 50 to 59 years;2010;13;11.4
603;Male;Age: 50 to 59 years;2011;19;16.4
604;Male;Age: 50 to 59 years;2012;12;10.2
605;Male;Age: 50 to 59 years;2013;9;7.6
606;Male;Age: 50 to 59 years;2014;14;11.6
607;Male;Age: 50 to 59 years;2015;12;9.8
608;Male;Age: 50 to 59 years;2016;8;6.5
609;Male;Age: 50 to 59 years;2017;18;14.5
610;Male;Age: 50 to 59 years;2018;13;10.4
611;Male;Age: 50 to 59 years;2019;10;7.9
612;Male;Age: 50 to 59 years;2020;14;11.0
613;Male;Age: 50 to 59 years;2021;16;12.5
614;Male;Age: 50 to 59 years;2022;12;9.4
615;Male;Age: 50 to 59 years;2023;9;7.1
616;Male;Age: 60 years or older;1996;19;16.2
617;Male;Age: 60 years or older;1997;12;10.1
618;Male;Age: 60 years or older;1998;16;13.3
619;Male;Age: 60 years or older;1999;12;9.8
620;Male;Age: 60 years or older;2000;7;5.6
621;Male;Age: 60 years or older;2001;17;13.4
622;Male;Age: 60 years or older;2002;11;8.5
623;Male;Age: 60 years or older;2003;21;15.8
624;Male;Age: 60 years or older;2004;22;16.2
625;Male;Age: 60 years or older;2005;17;12.2
626;Male;Age: 60 years or older;2006;12;8.3
627;Male;Age: 60 years or older;2007;9;6.0
628;Male;Age: 60 years or older;2008;12;7.7
629;Male;Age: 60 years or older;2009;11;6.8
630;Male;Age: 60 years or older;2010;13;7.8
631;Male;Age: 60 years or older;2011;11;6.4
632;Male;Age: 60 years or older;2012;13;7.4
633;Male;Age: 60 years or older;2013;10;5.5
634;Male;Age: 60 years or older;2014;13;7.0
635;Male;Age: 60 years or older;2015;5;2.6
636;Male;Age: 60 years or older;2016;11;5.6
637;Male;Age: 60 years or older;2017;13;6.5
638;Male;Age: 60 years or older;2018;12;5.8
639;Male;Age: 60 years or older;2019;11;5.2
640;Male;Age: 60 years or older;2020;11;5.1
641;Male;Age: 60 years or older;2021;16;7.3
642;Male;Age: 60 years or older;2022;14;6.2
643;Male;Age: 60 years or older;2023;11;4.8
644;Male;Method hanging/strangulation/suffocation;1996;6;
645;Male;Method hanging/strangulation/suffocation;1997;13;
646;Male;Method hanging/strangulation/suffocation;1998;9;
647;Male;Method hanging/strangulation/suffocation;1999;5;
648;Male;Method hanging/strangulation/suffocation;2000;4;
649;Male;Method hanging/strangulation/suffocation;2001;3;
650;Male;Method hanging/strangulation/suffocation;2002;1;
651;Male;Method hanging/strangulation/suffocation;2003;5;
652;Male;Method hanging/strangulation/suffocation;2004;8;
653;Male;Method hanging/strangulation/suffocation;2005;8;
654;Male;Method hanging/strangulation/suffocation;2006;6;
655;Male;Method hanging/strangulation/suffocation;2007;5;
656;Male;Method hanging/strangulation/suffocation;2008;5;
657;Male;Method hanging/strangulation/suffocation;2009;5;
658;Male;Method hanging/strangulation/suffocation;2010;4;
659;Male;Method hanging/strangulation/suffocation;2011;4;
660;Male;Method hanging/strangulation/suffocation;2012;4;
661;Male;Method hanging/strangulation/suffocation;2013;7;
662;Male;Method hanging/strangulation/suffocation;2014;11;
663;Male;Method hanging/strangulation/suffocation;2015;2;
664;Male;Method hanging/strangulation/suffocation;2016;2;
665;Male;Method hanging/strangulation/suffocation;2017;7;
666;Male;Method hanging/strangulation/suffocation;2018;5;
667;Male;Method hanging/strangulation/suffocation;2019;1;
668;Male;Method hanging/strangulation/suffocation;2020;3;
669;Male;Method hanging/strangulation/suffocation;2021;3;
670;Male;Method hanging/strangulation/suffocation;2022;4;
671;Male;Method hanging/strangulation/suffocation;2023;3;
672;Male;Method: Beating or kicking;1996;12;
673;Male;Method: Beating or kicking;1997;8;
674;Male;Method: Beating or kicking;1998;8;
675;Male;Method: Beating or kicking;1999;14;
676;Male;Method: Beating or kicking;2000;5;
677;Male;Method: Beating or kicking;2001;7;
678;Male;Method: Beating or kicking;2002;14;
679;Male;Method: Beating or kicking;2003;12;
680;Male;Method: Beating or kicking;2004;15;
681;Male;Method: Beating or kicking;2005;7;
682;Male;Method: Beating or kicking;2006;4;
683;Male;Method: Beating or kicking;2007;10;
684;Male;Method: Beating or kicking;2008;9;
685;Male;Method: Beating or kicking;2009;13;
686;Male;Method: Beating or kicking;2010;8;
687;Male;Method: Beating or kicking;2011;13;
688;Male;Method: Beating or kicking;2012;15;
689;Male;Method: Beating or kicking;2013;9;
690;Male;Method: Beating or kicking;2014;10;
691;Male;Method: Beating or kicking;2015;9;
692;Male;Method: Beating or kicking;2016;7;
693;Male;Method: Beating or kicking;2017;11;
694;Male;Method: Beating or kicking;2018;7;
695;Male;Method: Beating or kicking;2019;10;
696;Male;Method: Beating or kicking;2020;16;
697;Male;Method: Beating or kicking;2021;8;
698;Male;Method: Beating or kicking;2022;15;
699;Male;Method: Beating or kicking;2023;12;
700;Male;Method: Firearm;1996;73;
701;Male;Method: Firearm;1997;67;
702;Male;Method: Firearm;1998;63;
703;Male;Method: Firearm;1999;79;
704;Male;Method: Firearm;2000;74;
705;Male;Method: Firearm;2001;78;
706;Male;Method: Firearm;2002;69;
707;Male;Method: Firearm;2003;57;
708;Male;Method: Firearm;2004;55;
709;Male;Method: Firearm;2005;53;
710;Male;Method: Firearm;2006;36;
711;Male;Method: Firearm;2007;39;
712;Male;Method: Firearm;2008;44;
713;Male;Method: Firearm;2009;49;
714;Male;Method: Firearm;2010;34;
715;Male;Method: Firearm;2011;45;
716;Male;Method: Firearm;2012;48;
717;Male;Method: Firearm;2013;30;
718;Male;Method: Firearm;2014;46;
719;Male;Method: Firearm;2015;36;
720;Male;Method: Firearm;2016;28;
721;Male;Method: Firearm;2017;42;
722;Male;Method: Firearm;2018;33;
723;Male;Method: Firearm;2019;28;
724;Male;Method: Firearm;2020;24;
725;Male;Method: Firearm;2021;31;
726;Male;Method: Firearm;2022;32;
727;Male;Method: Firearm;2023;24;
728;Male;Method: Stabbing or battle weapon;1996;62;
729;Male;Method: Stabbing or battle weapon;1997;55;
730;Male;Method: Stabbing or battle weapon;1998;56;
731;Male;Method: Stabbing or battle weapon;1999;58;
732;Male;Method: Stabbing or battle weapon;2000;50;
733;Male;Method: Stabbing or battle weapon;2001;65;
734;Male;Method: Stabbing or battle weapon;2002;56;
735;Male;Method: Stabbing or battle weapon;2003;60;
736;Male;Method: Stabbing or battle weapon;2004;70;
737;Male;Method: Stabbing or battle weapon;2005;44;
738;Male;Method: Stabbing or battle weapon;2006;43;
739;Male;Method: Stabbing or battle weapon;2007;46;
740;Male;Method: Stabbing or battle weapon;2008;54;
741;Male;Method: Stabbing or battle weapon;2009;48;
742;Male;Method: Stabbing or battle weapon;2010;47;
743;Male;Method: Stabbing or battle weapon;2011;41;
744;Male;Method: Stabbing or battle weapon;2012;26;
745;Male;Method: Stabbing or battle weapon;2013;31;
746;Male;Method: Stabbing or battle weapon;2014;39;
747;Male;Method: Stabbing or battle weapon;2015;27;
748;Male;Method: Stabbing or battle weapon;2016;35;
749;Male;Method: Stabbing or battle weapon;2017;47;
750;Male;Method: Stabbing or battle weapon;2018;29;
751;Male;Method: Stabbing or battle weapon;2019;39;
752;Male;Method: Stabbing or battle weapon;2020;31;
753;Male;Method: Stabbing or battle weapon;2021;41;
754;Male;Method: Stabbing or battle weapon;2022;38;
755;Male;Method: Stabbing or battle weapon;2023;41;
756;Male;Method: other or unknown;1996;18;
757;Male;Method: other or unknown;1997;27;
758;Male;Method: other or unknown;1998;22;
759;Male;Method: other or unknown;1999;12;
760;Male;Method: other or unknown;2000;20;
761;Male;Method: other or unknown;2001;25;
762;Male;Method: other or unknown;2002;19;
763;Male;Method: other or unknown;2003;25;
764;Male;Method: other or unknown;2004;16;
765;Male;Method: other or unknown;2005;18;
766;Male;Method: other or unknown;2006;14;
767;Male;Method: other or unknown;2007;13;
768;Male;Method: other or unknown;2008;14;
769;Male;Method: other or unknown;2009;11;
770;Male;Method: other or unknown;2010;8;
771;Male;Method: other or unknown;2011;8;
772;Male;Method: other or unknown;2012;11;
773;Male;Method: other or unknown;2013;12;
774;Male;Method: other or unknown;2014;7;
775;Male;Method: other or unknown;2015;3;
776;Male;Method: other or unknown;2016;2;
777;Male;Method: other or unknown;2017;5;
778;Male;Method: other or unknown;2018;2;
779;Male;Method: other or unknown;2019;3;
780;Male;Method: other or unknown;2020;3;
781;Male;Method: other or unknown;2021;5;
782;Male;Method: other or unknown;2022;6;
783;Male;Method: other or unknown;2023;4;
784;Male;Location: house of the victim or others;1996;58;
785;Male;Location: house of the victim or others;1997;37;
786;Male;Location: house of the victim or others;1998;44;
787;Male;Location: house of the victim or others;1999;65;
788;Male;Location: house of the victim or others;2000;54;
789;Male;Location: house of the victim or others;2001;68;
790;Male;Location: house of the victim or others;2002;71;
791;Male;Location: house of the victim or others;2003;59;
792;Male;Location: house of the victim or others;2004;66;
793;Male;Location: house of the victim or others;2005;62;
794;Male;Location: house of the victim or others;2006;49;
795;Male;Location: house of the victim or others;2007;53;
796;Male;Location: house of the victim or others;2008;50;
797;Male;Location: house of the victim or others;2009;66;
798;Male;Location: house of the victim or others;2010;47;
799;Male;Location: house of the victim or others;2011;51;
800;Male;Location: house of the victim or others;2012;43;
801;Male;Location: house of the victim or others;2013;42;
802;Male;Location: house of the victim or others;2014;46;
803;Male;Location: house of the victim or others;2015;30;
804;Male;Location: house of the victim or others;2016;32;
805;Male;Location: house of the victim or others;2017;44;
806;Male;Location: house of the victim or others;2018;39;
807;Male;Location: house of the victim or others;2019;28;
808;Male;Location: house of the victim or others;2020;32;
809;Male;Location: house of the victim or others;2021;50;
810;Male;Location: house of the victim or others;2022;36;
811;Male;Location: house of the victim or others;2023;38;
812;Male;Location:  for trade and services;1996;15;
813;Male;Location:  for trade and services;1997;14;
814;Male;Location:  for trade and services;1998;8;
815;Male;Location:  for trade and services;1999;10;
816;Male;Location:  for trade and services;2000;20;
817;Male;Location:  for trade and services;2001;12;
818;Male;Location:  for trade and services;2002;12;
819;Male;Location:  for trade and services;2003;18;
820;Male;Location:  for trade and services;2004;14;
821;Male;Location:  for trade and services;2005;16;
822;Male;Location:  for trade and services;2006;8;
823;Male;Location:  for trade and services;2007;14;
824;Male;Location:  for trade and services;2008;8;
825;Male;Location:  for trade and services;2009;8;
826;Male;Location:  for trade and services;2010;8;
827;Male;Location:  for trade and services;2011;13;
828;Male;Location:  for trade and services;2012;10;
829;Male;Location:  for trade and services;2013;6;
830;Male;Location:  for trade and services;2014;11;
831;Male;Location:  for trade and services;2015;4;
832;Male;Location:  for trade and services;2016;10;
833;Male;Location:  for trade and services;2017;10;
834;Male;Location:  for trade and services;2018;11;
835;Male;Location:  for trade and services;2019;5;
836;Male;Location:  for trade and services;2020;2;
837;Male;Location:  for trade and services;2021;4;
838;Male;Location:  for trade and services;2022;13;
839;Male;Location:  for trade and services;2023;7;
840;Male;Location: public road;1996;38;
841;Male;Location: public road;1997;46;
842;Male;Location: public road;1998;44;
843;Male;Location: public road;1999;50;
844;Male;Location: public road;2000;36;
845;Male;Location: public road;2001;60;
846;Male;Location: public road;2002;54;
847;Male;Location: public road;2003;54;
848;Male;Location: public road;2004;60;
849;Male;Location: public road;2005;42;
850;Male;Location: public road;2006;24;
851;Male;Location: public road;2007;31;
852;Male;Location: public road;2008;46;
853;Male;Location: public road;2009;37;
854;Male;Location: public road;2010;34;
855;Male;Location: public road;2011;30;
856;Male;Location: public road;2012;31;
857;Male;Location: public road;2013;20;
858;Male;Location: public road;2014;39;
859;Male;Location: public road;2015;32;
860;Male;Location: public road;2016;27;
861;Male;Location: public road;2017;42;
862;Male;Location: public road;2018;21;
863;Male;Location: public road;2019;37;
864;Male;Location: public road;2020;33;
865;Male;Location: public road;2021;25;
866;Male;Location: public road;2022;26;
867;Male;Location: public road;2023;28;
868;Male;Location: other or unknown location;1996;60;
869;Male;Location: other or unknown location;1997;73;
870;Male;Location: other or unknown location;1998;62;
871;Male;Location: other or unknown location;1999;43;
872;Male;Location: other or unknown location;2000;43;
873;Male;Location: other or unknown location;2001;38;
874;Male;Location: other or unknown location;2002;22;
875;Male;Location: other or unknown location;2003;28;
876;Male;Location: other or unknown location;2004;24;
877;Male;Location: other or unknown location;2005;10;
878;Male;Location: other or unknown location;2006;22;
879;Male;Location: other or unknown location;2007;15;
880;Male;Location: other or unknown location;2008;22;
881;Male;Location: other or unknown location;2009;15;
882;Male;Location: other or unknown location;2010;12;
883;Male;Location: other or unknown location;2011;17;
884;Male;Location: other or unknown location;2012;20;
885;Male;Location: other or unknown location;2013;21;
886;Male;Location: other or unknown location;2014;17;
887;Male;Location: other or unknown location;2015;11;
888;Male;Location: other or unknown location;2016;5;
889;Male;Location: other or unknown location;2017;16;
890;Male;Location: other or unknown location;2018;5;
891;Male;Location: other or unknown location;2019;11;
892;Male;Location: other or unknown location;2020;10;
893;Male;Location: other or unknown location;2021;9;
894;Male;Location: other or unknown location;2022;20;
895;Male;Location: other or unknown location;2023;11;
896;Female;Total;1996;69;8.8
897;Female;Total;1997;67;8.5
898;Female;Total;1998;50;6.3
899;Female;Total;1999;62;7.8
900;Female;Total;2000;70;8.7
901;Female;Total;2001;86;10.6
902;Female;Total;2002;65;8.0
903;Female;Total;2003;88;10.7
904;Female;Total;2004;59;7.2
905;Female;Total;2005;67;8.1
906;Female;Total;2006;56;6.8
907;Female;Total;2007;51;6.2
908;Female;Total;2008;50;6.0
909;Female;Total;2009;49;5.9
910;Female;Total;2010;57;6.8
911;Female;Total;2011;54;6.4
912;Female;Total;2012;53;6.3
913;Female;Total;2013;58;6.8
914;Female;Total;2014;31;3.6
915;Female;Total;2015;43;5.0
916;Female;Total;2016;34;4.0
917;Female;Total;2017;46;5.3
918;Female;Total;2018;43;5.0
919;Female;Total;2019;44;5.0
920;Female;Total;2020;44;5.0
921;Female;Total;2021;38;4.3
922;Female;Total;2022;48;5.4
923;Female;Total;2023;41;4.6
924;Female;Age: younger than 20 years;1996;13;7.0
925;Female;Age: younger than 20 years;1997;13;7.0
926;Female;Age: younger than 20 years;1998;8;4.3
927;Female;Age: younger than 20 years;1999;11;5.8
928;Female;Age: younger than 20 years;2000;12;6.3
929;Female;Age: younger than 20 years;2001;13;6.8
930;Female;Age: younger than 20 years;2002;12;6.2
931;Female;Age: younger than 20 years;2003;8;4.1
932;Female;Age: younger than 20 years;2004;5;2.6
933;Female;Age: younger than 20 years;2005;13;6.7
934;Female;Age: younger than 20 years;2006;12;6.2
935;Female;Age: younger than 20 years;2007;11;5.7
936;Female;Age: younger than 20 years;2008;9;4.7
937;Female;Age: younger than 20 years;2009;9;4.7
938;Female;Age: younger than 20 years;2010;9;4.7
939;Female;Age: younger than 20 years;2011;8;4.2
940;Female;Age: younger than 20 years;2012;10;5.3
941;Female;Age: younger than 20 years;2013;8;4.2
942;Female;Age: younger than 20 years;2014;4;2.1
943;Female;Age: younger than 20 years;2015;6;3.2
944;Female;Age: younger than 20 years;2016;3;1.6
945;Female;Age: younger than 20 years;2017;8;4.3
946;Female;Age: younger than 20 years;2018;3;1.6
947;Female;Age: younger than 20 years;2019;5;2.7
948;Female;Age: younger than 20 years;2020;7;3.8
949;Female;Age: younger than 20 years;2021;4;2.2
950;Female;Age: younger than 20 years;2022;6;3.3
951;Female;Age: younger than 20 years;2023;3;1.6
952;Female;Age: 20 to 29 years;1996;18;15.6
953;Female;Age: 20 to 29 years;1997;20;17.8
954;Female;Age: 20 to 29 years;1998;9;8.2
955;Female;Age: 20 to 29 years;1999;16;15.0
956;Female;Age: 20 to 29 years;2000;21;20.1
957;Female;Age: 20 to 29 years;2001;17;16.6
958;Female;Age: 20 to 29 years;2002;22;21.9
959;Female;Age: 20 to 29 years;2003;20;20.3
960;Female;Age: 20 to 29 years;2004;12;12.3
961;Female;Age: 20 to 29 years;2005;11;11.3
962;Female;Age: 20 to 29 years;2006;7;7.2
963;Female;Age: 20 to 29 years;2007;10;10.3
964;Female;Age: 20 to 29 years;2008;9;9.2
965;Female;Age: 20 to 29 years;2009;5;5.0
966;Female;Age: 20 to 29 years;2010;4;4.0
967;Female;Age: 20 to 29 years;2011;15;14.8
968;Female;Age: 20 to 29 years;2012;3;2.9
969;Female;Age: 20 to 29 years;2013;8;7.7
970;Female;Age: 20 to 29 years;2014;5;4.8
971;Female;Age: 20 to 29 years;2015;4;3.8
972;Female;Age: 20 to 29 years;2016;4;3.8
973;Female;Age: 20 to 29 years;2017;6;5.6
974;Female;Age: 20 to 29 years;2018;9;8.3
975;Female;Age: 20 to 29 years;2019;7;6.4
976;Female;Age: 20 to 29 years;2020;6;5.5
977;Female;Age: 20 to 29 years;2021;8;7.2
978;Female;Age: 20 to 29 years;2022;4;3.5
979;Female;Age: 20 to 29 years;2023;4;3.5
980;Female;Age: 30 to 39 years;1996;13;10.3
981;Female;Age: 30 to 39 years;1997;9;7.1
982;Female;Age: 30 to 39 years;1998;13;10.2
983;Female;Age: 30 to 39 years;1999;15;11.7
984;Female;Age: 30 to 39 years;2000;12;9.3
985;Female;Age: 30 to 39 years;2001;23;17.7
986;Female;Age: 30 to 39 years;2002;12;9.3
987;Female;Age: 30 to 39 years;2003;23;18.0
988;Female;Age: 30 to 39 years;2004;17;13.6
989;Female;Age: 30 to 39 years;2005;22;18.0
990;Female;Age: 30 to 39 years;2006;16;13.4
991;Female;Age: 30 to 39 years;2007;12;10.3
992;Female;Age: 30 to 39 years;2008;8;7.1
993;Female;Age: 30 to 39 years;2009;9;8.2
994;Female;Age: 30 to 39 years;2010;16;14.9
995;Female;Age: 30 to 39 years;2011;7;6.7
996;Female;Age: 30 to 39 years;2012;14;13.6
997;Female;Age: 30 to 39 years;2013;9;8.9
998;Female;Age: 30 to 39 years;2014;5;5.0
999;Female;Age: 30 to 39 years;2015;4;4.0
1000;Female;Age: 30 to 39 years;2016;10;9.8
1001;Female;Age: 30 to 39 years;2017;4;3.9
1002;Female;Age: 30 to 39 years;2018;7;6.7
1003;Female;Age: 30 to 39 years;2019;7;6.6
1004;Female;Age: 30 to 39 years;2020;13;12.1
1005;Female;Age: 30 to 39 years;2021;8;7.3
1006;Female;Age: 30 to 39 years;2022;15;13.5
1007;Female;Age: 30 to 39 years;2023;8;7.0
1008;Female;Age: 40 to 49 years;1996;13;11.3
1009;Female;Age: 40 to 49 years;1997;3;2.6
1010;Female;Age: 40 to 49 years;1998;7;6.1
1011;Female;Age: 40 to 49 years;1999;6;5.2
1012;Female;Age: 40 to 49 years;2000;7;6.0
1013;Female;Age: 40 to 49 years;2001;20;16.9
1014;Female;Age: 40 to 49 years;2002;8;6.7
1015;Female;Age: 40 to 49 years;2003;13;10.7
1016;Female;Age: 40 to 49 years;2004;9;7.3
1017;Female;Age: 40 to 49 years;2005;6;4.8
1018;Female;Age: 40 to 49 years;2006;7;5.6
1019;Female;Age: 40 to 49 years;2007;8;6.3
1020;Female;Age: 40 to 49 years;2008;9;7.1
1021;Female;Age: 40 to 49 years;2009;11;8.6
1022;Female;Age: 40 to 49 years;2010;11;8.6
1023;Female;Age: 40 to 49 years;2011;10;7.8
1024;Female;Age: 40 to 49 years;2012;12;9.4
1025;Female;Age: 40 to 49 years;2013;12;9.5
1026;Female;Age: 40 to 49 years;2014;3;2.4
1027;Female;Age: 40 to 49 years;2015;10;8.2
1028;Female;Age: 40 to 49 years;2016;5;4.2
1029;Female;Age: 40 to 49 years;2017;9;7.7
1030;Female;Age: 40 to 49 years;2018;9;7.9
1031;Female;Age: 40 to 49 years;2019;7;6.2
1032;Female;Age: 40 to 49 years;2020;4;3.6
1033;Female;Age: 40 to 49 years;2021;4;3.7
1034;Female;Age: 40 to 49 years;2022;6;5.6
1035;Female;Age: 40 to 49 years;2023;7;6.6
1036;Female;Age: 50 to 59 years;1996;3;3.5
1037;Female;Age: 50 to 59 years;1997;7;7.8
1038;Female;Age: 50 to 59 years;1998;0;0.0
1039;Female;Age: 50 to 59 years;1999;3;3.1
1040;Female;Age: 50 to 59 years;2000;9;9.0
1041;Female;Age: 50 to 59 years;2001;7;6.8
1042;Female;Age: 50 to 59 years;2002;4;3.8
1043;Female;Age: 50 to 59 years;2003;11;10.2
1044;Female;Age: 50 to 59 years;2004;5;4.6
1045;Female;Age: 50 to 59 years;2005;6;5.4
1046;Female;Age: 50 to 59 years;2006;6;5.4
1047;Female;Age: 50 to 59 years;2007;6;5.4
1048;Female;Age: 50 to 59 years;2008;9;8.1
1049;Female;Age: 50 to 59 years;2009;6;5.4
1050;Female;Age: 50 to 59 years;2010;3;2.7
1051;Female;Age: 50 to 59 years;2011;4;3.5
1052;Female;Age: 50 to 59 years;2012;3;2.6
1053;Female;Age: 50 to 59 years;2013;10;8.5
1054;Female;Age: 50 to 59 years;2014;3;2.5
1055;Female;Age: 50 to 59 years;2015;6;4.9
1056;Female;Age: 50 to 59 years;2016;5;4.1
1057;Female;Age: 50 to 59 years;2017;8;6.5
1058;Female;Age: 50 to 59 years;2018;8;6.4
1059;Female;Age: 50 to 59 years;2019;9;7.2
1060;Female;Age: 50 to 59 years;2020;7;5.5
1061;Female;Age: 50 to 59 years;2021;7;5.5
1062;Female;Age: 50 to 59 years;2022;4;3.1
1063;Female;Age: 50 to 59 years;2023;7;5.5
1064;Female;Age: 60 years or older;1996;9;5.7
1065;Female;Age: 60 years or older;1997;15;9.4
1066;Female;Age: 60 years or older;1998;13;8.0
1067;Female;Age: 60 years or older;1999;11;6.7
1068;Female;Age: 60 years or older;2000;9;5.5
1069;Female;Age: 60 years or older;2001;6;3.6
1070;Female;Age: 60 years or older;2002;7;4.2
1071;Female;Age: 60 years or older;2003;13;7.7
1072;Female;Age: 60 years or older;2004;11;6.4
1073;Female;Age: 60 years or older;2005;9;5.2
1074;Female;Age: 60 years or older;2006;8;4.5
1075;Female;Age: 60 years or older;2007;4;2.2
1076;Female;Age: 60 years or older;2008;6;3.2
1077;Female;Age: 60 years or older;2009;9;4.6
1078;Female;Age: 60 years or older;2010;14;7.1
1079;Female;Age: 60 years or older;2011;10;4.9
1080;Female;Age: 60 years or older;2012;11;5.3
1081;Female;Age: 60 years or older;2013;11;5.2
1082;Female;Age: 60 years or older;2014;11;5.1
1083;Female;Age: 60 years or older;2015;13;5.9
1084;Female;Age: 60 years or older;2016;7;3.1
1085;Female;Age: 60 years or older;2017;11;4.8
1086;Female;Age: 60 years or older;2018;7;3.0
1087;Female;Age: 60 years or older;2019;9;3.8
1088;Female;Age: 60 years or older;2020;7;2.9
1089;Female;Age: 60 years or older;2021;7;2.9
1090;Female;Age: 60 years or older;2022;13;5.2
1091;Female;Age: 60 years or older;2023;12;4.7
1092;Female;Method hanging/strangulation/suffocation;1996;16;
1093;Female;Method hanging/strangulation/suffocation;1997;20;
1094;Female;Method hanging/strangulation/suffocation;1998;14;
1095;Female;Method hanging/strangulation/suffocation;1999;14;
1096;Female;Method hanging/strangulation/suffocation;2000;20;
1097;Female;Method hanging/strangulation/suffocation;2001;9;
1098;Female;Method hanging/strangulation/suffocation;2002;13;
1099;Female;Method hanging/strangulation/suffocation;2003;11;
1100;Female;Method hanging/strangulation/suffocation;2004;15;
1101;Female;Method hanging/strangulation/suffocation;2005;16;
1102;Female;Method hanging/strangulation/suffocation;2006;6;
1103;Female;Method hanging/strangulation/suffocation;2007;11;
1104;Female;Method hanging/strangulation/suffocation;2008;7;
1105;Female;Method hanging/strangulation/suffocation;2009;8;
1106;Female;Method hanging/strangulation/suffocation;2010;8;
1107;Female;Method hanging/strangulation/suffocation;2011;9;
1108;Female;Method hanging/strangulation/suffocation;2012;11;
1109;Female;Method hanging/strangulation/suffocation;2013;14;
1110;Female;Method hanging/strangulation/suffocation;2014;6;
1111;Female;Method hanging/strangulation/suffocation;2015;11;
1112;Female;Method hanging/strangulation/suffocation;2016;7;
1113;Female;Method hanging/strangulation/suffocation;2017;7;
1114;Female;Method hanging/strangulation/suffocation;2018;13;
1115;Female;Method hanging/strangulation/suffocation;2019;5;
1116;Female;Method hanging/strangulation/suffocation;2020;11;
1117;Female;Method hanging/strangulation/suffocation;2021;13;
1118;Female;Method hanging/strangulation/suffocation;2022;10;
1119;Female;Method hanging/strangulation/suffocation;2023;9;
1120;Female;Method: Beating or kicking;1996;1;
1121;Female;Method: Beating or kicking;1997;1;
1122;Female;Method: Beating or kicking;1998;1;
1123;Female;Method: Beating or kicking;1999;7;
1124;Female;Method: Beating or kicking;2000;1;
1125;Female;Method: Beating or kicking;2001;2;
1126;Female;Method: Beating or kicking;2002;4;
1127;Female;Method: Beating or kicking;2003;5;
1128;Female;Method: Beating or kicking;2004;3;
1129;Female;Method: Beating or kicking;2005;0;
1130;Female;Method: Beating or kicking;2006;4;
1131;Female;Method: Beating or kicking;2007;5;
1132;Female;Method: Beating or kicking;2008;7;
1133;Female;Method: Beating or kicking;2009;6;
1134;Female;Method: Beating or kicking;2010;10;
1135;Female;Method: Beating or kicking;2011;5;
1136;Female;Method: Beating or kicking;2012;6;
1137;Female;Method: Beating or kicking;2013;3;
