ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;BrutoLonenEnSalarissen_6;TotaleBedrijfsopbrengsten_7;TotaleNettoOmzet_8;Hoofdactiviteit_9;Nevenactiviteiten_10;Buitenland_11;Binnenland_12;OverigeBedrijfsopbrengsten_13;TotaleBedrijfslasten_14;InkoopwaardeOmzet_15;Arbeidskosten_16;AfschrijvingenOpVasteActiva_17;TotaleOverigeBedrijfslasten_18;Verkoopkosten_19;Communicatiekosten_20;KostenEnergieverbruik_21;KostenVanDienstverleningDoorDerden_22;OverigePersoneelskosten_23;KostenVervoermiddelen_24;Huisvestingskosten_25;KostenInventaris_26;NietEerderGenoemdeBedrijfslasten_27;Bedrijfsresultaat_28;SaldoFinancieleBatenEnLasten_29;FinancieleBaten_30;FinancieleLasten_31;SaldoVoorzieningen_32;OnttrekkingenVrijvalVanVoorzieningen_33;ToevoegingenAanVoorzieningen_34;SaldoBuitengewoneBatenEnLasten_35;BuitengewoneBaten_36;BuitengewoneLasten_37;ResultaatVoorBelastingen_38
41;513 Groothand. voedings- & genotmiddelen;2005;6690;79.8;67.7;68.4;57.9;1926.0;54190.0;53695.0;53059.0;636.0;15186.0;38509.0;495.0;51780.0;44938.0;2368.0;701.0;3773.0;899.0;85.0;105.0;759.0;474.0;365.0;407.0;133.0;546.0;2410.0;-76.0;278.0;354.0;-26.0;30.0;56.0;-116.0;109.0;225.0;2191.0
42;5131 Grooth.aardappelen, groenten, fruit;2000;1210;16.3;14.3;14.0;12.1;352.0;9601.0;9582.0;9507.0;75.0;3986.0;5596.0;19.0;9402.0;8207.0;426.0;97.0;672.0;152.0;15.0;26.0;110.0;67.0;71.0;63.0;34.0;133.0;200.0;-6.0;44.0;50.0;-5.0;4.0;9.0;-3.0;14.0;17.0;186.0
43;5131 Grooth.aardappelen, groenten, fruit;2001;1190;17.6;14.9;14.4;12.4;381.0;10016.0;9988.0;9918.0;70.0;4205.0;5783.0;28.0;9760.0;8540.0;461.0;101.0;658.0;132.0;17.0;27.0;77.0;81.0;89.0;76.0;30.0;128.0;256.0;-14.0;36.0;51.0;-3.0;8.0;10.0;4.0;17.0;13.0;244.0
44;5131 Grooth.aardappelen, groenten, fruit;2002;1180;16.4;13.6;13.0;11.1;357.0;10003.0;9943.0;9900.0;43.0;4564.0;5379.0;60.0;9741.0;8583.0;436.0;90.0;632.0;115.0;18.0;22.0;125.0;90.0;74.0;67.0;30.0;94.0;264.0;-43.0;21.0;64.0;-6.0;3.0;8.0;-7.0;6.0;14.0;207.0
45;5131 Grooth.aardappelen, groenten, fruit;2003;1160;15.3;13.4;13.0;11.2;369.0;9945.0;9931.0;9881.0;50.0;4913.0;5018.0;14.0;9700.0;8547.0;450.0;86.0;617.0;78.0;19.0;21.0;159.0;85.0;72.0;71.0;25.0;85.0;244.0;-22.0;16.0;39.0;-4.0;1.0;5.0;4.0;34.0;30.0;222.0
46;5131 Grooth.aardappelen, groenten, fruit;2004;1125;15.0;13.1;12.5;10.9;372.0;10270.0;10249.0;10179.0;70.0;4787.0;5462.0;21.0;9998.0;8784.0;455.0;89.0;670.0;104.0;18.0;21.0;191.0;99.0;69.0;81.0;25.0;63.0;273.0;-13.0;29.0;42.0;-3.0;4.0;7.0;-6.0;11.0;17.0;250.0
47;5131 Grooth.aardappelen, groenten, fruit;2005;1100;15.9;13.7;12.8;11.0;376.0;10606.0;10569.0;10498.0;71.0;4806.0;5763.0;37.0;10294.0;9030.0;457.0;76.0;731.0;106.0;22.0;25.0;210.0;119.0;71.0;84.0;27.0;68.0;313.0;-8.0;25.0;33.0;-3.0;2.0;5.0;-7.0;7.0;13.0;295.0
48;5139 Groothand.voedingsmiddelen alg ass.;2000;1095;27.7;20.2;26.3;18.9;468.0;10658.0;10502.0;10232.0;270.0;849.0;9653.0;156.0;10374.0;9112.0;570.0;104.0;588.0;136.0;12.0;18.0;53.0;93.0;65.0;96.0;24.0;90.0;284.0;-14.0;19.0;34.0;-13.0;8.0;21.0;7.0;27.0;20.0;263.0
49;5139 Groothand.voedingsmiddelen alg ass.;2001;1080;25.6;20.2;24.1;18.8;513.0;12419.0;12229.0;11282.0;947.0;916.0;11313.0;190.0;12045.0;10665.0;627.0;117.0;636.0;133.0;15.0;25.0;47.0;102.0;77.0;126.0;23.0;90.0;374.0;-17.0;32.0;49.0;15.0;36.0;22.0;-63.0;18.0;81.0;308.0
50;5139 Groothand.voedingsmiddelen alg ass.;2002;1135;26.2;22.1;24.2;20.5;574.0;13179.0;13147.0;12236.0;911.0;770.0;12377.0;32.0;12853.0;11201.0;684.0;127.0;841.0;166.0;22.0;25.0;76.0;114.0;130.0;132.0;38.0;138.0;326.0;-48.0;20.0;68.0;5.0;34.0;29.0;-33.0;20.0;53.0;250.0
