ID;Perioden;BrutoBinnenlandsProductMarktprijzen_1;VerbruikVanVasteActiva_2;ExploitatieoverschotEnGemengdInkomen_3;NationaalInkomenBruto_4;BeschikbaarNationaalInkomenBruto_5;NationaleBesparingenBruto_6;InvesteringenBruto_7;NationaalVorderingensaldo_8;SaldoKredietenAanPrivateSector_9;KredietAanPrivateSectorUltimoStand_10;ArbeidsvolumeWerkzamePersonen_11;BrutoToegevoegdeWaarde_12;ExploitatieoverschotBruto_13;BrutowinstVoorBelasting_14;WinstVanBuitenlandseDochters_15;Winstquote_16;Investeringsquote_17;ArbeidsvolumeWerknemers_18;BrutoToegevoegdeWaarde_19;BrutoWinstVoorBelasting_20;WinstVanBuitenlandseDochters_21;FinancieelVermogen_22;OntvangenInkomenUitVermogen_23;BetaaldInkomenUitVermogen_24;LiquiditeitRatioMonetaireInstellingen_25;FinancieleActivaPensioenfondsen_26;ArbeidsvolumeWerknemers_27;TotaalInkomsten_28;BelastingEnPremieontvangsten_29;TotaalUitgaven_30;OverheidsschuldEMU_31;OverheidssaldoEMU_32;ArbeidsvolumeWerknemers_33;ExploitatieoverschotEnGemengdInkomen_34;GemengdInkomen_35;BeschikbaarInkomenBruto_36;ReeelBeschikbaarInkomenNetto_37;AlternatiefBeschikbaarInkomenBruto_38;ConsumptieveBestedingenBruto_39;VrijeIndividueleBesparingen_40;Spaarquote_41;Investeringsquote_42;SpaartegoedenEnOverigeDepositoS_43;VerzekeringsEnPensioenregelingen_44;VoorzieningenPensioenverzekeringen_45;Woninghypotheken_46;SaldoOpgenomenEnAfgelosteHypotheken_47;ArbeidsvolumeWerknemers_48;ArbeidsvolumeZelfstandigen_49;AandeelUitvoeroverschotInBbp_50;Uitvoeroverschot_51;SaldoPrimaireInkomensBuitenland_52;SaldoInkomensoverdrachtenBuitenland_53;SaldoKapitaaloverdrachtenBuitenland_54;SaldoLopendeRekening_55;ExternVermogen_56;ExternVermogenMarktwaarde_57
63;2010;643022;109569;267402;639606;631012;171498;128843;39521;3.2;250.3;7035.0;359849;143957;180188;40465.0;40.0;16.3;4306.0;51721;31637;5294.0;1478;1.9;1.5;18.1;798727;224.0;43.6;35.8;48.9;58.9;-5.3;1043.0;63389;53560;316050;-0.6;430603;290857;25193;13.1;11.0;305853;976719;823314;687594;19472;375.0;1086.0;8.5;54612;-3416;-8541;-2015;42655;-123363;
64;2011 1e kwartaal;161609;27313;70298;166484;164006;50383;33451;16182;4.1;249.7;;90618;37664;54313;19025.0;41.6;18.9;;13092;7089;496.0;23715;2.0;1.6;18.4;795621;;43.8;35.9;48.5;59.1;-4.7;;16116;13889;74344;-1.5;101870;73539;805;6.2;11.0;311324;930436;784260;690357;3058;;;9.0;14514;4875;-2457;-946;16932;-123360;
65;2011 2e kwartaal;166706;27424;61156;162717;161205;41632;34415;6922;4.5;250.4;;94468;31733;43350;13017.0;33.6;18.7;;12597;5217;938.0;32866;2.0;1.6;18.9;801339;;43.5;35.5;48.2;60.0;-4.7;;16488;13178;94291;0.9;124234;75843;18448;24.8;9.0;317661;939061;795851;694076;3781;;;7.6;12705;-3989;-1499;108;7217;-108958;
66;2011 3e kwartaal;160349;27517;71351;160900;159165;42851;31154;11642;5.8;250.4;;92290;40443;51046;12466.0;43.8;15.2;;12937;10316;2808.0;-69011;2.0;1.5;20.2;836146;;43.9;35.9;48.0;60.6;-4.1;;16506;13826;74806;-0.7;102941;75930;-1124;5.7;9.9;318808;1092511;945099;697548;3429;;;8.0;12872;551;-1726;-69;11697;-71990;
67;2011 4e kwartaal;167349;27631;69145;165018;162822;43382;31603;11623;8.6;252.9;;91722;35291;52003;16302.0;38.5;17.3;;13209;7749;2087.0;-67008;2.0;1.5;20.8;873004;;43.4;35.6;47.8;61.2;-4.4;;16736;14041;79309;-0.2;109261;74878;4431;10.8;10.6;320790;1110170;957138;699148;1776;;;9.7;16282;-2331;-2172;-213;11779;-75934;
68;2011;656013;109885;271950;655119;647198;178248;130623;46369;8.6;252.9;7073.0;369098;145131;200712;60810.0;39.3;17.5;4333.0;51835;30371;6329.0;-67008;2.0;1.5;20.8;873004;220.0;43.4;35.6;47.8;61.2;-4.4;1018.0;65846;54934;322750;-0.2;438306;300190;22560;12.7;10.0;320790;1110170;957138;699148;12044;381.0;1120.0;8.6;56373;-894;-7854;-1120;47625;-75934;
69;2012 1e kwartaal;162189;27535;70379;161075;158333;43464;30760;4019;9.0;255.0;;91744;37436;50773;15719.0;40.8;18.2;;13460;7020;1336.0;-51731;1.9;1.5;22.3;916280;;43.4;35.5;47.6;62.0;-4.2;;15362;12531;75446;-0.2;103212;74280;1166;8.3;9.2;329300;1147908;993436;699746;638;;;10.2;16563;-1114;-2745;-74;12704;-42185;
70;2012 2e kwartaal;167778;27655;61074;168167;166682;46423;33552;12043;10.0;258.3;;96033;31840;43620;13689.0;33.2;19.0;;13537;5376;906.0;-91009;1.9;1.4;20.9;942873;;43.7;35.7;47.6;63.5;-3.9;;15077;13779;92226;-1.8;122683;75923;16303;24.6;7.6;335530;1202605;1048280;702292;2628;;;8.3;13979;389;-1497;-22;12871;-20974;
71;2012 3e kwartaal;159711;27758;70086;157144;155576;38869;29148;9669;9.6;259.3;;92384;39449;51832;14678.0;42.7;14.5;;13660;8340;1842.0;-38549;1.8;1.4;19.7;975444;;43.5;35.6;47.7;64.4;-4.2;;15336;13755;75794;-0.6;104368;75873;-79;8.3;9.0;337304;1182388;1025914;704649;2387;;;8.7;13870;-2567;-1582;-108;9721;-1640;
72;2012 4e kwartaal;168554;27888;68846;165838;164835;44960;28857;16049;6.8;258.6;;92670;35420;54050;19257.0;38.2;16.8;;13279;5037;740.0;-24419;1.7;1.3;19.1;1001895;;43.8;35.8;47.6;65.7;-3.8;;15883;15184;79977;-0.6;110546;74586;5391;13.1;8.8;339869;1201283;1046644;705172;619;;;11.8;19818;-2716;-999;-56;16103;20669;
73;2012;658232;110836;270385;652224;645426;173716;122317;41780;6.8;258.6;7028.0;372831;144145;200275;63343.0;38.7;17.1;4308.0;53936;25773;4824.0;-24419;1.7;1.3;19.1;1001895;215.0;43.8;35.8;47.6;65.7;-3.8;1001.0;61658;55249;323443;-0.6;440809;300662;22781;14.2;8.6;339869;1201283;1046644;705172;6272;372.0;1132.0;9.8;64230;-6008;-6823;-260;51399;20669;
74;2013 1e kwartaal;162665;28002;68705;164635;162294;46251;26759;19837;6.5;260.7;;91751;36631;51454;16767.0;39.9;15.9;;13214;6251;1654.0;28550;1.7;1.3;17.3;1026115;;44.3;36.0;47.9;66.2;-3.6;;15004;13839;74182;-1.7;102392;74638;-456;7.8;7.8;344746;1186663;1030904;701156;-3939;;;12.2;19880;1970;-2358;-211;19492;52204;
75;2013 2e kwartaal;169400;28151;61220;165549;163974;42913;32605;9010;6.5;262.9;;96802;31905;42712;12282.0;33.0;17.7;;13589;5240;1284.0;-9476;1.7;1.3;17.5;996415;;44.6;36.3;47.8;67.8;-3.2;;15151;13956;92535;-1.3;122717;76600;15935;24.5;6.5;347768;1196319;1047671;698528;-2571;;;9.3;15754;-3851;-1595;-92;10308;28527;
76;2013 3e kwartaal;162775;28254;71855;163122;160869;42605;29624;13076;8.8;264.4;;94480;41166;52672;13850.0;43.6;15.4;;12678;7440;1480.0;22089;1.7;1.3;17.7;1004732;;44.9;36.6;47.7;67.3;-2.8;;16597;13691;76325;-1.9;104668;77246;-921;7.9;8.1;345984;1160485;1010688;701572;3225;;;9.2;14907;347;-2273;-8;12981;2403;
77;2013 4e kwartaal;170727;28369;71486;168432;166383;45472;33215;12009;10.1;264.7;;94200;37237;49292;12217.0;39.5;21.0;;12490;5636;1215.0;13928;1.8;1.4;16.7;1018606;;44.7;36.4;47.5;67.2;-2.9;;17445;14362;81812;-1.5;111646;76354;5458;13.7;8.5;342545;1168574;1019464;695175;-6245;;;9.7;16618;-2295;-2066;-252;12257;-12648;
78;2013;665567;112776;273266;661738;653520;177241;122203;53932;10.1;264.7;6941.0;377233;146939;196130;55116.0;39.0;17.5;4242.0;51971;24567;5633.0;13928;1.8;1.4;16.7;1018606;209.0;44.7;36.4;47.5;67.2;-2.9;989.0;64197;55848;324854;-1.5;441423;304838;20016;14.1;7.7;342545;1168574;1019464;695175;-9530;359.0;1141.0;10.1;67159;-3829;-8292;-563;55038;-12648;
79;2014 1e kwartaal;166170;28304;70969;165231;162558;44942;29108;15755;9.5;265.4;;92793;37400;48711;12827.0;40.3;15.8;;13837;6546;1398.0;23978;1.7;1.3;17.3;1065253;;44.4;36.5;47.4;66.6;-3.0;;17015;14712;77264;0.2;105619;75774;1490;9.4;9.2;346020;1196621;1049317;694447;-744;;;11.7;19452;-939;-2679;-840;15834;12238;
80;2014 2e kwartaal;171688;28404;61553;170601;167896;44996;31662;-1893;9.0;267.5;;96591;30756;42930;13338.0;31.8;16.7;;13813;5251;1664.0;22914;1.7;1.3;16.3;1135238;;44.4;36.7;47.4;68.0;-2.9;;16573;14835;95427;1.4;125993;77954;17473;25.2;7.2;350678;1247804;1099847;694569;155;;;10.0;17131;-1087;-2710;-172;13334;44876;
81;2014 3e kwartaal;165628;28493;72981;164497;163239;43222;28319;14868;6.5;268.1;;95328;40728;50335;12101.0;42.7;13.9;;13849;7356;1687.0;-2145;1.6;1.2;15.9;1190410;;44.4;36.8;47.0;67.4;-2.6;;17304;14060;78444;2.3;107153;78280;164;8.5;9.0;348554;1320795;1171672;694642;20;;;10.4;17298;-1131;-1264;-155;14903;82244;
82;2014 4e kwartaal;175141;28636;72391;172150;170110;47140;31073;15952;4.9;273.8;;97478;38233;48531;10748.0;39.2;17.7;;13643;6295;2318.0;36133;1.5;1.1;16.3;1248912;;44.5;37.2;46.7;67.2;-2.2;;17482;14703;83459;2.4;113810;77652;5807;13.9;8.5;336813;1396566;1240626;696303;-736;;;12.0;21098;-2991;-2040;-114;16067;167177;
83;2014;678627;113837;277894;672479;663803;180300;120162;44682;4.9;273.8;6930.0;382190;147117;190507;49014.0;38.5;16.0;4222.0;55142;25448;7067.0;36133;1.5;1.1;16.3;1248912;202.0;44.5;37.2;46.7;67.2;-2.2;983.0;68374;58310;334594;2.4;452575;309660;24934;14.8;8.4;336813;1396566;1240626;696303;-1305;359.0;1165.0;11.0;74979;-6148;-8693;-1281;60138;167177;
84;2015 1e kwartaal;168781;28253;73164;168570;165205;46888;22075;25779;6.0;278.4;;95873;40164;56286;17483.0;41.9;8.2;;13902;6852;1740.0;3586;1.4;1.0;17.1;1392056;;44.6;37.5;46.5;68.2;-1.9;;16664;14477;77122;1.8;105501;76659;463;7.5;10.0;343256;1568396;1407075;697531;1349;;;16.8;28363;-211;-3339;26;24813;266997;381769.0
85;2015 2e kwartaal;177623;28609;67063;174812;172818;47986;64931;-37306;3.8;275.7;;101797;35392;52201;16899.0;34.8;46.3;;13938;6780;1689.0;63402;1.5;1.1;17.9;1263768;;44.2;37.1;46.1;66.0;-1.9;;17005;14643;97771;1.8;128383;80057;17714;24.0;8.6;349123;1406591;1251103;698462;1037;;;-6.8;-12165;-2811;-1969;-89;-16945;170642;273309.0
86;2015 3e kwartaal;172816;28872;79015;168188;167000;44213;32047;12160;2.8;272.4;;100146;45426;56380;13063.0;45.4;14.3;;13654;7789;1726.0;12041;1.5;1.1;19.5;1231049;;43.8;36.8;45.6;65.1;-1.9;;18518;15691;81700;2.2;110866;80764;936;9.3;9.4;347182;1464478;1311557;700693;2364;;;10.4;17959;-4628;-1165;-68;12166;196179;274528.0
87;2015 4e kwartaal;179955;29443;76021;176983;174615;50031;35954;13912;1.1;269.5;;100939;41323;53425;12819.0;40.9;19.6;;13354;6594;1182.0;8183;1.5;1.0;19.3;1245877;;43.5;36.9;45.3;63.8;-1.8;;19188;16317;85642;2.4;115948;79335;6307;13.2;9.7;341207;1486819;1332230;703901;3329;;;10.8;19385;-2972;-2336;-165;14077;194954;288249.0
88;2015;699175;115177;295263;688553;679638;189118;155007;14545;1.1;269.5;7011.0;398755;162305;218292;60264.0;40.7;22.3;4257.0;54848;28015;6337.0;8183;1.5;1.0;19.3;1245877;197.0;43.5;36.9;45.3;63.8;-1.8;976.0;71375;61128;342235;2.4;460698;316815;25420;14.1;9.4;341207;1486819;1332230;703901;8079;379.0;1201.0;7.7;53542;-10622;-8809;-296;34111;194954;288249.0
89;2016 1e kwartaal;174168;29056;74430;170816;167877;47418;32625;14494;-0.7;267.6;;99418;41535;54068;14113.0;41.8;17.9;;13024;6339;1780.0;-70006;1.4;0.9;19.1;1321059;;43.4;37.1;44.9;63.4;-1.5;;18428;15776;80573;3.0;108851;78476;2097;9.6;10.8;344499;1629196;1466919;706802;3015;;;12.1;21053;-3352;-2908;-300;14793;257543;349932.0
90;2016 2e kwartaal;182901;29226;68342;174458;173003;46427;38150;8189;-1.3;265.5;;105391;36632;49839;13781.0;34.8;18.2;;13181;6378;1761.0;-86438;1.3;0.9;19.9;1372746;;43.8;37.7;44.6;62.3;-0.8;;18298;15684;100382;2.9;131606;80972;19410;24.5;9.7;350876;1685921;1523582;710194;3500;;;9.9;18145;-8443;-1425;-88;8277;299663;402284.0
91;2016 3e kwartaal;177259;29372;79263;171107;169549;44851;34573;10242;6.3;270.8;;102503;45390;58979;13409.0;44.3;15.6;;13381;6424;1814.0;-83807;1.2;0.9;20.9;1408632;;44.2;38.2;44.5;60.7;-0.3;;19338;16560;83794;2.5;113122;82061;1733;10.2;10.4;350738;1726209;1565170;714592;4490;;;10.1;17960;-6152;-1530;-108;10278;335565;449099.0
92;2016 4e kwartaal;185847;29751;77826;182432;184141;56418;37077;18899;5.6;266.7;;104726;42535;55437;13387.0;40.6;17.7;;12693;5598;1795.0;-52284;1.3;0.9;20.2;1370727;;44.1;38.2;43.9;60.9;0.2;;20889;17807;90418;3.3;121243;81588;8830;15.4;10.0;347183;1623591;1468191;715680;570;;;11.3;21006;-3415;1750;-442;19341;282340;417564.0
93;2016;720175;117405;299861;698813;694570;195114;142425;51824;5.6;266.7;7156.0;412038;166092;218323;54690.0;40.3;17.4;4359.0;52279;24739;7150.0;-52284;1.3;0.9;20.2;1370727;192.0;44.1;38.2;43.9;60.9;0.2;973.0;76953;65827;355167;3.3;474822;323097;32070;15.4;10.2;347183;1623591;1468191;715680;11575;396.0;1235.0;10.9;78164;-21362;-4113;-938;52689;282340;417564.0
94;2017 1e kwartaal;181360;29754;78658;181453;179288;54486;34857;18872;7.9;266.8;;104271;44645;58787;15277.0;42.8;17.4;;12609;6199;1999.0;-7494;1.2;0.9;21.8;1382013;;44.4;38.5;43.5;58.7;0.8;;19923;16566;83193;2.7;112514;81707;1486;8.1;11.8;350164;1597823;1446278;718090;2496;;;11.9;21672;93;-2136;-911;19629;285612;441309.0
95;2017 2e kwartaal;191083;29926;72354;182025;180542;48992;40063;7461;9.9;264.2;;110156;38865;53808;15686.0;35.3;17.6;;12762;6496;1961.0;8375;1.3;0.9;21.4;1379762;;44.1;38.3;43.2;58.0;0.9;;20270;16720;102728;2.2;134940;84760;17968;23.2;10.5;357868;1571993;1422337;721854;3824;;;10.2;19412;-9058;-1425;17;8929;278714;428581.0
96;2017 3e kwartaal;184915;30075;83497;181633;180322;50307;36828;13682;5.6;263.3;;107573;48027;63349;16112.0;44.6;16.1;;12896;7988;1994.0;-4764;1.3;0.9;23.0;1390217;;44.0;38.3;42.8;56.2;1.2;;21286;17499;86738;2.0;117164;86289;449;6.3;11.5;355372;1569794;1422147;724374;2592;;;9.7;18020;-3282;-1259;-125;13479;259385;433295.0
97;2017 4e kwartaal;193503;30462;81242;192039;191112;59041;40040;18878;6.0;258.3;;109510;44551;60646;17270.0;40.7;17.4;;12648;7252;2000.0;-14171;1.3;0.9;22.7;1448017;;44.1;38.4;42.8;56.0;1.3;;22294;18393;91870;0.5;123865;84407;7463;13.0;11.6;350494;1605806;1461001;726602;2279;;;11.0;21336;-1464;-871;-74;19001;294722;495415.0
98;2017;750861;120217;315751;737150;731264;212826;151788;58893;6.0;258.3;7332.0;431510;176088;236590;64345.0;40.8;17.1;4510.0;50915;27935;7954.0;-14171;1.3;0.9;22.7;1448017;185.0;44.1;38.4;42.8;56.0;1.3;972.0;83773;69178;364529;0.5;488483;337163;27366;13.2;11.3;350494;1605806;1461001;726602;11191;403.0;1262.0;10.7;80440;-13711;-5691;-1093;61038;294722;495415.0
99;2018 1e kwartaal;191374;31060;82766;192654;189992;58626;38677;19806;8.0;259.5;;109515;46118;64016;18718.0;42.1;18.3;;12923;7352;1668.0;-13941;1.3;0.9;24.4;1446814;;44.2;38.6;42.5;54.3;1.7;;22173;17969;86785;0.8;117808;85730;1055;6.9;12.7;352117;1610905;1469163;729557;2982;;;11.1;21287;1280;-2618;-146;19949;303241;476453.0
100;2018 2e kwartaal;200034;31254;75735;193021;191576;54365;43255;1561;4.4;255.6;;115674;40038;59727;20012.0;34.6;17.9;;12630;7092;1600.0;-32321;1.3;1.0;24.0;1499203;;44.3;38.6;42.4;53.2;1.9;;22391;17957;108450;1.7;141806;88766;19684;23.4;11.4;360998;1627474;1487166;733427;3896;;;9.8;19527;-7013;-1404;-104;11110;301124;504223.0
101;2018 3e kwartaal;193600;31427;86389;191421;189943;54101;37798;16343;3.5;254.2;;112647;49381;70344;21230.0;43.8;14.5;;12528;7837;1811.0;-12224;1.3;0.9;24.8;1506795;;44.2;38.6;42.3;52.2;2.0;;23001;18389;90958;2.0;123039;89701;1257;8.1;12.1;359901;1611804;1472944;736700;3288;;;10.3;19912;-2179;-1430;13;16303;337863;519574.0
102;2018 4e kwartaal;202265;31833;83874;205333;203323;64961;41507;23343;6.4;252.7;;114513;45776;69884;24036.0;40.0;17.1;;12288;7175;1940.0;-25364;1.4;1.0;22.8;1454644;;43.9;38.4;42.4;51.6;1.5;;23959;19292;98265;3.2;132330;88103;10162;15.1;12.4;356578;1646971;1513120;740431;3274;;;11.1;22361;3068;-1975;-117;23454;397725;525018.0
103;2018;787273;125574;328764;782429;774834;232053;161237;61053;6.4;252.7;7551.0;452349;181313;263971;83996.0;40.1;16.9;4690.0;50369;29456;7019.0;-25364;1.4;1.0;22.8;1454644;181.0;43.9;38.4;42.4;51.6;1.5;974.0;91524;73607;384458;3.2;514983;352300;32158;13.9;12.1;356578;1646971;1513120;740431;13440;413.0;1293.0;10.6;83087;-4844;-7427;-354;70816;397725;525018.0
104;2019 1e kwartaal;201510;32517;86658;201162;197885;60840;43333;17370;2.1;250.6;;115796;48557;68422;20240.0;41.9;18.1;;12990;7252;2146.0;-41947;1.3;0.9;22.7;1595366;;44.1;38.7;42.5;50.0;1.6;;23572;18999;91398;3.2;124696;88540;2858;9.6;13.7;361772;1752155;1610190;742098;1683;;;10.5;21099;-348;-3244;-110;17507;439874;615237.0
105;2019 2e kwartaal;211574;32697;79787;200025;198582;55147;47725;5513;4.6;247.7;;122287;42217;61043;19236.0;34.5;18.0;;13036;6576;1611.0;-103963;1.3;0.9;22.1;1675222;;43.9;38.6;42.3;50.0;1.6;;23638;19143;114271;3.1;149924;91768;22503;25.4;12.0;371398;1862846;1715964;746299;4212;;;9.6;20392;-11549;-1421;44;7422;488259;663152.0
106;2019 3e kwartaal;203971;32857;90916;200868;199101;57367;43946;13592;3.2;245.7;;119218;52774;73678;21295.0;44.3;16.0;;13044;8301;2108.0;-143345;1.2;0.8;22.9;1797960;;43.8;38.6;42.4;48.3;1.5;;23585;19188;94800;2.9;128992;92625;2175;9.6;12.8;371415;2014656;1860583;748932;2636;;;9.0;18278;-3103;-1754;-30;13421;587393;753336.0
107;2019 4e kwartaal;212712;33284;87352;209650;208104;63948;45537;18234;1.7;242.0;;121008;48425;69327;20701.0;40.0;18.9;;12507;6208;1647.0;-43901;1.3;0.9;22.2;1739391;;43.9;38.7;42.1;47.7;1.8;;24768;20165;104120;2.8;139787;91343;12777;17.8;12.3;369337;1904584;1757412;751902;2988;;;10.8;22919;-3062;-1446;-144;18411;565118;729422.0
108;2019;829767;131355;344713;811705;803672;237302;180541;54709;1.7;242.0;7737.0;478309;191973;272470;81472.0;40.1;17.8;4810.0;51577;28337;7512.0;-43901;1.3;0.9;22.2;1739391;181.0;43.9;38.7;42.1;47.7;1.8;992.0;95563;77495;404589;2.8;543399;364276;40313;16.2;12.6;369337;1904584;1757412;751902;11519;422.0;1333.0;10.0;82688;-18062;-7865;-240;56761;565118;729422.0
109;2020 1e kwartaal;205820;33979;86585;200896;194753;54775;44394;9392;4.9;244.2;;117675;47549;61908;14497.0;40.4;19.4;;13689;6475;1038.0;-131977;1.2;0.8;23.3;1673141;;43.7;38.6;42.4;48.4;1.3;;24218;19528;96367;2.9;130723;89487;6880;12.7;14.0;372629;2012478;1874373;754923;3024;;;10.4;21419;-4924;-6114;-1029;10381;643729;693527.0
110;2020 2e kwartaal;196847;34130;75924;189165;186890;52621;44309;8276;4.4;249.5;;111369;39062;50734;11846.0;35.1;17.6;;13181;5470;1119.0;-139243;1.1;0.7;25.7;1791898;;43.7;38.8;44.8;54.0;-1.1;;22855;18248;115843;1.7;151256;82120;33723;33.5;11.8;389754;2091785;1949452;759341;4431;;;9.3;18228;-7682;-2234;-36;8312;656274;733693.0
111;2020 3e kwartaal;201902;34368;89009;195986;194417;53326;40857;12631;5.3;250.7;;116186;50742;63929;13713.0;43.7;15.3;;12621;6746;1723.0;-99669;1.0;0.6;26.7;1839107;;43.8;39.0;45.9;54.1;-2.1;;24259;19332;99466;2.1;134998;89640;9826;16.0;12.9;392642;2097032;1952156;763883;4559;;;9.9;19894;-5916;-1509;60;12469;690417;775637.0
112;2020 4e kwartaal;211894;34803;89075;204954;202110;59202;44771;14173;1.0;253.7;;120115;50532;64903;14254.0;42.1;17.5;;13138;6238;1669.0;-117242;1.0;0.6;25.4;1921314;;44.2;39.3;47.8;53.4;-3.6;;24337;19486;109088;1.7;146176;87456;21632;23.5;12.6;393556;2109457;1969701;769655;5784;;;11.4;24145;-6940;-2774;-258;14431;717499;831619.0
113;2020;816463;137280;340593;791001;778170;219924;174331;44472;1.0;253.7;7638.0;465345;187885;241474;54310.0;40.4;17.5;4767.0;52629;24929;5549.0;-117242;1.0;0.6;25.4;1921314;184.0;44.2;39.3;47.8;53.4;-3.6;1009.0;95669;76594;420764;1.7;563153;348703;72061;22.0;12.7;393556;2109457;1969701;769655;17798;417.0;1260.0;10.2;83686;-25462;-12631;-1263;45593;717499;831619.0
114;2021 1e kwartaal;207934;35519;91601;217260;214178;75479;48493;26913;1.8;261.9;;118949;51973;72608;20479.0;43.7;19.7;;13087;7647;2571.0;-51512;0.9;0.6;27.4;1875861;;44.2;39.2;48.9;53.8;-4.8;;25076;19957;101049;1.3;136871;86089;14960;18.9;14.1;402861;1986993;1849251;778422;8776;;;9.9;20685;9326;-3025;-50;26986;614358;748294.0
115;2021 2e kwartaal;226546;35902;89553;229373;227126;73662;50861;23283;4.9;256.3;;132109;49799;71928;22441.0;37.7;17.4;;12578;8410;2974.0;-9217;1.0;0.6;27.8;1938868;;44.0;39.0;47.3;52.9;-3.3;;26499;21069;126581;2.8;166347;95873;30708;28.1;12.0;410708;1999328;1863429;788205;9784;;;9.8;22161;2827;-2187;-13;22801;639620;794468.0
116;2021 3e kwartaal;223337;36334;102979;226752;224827;69386;48540;20842;5.1;251.8;;131166;62136;83255;21851.0;47.4;14.2;;12294;8460;2295.0;-32447;1.0;0.6;28.5;1929445;;43.7;38.7;46.7;51.0;-3.0;;27138;21619;106680;2.7;145302;99876;6804;11.7;13.0;409511;2001844;1867259;798912;10705;;;8.6;19301;3415;-1870;-121;20846;558347;715490.0
117;2021 4e kwartaal;233733;36867;101815;228991;227609;68654;49975;18631;9.9;246.6;;133296;59670;87942;28304.0;44.8;17.1;;12645;9005;3292.0;49069;1.1;0.6;26.9;1976573;;43.7;38.7;45.9;50.5;-2.2;;27569;21872;112356;1.6;153324;98589;13767;16.1;13.1;408671;2004846;1872316;806818;7898;;;10.6;24736;-4742;-1315;-48;18679;631956;839950.0
118;2021;891550;144622;385948;902376;893740;287181;197869;89669;9.9;246.6;7875.0;515520;223578;315733;93075.0;43.4;17.0;4878.0;50604;33522;11132.0;49069;1.1;0.6;26.9;1976573;189.0;43.7;38.7;45.9;50.5;-2.2;1036.0;106282;84517;446666;1.6;601844;380427;66239;19.1;13.0;408671;2004846;1872316;806818;37163;425.0;1348.0;9.7;86883;10826;-8397;-232;89312;631956;839950.0
119;2022 1e kwartaal;235168;38981;105379;238592;236691;77981;54535;22538;9.6;242.8;;137403;62392;92297;30176.0;45.4;17.5;;13672;9426;2116.0;146299;1.2;0.7;28.7;1882999;;43.1;38.3;44.6;48.7;-1.4;;27813;21530;108106;1.7;147443;101964;6142;11.0;14.4;413643;1832135;1705392;816518;9700;;;9.3;21879;3424;-1857;-932;23446;663399;818065.0
120;2022 2e kwartaal;251303;39145;103419;241388;239723;69720;62017;102812;8.3;239.0;;145625;56669;88554;33156.0;38.9;18.2;;12517;9319;2471.0;204947;1.2;0.8;27.6;1742015;;43.6;38.3;43.7;48.6;-0.1;;29518;22011;133458;0.2;175299;109119;24339;22.3;12.8;423496;1602472;1485209;827367;10841;;;7.6;19219;-9915;-1601;-217;7703;627334;745448.0
121;2022 3e kwartaal;247025;39403;118004;240740;238699;67038;57986;13586;12.6;239.8;;144608;70362;96853;28859.0;48.7;15.2;;12464;9636;2237.0;230737;1.3;0.8;28.6;1697068;;43.4;37.8;43.5;46.7;-0.1;;31083;22596;116658;-0.2;157276;112116;4542;9.2;13.0;425130;1508509;1395291;833875;6498;;;7.0;17335;-6285;-1998;-15;9052;579695;690064.0
122;2022 4e kwartaal;260324;39856;114516;258456;256999;78219;52682;31952;9.0;229.7;;150145;66818;97187;34048.0;44.5;17.3;;12604;10231;2775.0;147433;1.5;1.0;25.2;1683922;;43.3;37.7;43.2;48.4;0.0;;33392;23493;125361;0.6;168605;114248;11113;13.6;12.9;432336;1592042;1484208;836390;2527;;;11.1;28822;-1868;-1417;-485;25537;530933;642735.0
123;2022;993820;157385;441318;979176;972112;292958;227220;170888;9.0;229.7;8164.0;577781;256241;374891;126239.0;44.3;17.0;5057.0;51257;38612;9599.0;147433;1.5;1.0;25.2;1683922;194.0;43.3;37.7;43.2;48.4;0.0;1067.0;121806;89630;483583;0.6;648623;437447;46136;14.4;13.2;432336;1592042;1484208;836390;29566;425.0;1420.0;8.8;87255;-14644;-6873;-1649;65738;530933;642735.0
124;2023 1e kwartaal;257132;41414;119219;257552;255541;78018;52489;25269;5.6;220.4;;152207;69667;87204;17896.0;45.8;18.1;;13510;11596;2814.0;149457;1.7;1.2;27.1;1711221;;42.9;37.3;43.2;46.8;-0.3;;34937;24047;121183;0.7;163253;115972;5211;9.2;14.0;440394;1615326;1506482;841906;5522;;;10.5;27073;420;-1964;-338;25529;494005;621373.0
125;2023 2e kwartaal;271527;41553;111120;268189;267294;82824;58612;23364;3.7;216.4;;160698;62552;83377;21496.0;38.9;18.2;;12593;11933;3468.0;156879;1.9;1.4;25.8;1725745;;42.8;37.8;43.5;45.5;-0.6;;35014;23810;145631;1.5;191074;118246;27385;23.4;12.0;451398;1612748;1504050;845638;3727;;;10.5;28402;-3338;-852;-848;24212;506906;628969.0
126;2023 3e kwartaal;263943;41806;124347;259177;257333;72772;50500;21942;-0.2;214.6;;155975;74517;95695;21613.0;47.8;14.8;;12432;12706;3053.0;243779;2.1;1.6;25.9;1716398;;42.8;38.1;43.4;44.5;-0.5;;35752;23891;125143;1.5;169887;118931;6212;9.9;12.5;455155;1499678;1394776;849933;4292;;;10.9;28833;-4766;-1795;-445;22272;533151;646472.0
