ID;BuildingPhases;Aspects;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;Agriculture_5;ManufacturingAndConstructionIndustry_6;TradeHotelsAndRestaurants_7;TransportStorageAndCommunication_8;ProvisionOfBusinessServices_9;GovernmentAndPublicAdministration_10;Education_11;HealthAndSocialWork_12;OtherServiceActivities_13
2385;Orders received by contractors;Office buildings;2003 May;70.0;;;;;;;;;;;;
2386;Orders received by contractors;Office buildings;2003 June;75.0;;;;;;;;;;;;
2387;Orders received by contractors;Office buildings;2003 2nd quarter;259.0;;;;;;;;;;;;
2388;Orders received by contractors;Office buildings;2003 July;107.0;;;;;;;;;;;;
2389;Orders received by contractors;Office buildings;2003 August;67.0;;;;;;;;;;;;
2390;Orders received by contractors;Office buildings;2003 September;114.0;;;;;;;;;;;;
2391;Orders received by contractors;Office buildings;2003 3rd quarter;289.0;;;;;;;;;;;;
2392;Orders received by contractors;Office buildings;2003 October;142.0;;;;;;;;;;;;
2393;Orders received by contractors;Office buildings;2003 November;110.0;;;;;;;;;;;;
2394;Orders received by contractors;Office buildings;2003 December;192.0;;;;;;;;;;;;
2395;Orders received by contractors;Office buildings;2003 4th quarter;444.0;;;;;;;;;;;;
2396;Orders received by contractors;Office buildings;2003;1274.0;;;;;;;;;;;;
2397;Orders received by contractors;Office buildings;2004 January;62.0;;;;;;;;;;;;
2398;Orders received by contractors;Office buildings;2004 February;89.0;;;;;;;;;;;;
2399;Orders received by contractors;Office buildings;2004 March;173.0;;;;;;;;;;;;
2400;Orders received by contractors;Office buildings;2004 1st quarter;324.0;;;;;;;;;;;;
2401;Orders received by contractors;Office buildings;2004 April;90.0;;;;;;;;;;;;
2402;Orders received by contractors;Office buildings;2004 May;57.0;;;;;;;;;;;;
2403;Orders received by contractors;Office buildings;2004 June;141.0;;;;;;;;;;;;
2404;Orders received by contractors;Office buildings;2004 2nd quarter;288.0;;;;;;;;;;;;
2405;Orders received by contractors;Office buildings;2004 July;91.0;;;;;;;;;;;;
2406;Orders received by contractors;Office buildings;2004 August;127.0;;;;;;;;;;;;
2407;Orders received by contractors;Office buildings;2004 September;79.0;;;;;;;;;;;;
2408;Orders received by contractors;Office buildings;2004 3rd quarter;297.0;;;;;;;;;;;;
2409;Orders received by contractors;Office buildings;2004 October;118.0;;;;;;;;;;;;
2410;Orders received by contractors;Office buildings;2004 November;115.0;;;;;;;;;;;;
2411;Orders received by contractors;Office buildings;2004 December;165.0;;;;;;;;;;;;
2412;Orders received by contractors;Office buildings;2004 4th quarter;398.0;;;;;;;;;;;;
2413;Orders received by contractors;Office buildings;2004;1307.0;;;;;;;;;;;;
2414;Orders received by contractors;Office buildings;2005 January;23.0;;;;;;;;;;;;
2415;Orders received by contractors;Office buildings;2005 February;112.0;;;;;;;;;;;;
2416;Orders received by contractors;Office buildings;2005 March;63.0;;;;;;;;;;;;
2417;Orders received by contractors;Office buildings;2005 1st quarter;198.0;;;;;;;;;;;;
2418;Orders received by contractors;Office buildings;2005 April;60.0;;;;;;;;;;;;
2419;Orders received by contractors;Office buildings;2005 May;99.0;;;;;;;;;;;;
2420;Orders received by contractors;Office buildings;2005 June;180.0;;;;;;;;;;;;
2421;Orders received by contractors;Office buildings;2005 2nd quarter;339.0;;;;;;;;;;;;
2422;Orders received by contractors;Office buildings;2005 July;78.0;;;;;;;;;;;;
2423;Orders received by contractors;Office buildings;2005 August;82.0;;;;;;;;;;;;
2424;Orders received by contractors;Office buildings;2005 September;63.0;;;;;;;;;;;;
2425;Orders received by contractors;Office buildings;2005 3rd quarter;222.0;;;;;;;;;;;;
2426;Orders received by contractors;Office buildings;2005 October;163.0;;;;;;;;;;;;
2427;Orders received by contractors;Office buildings;2005 November;175.0;;;;;;;;;;;;
2428;Orders received by contractors;Office buildings;2005 December;129.0;;;;;;;;;;;;
2429;Orders received by contractors;Office buildings;2005 4th quarter;466.0;;;;;;;;;;;;
2430;Orders received by contractors;Office buildings;2005;1225.0;;;;;;;;;;;;
2431;Orders received by contractors;Office buildings;2006 January;74.0;;;;;;;;;;;;
2432;Orders received by contractors;Office buildings;2006 February;69.0;;;;;;;;;;;;
2433;Orders received by contractors;Office buildings;2006 March;96.0;;;;;;;;;;;;
2434;Orders received by contractors;Office buildings;2006 1st quarter;239.0;;;;;;;;;;;;
2435;Orders received by contractors;Office buildings;2006 April;104.0;;;;;;;;;;;;
2436;Orders received by contractors;Office buildings;2006 May;78.0;;;;;;;;;;;;
2437;Orders received by contractors;Office buildings;2006 June;84.0;;;;;;;;;;;;
2438;Orders received by contractors;Office buildings;2006 2nd quarter;265.0;;;;;;;;;;;;
2439;Orders received by contractors;Office buildings;2006 July;213.0;;;;;;;;;;;;
2440;Orders received by contractors;Office buildings;2006 August;71.0;;;;;;;;;;;;
2441;Orders received by contractors;Office buildings;2006 September;140.0;;;;;;;;;;;;
2442;Orders received by contractors;Office buildings;2006 3rd quarter;424.0;;;;;;;;;;;;
2443;Orders received by contractors;Office buildings;2006 October;59.0;;;;;;;;;;;;
2444;Orders received by contractors;Office buildings;2006 November;164.0;;;;;;;;;;;;
2445;Orders received by contractors;Office buildings;2006 December;283.0;;;;;;;;;;;;
2446;Orders received by contractors;Office buildings;2006 4th quarter;506.0;;;;;;;;;;;;
2447;Orders received by contractors;Office buildings;2006;1434.0;;;;;;;;;;;;
2448;Orders received by contractors;Office buildings;2007 January;91.0;;;;;;;;;;;;
2449;Orders received by contractors;Office buildings;2007 February;162.0;;;;;;;;;;;;
2450;Orders received by contractors;Office buildings;2007 March;182.0;;;;;;;;;;;;
2451;Orders received by contractors;Office buildings;2007 1st quarter;436.0;;;;;;;;;;;;
2452;Orders received by contractors;Office buildings;2007 April;49.0;;;;;;;;;;;;
2453;Orders received by contractors;Office buildings;2007 May;112.0;;;;;;;;;;;;
2454;Orders received by contractors;Office buildings;2007 June;124.0;;;;;;;;;;;;
2455;Orders received by contractors;Office buildings;2007 2nd quarter;285.0;;;;;;;;;;;;
2456;Orders received by contractors;Office buildings;2007 July;114.0;;;;;;;;;;;;
2457;Orders received by contractors;Office buildings;2007 August;116.0;;;;;;;;;;;;
2458;Orders received by contractors;Office buildings;2007 September;161.0;;;;;;;;;;;;
2459;Orders received by contractors;Office buildings;2007 3rd quarter;391.0;;;;;;;;;;;;
2460;Orders received by contractors;Office buildings;2007 October;89.0;;;;;;;;;;;;
2461;Orders received by contractors;Office buildings;2007 November;60.0;;;;;;;;;;;;
2462;Orders received by contractors;Office buildings;2007 December;111.0;;;;;;;;;;;;
2463;Orders received by contractors;Office buildings;2007 4th quarter;259.0;;;;;;;;;;;;
2464;Orders received by contractors;Office buildings;2007;1371.0;;;;;;;;;;;;
2465;Orders received by contractors;Office buildings;2008 January;99.0;;;;;;;;;;;;
2466;Orders received by contractors;Office buildings;2008 February;70.0;;;;;;;;;;;;
2467;Orders received by contractors;Office buildings;2008 March;82.0;;;;;;;;;;;;
2468;Orders received by contractors;Office buildings;2008 1st quarter;251.0;;;;;;;;;;;;
2469;Orders received by contractors;Office buildings;2008 April;106.0;;;;;;;;;;;;
2470;Orders received by contractors;Office buildings;2008 May;99.0;;;;;;;;;;;;
2471;Orders received by contractors;Office buildings;2008 June;154.0;;;;;;;;;;;;
2472;Orders received by contractors;Office buildings;2008 2nd quarter;359.0;;;;;;;;;;;;
2473;Orders received by contractors;Office buildings;2008 July;79.0;;;;;;;;;;;;
2474;Orders received by contractors;Office buildings;2008 August;113.0;;;;;;;;;;;;
2475;Orders received by contractors;Office buildings;2008 September;110.0;;;;;;;;;;;;
2476;Orders received by contractors;Office buildings;2008 3rd quarter;302.0;;;;;;;;;;;;
2477;Orders received by contractors;Office buildings;2008 October;230.0;;;;;;;;;;;;
2478;Orders received by contractors;Office buildings;2008 November;161.0;;;;;;;;;;;;
2479;Orders received by contractors;Office buildings;2008 December;180.0;;;;;;;;;;;;
2480;Orders received by contractors;Office buildings;2008 4th quarter;571.0;;;;;;;;;;;;
2481;Orders received by contractors;Office buildings;2008;1483.0;;;;;;;;;;;;
2482;Orders received by contractors;Office buildings;2009 January;165.0;;;;;;;;;;;;
2483;Orders received by contractors;Office buildings;2009 February;97.0;;;;;;;;;;;;
2484;Orders received by contractors;Office buildings;2009 March;89.0;;;;;;;;;;;;
2485;Orders received by contractors;Office buildings;2009 1st quarter;350.0;;;;;;;;;;;;
2486;Orders received by contractors;Office buildings;2009 April;38.0;;;;;;;;;;;;
2487;Orders received by contractors;Office buildings;2009 May;87.0;;;;;;;;;;;;
2488;Orders received by contractors;Office buildings;2009 June;132.0;;;;;;;;;;;;
2489;Orders received by contractors;Office buildings;2009 2nd quarter;257.0;;;;;;;;;;;;
2490;Orders received by contractors;Office buildings;2009 July;208.0;;;;;;;;;;;;
2491;Orders received by contractors;Office buildings;2009 August;43.0;;;;;;;;;;;;
2492;Orders received by contractors;Office buildings;2009 September;160.0;;;;;;;;;;;;
2493;Orders received by contractors;Office buildings;2009 3rd quarter;411.0;;;;;;;;;;;;
2494;Orders received by contractors;Office buildings;2009 October;75.0;;;;;;;;;;;;
2495;Orders received by contractors;Office buildings;2009 November;70.0;;;;;;;;;;;;
2496;Orders received by contractors;Office buildings;2009 December;109.0;;;;;;;;;;;;
2497;Orders received by contractors;Office buildings;2009 4th quarter;254.0;;;;;;;;;;;;
2498;Orders received by contractors;Office buildings;2009;1272.0;;;;;;;;;;;;
2499;Orders received by contractors;Office buildings;2010 January;73.0;;;;;;;;;;;;
2500;Orders received by contractors;Office buildings;2010 February;34.0;;;;;;;;;;;;
2501;Orders received by contractors;Office buildings;2010 March;30.0;;;;;;;;;;;;
2502;Orders received by contractors;Office buildings;2010 1st quarter;136.0;;;;;;;;;;;;
2503;Orders received by contractors;Office buildings;2010 April;69.0;;;;;;;;;;;;
2504;Orders received by contractors;Office buildings;2010 May;30.0;;;;;;;;;;;;
2505;Orders received by contractors;Office buildings;2010 June;63.0;;;;;;;;;;;;
2506;Orders received by contractors;Office buildings;2010 2nd quarter;162.0;;;;;;;;;;;;
2507;Orders received by contractors;Office buildings;2010 July;88.0;;;;;;;;;;;;
2508;Orders received by contractors;Office buildings;2010 August;93.0;;;;;;;;;;;;
2509;Orders received by contractors;Office buildings;2010 September;94.0;;;;;;;;;;;;
2510;Orders received by contractors;Office buildings;2010 3rd quarter;276.0;;;;;;;;;;;;
2511;Orders received by contractors;Office buildings;2010 October;68.0;;;;;;;;;;;;
2512;Orders received by contractors;Office buildings;2010 November;184.0;;;;;;;;;;;;
2513;Orders received by contractors;Office buildings;2010 December;76.0;;;;;;;;;;;;
2514;Orders received by contractors;Office buildings;2010 4th quarter;327.0;;;;;;;;;;;;
2515;Orders received by contractors;Office buildings;2010;901.0;;;;;;;;;;;;
2516;Orders received by contractors;Office buildings;2011 January;60.0;;;;;;;;;;;;
2517;Orders received by contractors;Office buildings;2011 February;35.0;;;;;;;;;;;;
2518;Orders received by contractors;Office buildings;2011 March;54.0;;;;;;;;;;;;
2519;Orders received by contractors;Office buildings;2011 1st quarter;149.0;;;;;;;;;;;;
2520;Orders received by contractors;Office buildings;2011 April;32.0;;;;;;;;;;;;
2521;Orders received by contractors;Office buildings;2011 May;42.0;;;;;;;;;;;;
2522;Orders received by contractors;Office buildings;2011 June;41.0;;;;;;;;;;;;
2523;Orders received by contractors;Office buildings;2011 2nd quarter;114.0;;;;;;;;;;;;
2524;Orders received by contractors;Office buildings;2011 July;41.0;;;;;;;;;;;;
2525;Orders received by contractors;Office buildings;2011 August;81.0;;;;;;;;;;;;
2526;Orders received by contractors;Office buildings;2011 September;28.0;;;;;;;;;;;;
2527;Orders received by contractors;Office buildings;2011 3rd quarter;149.0;;;;;;;;;;;;
2528;Orders received by contractors;Office buildings;2011 October;49.0;;;;;;;;;;;;
2529;Orders received by contractors;Office buildings;2011 November;52.0;;;;;;;;;;;;
2530;Orders received by contractors;Office buildings;2011 December;132.0;;;;;;;;;;;;
2531;Orders received by contractors;Office buildings;2011 4th quarter;234.0;;;;;;;;;;;;
2532;Orders received by contractors;Office buildings;2011;646.0;;;;;;;;;;;;
2533;Orders received by contractors;Office buildings;2012 January;13.0;;;;;;;;;;;;
2534;Orders received by contractors;Office buildings;2012 February;31.0;;;;;;;;;;;;
2535;Orders received by contractors;Office buildings;2012 March;45.0;;;;;;;;;;;;
2536;Orders received by contractors;Office buildings;2012 1st quarter;89.0;;;;;;;;;;;;
2537;Orders received by contractors;Office buildings;2012 April;23.0;;;;;;;;;;;;
2538;Orders received by contractors;Office buildings;2012 May;66.0;;;;;;;;;;;;
2539;Orders received by contractors;Office buildings;2012 June;87.0;;;;;;;;;;;;
2540;Orders received by contractors;Office buildings;2012 2nd quarter;176.0;;;;;;;;;;;;
2541;Orders received by contractors;Office buildings;2012 July;45.0;;;;;;;;;;;;
2542;Orders received by contractors;Office buildings;2012 August;53.0;;;;;;;;;;;;
2543;Orders received by contractors;Office buildings;2012 September;57.0;;;;;;;;;;;;
2544;Orders received by contractors;Office buildings;2012 3rd quarter;155.0;;;;;;;;;;;;
2545;Orders received by contractors;Office buildings;2012 October;83.0;;;;;;;;;;;;
2546;Orders received by contractors;Office buildings;2012 November;45.0;;;;;;;;;;;;
2547;Orders received by contractors;Office buildings;2012 December;124.0;;;;;;;;;;;;
2548;Orders received by contractors;Office buildings;2012 4th quarter;252.0;;;;;;;;;;;;
2549;Orders received by contractors;Office buildings;2012;672.0;;;;;;;;;;;;
2550;Orders received by contractors;Office buildings;2013 January;31.0;;;;;;;;;;;;
2551;Orders received by contractors;Office buildings;2013 February;28.0;;;;;;;;;;;;
2552;Orders received by contractors;Office buildings;2013 March;11.0;;;;;;;;;;;;
2553;Orders received by contractors;Office buildings;2013 1st quarter;70.0;;;;;;;;;;;;
2554;Orders received by contractors;Office buildings;2013 April;37.0;;;;;;;;;;;;
2555;Orders received by contractors;Office buildings;2013 May;101.0;;;;;;;;;;;;
2556;Orders received by contractors;Office buildings;2013 June;43.0;;;;;;;;;;;;
2557;Orders received by contractors;Office buildings;2013 2nd quarter;182.0;;;;;;;;;;;;
2558;Orders received by contractors;Office buildings;2013 July;85.0;;;;;;;;;;;;
2559;Orders received by contractors;Office buildings;2013 August;27.0;;;;;;;;;;;;
2560;Orders received by contractors;Office buildings;2013 September;41.0;;;;;;;;;;;;
2561;Orders received by contractors;Office buildings;2013 3rd quarter;152.0;;;;;;;;;;;;
2562;Orders received by contractors;Office buildings;2013 October;28.0;;;;;;;;;;;;
2563;Orders received by contractors;Office buildings;2013 November;4.0;;;;;;;;;;;;
2564;Orders received by contractors;Office buildings;2013 December;95.0;;;;;;;;;;;;
2565;Orders received by contractors;Office buildings;2013 4th quarter;127.0;;;;;;;;;;;;
2566;Orders received by contractors;Office buildings;2013;532.0;;;;;;;;;;;;
2567;Orders received by contractors;Office buildings;2014 January;38.0;;;;;;;;;;;;
2568;Orders received by contractors;Office buildings;2014 February;58.0;;;;;;;;;;;;
2569;Orders received by contractors;Office buildings;2014 March;21.0;;;;;;;;;;;;
2570;Orders received by contractors;Office buildings;2014 1st quarter;116.0;;;;;;;;;;;;
2571;Orders received by contractors;Office buildings;2014 April;26.0;;;;;;;;;;;;
2572;Orders received by contractors;Office buildings;2014 May;49.0;;;;;;;;;;;;
2573;Orders received by contractors;Office buildings;2014 June;16.0;;;;;;;;;;;;
2574;Orders received by contractors;Office buildings;2014 2nd quarter;91.0;;;;;;;;;;;;
2575;Orders received by contractors;Office buildings;2014 July;13.0;;;;;;;;;;;;
2576;Orders received by contractors;Office buildings;2014 August;4.0;;;;;;;;;;;;
2577;Orders received by contractors;Office buildings;2014 September;34.0;;;;;;;;;;;;
2578;Orders received by contractors;Office buildings;2014 3rd quarter;51.0;;;;;;;;;;;;
2579;Orders received by contractors;Office buildings;2014 October;16.0;;;;;;;;;;;;
2580;Orders received by contractors;Office buildings;2014 November;44.0;;;;;;;;;;;;
2581;Orders received by contractors;Office buildings;2014 December;161.0;;;;;;;;;;;;
2582;Orders received by contractors;Office buildings;2014 4th quarter;221.0;;;;;;;;;;;;
2583;Orders received by contractors;Office buildings;2014;478.0;;;;;;;;;;;;
2584;Orders received by contractors;Office buildings;2015 January;30.0;;;;;;;;;;;;
2585;Orders received by contractors;Office buildings;2015 February;26.0;;;;;;;;;;;;
2586;Orders received by contractors;Office buildings;2015 March;36.0;;;;;;;;;;;;
2587;Orders received by contractors;Office buildings;2015 1st quarter;92.0;;;;;;;;;;;;
2588;Orders received by contractors;Office buildings;2015 April;28.0;;;;;;;;;;;;
2589;Orders received by contractors;Office buildings;2015 May;33.0;;;;;;;;;;;;
2590;Orders received by contractors;Office buildings;2015 June;18.0;;;;;;;;;;;;
2591;Orders received by contractors;Office buildings;2015 2nd quarter;79.0;;;;;;;;;;;;
2592;Orders received by contractors;Office buildings;2015 July;19.0;;;;;;;;;;;;
2593;Orders received by contractors;Office buildings;2015 August;24.0;;;;;;;;;;;;
2594;Orders received by contractors;Office buildings;2015 September;23.0;;;;;;;;;;;;
2595;Orders received by contractors;Office buildings;2015 3rd quarter;66.0;;;;;;;;;;;;
2596;Orders received by contractors;Office buildings;2015 October;77.0;;;;;;;;;;;;
2597;Orders received by contractors;Office buildings;2015 November;16.0;;;;;;;;;;;;
2598;Orders received by contractors;Office buildings;2015 December;35.0;;;;;;;;;;;;
2599;Orders received by contractors;Office buildings;2015 4th quarter;128.0;;;;;;;;;;;;
2600;Orders received by contractors;Office buildings;2015;365.0;;;;;;;;;;;;
2601;Orders received by contractors;Office buildings;2016 January;7.0;;;;;;;;;;;;
2602;Orders received by contractors;Office buildings;2016 February;42.0;;;;;;;;;;;;
2603;Orders received by contractors;Office buildings;2016 March;14.0;;;;;;;;;;;;
2604;Orders received by contractors;Office buildings;2016 1st quarter;62.0;;;;;;;;;;;;
2605;Orders received by contractors;Office buildings;2016 April;109.0;;;;;;;;;;;;
2606;Orders received by contractors;Office buildings;2016 May;23.0;;;;;;;;;;;;
2607;Orders received by contractors;Office buildings;2016 June;20.0;;;;;;;;;;;;
2608;Orders received by contractors;Office buildings;2016 2nd quarter;152.0;;;;;;;;;;;;
2609;Orders received by contractors;Office buildings;2016 July;37.0;;;;;;;;;;;;
2610;Orders received by contractors;Office buildings;2016 August;13.0;;;;;;;;;;;;
2611;Orders received by contractors;Office buildings;2016 September;50.0;;;;;;;;;;;;
2612;Orders received by contractors;Office buildings;2016 3rd quarter;101.0;;;;;;;;;;;;
2613;Orders received by contractors;Office buildings;2016 October;72.0;;;;;;;;;;;;
2614;Orders received by contractors;Office buildings;2016 November;87.0;;;;;;;;;;;;
2615;Orders received by contractors;Office buildings;2016 December;31.0;;;;;;;;;;;;
2616;Orders received by contractors;Office buildings;2016 4th quarter;191.0;;;;;;;;;;;;
2617;Orders received by contractors;Office buildings;2016;505.0;;;;;;;;;;;;
2618;Orders received by contractors;Company halls with office buildings;1995 January;;;;;;;;;;;;;
2619;Orders received by contractors;Company halls with office buildings;1995 February;;;;;;;;;;;;;
2620;Orders received by contractors;Company halls with office buildings;1995 March;;;;;;;;;;;;;
2621;Orders received by contractors;Company halls with office buildings;1995 1st quarter;;;;;;;;;;;;;
2622;Orders received by contractors;Company halls with office buildings;1995 April;;;;;;;;;;;;;
2623;Orders received by contractors;Company halls with office buildings;1995 May;;;;;;;;;;;;;
2624;Orders received by contractors;Company halls with office buildings;1995 June;;;;;;;;;;;;;
2625;Orders received by contractors;Company halls with office buildings;1995 2nd quarter;;;;;;;;;;;;;
2626;Orders received by contractors;Company halls with office buildings;1995 July;;;;;;;;;;;;;
2627;Orders received by contractors;Company halls with office buildings;1995 August;;;;;;;;;;;;;
2628;Orders received by contractors;Company halls with office buildings;1995 September;;;;;;;;;;;;;
2629;Orders received by contractors;Company halls with office buildings;1995 3rd quarter;;;;;;;;;;;;;
2630;Orders received by contractors;Company halls with office buildings;1995 October;;;;;;;;;;;;;
2631;Orders received by contractors;Company halls with office buildings;1995 November;;;;;;;;;;;;;
2632;Orders received by contractors;Company halls with office buildings;1995 December;;;;;;;;;;;;;
2633;Orders received by contractors;Company halls with office buildings;1995 4th quarter;;;;;;;;;;;;;
2634;Orders received by contractors;Company halls with office buildings;1995;;;;;;;;;;;;;
2635;Orders received by contractors;Company halls with office buildings;1996 January;;;;;;;;;;;;;
2636;Orders received by contractors;Company halls with office buildings;1996 February;;;;;;;;;;;;;
2637;Orders received by contractors;Company halls with office buildings;1996 March;;;;;;;;;;;;;
2638;Orders received by contractors;Company halls with office buildings;1996 1st quarter;;;;;;;;;;;;;
2639;Orders received by contractors;Company halls with office buildings;1996 April;;;;;;;;;;;;;
2640;Orders received by contractors;Company halls with office buildings;1996 May;;;;;;;;;;;;;
2641;Orders received by contractors;Company halls with office buildings;1996 June;;;;;;;;;;;;;
2642;Orders received by contractors;Company halls with office buildings;1996 2nd quarter;;;;;;;;;;;;;
2643;Orders received by contractors;Company halls with office buildings;1996 July;;;;;;;;;;;;;
2644;Orders received by contractors;Company halls with office buildings;1996 August;;;;;;;;;;;;;
2645;Orders received by contractors;Company halls with office buildings;1996 September;;;;;;;;;;;;;
2646;Orders received by contractors;Company halls with office buildings;1996 3rd quarter;;;;;;;;;;;;;
2647;Orders received by contractors;Company halls with office buildings;1996 October;;;;;;;;;;;;;
2648;Orders received by contractors;Company halls with office buildings;1996 November;;;;;;;;;;;;;
2649;Orders received by contractors;Company halls with office buildings;1996 December;;;;;;;;;;;;;
2650;Orders received by contractors;Company halls with office buildings;1996 4th quarter;;;;;;;;;;;;;
2651;Orders received by contractors;Company halls with office buildings;1996;;;;;;;;;;;;;
2652;Orders received by contractors;Company halls with office buildings;1997 January;;;;;;;;;;;;;
2653;Orders received by contractors;Company halls with office buildings;1997 February;;;;;;;;;;;;;
2654;Orders received by contractors;Company halls with office buildings;1997 March;;;;;;;;;;;;;
2655;Orders received by contractors;Company halls with office buildings;1997 1st quarter;;;;;;;;;;;;;
2656;Orders received by contractors;Company halls with office buildings;1997 April;;;;;;;;;;;;;
2657;Orders received by contractors;Company halls with office buildings;1997 May;;;;;;;;;;;;;
2658;Orders received by contractors;Company halls with office buildings;1997 June;;;;;;;;;;;;;
2659;Orders received by contractors;Company halls with office buildings;1997 2nd quarter;;;;;;;;;;;;;
2660;Orders received by contractors;Company halls with office buildings;1997 July;;;;;;;;;;;;;
2661;Orders received by contractors;Company halls with office buildings;1997 August;;;;;;;;;;;;;
2662;Orders received by contractors;Company halls with office buildings;1997 September;;;;;;;;;;;;;
2663;Orders received by contractors;Company halls with office buildings;1997 3rd quarter;;;;;;;;;;;;;
2664;Orders received by contractors;Company halls with office buildings;1997 October;;;;;;;;;;;;;
2665;Orders received by contractors;Company halls with office buildings;1997 November;;;;;;;;;;;;;
2666;Orders received by contractors;Company halls with office buildings;1997 December;;;;;;;;;;;;;
2667;Orders received by contractors;Company halls with office buildings;1997 4th quarter;;;;;;;;;;;;;
2668;Orders received by contractors;Company halls with office buildings;1997;;;;;;;;;;;;;
2669;Orders received by contractors;Company halls with office buildings;1998 January;;;;;;;;;;;;;
2670;Orders received by contractors;Company halls with office buildings;1998 February;;;;;;;;;;;;;
2671;Orders received by contractors;Company halls with office buildings;1998 March;;;;;;;;;;;;;
2672;Orders received by contractors;Company halls with office buildings;1998 1st quarter;;;;;;;;;;;;;
2673;Orders received by contractors;Company halls with office buildings;1998 April;;;;;;;;;;;;;
2674;Orders received by contractors;Company halls with office buildings;1998 May;;;;;;;;;;;;;
2675;Orders received by contractors;Company halls with office buildings;1998 June;;;;;;;;;;;;;
2676;Orders received by contractors;Company halls with office buildings;1998 2nd quarter;;;;;;;;;;;;;
2677;Orders received by contractors;Company halls with office buildings;1998 July;;;;;;;;;;;;;
2678;Orders received by contractors;Company halls with office buildings;1998 August;;;;;;;;;;;;;
2679;Orders received by contractors;Company halls with office buildings;1998 September;;;;;;;;;;;;;
2680;Orders received by contractors;Company halls with office buildings;1998 3rd quarter;;;;;;;;;;;;;
2681;Orders received by contractors;Company halls with office buildings;1998 October;;;;;;;;;;;;;
2682;Orders received by contractors;Company halls with office buildings;1998 November;;;;;;;;;;;;;
2683;Orders received by contractors;Company halls with office buildings;1998 December;;;;;;;;;;;;;
2684;Orders received by contractors;Company halls with office buildings;1998 4th quarter;;;;;;;;;;;;;
2685;Orders received by contractors;Company halls with office buildings;1998;;;;;;;;;;;;;
2686;Orders received by contractors;Company halls with office buildings;1999 January;;;;;;;;;;;;;
2687;Orders received by contractors;Company halls with office buildings;1999 February;;;;;;;;;;;;;
2688;Orders received by contractors;Company halls with office buildings;1999 March;;;;;;;;;;;;;
2689;Orders received by contractors;Company halls with office buildings;1999 1st quarter;;;;;;;;;;;;;
2690;Orders received by contractors;Company halls with office buildings;1999 April;;;;;;;;;;;;;
2691;Orders received by contractors;Company halls with office buildings;1999 May;;;;;;;;;;;;;
2692;Orders received by contractors;Company halls with office buildings;1999 June;;;;;;;;;;;;;
2693;Orders received by contractors;Company halls with office buildings;1999 2nd quarter;;;;;;;;;;;;;
2694;Orders received by contractors;Company halls with office buildings;1999 July;;;;;;;;;;;;;
2695;Orders received by contractors;Company halls with office buildings;1999 August;;;;;;;;;;;;;
2696;Orders received by contractors;Company halls with office buildings;1999 September;;;;;;;;;;;;;
2697;Orders received by contractors;Company halls with office buildings;1999 3rd quarter;;;;;;;;;;;;;
2698;Orders received by contractors;Company halls with office buildings;1999 October;;;;;;;;;;;;;
2699;Orders received by contractors;Company halls with office buildings;1999 November;;;;;;;;;;;;;
2700;Orders received by contractors;Company halls with office buildings;1999 December;;;;;;;;;;;;;
2701;Orders received by contractors;Company halls with office buildings;1999 4th quarter;;;;;;;;;;;;;
2702;Orders received by contractors;Company halls with office buildings;1999;;;;;;;;;;;;;
2703;Orders received by contractors;Company halls with office buildings;2000 January;130.0;;;;;;;;;;;;
2704;Orders received by contractors;Company halls with office buildings;2000 February;144.0;;;;;;;;;;;;
2705;Orders received by contractors;Company halls with office buildings;2000 March;121.0;;;;;;;;;;;;
2706;Orders received by contractors;Company halls with office buildings;2000 1st quarter;395.0;;;;;;;;;;;;
2707;Orders received by contractors;Company halls with office buildings;2000 April;112.0;;;;;;;;;;;;
2708;Orders received by contractors;Company halls with office buildings;2000 May;148.0;;;;;;;;;;;;
2709;Orders received by contractors;Company halls with office buildings;2000 June;146.0;;;;;;;;;;;;
2710;Orders received by contractors;Company halls with office buildings;2000 2nd quarter;407.0;;;;;;;;;;;;
2711;Orders received by contractors;Company halls with office buildings;2000 July;95.0;;;;;;;;;;;;
2712;Orders received by contractors;Company halls with office buildings;2000 August;202.0;;;;;;;;;;;;
2713;Orders received by contractors;Company halls with office buildings;2000 September;198.0;;;;;;;;;;;;
2714;Orders received by contractors;Company halls with office buildings;2000 3rd quarter;496.0;;;;;;;;;;;;
2715;Orders received by contractors;Company halls with office buildings;2000 October;136.0;;;;;;;;;;;;
2716;Orders received by contractors;Company halls with office buildings;2000 November;170.0;;;;;;;;;;;;
2717;Orders received by contractors;Company halls with office buildings;2000 December;180.0;;;;;;;;;;;;
2718;Orders received by contractors;Company halls with office buildings;2000 4th quarter;486.0;;;;;;;;;;;;
2719;Orders received by contractors;Company halls with office buildings;2000;1784.0;;;;;;;;;;;;
2720;Orders received by contractors;Company halls with office buildings;2001 January;138.0;;;;;;;;;;;;
2721;Orders received by contractors;Company halls with office buildings;2001 February;173.0;;;;;;;;;;;;
2722;Orders received by contractors;Company halls with office buildings;2001 March;182.0;;;;;;;;;;;;
2723;Orders received by contractors;Company halls with office buildings;2001 1st quarter;493.0;;;;;;;;;;;;
2724;Orders received by contractors;Company halls with office buildings;2001 April;165.0;;;;;;;;;;;;
2725;Orders received by contractors;Company halls with office buildings;2001 May;186.0;;;;;;;;;;;;
