ID;EmissionSources;EmissionToAir;Periods;EmissionToAir_1
2153;13-15 Man. of textile-, leatherproducts;Dinitrogen oxide (N2O);2019;0.0
2154;13-15 Man. of textile-, leatherproducts;Dinitrogen oxide (N2O);2020;0.0
2155;13-15 Man. of textile-, leatherproducts;Dinitrogen oxide (N2O);2021;0.0
2156;13-15 Man. of textile-, leatherproducts;Dinitrogen oxide (N2O);2022;0.0
2157;13-15 Man. of textile-, leatherproducts;Dinitrogen oxide (N2O);2023;0.0
2158;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);1990;0.0
2159;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);1995;0.0
2160;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2000;0.0
2161;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2001;0.0
2162;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2002;0.0
2163;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2003;0.0
2164;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2004;0.0
2165;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2005;0.0
2166;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2006;0.0
2167;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2007;0.0
2168;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2008;0.0
2169;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2009;0.0
2170;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2010;0.0
2171;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2011;0.0
2172;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2012;0.0
2173;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2013;0.0
2174;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2014;0.0
2175;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2015;0.0
2176;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2016;0.0
2177;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2017;0.0
2178;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2018;0.0
2179;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2019;0.0
2180;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2020;0.0
2181;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2021;0.0
2182;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2022;0.0
2183;13-15 Man. of textile-, leatherproducts;Ammonia (NH3);2023;0.0
2184;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);1990;0.6
2185;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);1995;0.4
2186;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2000;0.2
2187;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2001;0.2
2188;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2002;0.2
2189;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2003;0.2
2190;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2004;0.2
2191;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2005;0.1
2192;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2006;0.1
2193;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2007;0.1
2194;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2008;0.1
2195;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2009;0.1
2196;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2010;0.1
2197;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2011;0.1
2198;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2012;0.1
2199;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2013;0.1
2200;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2014;0.1
2201;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2015;0.1
2202;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2016;0.1
2203;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2017;0.1
2204;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2018;0.1
2205;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2019;0.1
2206;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2020;0.1
2207;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2021;0.1
2208;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2022;0.1
2209;13-15 Man. of textile-, leatherproducts;Nitrogen oxides (NOx);2023;0.1
2210;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);1990;0.8
2211;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);1995;0.0
2212;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2000;0.0
2213;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2001;0.0
2214;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2002;0.0
2215;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2003;0.0
2216;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2004;0.0
2217;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2005;0.0
2218;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2006;0.0
2219;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2007;0.0
2220;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2008;0.0
2221;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2009;0.0
2222;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2010;0.0
2223;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2011;0.0
2224;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2012;0.0
2225;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2013;0.0
2226;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2014;0.0
2227;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2015;0.0
2228;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2016;0.0
2229;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2017;0.0
2230;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2018;0.0
2231;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2019;0.0
2232;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2020;0.0
2233;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2021;0.0
2234;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2022;0.0
2235;13-15 Man. of textile-, leatherproducts;Sulphur dioxide (SO2);2023;0.0
2236;13-15 Man. of textile-, leatherproducts;NMVOC;1990;2.5
2237;13-15 Man. of textile-, leatherproducts;NMVOC;1995;0.6
2238;13-15 Man. of textile-, leatherproducts;NMVOC;2000;0.5
2239;13-15 Man. of textile-, leatherproducts;NMVOC;2001;0.5
2240;13-15 Man. of textile-, leatherproducts;NMVOC;2002;0.6
2241;13-15 Man. of textile-, leatherproducts;NMVOC;2003;0.5
2242;13-15 Man. of textile-, leatherproducts;NMVOC;2004;0.5
2243;13-15 Man. of textile-, leatherproducts;NMVOC;2005;0.5
2244;13-15 Man. of textile-, leatherproducts;NMVOC;2006;0.6
2245;13-15 Man. of textile-, leatherproducts;NMVOC;2007;0.5
2246;13-15 Man. of textile-, leatherproducts;NMVOC;2008;0.5
2247;13-15 Man. of textile-, leatherproducts;NMVOC;2009;0.4
2248;13-15 Man. of textile-, leatherproducts;NMVOC;2010;0.4
2249;13-15 Man. of textile-, leatherproducts;NMVOC;2011;0.5
2250;13-15 Man. of textile-, leatherproducts;NMVOC;2012;0.5
2251;13-15 Man. of textile-, leatherproducts;NMVOC;2013;0.5
2252;13-15 Man. of textile-, leatherproducts;NMVOC;2014;0.4
2253;13-15 Man. of textile-, leatherproducts;NMVOC;2015;0.4
2254;13-15 Man. of textile-, leatherproducts;NMVOC;2016;0.4
2255;13-15 Man. of textile-, leatherproducts;NMVOC;2017;0.5
2256;13-15 Man. of textile-, leatherproducts;NMVOC;2018;0.5
2257;13-15 Man. of textile-, leatherproducts;NMVOC;2019;0.5
2258;13-15 Man. of textile-, leatherproducts;NMVOC;2020;0.4
2259;13-15 Man. of textile-, leatherproducts;NMVOC;2021;0.4
2260;13-15 Man. of textile-, leatherproducts;NMVOC;2022;0.4
2261;13-15 Man. of textile-, leatherproducts;NMVOC;2023;0.4
2262;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);1990;0.3
2263;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);1995;0.1
2264;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2000;0.1
2265;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2001;0.1
2266;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2002;0.1
2267;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2003;0.1
2268;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2004;0.1
2269;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2005;0.1
2270;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2006;0.1
2271;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2007;0.1
2272;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2008;0.1
2273;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2009;0.1
2274;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2010;0.1
2275;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2011;0.1
2276;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2012;0.1
2277;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2013;0.1
2278;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2014;0.1
2279;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2015;0.1
2280;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2016;0.1
2281;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2017;0.1
2282;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2018;0.1
2283;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2019;0.1
2284;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2020;0.1
2285;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2021;0.1
2286;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2022;0.1
2287;13-15 Man. of textile-, leatherproducts;PM10 (Particulate matter);2023;0.1
2288;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);1990;0.1
2289;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);1995;0.0
2290;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2000;0.0
2291;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2001;0.0
2292;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2002;0.0
2293;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2003;0.0
2294;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2004;0.0
2295;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2005;0.0
2296;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2006;0.0
2297;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2007;0.0
2298;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2008;0.0
2299;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2009;0.0
2300;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2010;0.0
2301;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2011;0.0
2302;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2012;0.0
2303;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2013;0.0
2304;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2014;0.0
2305;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2015;0.0
2306;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2016;0.0
2307;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2017;0.0
2308;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2018;0.0
2309;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2019;0.0
2310;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2020;0.0
2311;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2021;0.0
2312;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2022;0.0
2313;13-15 Man. of textile-, leatherproducts;PM2.5 (Particulate matter);2023;0.0
2314;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);1990;0.2
2315;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);1995;0.3
2316;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2000;0.3
2317;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2001;0.2
2318;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2002;0.2
2319;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2003;0.2
2320;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2004;0.2
2321;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2005;0.2
2322;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2006;0.1
2323;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2007;0.1
2324;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2008;0.1
2325;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2009;0.1
2326;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2010;0.1
2327;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2011;0.1
2328;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2012;0.1
2329;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2013;0.1
2330;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2014;0.1
2331;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2015;0.1
2332;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2016;0.1
2333;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2017;0.1
2334;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2018;0.1
2335;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2019;0.1
2336;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2020;0.1
2337;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2021;0.1
2338;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2022;0.1
2339;13-15 Man. of textile-, leatherproducts;Carbon monoxide (CO);2023;0.1
2340;16 Manufacture of wood products;Carbon dioxide (CO2);1990;100.0
2341;16 Manufacture of wood products;Carbon dioxide (CO2);1995;100.0
2342;16 Manufacture of wood products;Carbon dioxide (CO2);2000;200.0
2343;16 Manufacture of wood products;Carbon dioxide (CO2);2001;100.0
2344;16 Manufacture of wood products;Carbon dioxide (CO2);2002;100.0
2345;16 Manufacture of wood products;Carbon dioxide (CO2);2003;100.0
2346;16 Manufacture of wood products;Carbon dioxide (CO2);2004;100.0
2347;16 Manufacture of wood products;Carbon dioxide (CO2);2005;100.0
2348;16 Manufacture of wood products;Carbon dioxide (CO2);2006;100.0
2349;16 Manufacture of wood products;Carbon dioxide (CO2);2007;100.0
2350;16 Manufacture of wood products;Carbon dioxide (CO2);2008;100.0
2351;16 Manufacture of wood products;Carbon dioxide (CO2);2009;200.0
2352;16 Manufacture of wood products;Carbon dioxide (CO2);2010;100.0
2353;16 Manufacture of wood products;Carbon dioxide (CO2);2011;200.0
2354;16 Manufacture of wood products;Carbon dioxide (CO2);2012;100.0
2355;16 Manufacture of wood products;Carbon dioxide (CO2);2013;100.0
2356;16 Manufacture of wood products;Carbon dioxide (CO2);2014;200.0
2357;16 Manufacture of wood products;Carbon dioxide (CO2);2015;200.0
2358;16 Manufacture of wood products;Carbon dioxide (CO2);2016;200.0
2359;16 Manufacture of wood products;Carbon dioxide (CO2);2017;100.0
2360;16 Manufacture of wood products;Carbon dioxide (CO2);2018;100.0
2361;16 Manufacture of wood products;Carbon dioxide (CO2);2019;100.0
2362;16 Manufacture of wood products;Carbon dioxide (CO2);2020;100.0
2363;16 Manufacture of wood products;Carbon dioxide (CO2);2021;100.0
2364;16 Manufacture of wood products;Carbon dioxide (CO2);2022;100.0
2365;16 Manufacture of wood products;Carbon dioxide (CO2);2023;100.0
2366;16 Manufacture of wood products;Methane (CH4);1990;0.0
2367;16 Manufacture of wood products;Methane (CH4);1995;0.0
2368;16 Manufacture of wood products;Methane (CH4);2000;0.0
2369;16 Manufacture of wood products;Methane (CH4);2001;0.0
2370;16 Manufacture of wood products;Methane (CH4);2002;0.0
2371;16 Manufacture of wood products;Methane (CH4);2003;0.0
2372;16 Manufacture of wood products;Methane (CH4);2004;0.0
2373;16 Manufacture of wood products;Methane (CH4);2005;0.0
2374;16 Manufacture of wood products;Methane (CH4);2006;0.0
2375;16 Manufacture of wood products;Methane (CH4);2007;0.0
2376;16 Manufacture of wood products;Methane (CH4);2008;0.0
2377;16 Manufacture of wood products;Methane (CH4);2009;0.0
2378;16 Manufacture of wood products;Methane (CH4);2010;0.0
2379;16 Manufacture of wood products;Methane (CH4);2011;0.0
2380;16 Manufacture of wood products;Methane (CH4);2012;0.0
2381;16 Manufacture of wood products;Methane (CH4);2013;0.0
2382;16 Manufacture of wood products;Methane (CH4);2014;0.0
2383;16 Manufacture of wood products;Methane (CH4);2015;0.0
2384;16 Manufacture of wood products;Methane (CH4);2016;0.0
2385;16 Manufacture of wood products;Methane (CH4);2017;0.0
2386;16 Manufacture of wood products;Methane (CH4);2018;0.0
2387;16 Manufacture of wood products;Methane (CH4);2019;0.0
2388;16 Manufacture of wood products;Methane (CH4);2020;0.0
2389;16 Manufacture of wood products;Methane (CH4);2021;0.0
2390;16 Manufacture of wood products;Methane (CH4);2022;0.0
2391;16 Manufacture of wood products;Methane (CH4);2023;0.0
2392;16 Manufacture of wood products;Dinitrogen oxide (N2O);1990;0.0
2393;16 Manufacture of wood products;Dinitrogen oxide (N2O);1995;0.0
2394;16 Manufacture of wood products;Dinitrogen oxide (N2O);2000;0.0
2395;16 Manufacture of wood products;Dinitrogen oxide (N2O);2001;0.0
2396;16 Manufacture of wood products;Dinitrogen oxide (N2O);2002;0.0
2397;16 Manufacture of wood products;Dinitrogen oxide (N2O);2003;0.0
2398;16 Manufacture of wood products;Dinitrogen oxide (N2O);2004;0.0
2399;16 Manufacture of wood products;Dinitrogen oxide (N2O);2005;0.0
2400;16 Manufacture of wood products;Dinitrogen oxide (N2O);2006;0.0
2401;16 Manufacture of wood products;Dinitrogen oxide (N2O);2007;0.0
2402;16 Manufacture of wood products;Dinitrogen oxide (N2O);2008;0.0
2403;16 Manufacture of wood products;Dinitrogen oxide (N2O);2009;0.0
2404;16 Manufacture of wood products;Dinitrogen oxide (N2O);2010;0.0
2405;16 Manufacture of wood products;Dinitrogen oxide (N2O);2011;0.0
2406;16 Manufacture of wood products;Dinitrogen oxide (N2O);2012;0.0
2407;16 Manufacture of wood products;Dinitrogen oxide (N2O);2013;0.0
2408;16 Manufacture of wood products;Dinitrogen oxide (N2O);2014;0.0
2409;16 Manufacture of wood products;Dinitrogen oxide (N2O);2015;0.0
2410;16 Manufacture of wood products;Dinitrogen oxide (N2O);2016;0.0
2411;16 Manufacture of wood products;Dinitrogen oxide (N2O);2017;0.0
2412;16 Manufacture of wood products;Dinitrogen oxide (N2O);2018;0.0
2413;16 Manufacture of wood products;Dinitrogen oxide (N2O);2019;0.0
2414;16 Manufacture of wood products;Dinitrogen oxide (N2O);2020;0.0
2415;16 Manufacture of wood products;Dinitrogen oxide (N2O);2021;0.0
2416;16 Manufacture of wood products;Dinitrogen oxide (N2O);2022;0.0
2417;16 Manufacture of wood products;Dinitrogen oxide (N2O);2023;0.0
2418;16 Manufacture of wood products;Ammonia (NH3);1990;0.0
2419;16 Manufacture of wood products;Ammonia (NH3);1995;0.0
2420;16 Manufacture of wood products;Ammonia (NH3);2000;0.0
2421;16 Manufacture of wood products;Ammonia (NH3);2001;0.0
2422;16 Manufacture of wood products;Ammonia (NH3);2002;0.0
2423;16 Manufacture of wood products;Ammonia (NH3);2003;0.0
2424;16 Manufacture of wood products;Ammonia (NH3);2004;0.0
2425;16 Manufacture of wood products;Ammonia (NH3);2005;0.0
2426;16 Manufacture of wood products;Ammonia (NH3);2006;0.0
2427;16 Manufacture of wood products;Ammonia (NH3);2007;0.0
2428;16 Manufacture of wood products;Ammonia (NH3);2008;0.0
2429;16 Manufacture of wood products;Ammonia (NH3);2009;0.0
2430;16 Manufacture of wood products;Ammonia (NH3);2010;0.0
2431;16 Manufacture of wood products;Ammonia (NH3);2011;0.0
2432;16 Manufacture of wood products;Ammonia (NH3);2012;0.0
2433;16 Manufacture of wood products;Ammonia (NH3);2013;0.0
2434;16 Manufacture of wood products;Ammonia (NH3);2014;0.0
2435;16 Manufacture of wood products;Ammonia (NH3);2015;0.0
2436;16 Manufacture of wood products;Ammonia (NH3);2016;0.0
2437;16 Manufacture of wood products;Ammonia (NH3);2017;0.0
2438;16 Manufacture of wood products;Ammonia (NH3);2018;0.0
2439;16 Manufacture of wood products;Ammonia (NH3);2019;0.0
2440;16 Manufacture of wood products;Ammonia (NH3);2020;0.0
2441;16 Manufacture of wood products;Ammonia (NH3);2021;0.0
2442;16 Manufacture of wood products;Ammonia (NH3);2022;0.0
2443;16 Manufacture of wood products;Ammonia (NH3);2023;0.0
2444;16 Manufacture of wood products;Nitrogen oxides (NOx);1990;0.1
2445;16 Manufacture of wood products;Nitrogen oxides (NOx);1995;0.1
2446;16 Manufacture of wood products;Nitrogen oxides (NOx);2000;0.1
2447;16 Manufacture of wood products;Nitrogen oxides (NOx);2001;0.1
2448;16 Manufacture of wood products;Nitrogen oxides (NOx);2002;0.0
2449;16 Manufacture of wood products;Nitrogen oxides (NOx);2003;0.0
2450;16 Manufacture of wood products;Nitrogen oxides (NOx);2004;0.2
2451;16 Manufacture of wood products;Nitrogen oxides (NOx);2005;0.2
2452;16 Manufacture of wood products;Nitrogen oxides (NOx);2006;0.2
2453;16 Manufacture of wood products;Nitrogen oxides (NOx);2007;0.2
2454;16 Manufacture of wood products;Nitrogen oxides (NOx);2008;0.2
2455;16 Manufacture of wood products;Nitrogen oxides (NOx);2009;0.2
2456;16 Manufacture of wood products;Nitrogen oxides (NOx);2010;0.2
2457;16 Manufacture of wood products;Nitrogen oxides (NOx);2011;0.2
2458;16 Manufacture of wood products;Nitrogen oxides (NOx);2012;0.2
2459;16 Manufacture of wood products;Nitrogen oxides (NOx);2013;0.2
2460;16 Manufacture of wood products;Nitrogen oxides (NOx);2014;0.2
2461;16 Manufacture of wood products;Nitrogen oxides (NOx);2015;0.2
2462;16 Manufacture of wood products;Nitrogen oxides (NOx);2016;0.2
2463;16 Manufacture of wood products;Nitrogen oxides (NOx);2017;0.1
2464;16 Manufacture of wood products;Nitrogen oxides (NOx);2018;0.1
2465;16 Manufacture of wood products;Nitrogen oxides (NOx);2019;0.1
2466;16 Manufacture of wood products;Nitrogen oxides (NOx);2020;0.1
2467;16 Manufacture of wood products;Nitrogen oxides (NOx);2021;0.1
2468;16 Manufacture of wood products;Nitrogen oxides (NOx);2022;0.1
2469;16 Manufacture of wood products;Nitrogen oxides (NOx);2023;0.1
2470;16 Manufacture of wood products;Sulphur dioxide (SO2);1990;0.0
2471;16 Manufacture of wood products;Sulphur dioxide (SO2);1995;0.0
2472;16 Manufacture of wood products;Sulphur dioxide (SO2);2000;0.0
2473;16 Manufacture of wood products;Sulphur dioxide (SO2);2001;0.0
2474;16 Manufacture of wood products;Sulphur dioxide (SO2);2002;0.0
2475;16 Manufacture of wood products;Sulphur dioxide (SO2);2003;0.0
2476;16 Manufacture of wood products;Sulphur dioxide (SO2);2004;0.0
2477;16 Manufacture of wood products;Sulphur dioxide (SO2);2005;0.0
2478;16 Manufacture of wood products;Sulphur dioxide (SO2);2006;0.0
2479;16 Manufacture of wood products;Sulphur dioxide (SO2);2007;0.0
2480;16 Manufacture of wood products;Sulphur dioxide (SO2);2008;0.0
2481;16 Manufacture of wood products;Sulphur dioxide (SO2);2009;0.0
2482;16 Manufacture of wood products;Sulphur dioxide (SO2);2010;0.0
2483;16 Manufacture of wood products;Sulphur dioxide (SO2);2011;0.0
2484;16 Manufacture of wood products;Sulphur dioxide (SO2);2012;0.0
2485;16 Manufacture of wood products;Sulphur dioxide (SO2);2013;0.0
2486;16 Manufacture of wood products;Sulphur dioxide (SO2);2014;0.0
2487;16 Manufacture of wood products;Sulphur dioxide (SO2);2015;0.0
2488;16 Manufacture of wood products;Sulphur dioxide (SO2);2016;0.0
2489;16 Manufacture of wood products;Sulphur dioxide (SO2);2017;0.0
2490;16 Manufacture of wood products;Sulphur dioxide (SO2);2018;0.0
2491;16 Manufacture of wood products;Sulphur dioxide (SO2);2019;0.0
2492;16 Manufacture of wood products;Sulphur dioxide (SO2);2020;0.0
2493;16 Manufacture of wood products;Sulphur dioxide (SO2);2021;0.0
2494;16 Manufacture of wood products;Sulphur dioxide (SO2);2022;0.0
2495;16 Manufacture of wood products;Sulphur dioxide (SO2);2023;0.0
2496;16 Manufacture of wood products;NMVOC;1990;5.1
2497;16 Manufacture of wood products;NMVOC;1995;3.8
2498;16 Manufacture of wood products;NMVOC;2000;2.9
2499;16 Manufacture of wood products;NMVOC;2001;3.0
2500;16 Manufacture of wood products;NMVOC;2002;2.6
2501;16 Manufacture of wood products;NMVOC;2003;2.1
2502;16 Manufacture of wood products;NMVOC;2004;1.3
2503;16 Manufacture of wood products;NMVOC;2005;0.8
2504;16 Manufacture of wood products;NMVOC;2006;0.8
2505;16 Manufacture of wood products;NMVOC;2007;0.7
2506;16 Manufacture of wood products;NMVOC;2008;0.6
2507;16 Manufacture of wood products;NMVOC;2009;0.5
2508;16 Manufacture of wood products;NMVOC;2010;0.5
2509;16 Manufacture of wood products;NMVOC;2011;0.4
2510;16 Manufacture of wood products;NMVOC;2012;0.4
2511;16 Manufacture of wood products;NMVOC;2013;0.4
2512;16 Manufacture of wood products;NMVOC;2014;0.3
2513;16 Manufacture of wood products;NMVOC;2015;0.2
2514;16 Manufacture of wood products;NMVOC;2016;0.2
2515;16 Manufacture of wood products;NMVOC;2017;0.2
2516;16 Manufacture of wood products;NMVOC;2018;0.2
2517;16 Manufacture of wood products;NMVOC;2019;0.2
2518;16 Manufacture of wood products;NMVOC;2020;0.2
2519;16 Manufacture of wood products;NMVOC;2021;0.2
2520;16 Manufacture of wood products;NMVOC;2022;0.2
2521;16 Manufacture of wood products;NMVOC;2023;0.2
2522;16 Manufacture of wood products;PM10 (Particulate matter);1990;0.5
2523;16 Manufacture of wood products;PM10 (Particulate matter);1995;0.4
2524;16 Manufacture of wood products;PM10 (Particulate matter);2000;0.4
2525;16 Manufacture of wood products;PM10 (Particulate matter);2001;0.4
2526;16 Manufacture of wood products;PM10 (Particulate matter);2002;0.4
2527;16 Manufacture of wood products;PM10 (Particulate matter);2003;0.3
2528;16 Manufacture of wood products;PM10 (Particulate matter);2004;0.3
