ID;SectorsBranches;Periods;BusinessConfidence_1
474;19-22 Refineries and chemistry;2009 2nd quarter;-18.0
475;19-22 Refineries and chemistry;2009 3rd quarter;-8.5
476;19-22 Refineries and chemistry;2009 4th quarter;-12.0
477;19-22 Refineries and chemistry;2010 1st quarter;-4.5
478;19-22 Refineries and chemistry;2010 2nd quarter;-4.4
479;19-22 Refineries and chemistry;2010 3rd quarter;0.5
480;19-22 Refineries and chemistry;2010 4th quarter;5.0
481;19-22 Refineries and chemistry;2011 1st quarter;5.5
482;19-22 Refineries and chemistry;2011 2nd quarter;5.6
483;19-22 Refineries and chemistry;2011 3rd quarter;1.9
484;19-22 Refineries and chemistry;2011 4th quarter;-3.8
485;19-22 Refineries and chemistry;2012 1st quarter;1.2
486;19-22 Refineries and chemistry;2012 2nd quarter;2.1
487;19-22 Refineries and chemistry;2012 3rd quarter;-8.4
488;19-22 Refineries and chemistry;2012 4th quarter;-5.7
489;19-22 Refineries and chemistry;2013 1st quarter;-2.7
490;19-22 Refineries and chemistry;2013 2nd quarter;-2.7
491;19-22 Refineries and chemistry;2013 3rd quarter;3.4
492;19-22 Refineries and chemistry;2013 4th quarter;4.2
493;19-22 Refineries and chemistry;2014 1st quarter;7.4
494;19-22 Refineries and chemistry;2014 2nd quarter;4.1
495;19-22 Refineries and chemistry;2014 3rd quarter;1.6
496;19-22 Refineries and chemistry;2014 4th quarter;5.2
497;19-22 Refineries and chemistry;2015 1st quarter;4.0
498;19-22 Refineries and chemistry;2015 2nd quarter;3.6
499;19-22 Refineries and chemistry;2015 3rd quarter;7.8
500;19-22 Refineries and chemistry;2015 4th quarter;5.4
501;19-22 Refineries and chemistry;2016 1st quarter;6.9
502;19-22 Refineries and chemistry;2016 2nd quarter;7.0
503;19-22 Refineries and chemistry;2016 3rd quarter;7.7
504;19-22 Refineries and chemistry;2016 4th quarter;2.6
505;19-22 Refineries and chemistry;2017 1st quarter;10.7
506;19-22 Refineries and chemistry;2017 2nd quarter;10.2
507;19-22 Refineries and chemistry;2017 3rd quarter;5.6
508;19-22 Refineries and chemistry;2017 4th quarter;6.7
509;19-22 Refineries and chemistry;2018 1st quarter;11.2
510;19-22 Refineries and chemistry;2018 2nd quarter;5.8
511;19-22 Refineries and chemistry;2018 3rd quarter;8.7
512;19-22 Refineries and chemistry;2018 4th quarter;2.4
513;19-22 Refineries and chemistry;2019 1st quarter;2.2
514;19-22 Refineries and chemistry;2019 2nd quarter;5.5
515;19-22 Refineries and chemistry;2019 3rd quarter;3.3
516;19-22 Refineries and chemistry;2019 4th quarter;2.4
517;19-22 Refineries and chemistry;2020 1st quarter;1.2
518;19-22 Refineries and chemistry;2020 2nd quarter;-25.3
519;19-22 Refineries and chemistry;2020 3rd quarter;-5.4
520;19-22 Refineries and chemistry;2020 4th quarter;0.0
521;19-22 Refineries and chemistry;2021 1st quarter;3.4
522;19-22 Refineries and chemistry;2021 2nd quarter;9.5
523;19-22 Refineries and chemistry;2021 3rd quarter;11.2
524;19-22 Refineries and chemistry;2021 4th quarter;11.7
525;19-22 Refineries and chemistry;2022 1st quarter;8.8
526;19-22 Refineries and chemistry;2022 2nd quarter;6.6
527;19-22 Refineries and chemistry;2022 3rd quarter;4.5
528;19-22 Refineries and chemistry;2022 4th quarter;-7.7
529;19-22 Refineries and chemistry;2023 1st quarter;-6.0
530;19-22 Refineries and chemistry;2023 2nd quarter;-3.0
531;24-25 Man. of basic metals and -products;2008 4th quarter;1.4
532;24-25 Man. of basic metals and -products;2009 1st quarter;-19.0
533;24-25 Man. of basic metals and -products;2009 2nd quarter;-22.1
534;24-25 Man. of basic metals and -products;2009 3rd quarter;-16.5
535;24-25 Man. of basic metals and -products;2009 4th quarter;-10.3
536;24-25 Man. of basic metals and -products;2010 1st quarter;-7.0
537;24-25 Man. of basic metals and -products;2010 2nd quarter;-3.5
538;24-25 Man. of basic metals and -products;2010 3rd quarter;-0.2
539;24-25 Man. of basic metals and -products;2010 4th quarter;1.1
540;24-25 Man. of basic metals and -products;2011 1st quarter;9.7
541;24-25 Man. of basic metals and -products;2011 2nd quarter;7.7
542;24-25 Man. of basic metals and -products;2011 3rd quarter;-0.8
543;24-25 Man. of basic metals and -products;2011 4th quarter;-1.3
544;24-25 Man. of basic metals and -products;2012 1st quarter;-0.2
545;24-25 Man. of basic metals and -products;2012 2nd quarter;-5.7
546;24-25 Man. of basic metals and -products;2012 3rd quarter;-8.7
547;24-25 Man. of basic metals and -products;2012 4th quarter;-13.8
548;24-25 Man. of basic metals and -products;2013 1st quarter;-12.0
549;24-25 Man. of basic metals and -products;2013 2nd quarter;-8.1
550;24-25 Man. of basic metals and -products;2013 3rd quarter;-12.5
551;24-25 Man. of basic metals and -products;2013 4th quarter;1.0
552;24-25 Man. of basic metals and -products;2014 1st quarter;-1.5
553;24-25 Man. of basic metals and -products;2014 2nd quarter;1.4
554;24-25 Man. of basic metals and -products;2014 3rd quarter;-3.2
555;24-25 Man. of basic metals and -products;2014 4th quarter;-2.0
556;24-25 Man. of basic metals and -products;2015 1st quarter;2.3
557;24-25 Man. of basic metals and -products;2015 2nd quarter;7.3
558;24-25 Man. of basic metals and -products;2015 3rd quarter;-0.5
559;24-25 Man. of basic metals and -products;2015 4th quarter;0.1
560;24-25 Man. of basic metals and -products;2016 1st quarter;4.4
561;24-25 Man. of basic metals and -products;2016 2nd quarter;6.7
562;24-25 Man. of basic metals and -products;2016 3rd quarter;9.2
563;24-25 Man. of basic metals and -products;2016 4th quarter;4.4
564;24-25 Man. of basic metals and -products;2017 1st quarter;6.7
565;24-25 Man. of basic metals and -products;2017 2nd quarter;9.3
566;24-25 Man. of basic metals and -products;2017 3rd quarter;5.8
567;24-25 Man. of basic metals and -products;2017 4th quarter;7.5
568;24-25 Man. of basic metals and -products;2018 1st quarter;8.9
569;24-25 Man. of basic metals and -products;2018 2nd quarter;6.9
570;24-25 Man. of basic metals and -products;2018 3rd quarter;5.0
571;24-25 Man. of basic metals and -products;2018 4th quarter;6.5
572;24-25 Man. of basic metals and -products;2019 1st quarter;0.6
573;24-25 Man. of basic metals and -products;2019 2nd quarter;9.1
574;24-25 Man. of basic metals and -products;2019 3rd quarter;4.4
575;24-25 Man. of basic metals and -products;2019 4th quarter;1.2
576;24-25 Man. of basic metals and -products;2020 1st quarter;3.8
577;24-25 Man. of basic metals and -products;2020 2nd quarter;-32.7
578;24-25 Man. of basic metals and -products;2020 3rd quarter;-20.4
579;24-25 Man. of basic metals and -products;2020 4th quarter;-9.3
580;24-25 Man. of basic metals and -products;2021 1st quarter;2.7
581;24-25 Man. of basic metals and -products;2021 2nd quarter;5.9
582;24-25 Man. of basic metals and -products;2021 3rd quarter;10.7
583;24-25 Man. of basic metals and -products;2021 4th quarter;12.0
584;24-25 Man. of basic metals and -products;2022 1st quarter;8.4
585;24-25 Man. of basic metals and -products;2022 2nd quarter;6.7
586;24-25 Man. of basic metals and -products;2022 3rd quarter;5.4
587;24-25 Man. of basic metals and -products;2022 4th quarter;2.5
588;24-25 Man. of basic metals and -products;2023 1st quarter;4.5
589;24-25 Man. of basic metals and -products;2023 2nd quarter;5.8
590;26-28 Manufact of electronics, machinery;2008 4th quarter;-10.0
591;26-28 Manufact of electronics, machinery;2009 1st quarter;-30.2
592;26-28 Manufact of electronics, machinery;2009 2nd quarter;-31.3
593;26-28 Manufact of electronics, machinery;2009 3rd quarter;-24.6
594;26-28 Manufact of electronics, machinery;2009 4th quarter;-11.3
595;26-28 Manufact of electronics, machinery;2010 1st quarter;0.4
596;26-28 Manufact of electronics, machinery;2010 2nd quarter;0.2
597;26-28 Manufact of electronics, machinery;2010 3rd quarter;7.2
598;26-28 Manufact of electronics, machinery;2010 4th quarter;11.7
599;26-28 Manufact of electronics, machinery;2011 1st quarter;9.0
600;26-28 Manufact of electronics, machinery;2011 2nd quarter;15.5
601;26-28 Manufact of electronics, machinery;2011 3rd quarter;-2.5
602;26-28 Manufact of electronics, machinery;2011 4th quarter;0.5
603;26-28 Manufact of electronics, machinery;2012 1st quarter;-3.2
604;26-28 Manufact of electronics, machinery;2012 2nd quarter;-4.6
605;26-28 Manufact of electronics, machinery;2012 3rd quarter;-2.7
606;26-28 Manufact of electronics, machinery;2012 4th quarter;-6.9
607;26-28 Manufact of electronics, machinery;2013 1st quarter;-5.6
608;26-28 Manufact of electronics, machinery;2013 2nd quarter;-3.7
609;26-28 Manufact of electronics, machinery;2013 3rd quarter;1.5
610;26-28 Manufact of electronics, machinery;2013 4th quarter;0.8
611;26-28 Manufact of electronics, machinery;2014 1st quarter;2.7
612;26-28 Manufact of electronics, machinery;2014 2nd quarter;1.1
613;26-28 Manufact of electronics, machinery;2014 3rd quarter;-0.7
614;26-28 Manufact of electronics, machinery;2014 4th quarter;7.2
615;26-28 Manufact of electronics, machinery;2015 1st quarter;5.0
616;26-28 Manufact of electronics, machinery;2015 2nd quarter;4.6
617;26-28 Manufact of electronics, machinery;2015 3rd quarter;3.8
618;26-28 Manufact of electronics, machinery;2015 4th quarter;2.3
619;26-28 Manufact of electronics, machinery;2016 1st quarter;5.8
620;26-28 Manufact of electronics, machinery;2016 2nd quarter;5.7
621;26-28 Manufact of electronics, machinery;2016 3rd quarter;5.9
622;26-28 Manufact of electronics, machinery;2016 4th quarter;6.1
623;26-28 Manufact of electronics, machinery;2017 1st quarter;8.4
624;26-28 Manufact of electronics, machinery;2017 2nd quarter;6.2
625;26-28 Manufact of electronics, machinery;2017 3rd quarter;7.9
626;26-28 Manufact of electronics, machinery;2017 4th quarter;13.2
627;26-28 Manufact of electronics, machinery;2018 1st quarter;11.0
628;26-28 Manufact of electronics, machinery;2018 2nd quarter;6.4
629;26-28 Manufact of electronics, machinery;2018 3rd quarter;5.0
630;26-28 Manufact of electronics, machinery;2018 4th quarter;10.0
631;26-28 Manufact of electronics, machinery;2019 1st quarter;10.3
632;26-28 Manufact of electronics, machinery;2019 2nd quarter;11.4
633;26-28 Manufact of electronics, machinery;2019 3rd quarter;6.0
634;26-28 Manufact of electronics, machinery;2019 4th quarter;5.4
635;26-28 Manufact of electronics, machinery;2020 1st quarter;0.3
636;26-28 Manufact of electronics, machinery;2020 2nd quarter;-27.1
637;26-28 Manufact of electronics, machinery;2020 3rd quarter;-8.2
638;26-28 Manufact of electronics, machinery;2020 4th quarter;-7.4
639;26-28 Manufact of electronics, machinery;2021 1st quarter;5.8
640;26-28 Manufact of electronics, machinery;2021 2nd quarter;14.9
641;26-28 Manufact of electronics, machinery;2021 3rd quarter;23.2
642;26-28 Manufact of electronics, machinery;2021 4th quarter;24.6
643;26-28 Manufact of electronics, machinery;2022 1st quarter;16.4
644;26-28 Manufact of electronics, machinery;2022 2nd quarter;22.8
645;26-28 Manufact of electronics, machinery;2022 3rd quarter;24.1
646;26-28 Manufact of electronics, machinery;2022 4th quarter;18.6
647;26-28 Manufact of electronics, machinery;2023 1st quarter;16.1
648;26-28 Manufact of electronics, machinery;2023 2nd quarter;15.3
649;29-30 Transport equipment;2008 4th quarter;-4.9
650;29-30 Transport equipment;2009 1st quarter;-23.0
651;29-30 Transport equipment;2009 2nd quarter;-23.0
652;29-30 Transport equipment;2009 3rd quarter;-23.1
653;29-30 Transport equipment;2009 4th quarter;-20.8
654;29-30 Transport equipment;2010 1st quarter;-20.0
655;29-30 Transport equipment;2010 2nd quarter;-11.5
656;29-30 Transport equipment;2010 3rd quarter;-1.3
657;29-30 Transport equipment;2010 4th quarter;3.5
658;29-30 Transport equipment;2011 1st quarter;5.1
659;29-30 Transport equipment;2011 2nd quarter;3.1
660;29-30 Transport equipment;2011 3rd quarter;-8.0
661;29-30 Transport equipment;2011 4th quarter;-4.3
662;29-30 Transport equipment;2012 1st quarter;-1.9
663;29-30 Transport equipment;2012 2nd quarter;-1.9
664;29-30 Transport equipment;2012 3rd quarter;-6.9
665;29-30 Transport equipment;2012 4th quarter;-5.2
666;29-30 Transport equipment;2013 1st quarter;-3.8
667;29-30 Transport equipment;2013 2nd quarter;-7.5
668;29-30 Transport equipment;2013 3rd quarter;-8.5
669;29-30 Transport equipment;2013 4th quarter;5.7
670;29-30 Transport equipment;2014 1st quarter;-4.0
671;29-30 Transport equipment;2014 2nd quarter;1.9
672;29-30 Transport equipment;2014 3rd quarter;1.8
673;29-30 Transport equipment;2014 4th quarter;5.1
674;29-30 Transport equipment;2015 1st quarter;3.2
675;29-30 Transport equipment;2015 2nd quarter;-0.2
676;29-30 Transport equipment;2015 3rd quarter;4.4
677;29-30 Transport equipment;2015 4th quarter;3.2
678;29-30 Transport equipment;2016 1st quarter;-1.0
679;29-30 Transport equipment;2016 2nd quarter;0.5
680;29-30 Transport equipment;2016 3rd quarter;-6.8
681;29-30 Transport equipment;2016 4th quarter;3.0
682;29-30 Transport equipment;2017 1st quarter;8.3
683;29-30 Transport equipment;2017 2nd quarter;4.3
684;29-30 Transport equipment;2017 3rd quarter;3.0
685;29-30 Transport equipment;2017 4th quarter;18.0
686;29-30 Transport equipment;2018 1st quarter;20.0
687;29-30 Transport equipment;2018 2nd quarter;17.3
688;29-30 Transport equipment;2018 3rd quarter;8.8
689;29-30 Transport equipment;2018 4th quarter;1.1
690;29-30 Transport equipment;2019 1st quarter;4.3
691;29-30 Transport equipment;2019 2nd quarter;-3.9
692;29-30 Transport equipment;2019 3rd quarter;-5.7
693;29-30 Transport equipment;2019 4th quarter;-6.2
694;29-30 Transport equipment;2020 1st quarter;-11.1
695;29-30 Transport equipment;2020 2nd quarter;-46.0
696;29-30 Transport equipment;2020 3rd quarter;-5.6
697;29-30 Transport equipment;2020 4th quarter;1.4
698;29-30 Transport equipment;2021 1st quarter;2.5
699;29-30 Transport equipment;2021 2nd quarter;12.4
700;29-30 Transport equipment;2021 3rd quarter;15.8
701;29-30 Transport equipment;2021 4th quarter;4.0
702;29-30 Transport equipment;2022 1st quarter;18.9
703;29-30 Transport equipment;2022 2nd quarter;15.1
704;29-30 Transport equipment;2022 3rd quarter;8.0
705;29-30 Transport equipment;2022 4th quarter;15.3
706;29-30 Transport equipment;2023 1st quarter;14.1
707;29-30 Transport equipment;2023 2nd quarter;13.9
708;F Construction;2008 4th quarter;-1.5
709;F Construction;2009 1st quarter;-9.5
710;F Construction;2009 2nd quarter;-22.0
711;F Construction;2009 3rd quarter;-26.7
712;F Construction;2009 4th quarter;-26.3
713;F Construction;2010 1st quarter;-20.5
714;F Construction;2010 2nd quarter;-28.2
715;F Construction;2010 3rd quarter;-21.4
716;F Construction;2010 4th quarter;-12.3
717;F Construction;2011 1st quarter;-18.0
718;F Construction;2011 2nd quarter;-5.2
719;F Construction;2011 3rd quarter;-6.0
720;F Construction;2011 4th quarter;-17.9
721;F Construction;2012 1st quarter;-14.1
722;F Construction;2012 2nd quarter;-22.7
723;F Construction;2012 3rd quarter;-28.5
724;F Construction;2012 4th quarter;-28.9
725;F Construction;2013 1st quarter;-25.8
726;F Construction;2013 2nd quarter;-35.3
727;F Construction;2013 3rd quarter;-24.3
728;F Construction;2013 4th quarter;-17.2
729;F Construction;2014 1st quarter;-11.8
730;F Construction;2014 2nd quarter;-4.3
731;F Construction;2014 3rd quarter;-10.0
732;F Construction;2014 4th quarter;-2.2
733;F Construction;2015 1st quarter;2.7
734;F Construction;2015 2nd quarter;5.1
735;F Construction;2015 3rd quarter;16.8
736;F Construction;2015 4th quarter;8.3
737;F Construction;2016 1st quarter;17.6
738;F Construction;2016 2nd quarter;12.2
739;F Construction;2016 3rd quarter;16.6
740;F Construction;2016 4th quarter;28.7
741;F Construction;2017 1st quarter;27.2
742;F Construction;2017 2nd quarter;34.7
743;F Construction;2017 3rd quarter;33.5
744;F Construction;2017 4th quarter;23.6
745;F Construction;2018 1st quarter;34.5
746;F Construction;2018 2nd quarter;27.1
747;F Construction;2018 3rd quarter;32.5
748;F Construction;2018 4th quarter;33.3
749;F Construction;2019 1st quarter;31.2
750;F Construction;2019 2nd quarter;27.8
751;F Construction;2019 3rd quarter;20.6
752;F Construction;2019 4th quarter;15.3
753;F Construction;2020 1st quarter;13.6
754;F Construction;2020 2nd quarter;-10.6
755;F Construction;2020 3rd quarter;-4.0
756;F Construction;2020 4th quarter;5.4
757;F Construction;2021 1st quarter;12.1
758;F Construction;2021 2nd quarter;14.3
759;F Construction;2021 3rd quarter;13.2
760;F Construction;2021 4th quarter;24.9
761;F Construction;2022 1st quarter;23.1
762;F Construction;2022 2nd quarter;12.5
763;F Construction;2022 3rd quarter;18.6
764;F Construction;2022 4th quarter;9.7
765;F Construction;2023 1st quarter;12.6
766;F Construction;2023 2nd quarter;16.0
767;G Wholesale and retail trade;2008 4th quarter;1.0
768;G Wholesale and retail trade;2009 1st quarter;-25.6
769;G Wholesale and retail trade;2009 2nd quarter;-33.4
770;G Wholesale and retail trade;2009 3rd quarter;-21.1
771;G Wholesale and retail trade;2009 4th quarter;-14.7
772;G Wholesale and retail trade;2010 1st quarter;-6.4
773;G Wholesale and retail trade;2010 2nd quarter;4.5
774;G Wholesale and retail trade;2010 3rd quarter;1.8
775;G Wholesale and retail trade;2010 4th quarter;7.6
776;G Wholesale and retail trade;2011 1st quarter;9.3
777;G Wholesale and retail trade;2011 2nd quarter;14.3
778;G Wholesale and retail trade;2011 3rd quarter;6.0
779;G Wholesale and retail trade;2011 4th quarter;-3.2
780;G Wholesale and retail trade;2012 1st quarter;-5.7
781;G Wholesale and retail trade;2012 2nd quarter;-5.2
782;G Wholesale and retail trade;2012 3rd quarter;-7.8
783;G Wholesale and retail trade;2012 4th quarter;-12.5
784;G Wholesale and retail trade;2013 1st quarter;-16.8
785;G Wholesale and retail trade;2013 2nd quarter;-17.0
786;G Wholesale and retail trade;2013 3rd quarter;-9.1
787;G Wholesale and retail trade;2013 4th quarter;-3.2
788;G Wholesale and retail trade;2014 1st quarter;2.8
789;G Wholesale and retail trade;2014 2nd quarter;8.0
790;G Wholesale and retail trade;2014 3rd quarter;8.9
791;G Wholesale and retail trade;2014 4th quarter;8.6
792;G Wholesale and retail trade;2015 1st quarter;3.9
793;G Wholesale and retail trade;2015 2nd quarter;10.7
794;G Wholesale and retail trade;2015 3rd quarter;10.1
795;G Wholesale and retail trade;2015 4th quarter;15.0
796;G Wholesale and retail trade;2016 1st quarter;14.3
797;G Wholesale and retail trade;2016 2nd quarter;13.0
798;G Wholesale and retail trade;2016 3rd quarter;14.4
799;G Wholesale and retail trade;2016 4th quarter;14.5
800;G Wholesale and retail trade;2017 1st quarter;19.3
801;G Wholesale and retail trade;2017 2nd quarter;21.0
802;G Wholesale and retail trade;2017 3rd quarter;24.9
803;G Wholesale and retail trade;2017 4th quarter;17.5
804;G Wholesale and retail trade;2018 1st quarter;23.3
805;G Wholesale and retail trade;2018 2nd quarter;17.8
806;G Wholesale and retail trade;2018 3rd quarter;20.0
807;G Wholesale and retail trade;2018 4th quarter;15.9
808;G Wholesale and retail trade;2019 1st quarter;11.8
809;G Wholesale and retail trade;2019 2nd quarter;10.7
810;G Wholesale and retail trade;2019 3rd quarter;10.9
811;G Wholesale and retail trade;2019 4th quarter;8.5
812;G Wholesale and retail trade;2020 1st quarter;8.8
813;G Wholesale and retail trade;2020 2nd quarter;-28.4
814;G Wholesale and retail trade;2020 3rd quarter;-11.3
815;G Wholesale and retail trade;2020 4th quarter;0.9
816;G Wholesale and retail trade;2021 1st quarter;-4.5
817;G Wholesale and retail trade;2021 2nd quarter;7.0
818;G Wholesale and retail trade;2021 3rd quarter;19.3
819;G Wholesale and retail trade;2021 4th quarter;16.0
820;G Wholesale and retail trade;2022 1st quarter;4.9
821;G Wholesale and retail trade;2022 2nd quarter;12.7
822;G Wholesale and retail trade;2022 3rd quarter;5.5
823;G Wholesale and retail trade;2022 4th quarter;-1.1
824;G Wholesale and retail trade;2023 1st quarter;6.6
825;G Wholesale and retail trade;2023 2nd quarter;10.1
826;45+47 Retail sale and car trade;2008 4th quarter;8.9
827;45+47 Retail sale and car trade;2009 1st quarter;-13.2
828;45+47 Retail sale and car trade;2009 2nd quarter;-12.6
829;45+47 Retail sale and car trade;2009 3rd quarter;-9.3
830;45+47 Retail sale and car trade;2009 4th quarter;-12.2
831;45+47 Retail sale and car trade;2010 1st quarter;-2.1
832;45+47 Retail sale and car trade;2010 2nd quarter;3.5
833;45+47 Retail sale and car trade;2010 3rd quarter;0.0
834;45+47 Retail sale and car trade;2010 4th quarter;8.3
835;45+47 Retail sale and car trade;2011 1st quarter;1.9
836;45+47 Retail sale and car trade;2011 2nd quarter;5.2
837;45+47 Retail sale and car trade;2011 3rd quarter;2.2
838;45+47 Retail sale and car trade;2011 4th quarter;-1.3
839;45+47 Retail sale and car trade;2012 1st quarter;-3.9
840;45+47 Retail sale and car trade;2012 2nd quarter;-2.9
841;45+47 Retail sale and car trade;2012 3rd quarter;-1.3
842;45+47 Retail sale and car trade;2012 4th quarter;-8.4
843;45+47 Retail sale and car trade;2013 1st quarter;-8.5
844;45+47 Retail sale and car trade;2013 2nd quarter;-8.4
845;45+47 Retail sale and car trade;2013 3rd quarter;-4.7
846;45+47 Retail sale and car trade;2013 4th quarter;-6.3
847;45+47 Retail sale and car trade;2014 1st quarter;-3.7
848;45+47 Retail sale and car trade;2014 2nd quarter;0.5
849;45+47 Retail sale and car trade;2014 3rd quarter;5.5
850;45+47 Retail sale and car trade;2014 4th quarter;4.5
851;45+47 Retail sale and car trade;2015 1st quarter;0.3
852;45+47 Retail sale and car trade;2015 2nd quarter;8.2
853;45+47 Retail sale and car trade;2015 3rd quarter;8.8
854;45+47 Retail sale and car trade;2015 4th quarter;8.5
855;45+47 Retail sale and car trade;2016 1st quarter;5.4
856;45+47 Retail sale and car trade;2016 2nd quarter;2.0
857;45+47 Retail sale and car trade;2016 3rd quarter;8.8
858;45+47 Retail sale and car trade;2016 4th quarter;7.0
859;45+47 Retail sale and car trade;2017 1st quarter;8.8
860;45+47 Retail sale and car trade;2017 2nd quarter;9.5
861;45+47 Retail sale and car trade;2017 3rd quarter;15.4
862;45+47 Retail sale and car trade;2017 4th quarter;13.2
863;45+47 Retail sale and car trade;2018 1st quarter;12.3
864;45+47 Retail sale and car trade;2018 2nd quarter;4.1
865;45+47 Retail sale and car trade;2018 3rd quarter;5.8
866;45+47 Retail sale and car trade;2018 4th quarter;11.2
867;45+47 Retail sale and car trade;2019 1st quarter;5.5
868;45+47 Retail sale and car trade;2019 2nd quarter;5.6
869;45+47 Retail sale and car trade;2019 3rd quarter;7.3
870;45+47 Retail sale and car trade;2019 4th quarter;4.4
871;45+47 Retail sale and car trade;2020 1st quarter;3.0
872;45+47 Retail sale and car trade;2020 2nd quarter;-18.9
873;45+47 Retail sale and car trade;2020 3rd quarter;1.8
874;45+47 Retail sale and car trade;2020 4th quarter;0.1
875;45+47 Retail sale and car trade;2021 1st quarter;-12.6
876;45+47 Retail sale and car trade;2021 2nd quarter;-2.3
877;45+47 Retail sale and car trade;2021 3rd quarter;7.7
878;45+47 Retail sale and car trade;2021 4th quarter;2.5
879;45+47 Retail sale and car trade;2022 1st quarter;-4.2
880;45+47 Retail sale and car trade;2022 2nd quarter;2.6
881;45+47 Retail sale and car trade;2022 3rd quarter;1.7
882;45+47 Retail sale and car trade;2022 4th quarter;1.8
883;45+47 Retail sale and car trade;2023 1st quarter;5.0
884;45+47 Retail sale and car trade;2023 2nd quarter;6.6
885;45 Sale and repair of motor vehicles;2008 4th quarter;-23.2
886;45 Sale and repair of motor vehicles;2009 1st quarter;-43.3
887;45 Sale and repair of motor vehicles;2009 2nd quarter;-43.3
888;45 Sale and repair of motor vehicles;2009 3rd quarter;-26.6
889;45 Sale and repair of motor vehicles;2009 4th quarter;-30.0
890;45 Sale and repair of motor vehicles;2010 1st quarter;-9.5
891;45 Sale and repair of motor vehicles;2010 2nd quarter;4.8
892;45 Sale and repair of motor vehicles;2010 3rd quarter;-3.5
893;45 Sale and repair of motor vehicles;2010 4th quarter;2.8
894;45 Sale and repair of motor vehicles;2011 1st quarter;10.2
895;45 Sale and repair of motor vehicles;2011 2nd quarter;3.4
896;45 Sale and repair of motor vehicles;2011 3rd quarter;-0.5
897;45 Sale and repair of motor vehicles;2011 4th quarter;-4.2
898;45 Sale and repair of motor vehicles;2012 1st quarter;-14.8
899;45 Sale and repair of motor vehicles;2012 2nd quarter;-20.9
900;45 Sale and repair of motor vehicles;2012 3rd quarter;-24.6
901;45 Sale and repair of motor vehicles;2012 4th quarter;-32.8
902;45 Sale and repair of motor vehicles;2013 1st quarter;-23.2
903;45 Sale and repair of motor vehicles;2013 2nd quarter;-25.9
904;45 Sale and repair of motor vehicles;2013 3rd quarter;-11.9
905;45 Sale and repair of motor vehicles;2013 4th quarter;-16.0
906;45 Sale and repair of motor vehicles;2014 1st quarter;1.0
907;45 Sale and repair of motor vehicles;2014 2nd quarter;-12.8
908;45 Sale and repair of motor vehicles;2014 3rd quarter;-4.3
909;45 Sale and repair of motor vehicles;2014 4th quarter;-4.7
910;45 Sale and repair of motor vehicles;2015 1st quarter;-3.7
911;45 Sale and repair of motor vehicles;2015 2nd quarter;2.7
912;45 Sale and repair of motor vehicles;2015 3rd quarter;4.9
913;45 Sale and repair of motor vehicles;2015 4th quarter;11.4
914;45 Sale and repair of motor vehicles;2016 1st quarter;0.9
915;45 Sale and repair of motor vehicles;2016 2nd quarter;-0.9
916;45 Sale and repair of motor vehicles;2016 3rd quarter;4.0
917;45 Sale and repair of motor vehicles;2016 4th quarter;-0.3
918;45 Sale and repair of motor vehicles;2017 1st quarter;2.7
919;45 Sale and repair of motor vehicles;2017 2nd quarter;9.1
920;45 Sale and repair of motor vehicles;2017 3rd quarter;6.3
921;45 Sale and repair of motor vehicles;2017 4th quarter;7.4
922;45 Sale and repair of motor vehicles;2018 1st quarter;9.2
923;45 Sale and repair of motor vehicles;2018 2nd quarter;6.7
924;45 Sale and repair of motor vehicles;2018 3rd quarter;-0.8
925;45 Sale and repair of motor vehicles;2018 4th quarter;2.7
926;45 Sale and repair of motor vehicles;2019 1st quarter;-5.1
927;45 Sale and repair of motor vehicles;2019 2nd quarter;-5.3
928;45 Sale and repair of motor vehicles;2019 3rd quarter;-12.7
929;45 Sale and repair of motor vehicles;2019 4th quarter;-7.2
930;45 Sale and repair of motor vehicles;2020 1st quarter;-7.6
931;45 Sale and repair of motor vehicles;2020 2nd quarter;-46.9
932;45 Sale and repair of motor vehicles;2020 3rd quarter;-9.0
933;45 Sale and repair of motor vehicles;2020 4th quarter;-6.9
934;45 Sale and repair of motor vehicles;2021 1st quarter;-20.5
935;45 Sale and repair of motor vehicles;2021 2nd quarter;-6.2
936;45 Sale and repair of motor vehicles;2021 3rd quarter;16.1
937;45 Sale and repair of motor vehicles;2021 4th quarter;4.8
938;45 Sale and repair of motor vehicles;2022 1st quarter;1.7
939;45 Sale and repair of motor vehicles;2022 2nd quarter;4.5
940;45 Sale and repair of motor vehicles;2022 3rd quarter;3.4
941;45 Sale and repair of motor vehicles;2022 4th quarter;5.5
942;45 Sale and repair of motor vehicles;2023 1st quarter;11.6
943;45 Sale and repair of motor vehicles;2023 2nd quarter;4.0
944;46 Wholesale trade (no motor vehicles);2008 4th quarter;-3.9
945;46 Wholesale trade (no motor vehicles);2009 1st quarter;-33.1
946;46 Wholesale trade (no motor vehicles);2009 2nd quarter;-46.1
947;46 Wholesale trade (no motor vehicles);2009 3rd quarter;-28.3
948;46 Wholesale trade (no motor vehicles);2009 4th quarter;-16.2
949;46 Wholesale trade (no motor vehicles);2010 1st quarter;-9.1
950;46 Wholesale trade (no motor vehicles);2010 2nd quarter;5.1
951;46 Wholesale trade (no motor vehicles);2010 3rd quarter;2.8
952;46 Wholesale trade (no motor vehicles);2010 4th quarter;7.2
953;46 Wholesale trade (no motor vehicles);2011 1st quarter;14.0
