ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;AmsterdamAnders_6;CDA_7;CU_8;CUSGP_9;D66_10;DeGroenen_11;DeGroenenNoordHollandAnders_12;DemocratischPlatformNederland_13;DrenthsBelangDOP_14;FNP_15;GemeentebelangenFrieslandGF_16;GL_17;LeefbaarBrabantBOF_18;LeefbaarFlevoland_19;LeefbaarGelderlandDeGroenen_20;LeefbaarNoordHolland_21;LeefbaarProvincialePartijLPP_22;LeefbaarProvincieUtrecht_23;LeefbaarZuidHolland_24;LijstHolsteijn_25;LijstNieuwePolitiekLNP_26;LijstVeldhoen_27;LPF_28;MOOIZUIDHOLLANDDeGroenen_29;NederlandseVolksUnieNVU_30;NieuweCommunistischePartijNCPN_31;NieuweToekomstPartijNTP_32;NSap_33;OnafhankelijkePartijDrenthe_34;OuderenpartijNHVSP_35;PartijNieuwLimburgPNL_36;PartijVoorHetNoorden_37;PARTIJVOORZEELANDPVZ_38;PolitiekePartijAlianza_39;PvdA_40;SGP_41;SP_42;VERENIGDESENIORENPARTIJ_43;VIPVooruitstrevendeIntegratiePartij_44;VVD_45;AmsterdamAnders_46;CDA_47;CU_48;CUSGP_49;D66_50;DeGroenen_51;DeGroenenNoordHollandAnders_52;DemocratischPlatformNederland_53;DrenthsBelangDOP_54;FNP_55;GemeentebelangenFrieslandGF_56;GL_57;LeefbaarBrabantBOF_58;LeefbaarFlevoland_59;LeefbaarGelderlandDeGroenen_60;LeefbaarNoordHolland_61;LeefbaarProvincialePartijLPP_62;LeefbaarProvincieUtrecht_63;LeefbaarZuidHolland_64;LijstHolsteijn_65;LijstNieuwePolitiekLNP_66;LijstVeldhoen_67;LPF_68;MOOIZUIDHOLLANDDeGroenen_69;NederlandseVolksUnieNVU_70;NieuweCommunistischePartijNCPN_71;NieuweToekomstPartijNTP_72;NSap_73;OnafhankelijkePartijDrenthe_74;OuderenpartijNHVSP_75;PartijNieuwLimburgPNL_76;PartijVoorHetNoorden_77;PARTIJVOORZEELANDPVZ_78;PolitiekePartijAlianza_79;PvdA_80;SGP_81;SP_82;VERENIGDESENIORENPARTIJ_83;VIPVooruitstrevendeIntegratiePartij_84;VVD_85;Gemeente_86;Landsdeel_87;Provincie_88;COROPGebied_89;Kamerkieskring_90;Stadsgewest_91;GrootstedelijkeAgglomeratie_92
61;Boarnsterhim;14446;64.7;9344;9338;6;;1474;;137.0;266;;;;;2013.0;141.0;463;;;;;;;;;;;145;;;14.0;;;;;;;;;2965;;345.0;;;1375;;15.8;;1.5;2.8;;;;;21.6;1.5;5.0;;;;;;;;;;;1.6;;;0.1;;;;;;;;;31.8;;3.7;;;14.7;0055;1;21;04;02;00;00
62;Bodegraven;14184;51.0;7235;7224;11;;2530;599.0;;222;;;;;;;302;;;;;;;41.0;2.0;0.0;0.0;141;13.0;;;2.0;0.0;;;;;;0.0;1084;635.0;225.0;44.0;0.0;1384;;35.0;8.3;;3.1;;;;;;;4.2;;;;;;;0.6;0.0;0.0;0.0;2.0;0.2;;;0.0;0.0;;;;;;0.0;15.0;8.8;3.1;0.6;0.0;19.2;0497;3;28;28;15;00;00
63;Boekel;6870;51.4;3528;3526;2;;2264;;4.0;65;;;;;;;83;16.0;;;;;;;;2.0;;78;;;;;;;;;;;;454;;215.0;14.0;;331;;64.2;;0.1;1.8;;;;;;;2.4;0.5;;;;;;;;0.1;;2.2;;;;;;;;;;;;12.9;;6.1;0.4;;9.4;0755;4;30;35;18;00;00
64;Ten Boer;5240;66.4;3481;3469;12;;916;598.0;;121;;;;;;;175;;;;;;;;;;;43;;;9.0;;;;;;124.0;;;1016;;124.0;;;343;;26.4;17.2;;3.5;;;;;;;5.0;;;;;;;;;;;1.2;;;0.3;;;;;;3.6;;;29.3;;3.6;;;9.9;0009;1;20;03;01;01;00
65;Bolsward;7046;53.9;3798;3794;4;;1383;;124.0;62;;;;;350.0;216.0;182;;;;;;;;;;;52;;;4.0;;;;;;;;;884;;211.0;;;326;;36.5;;3.3;1.6;;;;;9.2;5.7;4.8;;;;;;;;;;;1.4;;;0.1;;;;;;;;;23.3;;5.6;;;8.6;0064;1;21;05;02;00;00
66;Borculo;7918;61.9;4898;4894;4;;1325;48.0;;119;;;;;;;169;;;64.0;;;;;;;;53;;2.0;;;;;;;;;;1378;5.0;184.0;;;1547;;27.1;1.0;;2.4;;;;;;;3.5;;;1.3;;;;;;;;1.1;;0.0;;;;;;;;;;28.2;0.1;3.8;;;31.6;0211;2;25;14;07;00;00
67;Borger-Odoorn;20378;57.3;11673;11665;8;;2430;433.0;;483;;;;195.0;;;626;;;;;;;;;;;269;;;;;;172.0;;;;;;4712;29.0;;;;2316;;20.8;3.7;;4.1;;;;1.7;;;5.4;;;;;;;;;;;2.3;;;;;;1.5;;;;;;40.4;0.2;;;;19.9;1681;1;22;08;03;00;00
68;Borne;15317;52.3;8013;8006;7;;3396;110.0;;366;;;;;;;470;;;;;;;;;;;157;;;;;;;;;;;;1870;10.0;403.0;;;1224;;42.4;1.4;;4.6;;;;;;;5.9;;;;;;;;;;;2.0;;;;;;;;;;;;23.4;0.1;5.0;;;15.3;0147;2;23;12;04;04;00
69;Borsele;16486;55.1;9083;9075;8;;2889;332.0;;211;;;;;;;690;;;;;;;;;;;262;;;;;;;;;;359.0;;1252;1781.0;285.0;;;1014;;31.8;3.7;;2.3;;;;;;;7.6;;;;;;;;;;;2.9;;;;;;;;;;4.0;;13.8;19.6;3.1;;;11.2;0654;3;29;32;16;00;00
70;Boskoop;11171;54.1;6045;6041;4;;2175;281.0;;256;;;;;;;366;;;;;;;28.0;0.0;2.0;0.0;193;19.0;;;2.0;1.0;;;;;;0.0;747;334.0;173.0;10.0;0.0;1454;;36.0;4.7;;4.2;;;;;;;6.1;;;;;;;0.5;0.0;0.0;0.0;3.2;0.3;;;0.0;0.0;;;;;;0.0;12.4;5.5;2.9;0.2;0.0;24.1;0499;3;28;28;15;00;00
71;Boxmeer;21753;50.5;10992;10984;8;;5078;;37.0;334;;;;;;;315;58.0;;;;;;;;4.0;;203;;;;;;;;;;;;1812;;1464.0;55.0;;1624;;46.2;;0.3;3.0;;;;;;;2.9;0.5;;;;;;;;0.0;;1.8;;;;;;;;;;;;16.5;;13.3;0.5;;14.8;0756;4;30;35;18;00;00
72;Boxtel;22368;42.1;9427;9419;8;;3758;;50.0;832;;;;;;;429;63.0;;;;;;;;8.0;;179;;;;;;;;;;;;1889;;824.0;58.0;;1329;;39.9;;0.5;8.8;;;;;;;4.6;0.7;;;;;;;;0.1;;1.9;;;;;;;;;;;;20.1;;8.7;0.6;;14.1;0757;4;30;35;18;00;00
73;Breda;124991;40.3;50368;50320;48;;14514;;429.0;3013;;;;;;;3984;363.0;;;;;;;;36.0;;1431;;;;;;;;;;;;11421;;3780.0;276.0;;11073;;28.8;;0.9;6.0;;;;;;;7.9;0.7;;;;;;;;0.1;;2.8;;;;;;;;;;;;22.7;;7.5;0.5;;22.0;0758;4;30;33;17;16;16
74;Breukelen;10706;56.3;6024;6021;3;;1867;315.0;;337;15.0;;;;;;361;;;;;;43.0;;;;;131;;;;;;;;;;;;970;465.0;206.0;;;1311;;31.0;5.2;;5.6;0.2;;;;;;6.0;;;;;;0.7;;;;;2.2;;;;;;;;;;;;16.1;7.7;3.4;;;21.8;0311;3;26;17;08;00;00
75;Brielle;12350;46.6;5752;5746;6;;1110;75.0;;242;;;1.0;;;;289;;;;;;;135.0;3.0;1.0;1.0;228;26.0;;;0.0;0.0;;;;;;3.0;1547;21.0;248.0;49.0;0.0;1767;;19.3;1.3;;4.2;;;0.0;;;;5.0;;;;;;;2.3;0.1;0.0;0.0;4.0;0.5;;;0.0;0.0;;;;;;0.1;26.9;0.4;4.3;0.9;0.0;30.8;0501;3;28;29;14;14;00
76;Brummen;16312;50.8;8283;8275;8;;2085;88.0;;290;;;;;;;412;;;127.0;;;;;;;;225;;13.0;;;;;;;;;;2917;38.0;383.0;;;1697;;25.2;1.1;;3.5;;;;;;;5.0;;;1.5;;;;;;;;2.7;;0.2;;;;;;;;;;35.3;0.5;4.6;;;20.5;0213;2;25;14;07;00;00
77;Brunssum;23307;41.5;9682;9675;7;;3307;;;551;;;;;;;304;;;;;;;;;;;239;;;;;;;;248.0;;;;2650;;1011.0;;;1365;;34.2;;;5.7;;;;;;;3.1;;;;;;;;;;;2.5;;;;;;;;2.6;;;;27.4;;10.4;;;14.1;0899;4;31;39;19;21;21
78;Bunnik;10591;63.3;6704;6697;7;;1987;107.0;;477;17.0;;;;;;809;;;;;;52.0;;;;;123;;;;;;;;;;;;1254;109.0;323.0;;;1439;;29.7;1.6;;7.1;0.3;;;;;;12.1;;;;;;0.8;;;;;1.8;;;;;;;;;;;;18.7;1.6;4.8;;;21.5;0312;3;26;17;08;09;00
79;Bunschoten;13813;57.7;7975;7971;4;;2539;3827.0;;36;26.0;;;;;;97;;;;;;51.0;;;;;84;;;;;;;;;;;;460;240.0;74.0;;;537;;31.9;48.0;;0.5;0.3;;;;;;1.2;;;;;;0.6;;;;;1.1;;;;;;;;;;;;5.8;3.0;0.9;;;6.7;0313;3;26;17;08;08;00
80;Buren;19460;52.6;10231;10226;5;;2304;232.0;;420;;;;;;;424;;;117.0;;;;;;;;314;;8.0;;;;;;;;;;2612;683.0;306.0;;;2806;;22.5;2.3;;4.1;;;;;;;4.1;;;1.1;;;;;;;;3.1;;0.1;;;;;;;;;;25.5;6.7;3.0;;;27.4;0214;2;25;16;06;00;00
81;Bussum;23674;54.1;12813;12801;12;17.0;2600;;272.0;1096;;56.0;;;;;1318;;;;40.0;39.0;;;;;;269;;;2.0;9.0;;;132.0;;;;;2502;;537.0;;;3912;0.1;20.3;;2.1;8.6;;0.4;;;;;10.3;;;;0.3;0.3;;;;;;2.1;;;0.0;0.1;;;1.0;;;;;19.5;;4.2;;;30.6;0381;3;27;24;10;00;00
82;Capelle aan den IJssel;49433;43.6;21559;21537;22;;4039;1053.0;;1029;;;;;;;909;;;;;;;357.0;2.0;11.0;6.0;1305;69.0;;;7.0;4.0;;;;;;18.0;5281;1873.0;979.0;42.0;3.0;4550;;18.8;4.9;;4.8;;;;;;;4.2;;;;;;;1.7;0.0;0.1;0.0;6.1;0.3;;;0.0;0.0;;;;;;0.1;24.5;8.7;4.5;0.2;0.0;21.1;0502;3;28;29;15;14;14
83;Castricum;26754;56.3;15052;15043;9;12.0;3816;;107.0;973;;71.0;;;;;1803;;;;93.0;89.0;;;;;;347;;;5.0;15.0;;;90.0;;;;;3384;;655.0;;;3583;0.1;25.4;;0.7;6.5;;0.5;;;;;12.0;;;;0.6;0.6;;;;;;2.3;;;0.0;0.1;;;0.6;;;;;22.5;;4.4;;;23.8;0383;3;27;20;11;11;00
84;Coevorden;27449;57.4;15760;15746;14;;4107;283.0;;453;;;;378.0;;;753;;;;;;;;;;;339;;;;;;254.0;;;;;;5857;35.0;;;;3287;;26.1;1.8;;2.9;;;;2.4;;;4.8;;;;;;;;;;;2.2;;;;;;1.6;;;;;;37.2;0.2;;;;20.9;0109;1;22;08;03;00;00
85;Cranendonck;15365;39.7;6106;6089;17;;2952;;28.0;205;;;;;;;117;58.0;;;;;;;;6.0;;177;;;;;;;;;;;;1145;;297.0;43.0;;1061;;48.5;;0.5;3.4;;;;;;;1.9;1.0;;;;;;;;0.1;;2.9;;;;;;;;;;;;18.8;;4.9;0.7;;17.4;1706;4;30;36;18;00;00
86;Cromstrijen;10065;51.6;5194;5192;2;;1225;142.0;;264;;;0.0;;;;205;;;;;;;97.0;1.0;1.0;0.0;213;15.0;;;2.0;0.0;;;;;;3.0;1221;451.0;188.0;13.0;0.0;1151;;23.6;2.7;;5.1;;;0.0;;;;3.9;;;;;;;1.9;0.0;0.0;0.0;4.1;0.3;;;0.0;0.0;;;;;;0.1;23.5;8.7;3.6;0.3;0.0;22.2;0611;3;28;29;14;00;00
87;Cuijk;17966;43.3;7787;7780;7;;2922;;32.0;287;;;;;;;376;118.0;;;;;;;;2.0;;217;;;;;;;;;;;;1716;;650.0;53.0;;1407;;37.6;;0.4;3.7;;;;;;;4.8;1.5;;;;;;;;0.0;;2.8;;;;;;;;;;;;22.1;;8.4;0.7;;18.1;1684;4;30;35;18;00;00
88;Culemborg;18610;47.1;8763;8756;7;;1862;188.0;;462;;;;;;;787;;;67.0;;;;;;;;257;;10.0;;;;;;;;;;2231;113.0;925.0;;;1854;;21.3;2.1;;5.3;;;;;;;9.0;;;0.8;;;;;;;;2.9;;0.1;;;;;;;;;;25.5;1.3;10.6;;;21.2;0216;2;25;16;06;00;00
89;Dalfsen;19574;59.1;11572;11560;12;;5731;1417.0;;224;;;;;;;285;;;;;;;;;;;222;;;;;;;;;;;;1860;233.0;258.0;;;1330;;49.6;12.3;;1.9;;;;;;;2.5;;;;;;;;;;;1.9;;;;;;;;;;;;16.1;2.0;2.2;;;11.5;0148;2;23;10;04;03;00
90;Dantumadeel;14729;61.5;9060;9053;7;;3001;;1500.0;114;;;;;1479.0;113.0;293;;;;;;;;;;;118;;;6.0;;;;;;;;;1764;;220.0;;;445;;33.1;;16.6;1.3;;;;;16.3;1.2;3.2;;;;;;;;;;;1.3;;;0.1;;;;;;;;;19.5;;2.4;;;4.9;0065;1;21;04;02;00;00
91;Delft;72427;49.2;35634;35535;99;;6362;980.0;;2701;;;5.0;;;;4544;;;;;;;305.0;2.0;11.0;5.0;1070;134.0;;;12.0;13.0;;;;;;34.0;9623;319.0;2545.0;97.0;3.0;6770;;17.9;2.8;;7.6;;;0.0;;;;12.8;;;;;;;0.9;0.0;0.0;0.0;3.0;0.4;;;0.0;0.0;;;;;;0.1;27.1;0.9;7.2;0.3;0.0;19.1;0503;3;28;27;14;13;00
92;Delfzijl;22196;50.4;11184;11178;6;;2706;579.0;;394;;;;;;;368;;;;;;;;;;;188;;;57.0;;;;;;459.0;;;4359;;439.0;;;1629;;24.2;5.2;;3.5;;;;;;;3.3;;;;;;;;;;;1.7;;;0.5;;;;;;4.1;;;39.0;;3.9;;;14.6;0010;1;20;02;01;00;00
93;Deurne;24098;42.4;10213;10201;12;;5199;;33.0;405;;;;;;;437;55.0;;;;;;;;10.0;;265;;;;;;;;;;;;1731;;591.0;59.0;;1416;;51.0;;0.3;4.0;;;;;;;4.3;0.5;;;;;;;;0.1;;2.6;;;;;;;;;;;;17.0;;5.8;0.6;;13.9;0762;4;30;36;18;00;00
94;Deventer;64502;46.8;30196;30170;26;;6677;826.0;;1572;;;;;;;3164;;;;;;;;;;;601;;;;;;;;;;;;10082;72.0;2130.0;;;5046;;22.1;2.7;;5.2;;;;;;;10.5;;;;;;;;;;;2.0;;;;;;;;;;;;33.4;0.2;7.1;;;16.7;0150;2;23;11;04;00;00
95;Didam;12804;44.1;5646;5640;6;;2621;23.0;;145;;;;;;;150;;;44.0;;;;;;;;151;;9.0;;;;;;;;;;1445;8.0;272.0;;;772;;46.5;0.4;;2.6;;;;;;;2.7;;;0.8;;;;;;;;2.7;;0.2;;;;;;;;;;25.6;0.1;4.8;;;13.7;0218;2;25;15;07;00;00
96;Diemen;17658;45.6;8049;8038;11;19.0;1177;;112.0;546;;32.0;;;;;792;;;;73.0;31.0;;;;;;301;;;14.0;9.0;;;70.0;;;;;2220;;571.0;;;2071;0.2;14.6;;1.4;6.8;;0.4;;;;;9.9;;;;0.9;0.4;;;;;;3.7;;;0.2;0.1;;;0.9;;;;;27.6;;7.1;;;25.8;0384;3;27;23;10;10;10
97;Dinkelland;19272;54.2;10455;10451;4;;7335;50.0;;167;;;;;;;249;;;;;;;;;;;149;;;;;;;;;;;;1137;10.0;208.0;;;1146;;70.2;0.5;;1.6;;;;;;;2.4;;;;;;;;;;;1.4;;;;;;;;;;;;10.9;0.1;2.0;;;11.0;1774;2;23;12;04;00;00
98;Dinxperlo;6429;47.3;3044;3042;2;;1604;83.0;;55;;;;;;;64;;;33.0;;;;;;;;53;;0.0;;;;;;;;;;705;2.0;110.0;;;333;;52.7;2.7;;1.8;;;;;;;2.1;;;1.1;;;;;;;;1.7;;0.0;;;;;;;;;;23.2;0.1;3.6;;;10.9;0219;2;25;14;07;00;00
99;Dirksland;6160;56.9;3502;3499;3;;748;244.0;;65;;;1.0;;;;55;;;;;;;28.0;0.0;0.0;1.0;102;13.0;;;1.0;0.0;;;;;;0.0;632;997.0;123.0;12.0;1.0;476;;21.4;7.0;;1.9;;;0.0;;;;1.6;;;;;;;0.8;0.0;0.0;0.0;2.9;0.4;;;0.0;0.0;;;;;;0.0;18.1;28.5;3.5;0.3;0.0;13.6;0504;3;28;29;14;00;00
100;Doesburg;8479;49.4;4187;4179;8;;936;91.0;;226;;;;;;;177;;;34.0;;;;;;;;98;;19.0;;;;;;;;;;1196;11.0;717.0;;;674;;22.4;2.2;;5.4;;;;;;;4.2;;;0.8;;;;;;;;2.3;;0.5;;;;;;;;;;28.6;0.3;17.2;;;16.1;0221;2;25;15;07;00;00
101;Doetinchem;36793;47.3;17397;17386;11;;4994;407.0;;584;;;;;;;1540;;;156.0;;;;;;;;370;;30.0;;;;;;;;;;4945;263.0;1130.0;;;2967;;28.7;2.3;;3.4;;;;;;;8.9;;;0.9;;;;;;;;2.1;;0.2;;;;;;;;;;28.4;1.5;6.5;;;17.1;0222;2;25;14;07;00;00
102;Dongen;18673;43.3;8081;8073;8;;3063;;129.0;346;;;;;;;325;47.0;;;;;;;;4.0;;185;;;;;;;;;;;;1722;;948.0;39.0;;1265;;37.9;;1.6;4.3;;;;;;;4.0;0.6;;;;;;;;0.0;;2.3;;;;;;;;;;;;21.3;;11.7;0.5;;15.7;0766;4;30;34;17;00;00
103;Dongeradeel;18319;61.7;11310;11302;8;;4789;;926.0;176;;;;;1983.0;111.0;371;;;;;;;;;;;156;;;4.0;;;;;;;;;1737;;355.0;;;694;;42.4;;8.2;1.6;;;;;17.5;1.0;3.3;;;;;;;;;;;1.4;;;0.0;;;;;;;;;15.4;;3.1;;;6.1;0058;1;21;04;02;00;00
104;Doorn;7874;56.7;4462;4458;4;;1154;110.0;;260;18.0;;;;;;389;;;;;;24.0;;;;;81;;;;;;;;;;;;733;155.0;135.0;;;1399;;25.9;2.5;;5.8;0.4;;;;;;8.7;;;;;;0.5;;;;;1.8;;;;;;;;;;;;16.4;3.5;3.0;;;31.4;0315;3;26;17;08;00;00
105;Dordrecht;87997;41.1;36144;36104;40;;7332;1813.0;;1623;;;46.0;;;;2621;;;;;;;408.0;4.0;9.0;9.0;1402;221.0;;;9.0;3.0;;;;;;279.0;9554;1561.0;2251.0;204.0;8.0;6747;;20.3;5.0;;4.5;;;0.1;;;;7.3;;;;;;;1.1;0.0;0.0;0.0;3.9;0.6;;;0.0;0.0;;;;;;0.8;26.5;4.3;6.2;0.6;0.0;18.7;0505;3;28;30;14;15;15
106;Drechterland;7531;48.1;3625;3621;4;8.0;1294;;39.0;151;;19.0;;;;;221;;;;26.0;34.0;;;;;;112;;;3.0;3.0;;;45.0;;;;;668;;144.0;;;854;0.2;35.7;;1.1;4.2;;0.5;;;;;6.1;;;;0.7;0.9;;;;;;3.1;;;0.1;0.1;;;1.2;;;;;18.4;;4.0;;;23.6;0498;3;27;18;11;00;00
107;Driebergen-Rijsenburg;13971;59.4;8297;8289;8;;1987;354.0;;519;31.0;;;;;;954;;;;;;43.0;;;;;170;;;;;;;;;;;;1487;328.0;406.0;;;2010;;24.0;4.3;;6.3;0.4;;;;;;11.5;;;;;;0.5;;;;;2.1;;;;;;;;;;;;17.9;4.0;4.9;;;24.2;0316;3;26;17;08;00;00
108;Drimmelen;20388;42.3;8634;8626;8;;2988;;77.0;378;;;;;;;405;96.0;;;;;;;;7.0;;233;;;;;;;;;;;;1871;;481.0;54.0;;2036;;34.6;;0.9;4.4;;;;;;;4.7;1.1;;;;;;;;0.1;;2.7;;;;;;;;;;;;21.7;;5.6;0.6;;23.6;1719;4;30;33;17;16;00
109;Dronten;25963;53.1;13782;13773;9;;4564;1119.0;;476;;;;;;;731;;123.0;;;;;;;15.0;;387;;;;;;;;;;;;2238;131.0;454.0;79.0;;3456;;33.1;8.1;;3.5;;;;;;;5.3;;0.9;;;;;;;0.1;;2.8;;;;;;;;;;;;16.2;1.0;3.3;0.6;;25.1;0303;2;24;40;05;00;00
110;Druten;12941;42.7;5520;5519;1;;2177;11.0;;179;;;;;;;237;;;44.0;;;;;;;;86;;2.0;;;;;;;;;;1357;4.0;284.0;;;1138;;39.4;0.2;;3.2;;;;;;;4.3;;;0.8;;;;;;;;1.6;;0.0;;;;;;;;;;24.6;0.1;5.1;;;20.6;0225;2;25;15;06;00;00
111;Duiven;18544;45.8;8488;8485;3;;2694;150.0;;348;;;;;;;421;;;173.0;;;;;;;;263;;14.0;;;;;;;;;;2227;23.0;477.0;;;1695;;31.8;1.8;;4.1;;;;;;;5.0;;;2.0;;;;;;;;3.1;;0.2;;;;;;;;;;26.2;0.3;5.6;;;20.0;0226;2;25;15;07;06;00
112;Echt-Susteren;24855;49.8;12386;12375;11;;5946;;;216;;;;;;;548;;;;;;;;;;;190;;;;;;;;1269.0;;;;2459;;399.0;;;1348;;48.0;;;1.7;;;;;;;4.4;;;;;;;;;;;1.5;;;;;;;;10.3;;;;19.9;;3.2;;;10.9;1711;4;31;38;19;00;00
113;Edam-Volendam;21229;45.4;9638;9634;4;15.0;5335;;49.0;230;;36.0;;;;;538;;;;34.0;42.0;;;;;;281;;;5.0;22.0;;;58.0;;;;;1245;;259.0;;;1485;0.2;55.4;;0.5;2.4;;0.4;;;;;5.6;;;;0.4;0.4;;;;;;2.9;;;0.1;0.2;;;0.6;;;;;12.9;;2.7;;;15.4;0385;3;27;23;11;00;00
114;Ede;76179;57.7;43964;43940;24;;13535;4446.0;;1253;;;;;;;2317;;;341.0;;;;;;;;888;;61.0;;;;;;;;;;6109;6421.0;1345.0;;;7224;;30.8;10.1;;2.9;;;;;;;5.3;;;0.8;;;;;;;;2.0;;0.1;;;;;;;;;;13.9;14.6;3.1;;;16.4;0228;2;25;13;07;00;00
115;Eemnes;6277;54.1;3395;3394;1;;1058;84.0;;193;19.0;;;;;;209;;;;;;23.0;;;;;52;;;;;;;;;;;;620;40.0;192.0;;;904;;31.2;2.5;;5.7;0.6;;;;;;6.2;;;;;;0.7;;;;;1.5;;;;;;;;;;;;18.3;1.2;5.7;;;26.6;0317;3;26;17;08;00;00
116;Eemsmond;12762;62.6;7995;7989;6;;2183;949.0;;161;;;;;;;376;;;;;;;;;;;101;;;34.0;;;;;;268.0;;;2654;;339.0;;;924;;27.3;11.9;;2.0;;;;;;;4.7;;;;;;;;;;;1.3;;;0.4;;;;;;3.4;;;33.2;;4.2;;;11.6;1651;1;20;03;01;00;00
117;Eersel;13642;49.7;6774;6767;7;;3444;;30.0;268;;;;;;;224;85.0;;;;;;;;7.0;;130;;;;;;;;;;;;890;;330.0;41.0;;1318;;50.9;;0.4;4.0;;;;;;;3.3;1.3;;;;;;;;0.1;;1.9;;;;;;;;;;;;13.2;;4.9;0.6;;19.5;0770;4;30;36;18;00;00
118;Eibergen;12564;59.1;7425;7420;5;;3835;57.0;;127;;;;;;;261;;;134.0;;;;;;;;94;;4.0;;;;;;;;;;1709;4.0;303.0;;;892;;51.7;0.8;;1.7;;;;;;;3.5;;;1.8;;;;;;;;1.3;;0.1;;;;;;;;;;23.0;0.1;4.1;;;12.0;0229;2;25;14;07;00;00
119;Eijsden;8967;55.0;4931;4927;4;;2070;;;110;;;;;;;188;;;;;;;;;;;74;;;;;;;;513.0;;;;1296;;126.0;;;550;;42.0;;;2.2;;;;;;;3.8;;;;;;;;;;;1.5;;;;;;;;10.4;;;;26.3;;2.6;;;11.2;0905;4;31;39;19;22;00
120;Eindhoven;155815;39.2;61029;60927;102;;16351;;892.0;3741;;;;;;;4148;479.0;;;;;;;;66.0;;1929;;;;;;;;;;;;15346;;6207.0;838.0;;10930;;26.8;;1.5;6.1;;;;;;;6.8;0.8;;;;;;;;0.1;;3.2;;;;;;;;;;;;25.2;;10.2;1.4;;17.9;0772;4;30;36;18;19;19
121;Elburg;15985;59.4;9493;9488;5;;3036;1642.0;;103;;;;;;;231;;;61.0;;;;;;;;143;;7.0;;;;;;;;;;1012;1909.0;181.0;;;1163;;32.0;17.3;;1.1;;;;;;;2.4;;;0.6;;;;;;;;1.5;;0.1;;;;;;;;;;10.7;20.1;1.9;;;12.3;0230;2;25;13;07;00;00
122;Emmen;83060;48.6;40376;40352;24;;10790;1320.0;;1342;;;;647.0;;;2296;;;;;;;;;;;816;;;;;;487.0;;;;;;17688;58.0;;;;4908;;26.7;3.3;;3.3;;;;1.6;;;5.7;;;;;;;;;;;2.0;;;;;;1.2;;;;;;43.8;0.1;;;;12.2;0114;1;22;08;03;00;00
123;Enkhuizen;12876;45.3;5829;5827;2;9.0;1241;;309.0;273;;19.0;;;;;372;;;;52.0;28.0;;;;;;136;;;3.0;8.0;;;52.0;;;;;1731;;436.0;;;1158;0.2;21.3;;5.3;4.7;;0.3;;;;;6.4;;;;0.9;0.5;;;;;;2.3;;;0.1;0.1;;;0.9;;;;;29.7;;7.5;;;19.9;0388;3;27;18;11;00;00
124;Enschede;113494;40.2;45569;45490;79;;9895;2572.0;;2165;;;;;;;3644;;;;;;;;;;;1059;;;;;;;;;;;;15396;152.0;2752.0;;;7855;;21.8;5.7;;4.8;;;;;;;8.0;;;;;;;;;;;2.3;;;;;;;;;;;;33.8;0.3;6.0;;;17.3;0153;2;23;12;04;04;04
125;Epe;25776;54.3;13993;13987;6;;4434;629.0;;414;;;;;;;659;;;154.0;;;;;;;;350;;24.0;;;;;;;;;;3441;694.0;362.0;;;2826;;31.7;4.5;;3.0;;;;;;;4.7;;;1.1;;;;;;;;2.5;;0.2;;;;;;;;;;24.6;5.0;2.6;;;20.2;0232;2;25;13;07;05;00
126;Ermelo;19775;59.7;11796;11785;11;;4803;1529.0;;252;;;;;;;552;;;125.0;;;;;;;;303;;10.0;;;;;;;;;;1173;725.0;398.0;;;1915;;40.8;13.0;;2.1;;;;;;;4.7;;;1.1;;;;;;;;2.6;;0.1;;;;;;;;;;10.0;6.2;3.4;;;16.2;0233;2;25;13;07;00;00
127;Etten-Leur;29322;38.3;11227;11211;16;;3815;;99.0;631;;;;;;;683;115.0;;;;;;;;7.0;;366;;;;;;;;;;;;2527;;495.0;36.0;;2437;;34.0;;0.9;5.6;;;;;;;6.1;1.0;;;;;;;;0.1;;3.3;;;;;;;;;;;;22.5;;4.4;0.3;;21.7;0777;4;30;33;17;16;00
128;Ferwerderadiel;6764;63.0;4260;4258;2;;1646;;312.0;42;;;;;743.0;183.0;148;;;;;;;;;;;78;;;0.0;;;;;;;;;634;;132.0;;;340;;38.7;;7.3;1.0;;;;;17.4;4.3;3.5;;;;;;;;;;;1.8;;;0.0;;;;;;;;;14.9;;3.1;;;8.0;1722;1;21;04;02;00;00
129;Franekeradeel;15582;56.1;8738;8735;3;;2543;;391.0;140;;;;;1593.0;336.0;328;;;;;;;;;;;178;;;6.0;;;;;;;;;2106;;383.0;;;731;;29.1;;4.5;1.6;;;;;18.2;3.8;3.8;;;;;;;;;;;2.0;;;0.1;;;;;;;;;24.1;;4.4;;;8.4;0070;1;21;04;02;00;00
130;Gaasterlân-Sleat;7745;65.8;5098;5095;3;;1886;;254.0;65;;;;;1202.0;20.0;159;;;;;;;;;;;92;;;5.0;;;;;;;;;670;;136.0;;;606;;37.0;;5.0;1.3;;;;;23.6;0.4;3.1;;;;;;;;;;;1.8;;;0.1;;;;;;;;;13.2;;2.7;;;11.9;0653;1;21;05;02;00;00
