ID;RegioIndeling2015;Perioden;Levendgeborenen_1;Overledenen_2;Immigratie_3;EmigratieInclusiefCorrecties_4;VestigersUitAndereGemeente_5;VertrekkersNaarAndereGemeente_6;Woningbouwveronderstellingen_7;BevolkingAanHetEindVanDePeriode_8
249;Noord-Limburg (CR);2035 tot 2040;12.2;16.9;10.7;8.9;39.3;42.1;;261.6
250;Midden-Limburg (CR);2015 tot 2020;9.9;12.0;11.5;6.8;41.3;42.9;2.5;236.4
251;Midden-Limburg (CR);2020 tot 2025;10.3;12.8;9.4;7.5;44.9;43.8;1.6;236.9
252;Midden-Limburg (CR);2025 tot 2030;10.5;13.8;9.1;7.7;44.7;43.1;0.8;236.7
253;Midden-Limburg (CR);2030 tot 2035;10.4;14.6;9.0;7.5;43.0;42.5;;234.5
254;Midden-Limburg (CR);2035 tot 2040;9.7;15.4;8.7;7.3;42.4;41.9;;230.8
255;Zuid-Limburg (CR);2015 tot 2020;23.9;34.6;51.4;37.8;129.3;130.4;1.8;603.9
256;Zuid-Limburg (CR);2020 tot 2025;27.1;35.2;44.9;39.1;129.5;130.5;0.5;600.6
257;Zuid-Limburg (CR);2025 tot 2030;28.7;36.7;44.9;39.7;131.3;130.3;-0.4;598.8
258;Zuid-Limburg (CR);2030 tot 2035;28.3;38.1;45.1;39.6;131.8;129.6;;596.6
259;Zuid-Limburg (CR);2035 tot 2040;27.3;39.5;45.3;39.3;132.3;130.1;;592.7
260;Flevoland (CR);2015 tot 2020;24.4;12.4;34.3;19.3;73.0;82.5;6.5;419.3
261;Flevoland (CR);2020 tot 2025;25.8;14.0;25.9;19.4;78.8;83.3;11.6;433.1
262;Flevoland (CR);2025 tot 2030;26.6;15.8;25.4;19.6;80.9;85.4;11.2;445.2
263;Flevoland (CR);2030 tot 2035;26.6;17.8;25.5;19.7;80.4;83.2;;457.1
264;Flevoland (CR);2035 tot 2040;26.3;19.8;25.6;19.7;78.0;83.4;;464.1
265;Aa en Hunze;2015 tot 2020;0.9;1.3;0.4;0.3;5.5;5.0;;25.3
266;Aa en Hunze;2020 tot 2025;1.0;1.5;0.4;0.4;5.4;5.5;;24.7
267;Aa en Hunze;2025 tot 2030;1.2;1.6;0.4;0.4;5.8;5.5;;24.5
268;Aa en Hunze;2030 tot 2035;1.2;1.8;0.4;0.4;6.6;5.5;;25.0
269;Aa en Hunze;2035 tot 2040;1.3;1.9;0.4;0.4;7.0;5.8;;25.5
270;Aalburg;2015 tot 2020;0.7;0.5;0.4;0.2;2.0;2.1;;13.1
271;Aalburg;2020 tot 2025;0.8;0.5;0.4;0.3;2.2;2.3;;13.4
272;Aalburg;2025 tot 2030;0.8;0.5;0.4;0.3;2.3;2.4;;13.7
273;Aalburg;2030 tot 2035;0.8;0.6;0.4;0.3;2.2;2.3;;13.8
274;Aalburg;2035 tot 2040;0.7;0.6;0.3;0.3;2.1;2.3;;13.8
275;Aalsmeer;2015 tot 2020;1.5;1.2;1.9;1.2;6.6;5.9;;32.8
276;Aalsmeer;2020 tot 2025;1.5;1.3;1.8;1.3;5.3;6.1;;32.7
277;Aalsmeer;2025 tot 2030;1.4;1.3;1.7;1.3;5.4;6.2;;32.4
278;Aalsmeer;2030 tot 2035;1.3;1.4;1.6;1.2;5.2;6.1;;31.8
279;Aalsmeer;2035 tot 2040;1.3;1.5;1.6;1.2;5.0;5.9;;31.1
280;Aalten;2015 tot 2020;1.1;1.3;0.4;0.4;3.7;4.1;;26.4
281;Aalten;2020 tot 2025;1.2;1.3;0.4;0.4;3.5;4.3;;25.6
282;Aalten;2025 tot 2030;1.1;1.4;0.4;0.4;3.5;4.1;;24.7
283;Aalten;2030 tot 2035;1.1;1.4;0.3;0.4;3.5;3.9;;23.9
284;Aalten;2035 tot 2040;1.0;1.5;0.3;0.3;3.4;3.7;;23.0
285;Achtkarspelen;2015 tot 2020;1.4;1.2;0.3;0.2;4.6;4.8;;28.0
286;Achtkarspelen;2020 tot 2025;1.4;1.3;0.2;0.2;4.7;5.0;;27.8
287;Achtkarspelen;2025 tot 2030;1.4;1.3;0.2;0.3;4.7;5.0;;27.5
288;Achtkarspelen;2030 tot 2035;1.3;1.4;0.2;0.3;5.1;4.9;;27.6
289;Achtkarspelen;2035 tot 2040;1.3;1.5;0.2;0.3;5.0;4.9;;27.5
290;Alblasserdam;2015 tot 2020;1.2;0.8;0.3;0.2;3.0;3.1;;20.1
291;Alblasserdam;2020 tot 2025;1.2;0.9;0.3;0.3;2.7;3.1;;20.1
292;Alblasserdam;2025 tot 2030;1.2;1.0;0.3;0.3;2.7;3.0;;20.0
293;Alblasserdam;2030 tot 2035;1.2;1.0;0.3;0.3;2.6;3.0;;19.8
294;Alblasserdam;2035 tot 2040;1.2;1.0;0.3;0.3;2.5;2.9;;19.6
295;Albrandswaard;2015 tot 2020;1.1;0.9;0.6;0.6;4.9;5.6;;24.5
296;Albrandswaard;2020 tot 2025;1.0;1.0;0.5;0.7;5.8;5.9;;24.2
297;Albrandswaard;2025 tot 2030;1.0;1.0;0.5;0.6;5.0;5.8;;23.2
298;Albrandswaard;2030 tot 2035;0.9;1.1;0.4;0.6;4.7;5.5;;22.1
299;Albrandswaard;2035 tot 2040;0.9;1.1;0.4;0.6;4.8;5.3;;21.3
300;Alkmaar;2015 tot 2020;6.0;4.6;6.6;3.7;23.6;23.7;;111.4
301;Alkmaar;2020 tot 2025;6.2;4.8;5.4;4.0;24.2;24.2;;114.2
302;Alkmaar;2025 tot 2030;6.2;5.1;5.0;4.0;24.1;24.7;;115.7
303;Alkmaar;2030 tot 2035;6.1;5.5;4.9;4.0;23.9;25.1;;116.0
304;Alkmaar;2035 tot 2040;5.9;5.9;4.8;3.9;24.4;25.0;;116.4
305;Almelo;2015 tot 2020;3.6;3.7;2.7;1.7;11.5;12.0;;72.7
306;Almelo;2020 tot 2025;3.7;3.7;2.4;1.9;11.9;12.4;;72.7
307;Almelo;2025 tot 2030;3.7;3.9;2.3;1.9;12.4;12.5;;72.8
308;Almelo;2030 tot 2035;3.6;4.0;2.3;1.9;12.3;12.3;;72.7
309;Almelo;2035 tot 2040;3.4;4.3;2.2;1.8;11.7;11.9;;72.0
310;Almere;2015 tot 2020;12.1;5.3;13.5;10.4;36.7;37.2;;206.3
311;Almere;2020 tot 2025;13.0;6.0;13.4;11.4;41.4;39.9;;216.7
312;Almere;2025 tot 2030;13.7;6.9;13.5;11.8;44.9;41.5;;228.6
313;Almere;2030 tot 2035;14.1;8.0;14.0;12.2;44.5;39.9;;241.1
314;Almere;2035 tot 2040;14.1;9.2;14.3;12.4;42.1;41.1;;249.1
315;Alphen aan den Rijn;2015 tot 2020;5.9;4.3;3.7;2.6;17.1;16.7;;110.4
316;Alphen aan den Rijn;2020 tot 2025;6.3;4.5;3.2;3.0;17.6;17.5;;112.4
317;Alphen aan den Rijn;2025 tot 2030;6.3;4.9;3.1;3.1;16.7;17.5;;112.9
318;Alphen aan den Rijn;2030 tot 2035;6.2;5.2;3.1;3.0;16.9;17.5;;113.3
319;Alphen aan den Rijn;2035 tot 2040;5.9;5.6;3.0;3.0;16.0;17.5;;112.1
320;Alphen-Chaam;2015 tot 2020;0.4;0.4;0.3;0.2;1.6;1.7;;9.7
321;Alphen-Chaam;2020 tot 2025;0.4;0.5;0.3;0.2;1.9;1.9;;9.8
322;Alphen-Chaam;2025 tot 2030;0.5;0.5;0.3;0.3;2.0;2.0;;9.9
323;Alphen-Chaam;2030 tot 2035;0.5;0.6;0.3;0.3;2.1;2.0;;9.9
324;Alphen-Chaam;2035 tot 2040;0.5;0.6;0.4;0.3;2.1;2.0;;10.0
325;Ameland;2015 tot 2020;0.2;0.1;0.2;0.1;0.8;0.9;;3.7
326;Ameland;2020 tot 2025;0.2;0.2;0.2;0.1;0.8;0.9;;3.7
327;Ameland;2025 tot 2030;0.2;0.2;0.2;0.1;0.8;0.9;;3.7
328;Ameland;2030 tot 2035;0.2;0.2;0.2;0.1;0.7;0.9;;3.6
329;Ameland;2035 tot 2040;0.2;0.2;0.2;0.1;0.6;0.8;;3.4
330;Amersfoort;2015 tot 2020;9.7;5.5;6.4;4.9;30.9;29.1;;160.1
331;Amersfoort;2020 tot 2025;10.1;5.6;6.2;5.0;29.7;29.6;;165.9
332;Amersfoort;2025 tot 2030;10.2;6.1;6.2;5.1;32.4;31.1;;172.3
333;Amersfoort;2030 tot 2035;10.4;6.8;6.3;5.2;32.6;31.9;;177.7
334;Amersfoort;2035 tot 2040;10.4;7.5;6.4;5.2;33.4;32.5;;182.7
335;Amstelveen;2015 tot 2020;4.2;4.1;20.4;18.5;32.0;27.8;;93.4
336;Amstelveen;2020 tot 2025;4.9;4.1;16.9;16.2;33.5;30.8;;97.6
337;Amstelveen;2025 tot 2030;5.3;4.2;15.4;14.9;33.8;32.4;;100.5
338;Amstelveen;2030 tot 2035;5.6;4.2;15.9;15.4;35.2;33.9;;103.7
339;Amstelveen;2035 tot 2040;5.5;4.4;16.2;15.5;35.7;34.9;;106.3
340;Amsterdam;2015 tot 2020;59.5;28.2;142.0;100.7;192.3;206.7;;880.0
341;Amsterdam;2020 tot 2025;64.0;29.3;128.7;110.2;200.9;209.1;;925.0
342;Amsterdam;2025 tot 2030;65.7;31.9;127.1;114.0;215.8;217.2;;970.4
343;Amsterdam;2030 tot 2035;66.2;35.3;128.9;114.9;216.9;223.9;;1008.4
344;Amsterdam;2035 tot 2040;66.4;39.2;131.4;116.0;219.4;228.3;;1042.2
345;Apeldoorn;2015 tot 2020;7.8;7.7;5.2;4.1;24.0;23.4;;159.9
346;Apeldoorn;2020 tot 2025;8.2;7.8;4.8;4.7;23.6;23.7;;160.3
347;Apeldoorn;2025 tot 2030;8.2;8.1;4.6;4.8;24.0;23.6;;160.6
348;Apeldoorn;2030 tot 2035;8.1;8.5;4.6;4.7;24.1;23.4;;160.8
349;Apeldoorn;2035 tot 2040;8.0;9.0;4.5;4.6;24.6;23.5;;160.8
350;Appingedam;2015 tot 2020;0.5;0.8;0.3;0.2;2.5;2.6;;11.8
351;Appingedam;2020 tot 2025;0.6;0.7;0.2;0.2;2.5;2.6;;11.6
352;Appingedam;2025 tot 2030;0.7;0.7;0.2;0.2;2.5;2.5;;11.5
353;Appingedam;2030 tot 2035;0.7;0.7;0.2;0.2;2.5;2.5;;11.5
354;Appingedam;2035 tot 2040;0.6;0.7;0.2;0.2;2.5;2.5;;11.4
355;Arnhem;2015 tot 2020;9.2;6.4;9.0;8.1;42.5;39.8;;158.6
356;Arnhem;2020 tot 2025;9.2;6.6;8.3;8.3;43.9;41.0;;164.2
357;Arnhem;2025 tot 2030;9.0;7.1;8.1;8.2;43.4;42.1;;167.4
358;Arnhem;2030 tot 2035;8.9;7.7;7.9;8.0;42.4;41.8;;169.1
359;Arnhem;2035 tot 2040;8.5;8.4;7.8;7.8;43.0;41.6;;170.7
360;Assen;2015 tot 2020;3.3;3.1;1.7;1.4;14.3;13.9;;68.0
361;Assen;2020 tot 2025;3.6;3.1;1.6;1.6;16.0;14.8;;69.6
362;Assen;2025 tot 2030;3.9;3.3;1.6;1.8;16.2;15.0;;71.3
363;Assen;2030 tot 2035;4.1;3.5;1.6;1.8;16.5;15.2;;73.0
364;Assen;2035 tot 2040;4.1;3.7;1.6;1.8;16.5;15.5;;74.1
365;Asten;2015 tot 2020;0.7;0.7;0.9;0.6;2.7;2.9;;16.8
366;Asten;2020 tot 2025;0.8;0.8;0.9;0.6;2.8;3.0;;16.8
367;Asten;2025 tot 2030;0.8;0.9;0.9;0.7;2.7;3.0;;16.6
368;Asten;2030 tot 2035;0.8;1.0;0.9;0.7;2.6;2.9;;16.3
369;Asten;2035 tot 2040;0.7;1.0;0.9;0.7;2.5;2.8;;15.9
370;Baarle-Nassau;2015 tot 2020;0.3;0.4;0.3;0.2;1.2;1.1;;6.6
371;Baarle-Nassau;2020 tot 2025;0.3;0.4;0.3;0.2;1.2;1.2;;6.5
372;Baarle-Nassau;2025 tot 2030;0.3;0.4;0.3;0.3;1.2;1.2;;6.4
373;Baarle-Nassau;2030 tot 2035;0.3;0.4;0.3;0.3;1.4;1.2;;6.5
374;Baarle-Nassau;2035 tot 2040;0.3;0.4;0.3;0.3;1.4;1.3;;6.5
375;Baarn;2015 tot 2020;1.1;1.4;0.9;0.6;6.1;5.5;;24.9
376;Baarn;2020 tot 2025;1.2;1.3;0.8;0.7;5.6;5.6;;24.9
377;Baarn;2025 tot 2030;1.2;1.3;0.8;0.7;6.3;5.8;;25.3
378;Baarn;2030 tot 2035;1.3;1.3;0.8;0.7;6.3;5.9;;25.7
379;Baarn;2035 tot 2040;1.2;1.4;0.8;0.7;6.0;5.8;;25.9
380;Barendrecht;2015 tot 2020;2.2;1.7;1.1;1.3;7.7;8.8;;46.8
381;Barendrecht;2020 tot 2025;2.1;1.7;1.0;1.3;7.6;9.0;;45.4
382;Barendrecht;2025 tot 2030;2.1;1.9;1.0;1.3;8.1;8.9;;44.5
383;Barendrecht;2030 tot 2035;2.2;2.0;0.9;1.3;8.3;8.6;;44.1
384;Barendrecht;2035 tot 2040;2.1;2.2;0.9;1.2;8.3;8.4;;43.7
385;Barneveld;2015 tot 2020;4.1;2.1;1.0;0.8;9.4;9.0;;57.3
386;Barneveld;2020 tot 2025;4.6;2.1;1.0;1.0;10.5;9.6;;60.6
387;Barneveld;2025 tot 2030;4.9;2.3;1.1;1.1;10.5;10.1;;63.7
388;Barneveld;2030 tot 2035;5.0;2.4;1.1;1.1;10.0;10.5;;65.8
389;Barneveld;2035 tot 2040;4.7;2.5;1.1;1.1;8.7;10.6;;66.1
390;Bedum;2015 tot 2020;0.5;0.4;0.1;0.2;2.6;2.4;;10.7
391;Bedum;2020 tot 2025;0.6;0.5;0.1;0.2;2.7;2.6;;10.8
392;Bedum;2025 tot 2030;0.6;0.5;0.1;0.2;2.7;2.6;;11.0
393;Bedum;2030 tot 2035;0.7;0.6;0.1;0.2;2.7;2.6;;11.2
394;Bedum;2035 tot 2040;0.6;0.6;0.1;0.2;2.7;2.7;;11.1
395;Beek (L.);2015 tot 2020;0.7;0.9;0.4;0.3;4.0;3.2;;17.0
396;Beek (L.);2020 tot 2025;0.8;0.9;0.4;0.4;3.0;3.3;;16.6
397;Beek (L.);2025 tot 2030;0.9;1.0;0.4;0.4;3.2;3.2;;16.4
398;Beek (L.);2030 tot 2035;0.9;1.0;0.4;0.4;3.9;3.3;;16.9
399;Beek (L.);2035 tot 2040;0.9;1.1;0.4;0.4;4.0;3.4;;17.3
400;Beemster;2015 tot 2020;0.4;0.4;0.1;0.1;2.1;1.6;;9.4
401;Beemster;2020 tot 2025;0.4;0.4;0.1;0.2;2.1;1.7;;9.7
402;Beemster;2025 tot 2030;0.5;0.5;0.1;0.2;1.8;1.8;;9.6
403;Beemster;2030 tot 2035;0.5;0.5;0.1;0.2;2.2;1.8;;9.9
404;Beemster;2035 tot 2040;0.5;0.5;0.1;0.2;2.0;1.8;;10.0
405;Beesel;2015 tot 2020;0.5;0.7;0.4;0.2;2.2;2.2;;13.6
406;Beesel;2020 tot 2025;0.6;0.7;0.4;0.2;2.3;2.4;;13.5
407;Beesel;2025 tot 2030;0.6;0.8;0.4;0.2;2.4;2.5;;13.4
408;Beesel;2030 tot 2035;0.6;0.8;0.4;0.2;2.4;2.4;;13.3
409;Beesel;2035 tot 2040;0.5;0.9;0.3;0.2;2.3;2.3;;13.1
410;Bellingwedde;2015 tot 2020;0.3;0.6;0.8;0.2;2.7;2.9;;9.2
411;Bellingwedde;2020 tot 2025;0.4;0.6;0.3;0.2;2.5;2.2;;9.5
412;Bellingwedde;2025 tot 2030;0.5;0.6;0.3;0.2;2.6;2.3;;9.8
413;Bellingwedde;2030 tot 2035;0.5;0.7;0.4;0.2;2.7;2.4;;10.0
414;Bellingwedde;2035 tot 2040;0.5;0.7;0.4;0.2;2.7;2.5;;10.2
415;Bergeijk;2015 tot 2020;0.8;0.7;0.5;0.4;3.3;3.2;;18.5
416;Bergeijk;2020 tot 2025;0.9;0.9;0.6;0.5;3.5;3.5;;18.6
417;Bergeijk;2025 tot 2030;1.0;1.0;0.6;0.5;3.5;3.5;;18.7
418;Bergeijk;2030 tot 2035;1.0;1.0;0.6;0.5;3.5;3.4;;18.8
419;Bergeijk;2035 tot 2040;0.9;1.1;0.6;0.5;3.5;3.4;;18.8
420;Bergen (L.);2015 tot 2020;0.5;0.6;0.4;0.2;1.7;2.0;;12.8
421;Bergen (L.);2020 tot 2025;0.5;0.7;0.3;0.2;1.7;2.1;;12.4
422;Bergen (L.);2025 tot 2030;0.5;0.7;0.3;0.2;1.7;2.0;;12.0
423;Bergen (L.);2030 tot 2035;0.5;0.7;0.3;0.2;1.6;1.9;;11.6
424;Bergen (L.);2035 tot 2040;0.5;0.8;0.3;0.2;1.7;1.9;;11.2
425;Bergen (NH.);2015 tot 2020;0.8;1.9;1.4;0.9;5.6;5.6;;29.4
426;Bergen (NH.);2020 tot 2025;1.1;1.9;1.1;0.9;5.5;5.5;;28.7
427;Bergen (NH.);2025 tot 2030;1.1;2.0;1.0;0.9;6.1;5.6;;28.5
428;Bergen (NH.);2030 tot 2035;1.2;2.0;1.0;0.9;6.6;5.5;;28.7
429;Bergen (NH.);2035 tot 2040;1.2;2.1;1.0;1.0;6.9;5.7;;29.2
430;Bergen op Zoom;2015 tot 2020;3.2;3.3;3.1;2.6;10.5;10.7;;66.6
431;Bergen op Zoom;2020 tot 2025;3.3;3.4;2.8;2.7;11.4;11.1;;67.0
432;Bergen op Zoom;2025 tot 2030;3.3;3.6;2.6;2.7;11.4;11.0;;67.0
433;Bergen op Zoom;2030 tot 2035;3.3;3.9;2.5;2.6;11.5;11.0;;66.9
434;Bergen op Zoom;2035 tot 2040;3.1;4.1;2.5;2.5;11.3;11.0;;66.1
435;Berkelland;2015 tot 2020;1.7;2.3;0.8;0.4;6.1;6.6;;43.7
436;Berkelland;2020 tot 2025;1.8;2.6;0.6;0.5;6.0;6.7;;42.3
437;Berkelland;2025 tot 2030;1.9;2.8;0.6;0.5;6.0;6.5;;40.9
438;Berkelland;2030 tot 2035;1.9;3.0;0.5;0.5;6.0;6.1;;39.8
439;Berkelland;2035 tot 2040;1.8;3.1;0.5;0.5;6.0;5.9;;38.6
440;Bernheze;2015 tot 2020;1.4;1.4;0.9;0.5;6.0;5.0;;31.1
441;Bernheze;2020 tot 2025;1.6;1.5;0.9;0.7;6.0;5.8;;31.6
442;Bernheze;2025 tot 2030;1.6;1.6;0.9;0.7;6.0;6.0;;31.9
443;Bernheze;2030 tot 2035;1.6;1.7;0.9;0.7;6.0;5.9;;32.1
444;Bernheze;2035 tot 2040;1.6;1.8;0.9;0.7;6.0;5.9;;32.3
445;Best;2015 tot 2020;1.3;1.2;1.0;0.6;5.6;4.9;;29.9
446;Best;2020 tot 2025;1.6;1.3;1.0;0.7;6.2;5.5;;31.1
447;Best;2025 tot 2030;1.8;1.4;1.0;0.8;6.1;5.7;;32.1
448;Best;2030 tot 2035;1.8;1.4;1.0;0.8;5.8;5.7;;32.9
449;Best;2035 tot 2040;1.7;1.5;1.0;0.8;5.4;5.6;;33.2
450;Beuningen;2015 tot 2020;1.1;1.0;0.5;0.4;5.0;5.2;;25.2
451;Beuningen;2020 tot 2025;1.3;1.1;0.4;0.4;5.3;5.3;;25.4
452;Beuningen;2025 tot 2030;1.5;1.2;0.5;0.5;5.0;5.4;;25.2
453;Beuningen;2030 tot 2035;1.5;1.2;0.5;0.5;5.4;5.4;;25.5
454;Beuningen;2035 tot 2040;1.5;1.3;0.5;0.5;6.1;5.7;;26.0
455;Beverwijk;2015 tot 2020;2.3;1.9;2.1;1.9;10.5;9.8;;41.4
456;Beverwijk;2020 tot 2025;2.4;1.9;2.0;2.1;9.6;9.6;;41.7
457;Beverwijk;2025 tot 2030;2.3;2.0;1.9;2.1;10.5;9.7;;42.6
458;Beverwijk;2030 tot 2035;2.3;2.1;1.9;2.1;10.1;9.8;;43.0
459;Beverwijk;2035 tot 2040;2.2;2.2;1.9;2.0;9.7;9.7;;42.9
460;het Bildt;2015 tot 2020;0.5;0.4;1.2;0.3;2.7;3.5;;10.7
461;het Bildt;2020 tot 2025;0.5;0.5;0.5;0.3;2.9;3.6;;10.3
462;het Bildt;2025 tot 2030;0.5;0.6;0.5;0.3;2.9;3.4;;10.0
463;het Bildt;2030 tot 2035;0.5;0.6;0.4;0.3;2.9;3.3;;9.7
464;het Bildt;2035 tot 2040;0.5;0.6;0.4;0.3;3.0;3.2;;9.5
465;De Bilt;2015 tot 2020;1.7;2.4;1.6;1.3;10.0;10.0;;41.8
466;De Bilt;2020 tot 2025;2.0;2.3;1.6;1.5;9.7;10.4;;41.0
467;De Bilt;2025 tot 2030;2.1;2.3;1.6;1.5;11.2;10.4;;41.6
468;De Bilt;2030 tot 2035;2.1;2.4;1.6;1.6;11.7;10.5;;42.7
469;De Bilt;2035 tot 2040;2.2;2.5;1.7;1.6;11.8;10.5;;43.6
470;Binnenmaas;2015 tot 2020;1.2;1.2;0.6;0.5;5.3;5.3;;28.9
471;Binnenmaas;2020 tot 2025;1.3;1.3;0.6;0.5;5.4;5.4;;28.9
472;Binnenmaas;2025 tot 2030;1.2;1.5;0.6;0.5;5.0;5.4;;28.4
473;Binnenmaas;2030 tot 2035;1.2;1.6;0.6;0.5;5.2;5.2;;28.0
474;Binnenmaas;2035 tot 2040;1.1;1.7;0.5;0.5;5.0;5.1;;27.4
475;Bladel;2015 tot 2020;0.9;0.8;0.7;0.4;3.1;3.4;;20.0
476;Bladel;2020 tot 2025;1.0;1.0;0.7;0.4;3.1;3.6;;19.9
477;Bladel;2025 tot 2030;1.0;1.1;0.7;0.4;3.2;3.5;;19.7
478;Bladel;2030 tot 2035;1.0;1.2;0.7;0.4;3.2;3.4;;19.6
479;Bladel;2035 tot 2040;0.9;1.3;0.7;0.4;2.9;3.4;;19.0
480;Blaricum;2015 tot 2020;0.4;0.5;0.3;0.3;3.3;1.9;;10.6
481;Blaricum;2020 tot 2025;0.6;0.5;0.4;0.3;2.8;2.2;;11.3
482;Blaricum;2025 tot 2030;0.7;0.6;0.4;0.4;3.1;2.5;;12.1
483;Blaricum;2030 tot 2035;0.7;0.6;0.4;0.4;3.1;2.6;;12.7
484;Blaricum;2035 tot 2040;0.7;0.7;0.4;0.4;3.1;2.7;;13.1
485;Bloemendaal;2015 tot 2020;0.6;1.3;1.0;0.7;7.8;7.4;;22.3
486;Bloemendaal;2020 tot 2025;0.9;1.2;0.9;0.7;7.2;7.4;;21.9
487;Bloemendaal;2025 tot 2030;1.0;1.2;0.9;0.8;6.4;6.3;;21.9
488;Bloemendaal;2030 tot 2035;0.9;1.2;0.9;0.8;6.4;6.0;;22.1
489;Bloemendaal;2035 tot 2040;0.9;1.2;1.0;0.8;7.0;6.1;;22.8
490;Bodegraven-Reeuwijk;2015 tot 2020;1.6;1.3;0.8;0.5;5.1;5.6;;33.4
491;Bodegraven-Reeuwijk;2020 tot 2025;1.6;1.4;0.7;0.5;5.0;5.6;;33.2
492;Bodegraven-Reeuwijk;2025 tot 2030;1.6;1.6;0.7;0.5;5.0;5.6;;32.8
493;Bodegraven-Reeuwijk;2030 tot 2035;1.5;1.7;0.7;0.5;5.0;5.5;;32.3
494;Bodegraven-Reeuwijk;2035 tot 2040;1.4;1.8;0.7;0.5;5.0;5.4;;31.7
495;Boekel;2015 tot 2020;0.5;0.4;0.3;0.2;1.7;1.6;;10.5
496;Boekel;2020 tot 2025;0.6;0.4;0.3;0.2;1.7;1.8;;10.6
497;Boekel;2025 tot 2030;0.6;0.5;0.3;0.2;1.8;1.9;;10.8
498;Boekel;2030 tot 2035;0.6;0.5;0.3;0.2;1.8;1.9;;11.0
499;Boekel;2035 tot 2040;0.6;0.6;0.3;0.2;1.8;1.9;;11.0
500;Ten Boer;2015 tot 2020;0.3;0.4;0.1;0.1;1.6;1.5;;7.5
501;Ten Boer;2020 tot 2025;0.3;0.3;0.1;0.1;1.7;1.7;;7.5
502;Ten Boer;2025 tot 2030;0.3;0.3;0.1;0.1;1.7;1.8;;7.5
503;Ten Boer;2030 tot 2035;0.4;0.4;0.1;0.1;1.7;1.7;;7.5
504;Ten Boer;2035 tot 2040;0.4;0.4;0.1;0.1;1.7;1.8;;7.4
505;Borger-Odoorn;2015 tot 2020;0.9;1.3;0.5;0.3;5.1;5.4;;25.1
506;Borger-Odoorn;2020 tot 2025;1.0;1.4;0.5;0.3;5.3;5.4;;24.6
507;Borger-Odoorn;2025 tot 2030;1.0;1.6;0.5;0.4;5.5;5.3;;24.4
508;Borger-Odoorn;2030 tot 2035;1.1;1.7;0.5;0.4;5.7;5.2;;24.3
509;Borger-Odoorn;2035 tot 2040;1.1;1.8;0.5;0.4;5.3;5.1;;23.8
510;Borne;2015 tot 2020;1.2;1.0;1.6;0.4;4.1;4.4;;23.1
511;Borne;2020 tot 2025;1.3;1.1;0.5;0.5;4.0;4.0;;23.3
512;Borne;2025 tot 2030;1.3;1.1;0.5;0.5;4.0;4.0;;23.4
513;Borne;2030 tot 2035;1.4;1.2;0.5;0.5;4.0;4.0;;23.6
514;Borne;2035 tot 2040;1.3;1.2;0.5;0.5;4.0;4.0;;23.7
515;Borsele;2015 tot 2020;1.1;1.0;0.6;0.4;4.0;4.5;;22.4
516;Borsele;2020 tot 2025;1.0;1.0;0.5;0.4;4.0;4.6;;21.9
517;Borsele;2025 tot 2030;1.1;1.1;0.5;0.4;3.9;4.4;;21.5
518;Borsele;2030 tot 2035;1.1;1.2;0.5;0.4;4.3;4.3;;21.4
519;Borsele;2035 tot 2040;1.0;1.2;0.5;0.4;3.8;4.2;;20.9
520;Boxmeer;2015 tot 2020;1.1;1.2;3.1;0.5;5.2;6.8;;29.1
521;Boxmeer;2020 tot 2025;1.2;1.4;0.9;0.5;5.4;5.7;;29.0
522;Boxmeer;2025 tot 2030;1.2;1.6;0.9;0.6;5.5;5.8;;28.7
523;Boxmeer;2030 tot 2035;1.2;1.7;0.9;0.5;5.3;5.5;;28.4
524;Boxmeer;2035 tot 2040;1.1;1.8;0.8;0.5;5.2;5.4;;27.9
525;Boxtel;2015 tot 2020;1.3;1.3;1.0;0.8;6.1;5.7;;30.9
526;Boxtel;2020 tot 2025;1.4;1.4;0.9;0.8;6.2;6.1;;31.2
527;Boxtel;2025 tot 2030;1.5;1.5;0.9;0.9;6.3;6.2;;31.4
528;Boxtel;2030 tot 2035;1.5;1.5;0.9;0.9;6.1;6.0;;31.4
529;Boxtel;2035 tot 2040;1.4;1.6;0.9;0.8;5.8;5.8;;31.1
530;Breda;2015 tot 2020;9.9;8.1;12.9;7.9;46.3;44.4;;189.5
531;Breda;2020 tot 2025;10.8;8.1;10.8;8.7;50.0;48.7;;195.6
532;Breda;2025 tot 2030;11.2;8.5;10.7;9.0;51.3;49.9;;201.4
533;Breda;2030 tot 2035;11.4;9.0;10.8;9.1;51.4;50.6;;206.4
534;Breda;2035 tot 2040;11.1;9.6;10.7;9.0;51.3;50.9;;210.0
535;Brielle;2015 tot 2020;0.7;0.8;0.7;0.6;3.4;2.7;;17.2
536;Brielle;2020 tot 2025;0.8;0.8;0.6;0.6;3.2;2.9;;17.6
537;Brielle;2025 tot 2030;0.9;0.9;0.6;0.7;3.5;2.9;;18.1
538;Brielle;2030 tot 2035;0.9;0.9;0.7;0.7;3.6;3.0;;18.6
539;Brielle;2035 tot 2040;0.9;1.0;0.7;0.7;3.7;3.1;;19.1
540;Bronckhorst;2015 tot 2020;1.2;2.0;0.4;0.3;5.9;6.5;;35.6
541;Bronckhorst;2020 tot 2025;1.2;2.1;0.4;0.3;6.0;6.8;;33.9
542;Bronckhorst;2025 tot 2030;1.2;2.2;0.4;0.3;5.6;6.7;;31.9
