ID;BedrijfstakkenBranchesSBI2008;Perioden;Productie_1;GemiddeldeDagproductie_2;Productie_3;GemiddeldeDagproductie_4
269;B-E Nijverheid (geen bouw) en energie;1973 oktober;61.5;57.8;11.1;7.6
270;B-E Nijverheid (geen bouw) en energie;1973 november;60.6;59.3;7.8;7.4
271;B-E Nijverheid (geen bouw) en energie;1973 december;57.0;60.5;7.1;6.8
272;B-E Nijverheid (geen bouw) en energie;1973;53.8;53.8;6.2;6.2
273;B-E Nijverheid (geen bouw) en energie;1974 januari;57.3;55.7;6.5;6.7
274;B-E Nijverheid (geen bouw) en energie;1974 februari;54.9;58.8;7.1;7.5
275;B-E Nijverheid (geen bouw) en energie;1974 maart;60.6;59.1;8.2;11.0
276;B-E Nijverheid (geen bouw) en energie;1974 april;57.0;59.0;8.5;6.0
277;B-E Nijverheid (geen bouw) en energie;1974 mei;59.3;57.5;8.7;9.2
278;B-E Nijverheid (geen bouw) en energie;1974 juni;53.5;57.7;5.5;8.8
279;B-E Nijverheid (geen bouw) en energie;1974 juli;50.1;47.3;11.1;8.9
280;B-E Nijverheid (geen bouw) en energie;1974 augustus;54.2;52.6;4.9;8.7
281;B-E Nijverheid (geen bouw) en energie;1974 september;56.1;56.7;11.7;4.8
282;B-E Nijverheid (geen bouw) en energie;1974 oktober;63.7;60.1;3.7;4.1
283;B-E Nijverheid (geen bouw) en energie;1974 november;60.8;61.4;0.3;3.5
284;B-E Nijverheid (geen bouw) en energie;1974 december;58.4;60.0;2.4;-0.8
285;B-E Nijverheid (geen bouw) en energie;1974;57.2;57.2;6.4;6.4
286;B-E Nijverheid (geen bouw) en energie;1975 januari;56.0;54.2;-2.2;-2.8
287;B-E Nijverheid (geen bouw) en energie;1975 februari;53.3;56.7;-3.0;-3.5
288;B-E Nijverheid (geen bouw) en energie;1975 maart;56.5;57.8;-6.8;-2.1
289;B-E Nijverheid (geen bouw) en energie;1975 april;56.5;56.7;-1.0;-3.8
290;B-E Nijverheid (geen bouw) en energie;1975 mei;50.7;53.7;-14.5;-6.6
291;B-E Nijverheid (geen bouw) en energie;1975 juni;53.4;53.7;-0.2;-7.1
292;B-E Nijverheid (geen bouw) en energie;1975 juli;45.2;42.4;-9.8;-10.4
293;B-E Nijverheid (geen bouw) en energie;1975 augustus;47.3;47.1;-12.7;-10.5
294;B-E Nijverheid (geen bouw) en energie;1975 september;54.4;53.0;-3.0;-6.5
295;B-E Nijverheid (geen bouw) en energie;1975 oktober;60.7;56.9;-4.8;-5.4
296;B-E Nijverheid (geen bouw) en energie;1975 november;58.8;61.0;-3.3;-0.7
297;B-E Nijverheid (geen bouw) en energie;1975 december;62.8;62.4;7.5;3.9
298;B-E Nijverheid (geen bouw) en energie;1975;54.6;54.6;-4.4;-4.4
299;B-E Nijverheid (geen bouw) en energie;1976 januari;57.0;57.1;1.6;5.5
300;B-E Nijverheid (geen bouw) en energie;1976 februari;55.8;59.4;4.8;4.7
301;B-E Nijverheid (geen bouw) en energie;1976 maart;62.7;59.4;10.9;2.8
302;B-E Nijverheid (geen bouw) en energie;1976 april;57.5;59.9;1.8;5.6
303;B-E Nijverheid (geen bouw) en energie;1976 mei;54.7;57.0;7.8;6.0
304;B-E Nijverheid (geen bouw) en energie;1976 juni;56.0;57.0;4.9;6.2
305;B-E Nijverheid (geen bouw) en energie;1976 juli;47.2;46.2;4.5;9.1
306;B-E Nijverheid (geen bouw) en energie;1976 augustus;52.6;51.4;11.1;9.1
307;B-E Nijverheid (geen bouw) en energie;1976 september;59.0;58.3;8.3;10.0
308;B-E Nijverheid (geen bouw) en energie;1976 oktober;59.6;60.2;-1.7;5.9
309;B-E Nijverheid (geen bouw) en energie;1976 november;63.5;62.9;8.1;3.1
310;B-E Nijverheid (geen bouw) en energie;1976 december;69.7;66.4;11.1;6.5
311;B-E Nijverheid (geen bouw) en energie;1976;57.9;57.9;6.1;6.1
312;B-E Nijverheid (geen bouw) en energie;1977 januari;61.0;61.0;7.1;6.7
313;B-E Nijverheid (geen bouw) en energie;1977 februari;57.4;61.6;2.9;3.7
314;B-E Nijverheid (geen bouw) en energie;1977 maart;65.3;61.5;4.2;3.4
315;B-E Nijverheid (geen bouw) en energie;1977 april;59.7;63.3;3.8;5.7
316;B-E Nijverheid (geen bouw) en energie;1977 mei;55.8;58.0;2.1;1.8
317;B-E Nijverheid (geen bouw) en energie;1977 juni;57.7;56.6;3.2;-0.7
318;B-E Nijverheid (geen bouw) en energie;1977 juli;45.9;46.1;-2.7;-0.3
319;B-E Nijverheid (geen bouw) en energie;1977 augustus;53.5;50.2;1.8;-2.3
320;B-E Nijverheid (geen bouw) en energie;1977 september;57.0;56.0;-3.3;-3.9
