ID;Voertuigsoort;BedrijfstakkenBranchesSBI2008;KenmerkenVrachtautoSEnTrekkers;Perioden;VoertuigenInGebruik_1
213;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Totaal;2021;12283
214;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Totaal;2022;12159
215;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Totaal;2023;12309
216;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;leeftijd: jonger dan 1 jaar;2018;829
217;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;leeftijd: jonger dan 1 jaar;2019;1153
218;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;leeftijd: jonger dan 1 jaar;2020;810
219;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;leeftijd: jonger dan 1 jaar;2021;688
220;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;leeftijd: jonger dan 1 jaar;2022;695
221;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;leeftijd: jonger dan 1 jaar;2023;917
222;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Leeftijd: 1 of 2 jaar;2018;1799
223;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Leeftijd: 1 of 2 jaar;2019;1774
224;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Leeftijd: 1 of 2 jaar;2020;2026
225;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Leeftijd: 1 of 2 jaar;2021;2032
226;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Leeftijd: 1 of 2 jaar;2022;1414
227;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Leeftijd: 1 of 2 jaar;2023;1291
228;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Leeftijd: 3 of 4 jaar;2018;1218
