ID;Persoonskenmerken;Perioden;PersoonlijkeVerzorging_1;VerzorgingVanAnderen_2;Onderweg_3;BetaaldWerk_4;Onderwijs_5;HuishoudelijkeVerplichtingen_6;Vrijwilligerswerk_7;VrijeTijd_8;OverigeOfOnbekendeTijdsbesteding_9;PersoonlijkeVerzorging_10;VerzorgingVanAnderen_11;Onderweg_12;BetaaldWerk_13;Onderwijs_14;HuishoudelijkeVerplichtingen_15;Vrijwilligerswerk_16;VrijeTijd_17;OverigeOfOnbekendeTijdsbesteding_18
126;Maandag - donderdag;2001;10:02 ;0:29  ;0:57  ;3:39  ;0:47  ;2:24  ;0:11  ;5:06  ;0:26  ;100.0;23.0;65.0;46.0;16.0;76.0;7.0;98.0;28.0
127;Maandag - donderdag;2003;10:01 ;0:26  ;1:00  ;3:28  ;0:43  ;2:31  ;0:11  ;5:15  ;0:24  ;100.0;23.0;69.0;44.0;15.0;79.0;7.0;98.0;23.0
128;Vrijdag;1997;10:12 ;0:30  ;0:54  ;3:34  ;0:32  ;2:01  ;0:10  ;5:39  ;0:29  ;100.0;25.0;66.0;45.0;12.0;72.0;7.0;98.0;29.0
129;Vrijdag;1999;9:29  ;0:31  ;1:02  ;3:31  ;0:37  ;2:38  ;0:10  ;5:29  ;0:33  ;100.0;26.0;63.0;45.0;13.0;75.0;6.0;97.0;27.0
130;Vrijdag;2001;9:40  ;0:30  ;1:03  ;3:22  ;0:31  ;2:41  ;0:14  ;5:33  ;0:26  ;100.0;25.0;65.0;44.0;11.0;78.0;7.0;98.0;25.0
131;Vrijdag;2003;9:32  ;0:24  ;1:03  ;3:24  ;0:36  ;2:22  ;0:09  ;6:09  ;0:21  ;100.0;21.0;68.0;45.0;11.0;78.0;4.0;98.0;20.0
132;Zaterdag;1997;10:50 ;0:37  ;0:43  ;1:06  ;0:10  ;2:35  ;0:11  ;7:09  ;0:38  ;100.0;27.0;51.0;18.0;6.0;79.0;6.0;98.0;30.0
133;Zaterdag;1999;10:10 ;0:29  ;0:44  ;0:54  ;0:08  ;3:21  ;0:06  ;7:32  ;0:36  ;100.0;23.0;46.0;15.0;5.0;83.0;4.0;98.0;29.0
134;Zaterdag;2001;10:16 ;0:26  ;0:51  ;1:05  ;0:09  ;3:01  ;0:12  ;7:31  ;0:29  ;100.0;20.0;51.0;17.0;5.0;81.0;6.0;99.0;27.0
135;Zaterdag;2003;10:16 ;0:29  ;0:45  ;0:58  ;0:07  ;3:06  ;0:07  ;7:45  ;0:28  ;100.0;20.0;53.0;15.0;6.0;83.0;4.0;99.0;22.0
136;Zondag;1997;12:20 ;0:38  ;0:33  ;0:21  ;0:13  ;1:03  ;0:09  ;7:57  ;0:46  ;100.0;26.0;36.0;8.0;9.0;51.0;5.0;99.0;33.0
137;Zondag;1999;11:43 ;0:34  ;0:39  ;0:32  ;0:13  ;1:43  ;0:07  ;7:51  ;0:38  ;100.0;25.0;44.0;10.0;8.0;69.0;4.0;99.0;31.0
138;Zondag;2001;11:42 ;0:32  ;0:40  ;0:28  ;0:14  ;1:47  ;0:07  ;7:58  ;0:33  ;100.0;21.0;41.0;10.0;7.0;69.0;5.0;98.0;29.0
139;Zondag;2003;11:49 ;0:24  ;0:44  ;0:27  ;0:12  ;1:37  ;0:09  ;8:12  ;0:27  ;100.0;19.0;44.0;9.0;7.0;68.0;5.0;99.0;22.0
140;Gezondheid: zeer goed (oud);1997;10:28 ;0:34  ;0:51  ;3:20  ;0:42  ;1:43  ;0:10  ;5:40  ;0:31  ;100.0;26.0;64.0;43.0;15.0;64.0;7.0;97.0;29.0
141;Gezondheid: zeer goed (oud);1999;9:52  ;0:39  ;1:07  ;3:19  ;0:40  ;2:08  ;0:13  ;5:30  ;0:32  ;100.0;30.0;66.0;43.0;15.0;71.0;7.0;98.0;28.0
142;Gezondheid: zeer goed (oud);2001;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
143;Gezondheid: zeer goed (oud);2003;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
144;Gezondheid: goed (oud);1997;10:44 ;0:39  ;0:50  ;2:32  ;0:41  ;1:51  ;0:11  ;5:54  ;0:37  ;100.0;28.0;60.0;34.0;15.0;67.0;7.0;98.0;31.0
145;Gezondheid: goed (oud);1999;10:07 ;0:32  ;0:51  ;2:54  ;0:35  ;2:36  ;0:10  ;5:43  ;0:32  ;100.0;26.0;58.0;37.0;13.0;77.0;6.0;97.0;30.0
146;Gezondheid: goed (oud);2001;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
147;Gezondheid: goed (oud);2003;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
148;Gezondheid: gaat wel (oud);1997;11:28 ;0:28  ;0:39  ;1:26  ;0:20  ;2:11  ;0:10  ;6:44  ;0:34  ;100.0;24.0;50.0;21.0;10.0;75.0;6.0;98.0;30.0
149;Gezondheid: gaat wel (oud);1999;10:39 ;0:20  ;0:44  ;1:25  ;0:17  ;3:12  ;0:12  ;6:38  ;0:33  ;100.0;19.0;48.0;19.0;7.0;87.0;7.0;98.0;31.0
150;Gezondheid: gaat wel (oud);2001;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
151;Gezondheid: gaat wel (oud);2003;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
152;Gezondheid: soms goed/soms slecht (oud);1997;11:35 ;0:37  ;0:45  ;0:54  ;0:19  ;2:13  ;0:09  ;6:53  ;0:35  ;100.0;25.0;49.0;13.0;8.0;73.0;6.0;98.0;34.0
153;Gezondheid: soms goed/soms slecht (oud);1999;10:55 ;0:27  ;0:42  ;1:12  ;0:09  ;3:16  ;0:06  ;6:29  ;0:43  ;100.0;24.0;44.0;21.0;3.0;85.0;5.0;97.0;33.0
154;Gezondheid: soms goed/soms slecht (oud);2001;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
155;Gezondheid: soms goed/soms slecht (oud);2003;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
156;Gezondheid: slecht (oud);1997;12:44 ;0:26  ;0:25  ;0:16  ;0:03  ;2:15  ;0:02  ;7:06  ;0:42  ;100.0;16.0;32.0;5.0;3.0;72.0;3.0;95.0;33.0
157;Gezondheid: slecht (oud);1999;11:42 ;0:25  ;0:27  ;0:35  ;0:06  ;2:35  ;0:02  ;7:34  ;0:35  ;100.0;15.0;32.0;6.0;5.0;74.0;3.0;98.0;31.0
158;Gezondheid: slecht (oud);2001;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
159;Gezondheid: slecht (oud);2003;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
160;Gezondheid: zeer goed (nieuw);1997;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
161;Gezondheid: zeer goed (nieuw);1999;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
162;Gezondheid: zeer goed (nieuw);2001;9:54  ;0:33  ;1:05  ;3:27  ;0:49  ;2:09  ;0:12  ;5:27  ;0:24  ;100.0;24.0;66.0;44.0;16.0;72.0;7.0;98.0;27.0
163;Gezondheid: zeer goed (nieuw);2003;9:56  ;0:28  ;1:07  ;3:25  ;0:45  ;2:07  ;0:08  ;5:38  ;0:26  ;100.0;24.0;72.0;44.0;15.0;74.0;5.0;99.0;21.0
164;Gezondheid: goed (nieuw);1997;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
165;Gezondheid: goed (nieuw);1999;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
166;Gezondheid: goed (nieuw);2001;10:12 ;0:29  ;0:55  ;2:59  ;0:35  ;2:23  ;0:11  ;5:48  ;0:28  ;100.0;23.0;61.0;39.0;13.0;76.0;7.0;98.0;27.0
167;Gezondheid: goed (nieuw);2003;10:09 ;0:28  ;0:55  ;2:53  ;0:36  ;2:26  ;0:10  ;5:59  ;0:23  ;100.0;23.0;64.0;38.0;13.0;76.0;6.0;98.0;22.0
168;Gezondheid: gaat wel (nieuw);1997;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
169;Gezondheid: gaat wel (nieuw);1999;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
170;Gezondheid: gaat wel (nieuw);2001;10:40 ;0:25  ;0:41  ;1:37  ;0:15  ;3:00  ;0:10  ;6:42  ;0:29  ;100.0;20.0;48.0;24.0;7.0;82.0;7.0;98.0;28.0
171;Gezondheid: gaat wel (nieuw);2003;10:35 ;0:21  ;0:47  ;1:31  ;0:13  ;2:53  ;0:11  ;7:03  ;0:26  ;100.0;17.0;53.0;22.0;6.0;84.0;6.0;99.0;23.0
172;Gezondheid: slecht (nieuw);1997;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
173;Gezondheid: slecht (nieuw);1999;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
174;Gezondheid: slecht (nieuw);2001;11:25 ;0:25  ;0:41  ;0:36  ;0:09  ;2:52  ;0:08  ;7:09  ;0:36  ;100.0;19.0;45.0;9.0;5.0;78.0;5.0;99.0;31.0
175;Gezondheid: slecht (nieuw);2003;11:35 ;0:20  ;0:41  ;0:33  ;0:08  ;2:43  ;0:08  ;7:20  ;0:34  ;100.0;18.0;40.0;9.0;5.0;85.0;4.0;97.0;23.0
176;Gezondheid: zeer slecht (nieuw);1997;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
177;Gezondheid: zeer slecht (nieuw);1999;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
178;Gezondheid: zeer slecht (nieuw);2001;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
179;Gezondheid: zeer slecht (nieuw);2003;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
