ID;CentralDecentralProduction;EnergyCommodities;Periods;TotalElectricityAndHeatTJ_1;ElectricityMWh_2;ElectricityTJ_3;Electricity_4;HeatTJ_5;InputTJ_6
285;Total central/decentral production;Biomass;2023;47129.0;7614118.0;27411.0;6.3;19718.0;99638.0
286;Total central/decentral production;Nuclear energy;1998;13712.0;3809091.0;13712.0;4.1;;39327.0
287;Total central/decentral production;Nuclear energy;1999;13781.0;3828213.0;13781.0;4.4;;39739.0
288;Total central/decentral production;Nuclear energy;2000;14110.0;3919208.0;14110.0;4.3;;40500.0
289;Total central/decentral production;Nuclear energy;2001;14301.0;3972571.0;14301.0;4.2;;40866.0
290;Total central/decentral production;Nuclear energy;2002;14089.0;3913540.0;14089.0;4.1;;40317.0
291;Total central/decentral production;Nuclear energy;2003;14465.0;4017989.0;14465.0;4.1;;41264.0
292;Total central/decentral production;Nuclear energy;2004;13759.0;3822018.0;13759.0;3.7;;39420.0
293;Total central/decentral production;Nuclear energy;2005;14391.0;3997456.0;14391.0;4.0;;41296.0
294;Total central/decentral production;Nuclear energy;2006;12490.0;3469439.0;12490.0;3.5;;35913.0
295;Total central/decentral production;Nuclear energy;2007;15121.0;4200313.0;15121.0;4.0;;40962.0
296;Total central/decentral production;Nuclear energy;2008;15008.0;4168889.0;15008.0;3.9;;40116.0
297;Total central/decentral production;Nuclear energy;2009;15294.0;4248333.0;15294.0;3.7;;41030.0
298;Total central/decentral production;Nuclear energy;2010;14289.0;3969167.0;14289.0;3.4;;38410.0
299;Total central/decentral production;Nuclear energy;2011;14907.0;4140775.0;14907.0;3.7;;40164.0
300;Total central/decentral production;Nuclear energy;2012;14093.0;3914710.0;14093.0;3.8;;38516.0
301;Total central/decentral production;Nuclear energy;2013;10407.0;2890859.0;10407.0;2.9;;27604.0
302;Total central/decentral production;Nuclear energy;2014;14729.0;4091306.0;14729.0;4.0;;39410.0
303;Total central/decentral production;Nuclear energy;2015;14681.0;4078041.0;14681.0;3.7;;39245.0
304;Total central/decentral production;Nuclear energy;2016;14257.0;3960278.0;14257.0;3.4;;38357.0
305;Total central/decentral production;Nuclear energy;2017;12249.0;3402478.0;12249.0;2.9;;33056.0
306;Total central/decentral production;Nuclear energy;2018;12653.0;3514770.0;12653.0;3.1;;34008.0
307;Total central/decentral production;Nuclear energy;2019;14075.0;3909748.0;14075.0;3.2;;38113.0
308;Total central/decentral production;Nuclear energy;2020;14715.0;4087363.0;14715.0;3.3;;40021.0
309;Total central/decentral production;Nuclear energy;2021;13781.0;3827956.0;13781.0;3.1;;37281.0
310;Total central/decentral production;Nuclear energy;2022;14963.0;4156313.0;14963.0;3.4;;40439.0
311;Total central/decentral production;Nuclear energy;2023;14347.0;3985293.0;14347.0;3.3;;38959.0
312;Total central/decentral production;Other energy commodities;1998;22362.0;2627322.0;9459.0;2.9;12902.0;44099.0
313;Total central/decentral production;Other energy commodities;1999;21652.0;2571139.0;9257.0;2.9;12395.0;39946.0
314;Total central/decentral production;Other energy commodities;2000;23482.0;2488862.0;8959.0;2.8;14523.0;40031.0
315;Total central/decentral production;Other energy commodities;2001;22228.0;2419770.0;8712.0;2.6;13516.0;37813.0
316;Total central/decentral production;Other energy commodities;2002;21170.0;2383033.0;8579.0;2.5;12592.0;37063.0
317;Total central/decentral production;Other energy commodities;2003;23061.0;2868908.0;10327.0;2.9;12733.0;40803.0
318;Total central/decentral production;Other energy commodities;2004;24114.0;2959420.0;10655.0;2.9;13459.0;39952.0
319;Total central/decentral production;Other energy commodities;2005;22321.0;2808798.0;10112.0;2.8;12209.0;42197.0
320;Total central/decentral production;Other energy commodities;2006;23323.0;2784016.0;10022.0;2.8;13300.0;43803.0
321;Total central/decentral production;Other energy commodities;2007;21497.0;2620529.0;9434.0;2.5;12063.0;41880.0
322;Total central/decentral production;Other energy commodities;2008;22752.0;2604768.0;9377.0;2.4;13375.0;40724.0
323;Total central/decentral production;Other energy commodities;2009;21678.0;2798166.0;10073.0;2.5;11604.0;42670.0
324;Total central/decentral production;Other energy commodities;2010;18715.0;3139444.0;11302.0;2.7;7413.0;43780.0
325;Total central/decentral production;Other energy commodities;2011;21018.0;3246429.0;11686.0;2.9;9332.0;45356.0
326;Total central/decentral production;Other energy commodities;2012;26408.0;3481510.0;12533.0;3.4;13875.0;50934.0
327;Total central/decentral production;Other energy commodities;2013;27311.0;3074110.0;11067.0;3.0;16244.0;52641.0
328;Total central/decentral production;Other energy commodities;2014;30403.0;3327250.0;11978.0;3.2;18425.0;53691.0
329;Total central/decentral production;Other energy commodities;2015;25363.0;3084957.0;11106.0;2.8;14258.0;51785.0
330;Total central/decentral production;Other energy commodities;2016;24447.0;3085325.0;11107.0;2.7;13340.0;52022.0
331;Total central/decentral production;Other energy commodities;2017;24984.0;3302809.0;11890.0;2.8;13094.0;52810.0
332;Total central/decentral production;Other energy commodities;2018;17957.0;2643273.0;9516.0;2.3;8441.0;43912.0
333;Total central/decentral production;Other energy commodities;2019;16593.0;2503099.0;9011.0;2.1;7582.0;41631.0
334;Total central/decentral production;Other energy commodities;2020;15962.0;2483845.0;8942.0;2.0;7020.0;40271.0
335;Total central/decentral production;Other energy commodities;2021;17290.0;2511048.0;9040.0;2.1;8250.0;41905.0
336;Total central/decentral production;Other energy commodities;2022;17316.0;2586745.0;9312.0;2.1;8004.0;42422.0
337;Total central/decentral production;Other energy commodities;2023;16224.0;2376561.0;8556.0;2.0;7668.0;39136.0
338;Central electricity production;Total energy commodities;1998;250308.0;62254411.0;224116.0;67.7;26192.0;518988.0
339;Central electricity production;Total energy commodities;1999;222434.0;55125987.0;198454.0;62.9;23980.0;459323.0
340;Central electricity production;Total energy commodities;2000;236202.0;56545363.0;203563.0;62.7;32638.0;479735.0
341;Central electricity production;Total energy commodities;2001;256720.0;62373818.0;224546.0;66.3;32174.0;535691.0
342;Central electricity production;Total energy commodities;2002;263024.0;64008232.0;230430.0;67.3;32594.0;549080.0
343;Central electricity production;Total energy commodities;2003;274083.0;66524178.0;239487.0;67.8;34596.0;572064.0
344;Central electricity production;Total energy commodities;2004;295750.0;70428790.0;253544.0;69.0;42206.0;600631.0
345;Central electricity production;Total energy commodities;2005;292292.0;69237110.0;249254.0;68.7;43038.0;592663.0
346;Central electricity production;Total energy commodities;2006;284117.0;67128659.0;241663.0;67.9;42453.0;563187.0
347;Central electricity production;Total energy commodities;2007;292668.0;70394116.0;253419.0;66.9;39249.0;581703.0
348;Central electricity production;Total energy commodities;2008;281869.0;67570833.0;243255.0;62.4;38614.0;568986.0
349;Central electricity production;Total energy commodities;2009;300599.0;72071944.0;259459.0;63.5;41140.0;593506.0
350;Central electricity production;Total energy commodities;2010;317305.0;75823056.0;272963.0;64.2;44342.0;619071.0
351;Central electricity production;Total energy commodities;2011;293706.0;70554654.0;253997.0;62.5;39709.0;563489.0
352;Central electricity production;Total energy commodities;2012;269332.0;64030993.0;230512.0;62.5;38820.0;530688.0
353;Central electricity production;Total energy commodities;2013;264915.0;63063994.0;227030.0;62.5;37884.0;514365.0
354;Central electricity production;Total energy commodities;2014;280698.0;67534143.0;243123.0;65.3;37575.0;555357.0
355;Central electricity production;Total energy commodities;2015;294097.0;72359637.0;260495.0;65.7;33602.0;597238.0
356;Central electricity production;Total energy commodities;2016;308260.0;76645222.0;275923.0;66.6;32337.0;608978.0
357;Central electricity production;Total energy commodities;2017;305072.0;76102543.0;273969.0;65.0;31103.0;593181.0
358;Central electricity production;Total energy commodities;2018;282755.0;71129176.0;256065.0;62.2;26690.0;539103.0
359;Central electricity production;Total energy commodities;2019;290422.0;74735323.0;269047.0;61.6;21375.0;545055.0
360;Central electricity production;Total energy commodities;2020;269840.0;69619816.0;250631.0;56.5;19209.0;498210.0
361;Central electricity production;Total energy commodities;2021;242897.0;62447730.0;224812.0;51.1;18085.0;467916.0
362;Central electricity production;Total energy commodities;2022;222113.0;56999205.0;205197.0;46.9;16916.0;434236.0
363;Central electricity production;Total energy commodities;2023;180665.0;46374210.0;166947.0;38.2;13718.0;350669.0
364;Central electricity production;Total fossil fuels;1998;232329.0;57738693.0;207859.0;62.8;24469.0;473222.0
365;Central electricity production;Total fossil fuels;1999;203856.0;50521283.0;181877.0;57.7;21980.0;412841.0
366;Central electricity production;Total fossil fuels;2000;216689.0;51902724.0;186850.0;57.6;29840.0;432075.0
367;Central electricity production;Total fossil fuels;2001;237074.0;57433493.0;206761.0;61.1;30314.0;485864.0
368;Central electricity production;Total fossil fuels;2002;242294.0;58642723.0;211114.0;61.7;31181.0;496137.0
369;Central electricity production;Total fossil fuels;2003;251414.0;60944831.0;219401.0;62.1;32013.0;517162.0
370;Central electricity production;Total fossil fuels;2004;270713.0;64229574.0;231226.0;62.9;39487.0;540422.0
371;Central electricity production;Total fossil fuels;2005;259708.0;61042030.0;219751.0;60.6;39956.0;513712.0
372;Central electricity production;Total fossil fuels;2006;253310.0;59548402.0;214374.0;60.3;38936.0;490082.0
373;Central electricity production;Total fossil fuels;2007;266138.0;63667717.0;229204.0;60.5;36935.0;518917.0
374;Central electricity production;Total fossil fuels;2008;251445.0;60319581.0;217150.0;55.7;34295.0;501885.0
375;Central electricity production;Total fossil fuels;2009;270012.0;64498774.0;232196.0;56.8;37817.0;523351.0
376;Central electricity production;Total fossil fuels;2010;286521.0;67884444.0;244384.0;57.5;42137.0;545431.0
377;Central electricity production;Total fossil fuels;2011;261700.0;62369773.0;224532.0;55.2;37168.0;487563.0
378;Central electricity production;Total fossil fuels;2012;238375.0;56216888.0;202381.0;54.8;35994.0;456637.0
379;Central electricity production;Total fossil fuels;2013;242658.0;57558378.0;207210.0;57.1;35447.0;463147.0
380;Central electricity production;Total fossil fuels;2014;255456.0;61618703.0;221827.0;59.6;33629.0;498105.0
381;Central electricity production;Total fossil fuels;2015;271215.0;66916221.0;240898.0;60.7;30317.0;543749.0
382;Central electricity production;Total fossil fuels;2016;286601.0;71428343.0;257142.0;62.0;29459.0;556943.0
383;Central electricity production;Total fossil fuels;2017;284646.0;71111542.0;256002.0;60.7;28644.0;544358.0
384;Central electricity production;Total fossil fuels;2018;265692.0;66919881.0;240912.0;58.5;24780.0;497755.0
385;Central electricity production;Total fossil fuels;2019;268223.0;68918581.0;248107.0;56.8;20116.0;491120.0
386;Central electricity production;Total fossil fuels;2020;235289.0;60704783.0;218537.0;49.2;16751.0;417183.0
387;Central electricity production;Total fossil fuels;2021;201068.0;51762807.0;186346.0;42.4;14722.0;373426.0
388;Central electricity production;Total fossil fuels;2022;184580.0;47235783.0;170049.0;38.9;14532.0;347190.0
389;Central electricity production;Total fossil fuels;2023;150832.0;38582298.0;138896.0;31.8;11935.0;279484.0
390;Central electricity production;Natural gas;1998;123558.0;29077967.0;104681.0;31.6;18877.0;222360.0
391;Central electricity production;Natural gas;1999;113175.0;26810779.0;96519.0;30.6;16656.0;200871.0
392;Central electricity production;Natural gas;2000;116798.0;25821834.0;92959.0;28.6;23839.0;197962.0
393;Central electricity production;Natural gas;2001;130814.0;29578363.0;106482.0;31.4;24332.0;235737.0
394;Central electricity production;Natural gas;2002;136549.0;30888234.0;111198.0;32.5;25351.0;243039.0
395;Central electricity production;Natural gas;2003;141402.0;31898956.0;114836.0;32.5;26566.0;259072.0
396;Central electricity production;Natural gas;2004;166422.0;36615402.0;131815.0;35.8;34607.0;293048.0
397;Central electricity production;Natural gas;2005;160342.0;34712112.0;124964.0;34.4;35379.0;279019.0
398;Central electricity production;Natural gas;2006;156460.0;33928854.0;122144.0;34.3;34317.0;263322.0
399;Central electricity production;Natural gas;2007;160747.0;35769797.0;128771.0;34.0;31976.0;278081.0
400;Central electricity production;Natural gas;2008;155380.0;34792548.0;125253.0;32.2;30127.0;272770.0
401;Central electricity production;Natural gas;2009;174023.0;39025605.0;140492.0;34.4;33531.0;296607.0
402;Central electricity production;Natural gas;2010;192917.0;43044722.0;154961.0;36.4;37956.0;324232.0
403;Central electricity production;Natural gas;2011;172756.0;38604444.0;138976.0;34.2;33780.0;278398.0
404;Central electricity production;Natural gas;2012;136365.0;28963663.0;104269.0;28.3;32096.0;218028.0
405;Central electricity production;Natural gas;2013;138050.0;30105407.0;108379.0;29.8;29671.0;216567.0
406;Central electricity production;Natural gas;2014;136801.0;29643686.0;106717.0;28.7;30084.0;213713.0
407;Central electricity production;Natural gas;2015;115237.0;24667967.0;88805.0;22.4;26432.0;180801.0
408;Central electricity production;Natural gas;2016;140272.0;31906479.0;114863.0;27.7;25409.0;227959.0
409;Central electricity production;Natural gas;2017;158170.0;37025712.0;133293.0;31.6;24877.0;262521.0
410;Central electricity production;Natural gas;2018;153389.0;36560193.0;131617.0;32.0;21772.0;252451.0
411;Central electricity production;Natural gas;2019;193202.0;48879003.0;175964.0;40.3;17238.0;321426.0
412;Central electricity production;Natural gas;2020;197280.0;50656978.0;182365.0;41.1;14914.0;331908.0
413;Central electricity production;Natural gas;2021;136758.0;34426876.0;123937.0;28.2;12821.0;230896.0
414;Central electricity production;Natural gas;2022;120460.0;29876448.0;107555.0;24.6;12905.0;203419.0
415;Central electricity production;Natural gas;2023;111637.0;27913666.0;100489.0;23.0;11148.0;190450.0
416;Central electricity production;Hard coal;1998;97660.0;25782450.0;92817.0;28.0;4843.0;225639.0
417;Central electricity production;Hard coal;1999;79748.0;20809658.0;74915.0;23.8;4833.0;186545.0
418;Central electricity production;Hard coal;2000;89792.0;23428151.0;84341.0;26.0;5450.0;210759.0
419;Central electricity production;Hard coal;2001;94984.0;24910476.0;89678.0;26.5;5306.0;224740.0
420;Central electricity production;Hard coal;2002;94835.0;24954185.0;89835.0;26.2;5000.0;227583.0
421;Central electricity production;Hard coal;2003;97721.0;25881089.0;93172.0;26.4;4549.0;230580.0
422;Central electricity production;Hard coal;2004;92308.0;24420741.0;87915.0;23.9;4393.0;221237.0
423;Central electricity production;Hard coal;2005;86913.0;23059152.0;83013.0;22.9;3900.0;207063.0
424;Central electricity production;Hard coal;2006;87276.0;23125407.0;83251.0;23.4;4024.0;204795.0
425;Central electricity production;Hard coal;2007;92686.0;24599968.0;88560.0;23.4;4126.0;212644.0
426;Central electricity production;Hard coal;2008;84796.0;22539960.0;81144.0;20.8;3652.0;202868.0
427;Central electricity production;Hard coal;2009;88304.0;23434488.0;84364.0;20.6;3940.0;208481.0
428;Central electricity production;Hard coal;2010;82201.0;21893333.0;78816.0;18.5;3385.0;195440.0
429;Central electricity production;Hard coal;2011;77558.0;20766667.0;74760.0;18.4;2798.0;182128.0
430;Central electricity production;Hard coal;2012;90346.0;24222999.0;87203.0;23.6;3143.0;211422.0
431;Central electricity production;Hard coal;2013;91180.0;24560150.0;88417.0;24.3;2763.0;220710.0
432;Central electricity production;Hard coal;2014;106657.0;28760067.0;103536.0;27.8;3121.0;255106.0
433;Central electricity production;Hard coal;2015;145249.0;39390589.0;141806.0;35.7;3443.0;336632.0
434;Central electricity production;Hard coal;2016;136051.0;36816731.0;132540.0;32.0;3511.0;304662.0
435;Central electricity production;Hard coal;2017;116331.0;31378986.0;112964.0;26.8;3367.0;256496.0
436;Central electricity production;Hard coal;2018;101646.0;27577792.0;99280.0;24.1;2366.0;221465.0
437;Central electricity production;Hard coal;2019;66353.0;17693631.0;63697.0;14.6;2656.0;146631.0
438;Central electricity production;Hard coal;2020;29063.0;7617252.0;27422.0;6.2;1641.0;63862.0
439;Central electricity production;Hard coal;2021;54263.0;14599848.0;52559.0;11.9;1704.0;118464.0
440;Central electricity production;Hard coal;2022;54738.0;14802202.0;53288.0;12.2;1450.0;120442.0
441;Central electricity production;Hard coal;2023;32112.0;8711756.0;31362.0;7.2;750.0;71330.0
442;Central electricity production;Fuel oil;1998;94.0;15867.0;57.0;0.0;37.0;153.0
443;Central electricity production;Fuel oil;1999;88.0;17982.0;65.0;0.0;23.0;160.0
444;Central electricity production;Fuel oil;2000;39.0;6184.0;22.0;0.0;17.0;59.0
445;Central electricity production;Fuel oil;2001;379.0;94080.0;339.0;0.1;40.0;879.0
446;Central electricity production;Fuel oil;2002;299.0;83007.0;299.0;0.1;;738.0
447;Central electricity production;Fuel oil;2003;721.0;169308.0;610.0;0.2;112.0;1549.0
448;Central electricity production;Fuel oil;2004;217.0;60299.0;217.0;0.1;;567.0
449;Central electricity production;Fuel oil;2005;284.0;76318.0;275.0;0.1;9.0;707.0
450;Central electricity production;Fuel oil;2006;205.0;55584.0;200.0;0.1;4.0;494.0
451;Central electricity production;Fuel oil;2007;91.0;25107.0;90.0;0.0;1.0;222.0
452;Central electricity production;Fuel oil;2008;81.0;21647.0;78.0;0.0;3.0;194.0
453;Central electricity production;Fuel oil;2009;85.0;23621.0;85.0;0.0;0.0;214.0
454;Central electricity production;Fuel oil;2010;68.0;18889.0;68.0;0.0;0.0;167.0
455;Central electricity production;Fuel oil;2011;30.0;8242.0;30.0;0.0;;73.0
456;Central electricity production;Fuel oil;2012;32.0;8871.0;32.0;0.0;;79.0
457;Central electricity production;Fuel oil;2013;297.0;82585.0;297.0;0.1;;800.0
458;Central electricity production;Fuel oil;2014;1212.0;336609.0;1212.0;0.3;;3226.0
459;Central electricity production;Fuel oil;2015;318.0;87282.0;314.0;0.1;4.0;698.0
460;Central electricity production;Fuel oil;2016;203.0;53574.0;193.0;0.0;10.0;406.0
461;Central electricity production;Fuel oil;2017;185.0;43584.0;157.0;0.0;28.0;369.0
462;Central electricity production;Fuel oil;2018;155.0;34101.0;123.0;0.0;32.0;283.0
463;Central electricity production;Fuel oil;2019;222.0;60424.0;218.0;0.1;4.0;536.0
464;Central electricity production;Fuel oil;2020;70.0;18795.0;68.0;0.0;3.0;159.0
465;Central electricity production;Fuel oil;2021;114.0;30921.0;111.0;0.0;2.0;268.0
466;Central electricity production;Fuel oil;2022;86.0;23358.0;84.0;0.0;2.0;195.0
467;Central electricity production;Fuel oil;2023;79.0;21721.0;78.0;0.0;1.0;180.0
468;Central electricity production;Other fossil fuels;1998;11017.0;2862409.0;10305.0;3.1;712.0;25070.0
469;Central electricity production;Other fossil fuels;1999;10845.0;2882864.0;10378.0;3.3;467.0;25265.0
470;Central electricity production;Other fossil fuels;2000;10060.0;2646555.0;9528.0;2.9;533.0;23295.0
471;Central electricity production;Other fossil fuels;2001;10897.0;2850573.0;10262.0;3.0;635.0;24508.0
472;Central electricity production;Other fossil fuels;2002;10612.0;2717297.0;9782.0;2.9;830.0;24777.0
473;Central electricity production;Other fossil fuels;2003;11570.0;2995479.0;10784.0;3.1;786.0;25961.0
474;Central electricity production;Other fossil fuels;2004;11766.0;3133131.0;11279.0;3.1;487.0;25570.0
475;Central electricity production;Other fossil fuels;2005;12168.0;3194448.0;11500.0;3.2;668.0;26923.0
476;Central electricity production;Other fossil fuels;2006;9369.0;2438557.0;8779.0;2.5;590.0;21471.0
477;Central electricity production;Other fossil fuels;2007;12614.0;3272845.0;11782.0;3.1;832.0;27970.0
478;Central electricity production;Other fossil fuels;2008;11188.0;2965426.0;10676.0;2.7;513.0;26053.0
479;Central electricity production;Other fossil fuels;2009;7600.0;2015060.0;7254.0;1.8;346.0;18049.0
480;Central electricity production;Other fossil fuels;2010;11335.0;2927500.0;10539.0;2.5;796.0;25592.0
481;Central electricity production;Other fossil fuels;2011;11356.0;2990420.0;10766.0;2.6;590.0;26964.0
482;Central electricity production;Other fossil fuels;2012;11632.0;3021355.0;10877.0;2.9;755.0;27108.0
483;Central electricity production;Other fossil fuels;2013;13130.0;2810237.0;10117.0;2.8;3013.0;25070.0
484;Central electricity production;Other fossil fuels;2014;10786.0;2878341.0;10362.0;2.8;424.0;26059.0
485;Central electricity production;Other fossil fuels;2015;10411.0;2770384.0;9973.0;2.5;438.0;25618.0
486;Central electricity production;Other fossil fuels;2016;10075.0;2651559.0;9546.0;2.3;530.0;23916.0
487;Central electricity production;Other fossil fuels;2017;9959.0;2663260.0;9588.0;2.3;372.0;24973.0
488;Central electricity production;Other fossil fuels;2018;10502.0;2747795.0;9892.0;2.4;610.0;23556.0
489;Central electricity production;Other fossil fuels;2019;8446.0;2285522.0;8228.0;1.9;218.0;22526.0
490;Central electricity production;Other fossil fuels;2020;8876.0;2411759.0;8682.0;2.0;193.0;21255.0
491;Central electricity production;Other fossil fuels;2021;9934.0;2705161.0;9739.0;2.2;195.0;23799.0
492;Central electricity production;Other fossil fuels;2022;9296.0;2533776.0;9122.0;2.1;175.0;23133.0
493;Central electricity production;Other fossil fuels;2023;7004.0;1935156.0;6967.0;1.6;37.0;17525.0
494;Central electricity production;Total renewable energy;1998;394.0;100800.0;363.0;0.1;31.0;906.0
495;Central electricity production;Total renewable energy;1999;608.0;164850.0;593.0;0.2;15.0;1403.0
496;Central electricity production;Total renewable energy;2000;763.0;207900.0;748.0;0.2;15.0;1755.0
497;Central electricity production;Total renewable energy;2001;2186.0;591150.0;2128.0;0.6;58.0;5408.0
498;Central electricity production;Total renewable energy;2002;4306.0;1134480.0;4084.0;1.2;222.0;9866.0
499;Central electricity production;Total renewable energy;2003;2942.0;794790.0;2861.0;0.8;81.0;7127.0
500;Central electricity production;Total renewable energy;2004;6116.0;1608610.0;5791.0;1.6;325.0;14123.0
501;Central electricity production;Total renewable energy;2005;13109.0;3448760.0;12416.0;3.4;693.0;30522.0
502;Central electricity production;Total renewable energy;2006;12230.0;3243870.0;11678.0;3.3;552.0;29444.0
503;Central electricity production;Total renewable energy;2007;7357.0;1815690.0;6536.0;1.7;821.0;15702.0
504;Central electricity production;Total renewable energy;2008;8876.0;2276209.0;8194.0;2.1;682.0;19692.0
505;Central electricity production;Total renewable energy;2009;10353.0;2615000.0;9414.0;2.3;939.0;22788.0
506;Central electricity production;Total renewable energy;2010;12920.0;3236944.0;11653.0;2.7;1267.0;28545.0
507;Central electricity production;Total renewable energy;2011;12377.0;3182448.0;11457.0;2.8;920.0;27855.0
508;Central electricity production;Total renewable energy;2012;11290.0;2953335.0;10632.0;2.9;658.0;26295.0
509;Central electricity production;Total renewable energy;2013;6948.0;1814304.0;6531.0;1.8;417.0;15691.0
510;Central electricity production;Total renewable energy;2014;3576.0;933000.0;3359.0;0.9;217.0;8173.0
511;Central electricity production;Total renewable energy;2015;1887.0;513278.0;1848.0;0.5;40.0;4675.0
512;Central electricity production;Total renewable energy;2016;1662.0;446324.0;1607.0;0.4;55.0;4083.0
513;Central electricity production;Total renewable energy;2017;2272.0;534118.0;1923.0;0.5;349.0;4883.0
514;Central electricity production;Total renewable energy;2018;3047.0;640783.0;2307.0;0.6;740.0;5674.0
515;Central electricity production;Total renewable energy;2019;7978.0;1872686.0;6742.0;1.5;1237.0;15525.0
516;Central electricity production;Total renewable energy;2020;19543.0;4750242.0;17101.0;3.9;2442.0;40359.0
517;Central electricity production;Total renewable energy;2021;27712.0;6770373.0;24373.0;5.5;3339.0;56488.0
518;Central electricity production;Total renewable energy;2022;22312.0;5540886.0;19947.0;4.6;2365.0;46035.0
519;Central electricity production;Total renewable energy;2023;15372.0;3775672.0;13592.0;3.1;1779.0;31971.0
520;Central electricity production;Solar photovoltaic;1998;;;;;;
521;Central electricity production;Solar photovoltaic;1999;;;;;;
522;Central electricity production;Solar photovoltaic;2000;;;;;;
523;Central electricity production;Solar photovoltaic;2001;;;;;;
524;Central electricity production;Solar photovoltaic;2002;;;;;;
525;Central electricity production;Solar photovoltaic;2003;;;;;;
526;Central electricity production;Solar photovoltaic;2004;;;;;;
527;Central electricity production;Solar photovoltaic;2005;;;;;;
528;Central electricity production;Solar photovoltaic;2006;;;;;;
529;Central electricity production;Solar photovoltaic;2007;;;;;;
530;Central electricity production;Solar photovoltaic;2008;;;;;;
531;Central electricity production;Solar photovoltaic;2009;;;;;;
532;Central electricity production;Solar photovoltaic;2010;;;;;;
533;Central electricity production;Solar photovoltaic;2011;;;;;;
534;Central electricity production;Solar photovoltaic;2012;;;;;;
535;Central electricity production;Solar photovoltaic;2013;;;;;;
536;Central electricity production;Solar photovoltaic;2014;;;;;;
537;Central electricity production;Solar photovoltaic;2015;;;;;;
538;Central electricity production;Solar photovoltaic;2016;;;;;;
539;Central electricity production;Solar photovoltaic;2017;;;;;;
540;Central electricity production;Solar photovoltaic;2018;;;;;;
541;Central electricity production;Solar photovoltaic;2019;;;;;;
542;Central electricity production;Solar photovoltaic;2020;;;;;;
543;Central electricity production;Solar photovoltaic;2021;;;;;;
544;Central electricity production;Solar photovoltaic;2022;;;;;;
545;Central electricity production;Solar photovoltaic;2023;;;;;;
546;Central electricity production;Wind energy;1998;;;;;;
547;Central electricity production;Wind energy;1999;;;;;;
548;Central electricity production;Wind energy;2000;;;;;;
549;Central electricity production;Wind energy;2001;;;;;;
550;Central electricity production;Wind energy;2002;;;;;;
551;Central electricity production;Wind energy;2003;;;;;;
552;Central electricity production;Wind energy;2004;;;;;;
553;Central electricity production;Wind energy;2005;;;;;;
554;Central electricity production;Wind energy;2006;;;;;;
555;Central electricity production;Wind energy;2007;;;;;;
556;Central electricity production;Wind energy;2008;;;;;;
557;Central electricity production;Wind energy;2009;;;;;;
558;Central electricity production;Wind energy;2010;;;;;;
559;Central electricity production;Wind energy;2011;;;;;;
560;Central electricity production;Wind energy;2012;;;;;;
561;Central electricity production;Wind energy;2013;;;;;;
562;Central electricity production;Wind energy;2014;;;;;;
563;Central electricity production;Wind energy;2015;;;;;;
564;Central electricity production;Wind energy;2016;;;;;;
565;Central electricity production;Wind energy;2017;;;;;;
566;Central electricity production;Wind energy;2018;;;;;;
567;Central electricity production;Wind energy;2019;;;;;;
568;Central electricity production;Wind energy;2020;;;;;;
569;Central electricity production;Wind energy;2021;;;;;;
570;Central electricity production;Wind energy;2022;;;;;;
571;Central electricity production;Wind energy;2023;;;;;;
572;Central electricity production;Hydro power;1998;;;;;;
573;Central electricity production;Hydro power;1999;;;;;;
574;Central electricity production;Hydro power;2000;;;;;;
575;Central electricity production;Hydro power;2001;;;;;;
576;Central electricity production;Hydro power;2002;;;;;;
577;Central electricity production;Hydro power;2003;;;;;;
578;Central electricity production;Hydro power;2004;;;;;;
579;Central electricity production;Hydro power;2005;;;;;;
580;Central electricity production;Hydro power;2006;;;;;;
581;Central electricity production;Hydro power;2007;;;;;;
582;Central electricity production;Hydro power;2008;;;;;;
583;Central electricity production;Hydro power;2009;;;;;;
584;Central electricity production;Hydro power;2010;;;;;;
585;Central electricity production;Hydro power;2011;;;;;;
586;Central electricity production;Hydro power;2012;;;;;;
587;Central electricity production;Hydro power;2013;;;;;;
588;Central electricity production;Hydro power;2014;;;;;;
589;Central electricity production;Hydro power;2015;;;;;;
590;Central electricity production;Hydro power;2016;;;;;;
591;Central electricity production;Hydro power;2017;;;;;;
592;Central electricity production;Hydro power;2018;;;;;;
593;Central electricity production;Hydro power;2019;;;;;;
594;Central electricity production;Hydro power;2020;;;;;;
595;Central electricity production;Hydro power;2021;;;;;;
596;Central electricity production;Hydro power;2022;;;;;;
597;Central electricity production;Hydro power;2023;;;;;;
598;Central electricity production;Biomass;1998;394.0;100800.0;363.0;0.1;31.0;906.0
599;Central electricity production;Biomass;1999;608.0;164850.0;593.0;0.2;15.0;1403.0
600;Central electricity production;Biomass;2000;763.0;207900.0;748.0;0.2;15.0;1755.0
601;Central electricity production;Biomass;2001;2186.0;591150.0;2128.0;0.6;58.0;5408.0
602;Central electricity production;Biomass;2002;4306.0;1134480.0;4084.0;1.2;222.0;9866.0
603;Central electricity production;Biomass;2003;2942.0;794790.0;2861.0;0.8;81.0;7127.0
604;Central electricity production;Biomass;2004;6116.0;1608610.0;5791.0;1.6;325.0;14123.0
605;Central electricity production;Biomass;2005;13109.0;3448760.0;12416.0;3.4;693.0;30522.0
606;Central electricity production;Biomass;2006;12230.0;3243870.0;11678.0;3.3;552.0;29444.0
607;Central electricity production;Biomass;2007;7357.0;1815690.0;6536.0;1.7;821.0;15702.0
