ID;InstitutionalSectors;AssetsAndLiabilities;FinancialInstruments;StocksAndFlows;Periods;FinancialTransactionsAndBalanceSheet_1
1331;General government;Assets;AF21 Currency;Financial transactions;2023 2nd quarter;0
1332;General government;Assets;AF21 Currency;Financial transactions;2023 3rd quarter;0
1333;General government;Assets;AF21 Currency;Financial transactions;2023 4th quarter;0
1334;General government;Assets;AF21 Currency;Financial transactions;2023;0
1335;General government;Assets;AF21 Currency;Financial transactions;2024 1st quarter;0
1336;General government;Assets;AF21 Currency;Financial transactions;2024 2nd quarter;0
1337;General government;Assets;AF21 Currency;Financial transactions;2024 3rd quarter;0
1338;General government;Assets;AF21 Currency;Financial transactions;2024 4th quarter;0
1339;General government;Assets;AF21 Currency;Financial transactions;2024;0
1340;General government;Assets;AF21 Currency;Other changes;1995;0
1341;General government;Assets;AF21 Currency;Other changes;1996;0
1342;General government;Assets;AF21 Currency;Other changes;1997;0
1343;General government;Assets;AF21 Currency;Other changes;1998;0
1344;General government;Assets;AF21 Currency;Other changes;1999 1st quarter;0
1345;General government;Assets;AF21 Currency;Other changes;1999 2nd quarter;0
1346;General government;Assets;AF21 Currency;Other changes;1999 3rd quarter;0
1347;General government;Assets;AF21 Currency;Other changes;1999 4th quarter;0
1348;General government;Assets;AF21 Currency;Other changes;1999;0
1349;General government;Assets;AF21 Currency;Other changes;2000 1st quarter;0
1350;General government;Assets;AF21 Currency;Other changes;2000 2nd quarter;0
1351;General government;Assets;AF21 Currency;Other changes;2000 3rd quarter;0
1352;General government;Assets;AF21 Currency;Other changes;2000 4th quarter;0
1353;General government;Assets;AF21 Currency;Other changes;2000;0
1354;General government;Assets;AF21 Currency;Other changes;2001 1st quarter;0
1355;General government;Assets;AF21 Currency;Other changes;2001 2nd quarter;0
1356;General government;Assets;AF21 Currency;Other changes;2001 3rd quarter;0
1357;General government;Assets;AF21 Currency;Other changes;2001 4th quarter;0
1358;General government;Assets;AF21 Currency;Other changes;2001;0
1359;General government;Assets;AF21 Currency;Other changes;2002 1st quarter;0
1360;General government;Assets;AF21 Currency;Other changes;2002 2nd quarter;0
1361;General government;Assets;AF21 Currency;Other changes;2002 3rd quarter;0
1362;General government;Assets;AF21 Currency;Other changes;2002 4th quarter;0
1363;General government;Assets;AF21 Currency;Other changes;2002;0
1364;General government;Assets;AF21 Currency;Other changes;2003 1st quarter;0
1365;General government;Assets;AF21 Currency;Other changes;2003 2nd quarter;0
1366;General government;Assets;AF21 Currency;Other changes;2003 3rd quarter;0
1367;General government;Assets;AF21 Currency;Other changes;2003 4th quarter;1
1368;General government;Assets;AF21 Currency;Other changes;2003;1
1369;General government;Assets;AF21 Currency;Other changes;2004 1st quarter;0
1370;General government;Assets;AF21 Currency;Other changes;2004 2nd quarter;0
1371;General government;Assets;AF21 Currency;Other changes;2004 3rd quarter;0
1372;General government;Assets;AF21 Currency;Other changes;2004 4th quarter;0
1373;General government;Assets;AF21 Currency;Other changes;2004;0
1374;General government;Assets;AF21 Currency;Other changes;2005 1st quarter;0
1375;General government;Assets;AF21 Currency;Other changes;2005 2nd quarter;0
1376;General government;Assets;AF21 Currency;Other changes;2005 3rd quarter;0
1377;General government;Assets;AF21 Currency;Other changes;2005 4th quarter;1
1378;General government;Assets;AF21 Currency;Other changes;2005;1
1379;General government;Assets;AF21 Currency;Other changes;2006 1st quarter;0
1380;General government;Assets;AF21 Currency;Other changes;2006 2nd quarter;-1
1381;General government;Assets;AF21 Currency;Other changes;2006 3rd quarter;0
1382;General government;Assets;AF21 Currency;Other changes;2006 4th quarter;-1
1383;General government;Assets;AF21 Currency;Other changes;2006;-2
1384;General government;Assets;AF21 Currency;Other changes;2007 1st quarter;1
1385;General government;Assets;AF21 Currency;Other changes;2007 2nd quarter;0
1386;General government;Assets;AF21 Currency;Other changes;2007 3rd quarter;0
1387;General government;Assets;AF21 Currency;Other changes;2007 4th quarter;0
1388;General government;Assets;AF21 Currency;Other changes;2007;1
1389;General government;Assets;AF21 Currency;Other changes;2008 1st quarter;0
1390;General government;Assets;AF21 Currency;Other changes;2008 2nd quarter;0
1391;General government;Assets;AF21 Currency;Other changes;2008 3rd quarter;0
1392;General government;Assets;AF21 Currency;Other changes;2008 4th quarter;1
1393;General government;Assets;AF21 Currency;Other changes;2008;1
1394;General government;Assets;AF21 Currency;Other changes;2009 1st quarter;0
1395;General government;Assets;AF21 Currency;Other changes;2009 2nd quarter;0
1396;General government;Assets;AF21 Currency;Other changes;2009 3rd quarter;0
1397;General government;Assets;AF21 Currency;Other changes;2009 4th quarter;0
1398;General government;Assets;AF21 Currency;Other changes;2009;0
1399;General government;Assets;AF21 Currency;Other changes;2010 1st quarter;0
1400;General government;Assets;AF21 Currency;Other changes;2010 2nd quarter;0
1401;General government;Assets;AF21 Currency;Other changes;2010 3rd quarter;0
1402;General government;Assets;AF21 Currency;Other changes;2010 4th quarter;0
1403;General government;Assets;AF21 Currency;Other changes;2010;0
1404;General government;Assets;AF21 Currency;Other changes;2011 1st quarter;0
1405;General government;Assets;AF21 Currency;Other changes;2011 2nd quarter;0
1406;General government;Assets;AF21 Currency;Other changes;2011 3rd quarter;0
1407;General government;Assets;AF21 Currency;Other changes;2011 4th quarter;0
1408;General government;Assets;AF21 Currency;Other changes;2011;0
1409;General government;Assets;AF21 Currency;Other changes;2012 1st quarter;0
1410;General government;Assets;AF21 Currency;Other changes;2012 2nd quarter;0
1411;General government;Assets;AF21 Currency;Other changes;2012 3rd quarter;0
1412;General government;Assets;AF21 Currency;Other changes;2012 4th quarter;0
1413;General government;Assets;AF21 Currency;Other changes;2012;0
1414;General government;Assets;AF21 Currency;Other changes;2013 1st quarter;0
1415;General government;Assets;AF21 Currency;Other changes;2013 2nd quarter;0
1416;General government;Assets;AF21 Currency;Other changes;2013 3rd quarter;0
1417;General government;Assets;AF21 Currency;Other changes;2013 4th quarter;0
1418;General government;Assets;AF21 Currency;Other changes;2013;0
1419;General government;Assets;AF21 Currency;Other changes;2014 1st quarter;-3
1420;General government;Assets;AF21 Currency;Other changes;2014 2nd quarter;0
1421;General government;Assets;AF21 Currency;Other changes;2014 3rd quarter;0
1422;General government;Assets;AF21 Currency;Other changes;2014 4th quarter;0
1423;General government;Assets;AF21 Currency;Other changes;2014;-3
1424;General government;Assets;AF21 Currency;Other changes;2015 1st quarter;-2
1425;General government;Assets;AF21 Currency;Other changes;2015 2nd quarter;0
1426;General government;Assets;AF21 Currency;Other changes;2015 3rd quarter;0
1427;General government;Assets;AF21 Currency;Other changes;2015 4th quarter;0
1428;General government;Assets;AF21 Currency;Other changes;2015;-2
1429;General government;Assets;AF21 Currency;Other changes;2016 1st quarter;0
1430;General government;Assets;AF21 Currency;Other changes;2016 2nd quarter;0
1431;General government;Assets;AF21 Currency;Other changes;2016 3rd quarter;0
1432;General government;Assets;AF21 Currency;Other changes;2016 4th quarter;0
1433;General government;Assets;AF21 Currency;Other changes;2016;0
1434;General government;Assets;AF21 Currency;Other changes;2017 1st quarter;0
1435;General government;Assets;AF21 Currency;Other changes;2017 2nd quarter;0
1436;General government;Assets;AF21 Currency;Other changes;2017 3rd quarter;0
1437;General government;Assets;AF21 Currency;Other changes;2017 4th quarter;0
1438;General government;Assets;AF21 Currency;Other changes;2017;0
1439;General government;Assets;AF21 Currency;Other changes;2018 1st quarter;0
1440;General government;Assets;AF21 Currency;Other changes;2018 2nd quarter;0
1441;General government;Assets;AF21 Currency;Other changes;2018 3rd quarter;0
1442;General government;Assets;AF21 Currency;Other changes;2018 4th quarter;0
1443;General government;Assets;AF21 Currency;Other changes;2018;0
1444;General government;Assets;AF21 Currency;Other changes;2019 1st quarter;0
1445;General government;Assets;AF21 Currency;Other changes;2019 2nd quarter;0
1446;General government;Assets;AF21 Currency;Other changes;2019 3rd quarter;0
1447;General government;Assets;AF21 Currency;Other changes;2019 4th quarter;0
1448;General government;Assets;AF21 Currency;Other changes;2019;0
1449;General government;Assets;AF21 Currency;Other changes;2020 1st quarter;0
1450;General government;Assets;AF21 Currency;Other changes;2020 2nd quarter;0
1451;General government;Assets;AF21 Currency;Other changes;2020 3rd quarter;0
1452;General government;Assets;AF21 Currency;Other changes;2020 4th quarter;0
1453;General government;Assets;AF21 Currency;Other changes;2020;0
1454;General government;Assets;AF21 Currency;Other changes;2021 1st quarter;0
1455;General government;Assets;AF21 Currency;Other changes;2021 2nd quarter;0
1456;General government;Assets;AF21 Currency;Other changes;2021 3rd quarter;0
1457;General government;Assets;AF21 Currency;Other changes;2021 4th quarter;0
1458;General government;Assets;AF21 Currency;Other changes;2021;0
1459;General government;Assets;AF21 Currency;Other changes;2022 1st quarter;0
1460;General government;Assets;AF21 Currency;Other changes;2022 2nd quarter;0
1461;General government;Assets;AF21 Currency;Other changes;2022 3rd quarter;0
1462;General government;Assets;AF21 Currency;Other changes;2022 4th quarter;0
1463;General government;Assets;AF21 Currency;Other changes;2022;0
1464;General government;Assets;AF21 Currency;Other changes;2023 1st quarter;0
1465;General government;Assets;AF21 Currency;Other changes;2023 2nd quarter;0
1466;General government;Assets;AF21 Currency;Other changes;2023 3rd quarter;0
1467;General government;Assets;AF21 Currency;Other changes;2023 4th quarter;0
1468;General government;Assets;AF21 Currency;Other changes;2023;0
1469;General government;Assets;AF21 Currency;Other changes;2024 1st quarter;0
1470;General government;Assets;AF21 Currency;Other changes;2024 2nd quarter;0
1471;General government;Assets;AF21 Currency;Other changes;2024 3rd quarter;0
1472;General government;Assets;AF21 Currency;Other changes;2024 4th quarter;0
1473;General government;Assets;AF21 Currency;Other changes;2024;0
1474;General government;Assets;AF21 Currency;Closing balance sheet;1995;52
1475;General government;Assets;AF21 Currency;Closing balance sheet;1996;49
1476;General government;Assets;AF21 Currency;Closing balance sheet;1997;54
1477;General government;Assets;AF21 Currency;Closing balance sheet;1998;49
1478;General government;Assets;AF21 Currency;Closing balance sheet;1999 1st quarter;49
1479;General government;Assets;AF21 Currency;Closing balance sheet;1999 2nd quarter;49
1480;General government;Assets;AF21 Currency;Closing balance sheet;1999 3rd quarter;49
1481;General government;Assets;AF21 Currency;Closing balance sheet;1999 4th quarter;49
1482;General government;Assets;AF21 Currency;Closing balance sheet;1999;49
1483;General government;Assets;AF21 Currency;Closing balance sheet;2000 1st quarter;49
1484;General government;Assets;AF21 Currency;Closing balance sheet;2000 2nd quarter;49
1485;General government;Assets;AF21 Currency;Closing balance sheet;2000 3rd quarter;49
1486;General government;Assets;AF21 Currency;Closing balance sheet;2000 4th quarter;49
1487;General government;Assets;AF21 Currency;Closing balance sheet;2000;49
1488;General government;Assets;AF21 Currency;Closing balance sheet;2001 1st quarter;49
1489;General government;Assets;AF21 Currency;Closing balance sheet;2001 2nd quarter;48
1490;General government;Assets;AF21 Currency;Closing balance sheet;2001 3rd quarter;47
1491;General government;Assets;AF21 Currency;Closing balance sheet;2001 4th quarter;48
1492;General government;Assets;AF21 Currency;Closing balance sheet;2001;48
1493;General government;Assets;AF21 Currency;Closing balance sheet;2002 1st quarter;43
1494;General government;Assets;AF21 Currency;Closing balance sheet;2002 2nd quarter;43
1495;General government;Assets;AF21 Currency;Closing balance sheet;2002 3rd quarter;43
1496;General government;Assets;AF21 Currency;Closing balance sheet;2002 4th quarter;44
1497;General government;Assets;AF21 Currency;Closing balance sheet;2002;44
1498;General government;Assets;AF21 Currency;Closing balance sheet;2003 1st quarter;45
1499;General government;Assets;AF21 Currency;Closing balance sheet;2003 2nd quarter;46
1500;General government;Assets;AF21 Currency;Closing balance sheet;2003 3rd quarter;49
1501;General government;Assets;AF21 Currency;Closing balance sheet;2003 4th quarter;54
1502;General government;Assets;AF21 Currency;Closing balance sheet;2003;54
1503;General government;Assets;AF21 Currency;Closing balance sheet;2004 1st quarter;53
1504;General government;Assets;AF21 Currency;Closing balance sheet;2004 2nd quarter;51
1505;General government;Assets;AF21 Currency;Closing balance sheet;2004 3rd quarter;49
1506;General government;Assets;AF21 Currency;Closing balance sheet;2004 4th quarter;46
1507;General government;Assets;AF21 Currency;Closing balance sheet;2004;46
1508;General government;Assets;AF21 Currency;Closing balance sheet;2005 1st quarter;48
1509;General government;Assets;AF21 Currency;Closing balance sheet;2005 2nd quarter;49
1510;General government;Assets;AF21 Currency;Closing balance sheet;2005 3rd quarter;49
1511;General government;Assets;AF21 Currency;Closing balance sheet;2005 4th quarter;49
1512;General government;Assets;AF21 Currency;Closing balance sheet;2005;49
1513;General government;Assets;AF21 Currency;Closing balance sheet;2006 1st quarter;50
1514;General government;Assets;AF21 Currency;Closing balance sheet;2006 2nd quarter;51
1515;General government;Assets;AF21 Currency;Closing balance sheet;2006 3rd quarter;52
1516;General government;Assets;AF21 Currency;Closing balance sheet;2006 4th quarter;53
1517;General government;Assets;AF21 Currency;Closing balance sheet;2006;53
1518;General government;Assets;AF21 Currency;Closing balance sheet;2007 1st quarter;56
1519;General government;Assets;AF21 Currency;Closing balance sheet;2007 2nd quarter;57
1520;General government;Assets;AF21 Currency;Closing balance sheet;2007 3rd quarter;58
1521;General government;Assets;AF21 Currency;Closing balance sheet;2007 4th quarter;59
1522;General government;Assets;AF21 Currency;Closing balance sheet;2007;59
1523;General government;Assets;AF21 Currency;Closing balance sheet;2008 1st quarter;58
1524;General government;Assets;AF21 Currency;Closing balance sheet;2008 2nd quarter;58
1525;General government;Assets;AF21 Currency;Closing balance sheet;2008 3rd quarter;59
1526;General government;Assets;AF21 Currency;Closing balance sheet;2008 4th quarter;60
1527;General government;Assets;AF21 Currency;Closing balance sheet;2008;60
1528;General government;Assets;AF21 Currency;Closing balance sheet;2009 1st quarter;53
1529;General government;Assets;AF21 Currency;Closing balance sheet;2009 2nd quarter;46
1530;General government;Assets;AF21 Currency;Closing balance sheet;2009 3rd quarter;39
1531;General government;Assets;AF21 Currency;Closing balance sheet;2009 4th quarter;32
1532;General government;Assets;AF21 Currency;Closing balance sheet;2009;32
1533;General government;Assets;AF21 Currency;Closing balance sheet;2010 1st quarter;32
1534;General government;Assets;AF21 Currency;Closing balance sheet;2010 2nd quarter;32
1535;General government;Assets;AF21 Currency;Closing balance sheet;2010 3rd quarter;32
1536;General government;Assets;AF21 Currency;Closing balance sheet;2010 4th quarter;26
1537;General government;Assets;AF21 Currency;Closing balance sheet;2010;26
1538;General government;Assets;AF21 Currency;Closing balance sheet;2011 1st quarter;29
1539;General government;Assets;AF21 Currency;Closing balance sheet;2011 2nd quarter;33
1540;General government;Assets;AF21 Currency;Closing balance sheet;2011 3rd quarter;36
1541;General government;Assets;AF21 Currency;Closing balance sheet;2011 4th quarter;37
1542;General government;Assets;AF21 Currency;Closing balance sheet;2011;37
1543;General government;Assets;AF21 Currency;Closing balance sheet;2012 1st quarter;39
1544;General government;Assets;AF21 Currency;Closing balance sheet;2012 2nd quarter;39
1545;General government;Assets;AF21 Currency;Closing balance sheet;2012 3rd quarter;39
1546;General government;Assets;AF21 Currency;Closing balance sheet;2012 4th quarter;40
1547;General government;Assets;AF21 Currency;Closing balance sheet;2012;40
1548;General government;Assets;AF21 Currency;Closing balance sheet;2013 1st quarter;41
1549;General government;Assets;AF21 Currency;Closing balance sheet;2013 2nd quarter;42
1550;General government;Assets;AF21 Currency;Closing balance sheet;2013 3rd quarter;42
1551;General government;Assets;AF21 Currency;Closing balance sheet;2013 4th quarter;44
1552;General government;Assets;AF21 Currency;Closing balance sheet;2013;44
1553;General government;Assets;AF21 Currency;Closing balance sheet;2014 1st quarter;35
1554;General government;Assets;AF21 Currency;Closing balance sheet;2014 2nd quarter;37
1555;General government;Assets;AF21 Currency;Closing balance sheet;2014 3rd quarter;33
1556;General government;Assets;AF21 Currency;Closing balance sheet;2014 4th quarter;29
1557;General government;Assets;AF21 Currency;Closing balance sheet;2014;29
1558;General government;Assets;AF21 Currency;Closing balance sheet;2015 1st quarter;25
1559;General government;Assets;AF21 Currency;Closing balance sheet;2015 2nd quarter;25
1560;General government;Assets;AF21 Currency;Closing balance sheet;2015 3rd quarter;24
1561;General government;Assets;AF21 Currency;Closing balance sheet;2015 4th quarter;23
1562;General government;Assets;AF21 Currency;Closing balance sheet;2015;23
1563;General government;Assets;AF21 Currency;Closing balance sheet;2016 1st quarter;23
1564;General government;Assets;AF21 Currency;Closing balance sheet;2016 2nd quarter;23
1565;General government;Assets;AF21 Currency;Closing balance sheet;2016 3rd quarter;23
1566;General government;Assets;AF21 Currency;Closing balance sheet;2016 4th quarter;21
1567;General government;Assets;AF21 Currency;Closing balance sheet;2016;21
1568;General government;Assets;AF21 Currency;Closing balance sheet;2017 1st quarter;20
1569;General government;Assets;AF21 Currency;Closing balance sheet;2017 2nd quarter;19
1570;General government;Assets;AF21 Currency;Closing balance sheet;2017 3rd quarter;17
1571;General government;Assets;AF21 Currency;Closing balance sheet;2017 4th quarter;17
1572;General government;Assets;AF21 Currency;Closing balance sheet;2017;17
1573;General government;Assets;AF21 Currency;Closing balance sheet;2018 1st quarter;17
1574;General government;Assets;AF21 Currency;Closing balance sheet;2018 2nd quarter;18
1575;General government;Assets;AF21 Currency;Closing balance sheet;2018 3rd quarter;17
1576;General government;Assets;AF21 Currency;Closing balance sheet;2018 4th quarter;14
1577;General government;Assets;AF21 Currency;Closing balance sheet;2018;14
1578;General government;Assets;AF21 Currency;Closing balance sheet;2019 1st quarter;14
1579;General government;Assets;AF21 Currency;Closing balance sheet;2019 2nd quarter;14
1580;General government;Assets;AF21 Currency;Closing balance sheet;2019 3rd quarter;14
1581;General government;Assets;AF21 Currency;Closing balance sheet;2019 4th quarter;14
1582;General government;Assets;AF21 Currency;Closing balance sheet;2019;14
1583;General government;Assets;AF21 Currency;Closing balance sheet;2020 1st quarter;13
1584;General government;Assets;AF21 Currency;Closing balance sheet;2020 2nd quarter;13
1585;General government;Assets;AF21 Currency;Closing balance sheet;2020 3rd quarter;12
1586;General government;Assets;AF21 Currency;Closing balance sheet;2020 4th quarter;11
1587;General government;Assets;AF21 Currency;Closing balance sheet;2020;11
1588;General government;Assets;AF21 Currency;Closing balance sheet;2021 1st quarter;12
1589;General government;Assets;AF21 Currency;Closing balance sheet;2021 2nd quarter;12
1590;General government;Assets;AF21 Currency;Closing balance sheet;2021 3rd quarter;13
1591;General government;Assets;AF21 Currency;Closing balance sheet;2021 4th quarter;13
1592;General government;Assets;AF21 Currency;Closing balance sheet;2021;13
1593;General government;Assets;AF21 Currency;Closing balance sheet;2022 1st quarter;13
1594;General government;Assets;AF21 Currency;Closing balance sheet;2022 2nd quarter;25
1595;General government;Assets;AF21 Currency;Closing balance sheet;2022 3rd quarter;24
1596;General government;Assets;AF21 Currency;Closing balance sheet;2022 4th quarter;10
1597;General government;Assets;AF21 Currency;Closing balance sheet;2022;10
1598;General government;Assets;AF21 Currency;Closing balance sheet;2023 1st quarter;10
1599;General government;Assets;AF21 Currency;Closing balance sheet;2023 2nd quarter;10
1600;General government;Assets;AF21 Currency;Closing balance sheet;2023 3rd quarter;10
1601;General government;Assets;AF21 Currency;Closing balance sheet;2023 4th quarter;10
1602;General government;Assets;AF21 Currency;Closing balance sheet;2023;10
1603;General government;Assets;AF21 Currency;Closing balance sheet;2024 1st quarter;10
1604;General government;Assets;AF21 Currency;Closing balance sheet;2024 2nd quarter;10
1605;General government;Assets;AF21 Currency;Closing balance sheet;2024 3rd quarter;10
1606;General government;Assets;AF21 Currency;Closing balance sheet;2024 4th quarter;10
1607;General government;Assets;AF21 Currency;Closing balance sheet;2024;10
1608;General government;Assets;AF22 Transferable deposits;Opening balance sheet;1995;12370
1609;General government;Assets;AF22 Transferable deposits;Opening balance sheet;1996;15215
1610;General government;Assets;AF22 Transferable deposits;Opening balance sheet;1997;15247
1611;General government;Assets;AF22 Transferable deposits;Opening balance sheet;1998;8824
1612;General government;Assets;AF22 Transferable deposits;Opening balance sheet;1999 1st quarter;11397
1613;General government;Assets;AF22 Transferable deposits;Opening balance sheet;1999 2nd quarter;8212
1614;General government;Assets;AF22 Transferable deposits;Opening balance sheet;1999 3rd quarter;8598
1615;General government;Assets;AF22 Transferable deposits;Opening balance sheet;1999 4th quarter;8692
1616;General government;Assets;AF22 Transferable deposits;Opening balance sheet;1999;11397
1617;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2000 1st quarter;8981
1618;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2000 2nd quarter;9016
1619;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2000 3rd quarter;9281
1620;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2000 4th quarter;9161
1621;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2000;8981
1622;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2001 1st quarter;9182
1623;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2001 2nd quarter;8941
1624;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2001 3rd quarter;11583
1625;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2001 4th quarter;12318
1626;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2001;9182
1627;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2002 1st quarter;8016
1628;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2002 2nd quarter;8335
1629;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2002 3rd quarter;11428
1630;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2002 4th quarter;8855
1631;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2002;8016
1632;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2003 1st quarter;7635
1633;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2003 2nd quarter;8162
1634;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2003 3rd quarter;8626
1635;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2003 4th quarter;9615
1636;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2003;7635
1637;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2004 1st quarter;8616
1638;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2004 2nd quarter;9455
1639;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2004 3rd quarter;8828
1640;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2004 4th quarter;11150
1641;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2004;8616
1642;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2005 1st quarter;8022
1643;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2005 2nd quarter;8016
1644;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2005 3rd quarter;9216
1645;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2005 4th quarter;8484
1646;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2005;8022
1647;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2006 1st quarter;8155
1648;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2006 2nd quarter;7064
1649;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2006 3rd quarter;8541
1650;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2006 4th quarter;8306
1651;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2006;8155
1652;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2007 1st quarter;8354
1653;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2007 2nd quarter;8977
1654;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2007 3rd quarter;10815
1655;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2007 4th quarter;10020
1656;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2007;8354
1657;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2008 1st quarter;9155
1658;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2008 2nd quarter;8369
1659;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2008 3rd quarter;10880
1660;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2008 4th quarter;16720
1661;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2008;9155
1662;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2009 1st quarter;8734
1663;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2009 2nd quarter;8833
1664;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2009 3rd quarter;9557
1665;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2009 4th quarter;21718
1666;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2009;8734
1667;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2010 1st quarter;12490
1668;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2010 2nd quarter;10845
1669;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2010 3rd quarter;13567
1670;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2010 4th quarter;12463
1671;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2010;12490
1672;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2011 1st quarter;12029
1673;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2011 2nd quarter;11910
1674;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2011 3rd quarter;12390
1675;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2011 4th quarter;12542
1676;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2011;12029
1677;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2012 1st quarter;12052
1678;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2012 2nd quarter;12322
1679;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2012 3rd quarter;13668
1680;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2012 4th quarter;13624
1681;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2012;12052
1682;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2013 1st quarter;12601
1683;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2013 2nd quarter;12508
1684;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2013 3rd quarter;14471
1685;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2013 4th quarter;13416
1686;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2013;12601
1687;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2014 1st quarter;10228
1688;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2014 2nd quarter;8933
1689;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2014 3rd quarter;8804
1690;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2014 4th quarter;8433
1691;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2014;10228
1692;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2015 1st quarter;8788
1693;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2015 2nd quarter;8609
1694;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2015 3rd quarter;8019
1695;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2015 4th quarter;8439
1696;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2015;8788
1697;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2016 1st quarter;8679
1698;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2016 2nd quarter;8364
1699;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2016 3rd quarter;10187
1700;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2016 4th quarter;7992
1701;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2016;8679
1702;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2017 1st quarter;8997
1703;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2017 2nd quarter;11985
1704;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2017 3rd quarter;14862
1705;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2017 4th quarter;10955
1706;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2017;8997
1707;General government;Assets;AF22 Transferable deposits;Opening balance sheet;2018 1st quarter;11070
