ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;StatisticalDifferences_8;TotalEnergyConsumption_9;TotalEnergyTransformationInput_10;ElectricityAndCHPTransformationInput_11;OtherTransformationInput_12;TotalEnergyTransformationOutput_13;ElectricityCHPTransformationOutput_14;OtherTransformationOutput_15;TotalNetEnergyTransformation_16;NetElectricityCHPTransformation_17;NetOtherTransformation_18;Total_19;ProductionOfHeatAndPower_20;ExtractionOfCrudePetroleumAndGas_21;CokeOvenPlants_22;BlastFurnaces_23;OilRefineryInstallations_24;OtherInstallations_25;DistributionLosses_26;TotalFinalConsumption_27;Total_28;Total_29;IronAndSteel_30;ChemicalAndPetrochemical_31;NonFerrousMetals_32;NonMetallicMinerals_33;TransportEquipment_34;Machinery_35;MiningAndQuarrying_36;FoodAndTobacco_37;PaperPulpAndPrinting_38;WoodAndWoodProducts_39;Construction_40;TextileAndLeather_41;OtherIndustryAndNonSpecified_42;Total_43;DomesticAviation_44;RoadTransport_45;RailTransport_46;PipelineTransport_47;DomesticNavigation_48;NonSpecified_49;Total_50;ServicesWasteWaterAndRepair_51;Dwellings_52;Agriculture_53;Fishing_54;NonSpecified_55;Total_56;IndustryExcludingTheEnergySector_57;OfWhichChemicalAndPetrochemical_58;Transport_59;OtherSectors_60
1999;Lpg;1970;-15.4;;4.0;18.9;-14.9;;-0.5;0.2;-15.6;;;;31.8;;31.8;-31.8;;-31.8;;;;;;;;;16.2;12.6;2.3;0.6;;;0.1;;;;;;;;;1.6;2.7;;2.7;;;;;7.6;0.9;6.3;0.4;;;3.6;3.6;3.6;;
2000;Lpg;1971;-19.3;;3.5;22.5;-19.0;;-0.2;;-19.3;;;;35.5;;35.5;-35.5;;-35.5;;;;;;;;;16.2;12.8;2.6;0.5;;;0.1;;;;;;;;;2.0;2.8;;2.8;;;;;7.4;0.9;5.6;0.8;;;3.5;3.5;3.5;;
2001;Lpg;1972;-19.1;;2.8;22.1;-19.3;;0.3;0.0;-19.1;;;;38.8;;38.8;-38.8;;-38.8;;;;;;;;;19.7;13.6;2.7;0.5;;;0.1;;;;;;;;;2.0;3.8;;3.8;;;;;7.1;0.7;5.6;0.8;;;6.1;6.1;6.1;;
2002;Lpg;1973;-22.2;;2.6;24.5;-21.9;;-0.2;0.0;-22.2;;;;43.7;;43.7;-43.7;;-43.7;;;;;;;;;21.5;15.2;2.8;0.4;;;0.2;;;;;;;;;2.2;4.7;;4.7;;;;;7.7;1.0;5.1;1.6;;;6.3;6.3;6.3;;
2003;Lpg;1974;-15.4;;1.8;16.9;-15.1;;-0.3;;-15.4;;;;37.3;;37.3;-37.3;;-37.3;;;;;;;;;21.9;16.1;2.4;0.3;;;0.0;;;;;;;;;2.1;7.4;;7.4;;;;;6.3;0.9;3.8;1.7;;;5.7;5.7;5.7;;
2004;Lpg;1975;-17.5;;2.4;20.1;-17.7;;0.2;0.0;-17.5;;;;42.0;;42.0;-42.0;;-42.0;1.4;;;;;1.4;;;23.1;18.4;2.0;0.3;;;0.0;;;;;;;;;1.7;9.2;;9.2;;;;;7.2;1.3;4.3;1.6;;;4.7;4.7;4.7;;
2005;Lpg;1976;-14.9;;5.0;20.1;-15.1;;0.2;0.0;-14.9;;;;48.3;;48.3;-48.3;;-48.3;0.7;;;;;0.7;;;32.7;24.1;2.3;0.3;;;0.2;;;;;;;;;1.8;11.9;;11.9;;;;;9.9;4.1;4.2;1.6;;;8.6;8.6;8.6;;
2006;Lpg;1977;-8.3;;7.8;16.3;-8.5;;0.1;0.0;-8.3;;;;46.4;;46.4;-46.4;;-46.4;0.3;;;;;0.3;;;37.8;27.1;2.5;0.2;;;0.1;;;;;;;;;2.1;14.6;;14.6;;;;;10.0;4.1;4.4;1.5;;;10.7;10.7;10.7;;
2007;Lpg;1978;-0.3;;13.4;13.7;-0.3;;0.0;0.2;-0.5;4.4;;4.4;55.6;;55.6;-51.2;;-51.2;0.6;;;;;0.6;;;50.1;37.7;4.8;0.5;;;0.6;;;;;;;;;3.7;16.0;;16.0;;;;;16.9;2.5;11.0;3.4;;;12.2;12.2;12.2;;
2008;Lpg;1979;5.9;;30.1;23.5;6.6;;-0.8;-0.3;6.2;19.5;;19.5;83.4;;83.4;-63.9;;-63.9;0.7;;;;;0.7;;;69.4;34.4;2.6;0.3;;;0.4;;;;;;;;;2.0;21.1;;21.1;;;;;10.7;4.3;5.4;0.9;;;35.1;35.1;35.1;;
2009;Lpg;1980;20.2;;45.0;24.6;20.4;;-0.1;0.3;19.9;20.6;;20.6;73.8;;73.8;-53.2;;-53.2;0.3;;;;;0.3;;;72.8;41.2;3.3;0.5;;;0.6;;;;;;;;;2.2;31.5;;31.5;;;;;6.4;2.5;2.9;0.9;;;31.5;31.5;31.5;;
2010;Lpg;1981;55.2;;93.1;38.2;54.9;;0.3;0.3;54.9;47.0;;47.0;66.9;;66.9;-19.9;;-19.9;0.6;;;;;0.6;;;74.2;50.9;0.9;0.7;;;;;;;0.1;0.0;;;;;36.6;;36.6;;;;;13.4;2.2;9.9;1.3;;;23.4;23.4;23.4;;
2011;Lpg;1982;35.6;;73.9;37.9;36.0;;-0.5;;35.6;38.6;;38.6;89.1;;89.1;-50.5;;-50.5;0.3;;;;;0.3;;;85.8;52.9;0.9;0.8;;;;;;;0.1;0.0;;0.0;;;41.1;;41.1;;;;;10.9;0.4;8.7;1.8;;;32.9;32.9;32.9;;
2012;Lpg;1983;23.0;;60.1;33.7;26.4;;-3.4;0.1;22.9;31.3;;31.3;96.9;;96.9;-65.6;;-65.6;0.1;;;;;0.1;;;88.4;59.8;1.2;0.9;;;;;;;0.1;0.1;;0.0;;0.0;40.4;;40.4;;;;;18.2;2.1;14.4;1.7;;;28.7;28.7;28.7;;
2013;Lpg;1984;62.2;;103.5;41.9;61.6;;0.6;-0.3;62.5;68.0;;68.0;115.0;;115.0;-47.0;;-47.0;0.1;;;;;0.1;;;109.4;69.6;1.0;;;;;0.2;0.4;;0.3;0.1;;;;0.0;39.4;;39.4;;;;;29.2;23.1;4.7;1.3;;;39.9;39.9;39.9;;
2014;Lpg;1985;67.9;;113.1;45.4;67.7;;0.2;0.0;67.9;46.7;;46.7;87.9;;87.9;-41.2;;-41.2;0.1;;;;;0.1;;;109.0;66.3;1.2;0.0;;;0.1;0.1;0.4;;0.3;0.1;;0.0;;0.1;36.3;;36.3;;;;;28.8;25.3;2.4;1.1;;;42.7;42.7;42.7;;
2015;Lpg;1986;59.3;;107.3;47.5;59.8;;-0.5;0.1;59.2;55.0;;55.0;98.3;;98.3;-43.3;;-43.3;0.7;;;;;0.7;;;101.8;56.0;0.6;0.0;;;0.0;0.0;0.1;;0.1;0.1;;0.0;;0.1;38.0;;38.0;;;;;17.4;13.9;2.4;1.2;;;45.7;45.7;45.7;;
2016;Lpg;1987;60.4;;109.1;48.5;60.6;;-0.3;0.1;60.3;51.5;;51.5;107.0;;107.0;-55.5;;-55.5;1.1;;;;;1.1;;;114.7;46.6;0.5;0.0;;;0.0;0.0;0.2;;0.1;0.1;;;;;37.0;;37.0;;;;;9.1;5.6;2.3;1.2;;;68.0;68.0;68.0;;
2017;Lpg;1988;55.8;;87.0;32.7;54.3;;1.6;0.0;55.8;45.9;;45.9;103.0;;103.0;-57.1;;-57.1;1.4;;;;;1.4;;;111.5;48.1;0.5;0.0;0.1;;0.0;;0.2;;0.0;0.0;;;;;38.4;;38.4;;;;;9.2;6.0;2.1;1.1;;;63.5;63.5;63.5;;
2018;Lpg;1989;54.1;;96.5;42.2;54.3;;-0.2;;54.1;60.8;;60.8;116.4;;116.4;-55.6;;-55.6;1.2;;;;;1.2;;;108.5;46.9;0.9;0.0;0.4;;0.0;;0.2;;0.1;0.1;;;;0.0;41.9;;41.9;;;;;4.1;0.8;2.2;1.1;;;61.6;61.6;61.6;;
2019;Lpg;1990;56.0;;130.3;74.7;55.6;;0.4;0.0;56.0;23.3;;23.3;49.5;;49.5;-26.2;;-26.2;0.6;;;;;0.6;;;81.6;49.9;1.8;0.0;0.5;0.0;0.0;0.0;1.0;;0.1;0.1;;;0.0;0.0;41.1;;41.1;;;;;7.0;1.6;2.1;3.4;;;31.6;31.6;31.6;;
2020;Lpg;1991;35.4;;121.9;83.7;38.2;;-2.8;0.0;35.4;14.9;;14.9;49.7;;49.7;-34.7;;-34.7;0.4;;;;;0.4;;;69.8;48.5;1.0;0.0;0.3;0.0;0.0;;0.3;;0.2;0.1;;;0.0;;40.2;;40.2;;;;;7.3;1.6;2.0;3.7;;;21.3;21.3;21.3;;
2021;Lpg;1992;43.2;;106.4;66.8;39.7;;3.5;0.0;43.2;17.1;;17.1;49.7;;49.7;-32.6;;-32.6;0.1;;;;;0.1;;;75.6;47.3;1.1;0.0;0.2;0.0;0.1;;0.4;;0.2;0.1;;;0.0;0.0;39.4;;39.4;;;;;6.8;1.6;1.9;3.4;;;28.3;28.3;28.3;;
2022;Lpg;1993;35.2;;136.2;100.8;35.3;;-0.2;0.0;35.2;15.9;;15.9;54.7;;54.7;-38.8;;-38.8;0.1;;;;;0.1;;;73.9;46.7;1.1;0.1;0.2;0.0;0.1;0.1;0.2;0.0;0.3;0.0;;;0.0;0.0;38.2;;38.2;;;;;7.5;2.1;2.0;3.4;;;27.2;27.2;27.2;;
2023;Lpg;1994;25.2;;113.8;88.0;25.8;;-0.7;0.0;25.2;14.0;;14.0;56.4;;56.4;-42.5;;-42.5;0.1;;;;;0.1;;;67.5;44.5;1.4;0.0;0.6;0.0;0.0;0.1;0.3;;0.2;0.0;;;;;36.1;;36.1;;;;;7.0;2.1;1.5;3.5;;;23.0;23.0;23.0;;
2024;Lpg;1995;18.4;;70.7;51.7;19.0;;-0.6;0.0;18.4;13.3;;13.3;59.2;;59.2;-46.0;;-46.0;0.1;;;;;0.1;;;64.4;42.2;0.9;0.0;0.4;0.0;0.0;0.1;0.2;0.0;0.1;0.0;;;0.0;0.0;35.9;;35.9;;;;;5.4;1.1;1.0;3.3;;;22.1;22.1;22.1;;
2025;Lpg;1996;21.1;;68.8;46.5;22.3;;-1.2;0.0;21.1;13.3;;13.3;57.7;;57.7;-44.4;;-44.4;0.1;;;;;0.1;;;65.3;43.2;0.9;0.0;0.3;0.0;0.1;0.1;0.2;0.0;0.1;0.0;0.0;;0.0;0.0;35.5;;35.5;;;;;6.8;2.2;1.4;3.3;;;22.2;22.2;22.2;;
2026;Lpg;1997;26.2;;81.8;55.6;26.2;;0.0;0.0;26.2;17.1;;17.1;58.1;;58.1;-41.0;;-41.0;0.1;;;;;0.1;;;67.1;40.1;0.7;0.0;0.2;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;;0.0;0.0;33.9;;33.9;;;;;5.5;2.5;1.0;2.0;;;27.1;27.1;27.1;;
2027;Lpg;1998;32.7;;67.3;34.6;32.7;;0.0;0.0;32.7;16.6;;16.6;52.4;;52.4;-35.7;;-35.7;0.5;;;;;0.5;;;67.8;38.4;0.5;0.1;0.1;0.0;0.1;0.1;0.1;0.0;0.1;0.0;0.0;;0.0;0.0;32.6;;32.6;;;;;5.3;2.2;1.1;2.1;;;29.4;29.4;29.4;;
2028;Lpg;1999;23.0;;56.8;32.2;24.6;;-1.7;0.0;23.0;12.8;;12.8;50.9;;50.9;-38.2;;-38.2;0.1;;;;;0.1;;;61.1;33.8;0.6;0.1;0.0;0.0;0.1;0.1;0.1;0.0;0.2;0.0;0.0;;0.0;0.0;29.0;;29.0;;;;;4.2;1.5;1.1;1.7;;;27.3;27.3;27.3;;
2029;Lpg;2000;17.3;;49.1;32.8;16.3;;1.0;0.0;17.3;12.9;;12.9;52.8;;52.8;-39.9;;-39.9;0.2;;;;;0.2;;;57.1;30.0;0.4;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;;;0.0;25.2;;25.2;;;;;4.3;1.4;1.0;1.9;;;27.1;27.1;27.1;;
2030;Lpg;2001;20.9;;55.4;34.7;20.6;;0.3;0.0;20.9;13.7;;13.7;48.8;;48.8;-35.1;;-35.1;0.1;;;;;0.1;;;55.9;28.5;0.3;0.0;0.0;0.0;0.0;0.1;0.0;0.0;;0.0;0.0;;;0.1;23.4;;23.4;;;;;4.8;1.7;1.0;2.0;;;27.4;27.4;27.3;;
2031;Lpg;2002;23.5;;54.8;32.0;22.8;;0.7;5.8;17.6;14.9;;14.9;44.7;;44.7;-29.8;;-29.8;0.0;;;;;0.0;;;47.4;27.6;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.1;22.6;;22.6;;;;;4.7;1.8;1.0;1.9;;;19.8;19.8;19.8;;
2032;Lpg;2003;12.1;;43.7;32.7;11.0;;1.1;0.0;12.1;11.1;;11.1;47.9;;47.9;-36.7;;-36.7;0.1;;;;;0.1;;;48.8;24.4;0.3;0.0;0.0;0.0;0.0;0.0;0.1;0.0;;0.0;0.0;;;0.1;19.8;;19.8;;;;;4.3;1.7;1.0;1.7;;;24.4;24.4;24.4;;
2033;Lpg;2004;19.5;;67.6;47.2;20.4;;-1.0;0.0;19.5;19.6;;19.6;62.6;;62.6;-43.1;;-43.1;0.3;;;;;0.3;;;62.3;24.7;0.3;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;;;;0.1;19.7;;19.7;;;;;4.7;1.9;1.0;1.8;;;37.6;37.6;37.6;;
2034;Lpg;2005;31.4;;71.4;41.6;29.8;;1.6;0.0;31.4;24.1;;24.1;60.8;;60.8;-36.7;;-36.7;0.1;;;;;0.1;;;68.0;23.5;0.3;0.0;0.0;0.0;0.1;0.1;0.1;0.0;;0.0;;;;0.0;18.8;;18.8;;;;;4.4;1.8;1.0;1.7;;;44.5;44.5;44.5;;
2035;Lpg;2006;36.4;;80.4;44.3;36.1;;0.3;0.0;36.4;23.0;;23.0;61.4;;61.4;-38.3;;-38.3;0.0;;;;;0.0;;;74.7;23.5;0.3;0.0;0.0;0.0;0.1;0.1;0.1;0.0;;0.0;;;;0.0;18.0;;18.0;;;;;5.1;2.3;1.1;1.7;;;51.2;51.2;51.2;;
2036;Lpg;2007;25.6;;72.3;48.4;23.9;;1.7;0.0;25.6;22.9;;22.9;62.3;;62.3;-39.4;;-39.4;0.2;;;;;0.2;;;64.8;19.3;0.5;0.1;0.1;;0.0;0.0;0.2;0.0;0.0;0.0;;;;0.0;15.2;;15.2;;;;;3.6;0.8;1.1;1.7;;;45.5;45.5;45.5;;
2037;Lpg;2008;28.1;;71.6;43.6;28.0;;0.1;0.0;28.1;24.0;;24.0;60.8;;60.8;-36.8;;-36.8;0.0;;;;;0.0;;;64.9;19.4;0.6;0.1;0.0;;0.1;0.1;0.2;0.0;0.1;0.0;;;;0.0;15.4;;15.4;;;;;3.4;0.6;1.2;1.6;;;45.4;45.4;45.4;;
2038;Lpg;2009;18.0;;66.0;47.5;18.4;;-0.4;0.0;18.0;20.1;;20.1;64.1;;64.1;-44.0;;-44.0;0.1;;;;;0.1;;;61.9;20.0;0.5;0.1;0.0;;0.1;0.1;0.2;0.0;0.0;0.0;;;;0.0;15.4;;15.4;;;;;4.1;1.4;1.2;1.5;;;41.9;41.9;41.9;;
2039;Lpg;2010;15.3;;64.0;47.1;16.9;;-1.6;0.0;15.3;19.6;;19.6;65.5;;65.5;-45.8;;-45.8;0.0;;;;;0.0;;;61.1;19.7;0.6;0.0;0.0;;0.1;0.1;0.2;0.0;0.1;0.0;;;0.0;0.0;14.4;;14.4;;;;;4.7;1.5;1.4;1.7;;;41.4;41.4;41.4;;
2040;Lpg;2011;22.7;;90.8;67.1;23.7;;-1.0;0.0;22.7;25.8;;25.8;70.4;;70.4;-44.5;;-44.5;0.0;;;;;0.0;;;67.2;17.0;0.4;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;;0.0;0.0;13.0;;13.0;;;;;3.7;1.3;1.1;1.3;;;50.1;50.1;50.1;;
2041;Lpg;2012;-0.4;;71.1;71.2;-0.1;;-0.3;0.0;-0.4;20.5;;20.5;72.2;;72.2;-51.7;;-51.7;0.1;;0.0;;;0.1;;;51.2;17.3;0.4;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.1;0.0;0.0;;0.0;0.0;12.7;;12.7;;;;;4.2;1.8;1.2;1.3;;;33.9;33.9;33.9;;
2042;Lpg;2013;51.4;;115.8;64.5;51.3;;0.1;0.0;51.4;35.5;;35.5;68.2;;68.2;-32.6;;-32.6;0.0;;0.0;;;0.0;;;84.0;16.8;0.5;0.0;0.2;0.0;0.1;0.0;0.1;0.0;0.0;0.0;;;0.0;0.0;12.0;;12.0;;;;;4.3;1.7;1.3;1.4;;;67.2;67.2;67.2;;
2043;Lpg;2014;79.6;;154.7;73.4;81.3;;-1.7;0.0;79.6;50.9;;50.9;79.9;;79.9;-29.1;;-29.1;0.1;;0.0;;;0.1;;;108.6;12.1;0.4;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;;0.0;0.0;9.2;;9.2;;;;;2.5;0.6;1.0;1.0;;;96.5;96.5;96.5;;
2044;Lpg;2015;86.5;;207.9;118.0;89.9;;-3.4;;86.5;53.1;;53.1;83.8;;83.8;-30.7;;-30.7;1.8;;0.0;;;1.8;;;115.3;13.1;0.8;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;;0.2;0.0;0.4;8.0;;8.0;;;;;4.2;1.9;1.0;1.4;;;102.3;102.3;102.3;;
2045;Lpg;2016;62.1;;166.7;109.4;57.2;;4.8;;62.1;46.5;;46.5;81.2;;81.2;-34.7;;-34.7;1.5;;0.0;;;1.5;;;95.2;12.5;0.8;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.3;7.6;;7.6;;;;;4.1;1.8;1.0;1.3;;;82.7;82.7;82.7;;
2046;Lpg;2017;53.0;;146.0;94.0;52.0;;1.0;;53.0;43.8;;43.8;77.6;;77.6;-33.8;;-33.8;2.0;;0.0;;;2.0;;;84.7;11.5;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.2;0.0;0.3;6.8;;6.8;;;;;4.0;1.8;1.0;1.2;;;73.2;73.2;73.2;;
2047;Lpg;2018;77.5;;178.9;100.0;78.9;;-1.4;;77.5;53.9;;53.9;73.6;;73.6;-19.7;;-19.7;0.8;;0.0;;;0.8;;;96.4;10.9;0.7;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.3;6.2;;6.2;;;;;4.0;1.7;1.0;1.3;;;85.5;85.5;85.5;;
2048;Lpg;2019;53.8;;149.5;98.0;51.5;;2.4;;53.8;48.5;;48.5;76.1;;76.1;-27.7;;-27.7;1.6;;0.0;;;1.6;;;79.9;10.5;0.7;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.3;5.8;;5.8;;;;;4.0;1.7;1.0;1.4;;;69.4;69.4;69.4;;
2049;Lpg;2020;63.9;;150.9;85.9;64.9;;-1.0;;63.9;43.1;;43.1;67.2;;67.2;-24.1;;-24.1;0.7;;;;;0.7;;;87.3;9.6;0.7;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.3;4.9;;4.9;;;;;4.1;1.7;1.0;1.4;;;77.7;77.7;77.7;;
2050;Lpg;2021;37.6;;142.2;104.2;38.0;;-0.4;;37.6;41.9;;41.9;78.5;;78.5;-36.6;;-36.6;1.2;;;;;1.2;;;73.0;10.4;0.7;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.3;4.9;;4.9;;;;;4.8;2.0;1.0;1.8;;;62.6;62.6;62.6;;
2051;Lpg;2022;51.9;;143.8;92.5;51.3;;0.6;;51.9;40.8;;40.8;62.7;;62.7;-21.8;;-21.8;6.7;;;;;6.7;;;67.0;9.8;0.8;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.3;5.2;;5.2;;;;;3.9;1.7;1.0;1.2;;;57.2;57.2;57.2;;
2052;Lpg;2023;58.8;;154.6;95.0;59.5;;-0.7;;58.8;41.5;;41.5;65.5;;65.5;-24.0;;-24.0;4.2;;;;;4.2;;;78.6;9.5;0.7;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.3;5.0;;5.0;;;;;3.8;1.6;1.0;1.2;;;69.1;69.1;69.1;;
2053;Lpg;2024;80.9;;162.1;82.4;79.6;;1.2;;80.9;44.5;;44.5;55.5;;55.5;-11.0;;-11.0;3.4;;;;;3.4;;;88.5;;;;;;;;;;;;;;;;;;5.3;;;;;;;;;;;;;;;
2054;Naphtha;1946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;Naphtha;1947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;Naphtha;1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;Naphtha;1949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;Naphtha;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;Naphtha;1951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;Naphtha;1952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2061;Naphtha;1953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2062;Naphtha;1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2063;Naphtha;1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2064;Naphtha;1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2065;Naphtha;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2066;Naphtha;1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2067;Naphtha;1959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2068;Naphtha;1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2069;Naphtha;1961;-2.9;;0.2;3.1;-2.9;;;;-2.9;;;;5.3;;5.3;-5.3;;-5.3;;;;;;;;;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4;2.4;2.4;;
2070;Naphtha;1962;-2.6;;;2.6;-2.6;;;;-2.6;;;;7.7;;7.7;-7.7;;-7.7;;;;;;;;;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.1;5.1;5.1;;
2071;Naphtha;1963;-2.3;;0.4;2.8;-2.4;;;;-2.3;;;;11.0;;11.0;-11.0;;-11.0;;;;;;;;;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.7;8.7;8.7;;
2072;Naphtha;1964;-38.4;;1.5;39.9;-38.4;;;;-38.4;;;;52.0;;52.0;-52.0;;-52.0;;;;;;;;;13.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.6;13.6;13.6;;
2073;Naphtha;1965;-56.8;;1.8;58.6;-56.8;;;;-56.8;;;;75.3;;75.3;-75.3;;-75.3;;;;;;;;;18.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.5;18.5;18.5;;
2074;Naphtha;1966;-79.0;;0.9;79.9;-79.0;;;;-79.0;;;;102.3;;102.3;-102.3;;-102.3;;;;;;;;;23.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.3;23.3;23.3;;
2075;Naphtha;1967;-85.0;;3.4;88.4;-85.0;;;;-85.0;;;;117.6;;117.6;-117.6;;-117.6;;;;;;;;;32.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.6;32.6;32.6;;
2076;Naphtha;1968;-48.2;;35.2;81.5;-46.3;;-2.0;;-48.2;;;;96.1;;96.1;-96.1;;-96.1;;;;;;;;;47.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.9;47.9;47.9;;
2077;Naphtha;1969;-91.3;;23.0;116.0;-93.0;;1.6;;-91.3;;;;143.7;;143.7;-143.7;;-143.7;;;;;;;;;52.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.4;52.4;52.4;;
2078;Naphtha;1970;-79.4;;66.8;142.2;-75.4;;-4.0;;-79.4;;;;185.8;;185.8;-185.8;;-185.8;;;;;;;;;106.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106.4;106.4;106.4;;
2079;Naphtha;1971;-75.2;;71.9;148.7;-76.8;;1.6;;-75.2;;;;198.5;;198.5;-198.5;;-198.5;;;;;;;;;123.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123.3;123.3;123.3;;
2080;Naphtha;1972;-76.0;;112.0;187.3;-75.3;;-0.8;;-76.0;;;;268.5;;268.5;-268.5;;-268.5;;;;;;;;;192.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;192.5;192.5;192.5;;
2081;Naphtha;1973;-49.5;;193.2;239.8;-46.6;;-2.9;-1.1;-48.4;;;;290.1;;290.1;-290.1;;-290.1;;;;;;;;;241.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;241.7;241.7;241.7;;
2082;Naphtha;1974;-21.6;;224.0;235.9;-11.9;;-9.7;-0.1;-21.5;;;;263.5;;263.5;-263.5;;-263.5;;;;;;;;;242.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;242.0;242.0;242.0;;
2083;Naphtha;1975;19.1;;168.1;156.7;11.4;;7.7;0.2;18.9;;;;165.7;;165.7;-165.7;;-165.7;;;;;;;;;184.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.6;184.6;184.6;;
2084;Naphtha;1976;-3.9;;192.3;186.2;6.1;;-10.1;0.1;-4.0;;;;237.6;;237.6;-237.6;;-237.6;;;;;;;;;233.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233.6;233.6;233.6;;
2085;Naphtha;1977;31.1;;211.6;183.4;28.2;;2.9;-0.9;32.0;;;;202.3;;202.3;-202.3;;-202.3;;;;;;;;;234.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;234.3;234.3;234.3;;
2086;Naphtha;1978;92.2;;239.5;159.5;80.0;;12.3;0.9;91.3;87.2;;87.2;179.3;;179.3;-92.1;;-92.1;;;;;;;;;183.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183.4;183.4;183.4;;
2087;Naphtha;1979;114.1;;312.0;187.0;125.0;;-11.0;1.1;113.0;134.6;;134.6;191.1;;191.1;-56.5;;-56.5;;;;;;;;;169.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169.5;169.5;169.5;;
2088;Naphtha;1980;123.6;;344.7;231.2;113.5;;10.0;-0.1;123.7;142.2;;142.2;160.4;;160.4;-18.2;;-18.2;0.0;;;;;0.0;;;141.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141.9;141.9;141.9;;
