ID;SIC2008PrivateFirmsGovernment;Periods;VacanciesSeasonallyAdjusted_1
528;M-N Business services;2017 1st quarter;29.5
529;M-N Business services;2017 2nd quarter;32.7
530;M-N Business services;2017 3rd quarter;34.8
531;M-N Business services;2017 4th quarter;37.2
532;M-N Business services;2018 1st quarter;39.2
533;M-N Business services;2018 2nd quarter;41.0
534;M-N Business services;2018 3rd quarter;42.2
535;M-N Business services;2018 4th quarter;42.0
536;M-N Business services;2019 1st quarter;46.0
537;M-N Business services;2019 2nd quarter;46.9
538;M-N Business services;2019 3rd quarter;46.1
539;M-N Business services;2019 4th quarter;45.8
540;M-N Business services;2020 1st quarter;36.7
541;M-N Business services;2020 2nd quarter;32.7
542;M-N Business services;2020 3rd quarter;34.5
543;M-N Business services;2020 4th quarter;35.8
544;M-N Business services;2021 1st quarter;41.9
545;M-N Business services;2021 2nd quarter;52.5
546;M-N Business services;2021 3rd quarter;58.2
547;M-N Business services;2021 4th quarter;63.0
548;M-N Business services;2022 1st quarter;72.4
549;M-N Business services;2022 2nd quarter;73.7
550;M-N Business services;2022 3rd quarter;72.4
551;M-N Business services;2022 4th quarter;71.9
552;M-N Business services;2023 1st quarter;71.3
553;M-N Business services;2023 2nd quarter;70.8
554;M-N Business services;2023 3rd quarter;69.7
555;M-N Business services;2023 4th quarter;67.6
556;M-N Business services;2024 1st quarter;67.0
557;M-N Business services;2024 2nd quarter;65.5
558;M-N Business services;2024 3rd quarter;64.9
559;M-N Business services;2024 4th quarter;65.2
560;O-U Noncommercial services;1997 1st quarter;20.1
561;O-U Noncommercial services;1997 2nd quarter;20.8
562;O-U Noncommercial services;1997 3rd quarter;25.2
563;O-U Noncommercial services;1997 4th quarter;25.8
564;O-U Noncommercial services;1998 1st quarter;29.2
565;O-U Noncommercial services;1998 2nd quarter;31.6
566;O-U Noncommercial services;1998 3rd quarter;33.2
567;O-U Noncommercial services;1998 4th quarter;33.5
568;O-U Noncommercial services;1999 1st quarter;34.8
569;O-U Noncommercial services;1999 2nd quarter;37.2
570;O-U Noncommercial services;1999 3rd quarter;39.8
571;O-U Noncommercial services;1999 4th quarter;42.2
572;O-U Noncommercial services;2000 1st quarter;42.3
573;O-U Noncommercial services;2000 2nd quarter;41.1
574;O-U Noncommercial services;2000 3rd quarter;42.7
575;O-U Noncommercial services;2000 4th quarter;45.6
576;O-U Noncommercial services;2001 1st quarter;46.4
577;O-U Noncommercial services;2001 2nd quarter;47.5
578;O-U Noncommercial services;2001 3rd quarter;48.1
579;O-U Noncommercial services;2001 4th quarter;46.5
580;O-U Noncommercial services;2002 1st quarter;47.0
581;O-U Noncommercial services;2002 2nd quarter;40.8
582;O-U Noncommercial services;2002 3rd quarter;39.3
583;O-U Noncommercial services;2002 4th quarter;38.5
584;O-U Noncommercial services;2003 1st quarter;33.1
585;O-U Noncommercial services;2003 2nd quarter;31.6
586;O-U Noncommercial services;2003 3rd quarter;29.5
587;O-U Noncommercial services;2003 4th quarter;26.8
588;O-U Noncommercial services;2004 1st quarter;30.4
589;O-U Noncommercial services;2004 2nd quarter;33.2
590;O-U Noncommercial services;2004 3rd quarter;31.6
591;O-U Noncommercial services;2004 4th quarter;31.0
592;O-U Noncommercial services;2005 1st quarter;33.4
593;O-U Noncommercial services;2005 2nd quarter;33.4
594;O-U Noncommercial services;2005 3rd quarter;35.5
595;O-U Noncommercial services;2005 4th quarter;38.3
596;O-U Noncommercial services;2006 1st quarter;39.6
597;O-U Noncommercial services;2006 2nd quarter;42.9
598;O-U Noncommercial services;2006 3rd quarter;43.6
599;O-U Noncommercial services;2006 4th quarter;47.6
600;O-U Noncommercial services;2007 1st quarter;49.0
601;O-U Noncommercial services;2007 2nd quarter;51.9
602;O-U Noncommercial services;2007 3rd quarter;53.8
603;O-U Noncommercial services;2007 4th quarter;52.2
604;O-U Noncommercial services;2008 1st quarter;55.4
605;O-U Noncommercial services;2008 2nd quarter;56.5
606;O-U Noncommercial services;2008 3rd quarter;65.6
607;O-U Noncommercial services;2008 4th quarter;59.5
608;O-U Noncommercial services;2009 1st quarter;51.8
609;O-U Noncommercial services;2009 2nd quarter;47.9
610;O-U Noncommercial services;2009 3rd quarter;45.9
611;O-U Noncommercial services;2009 4th quarter;44.0
612;O-U Noncommercial services;2010 1st quarter;35.6
613;O-U Noncommercial services;2010 2nd quarter;33.0
614;O-U Noncommercial services;2010 3rd quarter;32.3
615;O-U Noncommercial services;2010 4th quarter;31.0
616;O-U Noncommercial services;2011 1st quarter;32.8
617;O-U Noncommercial services;2011 2nd quarter;32.2
618;O-U Noncommercial services;2011 3rd quarter;32.2
619;O-U Noncommercial services;2011 4th quarter;30.7
620;O-U Noncommercial services;2012 1st quarter;29.4
621;O-U Noncommercial services;2012 2nd quarter;27.7
622;O-U Noncommercial services;2012 3rd quarter;27.2
623;O-U Noncommercial services;2012 4th quarter;25.9
624;O-U Noncommercial services;2013 1st quarter;23.8
625;O-U Noncommercial services;2013 2nd quarter;22.1
626;O-U Noncommercial services;2013 3rd quarter;22.5
627;O-U Noncommercial services;2013 4th quarter;22.6
628;O-U Noncommercial services;2014 1st quarter;23.6
629;O-U Noncommercial services;2014 2nd quarter;24.6
630;O-U Noncommercial services;2014 3rd quarter;26.1
631;O-U Noncommercial services;2014 4th quarter;27.0
632;O-U Noncommercial services;2015 1st quarter;27.8
633;O-U Noncommercial services;2015 2nd quarter;28.7
634;O-U Noncommercial services;2015 3rd quarter;29.9
635;O-U Noncommercial services;2015 4th quarter;32.1
636;O-U Noncommercial services;2016 1st quarter;36.1
637;O-U Noncommercial services;2016 2nd quarter;37.9
638;O-U Noncommercial services;2016 3rd quarter;40.6
639;O-U Noncommercial services;2016 4th quarter;43.8
640;O-U Noncommercial services;2017 1st quarter;46.2
641;O-U Noncommercial services;2017 2nd quarter;50.0
642;O-U Noncommercial services;2017 3rd quarter;51.9
643;O-U Noncommercial services;2017 4th quarter;53.3
644;O-U Noncommercial services;2018 1st quarter;54.0
645;O-U Noncommercial services;2018 2nd quarter;57.4
646;O-U Noncommercial services;2018 3rd quarter;60.1
647;O-U Noncommercial services;2018 4th quarter;62.3
648;O-U Noncommercial services;2019 1st quarter;65.1
649;O-U Noncommercial services;2019 2nd quarter;67.2
650;O-U Noncommercial services;2019 3rd quarter;69.4
651;O-U Noncommercial services;2019 4th quarter;72.1
652;O-U Noncommercial services;2020 1st quarter;63.1
653;O-U Noncommercial services;2020 2nd quarter;58.4
654;O-U Noncommercial services;2020 3rd quarter;63.3
655;O-U Noncommercial services;2020 4th quarter;62.9
656;O-U Noncommercial services;2021 1st quarter;68.0
657;O-U Noncommercial services;2021 2nd quarter;80.2
658;O-U Noncommercial services;2021 3rd quarter;89.8
659;O-U Noncommercial services;2021 4th quarter;95.6
660;O-U Noncommercial services;2022 1st quarter;106.2
661;O-U Noncommercial services;2022 2nd quarter;112.3
662;O-U Noncommercial services;2022 3rd quarter;115.5
663;O-U Noncommercial services;2022 4th quarter;115.6
664;O-U Noncommercial services;2023 1st quarter;118.2
665;O-U Noncommercial services;2023 2nd quarter;115.4
666;O-U Noncommercial services;2023 3rd quarter;116.8
667;O-U Noncommercial services;2023 4th quarter;116.0
668;O-U Noncommercial services;2024 1st quarter;121.1
669;O-U Noncommercial services;2024 2nd quarter;119.9
670;O-U Noncommercial services;2024 3rd quarter;117.7
671;O-U Noncommercial services;2024 4th quarter;119.1
672;C Manufacturing;1997 1st quarter;13.3
673;C Manufacturing;1997 2nd quarter;14.0
674;C Manufacturing;1997 3rd quarter;15.7
675;C Manufacturing;1997 4th quarter;17.1
676;C Manufacturing;1998 1st quarter;17.1
677;C Manufacturing;1998 2nd quarter;18.7
678;C Manufacturing;1998 3rd quarter;18.7
679;C Manufacturing;1998 4th quarter;18.7
680;C Manufacturing;1999 1st quarter;19.1
681;C Manufacturing;1999 2nd quarter;21.3
682;C Manufacturing;1999 3rd quarter;24.1
683;C Manufacturing;1999 4th quarter;25.1
684;C Manufacturing;2000 1st quarter;27.6
685;C Manufacturing;2000 2nd quarter;29.1
686;C Manufacturing;2000 3rd quarter;26.1
687;C Manufacturing;2000 4th quarter;26.0
688;C Manufacturing;2001 1st quarter;23.0
689;C Manufacturing;2001 2nd quarter;22.2
690;C Manufacturing;2001 3rd quarter;20.7
691;C Manufacturing;2001 4th quarter;18.2
692;C Manufacturing;2002 1st quarter;17.6
693;C Manufacturing;2002 2nd quarter;14.9
694;C Manufacturing;2002 3rd quarter;11.4
695;C Manufacturing;2002 4th quarter;12.2
696;C Manufacturing;2003 1st quarter;10.6
697;C Manufacturing;2003 2nd quarter;9.0
698;C Manufacturing;2003 3rd quarter;8.1
699;C Manufacturing;2003 4th quarter;9.3
700;C Manufacturing;2004 1st quarter;10.1
701;C Manufacturing;2004 2nd quarter;9.6
702;C Manufacturing;2004 3rd quarter;8.9
703;C Manufacturing;2004 4th quarter;9.6
704;C Manufacturing;2005 1st quarter;10.6
705;C Manufacturing;2005 2nd quarter;11.7
706;C Manufacturing;2005 3rd quarter;13.7
707;C Manufacturing;2005 4th quarter;13.5
708;C Manufacturing;2006 1st quarter;15.4
709;C Manufacturing;2006 2nd quarter;18.1
710;C Manufacturing;2006 3rd quarter;20.0
711;C Manufacturing;2006 4th quarter;21.8
712;C Manufacturing;2007 1st quarter;21.6
713;C Manufacturing;2007 2nd quarter;22.5
714;C Manufacturing;2007 3rd quarter;24.3
715;C Manufacturing;2007 4th quarter;24.4
716;C Manufacturing;2008 1st quarter;25.4
717;C Manufacturing;2008 2nd quarter;24.3
718;C Manufacturing;2008 3rd quarter;22.9
719;C Manufacturing;2008 4th quarter;14.9
720;C Manufacturing;2009 1st quarter;9.4
721;C Manufacturing;2009 2nd quarter;7.7
722;C Manufacturing;2009 3rd quarter;7.5
723;C Manufacturing;2009 4th quarter;7.2
724;C Manufacturing;2010 1st quarter;8.4
725;C Manufacturing;2010 2nd quarter;9.6
726;C Manufacturing;2010 3rd quarter;11.4
727;C Manufacturing;2010 4th quarter;12.8
728;C Manufacturing;2011 1st quarter;14.2
729;C Manufacturing;2011 2nd quarter;14.6
730;C Manufacturing;2011 3rd quarter;14.0
731;C Manufacturing;2011 4th quarter;11.6
732;C Manufacturing;2012 1st quarter;10.8
733;C Manufacturing;2012 2nd quarter;10.1
734;C Manufacturing;2012 3rd quarter;9.7
735;C Manufacturing;2012 4th quarter;9.2
736;C Manufacturing;2013 1st quarter;8.3
737;C Manufacturing;2013 2nd quarter;7.9
738;C Manufacturing;2013 3rd quarter;8.2
739;C Manufacturing;2013 4th quarter;8.6
740;C Manufacturing;2014 1st quarter;9.5
741;C Manufacturing;2014 2nd quarter;9.4
742;C Manufacturing;2014 3rd quarter;10.2
743;C Manufacturing;2014 4th quarter;9.3
744;C Manufacturing;2015 1st quarter;10.9
745;C Manufacturing;2015 2nd quarter;11.1
746;C Manufacturing;2015 3rd quarter;11.1
747;C Manufacturing;2015 4th quarter;11.4
748;C Manufacturing;2016 1st quarter;12.7
749;C Manufacturing;2016 2nd quarter;12.6
750;C Manufacturing;2016 3rd quarter;13.3
751;C Manufacturing;2016 4th quarter;14.1
752;C Manufacturing;2017 1st quarter;15.2
753;C Manufacturing;2017 2nd quarter;16.3
754;C Manufacturing;2017 3rd quarter;17.5
755;C Manufacturing;2017 4th quarter;19.5
756;C Manufacturing;2018 1st quarter;20.2
757;C Manufacturing;2018 2nd quarter;22.3
758;C Manufacturing;2018 3rd quarter;22.5
759;C Manufacturing;2018 4th quarter;22.5
760;C Manufacturing;2019 1st quarter;24.0
761;C Manufacturing;2019 2nd quarter;23.7
762;C Manufacturing;2019 3rd quarter;22.8
763;C Manufacturing;2019 4th quarter;22.2
764;C Manufacturing;2020 1st quarter;18.5
765;C Manufacturing;2020 2nd quarter;15.5
766;C Manufacturing;2020 3rd quarter;17.0
767;C Manufacturing;2020 4th quarter;18.3
768;C Manufacturing;2021 1st quarter;21.3
769;C Manufacturing;2021 2nd quarter;27.4
770;C Manufacturing;2021 3rd quarter;32.3
771;C Manufacturing;2021 4th quarter;33.6
772;C Manufacturing;2022 1st quarter;36.5
773;C Manufacturing;2022 2nd quarter;36.8
774;C Manufacturing;2022 3rd quarter;34.6
775;C Manufacturing;2022 4th quarter;35.1
776;C Manufacturing;2023 1st quarter;35.3
777;C Manufacturing;2023 2nd quarter;34.8
778;C Manufacturing;2023 3rd quarter;33.1
779;C Manufacturing;2023 4th quarter;32.5
780;C Manufacturing;2024 1st quarter;33.9
781;C Manufacturing;2024 2nd quarter;33.0
782;C Manufacturing;2024 3rd quarter;33.2
783;C Manufacturing;2024 4th quarter;33.2
784;F Construction;1997 1st quarter;5.9
785;F Construction;1997 2nd quarter;7.0
786;F Construction;1997 3rd quarter;7.1
787;F Construction;1997 4th quarter;8.3
788;F Construction;1998 1st quarter;8.1
789;F Construction;1998 2nd quarter;8.6
790;F Construction;1998 3rd quarter;9.7
791;F Construction;1998 4th quarter;10.6
792;F Construction;1999 1st quarter;11.9
793;F Construction;1999 2nd quarter;15.6
794;F Construction;1999 3rd quarter;16.9
795;F Construction;1999 4th quarter;15.8
796;F Construction;2000 1st quarter;20.4
797;F Construction;2000 2nd quarter;18.0
798;F Construction;2000 3rd quarter;19.4
799;F Construction;2000 4th quarter;18.9
800;F Construction;2001 1st quarter;19.0
801;F Construction;2001 2nd quarter;17.7
802;F Construction;2001 3rd quarter;16.7
803;F Construction;2001 4th quarter;16.6
804;F Construction;2002 1st quarter;15.4
805;F Construction;2002 2nd quarter;13.0
806;F Construction;2002 3rd quarter;8.1
807;F Construction;2002 4th quarter;7.9
808;F Construction;2003 1st quarter;8.0
809;F Construction;2003 2nd quarter;7.4
810;F Construction;2003 3rd quarter;4.5
811;F Construction;2003 4th quarter;5.1
812;F Construction;2004 1st quarter;6.2
813;F Construction;2004 2nd quarter;7.6
814;F Construction;2004 3rd quarter;7.1
815;F Construction;2004 4th quarter;8.1
816;F Construction;2005 1st quarter;9.0
817;F Construction;2005 2nd quarter;9.1
818;F Construction;2005 3rd quarter;11.1
819;F Construction;2005 4th quarter;12.5
820;F Construction;2006 1st quarter;13.2
821;F Construction;2006 2nd quarter;14.5
822;F Construction;2006 3rd quarter;18.2
823;F Construction;2006 4th quarter;16.8
824;F Construction;2007 1st quarter;17.9
825;F Construction;2007 2nd quarter;19.0
826;F Construction;2007 3rd quarter;20.5
827;F Construction;2007 4th quarter;20.4
828;F Construction;2008 1st quarter;20.7
829;F Construction;2008 2nd quarter;19.1
830;F Construction;2008 3rd quarter;17.7
831;F Construction;2008 4th quarter;13.3
832;F Construction;2009 1st quarter;8.4
833;F Construction;2009 2nd quarter;6.7
834;F Construction;2009 3rd quarter;6.1
835;F Construction;2009 4th quarter;5.8
836;F Construction;2010 1st quarter;5.4
837;F Construction;2010 2nd quarter;5.1
838;F Construction;2010 3rd quarter;6.2
839;F Construction;2010 4th quarter;6.3
840;F Construction;2011 1st quarter;6.3
841;F Construction;2011 2nd quarter;6.1
842;F Construction;2011 3rd quarter;6.0
843;F Construction;2011 4th quarter;5.1
844;F Construction;2012 1st quarter;4.9
845;F Construction;2012 2nd quarter;4.5
846;F Construction;2012 3rd quarter;4.3
847;F Construction;2012 4th quarter;3.3
848;F Construction;2013 1st quarter;3.2
849;F Construction;2013 2nd quarter;2.8
850;F Construction;2013 3rd quarter;3.2
851;F Construction;2013 4th quarter;3.4
852;F Construction;2014 1st quarter;3.6
853;F Construction;2014 2nd quarter;3.8
854;F Construction;2014 3rd quarter;4.1
855;F Construction;2014 4th quarter;4.4
856;F Construction;2015 1st quarter;4.3
857;F Construction;2015 2nd quarter;5.1
858;F Construction;2015 3rd quarter;5.5
859;F Construction;2015 4th quarter;5.9
860;F Construction;2016 1st quarter;5.7
861;F Construction;2016 2nd quarter;6.4
862;F Construction;2016 3rd quarter;7.1
863;F Construction;2016 4th quarter;7.9
864;F Construction;2017 1st quarter;9.5
865;F Construction;2017 2nd quarter;11.1
866;F Construction;2017 3rd quarter;12.8
867;F Construction;2017 4th quarter;14.7
868;F Construction;2018 1st quarter;15.4
869;F Construction;2018 2nd quarter;16.2
870;F Construction;2018 3rd quarter;16.4
871;F Construction;2018 4th quarter;17.2
872;F Construction;2019 1st quarter;19.0
873;F Construction;2019 2nd quarter;18.3
874;F Construction;2019 3rd quarter;18.1
875;F Construction;2019 4th quarter;17.3
876;F Construction;2020 1st quarter;13.6
877;F Construction;2020 2nd quarter;13.2
878;F Construction;2020 3rd quarter;14.4
879;F Construction;2020 4th quarter;15.9
880;F Construction;2021 1st quarter;18.3
881;F Construction;2021 2nd quarter;21.0
882;F Construction;2021 3rd quarter;23.0
883;F Construction;2021 4th quarter;25.2
884;F Construction;2022 1st quarter;26.7
885;F Construction;2022 2nd quarter;27.6
886;F Construction;2022 3rd quarter;26.7
887;F Construction;2022 4th quarter;25.1
888;F Construction;2023 1st quarter;25.7
889;F Construction;2023 2nd quarter;25.6
890;F Construction;2023 3rd quarter;26.2
891;F Construction;2023 4th quarter;26.2
892;F Construction;2024 1st quarter;26.2
893;F Construction;2024 2nd quarter;26.3
894;F Construction;2024 3rd quarter;25.5
895;F Construction;2024 4th quarter;27.8
896;G Wholesale and retail trade;1997 1st quarter;13.7
897;G Wholesale and retail trade;1997 2nd quarter;13.0
898;G Wholesale and retail trade;1997 3rd quarter;17.9
899;G Wholesale and retail trade;1997 4th quarter;22.7
900;G Wholesale and retail trade;1998 1st quarter;19.6
901;G Wholesale and retail trade;1998 2nd quarter;23.0
902;G Wholesale and retail trade;1998 3rd quarter;26.4
903;G Wholesale and retail trade;1998 4th quarter;24.6
904;G Wholesale and retail trade;1999 1st quarter;27.5
905;G Wholesale and retail trade;1999 2nd quarter;33.0
906;G Wholesale and retail trade;1999 3rd quarter;32.5
907;G Wholesale and retail trade;1999 4th quarter;32.4
908;G Wholesale and retail trade;2000 1st quarter;34.6
909;G Wholesale and retail trade;2000 2nd quarter;33.8
910;G Wholesale and retail trade;2000 3rd quarter;33.9
911;G Wholesale and retail trade;2000 4th quarter;35.9
912;G Wholesale and retail trade;2001 1st quarter;33.8
913;G Wholesale and retail trade;2001 2nd quarter;32.3
914;G Wholesale and retail trade;2001 3rd quarter;29.4
915;G Wholesale and retail trade;2001 4th quarter;26.3
916;G Wholesale and retail trade;2002 1st quarter;28.5
917;G Wholesale and retail trade;2002 2nd quarter;24.6
918;G Wholesale and retail trade;2002 3rd quarter;23.5
919;G Wholesale and retail trade;2002 4th quarter;23.8
920;G Wholesale and retail trade;2003 1st quarter;22.0
921;G Wholesale and retail trade;2003 2nd quarter;24.2
922;G Wholesale and retail trade;2003 3rd quarter;16.5
923;G Wholesale and retail trade;2003 4th quarter;19.1
924;G Wholesale and retail trade;2004 1st quarter;19.9
925;G Wholesale and retail trade;2004 2nd quarter;21.2
926;G Wholesale and retail trade;2004 3rd quarter;20.5
927;G Wholesale and retail trade;2004 4th quarter;22.3
928;G Wholesale and retail trade;2005 1st quarter;23.4
929;G Wholesale and retail trade;2005 2nd quarter;22.0
930;G Wholesale and retail trade;2005 3rd quarter;27.7
931;G Wholesale and retail trade;2005 4th quarter;28.5
932;G Wholesale and retail trade;2006 1st quarter;30.5
933;G Wholesale and retail trade;2006 2nd quarter;33.0
934;G Wholesale and retail trade;2006 3rd quarter;35.0
935;G Wholesale and retail trade;2006 4th quarter;34.6
936;G Wholesale and retail trade;2007 1st quarter;36.4
937;G Wholesale and retail trade;2007 2nd quarter;37.7
938;G Wholesale and retail trade;2007 3rd quarter;39.7
939;G Wholesale and retail trade;2007 4th quarter;41.2
940;G Wholesale and retail trade;2008 1st quarter;41.0
941;G Wholesale and retail trade;2008 2nd quarter;41.1
942;G Wholesale and retail trade;2008 3rd quarter;39.1
943;G Wholesale and retail trade;2008 4th quarter;28.1
944;G Wholesale and retail trade;2009 1st quarter;23.2
945;G Wholesale and retail trade;2009 2nd quarter;19.1
946;G Wholesale and retail trade;2009 3rd quarter;19.3
947;G Wholesale and retail trade;2009 4th quarter;20.1
948;G Wholesale and retail trade;2010 1st quarter;21.5
949;G Wholesale and retail trade;2010 2nd quarter;23.2
950;G Wholesale and retail trade;2010 3rd quarter;24.3
951;G Wholesale and retail trade;2010 4th quarter;25.4
952;G Wholesale and retail trade;2011 1st quarter;25.3
953;G Wholesale and retail trade;2011 2nd quarter;25.5
954;G Wholesale and retail trade;2011 3rd quarter;26.0
955;G Wholesale and retail trade;2011 4th quarter;22.2
956;G Wholesale and retail trade;2012 1st quarter;21.8
957;G Wholesale and retail trade;2012 2nd quarter;19.8
958;G Wholesale and retail trade;2012 3rd quarter;18.5
959;G Wholesale and retail trade;2012 4th quarter;16.8
960;G Wholesale and retail trade;2013 1st quarter;17.5
961;G Wholesale and retail trade;2013 2nd quarter;16.8
962;G Wholesale and retail trade;2013 3rd quarter;17.3
963;G Wholesale and retail trade;2013 4th quarter;17.5
964;G Wholesale and retail trade;2014 1st quarter;19.6
965;G Wholesale and retail trade;2014 2nd quarter;20.3
966;G Wholesale and retail trade;2014 3rd quarter;21.7
967;G Wholesale and retail trade;2014 4th quarter;23.0
968;G Wholesale and retail trade;2015 1st quarter;24.4
969;G Wholesale and retail trade;2015 2nd quarter;25.6
970;G Wholesale and retail trade;2015 3rd quarter;26.5
971;G Wholesale and retail trade;2015 4th quarter;27.3
972;G Wholesale and retail trade;2016 1st quarter;28.2
973;G Wholesale and retail trade;2016 2nd quarter;29.2
974;G Wholesale and retail trade;2016 3rd quarter;30.7
975;G Wholesale and retail trade;2016 4th quarter;33.0
976;G Wholesale and retail trade;2017 1st quarter;37.2
977;G Wholesale and retail trade;2017 2nd quarter;41.3
978;G Wholesale and retail trade;2017 3rd quarter;42.6
979;G Wholesale and retail trade;2017 4th quarter;44.2
980;G Wholesale and retail trade;2018 1st quarter;46.2
981;G Wholesale and retail trade;2018 2nd quarter;49.3
982;G Wholesale and retail trade;2018 3rd quarter;52.6
983;G Wholesale and retail trade;2018 4th quarter;52.2
984;G Wholesale and retail trade;2019 1st quarter;55.4
985;G Wholesale and retail trade;2019 2nd quarter;56.4
986;G Wholesale and retail trade;2019 3rd quarter;57.4
987;G Wholesale and retail trade;2019 4th quarter;58.3
988;G Wholesale and retail trade;2020 1st quarter;40.7
989;G Wholesale and retail trade;2020 2nd quarter;36.5
990;G Wholesale and retail trade;2020 3rd quarter;42.1
991;G Wholesale and retail trade;2020 4th quarter;41.9
992;G Wholesale and retail trade;2021 1st quarter;42.4
993;G Wholesale and retail trade;2021 2nd quarter;64.4
994;G Wholesale and retail trade;2021 3rd quarter;74.5
995;G Wholesale and retail trade;2021 4th quarter;80.7
996;G Wholesale and retail trade;2022 1st quarter;93.3
997;G Wholesale and retail trade;2022 2nd quarter;101.4
998;G Wholesale and retail trade;2022 3rd quarter;90.2
999;G Wholesale and retail trade;2022 4th quarter;86.3
1000;G Wholesale and retail trade;2023 1st quarter;83.4
1001;G Wholesale and retail trade;2023 2nd quarter;82.8
1002;G Wholesale and retail trade;2023 3rd quarter;79.1
1003;G Wholesale and retail trade;2023 4th quarter;76.2
1004;G Wholesale and retail trade;2024 1st quarter;74.8
1005;G Wholesale and retail trade;2024 2nd quarter;71.7
1006;G Wholesale and retail trade;2024 3rd quarter;73.1
1007;G Wholesale and retail trade;2024 4th quarter;72.8
1008;H Transportation and storage;1997 1st quarter;3.4
1009;H Transportation and storage;1997 2nd quarter;3.7
1010;H Transportation and storage;1997 3rd quarter;5.1
1011;H Transportation and storage;1997 4th quarter;6.0
1012;H Transportation and storage;1998 1st quarter;7.2
1013;H Transportation and storage;1998 2nd quarter;6.0
1014;H Transportation and storage;1998 3rd quarter;5.4
1015;H Transportation and storage;1998 4th quarter;6.8
1016;H Transportation and storage;1999 1st quarter;8.6
1017;H Transportation and storage;1999 2nd quarter;11.3
1018;H Transportation and storage;1999 3rd quarter;10.6
1019;H Transportation and storage;1999 4th quarter;10.1
1020;H Transportation and storage;2000 1st quarter;8.7
1021;H Transportation and storage;2000 2nd quarter;8.8
1022;H Transportation and storage;2000 3rd quarter;9.5
1023;H Transportation and storage;2000 4th quarter;9.4
1024;H Transportation and storage;2001 1st quarter;8.7
1025;H Transportation and storage;2001 2nd quarter;7.8
1026;H Transportation and storage;2001 3rd quarter;6.5
1027;H Transportation and storage;2001 4th quarter;5.7
1028;H Transportation and storage;2002 1st quarter;6.8
1029;H Transportation and storage;2002 2nd quarter;5.8
1030;H Transportation and storage;2002 3rd quarter;4.9
1031;H Transportation and storage;2002 4th quarter;4.0
1032;H Transportation and storage;2003 1st quarter;5.6
1033;H Transportation and storage;2003 2nd quarter;3.8
1034;H Transportation and storage;2003 3rd quarter;3.4
1035;H Transportation and storage;2003 4th quarter;5.0
1036;H Transportation and storage;2004 1st quarter;4.6
1037;H Transportation and storage;2004 2nd quarter;5.9
1038;H Transportation and storage;2004 3rd quarter;4.4
1039;H Transportation and storage;2004 4th quarter;4.7
1040;H Transportation and storage;2005 1st quarter;6.6
1041;H Transportation and storage;2005 2nd quarter;5.1
1042;H Transportation and storage;2005 3rd quarter;6.4
1043;H Transportation and storage;2005 4th quarter;6.3
1044;H Transportation and storage;2006 1st quarter;8.1
1045;H Transportation and storage;2006 2nd quarter;9.6
1046;H Transportation and storage;2006 3rd quarter;9.8
1047;H Transportation and storage;2006 4th quarter;9.7
1048;H Transportation and storage;2007 1st quarter;9.0
1049;H Transportation and storage;2007 2nd quarter;10.0
1050;H Transportation and storage;2007 3rd quarter;10.5
1051;H Transportation and storage;2007 4th quarter;10.4
1052;H Transportation and storage;2008 1st quarter;10.1
1053;H Transportation and storage;2008 2nd quarter;9.2
1054;H Transportation and storage;2008 3rd quarter;9.6
1055;H Transportation and storage;2008 4th quarter;6.7
1056;H Transportation and storage;2009 1st quarter;3.8
1057;H Transportation and storage;2009 2nd quarter;2.9
1058;H Transportation and storage;2009 3rd quarter;3.7
1059;H Transportation and storage;2009 4th quarter;3.7
1060;H Transportation and storage;2010 1st quarter;3.8
1061;H Transportation and storage;2010 2nd quarter;3.3
1062;H Transportation and storage;2010 3rd quarter;3.8
1063;H Transportation and storage;2010 4th quarter;3.9
1064;H Transportation and storage;2011 1st quarter;4.4
1065;H Transportation and storage;2011 2nd quarter;4.6
1066;H Transportation and storage;2011 3rd quarter;4.1
1067;H Transportation and storage;2011 4th quarter;4.3
1068;H Transportation and storage;2012 1st quarter;3.9
1069;H Transportation and storage;2012 2nd quarter;3.3
1070;H Transportation and storage;2012 3rd quarter;2.9
1071;H Transportation and storage;2012 4th quarter;2.9
1072;H Transportation and storage;2013 1st quarter;3.0
1073;H Transportation and storage;2013 2nd quarter;2.6
1074;H Transportation and storage;2013 3rd quarter;3.4
1075;H Transportation and storage;2013 4th quarter;3.6
1076;H Transportation and storage;2014 1st quarter;3.9
1077;H Transportation and storage;2014 2nd quarter;3.9
1078;H Transportation and storage;2014 3rd quarter;4.1
1079;H Transportation and storage;2014 4th quarter;4.6
1080;H Transportation and storage;2015 1st quarter;5.2
1081;H Transportation and storage;2015 2nd quarter;5.6
1082;H Transportation and storage;2015 3rd quarter;5.0
1083;H Transportation and storage;2015 4th quarter;5.1
1084;H Transportation and storage;2016 1st quarter;5.3
1085;H Transportation and storage;2016 2nd quarter;6.1
1086;H Transportation and storage;2016 3rd quarter;7.0
1087;H Transportation and storage;2016 4th quarter;7.3
1088;H Transportation and storage;2017 1st quarter;7.5
1089;H Transportation and storage;2017 2nd quarter;7.9
1090;H Transportation and storage;2017 3rd quarter;9.0
1091;H Transportation and storage;2017 4th quarter;9.0
1092;H Transportation and storage;2018 1st quarter;10.7
1093;H Transportation and storage;2018 2nd quarter;11.9
1094;H Transportation and storage;2018 3rd quarter;13.2
1095;H Transportation and storage;2018 4th quarter;13.7
