ID;InstitutioneleBeleggers;Perioden;TotaalBeleggingen_1;TotaalLanglopendeBeleggingen_2;TotaalZakelijkeWaarden_3;TotaalDirectVastgoed_4;Woningen_5;KantoorEnWinkelgebouwen_6;LandelijkeEigendommen_7;Overig_8;Buitenland_9;NietTeSpecificerenDirectVastgoed_10;TotaalAandelenEnDeelnemingen_11;TotaalAandelen_12;AandelenVastgoed_13;AandelenOverig_14;TotaalDeelnemingenInConcernverband_15;DeelnemingInConcernverbandVastgoed_16;DeelnemingInConcernverbandOverig_17;TotaalOverigeDeelnemingen_18;DeelnemingenOverigVastgoed_19;DeelnemingenOverig_20;TotaalVastrentendeWaarden_21;Hypotheken_22;ObligatiesEnPandbrieven_23;FinancieleDerivaten_24;LeningenOpLangeTermijn_25;OverigVastrentendeWaarden_26;TotaalKortlopendeBeleggingen_27;LeningenOpKorteTermijn_28;WaardepapierenOpKorteTermijn_29;DepositoS_30;ChartaalEnGiraalGeld_31;OverigeKortlopendeBeleggingen_32
125;Pensioenfondsen;2008;622768;565615;256524;16973;9741.0;5951.0;869.0;190.0;222.0;;239551;208744.0;27343.0;181401.0;;;;30807.0;17865.0;12942.0;309091;13187;252327;35747;7830;;57153;21279;5319;21464;9091;
126;Pensioenfondsen;2009;697425;652918;436846;15209;8242.0;5750.0;860.0;180.0;177.0;;421637;381510.0;27438.0;354072.0;;;;40127.0;21803.0;18324.0;216072;12044;189016;8063;6949;;44507;13528;5722;19642;5615;
127;Pensioenfondsen;2010;762207;707938;487229;9871;4405.0;4215.0;860.0;180.0;211.0;;477358;431150.0;36268.0;394882.0;;;;46208.0;28529.0;17679.0;220709;11925;191370;11082;6332;;54269;26832;5699;16760;4978;
128;Pensioenfondsen;2011;817336;767081;493300;9681;4245.0;4115.0;875.0;225.0;221.0;;483619;429591.0;26980.0;402611.0;;;;54028.0;41586.0;12442.0;273781;11177;213475;44355;4774;;50255;25591;6405;13778;4481;
129;Pensioenfondsen;2012;948655;891857;574844;9060;4348.0;3435.0;875.0;225.0;177.0;;565784;508498.0;34153.0;474345.0;;;;57286.0;43077.0;14209.0;317013;10911;248119;53086;4897;;56798;26947;7885;16723;5243;
130;Verzekeraars;1950;1789;1561;195;111;91.0;;8.0;0.0;5.0;7.0;84;;;;;;;;;;1366;235;587;0;540;4.0;227;16;158;24;29;0.0
131;Verzekeraars;1951;1974;1912;216;127;106.0;;9.0;0.0;5.0;7.0;89;;;;;;;;;;1696;287;609;0;793;6.0;63;3;5;21;34;0.0
132;Verzekeraars;1952;2142;2086;226;134;110.0;;9.0;0.0;7.0;8.0;93;;;;;;;;;;1859;309;615;0;930;5.0;57;2;0;19;36;0.0
133;Verzekeraars;1953;2344;2281;256;145;118.0;;10.0;0.0;8.0;9.0;111;;;;;;;;;;2026;335;625;0;1061;5.0;63;2;0;16;45;0.0
134;Verzekeraars;1954;2599;2544;291;169;138.0;;11.0;0.0;10.0;10.0;123;;;;;;;;;;2253;396;631;0;1220;5.0;56;0;0;17;38;0.0
135;Verzekeraars;1955;2867;2807;322;190;155.0;;13.0;0.0;11.0;11.0;131;;;;;;;;;;2486;482;651;0;1341;11.0;60;2;0;20;39;0.0
136;Verzekeraars;1956;3143;3082;377;214;172.0;;15.0;0.0;13.0;14.0;163;;;;;;;;;;2705;584;655;0;1451;16.0;61;3;0;21;37;0.0
137;Verzekeraars;1957;3412;3344;394;240;193.0;;16.0;0.0;15.0;15.0;154;;;;;;;;;;2951;659;631;0;1629;31.0;68;15;0;16;37;0.0
138;Verzekeraars;1958;3746;3672;431;258;208.0;;17.0;0.0;17.0;16.0;172;;;;;;;;;;3242;734;653;0;1814;41.0;73;13;1;18;41;0.0
139;Verzekeraars;1959;4121;4045;512;285;225.0;;19.0;4.0;18.0;19.0;227;;;;;;;;;;3533;817;726;0;1986;4.0;76;23;0;18;32;3.0
140;Verzekeraars;1960;4527;4453;569;313;249.0;;20.0;5.0;21.0;20.0;256;;;;;;;;;;3884;940;789;0;2151;4.0;74;16;0;27;28;3.0
141;Verzekeraars;1961;4977;4905;654;350;277.0;;21.0;5.0;24.0;22.0;304;;;;;;;;;;4251;1094;810;0;2342;6.0;72;18;0;24;27;3.0
142;Verzekeraars;1962;5488;5393;741;397;312.0;;22.0;6.0;27.0;29.0;344;;;;;;;;;;4652;1283;836;0;2525;7.0;96;27;0;34;31;4.0
143;Verzekeraars;1963;6053;5948;857;465;359.0;;34.0;8.0;28.0;35.0;392;;;;;;;;;;5091;1498;869;0;2716;9.0;106;26;0;45;31;4.0
144;Verzekeraars;1964;6620;6510;972;540;415.0;;36.0;11.0;33.0;44.0;432;;;;;;;;;;5538;1722;826;0;2983;6.0;110;32;0;35;38;5.0
145;Verzekeraars;1965;7229;7083;1115;633;497.0;;37.0;3.0;42.0;54.0;482;;;;;;;;;;5968;1904;828;0;3230;6.0;146;53;0;43;44;5.0
146;Verzekeraars;1966;7930;7777;1288;706;556.0;;39.0;1.0;44.0;65.0;582;;;;;;;;;;6490;2077;886;0;3513;13.0;152;71;0;35;41;5.0
147;Verzekeraars;1967;8653;8440;1452;721;560.0;;38.0;1.0;45.0;76.0;731;;;;;;;;;;6988;2215;957;0;3798;19.0;213;101;0;60;46;6.0
148;Verzekeraars;1968;9369;9028;1737;773;613.0;;46.0;0.0;47.0;67.0;964;;;;;;;;;;7291;2393;976;0;3916;6.0;341;173;0;60;100;8.0
149;Verzekeraars;1969;10187;9770;2040;847;673.0;;46.0;4.0;49.0;74.0;1193;;;;;;;;;;7731;2608;964;0;4155;4.0;417;254;0;66;97;0.0
150;Verzekeraars;1970;10981;10422;2409;884;702.0;;47.0;4.0;50.0;81.0;1525;;;;;;;;;;8014;2768;983;0;4258;5.0;558;386;0;64;108;0.0
151;Verzekeraars;1971;12584;11862;2811;941;738.0;;50.0;5.0;56.0;92.0;1870;;;;;;;;;;9051;2914;1049;0;5084;4.0;722;527;0;67;116;12.0
152;Verzekeraars;1972;14100;13330;3567;1037;810.0;;52.0;7.0;61.0;107.0;2530;;;;;;;;;;9763;3100;1125;0;5534;4.0;770;534;0;76;149;11.0
153;Verzekeraars;1973;14630;13688;3786;1139;897.0;;56.0;4.0;64.0;117.0;2648;;;;;;;;;;9901;3298;1225;0;5376;3.0;942;653;0;136;143;10.0
154;Verzekeraars;1974;16289;15016;4075;1290;1011.0;;64.0;9.0;70.0;137.0;2785;;;;;;;;;;10941;3680;1312;0;5945;3.0;1273;866;0;225;170;12.0
155;Verzekeraars;1975;19260;18028;5341;1412;1123.0;;68.0;3.0;74.0;144.0;3929;;;;;;;;;;12687;4075;1551;0;7060;0.0;1232;683;0;276;262;12.0
156;Verzekeraars;1976;21513;20056;5624;1575;1283.0;;73.0;5.0;65.0;149.0;4050;;;;;;;;;;14432;4521;1703;0;8206;1.0;1457;810;0;274;167;206.0
157;Verzekeraars;1977;24169;22925;6225;1773;1455.0;;83.0;4.0;67.0;166.0;4451;;;;;;;;;;16701;5557;1866;0;9276;2.0;1243;552;0;281;173;237.0
158;Verzekeraars;1978;27284;25890;6852;2020;1843.0;;98.0;6.0;74.0;0.0;4832;;;;;;;;;;19038;6206;1967;0;10862;4.0;1394;628;0;332;175;259.0
159;Verzekeraars;1979;30320;28609;7648;2193;1998.0;;114.0;10.0;70.0;0.0;5454;;;;;;;;;;20961;6870;2085;0;12002;5.0;1712;864;0;386;165;296.0
160;Verzekeraars;1980-I;33604;31389;8140;2392;2186.0;;131.0;3.0;72.0;0.0;5748;;;;;;;;;;23249;7596;2239;0;13408;6.0;2215;1517;0;458;213;27.0
161;Verzekeraars;1980-II;35956;34957;9562;4750;2469.0;1927.0;137.0;83.0;133.0;;4811;2337.0;55.0;2283.0;2360.0;56.0;2304.0;114.0;0.0;114.0;25396;9529;3000;0;12866;;999;12;29;680;277;
162;Verzekeraars;1981;39156;38059;10627;4986;2504.0;2128.0;144.0;84.0;127.0;;5641;2361.0;59.0;2303.0;3164.0;77.0;3087.0;115.0;0.0;115.0;27432;9702;3466;0;14264;;1097;21;34;727;314;
163;Verzekeraars;1982;43098;42065;11224;5046;2483.0;2202.0;145.0;86.0;130.0;;6178;2766.0;100.0;2666.0;3295.0;64.0;3231.0;116.0;0.0;116.0;30841;9874;4428;0;16539;;1033;23;33;649;329;
164;Verzekeraars;1983;48039;47066;12305;5162;2420.0;2366.0;149.0;84.0;143.0;;7143;3635.0;86.0;3549.0;3383.0;75.0;3309.0;124.0;0.0;124.0;34761;10202;5400;0;19160;;972;15;60;569;328;
165;Verzekeraars;1984;52969;51846;13222;5222;2424.0;2421.0;149.0;81.0;147.0;;8000;4089.0;117.0;3972.0;3767.0;72.0;3695.0;144.0;0.0;144.0;38624;10413;6941;0;21270;;1123;25;16;584;498;
166;Verzekeraars;1985;58131;57132;14318;5446;2508.0;2557.0;167.0;81.0;134.0;;8872;5470.0;157.0;5312.0;3242.0;39.0;3203.0;160.0;0.0;160.0;42815;11356;7806;0;23652;;999;15;8;539;438;
167;Verzekeraars;1986;63951;62643;15241;5542;2522.0;2647.0;178.0;72.0;123.0;;9699;6183.0;225.0;5958.0;3349.0;36.0;3313.0;167.0;0.0;167.0;47402;12204;8314;0;26885;;1307;18;12;788;490;
168;Verzekeraars;1987;67120;65362;14819;5801;2515.0;2839.0;204.0;125.0;118.0;;9018;5480.0;348.0;5132.0;3378.0;36.0;3342.0;160.0;0.0;160.0;50543;13268;8160;0;29115;;1758;54;4;1098;602;
169;Verzekeraars;1988;74912;72901;16565;6512;2579.0;3434.0;210.0;176.0;114.0;;10053;7521.0;483.0;7038.0;2370.0;138.0;2232.0;162.0;0.0;162.0;56336;14746;9560;0;32029;;2011;39;4;1206;763;
170;Verzekeraars;1989;83732;81247;18937;6770;2635.0;3590.0;222.0;171.0;153.0;;12167;9503.0;637.0;8866.0;2465.0;110.0;2355.0;199.0;0.0;199.0;62309;15873;10362;0;36074;;2485;22;0;1685;778;
171;Verzekeraars;1990;89315;85559;19061;7273;2690.0;4039.0;220.0;148.0;176.0;;11788;8654.0;428.0;8226.0;2827.0;41.0;2786.0;308.0;0.0;308.0;66498;16499;12421;0;37579;;3756;25;1;2834;896;
172;Verzekeraars;1991-I;100548;95965;22325;7909;2779.0;4413.0;239.0;136.0;343.0;;14416;10592.0;514.0;10078.0;3462.0;73.0;3389.0;362.0;0.0;362.0;73639;17930;16445;0;39265;;4584;41;4;3515;1024;
173;Verzekeraars;1991-II;107547;101502;20614;8034;2777.0;4540.0;239.0;136.0;343.0;;12579;10708.0;504.0;10204.0;;;;1872.0;181.0;1691.0;80889;17999;16956;0;45934;;6045;708;115;4134;1087;
174;Verzekeraars;1992;118983;111943;22719;8517;2912.0;4858.0;241.0;129.0;376.0;;14202;12234.0;454.0;11780.0;;;;1968.0;191.0;1777.0;89224;18536;23052;0;47637;;7041;1292;127;4720;902;
175;Verzekeraars;1993;136219;127098;29377;8677;3034.0;4956.0;230.0;128.0;329.0;;20700;19198.0;549.0;18649.0;;;;1502.0;144.0;1359.0;97720;17791;29961;0;49968;;9121;1983;177;5915;1046;
176;Verzekeraars;1994;143109;133783;30208;8484;2932.0;4872.0;256.0;125.0;299.0;;21724;20673.0;562.0;20111.0;;;;1051.0;8.0;1043.0;103575;19748;31959;0;51868;;9326;1838;209;6134;1145;
177;Verzekeraars;1995;163011;151865;35099;8891;3125.0;5022.0;280.0;187.0;277.0;;26208;25080.0;672.0;24408.0;;;;1128.0;115.0;1013.0;116765;20017;42816;34;53898;;11146;2656;175;6749;1566;
178;Verzekeraars;1996;182510;169429;44179;8750;3077.0;4976.0;262.0;203.0;232.0;;35429;34026.0;618.0;33409.0;;;;1403.0;120.0;1283.0;125250;20853;52631;41;51724;;13081;3503;272;7805;1500;
179;Verzekeraars;1997;207594;194570;57622;9588;3274.0;5586.0;262.0;240.0;226.0;;48034;45318.0;712.0;44606.0;;;;2716.0;77.0;2639.0;136948;21897;65688;49;49315;;13024;2839;270;8204;1711;
180;Verzekeraars;1998;236820;223883;74324;10411;3597.0;6191.0;265.0;110.0;248.0;;63913;60419.0;829.0;59590.0;;;;3494.0;55.0;3439.0;149559;25133;75004;59;49364;;12937;2476;145;8393;1923;
181;Verzekeraars;1999;258581;243466;91986;11283;3854.0;6852.0;300.0;72.0;205.0;;80703;76052.0;1213.0;74839.0;;;;4650.0;38.0;4612.0;151480;27847;75610;72;47951;;15115;3077;166;9519;2354;
182;Verzekeraars;2000;266268;246507;94019;13553;5084.0;7561.0;410.0;171.0;327.0;;80467;74782.0;2039.0;72744.0;;;;5685.0;28.0;5656.0;152488;30905;77961;87;43535;;19761;5405;141;10710;3505;
183;Verzekeraars;2001;273833;253579;92777;14895;5506.0;8288.0;509.0;240.0;351.0;;77883;72300.0;2216.0;70084.0;;;;5582.0;102.0;5480.0;160801;32042;87850;104;40805;;20254;4923;289;11343;3699;
184;Verzekeraars;2002;261852;238044;81177;15163;5596.0;8585.0;518.0;313.0;151.0;;66014;61574.0;1869.0;59705.0;;;;4440.0;100.0;4340.0;156867;31452;88459;209;36747;;23808;4949;288;12713;5858;
185;Verzekeraars;2003;279045;254686;88228;13857;5190.0;7754.0;481.0;291.0;141.0;;74371;68689.0;1754.0;66935.0;;;;5682.0;241.0;5441.0;166458;28828;101041;50;36539;;24359;5780;295;12391;5893;
186;Verzekeraars;2004;299388;277153;95723;14412;4740.0;7848.0;510.0;227.0;1087.0;;81311;74607.0;1914.0;72693.0;;;;6704.0;943.0;5761.0;181430;25743;124327;490;30870;;22235;4059;15;14125;4036;
187;Verzekeraars;2005;340526;315032;122300;13202;4123.0;6984.0;612.0;154.0;1329.0;;109098;101052.0;2033.0;99019.0;;;;8046.0;960.0;7086.0;192732;25582;137670;2218;27262;;25494;7244;0;13041;5209;
188;Verzekeraars;2006;347653;325233;136742;14217;4576.0;7101.0;645.0;151.0;1744.0;;122525;112148.0;2368.0;109780.0;;;;10377.0;1029.0;9348.0;188491;23542;134744;2008;28197;;22420;3740;1217;11899;5564;
189;Verzekeraars;2007;360441;335166;140639;12719;4690.0;5503.0;660.0;157.0;1709.0;;127920;118939.0;2244.0;116695.0;;;;8981.0;1001.0;7980.0;194527;21222;146680;729;25896;;25275;8593;466;10478;5738;
190;Verzekeraars;2008;353525;312944;108729;12918;4865.0;5517.0;660.0;157.0;1719.0;;95811;89435.0;1643.0;87792.0;;;;6376.0;700.0;5676.0;204215;21447;150039;8267;24462;;40581;14653;1774;14878;9276;
191;Verzekeraars;2009;366549;333086;117285;12960;4873.0;5558.0;650.0;160.0;1719.0;;104325;97995.0;1787.0;96208.0;;;;6330.0;643.0;5687.0;215801;24517;164191;4171;22922;;33463;12119;1567;14746;5031;
192;Verzekeraars;2010;398484;361431;129989;12434;4770.0;5145.0;650.0;160.0;1709.0;;117555;108289.0;2015.0;106274.0;;;;9266.0;630.0;8636.0;231442;29154;172156;6103;24029;;37053;13497;1529;14650;7377;
193;Verzekeraars;2011;424528;381062;126854;11358;4589.0;4250.0;650.0;160.0;1709.0;;115496;106618.0;1995.0;104623.0;;;;8878.0;690.0;8188.0;254208;34369;180397;13962;25480;;43466;15039;1399;17800;9228;
194;Verzekeraars;2012;449150;406632;129769;11105;4441.0;4145.0;650.0;160.0;1709.0;;118664;109122.0;1961.0;107161.0;;;;9542.0;614.0;8928.0;276863;35345;200461;13725;27332;;42518;11178;4230;16777;10333;
195;Beleggingsinstellingen;1950;91;87;86;0;;;;;;;86;85.0;0.0;85.0;;;;1.0;;;1;0;1;0;0;;5;0;0;4;0;
196;Beleggingsinstellingen;1951;125;119;118;0;;;;;;;118;117.0;0.0;117.0;;;;1.0;;;1;0;1;0;0;;6;0;0;5;1;
197;Beleggingsinstellingen;1952;133;127;125;0;;;;;;;125;124.0;0.0;124.0;;;;1.0;;;1;0;1;0;0;;7;0;0;6;1;
198;Beleggingsinstellingen;1953;154;147;145;0;;;;;;;145;144.0;0.0;144.0;;;;1.0;;;1;0;1;0;0;;8;0;0;7;1;
199;Beleggingsinstellingen;1954;209;201;199;0;;;;;;;199;197.0;0.0;197.0;;;;2.0;;;2;0;2;0;0;;8;0;0;7;1;
200;Beleggingsinstellingen;1955;253;241;238;0;;;;;;;238;236.0;0.0;236.0;;;;2.0;;;3;0;3;0;0;;12;0;0;11;1;
201;Beleggingsinstellingen;1956;270;253;250;0;;;;;;;250;248.0;0.0;248.0;;;;2.0;;;3;0;3;0;0;;16;0;0;15;2;
202;Beleggingsinstellingen;1957;257;237;234;0;;;;;;;234;232.0;0.0;232.0;;;;2.0;;;3;0;3;0;0;;20;0;0;18;2;
203;Beleggingsinstellingen;1958;383;360;357;0;;;;;;;357;353.0;0.0;353.0;;;;4.0;;;4;0;4;0;0;;23;0;0;21;2;
204;Beleggingsinstellingen;1959;578;544;538;0;;;;;;;538;532.0;0.0;532.0;;;;5.0;;;6;0;6;0;0;;34;0;0;31;3;
205;Beleggingsinstellingen;1960;684;625;618;1;;;;;;;617;611.0;0.0;611.0;;;;6.0;;;7;0;7;0;0;;59;0;0;53;6;
206;Beleggingsinstellingen;1961;878;832;829;1;;;;;;;828;821.0;0.0;821.0;;;;6.0;;;4;0;4;0;0;;45;0;0;41;5;
207;Beleggingsinstellingen;1962;891;847;843;4;;;;;;;839;832.0;0.0;832.0;;;;7.0;;;5;0;5;0;0;;44;0;0;39;4;
208;Beleggingsinstellingen;1963;1126;1064;1058;5;;;;;;;1052;1052.0;0.0;1052.0;;;;0.0;;;6;1;5;0;0;;63;0;0;56;6;
209;Beleggingsinstellingen;1964;1377;1295;1289;12;;;;;;;1276;1276.0;0.0;1276.0;;;;0.0;;;6;2;5;0;0;;82;0;0;74;8;
210;Beleggingsinstellingen;1965;1462;1350;1343;18;;;;;;;1325;1324.0;0.0;1324.0;;;;1.0;;;7;2;5;0;0;;113;0;0;101;11;
211;Beleggingsinstellingen;1966;1397;1236;1227;25;;;;;;;1202;1200.0;0.0;1200.0;;;;2.0;;;9;2;7;0;0;;162;0;0;145;16;
212;Beleggingsinstellingen;1967;1676;1582;1571;30;;;;;;;1540;1540.0;0.0;1540.0;;;;0.0;;;12;2;10;0;0;;94;0;0;85;9;
213;Beleggingsinstellingen;1968;2374;2238;2194;87;;;;;;;2107;2101.0;0.0;2101.0;;;;6.0;;;43;2;41;0;0;;137;0;0;123;14;
214;Beleggingsinstellingen;1969;2665;2389;2340;100;;;;;;;2240;2235.0;0.0;2235.0;;;;5.0;;;49;2;47;0;0;;276;0;0;249;28;
215;Beleggingsinstellingen;1970;2625;2350;2238;109;;;;;;;2129;2117.0;0.0;2117.0;;;;12.0;;;111;2;109;0;0;;275;0;0;247;27;
216;Beleggingsinstellingen;1971;3082;2936;2857;145;;;;;;;2711;2677.0;0.0;2677.0;;;;34.0;;;79;2;78;0;0;;146;0;0;132;15;
217;Beleggingsinstellingen;1972;4108;3919;3772;247;;;;;;;3525;3487.0;0.0;3487.0;;;;38.0;;;147;2;145;0;0;;189;0;0;170;19;
218;Beleggingsinstellingen;1973;3789;3525;3353;270;;;;;;;3083;3046.0;0.0;3046.0;;;;37.0;;;172;2;170;0;0;;263;0;0;237;26;
219;Beleggingsinstellingen;1974;2969;2860;2666;281;;;;;;;2385;2349.0;0.0;2349.0;;;;35.0;;;194;2;192;0;0;;109;0;0;98;11;
220;Beleggingsinstellingen;1975;4235;4079;3824;351;;;;;;;3473;3432.0;0.0;3432.0;;;;41.0;;;255;2;245;0;8;;155;0;0;140;16;
221;Beleggingsinstellingen;1976;4929;4675;4209;563;;;;;;;3646;3605.0;0.0;3605.0;;;;41.0;;;466;3;444;0;20;;254;0;0;229;25;
222;Beleggingsinstellingen;1977;5508;4996;3899;721;;;;;;;3179;3129.0;0.0;3129.0;;;;49.0;;;1096;3;1047;0;47;;513;0;0;461;51;
223;Beleggingsinstellingen;1978;6140;5595;3991;817;;;;;;;3174;2994.0;0.0;2994.0;;;;180.0;;;1604;3;1529;0;72;;545;0;0;490;54;
224;Beleggingsinstellingen;1979;5999;5405;4384;1216;;;;;;;3168;3052.0;0.0;3052.0;;;;116.0;;;1021;3;933;0;85;;594;0;0;535;59;
225;Beleggingsinstellingen;1980-I;6691;6260;5106;1512;;;;;;;3595;3504.0;0.0;3504.0;;;;91.0;;;1154;3;1057;0;93;;431;0;0;388;43;
226;Beleggingsinstellingen;1980-II;6691;6260;5106;1512;106.0;302.0;0.0;212.0;891.0;;3595;3504.0;2.0;3501.0;;;;91.0;0.0;91.0;1154;3;1057;0;93;;431;0;0;379;52;
227;Beleggingsinstellingen;1981;7297;6715;5503;1703;120.0;340.0;0.0;239.0;1003.0;;3800;3760.0;2.0;3757.0;;;;40.0;0.0;40.0;1212;40;1069;0;103;;582;0;0;512;70;
228;Beleggingsinstellingen;1982;8456;7664;5469;1782;117.0;333.0;0.0;225.0;1107.0;;3687;3658.0;3.0;3656.0;;;;29.0;0.0;29.0;2195;42;2001;0;152;;791;0;0;696;95;
229;Beleggingsinstellingen;1983;11487;10534;7640;2113;108.0;485.0;0.0;187.0;1333.0;;5527;5488.0;3.0;5485.0;;;;39.0;0.0;39.0;2894;90;2560;0;244;;953;5;0;848;100;
230;Beleggingsinstellingen;1984;12946;11603;8310;2495;75.0;557.0;0.0;241.0;1622.0;;5814;5772.0;5.0;5767.0;;;;42.0;0.0;42.0;3293;176;2814;0;303;;1343;6;0;1128;209;
231;Beleggingsinstellingen;1985;14782;13193;9158;2553;98.0;609.0;0.0;233.0;1612.0;;6605;6486.0;5.0;6481.0;;;;118.0;0.0;118.0;4035;310;3398;0;327;;1589;2;0;1338;249;
232;Beleggingsinstellingen;1986;16981;15437;11000;3191;72.0;666.0;0.0;325.0;2128.0;;7809;7685.0;5.0;7680.0;;;;124.0;0.0;124.0;4437;201;3865;0;371;;1544;6;0;1229;309;
233;Beleggingsinstellingen;1987;18105;15621;11327;4221;86.0;977.0;0.0;466.0;2691.0;;7106;7002.0;123.0;6879.0;;;;104.0;0.0;104.0;4294;134;3665;0;495;;2484;5;0;2263;216;
234;Beleggingsinstellingen;1988;24059;20099;14645;5515;73.0;1189.0;0.0;606.0;3647.0;;9130;8990.0;252.0;8738.0;;;;140.0;0.0;140.0;5454;100;4795;0;559;;3959;45;0;3616;298;
235;Beleggingsinstellingen;1989;28136;25092;17784;6568;129.0;932.0;0.0;533.0;4974.0;;11216;11152.0;300.0;10852.0;;;;64.0;0.0;64.0;7308;81;6622;0;605;;3044;88;0;2441;515;
236;Beleggingsinstellingen;1990;24605;22388;15954;7002;191.0;935.0;0.0;664.0;5212.0;;8952;8925.0;239.0;8685.0;;;;28.0;0.0;28.0;6434;37;5890;-20;527;;2217;85;0;1616;516;
237;Beleggingsinstellingen;1991-I;27073;24673;16513;6841;196.0;936.0;0.0;669.0;5040.0;;9672;9472.0;203.0;9269.0;;;;200.0;0.0;200.0;8160;22;7519;-10;629;;2400;49;0;1809;542;
238;Beleggingsinstellingen;1991-II;26326;24088;17617;7267;75.0;2808.0;0.0;63.0;4321.0;;10349;10349.0;673.0;9676.0;;;;0.0;0.0;0.0;6471;0;5794;-10;687;;2238;0;0;1796;442;
239;Beleggingsinstellingen;1992;30055;25625;16516;6623;85.0;2774.0;0.0;67.0;3698.0;;9893;9893.0;648.0;9245.0;;;;0.0;0.0;0.0;9109;68;8313;-16;744;;4431;0;123;3359;949;
240;Beleggingsinstellingen;1993;42986;35204;21845;7302;88.0;3386.0;0.0;92.0;3737.0;;14543;14543.0;481.0;14062.0;;;;0.0;0.0;0.0;13359;96;12448;7;809;;7782;0;647;5423;1712;
241;Beleggingsinstellingen;1994;43373;34511;22759;8233;107.0;3738.0;0.0;84.0;4304.0;;14526;14526.0;485.0;14041.0;;;;0.0;0.0;0.0;11753;83;10689;45;935;;8861;0;830;6084;1948;
242;Beleggingsinstellingen;1995;45840;36655;24275;8892;113.0;4000.0;0.0;82.0;4697.0;;15383;15383.0;533.0;14850.0;;;;0.0;0.0;0.0;12381;78;10996;57;1250;;9185;0;1322;5583;2279;
243;Beleggingsinstellingen;1996;49802;42238;28953;10651;120.0;4135.0;0.0;86.0;6309.0;;18302;18302.0;507.0;17795.0;;;;0.0;0.0;0.0;13285;95;11469;470;1251;;7564;0;1044;5271;1249;
244;Beleggingsinstellingen;1997;59628;51718;36500;12913;120.0;4197.0;10.0;309.0;8277.0;;23587;23587.0;1940.0;21647.0;;;;0.0;0.0;0.0;15218;211;11817;1994;1196;;7910;0;1036;5326;1549;
245;Beleggingsinstellingen;1998;63618;60523;44081;15018;135.0;4799.0;11.0;322.0;9751.0;;29063;29063.0;2321.0;26742.0;;;;0.0;0.0;0.0;16442;344;11950;3247;901;;3095;0;556;1609;930;
246;Beleggingsinstellingen;1999;86746;80989;65038;18001;142.0;5234.0;7.0;752.0;11865.0;;47037;47037.0;3328.0;43709.0;;;;0.0;0.0;0.0;15951;308;10659;4027;956;;5757;0;638;3186;1933;
247;Beleggingsinstellingen;2000;102040;96952;81284;28750;295.0;9293.0;10.0;1087.0;18065.0;;52534;52534.0;3368.0;49166.0;;;;0.0;0.0;0.0;15668;320;10665;3777;906;;5088;0;276;2002;2809;
248;Beleggingsinstellingen;2001;99242;95462;75097;31104;319.0;9226.0;0.0;1395.0;20164.0;;43993;43993.0;2700.0;41293.0;;;;0.0;0.0;0.0;20365;368;12963;3419;3615;;3780;0;549;1872;1359;
249;Beleggingsinstellingen;2002;81041;77656;55579;23120;183.0;7969.0;0.0;1006.0;13962.0;;32459;32459.0;1900.0;30559.0;;;;0.0;0.0;0.0;22077;337;14290;2477;4973;;3385;0;566;1602;1217;
250;Beleggingsinstellingen;2003;87544;83375;59148;23200;172.0;7995.0;0.0;986.0;14047.0;;35948;35948.0;2038.0;33910.0;;;;0.0;0.0;0.0;24227;303;16911;1867;5146;;4169;0;579;1826;1764;
251;Beleggingsinstellingen;2004;86450;83094;58031;21726;937.0;8285.0;0.0;912.0;11592.0;;36305;36305.0;2389.0;33916.0;;;;0.0;0.0;0.0;25063;107;18106;1889;4961;;3356;0;431;1556;1369;
252;Beleggingsinstellingen;2005;93505;90479;65543;24493;955.0;8743.0;0.0;550.0;14245.0;;41050;41050.0;2676.0;38374.0;;;;0.0;0.0;0.0;24936;223;16099;1527;7087;;3026;0;121;1428;1477;
253;Beleggingsinstellingen;2006;98762;96422;74244;27250;915.0;9100.0;0.0;550.0;16685.0;;46994;46994.0;3464.0;43530.0;;;;0.0;0.0;0.0;22178;262;14375;469;7072;;2340;0;94;1053;1193;
254;Beleggingsinstellingen;2007;89872;87214;66534;19029;1181.0;5686.0;0.0;441.0;11721.0;;47505;47505.0;2164.0;45341.0;;;;0.0;0.0;0.0;20680;209;12343;642;7486;;2658;0;39;532;2087;
255;Beleggingsinstellingen;2008;67655;64816;44478;18593;839.0;5432.0;0.0;290.0;12032.0;;25885;25286.0;2807.0;22479.0;;;;599.0;0.0;599.0;20338;198;12134;1506;6500;;2839;250;127;582;1880;
256;Beleggingsinstellingen;2009;321246;284221;175645;17686;813.0;4840.0;0.0;295.0;11738.0;;157959;157011.0;20200.0;136811.0;;;;948.0;0.0;948.0;108576;189;101959;-907;7335;;37025;21713;560;1725;13027;
257;Beleggingsinstellingen;2010;353800;333070;221174;24018;3526.0;5984.0;0.0;279.0;14229.0;;197156;196080.0;23618.0;172462.0;;;;1076.0;0.0;1076.0;111896;173;101509;-755;10969;;20730;10967;707;2398;6658;
258;Beleggingsinstellingen;2011;369218;345225;226999;24784;3033.0;7612.0;0.0;199.0;13940.0;;202215;201244.0;35743.0;165501.0;;;;971.0;0.0;971.0;118226;154;114466;-436;4042;;23993;16815;977;1716;4485;
