ID;TransportModes;GoodsClassificationSITC;CaribbeanNetherlands;Periods;TotalImportsAndExports_1;Imports_2;Exports_3
329;Maritime transport;1 Beverages and tobacco;St. Eustatius;2018;1070;1070;0
330;Maritime transport;1 Beverages and tobacco;Saba;2013;100;100;0
331;Maritime transport;1 Beverages and tobacco;Saba;2014;90;90;0
332;Maritime transport;1 Beverages and tobacco;Saba;2015;70;70;0
333;Maritime transport;1 Beverages and tobacco;Saba;2016;80;80;0
334;Maritime transport;1 Beverages and tobacco;Saba;2017;100;100;0
335;Maritime transport;1 Beverages and tobacco;Saba;2018;130;130;0
336;Maritime transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2013;143000;28000;115000
337;Maritime transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2014;145000;44000;101000
338;Maritime transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2015;136000;53000;83000
339;Maritime transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2016;86150;62750;23400
340;Maritime transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2017;220000;86600;133300
341;Maritime transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2018;191920;129000;62920
342;Maritime transport;2 Crude materials, inedible, except f...;Bonaire;2013;143000;28000;115000
343;Maritime transport;2 Crude materials, inedible, except f...;Bonaire;2014;145000;44000;101000
344;Maritime transport;2 Crude materials, inedible, except f...;Bonaire;2015;136000;53000;83000
345;Maritime transport;2 Crude materials, inedible, except f...;Bonaire;2016;86100;62700;23400
346;Maritime transport;2 Crude materials, inedible, except f...;Bonaire;2017;219900;86600;133300
347;Maritime transport;2 Crude materials, inedible, except f...;Bonaire;2018;191900;129000;62900
348;Maritime transport;2 Crude materials, inedible, except f...;St. Eustatius;2013;0;0;0
349;Maritime transport;2 Crude materials, inedible, except f...;St. Eustatius;2014;0;0;0
350;Maritime transport;2 Crude materials, inedible, except f...;St. Eustatius;2015;0;0;0
351;Maritime transport;2 Crude materials, inedible, except f...;St. Eustatius;2016;50;50;0
352;Maritime transport;2 Crude materials, inedible, except f...;St. Eustatius;2017;0;0;0
353;Maritime transport;2 Crude materials, inedible, except f...;St. Eustatius;2018;40;40;0
354;Maritime transport;2 Crude materials, inedible, except f...;Saba;2013;0;0;0
355;Maritime transport;2 Crude materials, inedible, except f...;Saba;2014;0;0;0
356;Maritime transport;2 Crude materials, inedible, except f...;Saba;2015;0;0;0
357;Maritime transport;2 Crude materials, inedible, except f...;Saba;2016;0;0;0
358;Maritime transport;2 Crude materials, inedible, except f...;Saba;2017;0;0;0
359;Maritime transport;2 Crude materials, inedible, except f...;Saba;2018;10;10;0
360;Maritime transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2013;10840;10840;0
361;Maritime transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2014;11760;11760;0
362;Maritime transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2015;32080;32070;0
363;Maritime transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2016;24290;24260;30
364;Maritime transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2017;31340;31320;30
365;Maritime transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2018;8020;8020;0
366;Maritime transport;3 Mineral fuels, lubricants and relat...;Bonaire;2013;9170;9170;0
367;Maritime transport;3 Mineral fuels, lubricants and relat...;Bonaire;2014;9180;9180;0
368;Maritime transport;3 Mineral fuels, lubricants and relat...;Bonaire;2015;28010;28000;0
369;Maritime transport;3 Mineral fuels, lubricants and relat...;Bonaire;2016;21830;21800;30
370;Maritime transport;3 Mineral fuels, lubricants and relat...;Bonaire;2017;28860;28840;30
371;Maritime transport;3 Mineral fuels, lubricants and relat...;Bonaire;2018;5470;5470;0
372;Maritime transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2013;1250;1250;0
373;Maritime transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2014;1300;1300;0
374;Maritime transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2015;1580;1580;0
375;Maritime transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2016;1430;1430;0
376;Maritime transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2017;1580;1580;0
377;Maritime transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2018;1590;1590;0
378;Maritime transport;3 Mineral fuels, lubricants and relat...;Saba;2013;420;420;0
379;Maritime transport;3 Mineral fuels, lubricants and relat...;Saba;2014;1280;1280;0
380;Maritime transport;3 Mineral fuels, lubricants and relat...;Saba;2015;2490;2490;0
381;Maritime transport;3 Mineral fuels, lubricants and relat...;Saba;2016;1030;1030;0
382;Maritime transport;3 Mineral fuels, lubricants and relat...;Saba;2017;910;910;0
383;Maritime transport;3 Mineral fuels, lubricants and relat...;Saba;2018;970;970;0
384;Maritime transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2013;200;180;20
385;Maritime transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2014;330;330;0
386;Maritime transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2015;290;290;0
387;Maritime transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2016;1000;950;50
388;Maritime transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2017;270;250;20
389;Maritime transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2018;410;350;70
390;Maritime transport;4 Animal and vegetable oils, fats and...;Bonaire;2013;200;180;20
391;Maritime transport;4 Animal and vegetable oils, fats and...;Bonaire;2014;330;330;0
392;Maritime transport;4 Animal and vegetable oils, fats and...;Bonaire;2015;290;290;0
393;Maritime transport;4 Animal and vegetable oils, fats and...;Bonaire;2016;1000;950;50
394;Maritime transport;4 Animal and vegetable oils, fats and...;Bonaire;2017;270;250;20
395;Maritime transport;4 Animal and vegetable oils, fats and...;Bonaire;2018;410;340;70
396;Maritime transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2013;0;0;0
397;Maritime transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2014;0;0;0
398;Maritime transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2015;0;0;0
399;Maritime transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2016;0;0;0
400;Maritime transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2017;0;0;0
401;Maritime transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2018;10;10;0
402;Maritime transport;4 Animal and vegetable oils, fats and...;Saba;2013;0;0;0
403;Maritime transport;4 Animal and vegetable oils, fats and...;Saba;2014;0;0;0
404;Maritime transport;4 Animal and vegetable oils, fats and...;Saba;2015;0;0;0
405;Maritime transport;4 Animal and vegetable oils, fats and...;Saba;2016;0;0;0
406;Maritime transport;4 Animal and vegetable oils, fats and...;Saba;2017;0;0;0
407;Maritime transport;4 Animal and vegetable oils, fats and...;Saba;2018;0;0;0
408;Maritime transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2013;2030;2030;0
409;Maritime transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2014;2240;2230;10
410;Maritime transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2015;3220;3170;40
411;Maritime transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2016;3170;3140;30
412;Maritime transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2017;6310;6290;20
413;Maritime transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2018;4020;3950;70
414;Maritime transport;5 Chemicals and related products, n.e.s.;Bonaire;2013;1980;1980;0
415;Maritime transport;5 Chemicals and related products, n.e.s.;Bonaire;2014;2180;2170;10
416;Maritime transport;5 Chemicals and related products, n.e.s.;Bonaire;2015;3160;3110;40
417;Maritime transport;5 Chemicals and related products, n.e.s.;Bonaire;2016;3090;3060;30
418;Maritime transport;5 Chemicals and related products, n.e.s.;Bonaire;2017;5960;5940;20
419;Maritime transport;5 Chemicals and related products, n.e.s.;Bonaire;2018;3460;3400;70
420;Maritime transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2013;50;50;0
421;Maritime transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2014;60;60;0
422;Maritime transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2015;60;60;0
423;Maritime transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2016;80;80;0
424;Maritime transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2017;350;350;0
425;Maritime transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2018;550;540;10
426;Maritime transport;5 Chemicals and related products, n.e.s.;Saba;2013;0;0;0
427;Maritime transport;5 Chemicals and related products, n.e.s.;Saba;2014;0;0;0
428;Maritime transport;5 Chemicals and related products, n.e.s.;Saba;2015;0;0;0
429;Maritime transport;5 Chemicals and related products, n.e.s.;Saba;2016;0;0;0
430;Maritime transport;5 Chemicals and related products, n.e.s.;Saba;2017;10;10;0
431;Maritime transport;5 Chemicals and related products, n.e.s.;Saba;2018;10;10;0
432;Maritime transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2013;19130;18450;690
433;Maritime transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2014;16140;15990;150
434;Maritime transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2015;24970;24570;400
435;Maritime transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2016;30340;29310;1030
436;Maritime transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2017;24320;23180;1140
437;Maritime transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2018;37670;36380;1300
438;Maritime transport;6 Manufactured goods classified chief...;Bonaire;2013;19120;18440;690
439;Maritime transport;6 Manufactured goods classified chief...;Bonaire;2014;16130;15980;150
440;Maritime transport;6 Manufactured goods classified chief...;Bonaire;2015;24940;24540;400
441;Maritime transport;6 Manufactured goods classified chief...;Bonaire;2016;30300;29270;1030
442;Maritime transport;6 Manufactured goods classified chief...;Bonaire;2017;23920;22780;1140
443;Maritime transport;6 Manufactured goods classified chief...;Bonaire;2018;35910;34620;1300
444;Maritime transport;6 Manufactured goods classified chief...;St. Eustatius;2013;0;0;0
445;Maritime transport;6 Manufactured goods classified chief...;St. Eustatius;2014;10;10;0
446;Maritime transport;6 Manufactured goods classified chief...;St. Eustatius;2015;10;10;0
447;Maritime transport;6 Manufactured goods classified chief...;St. Eustatius;2016;30;30;0
448;Maritime transport;6 Manufactured goods classified chief...;St. Eustatius;2017;400;400;0
449;Maritime transport;6 Manufactured goods classified chief...;St. Eustatius;2018;1750;1750;0
450;Maritime transport;6 Manufactured goods classified chief...;Saba;2013;10;10;0
451;Maritime transport;6 Manufactured goods classified chief...;Saba;2014;0;0;0
452;Maritime transport;6 Manufactured goods classified chief...;Saba;2015;20;20;0
453;Maritime transport;6 Manufactured goods classified chief...;Saba;2016;10;10;0
454;Maritime transport;6 Manufactured goods classified chief...;Saba;2017;10;0;0
455;Maritime transport;6 Manufactured goods classified chief...;Saba;2018;10;10;0
456;Maritime transport;7 Machinery and transport equipment;Caribbean Netherlands;2013;6050;5510;550
457;Maritime transport;7 Machinery and transport equipment;Caribbean Netherlands;2014;4430;4060;370
458;Maritime transport;7 Machinery and transport equipment;Caribbean Netherlands;2015;6270;5870;400
459;Maritime transport;7 Machinery and transport equipment;Caribbean Netherlands;2016;9310;9000;310
460;Maritime transport;7 Machinery and transport equipment;Caribbean Netherlands;2017;8570;8250;320
461;Maritime transport;7 Machinery and transport equipment;Caribbean Netherlands;2018;8130;7870;260
462;Maritime transport;7 Machinery and transport equipment;Bonaire;2013;5330;4810;520
463;Maritime transport;7 Machinery and transport equipment;Bonaire;2014;3910;3550;360
464;Maritime transport;7 Machinery and transport equipment;Bonaire;2015;5740;5350;390
465;Maritime transport;7 Machinery and transport equipment;Bonaire;2016;8980;8690;290
466;Maritime transport;7 Machinery and transport equipment;Bonaire;2017;7870;7560;300
467;Maritime transport;7 Machinery and transport equipment;Bonaire;2018;6960;6710;250
468;Maritime transport;7 Machinery and transport equipment;St. Eustatius;2013;610;600;10
469;Maritime transport;7 Machinery and transport equipment;St. Eustatius;2014;140;140;0
470;Maritime transport;7 Machinery and transport equipment;St. Eustatius;2015;270;270;0
471;Maritime transport;7 Machinery and transport equipment;St. Eustatius;2016;160;160;0
472;Maritime transport;7 Machinery and transport equipment;St. Eustatius;2017;420;420;10
473;Maritime transport;7 Machinery and transport equipment;St. Eustatius;2018;910;890;10
474;Maritime transport;7 Machinery and transport equipment;Saba;2013;110;100;20
475;Maritime transport;7 Machinery and transport equipment;Saba;2014;380;370;10
476;Maritime transport;7 Machinery and transport equipment;Saba;2015;260;250;10
477;Maritime transport;7 Machinery and transport equipment;Saba;2016;170;150;20
478;Maritime transport;7 Machinery and transport equipment;Saba;2017;280;270;10
479;Maritime transport;7 Machinery and transport equipment;Saba;2018;270;260;0
480;Maritime transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2013;1790;1770;30
481;Maritime transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2014;2080;2050;30
482;Maritime transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2015;2300;2250;50
483;Maritime transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2016;3060;3050;10
484;Maritime transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2017;3060;3040;20
485;Maritime transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2018;2850;2810;30
486;Maritime transport;8 Miscellaneous manufactured articles;Bonaire;2013;1790;1770;30
487;Maritime transport;8 Miscellaneous manufactured articles;Bonaire;2014;2080;2050;30
488;Maritime transport;8 Miscellaneous manufactured articles;Bonaire;2015;2270;2220;50
489;Maritime transport;8 Miscellaneous manufactured articles;Bonaire;2016;3050;3040;10
490;Maritime transport;8 Miscellaneous manufactured articles;Bonaire;2017;2990;2970;20
491;Maritime transport;8 Miscellaneous manufactured articles;Bonaire;2018;2740;2710;30
492;Maritime transport;8 Miscellaneous manufactured articles;St. Eustatius;2013;0;0;0
493;Maritime transport;8 Miscellaneous manufactured articles;St. Eustatius;2014;0;0;0
494;Maritime transport;8 Miscellaneous manufactured articles;St. Eustatius;2015;0;0;0
495;Maritime transport;8 Miscellaneous manufactured articles;St. Eustatius;2016;0;0;0
496;Maritime transport;8 Miscellaneous manufactured articles;St. Eustatius;2017;70;70;0
497;Maritime transport;8 Miscellaneous manufactured articles;St. Eustatius;2018;110;110;0
498;Maritime transport;8 Miscellaneous manufactured articles;Saba;2013;0;0;0
499;Maritime transport;8 Miscellaneous manufactured articles;Saba;2014;0;0;0
500;Maritime transport;8 Miscellaneous manufactured articles;Saba;2015;30;30;0
501;Maritime transport;8 Miscellaneous manufactured articles;Saba;2016;10;10;0
502;Maritime transport;8 Miscellaneous manufactured articles;Saba;2017;0;0;0
503;Maritime transport;8 Miscellaneous manufactured articles;Saba;2018;0;0;0
504;Maritime transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2013;20050;19150;900
505;Maritime transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2014;20080;19720;360
506;Maritime transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2015;17890;17610;270
507;Maritime transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2016;10400;10090;310
508;Maritime transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2017;19930;19340;580
509;Maritime transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2018;12960;12040;920
510;Maritime transport;9 Commodities and transactions not cl...;Bonaire;2013;1790;1730;60
511;Maritime transport;9 Commodities and transactions not cl...;Bonaire;2014;6670;6510;160
512;Maritime transport;9 Commodities and transactions not cl...;Bonaire;2015;150;40;110
513;Maritime transport;9 Commodities and transactions not cl...;Bonaire;2016;260;60;200
514;Maritime transport;9 Commodities and transactions not cl...;Bonaire;2017;260;120;150
515;Maritime transport;9 Commodities and transactions not cl...;Bonaire;2018;170;0;170
516;Maritime transport;9 Commodities and transactions not cl...;St. Eustatius;2013;13500;12660;840
517;Maritime transport;9 Commodities and transactions not cl...;St. Eustatius;2014;9570;9380;190
518;Maritime transport;9 Commodities and transactions not cl...;St. Eustatius;2015;13230;13100;130
519;Maritime transport;9 Commodities and transactions not cl...;St. Eustatius;2016;7740;7650;90
520;Maritime transport;9 Commodities and transactions not cl...;St. Eustatius;2017;15840;15460;380
521;Maritime transport;9 Commodities and transactions not cl...;St. Eustatius;2018;8720;8090;630
522;Maritime transport;9 Commodities and transactions not cl...;Saba;2013;4760;4760;0
523;Maritime transport;9 Commodities and transactions not cl...;Saba;2014;3840;3830;10
524;Maritime transport;9 Commodities and transactions not cl...;Saba;2015;4510;4470;30
525;Maritime transport;9 Commodities and transactions not cl...;Saba;2016;2400;2380;20
526;Maritime transport;9 Commodities and transactions not cl...;Saba;2017;3820;3770;60
527;Maritime transport;9 Commodities and transactions not cl...;Saba;2018;4070;3950;120
528;Air transport;Total goods;Caribbean Netherlands;2013;580;550;30
529;Air transport;Total goods;Caribbean Netherlands;2014;510;490;20
530;Air transport;Total goods;Caribbean Netherlands;2015;520;510;20
531;Air transport;Total goods;Caribbean Netherlands;2016;560;560;0
532;Air transport;Total goods;Caribbean Netherlands;2017;590;580;20
533;Air transport;Total goods;Caribbean Netherlands;2018;810;800;10
534;Air transport;Total goods;Bonaire;2013;500;480;30
535;Air transport;Total goods;Bonaire;2014;450;430;20
536;Air transport;Total goods;Bonaire;2015;440;430;20
537;Air transport;Total goods;Bonaire;2016;510;510;0
538;Air transport;Total goods;Bonaire;2017;560;540;10
539;Air transport;Total goods;Bonaire;2018;760;760;10
540;Air transport;Total goods;St. Eustatius;2013;40;30;0
541;Air transport;Total goods;St. Eustatius;2014;40;40;0
542;Air transport;Total goods;St. Eustatius;2015;70;70;0
543;Air transport;Total goods;St. Eustatius;2016;40;40;0
544;Air transport;Total goods;St. Eustatius;2017;30;30;0
545;Air transport;Total goods;St. Eustatius;2018;30;30;0
546;Air transport;Total goods;Saba;2013;40;40;0
547;Air transport;Total goods;Saba;2014;20;20;0
548;Air transport;Total goods;Saba;2015;10;10;0
549;Air transport;Total goods;Saba;2016;10;10;0
550;Air transport;Total goods;Saba;2017;10;10;0
551;Air transport;Total goods;Saba;2018;10;10;0
552;Air transport;0 Food and live animals;Caribbean Netherlands;2013;120;120;0
553;Air transport;0 Food and live animals;Caribbean Netherlands;2014;160;160;0
554;Air transport;0 Food and live animals;Caribbean Netherlands;2015;150;150;0
555;Air transport;0 Food and live animals;Caribbean Netherlands;2016;180;180;0
556;Air transport;0 Food and live animals;Caribbean Netherlands;2017;220;220;0
557;Air transport;0 Food and live animals;Caribbean Netherlands;2018;390;390;0
558;Air transport;0 Food and live animals;Bonaire;2013;120;120;0
559;Air transport;0 Food and live animals;Bonaire;2014;160;160;0
560;Air transport;0 Food and live animals;Bonaire;2015;150;150;0
561;Air transport;0 Food and live animals;Bonaire;2016;180;180;0
562;Air transport;0 Food and live animals;Bonaire;2017;220;220;0
563;Air transport;0 Food and live animals;Bonaire;2018;390;390;0
564;Air transport;0 Food and live animals;St. Eustatius;2013;0;0;0
565;Air transport;0 Food and live animals;St. Eustatius;2014;0;0;0
566;Air transport;0 Food and live animals;St. Eustatius;2015;0;0;0
567;Air transport;0 Food and live animals;St. Eustatius;2016;0;0;0
568;Air transport;0 Food and live animals;St. Eustatius;2017;0;0;0
569;Air transport;0 Food and live animals;St. Eustatius;2018;0;0;0
570;Air transport;0 Food and live animals;Saba;2013;0;0;0
571;Air transport;0 Food and live animals;Saba;2014;0;0;0
572;Air transport;0 Food and live animals;Saba;2015;0;0;0
573;Air transport;0 Food and live animals;Saba;2016;0;0;0
574;Air transport;0 Food and live animals;Saba;2017;0;0;0
575;Air transport;0 Food and live animals;Saba;2018;0;0;0
576;Air transport;1 Beverages and tobacco;Caribbean Netherlands;2013;10;10;0
577;Air transport;1 Beverages and tobacco;Caribbean Netherlands;2014;0;0;0
578;Air transport;1 Beverages and tobacco;Caribbean Netherlands;2015;0;0;0
579;Air transport;1 Beverages and tobacco;Caribbean Netherlands;2016;10;10;0
580;Air transport;1 Beverages and tobacco;Caribbean Netherlands;2017;10;10;0
581;Air transport;1 Beverages and tobacco;Caribbean Netherlands;2018;10;10;0
582;Air transport;1 Beverages and tobacco;Bonaire;2013;10;10;0
583;Air transport;1 Beverages and tobacco;Bonaire;2014;0;0;0
584;Air transport;1 Beverages and tobacco;Bonaire;2015;0;0;0
585;Air transport;1 Beverages and tobacco;Bonaire;2016;10;10;0
586;Air transport;1 Beverages and tobacco;Bonaire;2017;10;10;0
587;Air transport;1 Beverages and tobacco;Bonaire;2018;10;10;0
588;Air transport;1 Beverages and tobacco;St. Eustatius;2013;0;0;0
589;Air transport;1 Beverages and tobacco;St. Eustatius;2014;0;0;0
590;Air transport;1 Beverages and tobacco;St. Eustatius;2015;0;0;0
591;Air transport;1 Beverages and tobacco;St. Eustatius;2016;0;0;0
592;Air transport;1 Beverages and tobacco;St. Eustatius;2017;0;0;0
593;Air transport;1 Beverages and tobacco;St. Eustatius;2018;0;0;0
594;Air transport;1 Beverages and tobacco;Saba;2013;0;0;0
595;Air transport;1 Beverages and tobacco;Saba;2014;0;0;0
596;Air transport;1 Beverages and tobacco;Saba;2015;0;0;0
597;Air transport;1 Beverages and tobacco;Saba;2016;0;0;0
598;Air transport;1 Beverages and tobacco;Saba;2017;0;0;0
599;Air transport;1 Beverages and tobacco;Saba;2018;0;0;0
600;Air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2013;10;10;0
601;Air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2014;10;10;0
602;Air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2015;20;20;0
603;Air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2016;30;30;0
604;Air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2017;0;0;0
605;Air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2018;20;20;0
606;Air transport;2 Crude materials, inedible, except f...;Bonaire;2013;10;10;0
607;Air transport;2 Crude materials, inedible, except f...;Bonaire;2014;10;10;0
608;Air transport;2 Crude materials, inedible, except f...;Bonaire;2015;20;20;0
609;Air transport;2 Crude materials, inedible, except f...;Bonaire;2016;30;30;0
610;Air transport;2 Crude materials, inedible, except f...;Bonaire;2017;0;0;0
611;Air transport;2 Crude materials, inedible, except f...;Bonaire;2018;20;20;0
612;Air transport;2 Crude materials, inedible, except f...;St. Eustatius;2013;0;0;0
613;Air transport;2 Crude materials, inedible, except f...;St. Eustatius;2014;0;0;0
614;Air transport;2 Crude materials, inedible, except f...;St. Eustatius;2015;0;0;0
615;Air transport;2 Crude materials, inedible, except f...;St. Eustatius;2016;0;0;0
616;Air transport;2 Crude materials, inedible, except f...;St. Eustatius;2017;0;0;0
617;Air transport;2 Crude materials, inedible, except f...;St. Eustatius;2018;0;0;0
618;Air transport;2 Crude materials, inedible, except f...;Saba;2013;0;0;0
619;Air transport;2 Crude materials, inedible, except f...;Saba;2014;0;0;0
620;Air transport;2 Crude materials, inedible, except f...;Saba;2015;0;0;0
621;Air transport;2 Crude materials, inedible, except f...;Saba;2016;0;0;0
622;Air transport;2 Crude materials, inedible, except f...;Saba;2017;0;0;0
623;Air transport;2 Crude materials, inedible, except f...;Saba;2018;0;0;0
624;Air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2013;0;0;0
625;Air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2014;10;10;0
626;Air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2015;0;0;0
627;Air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2016;0;0;0
628;Air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2017;0;0;0
629;Air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2018;0;0;0
630;Air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2013;0;0;0
631;Air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2014;10;10;0
632;Air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2015;0;0;0
633;Air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2016;0;0;0
634;Air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2017;0;0;0
635;Air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2018;0;0;0
636;Air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2013;0;0;0
637;Air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2014;0;0;0
638;Air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2015;0;0;0
639;Air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2016;0;0;0
640;Air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2017;0;0;0
641;Air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2018;0;0;0
642;Air transport;3 Mineral fuels, lubricants and relat...;Saba;2013;0;0;0
643;Air transport;3 Mineral fuels, lubricants and relat...;Saba;2014;0;0;0
644;Air transport;3 Mineral fuels, lubricants and relat...;Saba;2015;0;0;0
645;Air transport;3 Mineral fuels, lubricants and relat...;Saba;2016;0;0;0
646;Air transport;3 Mineral fuels, lubricants and relat...;Saba;2017;0;0;0
647;Air transport;3 Mineral fuels, lubricants and relat...;Saba;2018;0;0;0
648;Air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2013;0;0;0
649;Air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2014;0;0;0
650;Air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2015;0;0;0
651;Air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2016;0;0;0
652;Air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2017;0;0;0
653;Air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2018;0;0;0
654;Air transport;4 Animal and vegetable oils, fats and...;Bonaire;2013;0;0;0
655;Air transport;4 Animal and vegetable oils, fats and...;Bonaire;2014;0;0;0
656;Air transport;4 Animal and vegetable oils, fats and...;Bonaire;2015;0;0;0
657;Air transport;4 Animal and vegetable oils, fats and...;Bonaire;2016;0;0;0
658;Air transport;4 Animal and vegetable oils, fats and...;Bonaire;2017;0;0;0
659;Air transport;4 Animal and vegetable oils, fats and...;Bonaire;2018;0;0;0
660;Air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2013;0;0;0
661;Air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2014;0;0;0
662;Air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2015;0;0;0
663;Air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2016;0;0;0
664;Air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2017;0;0;0
665;Air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2018;0;0;0
666;Air transport;4 Animal and vegetable oils, fats and...;Saba;2013;0;0;0
667;Air transport;4 Animal and vegetable oils, fats and...;Saba;2014;0;0;0
668;Air transport;4 Animal and vegetable oils, fats and...;Saba;2015;0;0;0
669;Air transport;4 Animal and vegetable oils, fats and...;Saba;2016;0;0;0
670;Air transport;4 Animal and vegetable oils, fats and...;Saba;2017;0;0;0
671;Air transport;4 Animal and vegetable oils, fats and...;Saba;2018;0;0;0
672;Air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2013;60;60;0
673;Air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2014;40;40;0
674;Air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2015;50;50;0
675;Air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2016;50;50;0
676;Air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2017;50;50;0
