ID;AangebodenDiensten;SoortCijfers;Perioden;TotaalAanbod_1;TotaalBedrijven_2;TotaalHorecabedrijven_3;Accommodatiebedrijven_4;RestaurantsEnCafes_5;TotaalVervoersbedrijven_6;Vervoersbedrijven_7;ReisbureausED_8;TotaalCultuurSportEnRecreatie_9;CultureleInstellingen_10;OverigeRecreatiebedrijven_11;OverigeBedrijven_12;AanbodViaInvoer_13;AanbodViaProductgebBelEnSubs_14;AanbodViaHandelsVervoersmarges_15
117;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2008;6497;7083;0;0;0;7072;6041;1031;0;0;0;11;0;-591;0
118;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2009;6138;6721;0;0;0;6710;5746;964;0;0;0;11;0;-599;0
119;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2010;6236;6816;0;0;0;6804;5825;979;0;0;0;12;0;-593;0
120;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2011;6432;7015;0;0;0;7002;5992;1010;0;0;0;13;0;-597;0
121;Totaal aanbod vervoersdiensten;Lopende prijzen;2001;5058;5564;0;0;0;5550;4706;844;0;0;0;14;0;-506;0
122;Totaal aanbod vervoersdiensten;Lopende prijzen;2002;5327;5880;0;0;0;5867;4978;889;0;0;0;13;0;-553;0
123;Totaal aanbod vervoersdiensten;Lopende prijzen;2003;5222;5822;0;0;0;5811;4866;945;0;0;0;11;0;-600;0
124;Totaal aanbod vervoersdiensten;Lopende prijzen;2004;5454;6021;0;0;0;6010;5053;957;0;0;0;11;0;-567;0
125;Totaal aanbod vervoersdiensten;Lopende prijzen;2005;5790;6355;0;0;0;6344;5382;962;0;0;0;11;0;-565;0
126;Totaal aanbod vervoersdiensten;Lopende prijzen;2006;6132;6710;0;0;0;6699;5719;980;0;0;0;11;0;-578;0
127;Totaal aanbod vervoersdiensten;Lopende prijzen;2007;6460;7058;0;0;0;7047;5995;1052;0;0;0;11;0;-598;0
128;Totaal aanbod vervoersdiensten;Lopende prijzen;2008;6992;7426;0;0;0;7415;6313;1102;0;0;0;11;0;-434;0
129;Totaal aanbod vervoersdiensten;Lopende prijzen;2009;6242;6712;0;0;0;6701;5622;1079;0;0;0;11;0;-470;0
130;Totaal aanbod vervoersdiensten;Lopende prijzen;2010;6342;6948;0;0;0;6937;5840;1097;0;0;0;11;0;-606;0
131;Totaal aanbod vervoersdiensten;Lopende prijzen;2011;6665;7259;0;0;0;7247;6094;1153;0;0;0;12;0;-594;0
132;Aanbod passagiersvervoer;Prijsniveau 2005;2001;4456;5031;0;0;0;5031;5031;0;0;0;0;0;0;-579;0
133;Aanbod passagiersvervoer;Prijsniveau 2005;2002;4477;5048;0;0;0;5048;5048;0;0;0;0;0;0;-574;0
134;Aanbod passagiersvervoer;Prijsniveau 2005;2003;4397;4974;0;0;0;4974;4974;0;0;0;0;0;0;-581;0
135;Aanbod passagiersvervoer;Prijsniveau 2005;2004;4610;5178;0;0;0;5178;5178;0;0;0;0;0;0;-570;0
136;Aanbod passagiersvervoer;Prijsniveau 2005;2005;4809;5374;0;0;0;5374;5374;0;0;0;0;0;0;-565;0
137;Aanbod passagiersvervoer;Prijsniveau 2005;2006;4977;5565;0;0;0;5565;5565;0;0;0;0;0;0;-588;0
138;Aanbod passagiersvervoer;Prijsniveau 2005;2007;5292;5881;0;0;0;5881;5881;0;0;0;0;0;0;-596;0
139;Aanbod passagiersvervoer;Prijsniveau 2005;2008;5450;6034;0;0;0;6034;6034;0;0;0;0;0;0;-591;0
140;Aanbod passagiersvervoer;Prijsniveau 2005;2009;5159;5739;0;0;0;5739;5739;0;0;0;0;0;0;-599;0
141;Aanbod passagiersvervoer;Prijsniveau 2005;2010;5241;5818;0;0;0;5818;5818;0;0;0;0;0;0;-593;0
142;Aanbod passagiersvervoer;Prijsniveau 2005;2011;5404;5985;0;0;0;5985;5985;0;0;0;0;0;0;-597;0
143;Aanbod passagiersvervoer;Lopende prijzen;2001;4189;4695;0;0;0;4695;4695;0;0;0;0;0;0;-506;0
144;Aanbod passagiersvervoer;Lopende prijzen;2002;4415;4968;0;0;0;4968;4968;0;0;0;0;0;0;-553;0
145;Aanbod passagiersvervoer;Lopende prijzen;2003;4259;4859;0;0;0;4859;4859;0;0;0;0;0;0;-600;0
