ID;Geslacht;Migratieachtergrond;Startjaar;BrugklastypeStartjaar;Peilmoment;OnderwijspositiePeilmoment;TotaalLeerlingenStartjaar_1;ZonderVertraging_2;TotaalMetVertraging_3;VertraagdBinnenGelijkNiveau_4;VertraagdNaarHogerNiveau_5;VertraagdNaarLagerNiveau_6;VertraagdNaarHogerEnLagerNiveau_7;VertraagdNiveauveranderingOnbekend_8;VertragingOnbekend_9;ZonderVertraging_10;TotaalMetVertraging_11;VertraagdBinnenGelijkNiveau_12;VertraagdNaarHogerNiveau_13;VertraagdNaarLagerNiveau_14;VertraagdNaarHogerEnLagerNiveau_15;VertraagdNiveauveranderingOnbekend_16;VertragingOnbekend_17
5358;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;2 jaar na startjaar;Totaal;3371.0;3018.0;314.0;235.0;5.0;67.0;3.0;4.0;39.0;90.0;9.0;7.0;0.0;2.0;0.0;0.0;1.0
5359;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;2 jaar na startjaar;Leerlingen in vo op peilmoment;3274.0;2970.0;304.0;226.0;5.0;66.0;3.0;4.0;0.0;91.0;9.0;7.0;0.0;2.0;0.0;0.0;0.0
5360;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;2 jaar na startjaar;Leerlingen uit vo op peilmoment;97.0;48.0;10.0;9.0;0.0;1.0;0.0;0.0;39.0;49.0;10.0;9.0;0.0;1.0;0.0;0.0;40.0
5361;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;3 jaar na startjaar;Totaal;3371.0;2679.0;655.0;424.0;26.0;189.0;14.0;2.0;37.0;79.0;19.0;13.0;1.0;6.0;0.0;0.0;1.0
5362;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;3 jaar na startjaar;Leerlingen in vo op peilmoment;3193.0;2577.0;616.0;397.0;26.0;177.0;14.0;2.0;0.0;81.0;19.0;12.0;1.0;6.0;0.0;0.0;0.0
5363;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;3 jaar na startjaar;Leerlingen uit vo op peilmoment;178.0;102.0;39.0;27.0;0.0;12.0;0.0;0.0;37.0;57.0;22.0;15.0;0.0;7.0;0.0;0.0;21.0
5364;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;4 jaar na startjaar;Totaal;3371.0;2116.0;1218.0;620.0;314.0;242.0;41.0;1.0;37.0;63.0;36.0;18.0;9.0;7.0;1.0;0.0;1.0
5365;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;4 jaar na startjaar;Leerlingen in vo op peilmoment;1262.0;173.0;1089.0;533.0;313.0;203.0;40.0;0.0;0.0;14.0;86.0;42.0;25.0;16.0;3.0;0.0;0.0
5366;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;4 jaar na startjaar;Leerlingen uit vo op peilmoment;2109.0;1943.0;129.0;87.0;1.0;39.0;1.0;1.0;37.0;92.0;6.0;4.0;0.0;2.0;0.0;0.0;2.0
5367;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;5 jaar na startjaar;Totaal;3371.0;2066.0;1268.0;611.0;368.0;242.0;46.0;1.0;37.0;61.0;38.0;18.0;11.0;7.0;1.0;0.0;1.0
5368;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;5 jaar na startjaar;Leerlingen in vo op peilmoment;414.0;16.0;398.0;37.0;328.0;17.0;16.0;0.0;0.0;4.0;96.0;9.0;79.0;4.0;4.0;0.0;0.0
5369;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;5 jaar na startjaar;Leerlingen uit vo op peilmoment;2957.0;2050.0;870.0;574.0;40.0;225.0;30.0;1.0;37.0;69.0;29.0;19.0;1.0;8.0;1.0;0.0;1.0
5370;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;6 jaar na startjaar;Totaal;3371.0;2064.0;1270.0;610.0;369.0;242.0;48.0;1.0;37.0;61.0;38.0;18.0;11.0;7.0;1.0;0.0;1.0
5371;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;6 jaar na startjaar;Leerlingen in vo op peilmoment;94.0;;94.0;2.0;85.0;0.0;7.0;0.0;0.0;;100.0;2.0;90.0;0.0;7.0;0.0;0.0
5372;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;6 jaar na startjaar;Leerlingen uit vo op peilmoment;3277.0;2064.0;1176.0;608.0;284.0;242.0;41.0;1.0;37.0;63.0;36.0;19.0;9.0;7.0;1.0;0.0;1.0
5373;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;7 jaar na startjaar;Totaal;3371.0;2064.0;1270.0;610.0;369.0;242.0;48.0;1.0;37.0;61.0;38.0;18.0;11.0;7.0;1.0;0.0;1.0
5374;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;7 jaar na startjaar;Leerlingen in vo op peilmoment;19.0;;19.0;0.0;17.0;0.0;2.0;0.0;0.0;;100.0;0.0;89.0;0.0;11.0;0.0;0.0
