ID;Regio;Bevolkingsdichtheid_1
1044;Wormerveer;1469.67
1045;Woubrugge;108.61
1046;Woudenberg;82.35
1047;Woudrichem;318.43
1048;Wouw;93.6
1049;Yerseke;295.16
1050;IJlst;200.0
1051;IJsselmonde;590.51
1052;IJsselmuiden;138.6
1053;IJsselstein;218.5
1054;IJzendijke;63.65
1055;Zaamslag;85.17
1056;Zaandam;1602.32
1057;Zaandijk;1642.49
1058;Zalk en Veecaten;64.08
1059;Zaltbommel;348.16
1060;Zandt ('t);85.24
1061;Zandvoort;243.01
1062;Zeeland;81.78
1063;Zegveld;77.73
1064;Zegwaard;168.04
1065;Zeist;492.32
1066;Zelhem;71.87
1067;Zevenaar;232.53
1068;Zevenbergen;176.52
1069;Zevenhoven;67.43
1070;Zevenhuizen;97.18
1071;Zierikzee;369.19
1072;Zijpe;74.4
1073;Zoelen;83.58
1074;Zoetermeer;91.94
1075;Zoeterwoude;149.33
1076;Zonnemaire;68.5
1077;Zoutelande;109.13
1078;Zuid- en Noord-Schermer;48.9
1079;Zuidbroek;150.73
1080;Zuiddorpe;90.49
1081;Zuidhorn;143.2
1082;Zuidland;102.1
1083;Zuidlaren;136.12
1084;Zuid-Scharwoude;325.05
1085;Zuidwolde;57.76
1086;Zuidzande;63.01
1087;Zuilen;1668.77
1088;Zuilichem;154.77
1089;Zundert;76.38
1090;Zutphen;1627.12
1091;Zwaag;217.32
1092;Zwammerdam;132.71
1093;Zwartewaal;182.3
1094;Zwartsluis;282.07
1095;Zweeloo;31.23
1096;Zwijndrecht;785.19
1097;Zwolle;2019.75
1098;Zwollerkerspel;55.79
