ID;Perioden;NederlandHICP_1;EurozoneMUICP_2;EuropeseUnieEICP_3;JaarmutatieHICP_4;JaarmutatieMUICP_5;JaarmutatieEICP_6
187;2010 juni;107.64;110.1;111.95;0.2;1.5;1.9
188;2010 juli;107.01;109.63;111.63;1.3;1.7;2.1
189;2010 augustus;107.16;109.85;111.85;1.2;1.6;2.0
190;2010 september;107.96;110.19;112.16;1.4;1.9;2.3
191;2010 oktober;108.22;110.52;112.49;1.4;1.9;2.3
192;2010 november;108.06;110.62;112.66;1.4;1.9;2.3
193;2010 december;107.77;111.29;113.39;1.8;2.2;2.7
194;2010;107.56;109.84;111.77;0.9;1.6;2.1
195;2011 januari;107.52;110.49;112.92;1.9;2.3;2.7
196;2011 februari;108.6;110.96;113.44;2.0;2.4;2.9
197;2011 maart;110.08;112.46;114.68;1.9;2.7;3.1
198;2011 april;110.74;113.09;115.38;2.1;2.8;3.3
199;2011 mei;110.82;113.09;115.48;2.3;2.7;3.2
200;2011 juni;110.12;113.08;115.41;2.3;2.7;3.1
201;2011 juli;110.48;112.44;114.92;3.2;2.6;2.9
202;2011 augustus;110.61;112.65;115.16;3.2;2.5;3.0
203;2011 september;111.15;113.47;115.89;3.0;3.0;3.3
204;2011 oktober;111.27;113.87;116.25;2.8;3.0;3.3
205;2011 november;110.83;113.97;116.43;2.6;3.0;3.3
206;2011 december;110.48;114.35;116.83;2.5;2.7;3.0
207;2011;110.23;112.83;115.23;2.5;2.7;3.1
208;2012 januari;110.61;113.42;116.17;2.9;2.7;2.9
209;2012 februari;111.72;113.99;116.78;2.9;2.7;2.9
210;2012 maart;113.26;115.46;117.98;2.9;2.7;2.9
211;2012 april;113.81;116.0;118.53;2.8;2.6;2.7
212;2012 mei;113.55;115.84;118.43;2.5;2.4;2.6
213;2012 juni;112.87;115.75;118.29;2.5;2.4;2.5
214;2012 juli;113.35;115.15;117.85;2.6;2.4;2.5
215;2012 augustus;113.43;115.59;118.27;2.5;2.6;2.7
216;2012 september;113.98;116.43;119.0;2.5;2.6;2.7
217;2012 oktober;114.9;116.71;119.33;3.3;2.5;2.6
218;2012 november;114.35;116.47;119.17;3.2;2.2;2.4
219;2012 december;114.2;116.89;119.57;3.4;2.2;2.3
220;2012;113.34;115.64;118.28;2.8;2.5;2.6
221;2013 januari;114.17;115.67;118.62;3.2;2.0;2.1
222;2013 februari;115.34;116.09;119.09;3.2;1.8;2.0
223;2013 maart;116.88;117.47;120.19;3.2;1.7;1.9
224;2013 april;116.97;117.36;120.17;2.8;1.2;1.4
225;2013 mei;117.02;117.49;120.29;3.1;1.4;1.6
226;2013 juni;116.44;117.61;120.35;3.2;1.6;1.7
227;2013 juli;116.86;116.99;119.88;3.1;1.6;1.7
228;2013 augustus;116.6;117.14;120.04;2.8;1.3;1.5
229;2013 september;116.7;117.71;120.52;2.4;1.1;1.3
230;2013 oktober;116.4;117.56;120.43;1.3;0.7;0.9
231;2013 november;115.71;117.47;120.34;1.2;0.9;1.0
232;2013 december;115.81;117.88;120.75;1.4;0.8;1.0
233;2013;116.24;117.2;120.06;2.6;1.4;1.5
234;2014 januari;115.08;116.57;119.68;0.8;0.8;0.9
235;2014 februari;115.77;116.92;120.06;0.4;0.7;0.8
236;2014 maart;117.04;118.02;120.92;0.1;0.5;0.6
237;2014 april;117.72;118.2;121.14;0.6;0.7;0.8
238;2014 mei;117.18;118.07;121.03;0.1;0.5;0.6
239;2014 juni;116.76;118.2;121.15;0.3;0.5;0.7
240;2014 juli;117.16;117.43;120.53;0.3;0.4;0.5
241;2014 augustus;117.02;117.57;120.65;0.4;0.4;0.5
242;2014 september;116.99;118.08;121.03;0.2;0.3;0.4
243;2014 oktober;116.86;118.01;121.01;0.4;0.4;0.5
244;2014 november;116.0;117.8;120.76;0.3;0.3;0.3
245;2014 december;115.74;117.69;120.64;-0.1;-0.2;-0.1
246;2014;116.61;117.71;120.72;0.3;0.4;0.6
247;2015 januari;114.31;115.86;119.11;-0.7;-0.6;-0.5
248;2015 februari;115.24;116.61;119.74;-0.5;-0.3;-0.3
249;2015 maart;116.72;117.93;120.79;-0.3;-0.1;-0.1
250;2015 april;117.69;118.21;121.1;0.0;0.0;0.0
251;2015 mei;117.98;118.48;121.38;0.7;0.3;0.3
252;2015 juni;117.33;118.46;121.31;0.5;0.2;0.1
253;2015 juli;118.11;117.71;120.72;0.8;0.2;0.2
254;2015 augustus;117.53;117.72;120.71;0.4;0.1;0.0
255;2015 september;117.33;117.98;120.87;0.3;-0.1;-0.1
256;2015 oktober;117.32;118.15;121.02;0.4;0.1;0.0
257;2015 november;116.43;117.98;120.87;0.4;0.1;0.1
258;2015 december;116.3;117.96;120.85;0.5;0.2;0.2
259;2015;116.86;117.75;120.71;0.2;0.0;0.0
