ID;BeroepsEnEigenVervoer;Vervoerstroom;MilieuklasseVanHetVoertuigEURONorm;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersBeladen_3;RittenBeladen_4
307;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2023;234;24;4;24
308;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2010;62788;23319;1545;3832
309;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2011;76988;26785;1824;4709
310;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2012;85821;28666;1952;5259
311;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2013;97478;30384;2013;6112
312;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2014;95914;28926;1958;6244
313;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2015;83125;23404;1629;5661
314;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2016;68494;17696;1231;4500
315;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2017;56290;13520;941;3723
316;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2018;41926;10155;713;2760
317;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2019;29080;6493;451;1895
318;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2020;19338;4108;296;1303
319;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2021;13593;2805;213;953
320;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2022;7440;1527;121;577
321;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 5 en EEV;2023;4999;866;72;390
322;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2010;0;0;0;0
323;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2011;0;0;0;0
324;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2012;114;43;2;6
325;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2013;2844;851;57;182
326;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2014;14670;4804;324;966
327;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2015;31721;9590;672;2189
328;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2016;49778;13966;963;3347
329;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2017;68818;19454;1339;4569
330;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2018;85560;23586;1610;5594
331;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2019;96645;26502;1813;6250
332;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2020;104070;28139;1961;6911
333;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2021;114324;30164;2127;7607
334;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2022;109172;28313;2006;7448
335;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 6;2023;110721;28404;2020;7536
336;Beroepsvervoer;Totaal;Totaal;2010;508001;67643;4714;33343
337;Beroepsvervoer;Totaal;Totaal;2011;500985;65761;4741;33977
338;Beroepsvervoer;Totaal;Totaal;2012;480511;60426;4417;32481
339;Beroepsvervoer;Totaal;Totaal;2013;481647;61684;4409;33752
340;Beroepsvervoer;Totaal;Totaal;2014;488280;62049;4546;35986
341;Beroepsvervoer;Totaal;Totaal;2015;494521;59014;4476;37814
342;Beroepsvervoer;Totaal;Totaal;2016;519654;58489;4459;39650
343;Beroepsvervoer;Totaal;Totaal;2017;535520;59226;4415;39260
344;Beroepsvervoer;Totaal;Totaal;2018;549105;60153;4477;39705
345;Beroepsvervoer;Totaal;Totaal;2019;550297;59903;4410;39930
346;Beroepsvervoer;Totaal;Totaal;2020;549667;58754;4385;41188
347;Beroepsvervoer;Totaal;Totaal;2021;564456;60503;4590;43125
348;Beroepsvervoer;Totaal;Totaal;2022;561205;56618;4300;44141
349;Beroepsvervoer;Totaal;Totaal;2023;519177;54322;4211;41588
350;Beroepsvervoer;Totaal;Euro 0;2010;481;35;4;72
351;Beroepsvervoer;Totaal;Euro 0;2011;368;13;3;73
352;Beroepsvervoer;Totaal;Euro 0;2012;262;54;3;40
353;Beroepsvervoer;Totaal;Euro 0;2013;66;5;1;24
354;Beroepsvervoer;Totaal;Euro 0;2014;77;11;1;17
355;Beroepsvervoer;Totaal;Euro 0;2015;34;2;0;10
356;Beroepsvervoer;Totaal;Euro 0;2016;16;1;0;3
357;Beroepsvervoer;Totaal;Euro 0;2017;7;0;0;2
358;Beroepsvervoer;Totaal;Euro 0;2018;3;0;0;4
359;Beroepsvervoer;Totaal;Euro 0;2019;0;0;0;0
360;Beroepsvervoer;Totaal;Euro 0;2020;1;0;0;0
361;Beroepsvervoer;Totaal;Euro 0;2021;0;0;0;0
362;Beroepsvervoer;Totaal;Euro 0;2022;0;0;0;0
363;Beroepsvervoer;Totaal;Euro 0;2023;0;0;0;0
364;Beroepsvervoer;Totaal;Euro 1;2010;3866;203;21;325
365;Beroepsvervoer;Totaal;Euro 1;2011;2011;128;11;157
366;Beroepsvervoer;Totaal;Euro 1;2012;1876;112;11;151
367;Beroepsvervoer;Totaal;Euro 1;2013;1190;54;4;89
368;Beroepsvervoer;Totaal;Euro 1;2014;825;50;4;87
369;Beroepsvervoer;Totaal;Euro 1;2015;473;12;1;41
370;Beroepsvervoer;Totaal;Euro 1;2016;456;22;3;55
371;Beroepsvervoer;Totaal;Euro 1;2017;238;13;2;42
372;Beroepsvervoer;Totaal;Euro 1;2018;107;3;0;20
373;Beroepsvervoer;Totaal;Euro 1;2019;99;4;1;8
374;Beroepsvervoer;Totaal;Euro 1;2020;18;2;0;3
375;Beroepsvervoer;Totaal;Euro 1;2021;0;0;0;0
376;Beroepsvervoer;Totaal;Euro 1;2022;0;0;0;0
377;Beroepsvervoer;Totaal;Euro 1;2023;0;0;0;0
378;Beroepsvervoer;Totaal;Euro 2;2010;45130;2909;233;3246
379;Beroepsvervoer;Totaal;Euro 2;2011;28883;2014;174;2386
380;Beroepsvervoer;Totaal;Euro 2;2012;19982;1329;111;1544
381;Beroepsvervoer;Totaal;Euro 2;2013;16101;894;69;1192
382;Beroepsvervoer;Totaal;Euro 2;2014;8520;498;41;713
383;Beroepsvervoer;Totaal;Euro 2;2015;6337;305;29;589
384;Beroepsvervoer;Totaal;Euro 2;2016;3840;197;18;389
385;Beroepsvervoer;Totaal;Euro 2;2017;2888;101;11;281
386;Beroepsvervoer;Totaal;Euro 2;2018;2529;121;10;213
387;Beroepsvervoer;Totaal;Euro 2;2019;1317;73;7;113
388;Beroepsvervoer;Totaal;Euro 2;2020;421;40;4;63
389;Beroepsvervoer;Totaal;Euro 2;2021;693;33;4;92
390;Beroepsvervoer;Totaal;Euro 2;2022;223;19;2;26
391;Beroepsvervoer;Totaal;Euro 2;2023;255;54;4;17
392;Beroepsvervoer;Totaal;Euro 3;2010;212217;26827;1907;14303
393;Beroepsvervoer;Totaal;Euro 3;2011;177061;21219;1564;12374
394;Beroepsvervoer;Totaal;Euro 3;2012;137719;14792;1099;9479
395;Beroepsvervoer;Totaal;Euro 3;2013;110634;11119;803;7759
396;Beroepsvervoer;Totaal;Euro 3;2014;79228;7398;575;6046
397;Beroepsvervoer;Totaal;Euro 3;2015;60910;4549;360;4382
398;Beroepsvervoer;Totaal;Euro 3;2016;40882;2904;224;3027
399;Beroepsvervoer;Totaal;Euro 3;2017;29877;1953;158;2243
400;Beroepsvervoer;Totaal;Euro 3;2018;22328;1220;108;1695
401;Beroepsvervoer;Totaal;Euro 3;2019;11576;688;57;882
402;Beroepsvervoer;Totaal;Euro 3;2020;6086;360;30;557
403;Beroepsvervoer;Totaal;Euro 3;2021;5881;442;32;466
404;Beroepsvervoer;Totaal;Euro 3;2022;3676;241;18;351
405;Beroepsvervoer;Totaal;Euro 3;2023;1993;99;11;196
406;Beroepsvervoer;Totaal;Euro 4;2010;44405;6042;417;3062
407;Beroepsvervoer;Totaal;Euro 4;2011;47773;5874;429;3339
408;Beroepsvervoer;Totaal;Euro 4;2012;46027;5090;386;3213
409;Beroepsvervoer;Totaal;Euro 4;2013;41810;4558;349;3114
410;Beroepsvervoer;Totaal;Euro 4;2014;35997;3947;309;2863
411;Beroepsvervoer;Totaal;Euro 4;2015;27602;2783;240;2492
412;Beroepsvervoer;Totaal;Euro 4;2016;23688;1910;168;2053
413;Beroepsvervoer;Totaal;Euro 4;2017;18029;1424;123;1512
414;Beroepsvervoer;Totaal;Euro 4;2018;15195;1032;93;1163
415;Beroepsvervoer;Totaal;Euro 4;2019;10226;683;63;909
416;Beroepsvervoer;Totaal;Euro 4;2020;8605;464;44;760
417;Beroepsvervoer;Totaal;Euro 4;2021;4201;250;27;419
418;Beroepsvervoer;Totaal;Euro 4;2022;4821;233;20;367
419;Beroepsvervoer;Totaal;Euro 4;2023;2201;82;10;261
420;Beroepsvervoer;Totaal;Euro 5 en EEV;2010;201902;31627;2132;12334
421;Beroepsvervoer;Totaal;Euro 5 en EEV;2011;244888;36513;2561;15647
422;Beroepsvervoer;Totaal;Euro 5 en EEV;2012;273348;38881;2799;17994
423;Beroepsvervoer;Totaal;Euro 5 en EEV;2013;302405;43644;3086;20937
424;Beroepsvervoer;Totaal;Euro 5 en EEV;2014;313947;42899;3098;22658
425;Beroepsvervoer;Totaal;Euro 5 en EEV;2015;290952;36529;2746;22114
426;Beroepsvervoer;Totaal;Euro 5 en EEV;2016;269096;30101;2314;20476
427;Beroepsvervoer;Totaal;Euro 5 en EEV;2017;235571;24181;1810;17028
428;Beroepsvervoer;Totaal;Euro 5 en EEV;2018;187410;18547;1404;13639
429;Beroepsvervoer;Totaal;Euro 5 en EEV;2019;154594;13051;975;10969
430;Beroepsvervoer;Totaal;Euro 5 en EEV;2020;107067;8723;664;8220
431;Beroepsvervoer;Totaal;Euro 5 en EEV;2021;83218;6382;514;6498
432;Beroepsvervoer;Totaal;Euro 5 en EEV;2022;57762;3775;305;4552
433;Beroepsvervoer;Totaal;Euro 5 en EEV;2023;34863;2203;182;2801
434;Beroepsvervoer;Totaal;Euro 6;2010;0;0;0;0
435;Beroepsvervoer;Totaal;Euro 6;2011;0;0;0;0
436;Beroepsvervoer;Totaal;Euro 6;2012;1296;169;8;61
437;Beroepsvervoer;Totaal;Euro 6;2013;9440;1410;97;636
438;Beroepsvervoer;Totaal;Euro 6;2014;49687;7246;517;3602
439;Beroepsvervoer;Totaal;Euro 6;2015;108212;14834;1099;8186
440;Beroepsvervoer;Totaal;Euro 6;2016;181676;23355;1730;13646
441;Beroepsvervoer;Totaal;Euro 6;2017;248910;31553;2311;18151
442;Beroepsvervoer;Totaal;Euro 6;2018;321533;39229;2862;22970
443;Beroepsvervoer;Totaal;Euro 6;2019;372486;45404;3308;27050
444;Beroepsvervoer;Totaal;Euro 6;2020;427469;49165;3642;31584
445;Beroepsvervoer;Totaal;Euro 6;2021;470464;53396;4013;35649
446;Beroepsvervoer;Totaal;Euro 6;2022;494724;52350;3954;38845
447;Beroepsvervoer;Totaal;Euro 6;2023;479866;51885;4004;38313
448;Beroepsvervoer;Binnenlands vervoer;Totaal;2010;383125;24020;1891;25796
449;Beroepsvervoer;Binnenlands vervoer;Totaal;2011;373490;23898;1972;26324
450;Beroepsvervoer;Binnenlands vervoer;Totaal;2012;359362;22406;1872;25226
451;Beroepsvervoer;Binnenlands vervoer;Totaal;2013;359687;24691;1976;26115
452;Beroepsvervoer;Binnenlands vervoer;Totaal;2014;366153;25033;2089;28137
453;Beroepsvervoer;Binnenlands vervoer;Totaal;2015;375984;25197;2164;29920
454;Beroepsvervoer;Binnenlands vervoer;Totaal;2016;405529;27529;2341;32182
455;Beroepsvervoer;Binnenlands vervoer;Totaal;2017;416498;27286;2252;31512
456;Beroepsvervoer;Binnenlands vervoer;Totaal;2018;430261;28050;2301;31988
457;Beroepsvervoer;Binnenlands vervoer;Totaal;2019;434701;28980;2343;32592
458;Beroepsvervoer;Binnenlands vervoer;Totaal;2020;436386;28636;2350;33887
459;Beroepsvervoer;Binnenlands vervoer;Totaal;2021;448979;29952;2477;35551
460;Beroepsvervoer;Binnenlands vervoer;Totaal;2022;456653;29373;2422;37165
461;Beroepsvervoer;Binnenlands vervoer;Totaal;2023;416547;27536;2349;34751
462;Beroepsvervoer;Binnenlands vervoer;Euro 0;2010;410;17;3;69
463;Beroepsvervoer;Binnenlands vervoer;Euro 0;2011;368;13;3;73
464;Beroepsvervoer;Binnenlands vervoer;Euro 0;2012;196;6;1;37
465;Beroepsvervoer;Binnenlands vervoer;Euro 0;2013;64;4;1;24
466;Beroepsvervoer;Binnenlands vervoer;Euro 0;2014;44;4;0;15
467;Beroepsvervoer;Binnenlands vervoer;Euro 0;2015;34;2;0;10
468;Beroepsvervoer;Binnenlands vervoer;Euro 0;2016;16;1;0;3
469;Beroepsvervoer;Binnenlands vervoer;Euro 0;2017;7;0;0;2
470;Beroepsvervoer;Binnenlands vervoer;Euro 0;2018;3;0;0;4
471;Beroepsvervoer;Binnenlands vervoer;Euro 0;2019;0;0;0;0
472;Beroepsvervoer;Binnenlands vervoer;Euro 0;2020;1;0;0;0
473;Beroepsvervoer;Binnenlands vervoer;Euro 0;2021;0;0;0;0
474;Beroepsvervoer;Binnenlands vervoer;Euro 0;2022;0;0;0;0
475;Beroepsvervoer;Binnenlands vervoer;Euro 0;2023;0;0;0;0
476;Beroepsvervoer;Binnenlands vervoer;Euro 1;2010;3670;160;16;305
477;Beroepsvervoer;Binnenlands vervoer;Euro 1;2011;1845;76;8;146
478;Beroepsvervoer;Binnenlands vervoer;Euro 1;2012;1744;63;6;138
479;Beroepsvervoer;Binnenlands vervoer;Euro 1;2013;1108;37;3;85
480;Beroepsvervoer;Binnenlands vervoer;Euro 1;2014;752;28;3;82
481;Beroepsvervoer;Binnenlands vervoer;Euro 1;2015;469;11;1;39
482;Beroepsvervoer;Binnenlands vervoer;Euro 1;2016;363;11;1;42
483;Beroepsvervoer;Binnenlands vervoer;Euro 1;2017;217;10;2;40
484;Beroepsvervoer;Binnenlands vervoer;Euro 1;2018;105;3;0;20
485;Beroepsvervoer;Binnenlands vervoer;Euro 1;2019;96;3;0;8
486;Beroepsvervoer;Binnenlands vervoer;Euro 1;2020;13;1;0;3
487;Beroepsvervoer;Binnenlands vervoer;Euro 1;2021;0;0;0;0
488;Beroepsvervoer;Binnenlands vervoer;Euro 1;2022;0;0;0;0
489;Beroepsvervoer;Binnenlands vervoer;Euro 1;2023;0;0;0;0
490;Beroepsvervoer;Binnenlands vervoer;Euro 2;2010;40811;1870;162;2974
491;Beroepsvervoer;Binnenlands vervoer;Euro 2;2011;25147;1284;127;2183
492;Beroepsvervoer;Binnenlands vervoer;Euro 2;2012;17609;833;75;1395
493;Beroepsvervoer;Binnenlands vervoer;Euro 2;2013;14848;658;51;1107
494;Beroepsvervoer;Binnenlands vervoer;Euro 2;2014;7841;359;31;664
495;Beroepsvervoer;Binnenlands vervoer;Euro 2;2015;5540;205;21;542
496;Beroepsvervoer;Binnenlands vervoer;Euro 2;2016;3559;167;16;370
497;Beroepsvervoer;Binnenlands vervoer;Euro 2;2017;2782;77;9;272
498;Beroepsvervoer;Binnenlands vervoer;Euro 2;2018;2251;78;7;194
499;Beroepsvervoer;Binnenlands vervoer;Euro 2;2019;1296;51;5;111
500;Beroepsvervoer;Binnenlands vervoer;Euro 2;2020;355;16;2;59
501;Beroepsvervoer;Binnenlands vervoer;Euro 2;2021;550;15;2;80
502;Beroepsvervoer;Binnenlands vervoer;Euro 2;2022;181;7;1;24
503;Beroepsvervoer;Binnenlands vervoer;Euro 2;2023;205;4;0;14
504;Beroepsvervoer;Binnenlands vervoer;Euro 3;2010;161388;10128;817;11192
505;Beroepsvervoer;Binnenlands vervoer;Euro 3;2011;136179;8718;740;9892
506;Beroepsvervoer;Binnenlands vervoer;Euro 3;2012;108408;6783;561;7715
507;Beroepsvervoer;Binnenlands vervoer;Euro 3;2013;89355;5676;430;6396
508;Beroepsvervoer;Binnenlands vervoer;Euro 3;2014;65329;3720;322;5126
509;Beroepsvervoer;Binnenlands vervoer;Euro 3;2015;52425;2601;220;3840
510;Beroepsvervoer;Binnenlands vervoer;Euro 3;2016;36647;1811;151;2758
511;Beroepsvervoer;Binnenlands vervoer;Euro 3;2017;27113;1253;107;2051
512;Beroepsvervoer;Binnenlands vervoer;Euro 3;2018;20464;799;75;1556
513;Beroepsvervoer;Binnenlands vervoer;Euro 3;2019;10642;453;40;812
514;Beroepsvervoer;Binnenlands vervoer;Euro 3;2020;5520;201;21;523
515;Beroepsvervoer;Binnenlands vervoer;Euro 3;2021;5429;248;21;438
516;Beroepsvervoer;Binnenlands vervoer;Euro 3;2022;3429;153;13;330
517;Beroepsvervoer;Binnenlands vervoer;Euro 3;2023;1849;63;7;182
518;Beroepsvervoer;Binnenlands vervoer;Euro 4;2010;32879;2164;185;2415
519;Beroepsvervoer;Binnenlands vervoer;Euro 4;2011;35429;2236;196;2630
520;Beroepsvervoer;Binnenlands vervoer;Euro 4;2012;34365;1967;176;2562
521;Beroepsvervoer;Binnenlands vervoer;Euro 4;2013;33175;2205;194;2580
522;Beroepsvervoer;Binnenlands vervoer;Euro 4;2014;28517;1925;176;2389
523;Beroepsvervoer;Binnenlands vervoer;Euro 4;2015;22372;1531;151;2148
524;Beroepsvervoer;Binnenlands vervoer;Euro 4;2016;20942;1252;117;1860
525;Beroepsvervoer;Binnenlands vervoer;Euro 4;2017;15501;941;87;1358
526;Beroepsvervoer;Binnenlands vervoer;Euro 4;2018;13631;673;65;1057
527;Beroepsvervoer;Binnenlands vervoer;Euro 4;2019;8931;488;48;820
528;Beroepsvervoer;Binnenlands vervoer;Euro 4;2020;7830;359;36;711
529;Beroepsvervoer;Binnenlands vervoer;Euro 4;2021;3837;201;21;392
530;Beroepsvervoer;Binnenlands vervoer;Euro 4;2022;4555;207;18;351
531;Beroepsvervoer;Binnenlands vervoer;Euro 4;2023;2022;65;8;250
532;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2010;143966;9681;708;8841
533;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2011;174522;11570;898;11401
534;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2012;195858;12628;1047;13325
535;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2013;214433;15530;1255;15460
536;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2014;227442;16166;1331;17136
537;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2015;215543;14842;1276;17086
538;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2016;207499;13869;1211;16501
539;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2017;185252;11764;976;13790
540;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2018;150339;9337;781;11256
541;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2019;129127;7229;596;9406
542;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2020;90624;5091;421;7176
543;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2021;71469;3904;339;5727
544;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2022;51810;2482;212;4133
545;Beroepsvervoer;Binnenlands vervoer;Euro 5 en EEV;2023;31214;1502;129;2559
546;Beroepsvervoer;Binnenlands vervoer;Euro 6;2010;0;0;0;0
547;Beroepsvervoer;Binnenlands vervoer;Euro 6;2011;0;0;0;0
548;Beroepsvervoer;Binnenlands vervoer;Euro 6;2012;1183;125;6;55
549;Beroepsvervoer;Binnenlands vervoer;Euro 6;2013;6704;579;41;463
550;Beroepsvervoer;Binnenlands vervoer;Euro 6;2014;36228;2831;226;2726
551;Beroepsvervoer;Binnenlands vervoer;Euro 6;2015;79601;6007;495;6254
552;Beroepsvervoer;Binnenlands vervoer;Euro 6;2016;136503;10418;845;10648
553;Beroepsvervoer;Binnenlands vervoer;Euro 6;2017;185627;13241;1070;13998
554;Beroepsvervoer;Binnenlands vervoer;Euro 6;2018;243469;17160;1373;17901
555;Beroepsvervoer;Binnenlands vervoer;Euro 6;2019;284610;20756;1655;21436
556;Beroepsvervoer;Binnenlands vervoer;Euro 6;2020;332043;22969;1869;25416
557;Beroepsvervoer;Binnenlands vervoer;Euro 6;2021;367694;25583;2093;28914
558;Beroepsvervoer;Binnenlands vervoer;Euro 6;2022;396678;26524;2179;32326
559;Beroepsvervoer;Binnenlands vervoer;Euro 6;2023;381258;25901;2205;31746
560;Beroepsvervoer;Internationaal vervoer;Totaal;2010;124876;43623;2823;7546
561;Beroepsvervoer;Internationaal vervoer;Totaal;2011;127494;41863;2769;7652
562;Beroepsvervoer;Internationaal vervoer;Totaal;2012;121149;38020;2545;7256
563;Beroepsvervoer;Internationaal vervoer;Totaal;2013;121960;36993;2433;7637
564;Beroepsvervoer;Internationaal vervoer;Totaal;2014;122127;37016;2457;7849
565;Beroepsvervoer;Internationaal vervoer;Totaal;2015;118537;33816;2312;7894
566;Beroepsvervoer;Internationaal vervoer;Totaal;2016;114125;30961;2118;7468
567;Beroepsvervoer;Internationaal vervoer;Totaal;2017;119022;31940;2163;7748
568;Beroepsvervoer;Internationaal vervoer;Totaal;2018;118844;32103;2176;7718
569;Beroepsvervoer;Internationaal vervoer;Totaal;2019;115596;30923;2067;7338
570;Beroepsvervoer;Internationaal vervoer;Totaal;2020;113280;30118;2035;7301
571;Beroepsvervoer;Internationaal vervoer;Totaal;2021;115477;30551;2113;7574
572;Beroepsvervoer;Internationaal vervoer;Totaal;2022;104552;27245;1878;6976
573;Beroepsvervoer;Internationaal vervoer;Totaal;2023;102630;26786;1862;6837
574;Beroepsvervoer;Internationaal vervoer;Euro 0;2010;71;18;1;3
575;Beroepsvervoer;Internationaal vervoer;Euro 0;2011;0;0;0;0
576;Beroepsvervoer;Internationaal vervoer;Euro 0;2012;67;47;2;3
577;Beroepsvervoer;Internationaal vervoer;Euro 0;2013;2;0;0;0
578;Beroepsvervoer;Internationaal vervoer;Euro 0;2014;33;8;1;2
579;Beroepsvervoer;Internationaal vervoer;Euro 0;2015;0;0;0;0
580;Beroepsvervoer;Internationaal vervoer;Euro 0;2016;0;0;0;0
581;Beroepsvervoer;Internationaal vervoer;Euro 0;2017;0;0;0;0
582;Beroepsvervoer;Internationaal vervoer;Euro 0;2018;0;0;0;0
583;Beroepsvervoer;Internationaal vervoer;Euro 0;2019;0;0;0;0
584;Beroepsvervoer;Internationaal vervoer;Euro 0;2020;0;0;0;0
585;Beroepsvervoer;Internationaal vervoer;Euro 0;2021;0;0;0;0
586;Beroepsvervoer;Internationaal vervoer;Euro 0;2022;0;0;0;0
587;Beroepsvervoer;Internationaal vervoer;Euro 0;2023;0;0;0;0
588;Beroepsvervoer;Internationaal vervoer;Euro 1;2010;196;43;4;20
589;Beroepsvervoer;Internationaal vervoer;Euro 1;2011;166;52;3;11
590;Beroepsvervoer;Internationaal vervoer;Euro 1;2012;132;49;5;13
591;Beroepsvervoer;Internationaal vervoer;Euro 1;2013;82;17;1;5
592;Beroepsvervoer;Internationaal vervoer;Euro 1;2014;73;22;2;5
593;Beroepsvervoer;Internationaal vervoer;Euro 1;2015;4;1;0;2
594;Beroepsvervoer;Internationaal vervoer;Euro 1;2016;93;11;1;13
595;Beroepsvervoer;Internationaal vervoer;Euro 1;2017;21;3;0;2
596;Beroepsvervoer;Internationaal vervoer;Euro 1;2018;2;0;0;0
597;Beroepsvervoer;Internationaal vervoer;Euro 1;2019;3;1;1;0
598;Beroepsvervoer;Internationaal vervoer;Euro 1;2020;4;1;0;1
599;Beroepsvervoer;Internationaal vervoer;Euro 1;2021;0;0;0;0
600;Beroepsvervoer;Internationaal vervoer;Euro 1;2022;0;0;0;0
601;Beroepsvervoer;Internationaal vervoer;Euro 1;2023;0;0;0;0
602;Beroepsvervoer;Internationaal vervoer;Euro 2;2010;4318;1039;71;273
603;Beroepsvervoer;Internationaal vervoer;Euro 2;2011;3735;729;47;203
604;Beroepsvervoer;Internationaal vervoer;Euro 2;2012;2373;496;36;149
605;Beroepsvervoer;Internationaal vervoer;Euro 2;2013;1253;237;17;85
606;Beroepsvervoer;Internationaal vervoer;Euro 2;2014;679;139;10;48
607;Beroepsvervoer;Internationaal vervoer;Euro 2;2015;798;101;8;47
608;Beroepsvervoer;Internationaal vervoer;Euro 2;2016;281;30;2;19
609;Beroepsvervoer;Internationaal vervoer;Euro 2;2017;106;25;2;9
610;Beroepsvervoer;Internationaal vervoer;Euro 2;2018;278;42;3;20
611;Beroepsvervoer;Internationaal vervoer;Euro 2;2019;21;23;2;2
612;Beroepsvervoer;Internationaal vervoer;Euro 2;2020;66;25;2;5
613;Beroepsvervoer;Internationaal vervoer;Euro 2;2021;143;17;1;12
614;Beroepsvervoer;Internationaal vervoer;Euro 2;2022;42;12;1;2
615;Beroepsvervoer;Internationaal vervoer;Euro 2;2023;50;50;3;3
616;Beroepsvervoer;Internationaal vervoer;Euro 3;2010;50829;16699;1090;3111
617;Beroepsvervoer;Internationaal vervoer;Euro 3;2011;40882;12501;824;2482
618;Beroepsvervoer;Internationaal vervoer;Euro 3;2012;29311;8009;538;1764
619;Beroepsvervoer;Internationaal vervoer;Euro 3;2013;21279;5442;373;1363
620;Beroepsvervoer;Internationaal vervoer;Euro 3;2014;13898;3678;253;920
621;Beroepsvervoer;Internationaal vervoer;Euro 3;2015;8485;1948;140;542
622;Beroepsvervoer;Internationaal vervoer;Euro 3;2016;4235;1093;74;270
623;Beroepsvervoer;Internationaal vervoer;Euro 3;2017;2764;700;51;192
624;Beroepsvervoer;Internationaal vervoer;Euro 3;2018;1864;421;33;139
625;Beroepsvervoer;Internationaal vervoer;Euro 3;2019;935;235;17;70
626;Beroepsvervoer;Internationaal vervoer;Euro 3;2020;566;159;9;34
627;Beroepsvervoer;Internationaal vervoer;Euro 3;2021;452;194;11;28
628;Beroepsvervoer;Internationaal vervoer;Euro 3;2022;247;88;6;21
629;Beroepsvervoer;Internationaal vervoer;Euro 3;2023;144;36;4;14
630;Beroepsvervoer;Internationaal vervoer;Euro 4;2010;11526;3878;232;647
631;Beroepsvervoer;Internationaal vervoer;Euro 4;2011;12344;3638;233;709
632;Beroepsvervoer;Internationaal vervoer;Euro 4;2012;11662;3123;210;652
633;Beroepsvervoer;Internationaal vervoer;Euro 4;2013;8635;2354;154;534
634;Beroepsvervoer;Internationaal vervoer;Euro 4;2014;7480;2022;133;475
635;Beroepsvervoer;Internationaal vervoer;Euro 4;2015;5230;1253;89;344
636;Beroepsvervoer;Internationaal vervoer;Euro 4;2016;2746;659;51;193
637;Beroepsvervoer;Internationaal vervoer;Euro 4;2017;2529;484;35;153
638;Beroepsvervoer;Internationaal vervoer;Euro 4;2018;1565;360;28;106
639;Beroepsvervoer;Internationaal vervoer;Euro 4;2019;1295;194;16;89
640;Beroepsvervoer;Internationaal vervoer;Euro 4;2020;775;105;8;49
641;Beroepsvervoer;Internationaal vervoer;Euro 4;2021;364;49;5;27
642;Beroepsvervoer;Internationaal vervoer;Euro 4;2022;266;25;2;16
643;Beroepsvervoer;Internationaal vervoer;Euro 4;2023;179;17;2;11
644;Beroepsvervoer;Internationaal vervoer;Euro 5 en EEV;2010;57936;21946;1425;3493
645;Beroepsvervoer;Internationaal vervoer;Euro 5 en EEV;2011;70366;24943;1663;4246
646;Beroepsvervoer;Internationaal vervoer;Euro 5 en EEV;2012;77491;26253;1752;4669
647;Beroepsvervoer;Internationaal vervoer;Euro 5 en EEV;2013;87972;28114;1831;5477
648;Beroepsvervoer;Internationaal vervoer;Euro 5 en EEV;2014;86505;26733;1767;5522
