ID;ForecastInterval;Periods;TotalPopulation_1;k_0To20Years_2;k_20To65Years_3;k_65YearsAndOlder_4;k_0To20Years_5;k_20To65Years_6;k_65YearsAndOlder_7;TotalPressure_8;GreenPressure_9;GreyPressure_10;LiveBirths_11;TotalFertilityRate_12;Deaths_13;Total_14;Men_15;Women_16;Total_17;Men_18;Women_19;Immigration_20;EmigrationInclNetAdmCorr_21;NetMigrationInclNetAdmCorr_22
49;Lower limit 95% forecast-interval;2016;16895336.0;3792966.0;10012578.0;3065916.0;22.4;59.2;18.1;68.3;37.7;30.4;166312.0;1.61;126581.0;80.62;78.93;82.2;19.01;17.65;20.23;144317.0;129047.0;-14059.0
50;Lower limit 95% forecast-interval;2017;16920520.0;3771337.0;9983645.0;3128963.0;22.2;58.9;18.4;68.8;37.6;31.0;165957.0;1.59;126356.0;80.55;78.89;82.11;18.93;17.6;20.14;142188.0;131882.0;-18086.0
51;Lower limit 95% forecast-interval;2018;16941320.0;3747011.0;9944339.0;3196545.0;22.0;58.5;18.7;69.3;37.4;31.7;165748.0;1.58;126130.0;80.5;78.86;82.05;18.88;17.57;20.05;137376.0;134438.0;-26967.0
52;Lower limit 95% forecast-interval;2019;16948304.0;3713943.0;9909260.0;3257447.0;21.8;58.2;19.0;69.8;37.1;32.3;165946.0;1.56;126801.0;80.48;78.86;82.01;18.83;17.55;19.97;133906.0;135735.0;-33552.0
53;Lower limit 95% forecast-interval;2020;16961120.0;3680923.0;9871935.0;3320128.0;21.6;57.9;19.3;70.2;36.8;32.8;165644.0;1.54;127470.0;80.45;78.86;81.98;18.79;17.54;19.92;129649.0;135128.0;-39377.0
54;Lower limit 95% forecast-interval;2021;16960250.0;3643721.0;9833772.0;3377575.0;21.3;57.6;19.6;70.5;36.5;33.4;165064.0;1.53;128741.0;80.46;78.9;81.97;18.76;17.56;19.87;128731.0;133967.0;-39544.0
55;Lower limit 95% forecast-interval;2022;16943574.0;3608648.0;9782931.0;3440752.0;21.1;57.3;19.9;71.1;36.2;34.0;164584.0;1.52;129616.0;80.48;78.94;81.96;18.74;17.58;19.81;127444.0;132839.0;-40621.0
56;Lower limit 95% forecast-interval;2023;16948926.0;3574537.0;9733345.0;3498981.0;20.9;56.9;20.1;71.6;36.0;34.6;163706.0;1.51;130606.0;80.51;78.99;81.96;18.73;17.61;19.77;126860.0;132165.0;-41680.0
57;Lower limit 95% forecast-interval;2024;16948714.0;3541676.0;9682837.0;3557903.0;20.6;56.5;20.4;72.2;35.8;35.3;162726.0;1.5;131756.0;80.54;79.04;81.97;18.72;17.63;19.74;125014.0;131394.0;-41745.0
58;Lower limit 95% forecast-interval;2025;16929612.0;3518002.0;9624654.0;3625365.0;20.5;56.1;20.7;73.0;35.6;36.0;161336.0;1.48;133287.0;80.56;79.1;81.98;18.72;17.67;19.71;123243.0;130648.0;-41833.0
59;Lower limit 95% forecast-interval;2026;16910698.0;3494650.0;9572434.0;3681391.0;20.3;55.6;21.0;73.9;35.6;36.8;160504.0;1.47;134828.0;80.61;79.16;82.0;18.72;17.7;19.68;121202.0;130225.0;-42303.0
60;Lower limit 95% forecast-interval;2027;16873694.0;3470581.0;9489407.0;3747365.0;20.2;55.1;21.3;74.7;35.7;37.5;159543.0;1.46;136054.0;80.65;79.23;82.02;18.73;17.73;19.67;120550.0;129527.0;-41445.0
61;Lower limit 95% forecast-interval;2028;16865092.0;3457824.0;9421831.0;3805317.0;20.1;54.6;21.6;75.7;35.7;38.3;158404.0;1.45;137901.0;80.69;79.3;82.05;18.75;17.77;19.66;119286.0;128732.0;-40724.0
62;Lower limit 95% forecast-interval;2029;16826856.0;3439236.0;9352766.0;3866741.0;20.0;54.1;22.0;76.8;35.6;39.1;157103.0;1.44;140081.0;80.75;79.36;82.1;18.76;17.81;19.67;119141.0;127889.0;-40583.0
63;Lower limit 95% forecast-interval;2030;16833432.0;3419193.0;9285094.0;3931976.0;19.8;53.6;22.3;77.8;35.7;40.0;156235.0;1.43;141730.0;80.81;79.44;82.14;18.79;17.85;19.67;118241.0;127583.0;-40327.0
64;Lower limit 95% forecast-interval;2031;16825424.0;3395016.0;9203393.0;3975036.0;19.7;53.1;22.5;78.7;35.7;40.8;155044.0;1.42;142681.0;80.87;79.51;82.2;18.82;17.89;19.7;119236.0;127069.0;-40517.0
65;Lower limit 95% forecast-interval;2032;16812622.0;3372299.0;9117414.0;4005007.0;19.6;52.6;22.8;79.6;35.7;41.5;153401.0;1.41;143343.0;80.94;79.58;82.27;18.85;17.93;19.73;119396.0;126955.0;-41310.0
66;Lower limit 95% forecast-interval;2033;16796750.0;3353634.0;9057550.0;4057134.0;19.5;52.1;23.1;80.5;35.7;42.1;152205.0;1.41;144329.0;81.01;79.66;82.34;18.89;17.98;19.77;119962.0;126947.0;-41833.0
67;Lower limit 95% forecast-interval;2034;16770045.0;3346259.0;8981000.0;4101856.0;19.4;51.7;23.3;81.4;35.9;42.7;151157.0;1.4;145988.0;81.08;79.73;82.42;18.93;18.02;19.81;119508.0;126904.0;-41331.0
68;Lower limit 95% forecast-interval;2035;16767374.0;3333634.0;8907761.0;4152383.0;19.4;51.1;23.6;82.5;36.0;43.4;149845.0;1.39;148117.0;81.16;79.81;82.5;18.98;18.07;19.86;118383.0;127082.0;-42357.0
