ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudensMet52WekenInkomen_1;PercentageHuishMetEenLaagInkomen_2
424;Arnhem (SG);Eenoudergezin;5.8;26.9
425;Nijmegen (SG);Totaal particulier huishouden;111.1;11.1
426;Nijmegen (SG);Eenpersoonshuishouden;39.2;16.5
427;Nijmegen (SG);Paar zonder kinderen;32.6;5.4
428;Nijmegen (SG);Paar met kinderen;29.9;6.5
429;Nijmegen (SG);Eenoudergezin;5.5;33.0
430;Amersfoort (SG);Totaal particulier huishouden;103.7;7.0
431;Amersfoort (SG);Eenpersoonshuishouden;31.2;10.8
432;Amersfoort (SG);Paar zonder kinderen;31.0;3.3
433;Amersfoort (SG);Paar met kinderen;33.4;4.7
434;Amersfoort (SG);Eenoudergezin;4.5;23.9
435;Utrecht (SG);Totaal particulier huishouden;230.5;9.1
436;Utrecht (SG);Eenpersoonshuishouden;86.6;12.8
437;Utrecht (SG);Paar zonder kinderen;65.4;3.6
438;Utrecht (SG);Paar met kinderen;58.2;6.6
439;Utrecht (SG);Eenoudergezin;10.6;28.8
440;Amsterdam (SG);Totaal particulier huishouden;629.3;12.8
441;Amsterdam (SG);Eenpersoonshuishouden;263.6;16.6
442;Amsterdam (SG);Paar zonder kinderen;155.6;4.7
443;Amsterdam (SG);Paar met kinderen;136.5;8.7
444;Amsterdam (SG);Eenoudergezin;45.2;32.7
445;Haarlem (SG);Totaal particulier huishouden;172.3;7.8
446;Haarlem (SG);Eenpersoonshuishouden;60.7;11.1
447;Haarlem (SG);Paar zonder kinderen;51.9;3.2
448;Haarlem (SG);Paar met kinderen;45.5;4.7
449;Haarlem (SG);Eenoudergezin;8.1;29.0
450;Leiden (SG);Totaal particulier huishouden;130.8;7.4
451;Leiden (SG);Eenpersoonshuishouden;43.7;11.0
452;Leiden (SG);Paar zonder kinderen;37.7;3.5
453;Leiden (SG);Paar met kinderen;39.4;4.6
454;Leiden (SG);Eenoudergezin;5.9;24.5
455;'s-Gravenhage (SG);Totaal particulier huishouden;380.5;11.4
456;'s-Gravenhage (SG);Eenpersoonshuishouden;152.4;14.0
457;'s-Gravenhage (SG);Paar zonder kinderen;100.1;4.4
458;'s-Gravenhage (SG);Paar met kinderen;86.1;8.5
459;'s-Gravenhage (SG);Eenoudergezin;25.3;33.6
460;Rotterdam (SG);Totaal particulier huishouden;509.8;12.6
461;Rotterdam (SG);Eenpersoonshuishouden;187.1;16.8
462;Rotterdam (SG);Paar zonder kinderen;143.5;4.8
463;Rotterdam (SG);Paar met kinderen;121.2;8.8
464;Rotterdam (SG);Eenoudergezin;35.4;36.5
465;Dordrecht (SG);Totaal particulier huishouden;115.6;8.5
466;Dordrecht (SG);Eenpersoonshuishouden;34.4;13.0
467;Dordrecht (SG);Paar zonder kinderen;35.9;3.6
468;Dordrecht (SG);Paar met kinderen;35.2;5.3
469;Dordrecht (SG);Eenoudergezin;5.8;31.6
470;Breda (SG);Totaal particulier huishouden;123.1;8.1
471;Breda (SG);Eenpersoonshuishouden;36.6;12.6
472;Breda (SG);Paar zonder kinderen;41.0;3.6
473;Breda (SG);Paar met kinderen;35.8;5.4
474;Breda (SG);Eenoudergezin;5.3;30.1
475;Tilburg (SG);Totaal particulier huishouden;113.7;9.3
476;Tilburg (SG);Eenpersoonshuishouden;34.8;13.6
477;Tilburg (SG);Paar zonder kinderen;36.1;4.8
478;Tilburg (SG);Paar met kinderen;33.2;5.7
479;Tilburg (SG);Eenoudergezin;5.5;34.5
480;'s-Hertogenbosch (SG);Totaal particulier huishouden;75.8;9.0
481;'s-Hertogenbosch (SG);Eenpersoonshuishouden;24.3;13.7
482;'s-Hertogenbosch (SG);Paar zonder kinderen;23.1;4.3
483;'s-Hertogenbosch (SG);Paar met kinderen;21.8;5.5
484;'s-Hertogenbosch (SG);Eenoudergezin;3.4;31.6
485;Eindhoven (SG);Totaal particulier huishouden;162.6;8.9
486;Eindhoven (SG);Eenpersoonshuishouden;52.8;13.6
487;Eindhoven (SG);Paar zonder kinderen;53.6;4.0
488;Eindhoven (SG);Paar met kinderen;43.5;5.7
489;Eindhoven (SG);Eenoudergezin;7.1;30.8
490;Geleen/Sittard (SG);Totaal particulier huishouden;64.0;9.0
491;Geleen/Sittard (SG);Eenpersoonshuishouden;17.9;14.2
492;Geleen/Sittard (SG);Paar zonder kinderen;21.8;5.3
493;Geleen/Sittard (SG);Paar met kinderen;18.8;5.0
494;Geleen/Sittard (SG);Eenoudergezin;3.1;30.1
495;Heerlen (SG);Totaal particulier huishouden;110.8;12.0
496;Heerlen (SG);Eenpersoonshuishouden;35.3;17.7
497;Heerlen (SG);Paar zonder kinderen;36.5;6.5
498;Heerlen (SG);Paar met kinderen;29.2;7.3
499;Heerlen (SG);Eenoudergezin;5.9;35.7
500;Maastricht (SG);Totaal particulier huishouden;75.5;10.7
501;Maastricht (SG);Eenpersoonshuishouden;24.9;16.3
502;Maastricht (SG);Paar zonder kinderen;23.8;5.5
503;Maastricht (SG);Paar met kinderen;20.1;6.2
504;Maastricht (SG);Eenoudergezin;3.8;31.3
505;Appingedam;Totaal particulier huishouden;5.5;10.2
506;Appingedam;Eenpersoonshuishouden;1.7;11.7
507;Appingedam;Paar zonder kinderen;2.1;4.6
508;Appingedam;Paar met kinderen;1.3;10.0
509;Appingedam;Eenoudergezin;0.2;51.1
510;Bedum;Totaal particulier huishouden;4.1;5.8
511;Bedum;Eenpersoonshuishouden;1.0;6.2
512;Bedum;Paar zonder kinderen;1.3;5.1
513;Bedum;Paar met kinderen;1.5;4.8
514;Bedum;Eenoudergezin;0.1;26.4
515;Bellingwedde;Totaal particulier huishouden;4.0;11.3
516;Bellingwedde;Eenpersoonshuishouden;1.0;14.6
517;Bellingwedde;Paar zonder kinderen;1.5;8.0
518;Bellingwedde;Paar met kinderen;1.1;9.5
519;Bellingwedde;Eenoudergezin;0.2;33.5
520;Ten Boer;Totaal particulier huishouden;2.7;10.0
521;Ten Boer;Eenpersoonshuishouden;0.6;12.2
522;Ten Boer;Paar zonder kinderen;0.8;4.5
523;Ten Boer;Paar met kinderen;1.0;10.0
524;Ten Boer;Eenoudergezin;0.1;30.2
525;Delfzijl;Totaal particulier huishouden;11.9;11.3
526;Delfzijl;Eenpersoonshuishouden;3.5;15.7
527;Delfzijl;Paar zonder kinderen;4.1;4.7
528;Delfzijl;Paar met kinderen;3.3;9.2
529;Delfzijl;Eenoudergezin;0.5;43.1
530;Groningen (gemeente);Totaal particulier huishouden;75.5;14.4
531;Groningen (gemeente);Eenpersoonshuishouden;36.4;18.7
532;Groningen (gemeente);Paar zonder kinderen;21.0;4.9
533;Groningen (gemeente);Paar met kinderen;12.2;8.8
534;Groningen (gemeente);Eenoudergezin;3.7;42.7
535;Grootegast;Totaal particulier huishouden;4.4;9.6
536;Grootegast;Eenpersoonshuishouden;1.0;17.4
537;Grootegast;Paar zonder kinderen;1.5;5.2
538;Grootegast;Paar met kinderen;1.7;6.5
539;Grootegast;Eenoudergezin;0.1;35.6
540;Haren;Totaal particulier huishouden;7.9;5.7
541;Haren;Eenpersoonshuishouden;2.5;8.4
542;Haren;Paar zonder kinderen;2.9;2.6
543;Haren;Paar met kinderen;2.1;4.5
544;Haren;Eenoudergezin;0.2;18.1
545;Hoogezand-Sappemeer;Totaal particulier huishouden;14.0;12.2
546;Hoogezand-Sappemeer;Eenpersoonshuishouden;4.2;18.5
547;Hoogezand-Sappemeer;Paar zonder kinderen;5.0;6.2
548;Hoogezand-Sappemeer;Paar met kinderen;3.7;8.4
549;Hoogezand-Sappemeer;Eenoudergezin;0.5;44.7
550;Leek;Totaal particulier huishouden;7.2;7.4
551;Leek;Eenpersoonshuishouden;1.7;11.0
552;Leek;Paar zonder kinderen;2.5;3.5
553;Leek;Paar met kinderen;2.4;6.7
554;Leek;Eenoudergezin;0.3;26.3
555;Loppersum;Totaal particulier huishouden;4.4;10.3
556;Loppersum;Eenpersoonshuishouden;1.2;14.9
557;Loppersum;Paar zonder kinderen;1.4;5.3
558;Loppersum;Paar met kinderen;1.5;9.5
559;Loppersum;Eenoudergezin;0.1;31.1
560;Marum;Totaal particulier huishouden;3.8;7.6
561;Marum;Eenpersoonshuishouden;0.9;10.7
562;Marum;Paar zonder kinderen;1.3;4.7
563;Marum;Paar met kinderen;1.3;5.4
564;Marum;Eenoudergezin;0.1;27.4
565;Almere;Totaal particulier huishouden;62.2;9.5
566;Almere;Eenpersoonshuishouden;15.7;14.1
567;Almere;Paar zonder kinderen;16.9;3.6
568;Almere;Paar met kinderen;22.1;5.9
569;Almere;Eenoudergezin;4.3;33.6
570;Stadskanaal;Totaal particulier huishouden;14.0;10.5
571;Stadskanaal;Eenpersoonshuishouden;4.0;13.8
572;Stadskanaal;Paar zonder kinderen;4.9;6.9
573;Stadskanaal;Paar met kinderen;4.0;8.1
574;Stadskanaal;Eenoudergezin;0.5;35.5
575;Scheemda;Totaal particulier huishouden;5.7;7.3
576;Scheemda;Eenpersoonshuishouden;1.4;11.5
577;Scheemda;Paar zonder kinderen;2.0;5.1
578;Scheemda;Paar met kinderen;2.0;5.6
579;Scheemda;Eenoudergezin;0.2;20.5
580;Slochteren;Totaal particulier huishouden;5.8;6.9
581;Slochteren;Eenpersoonshuishouden;1.3;8.4
582;Slochteren;Paar zonder kinderen;2.0;4.7
583;Slochteren;Paar met kinderen;2.0;4.4
584;Slochteren;Eenoudergezin;0.2;49.4
585;Veendam;Totaal particulier huishouden;11.7;10.2
586;Veendam;Eenpersoonshuishouden;3.2;16.4
587;Veendam;Paar zonder kinderen;4.1;5.6
588;Veendam;Paar met kinderen;3.3;6.0
589;Veendam;Eenoudergezin;0.6;33.9
590;Vlagtwedde;Totaal particulier huishouden;6.8;9.5
591;Vlagtwedde;Eenpersoonshuishouden;1.8;11.0
592;Vlagtwedde;Paar zonder kinderen;2.6;6.4
593;Vlagtwedde;Paar met kinderen;2.0;9.2
594;Vlagtwedde;Eenoudergezin;0.2;36.6
595;Zeewolde;Totaal particulier huishouden;6.8;8.1
596;Zeewolde;Eenpersoonshuishouden;1.3;13.5
597;Zeewolde;Paar zonder kinderen;2.1;3.5
598;Zeewolde;Paar met kinderen;2.9;7.1
599;Zeewolde;Eenoudergezin;0.2;33.4
600;SkarsterlÔn;Totaal particulier huishouden;10.5;7.0
601;SkarsterlÔn;Eenpersoonshuishouden;2.6;10.1
602;SkarsterlÔn;Paar zonder kinderen;3.7;3.9
603;SkarsterlÔn;Paar met kinderen;3.5;7.2
604;SkarsterlÔn;Eenoudergezin;0.4;20.6
605;Winschoten;Totaal particulier huishouden;8.4;11.5
606;Winschoten;Eenpersoonshuishouden;3.2;15.5
607;Winschoten;Paar zonder kinderen;2.8;5.8
608;Winschoten;Paar met kinderen;1.8;7.0
609;Winschoten;Eenoudergezin;0.4;46.6
610;Winsum;Totaal particulier huishouden;5.4;8.1
611;Winsum;Eenpersoonshuishouden;1.4;14.3
612;Winsum;Paar zonder kinderen;1.9;3.0
613;Winsum;Paar met kinderen;1.9;5.2
614;Winsum;Eenoudergezin;0.2;44.4
615;Boarnsterhim;Totaal particulier huishouden;7.6;7.3
616;Boarnsterhim;Eenpersoonshuishouden;2.1;10.4
617;Boarnsterhim;Paar zonder kinderen;2.7;2.9
618;Boarnsterhim;Paar met kinderen;2.4;5.4
619;Boarnsterhim;Eenoudergezin;0.2;47.7
620;Zuidhorn;Totaal particulier huishouden;6.7;6.1
621;Zuidhorn;Eenpersoonshuishouden;1.6;7.3
622;Zuidhorn;Paar zonder kinderen;2.2;2.9
623;Zuidhorn;Paar met kinderen;2.5;6.7
624;Zuidhorn;Eenoudergezin;0.2;17.0
625;Dongeradeel;Totaal particulier huishouden;9.7;10.2
626;Dongeradeel;Eenpersoonshuishouden;2.7;13.4
627;Dongeradeel;Paar zonder kinderen;3.1;6.8
628;Dongeradeel;Paar met kinderen;3.3;9.5
629;Dongeradeel;Eenoudergezin;0.4;19.1
630;Achtkarspelen;Totaal particulier huishouden;10.8;10.3
631;Achtkarspelen;Eenpersoonshuishouden;2.7;16.9
632;Achtkarspelen;Paar zonder kinderen;3.4;7.4
633;Achtkarspelen;Paar met kinderen;3.9;7.1
634;Achtkarspelen;Eenoudergezin;0.5;22.9
635;Ameland;Totaal particulier huishouden;1.4;8.2
636;Ameland;Eenpersoonshuishouden;0.5;11.4
637;Ameland;Paar zonder kinderen;0.4;6.3
638;Ameland;Paar met kinderen;0.4;6.0
639;Ameland;Eenoudergezin;;
640;het Bildt;Totaal particulier huishouden;4.2;8.4
641;het Bildt;Eenpersoonshuishouden;1.2;9.5
642;het Bildt;Paar zonder kinderen;1.5;5.8
643;het Bildt;Paar met kinderen;1.3;8.8
644;het Bildt;Eenoudergezin;0.1;32.5
645;Bolsward;Totaal particulier huishouden;3.9;8.5
646;Bolsward;Eenpersoonshuishouden;1.3;12.7
647;Bolsward;Paar zonder kinderen;1.3;3.2
648;Bolsward;Paar met kinderen;1.0;6.2
649;Bolsward;Eenoudergezin;0.1;34.6
650;Dantumadeel;Totaal particulier huishouden;7.3;8.8
651;Dantumadeel;Eenpersoonshuishouden;1.8;16.5
652;Dantumadeel;Paar zonder kinderen;2.3;5.7
653;Dantumadeel;Paar met kinderen;2.8;6.0
654;Dantumadeel;Eenoudergezin;0.2;15.9
655;Franekeradeel;Totaal particulier huishouden;8.5;11.0
656;Franekeradeel;Eenpersoonshuishouden;2.8;19.2
657;Franekeradeel;Paar zonder kinderen;2.6;4.7
658;Franekeradeel;Paar met kinderen;2.5;6.6
659;Franekeradeel;Eenoudergezin;0.3;25.6
660;Harlingen;Totaal particulier huishouden;6.5;11.6
661;Harlingen;Eenpersoonshuishouden;2.1;15.7
662;Harlingen;Paar zonder kinderen;2.2;7.7
663;Harlingen;Paar met kinderen;1.7;7.2
664;Harlingen;Eenoudergezin;0.3;38.1
665;Heerenveen;Totaal particulier huishouden;17.8;9.3
666;Heerenveen;Eenpersoonshuishouden;5.7;14.4
667;Heerenveen;Paar zonder kinderen;6.1;4.2
668;Heerenveen;Paar met kinderen;4.8;6.4
669;Heerenveen;Eenoudergezin;0.7;34.4
670;Kollumerland en Nieuwkruisland;Totaal particulier huishouden;5.0;8.1
671;Kollumerland en Nieuwkruisland;Eenpersoonshuishouden;1.2;10.4
672;Kollumerland en Nieuwkruisland;Paar zonder kinderen;1.7;4.8
673;Kollumerland en Nieuwkruisland;Paar met kinderen;1.8;7.9
674;Kollumerland en Nieuwkruisland;Eenoudergezin;0.2;23.0
675;Leeuwarden;Totaal particulier huishouden;39.1;13.2
676;Leeuwarden;Eenpersoonshuishouden;16.3;18.3
677;Leeuwarden;Paar zonder kinderen;11.7;4.5
678;Leeuwarden;Paar met kinderen;7.9;8.8
679;Leeuwarden;Eenoudergezin;2.0;40.6
680;Leeuwarderadeel;Totaal particulier huishouden;4.0;4.8
681;Leeuwarderadeel;Eenpersoonshuishouden;0.8;8.5
682;Leeuwarderadeel;Paar zonder kinderen;1.4;2.7
683;Leeuwarderadeel;Paar met kinderen;1.5;3.2
684;Leeuwarderadeel;Eenoudergezin;0.2;19.1
685;Lemsterland;Totaal particulier huishouden;5.3;10.5
686;Lemsterland;Eenpersoonshuishouden;1.3;14.2
687;Lemsterland;Paar zonder kinderen;1.9;6.0
688;Lemsterland;Paar met kinderen;1.6;9.3
689;Lemsterland;Eenoudergezin;0.2;38.9
690;Menaldumadeel;Totaal particulier huishouden;5.5;6.2
691;Menaldumadeel;Eenpersoonshuishouden;1.4;11.2
692;Menaldumadeel;Paar zonder kinderen;1.9;2.0
693;Menaldumadeel;Paar met kinderen;2.0;5.5
694;Menaldumadeel;Eenoudergezin;0.1;29.3
695;Ooststellingwerf;Totaal particulier huishouden;10.6;9.6
696;Ooststellingwerf;Eenpersoonshuishouden;2.8;13.4
697;Ooststellingwerf;Paar zonder kinderen;3.8;6.1
698;Ooststellingwerf;Paar met kinderen;3.3;7.8
699;Ooststellingwerf;Eenoudergezin;0.4;34.9
700;Opsterland;Totaal particulier huishouden;11.4;7.1
701;Opsterland;Eenpersoonshuishouden;3.1;8.7
702;Opsterland;Paar zonder kinderen;3.9;4.8
703;Opsterland;Paar met kinderen;3.7;6.6
704;Opsterland;Eenoudergezin;0.3;28.8
705;Schiermonnikoog;Totaal particulier huishouden;0.5;6.5
706;Schiermonnikoog;Eenpersoonshuishouden;0.2;5.9
707;Schiermonnikoog;Paar zonder kinderen;0.1;4.1
708;Schiermonnikoog;Paar met kinderen;0.1;8.2
709;Schiermonnikoog;Eenoudergezin;;
710;Smallingerland;Totaal particulier huishouden;21.8;9.9
711;Smallingerland;Eenpersoonshuishouden;6.6;15.0
712;Smallingerland;Paar zonder kinderen;7.2;4.5
713;Smallingerland;Paar met kinderen;6.3;7.1
714;Smallingerland;Eenoudergezin;1.0;33.1
715;Sneek;Totaal particulier huishouden;13.9;11.4
716;Sneek;Eenpersoonshuishouden;4.6;16.3
717;Sneek;Paar zonder kinderen;4.6;4.8
718;Sneek;Paar met kinderen;3.6;7.6
719;Sneek;Eenoudergezin;0.6;45.2
720;Terschelling;Totaal particulier huishouden;1.9;7.5
721;Terschelling;Eenpersoonshuishouden;0.7;9.6
722;Terschelling;Paar zonder kinderen;0.5;4.7
723;Terschelling;Paar met kinderen;0.5;7.1
724;Terschelling;Eenoudergezin;0.1;13.0
725;Vlieland;Totaal particulier huishouden;0.5;7.0
726;Vlieland;Eenpersoonshuishouden;0.2;5.4
727;Vlieland;Paar zonder kinderen;0.2;8.9
728;Vlieland;Paar met kinderen;0.1;2.3
729;Vlieland;Eenoudergezin;;
730;Weststellingwerf;Totaal particulier huishouden;10.6;8.8
731;Weststellingwerf;Eenpersoonshuishouden;2.9;12.1
732;Weststellingwerf;Paar zonder kinderen;3.8;5.6
733;Weststellingwerf;Paar met kinderen;3.0;7.3
734;Weststellingwerf;Eenoudergezin;0.4;31.2
735;Nijefurd;Totaal particulier huishouden;4.4;10.5
736;Nijefurd;Eenpersoonshuishouden;1.3;18.5
737;Nijefurd;Paar zonder kinderen;1.5;5.2
738;Nijefurd;Paar met kinderen;1.3;9.3
739;Nijefurd;Eenoudergezin;0.2;10.7
740;Assen;Totaal particulier huishouden;25.1;10.4
741;Assen;Eenpersoonshuishouden;8.0;15.9
742;Assen;Paar zonder kinderen;8.0;3.4
743;Assen;Paar met kinderen;7.0;7.0
744;Assen;Eenoudergezin;1.3;34.9
745;Coevorden;Totaal particulier huishouden;14.4;9.6
746;Coevorden;Eenpersoonshuishouden;3.7;12.7
747;Coevorden;Paar zonder kinderen;5.1;4.7
748;Coevorden;Paar met kinderen;4.5;8.4
749;Coevorden;Eenoudergezin;0.5;41.5
750;Emmen;Totaal particulier huishouden;43.6;9.2
751;Emmen;Eenpersoonshuishouden;11.7;13.8
752;Emmen;Paar zonder kinderen;15.0;4.9
753;Emmen;Paar met kinderen;13.3;6.9
754;Emmen;Eenoudergezin;1.8;34.7
755;Hoogeveen;Totaal particulier huishouden;21.1;8.4
756;Hoogeveen;Eenpersoonshuishouden;5.8;10.9
757;Hoogeveen;Paar zonder kinderen;7.0;4.5
758;Hoogeveen;Paar met kinderen;6.7;7.0
759;Hoogeveen;Eenoudergezin;0.9;33.6
760;Meppel;Totaal particulier huishouden;12.5;7.1
761;Meppel;Eenpersoonshuishouden;3.8;10.1
762;Meppel;Paar zonder kinderen;4.2;3.9
763;Meppel;Paar met kinderen;3.6;4.6
764;Meppel;Eenoudergezin;0.5;29.5
765;Littenseradiel;Totaal particulier huishouden;4.1;8.2
766;Littenseradiel;Eenpersoonshuishouden;1.0;14.4
767;Littenseradiel;Paar zonder kinderen;1.4;4.0
768;Littenseradiel;Paar met kinderen;1.5;6.2
769;Littenseradiel;Eenoudergezin;0.1;35.2
770;Almelo;Totaal particulier huishouden;28.9;12.6
771;Almelo;Eenpersoonshuishouden;8.7;17.0
772;Almelo;Paar zonder kinderen;9.1;6.9
773;Almelo;Paar met kinderen;8.4;9.9
774;Almelo;Eenoudergezin;1.4;40.5
775;Bathmen;Totaal particulier huishouden;2.1;4.9
776;Bathmen;Eenpersoonshuishouden;0.4;2.8
777;Bathmen;Paar zonder kinderen;0.8;1.9
778;Bathmen;Paar met kinderen;0.8;6.7
779;Bathmen;Eenoudergezin;;
780;Borne;Totaal particulier huishouden;7.8;6.5
781;Borne;Eenpersoonshuishouden;1.8;9.3
782;Borne;Paar zonder kinderen;2.6;4.0
783;Borne;Paar met kinderen;2.9;4.3
784;Borne;Eenoudergezin;0.3;31.8
785;Dalfsen;Totaal particulier huishouden;9.4;5.6
786;Dalfsen;Eenpersoonshuishouden;1.9;7.9
787;Dalfsen;Paar zonder kinderen;3.0;4.5
788;Dalfsen;Paar met kinderen;3.8;5.0
789;Dalfsen;Eenoudergezin;0.3;9.7
790;Deventer;Totaal particulier huishouden;35.4;10.3
791;Deventer;Eenpersoonshuishouden;11.7;14.3
792;Deventer;Paar zonder kinderen;11.1;4.8
793;Deventer;Paar met kinderen;9.4;7.7
794;Deventer;Eenoudergezin;1.5;34.0
795;Enschede;Totaal particulier huishouden;61.1;14.0
796;Enschede;Eenpersoonshuishouden;21.3;17.9
797;Enschede;Paar zonder kinderen;18.9;8.0
798;Enschede;Paar met kinderen;15.5;11.0
799;Enschede;Eenoudergezin;2.9;43.5
800;Haaksbergen;Totaal particulier huishouden;9.0;7.7
801;Haaksbergen;Eenpersoonshuishouden;1.9;16.0
802;Haaksbergen;Paar zonder kinderen;3.1;4.1
803;Haaksbergen;Paar met kinderen;3.2;5.7
804;Haaksbergen;Eenoudergezin;0.3;16.9
805;Hardenberg;Totaal particulier huishouden;20.5;7.1
806;Hardenberg;Eenpersoonshuishouden;4.4;9.2
807;Hardenberg;Paar zonder kinderen;6.3;4.9
808;Hardenberg;Paar met kinderen;8.0;6.7
809;Hardenberg;Eenoudergezin;0.8;17.6
810;Hellendoorn;Totaal particulier huishouden;13.3;5.8
811;Hellendoorn;Eenpersoonshuishouden;2.9;9.0
812;Hellendoorn;Paar zonder kinderen;4.3;4.0
813;Hellendoorn;Paar met kinderen;5.0;4.1
814;Hellendoorn;Eenoudergezin;0.5;19.3
815;Hengelo (O.);Totaal particulier huishouden;34.0;8.7
816;Hengelo (O.);Eenpersoonshuishouden;11.1;12.5
817;Hengelo (O.);Paar zonder kinderen;10.9;3.9
818;Hengelo (O.);Paar met kinderen;9.3;6.5
819;Hengelo (O.);Eenoudergezin;1.4;31.5
820;Kampen;Totaal particulier huishouden;18.2;9.5
821;Kampen;Eenpersoonshuishouden;5.0;14.1
822;Kampen;Paar zonder kinderen;5.5;4.6
823;Kampen;Paar met kinderen;6.5;8.3
824;Kampen;Eenoudergezin;0.6;28.7
825;Losser;Totaal particulier huishouden;8.2;7.8
826;Losser;Eenpersoonshuishouden;1.7;12.2
827;Losser;Paar zonder kinderen;2.8;4.7
828;Losser;Paar met kinderen;3.0;6.5
829;Losser;Eenoudergezin;0.3;27.7
830;Noordoostpolder;Totaal particulier huishouden;17.1;8.9
831;Noordoostpolder;Eenpersoonshuishouden;4.4;10.6
832;Noordoostpolder;Paar zonder kinderen;5.6;3.6
833;Noordoostpolder;Paar met kinderen;6.0;8.4
834;Noordoostpolder;Eenoudergezin;0.7;41.7
835;Oldenzaal;Totaal particulier huishouden;12.5;7.9
836;Oldenzaal;Eenpersoonshuishouden;3.4;11.6
837;Oldenzaal;Paar zonder kinderen;4.3;5.3
838;Oldenzaal;Paar met kinderen;4.0;5.0
839;Oldenzaal;Eenoudergezin;0.4;25.0
840;Ommen;Totaal particulier huishouden;6.3;7.1
841;Ommen;Eenpersoonshuishouden;1.7;8.2
842;Ommen;Paar zonder kinderen;1.8;3.4
843;Ommen;Paar met kinderen;2.3;8.4
844;Ommen;Eenoudergezin;0.2;18.3
845;Raalte;Totaal particulier huishouden;13.6;6.7
846;Raalte;Eenpersoonshuishouden;3.1;10.4
847;Raalte;Paar zonder kinderen;4.3;3.5
848;Raalte;Paar met kinderen;5.1;5.4
849;Raalte;Eenoudergezin;0.5;24.8
850;Rijssen;Totaal particulier huishouden;12.3;5.8
851;Rijssen;Eenpersoonshuishouden;2.6;7.1
852;Rijssen;Paar zonder kinderen;3.7;4.4
853;Rijssen;Paar met kinderen;5.0;5.7
854;Rijssen;Eenoudergezin;0.4;13.1
855;Staphorst;Totaal particulier huishouden;4.8;7.9
856;Staphorst;Eenpersoonshuishouden;0.8;10.0
857;Staphorst;Paar zonder kinderen;1.2;5.0
858;Staphorst;Paar met kinderen;2.4;8.2
859;Staphorst;Eenoudergezin;0.2;17.1
860;Tubbergen;Totaal particulier huishouden;6.6;6.6
861;Tubbergen;Eenpersoonshuishouden;1.1;11.7
862;Tubbergen;Paar zonder kinderen;1.7;3.8
863;Tubbergen;Paar met kinderen;2.9;5.8
864;Tubbergen;Eenoudergezin;0.3;9.9
865;Urk;Totaal particulier huishouden;4.5;8.5
866;Urk;Eenpersoonshuishouden;0.8;6.3
867;Urk;Paar zonder kinderen;0.7;4.1
868;Urk;Paar met kinderen;2.7;9.3
869;Urk;Eenoudergezin;0.2;18.2
870;Wierden;Totaal particulier huishouden;8.1;5.8
871;Wierden;Eenpersoonshuishouden;1.5;5.8
872;Wierden;Paar zonder kinderen;2.5;6.1
873;Wierden;Paar met kinderen;3.3;4.8
874;Wierden;Eenoudergezin;0.3;18.4
875;Zwolle;Totaal particulier huishouden;45.7;9.2
876;Zwolle;Eenpersoonshuishouden;16.3;13.6
877;Zwolle;Paar zonder kinderen;14.0;3.7
878;Zwolle;Paar met kinderen;12.0;5.5
879;Zwolle;Eenoudergezin;2.0;33.5
880;Rijnwaarden;Totaal particulier huishouden;4.2;7.1
881;Rijnwaarden;Eenpersoonshuishouden;0.8;10.4
882;Rijnwaarden;Paar zonder kinderen;1.5;4.5
883;Rijnwaarden;Paar met kinderen;1.5;6.2
884;Rijnwaarden;Eenoudergezin;0.2;22.7
885;Aalten;Totaal particulier huishouden;7.0;7.1
886;Aalten;Eenpersoonshuishouden;1.8;8.6
887;Aalten;Paar zonder kinderen;2.2;5.0
888;Aalten;Paar met kinderen;2.4;6.8
889;Aalten;Eenoudergezin;0.2;15.6
890;Angerlo;Totaal particulier huishouden;1.9;5.9
891;Angerlo;Eenpersoonshuishouden;0.4;9.9
892;Angerlo;Paar zonder kinderen;0.6;3.1
893;Angerlo;Paar met kinderen;0.7;4.0
894;Angerlo;Eenoudergezin;0.1;23.9
895;Apeldoorn;Totaal particulier huishouden;63.3;8.1
896;Apeldoorn;Eenpersoonshuishouden;19.6;11.8
897;Apeldoorn;Paar zonder kinderen;20.2;4.0
898;Apeldoorn;Paar met kinderen;18.2;5.1
899;Apeldoorn;Eenoudergezin;2.8;31.8
900;Arnhem;Totaal particulier huishouden;58.1;9.8
901;Arnhem;Eenpersoonshuishouden;23.2;13.0
902;Arnhem;Paar zonder kinderen;17.3;4.9
903;Arnhem;Paar met kinderen;12.4;7.0
904;Arnhem;Eenoudergezin;2.6;28.9
905;Barneveld;Totaal particulier huishouden;16.3;6.6
906;Barneveld;Eenpersoonshuishouden;3.4;9.0
907;Barneveld;Paar zonder kinderen;4.7;4.1
908;Barneveld;Paar met kinderen;6.8;6.5
909;Barneveld;Eenoudergezin;0.7;16.5
910;Bergh;Totaal particulier huishouden;7.0;8.2
911;Bergh;Eenpersoonshuishouden;1.5;11.9
912;Bergh;Paar zonder kinderen;2.4;6.7
913;Bergh;Paar met kinderen;2.3;6.2
914;Bergh;Eenoudergezin;0.3;19.6
915;Beuningen;Totaal particulier huishouden;9.4;6.9
916;Beuningen;Eenpersoonshuishouden;2.0;12.1
917;Beuningen;Paar zonder kinderen;3.0;3.9
918;Beuningen;Paar met kinderen;3.7;4.3
