ID;SectorBranchesSIC2008;Periods;CompensationOfEmployees_1;CompensationSeasonalAdjusted_2;WagesAndSalaries_3;WagesSeasonalAdjusted_4;EmployersSocialContributions_5;SocialContributionsSeasonalAdjusted_6;WageCosts_7;CompensationOfEmployees_8;WagesAndSalaries_9;WageCosts_10;CompensationPerFte_11;WagesPerFte_12;WageCostsPerFte_13;CompensationPerHourWorked_14;WagesPerHourWorked_15;WageCostsPerHourWorked_16;CompensationPerFte_17;WagesPerFte_18;WageCostsPerFte_19;CompensationPerHourWorked_20;WagesPerHourWorked_21;WageCostsPerHourWorked_22;FullTimeEquivalentFte_23;HoursWorked_24;FullTimeEquivalentFte_25;HoursWorked_26;Total_27;Male_28;Female_29;Total_30;Male_31;Female_32
255;A Agriculture, forestry and fishing;2016 1st quarter;689;770.0;544;611.0;145;159.0;681;3.9;3.9;3.5;10.0;7.9;9.9;21.4;16.9;21.1;1.2;1.2;0.8;1.2;1.2;0.8;69;32;2.7;2.6;101;67;33;2.4;1.7;3.8
256;A Agriculture, forestry and fishing;2016 2nd quarter;854;765.0;685;608.0;169;157.0;841;1.1;0.4;0.5;11.2;9.0;11.0;25.1;20.2;24.7;-1.4;-2.1;-2.0;-5.4;-6.1;-6.0;76;34;2.5;6.9;111;74;37;2.4;1.7;3.9
257;A Agriculture, forestry and fishing;2016 3rd quarter;788;779.0;622;619.0;166;160.0;773;3.8;3.2;2.7;9.5;7.5;9.3;21.9;17.3;21.5;2.1;1.5;1.1;1.8;1.3;0.8;84;36;1.7;1.9;119;77;41;1.3;0.7;2.4
258;A Agriculture, forestry and fishing;2016 4th quarter;771;790.0;613;628.0;158;162.0;757;4.0;4.1;3.1;10.6;8.4;10.4;22.2;17.6;21.8;3.1;3.2;2.2;3.3;3.4;2.4;73;35;0.9;0.7;106;71;35;0.7;0.3;1.4
259;A Agriculture, forestry and fishing;2016;3102;;2464;;638;;3052;3.1;2.7;2.4;41.1;32.7;40.5;22.6;18.0;22.3;1.2;0.8;0.5;0.2;-0.2;-0.5;75;137;1.9;2.9;109;72;37;1.6;1.1;2.8
260;A Agriculture, forestry and fishing;2017 1st quarter;712;793.0;566;634.0;146;159.0;702;3.6;4.2;3.4;10.0;8.0;9.9;20.9;16.6;20.6;0.4;1.0;0.2;-2.4;-1.8;-2.6;71;34;3.2;6.1;103;69;34;2.0;1.7;2.6
261;A Agriculture, forestry and fishing;2017 2nd quarter;897;803.0;722;641.0;175;162.0;882;4.9;5.2;4.7;11.3;9.1;11.1;25.5;20.6;25.1;1.0;1.3;0.9;1.7;2.0;1.5;79;35;3.8;3.1;113;75;38;2.2;1.8;3.1
262;A Agriculture, forestry and fishing;2017 3rd quarter;822;814.0;652;650.0;170;164.0;805;3.9;4.6;3.7;9.5;7.6;9.3;21.8;17.3;21.4;0.5;1.2;0.3;-0.2;0.5;-0.4;86;38;3.3;4.1;121;79;42;2.2;2.1;2.3
263;A Agriculture, forestry and fishing;2017 4th quarter;810;833.0;650;666.0;160;167.0;792;5.5;6.4;5.0;10.9;8.7;10.6;23.0;18.4;22.5;2.6;3.5;2.2;3.7;4.6;3.3;75;35;2.8;1.7;107;71;36;1.7;1.3;2.6
264;A Agriculture, forestry and fishing;2017;3241;;2590;;651;;3181;4.5;5.2;4.3;41.6;33.3;40.8;22.8;18.2;22.4;1.2;1.8;0.9;0.8;1.4;0.5;78;142;3.3;3.7;111;74;38;2.1;1.8;2.7
265;A Agriculture, forestry and fishing;2018 1st quarter;761;845.0;602;672.0;159;173.0;752;6.8;6.3;7.0;10.4;8.2;10.3;21.7;17.2;21.5;3.5;3.1;3.8;4.2;3.7;4.4;73;35;3.1;2.5;105;70;35;2.1;1.6;3.0
266;A Agriculture, forestry and fishing;2018 2nd quarter;964;863.0;774;687.0;190;176.0;953;7.6;7.2;8.2;11.7;9.4;11.6;26.4;21.2;26.1;3.8;3.4;4.4;3.3;2.9;3.9;82;37;3.7;4.1;115;76;40;2.0;1.3;3.5
267;A Agriculture, forestry and fishing;2018 3rd quarter;880;871.0;691;689.0;189;182.0;864;7.2;6.1;7.4;9.9;7.8;9.7;22.6;17.8;22.2;3.8;2.8;4.1;3.4;2.4;3.7;89;39;3.2;3.6;124;80;44;1.9;0.9;3.7
268;A Agriculture, forestry and fishing;2018 4th quarter;850;876.0;676;694.0;174;182.0;832;4.8;3.9;4.9;11.0;8.8;10.8;22.9;18.3;22.5;1.3;0.5;1.5;-0.1;-0.9;0.0;77;37;3.4;4.9;109;72;37;1.9;1.0;3.7
269;A Agriculture, forestry and fishing;2018;3455;;2743;;712;;3401;6.6;5.9;6.9;42.9;34.1;42.3;23.4;18.6;23.0;3.2;2.5;3.5;2.7;2.0;3.0;80;148;3.3;3.8;113;74;39;2.0;1.2;3.5
270;A Agriculture, forestry and fishing;2019 1st quarter;812;898.0;635;707.0;177;191.0;797;6.5;5.4;5.8;10.7;8.3;10.5;22.5;17.6;22.1;2.9;1.8;2.2;3.6;2.5;2.9;76;36;3.5;2.8;107;71;37;2.4;1.6;3.9
271;A Agriculture, forestry and fishing;2019 2nd quarter;1012;906.0;802;712.0;210;194.0;995;5.2;3.9;4.6;12.1;9.6;11.9;26.9;21.3;26.4;3.0;1.6;2.4;1.9;0.6;1.4;84;38;2.2;3.2;117;76;41;1.3;0.5;2.8
272;A Agriculture, forestry and fishing;2019 3rd quarter;933;925.0;728;727.0;205;198.0;916;5.8;5.1;5.8;10.2;8.0;10.0;22.8;17.9;22.4;3.2;2.6;3.2;1.2;0.5;1.1;91;41;2.5;4.6;126;80;45;1.4;0.6;2.9
273;A Agriculture, forestry and fishing;2019 4th quarter;902;931.0;712;732.0;190;199.0;884;6.3;5.4;6.4;11.4;9.0;11.2;23.8;18.8;23.3;3.5;2.7;3.7;3.8;2.9;3.9;79;38;2.6;2.4;111;73;38;1.5;0.9;2.5
274;A Agriculture, forestry and fishing;2019;3659;;2877;;782;;3592;5.9;4.9;5.6;44.3;34.8;43.5;24.0;18.9;23.6;3.2;2.2;2.9;2.6;1.6;2.3;83;152;2.7;3.3;115;75;40;1.6;0.9;3.0
275;A Agriculture, forestry and fishing;2020 1st quarter;852;940.0;669;744.0;183;196.0;835;4.9;5.2;4.7;11.0;8.6;10.8;24.0;18.8;23.5;2.9;3.2;2.7;6.5;6.8;6.4;78;35;1.9;-1.5;108;71;37;0.8;0.4;1.7
276;A Agriculture, forestry and fishing;2020 2nd quarter;1056;944.0;841;745.0;215;199.0;1004;4.2;4.7;0.8;12.1;9.7;11.5;26.5;21.1;25.2;0.5;1.0;-2.8;-1.3;-0.8;-4.5;87;40;3.7;5.5;119;77;42;1.6;0.8;3.0
277;A Agriculture, forestry and fishing;2020 3rd quarter;963;957.0;750;750.0;213;207.0;924;3.5;3.4;1.2;10.3;8.1;9.9;24.4;19.1;23.4;1.3;1.2;-1.0;7.0;6.9;4.5;93;39;2.1;-3.2;128;81;47;2.1;1.2;3.6
278;A Agriculture, forestry and fishing;2020 4th quarter;938;969.0;736;758.0;202;211.0;894;3.9;3.3;1.1;11.6;9.1;11.1;23.6;18.5;22.5;1.6;1.0;-1.2;-0.7;-1.3;-3.5;81;40;2.3;4.7;113;74;40;2.2;1.3;3.8
279;A Agriculture, forestry and fishing;2020;3809;;2996;;813;;3657;4.1;4.1;1.8;45.0;35.4;43.2;24.7;19.4;23.7;1.6;1.6;-0.7;2.7;2.8;0.5;85;154;2.5;1.3;117;76;41;1.7;0.9;3.1
280;A Agriculture, forestry and fishing;2021 1st quarter;883;972.0;685;761.0;198;211.0;850;3.6;2.5;1.7;11.1;8.6;10.7;23.2;18.0;22.3;1.3;0.2;-0.5;-3.4;-4.4;-5.1;79;38;2.2;7.2;111;72;39;2.6;1.6;4.6
281;A Agriculture, forestry and fishing;2021 2nd quarter;1098;979.0;869;768.0;229;211.0;1063;4.1;3.6;6.0;12.7;10.0;12.3;27.9;22.1;27.0;4.3;3.8;6.2;4.9;4.4;6.8;87;39;-0.2;-0.8;121;78;43;1.8;1.0;3.3
282;A Agriculture, forestry and fishing;2021 3rd quarter;985;983.0;777;778.0;208;205.0;953;2.3;3.3;3.2;10.6;8.4;10.2;25.2;19.9;24.4;2.6;3.6;3.5;3.4;4.4;4.2;93;39;-0.3;-1.0;128;81;47;-0.4;-0.5;-0.1
283;A Agriculture, forestry and fishing;2021 4th quarter;971;1005.0;767;791.0;204;214.0;936;3.4;4.3;4.6;11.8;9.3;11.4;24.2;19.1;23.3;1.9;2.7;3.1;2.4;3.3;3.6;82;40;1.5;1.0;115;75;41;1.5;1.1;2.3
284;A Agriculture, forestry and fishing;2021;3937;;3098;;839;;3802;3.4;3.4;4.0;46.1;36.3;44.6;25.1;19.8;24.3;2.6;2.6;3.2;1.9;1.9;2.5;85;157;0.8;1.4;119;76;42;1.4;0.8;2.4
285;A Agriculture, forestry and fishing;2022 1st quarter;921;1013.0;714;793.0;207;220.0;897;4.5;4.5;5.7;11.6;9.0;11.3;24.6;19.1;23.9;4.5;4.5;5.8;6.0;6.0;7.3;79;38;0.0;-1.4;110;71;39;-0.8;-1.2;-0.1
286;A Agriculture, forestry and fishing;2022 2nd quarter;1154;1026.0;916;808.0;238;218.0;1131;5.0;5.2;6.3;13.3;10.6;13.1;30.2;24.0;29.6;5.2;5.4;6.5;8.4;8.6;9.7;87;38;-0.2;-3.1;119;76;43;-1.6;-2.2;-0.7
287;A Agriculture, forestry and fishing;2022 3rd quarter;1036;1036.0;814;817.0;222;219.0;1010;5.0;4.5;5.8;11.1;8.8;10.9;25.3;19.9;24.7;5.3;4.8;6.0;0.2;-0.2;1.0;93;41;-0.3;4.7;125;79;46;-1.9;-2.3;-1.1
288;A Agriculture, forestry and fishing;2022 4th quarter;1009;1047.0;792;819.0;217;228.0;984;4.1;3.5;5.4;12.5;9.8;12.2;25.8;20.3;25.2;5.7;5.0;6.9;6.7;6.0;8.0;81;39;-1.5;-2.4;111;72;40;-3.3;-3.9;-2.2
289;A Agriculture, forestry and fishing;2022;4120;;3236;;884;;4022;4.7;4.4;5.8;48.5;38.1;47.4;26.5;20.8;25.8;5.2;4.9;6.3;5.3;5.0;6.4;85;156;-0.5;-0.6;116;75;42;-1.9;-2.4;-1.0
290;A Agriculture, forestry and fishing;2023 1st quarter;978;1072.0;763;845.0;215;227.0;961;5.9;6.7;6.9;12.5;9.8;12.3;26.2;20.4;25.7;7.8;8.6;8.8;6.5;7.3;7.5;78;37;-1.8;-0.6;106;69;37;-3.6;-3.5;-3.8
291;A Agriculture, forestry and fishing;2023 2nd quarter;1231;1094.0;979;863.0;252;231.0;1203;6.7;6.9;6.4;14.5;11.5;14.1;32.7;26.0;31.9;8.6;8.8;8.3;8.2;8.4;7.9;85;38;-1.7;-1.4;115;73;41;-3.6;-3.4;-3.8
292;A Agriculture, forestry and fishing;2023 3rd quarter;1101;1102.0;860;864.0;241;238.0;1074;6.4;5.8;6.5;12.2;9.5;11.9;28.1;21.9;27.4;9.5;8.9;9.5;10.9;10.4;11.0;90;39;-2.8;-4.1;120;76;44;-3.8;-3.6;-4.1
293;A Agriculture, forestry and fishing;2023 4th quarter;1076;1118.0;844;874.0;232;244.0;1051;6.6;6.5;6.7;13.3;10.4;13.0;28.1;22.0;27.4;6.5;6.4;6.7;8.7;8.6;8.8;81;38;0.1;-1.9;111;71;39;-0.5;-0.4;-0.7
294;A Agriculture, forestry and fishing;2023;4386;;3446;;940;;4289;6.4;6.5;6.6;52.5;41.2;51.3;28.8;22.6;28.1;8.2;8.2;8.4;8.6;8.7;8.8;84;153;-1.6;-2.0;113;72;41;-2.9;-2.8;-3.2
295;A Agriculture, forestry and fishing;2024 1st quarter;1045;1144.0;812;897.0;233;247.0;1032;7.1;6.7;7.7;13.4;10.4;13.2;28.3;22.0;28.0;6.7;6.3;7.3;8.2;7.7;8.8;78;37;0.4;-1.0;106;68;37;-0.3;-0.6;0.2
296;A Agriculture, forestry and fishing;2024 2nd quarter;1307;1163.0;1030;909.0;277;254.0;1284;6.0;5.3;6.6;15.4;12.1;15.1;34.3;27.0;33.7;6.4;5.6;6.9;4.9;4.1;5.5;85;38;-0.3;1.1;114;73;42;-0.5;-1.1;0.7
297;A Agriculture, forestry and fishing;2024 3rd quarter;1189;1190.0;925;930.0;264;260.0;1166;8.0;7.5;8.5;13.2;10.3;13.0;30.2;23.5;29.6;8.5;8.0;9.0;7.6;7.1;8.1;90;39;-0.5;0.4;120;75;44;-0.5;-0.9;0.2
298;A Agriculture, forestry and fishing;2024 4th quarter;1169;1214.0;915;947.0;254;267.0;1145;8.6;8.4;8.9;14.3;11.2;14.1;29.8;23.3;29.2;7.9;7.7;8.2;6.2;6.0;6.5;82;39;0.7;2.3;111;71;40;0.3;0.0;0.9
299;A Agriculture, forestry and fishing;2024;4710;;3682;;1028;;4627;7.4;6.9;7.9;56.4;44.1;55.4;30.7;24.0;30.1;7.4;6.9;7.9;6.7;6.2;7.1;84;154;0.0;0.7;113;72;41;-0.3;-0.7;0.5
300;B-E Industry (no construction), energy;1995 1st quarter;6776;7161.0;5662;6013.0;1114;;6766;;;;8.6;7.2;8.6;18.6;15.5;18.5;;;;;;;784;365;;;846;697;149;;;
301;B-E Industry (no construction), energy;1995 2nd quarter;8143;7174.0;6989;6043.0;1154;;8115;;;;10.3;8.9;10.3;24.7;21.2;24.6;;;;;;;788;330;;;850;701;149;;;
302;B-E Industry (no construction), energy;1995 3rd quarter;6721;7226.0;5624;6098.0;1097;;6703;;;;8.4;7.1;8.4;21.1;17.6;21.0;;;;;;;797;319;;;860;709;151;;;
303;B-E Industry (no construction), energy;1995 4th quarter;7159;7246.0;6007;6136.0;1152;;7127;;;;9.0;7.5;8.9;18.4;15.5;18.3;;;;;;;798;388;;;862;710;151;;;
304;B-E Industry (no construction), energy;1995;28799;;24282;;4517;;28711;;;;36.4;30.7;36.3;20.5;17.3;20.5;;;;;;;792;1401;;;854;704;150;;;
305;B-E Industry (no construction), energy;1996 1st quarter;6845;7229.0;5710;6059.0;1135;;6818;1.0;0.8;0.7;8.8;7.4;8.8;18.8;15.7;18.7;1.9;1.8;1.7;1.0;0.9;0.8;777;365;-0.9;-0.1;840;692;148;-0.8;-0.8;-0.6
306;B-E Industry (no construction), energy;1996 2nd quarter;8209;7229.0;7030;6075.0;1179;;8158;0.8;0.6;0.5;10.5;9.0;10.5;24.9;21.4;24.8;1.8;1.6;1.6;1.0;0.7;0.7;780;329;-1.0;-0.1;843;694;148;-0.9;-0.9;-0.7
307;B-E Industry (no construction), energy;1996 3rd quarter;6736;7246.0;5624;6105.0;1112;;6701;0.2;0.0;0.0;8.6;7.2;8.5;21.3;17.8;21.2;1.8;1.6;1.6;0.9;0.7;0.7;784;316;-1.5;-0.7;848;699;149;-1.4;-1.4;-1.3
308;B-E Industry (no construction), energy;1996 4th quarter;7189;7285.0;6023;6156.0;1166;;7127;0.4;0.3;0.0;9.1;7.6;9.0;18.6;15.6;18.4;1.7;1.6;1.3;0.9;0.7;0.4;788;387;-1.3;-0.4;852;702;150;-1.1;-1.1;-1.0
309;B-E Industry (no construction), energy;1996;28979;;24387;;4592;;28804;0.6;0.4;0.3;37.0;31.2;36.8;20.7;17.5;20.6;1.8;1.7;1.5;0.9;0.8;0.6;782;1397;-1.2;-0.3;846;697;149;-1.0;-1.1;-0.9
310;B-E Industry (no construction), energy;1997 1st quarter;6927;7304.0;5861;6214.0;1066;;6882;1.2;2.7;1.0;8.9;7.5;8.8;19.5;16.5;19.4;0.6;2.0;0.4;3.8;5.2;3.5;781;356;0.6;-2.5;843;691;152;0.4;-0.1;2.6
311;B-E Industry (no construction), energy;1997 2nd quarter;8393;7389.0;7270;6274.0;1123;;8325;2.2;3.4;2.0;10.7;9.3;10.6;24.7;21.4;24.5;1.6;2.8;1.4;-0.9;0.2;-1.1;784;340;0.6;3.2;846;694;152;0.4;-0.1;2.6
312;B-E Industry (no construction), energy;1997 3rd quarter;6878;7403.0;5818;6326.0;1060;;6821;2.0;3.4;1.7;8.7;7.4;8.7;22.0;18.6;21.8;1.7;3.1;1.4;3.2;4.6;2.8;787;313;0.3;-1.1;849;696;153;0.1;-0.4;2.3
313;B-E Industry (no construction), energy;1997 4th quarter;7385;7499.0;6271;6420.0;1114;;7309;2.8;4.1;2.6;9.3;7.9;9.2;19.2;16.3;19.0;2.4;3.8;2.2;3.5;4.9;3.3;791;384;0.3;-0.7;853;699;153;0.1;-0.4;2.3
314;B-E Industry (no construction), energy;1997;29583;;25220;;4363;;29337;2.1;3.4;1.9;37.6;32.1;37.3;21.2;18.1;21.1;1.6;3.0;1.4;2.4;3.8;2.2;786;1392;0.5;-0.3;848;695;152;0.2;-0.2;2.5
315;B-E Industry (no construction), energy;1998 1st quarter;7213;7583.0;5746;6081.0;1467;;7147;4.2;-1.9;3.9;9.2;7.3;9.1;19.7;15.7;19.5;3.7;-2.4;3.4;1.2;-4.7;0.9;785;366;0.4;2.9;849;692;157;0.7;0.1;3.7
316;B-E Industry (no construction), energy;1998 2nd quarter;8674;7641.0;7110;6129.0;1564;;8581;3.4;-2.2;3.1;11.0;9.0;10.9;25.8;21.1;25.5;2.8;-2.8;2.5;4.3;-1.3;4.0;789;337;0.6;-0.9;854;695;158;0.9;0.3;3.9
317;B-E Industry (no construction), energy;1998 3rd quarter;7191;7738.0;5686;6189.0;1505;;7112;4.5;-2.3;4.2;9.1;7.2;9.0;22.8;18.0;22.6;3.9;-2.8;3.6;3.8;-2.9;3.5;791;315;0.6;0.7;856;698;159;0.9;0.2;3.9
318;B-E Industry (no construction), energy;1998 4th quarter;7671;7806.0;6096;6257.0;1575;;7571;3.8;-2.8;3.6;9.6;7.7;9.5;19.9;15.8;19.7;3.2;-3.4;3.0;3.6;-3.0;3.3;795;385;0.6;0.2;860;701;159;0.9;0.2;3.9
319;B-E Industry (no construction), energy;1998;30749;;24638;;6111;;30411;4.0;-2.3;3.7;38.9;31.2;38.5;21.9;17.6;21.7;3.4;-2.8;3.1;3.2;-3.0;2.9;790;1402;0.6;0.7;855;696;158;0.9;0.2;3.8
320;B-E Industry (no construction), energy;1999 1st quarter;7533;7894.0;5974;6308.0;1559;;7467;4.4;4.0;4.4;9.6;7.6;9.5;20.7;16.4;20.5;4.2;3.8;4.3;4.8;4.3;4.8;786;365;0.2;-0.3;856;691;164;0.8;0.0;4.6
321;B-E Industry (no construction), energy;1999 2nd quarter;9072;8005.0;7435;6408.0;1637;;8982;4.5;4.5;4.6;11.5;9.4;11.4;26.9;22.1;26.6;4.3;4.3;4.3;4.4;4.4;4.5;791;337;0.3;0.1;861;696;166;0.9;0.1;4.7
322;B-E Industry (no construction), energy;1999 3rd quarter;7504;8068.0;5920;6442.0;1584;;7420;4.4;4.1;4.4;9.5;7.5;9.4;23.9;18.9;23.6;4.3;4.0;4.3;4.7;4.5;4.7;792;314;0.1;-0.3;862;697;166;0.7;-0.1;4.5
323;B-E Industry (no construction), energy;1999 4th quarter;7970;8123.0;6323;6504.0;1647;;7881;3.9;3.7;4.1;10.0;7.9;9.9;20.2;16.0;20.0;3.9;3.7;4.1;1.5;1.3;1.7;796;394;0.0;2.4;866;700;166;0.7;-0.2;4.5
324;B-E Industry (no construction), energy;1999;32079;;25652;;6427;;31750;4.3;4.1;4.4;40.5;32.4;40.1;22.8;18.2;22.5;4.2;3.9;4.2;3.8;3.5;3.8;791;1410;0.1;0.5;862;696;166;0.8;-0.1;4.6
325;B-E Industry (no construction), energy;2000 1st quarter;8068;8430.0;6265;6599.0;1803;;8003;7.1;4.9;7.2;10.3;8.0;10.2;21.7;16.8;21.5;7.6;5.4;7.7;4.9;2.7;5.0;782;372;-0.5;2.1;857;689;168;0.2;-0.4;2.3
326;B-E Industry (no construction), energy;2000 2nd quarter;9568;8463.0;7707;6651.0;1861;;9475;5.5;3.7;5.5;12.1;9.8;12.0;28.0;22.6;27.8;5.7;3.9;5.7;4.2;2.4;4.2;790;341;-0.2;1.2;865;695;170;0.5;-0.1;2.6
327;B-E Industry (no construction), energy;2000 3rd quarter;7975;8560.0;6157;6693.0;1818;;7892;6.3;4.0;6.3;10.1;7.8;10.0;26.0;20.0;25.7;6.5;4.2;6.6;8.6;6.3;8.7;790;307;-0.2;-2.2;866;696;170;0.4;-0.1;2.6
328;B-E Industry (no construction), energy;2000 4th quarter;8438;8606.0;6565;6753.0;1873;;8346;5.9;3.8;5.9;10.6;8.3;10.5;22.5;17.5;22.3;6.1;4.1;6.1;11.3;9.2;11.3;794;375;-0.2;-4.9;870;699;171;0.4;-0.1;2.6
329;B-E Industry (no construction), energy;2000;34049;;26694;;7355;;33716;6.1;4.1;6.2;43.1;33.8;42.7;24.4;19.1;24.2;6.4;4.4;6.5;7.2;5.1;7.3;789;1396;-0.3;-1.0;865;695;170;0.4;-0.2;2.5
330;B-E Industry (no construction), energy;2001 1st quarter;8305;8665.0;6550;6896.0;1755;;8233;2.9;4.6;2.9;10.5;8.3;10.4;22.4;17.6;22.2;1.6;3.2;1.5;3.2;4.8;3.1;793;372;1.3;-0.2;866;692;173;1.0;0.5;3.0
331;B-E Industry (no construction), energy;2001 2nd quarter;9741;8632.0;7984;6901.0;1757;;9641;1.8;3.5;1.7;12.2;10.0;12.1;28.8;23.6;28.5;1.0;2.8;1.0;2.6;4.4;2.5;796;339;0.8;-0.8;870;695;176;0.6;-0.1;3.4
332;B-E Industry (no construction), energy;2001 3rd quarter;8155;8744.0;6463;7020.0;1692;;8067;2.3;5.0;2.2;10.3;8.1;10.2;26.2;20.7;25.9;2.0;4.6;1.9;0.8;3.4;0.7;793;312;0.3;1.5;867;692;175;0.1;-0.6;3.0
333;B-E Industry (no construction), energy;2001 4th quarter;8609;8780.0;6829;7013.0;1780;;8505;2.0;4.1;1.9;10.9;8.6;10.8;22.6;17.9;22.3;2.5;4.5;2.4;0.4;2.4;0.3;790;381;-0.5;1.6;863;689;174;-0.7;-1.4;2.1
334;B-E Industry (no construction), energy;2001;34810;;27826;;6984;;34446;2.2;4.2;2.2;43.9;35.1;43.4;24.8;19.8;24.6;1.7;3.7;1.7;1.7;3.7;1.6;793;1403;0.5;0.5;867;692;175;0.2;-0.4;2.9
335;B-E Industry (no construction), energy;2002 1st quarter;8514;8881.0;6657;7017.0;1857;;8438;2.5;1.6;2.5;10.9;8.5;10.8;23.6;18.4;23.4;4.0;3.1;4.0;5.5;4.6;5.5;782;361;-1.4;-2.8;855;684;171;-1.2;-1.2;-1.4
336;B-E Industry (no construction), energy;2002 2nd quarter;10100;8953.0;8168;7060.0;1932;;9991;3.6;2.3;3.6;12.9;10.5;12.8;30.6;24.8;30.3;5.7;4.4;5.7;6.5;5.2;6.5;780;329;-2.0;-2.7;854;683;171;-1.9;-1.7;-2.6
337;B-E Industry (no construction), energy;2002 3rd quarter;8384;8993.0;6535;7108.0;1849;;8293;2.9;1.2;2.9;10.9;8.5;10.7;27.2;21.2;26.9;5.6;3.8;5.6;3.8;2.1;3.8;773;309;-2.6;-0.9;845;676;169;-2.5;-2.3;-3.6
338;B-E Industry (no construction), energy;2002 4th quarter;8897;9063.0;6996;7168.0;1901;;8783;3.3;2.4;3.3;11.6;9.1;11.4;24.1;19.0;23.8;6.4;5.4;6.3;6.6;5.7;6.5;767;369;-2.9;-3.1;839;672;167;-2.9;-2.5;-4.4
339;B-E Industry (no construction), energy;2002;35895;;28356;;7539;;35505;3.1;1.9;3.1;46.3;36.6;45.8;26.2;20.7;25.9;5.5;4.2;5.4;5.7;4.5;5.7;775;1368;-2.2;-2.4;848;679;169;-2.1;-1.9;-3.0
340;B-E Industry (no construction), energy;2003 1st quarter;8503;8883.0;6680;7052.0;1823;;8442;-0.1;0.3;0.0;11.3;8.9;11.2;24.3;19.0;24.1;3.8;4.3;4.0;2.8;3.3;3.0;752;351;-3.8;-2.9;823;661;163;-3.7;-3.4;-4.7
341;B-E Industry (no construction), energy;2003 2nd quarter;10111;8948.0;8196;7072.0;1915;;10019;0.1;0.3;0.3;13.5;11.0;13.4;31.9;25.8;31.6;4.4;4.6;4.6;4.0;4.2;4.2;748;317;-4.1;-3.7;820;658;162;-4.0;-3.7;-5.2
342;B-E Industry (no construction), energy;2003 3rd quarter;8351;8974.0;6490;7081.0;1861;;8272;-0.4;-0.7;-0.3;11.3;8.8;11.2;28.0;21.7;27.7;4.1;3.8;4.2;3.1;2.8;3.2;740;299;-4.3;-3.4;810;651;159;-4.2;-3.8;-5.6
343;B-E Industry (no construction), energy;2003 4th quarter;8819;8980.0;6926;7093.0;1893;;8725;-0.9;-1.0;-0.7;12.0;9.4;11.9;25.0;19.6;24.7;3.7;3.5;3.9;3.7;3.6;4.0;734;353;-4.4;-4.4;803;646;157;-4.3;-3.9;-5.8
344;B-E Industry (no construction), energy;2003;35784;;28292;;7492;;35458;-0.3;-0.2;-0.1;48.1;38.1;47.7;27.1;21.4;26.9;4.0;4.1;4.2;3.4;3.5;3.6;743;1319;-4.1;-3.6;814;654;160;-4.0;-3.7;-5.3
345;B-E Industry (no construction), energy;2004 1st quarter;8601;8995.0;6728;7099.0;1873;;8522;1.2;0.7;1.0;12.0;9.4;11.9;25.3;19.8;25.1;5.7;5.2;5.5;4.4;3.9;4.2;719;340;-4.3;-3.1;790;634;156;-4.1;-4.0;-4.2
346;B-E Industry (no construction), energy;2004 2nd quarter;10126;8930.0;8163;7021.0;1963;;10018;0.1;-0.4;0.0;14.1;11.4;13.9;33.5;27.0;33.1;4.3;3.7;4.1;5.0;4.4;4.8;718;302;-4.0;-4.6;789;633;156;-3.8;-3.7;-4.0
347;B-E Industry (no construction), energy;2004 3rd quarter;8279;8933.0;6392;7011.0;1887;;8184;-0.9;-1.5;-1.1;11.6;9.0;11.5;28.8;22.2;28.4;3.0;2.3;2.8;2.8;2.1;2.6;712;288;-3.7;-3.6;782;628;154;-3.5;-3.4;-3.6
348;B-E Industry (no construction), energy;2004 4th quarter;8761;8917.0;6833;6998.0;1928;;8644;-0.7;-1.3;-0.9;12.4;9.6;12.2;25.2;19.6;24.9;2.9;2.2;2.6;0.7;0.1;0.5;709;348;-3.4;-1.4;778;626;152;-3.1;-3.1;-3.0
349;B-E Industry (no construction), energy;2004;35767;;28116;;7651;;35368;-0.1;-0.6;-0.3;50.0;39.3;49.5;28.0;22.0;27.7;3.9;3.4;3.7;3.1;2.6;2.9;714;1278;-3.9;-3.1;785;630;154;-3.6;-3.6;-3.7
350;B-E Industry (no construction), energy;2005 1st quarter;8416;8805.0;6611;6965.0;1805;;8357;-2.2;-1.7;-1.9;12.0;9.4;11.9;25.8;20.3;25.6;0.6;1.0;0.8;2.0;2.4;2.2;700;326;-2.7;-4.0;771;620;150;-2.4;-2.1;-3.5
351;B-E Industry (no construction), energy;2005 2nd quarter;10073;8846.0;8161;6995.0;1912;;9980;-0.5;0.0;-0.4;14.4;11.7;14.3;33.8;27.4;33.5;2.1;2.6;2.2;0.9;1.4;1.1;700;298;-2.5;-1.4;771;620;151;-2.3;-2.1;-3.3
352;B-E Industry (no construction), energy;2005 3rd quarter;8173;8868.0;6368;7031.0;1805;;8091;-1.3;-0.4;-1.1;11.8;9.2;11.7;28.9;22.5;28.6;1.2;2.0;1.3;0.5;1.4;0.6;695;283;-2.4;-1.8;764;615;149;-2.3;-2.0;-3.3
353;B-E Industry (no construction), energy;2005 4th quarter;8653;8814.0;6814;6978.0;1839;;8555;-1.2;-0.3;-1.0;12.5;9.8;12.4;26.1;20.6;25.9;1.1;2.1;1.3;3.8;4.8;4.0;692;331;-2.3;-4.9;760;613;147;-2.3;-2.0;-3.5
