ID;RegioS;Perioden;VerkeersintensiteitenRijkswegen_1
1173;Gelderland (PV);2013 april;2423.0
1174;Gelderland (PV);2013 mei;2489.0
1175;Gelderland (PV);2013 juni;2531.0
1176;Gelderland (PV);2013 juli;2388.0
1177;Gelderland (PV);2013 augustus;2389.0
1178;Gelderland (PV);2013 september;2546.0
1179;Gelderland (PV);2013 oktober;2576.0
1180;Gelderland (PV);2013 november;2484.0
1181;Gelderland (PV);2013 december;2288.0
1182;Gelderland (PV);2013;2405.0
1183;Gelderland (PV);2014 januari;2281.0
1184;Gelderland (PV);2014 februari;2415.0
1185;Gelderland (PV);2014 maart;2439.0
1186;Gelderland (PV);2014 april;2569.0
1187;Gelderland (PV);2014 mei;2554.0
1188;Gelderland (PV);2014 juni;2626.0
1189;Gelderland (PV);2014 juli;2489.0
1190;Gelderland (PV);2014 augustus;2400.0
1191;Gelderland (PV);2014 september;2653.0
1192;Gelderland (PV);2014 oktober;2681.0
1193;Gelderland (PV);2014 november;2527.0
1194;Gelderland (PV);2014 december;2363.0
1195;Gelderland (PV);2014;2499.0
1196;Gelderland (PV);2015 januari;2316.0
1197;Gelderland (PV);2015 februari;2450.0
1198;Gelderland (PV);2015 maart;2590.0
1199;Gelderland (PV);2015 april;2628.0
1200;Gelderland (PV);2015 mei;2575.0
1201;Gelderland (PV);2015 juni;2744.0
1202;Gelderland (PV);2015 juli;2612.0
1203;Gelderland (PV);2015 augustus;2493.0
1204;Gelderland (PV);2015 september;2671.0
1205;Gelderland (PV);2015 oktober;2671.0
1206;Gelderland (PV);2015 november;2645.0
1207;Gelderland (PV);2015 december;2464.0
1208;Gelderland (PV);2015;2572.0
1209;Gelderland (PV);2016 januari;2323.0
1210;Gelderland (PV);2016 februari;2515.0
1211;Gelderland (PV);2016 maart;2609.0
1212;Gelderland (PV);2016 april;2525.0
1213;Gelderland (PV);2016 mei;2571.0
1214;Gelderland (PV);2016 juni;2677.0
1215;Gelderland (PV);2016 juli;2565.0
1216;Gelderland (PV);2016 augustus;2506.0
1217;Gelderland (PV);2016 september;2707.0
1218;Gelderland (PV);2016 oktober;2631.0
1219;Gelderland (PV);2016 november;2569.0
1220;Gelderland (PV);2016 december;2359.0
1221;Gelderland (PV);2016;2546.0
1222;Gelderland (PV);2017 januari;2243.0
1223;Gelderland (PV);2017 februari;2422.0
1224;Gelderland (PV);2017 maart;2551.0
1225;Gelderland (PV);2017 april;2498.0
1226;Gelderland (PV);2017 mei;2510.0
1227;Gelderland (PV);2017 juni;2647.0
1228;Gelderland (PV);2017 juli;2497.0
1229;Gelderland (PV);2017 augustus;2471.0
1230;Gelderland (PV);2017 september;2587.0
1231;Gelderland (PV);2017 oktober;2604.0
1232;Gelderland (PV);2017 november;2534.0
1233;Gelderland (PV);2017 december;2199.0
1234;Gelderland (PV);2017;2480.0
1235;Gelderland (PV);2018 januari;2325.0
1236;Gelderland (PV);2018 februari;2394.0
1237;Gelderland (PV);2018 maart;2527.0
1238;Gelderland (PV);2018 april;2546.0
1239;Gelderland (PV);2018 mei;2570.0
1240;Gelderland (PV);2018 juni;2624.0
1241;Gelderland (PV);2018 juli;2499.0
1242;Gelderland (PV);2018 augustus;2471.0
1243;Gelderland (PV);2018 september;2588.0
1244;Gelderland (PV);2018 oktober;2713.0
1245;Gelderland (PV);2018 november;2656.0
1246;Gelderland (PV);2018 december;2392.0
1247;Gelderland (PV);2018;2525.0
1248;Utrecht (PV);2011 januari;3440.0
1249;Utrecht (PV);2011 februari;3991.0
1250;Utrecht (PV);2011 maart;4243.0
1251;Utrecht (PV);2011 april;4248.0
1252;Utrecht (PV);2011 mei;4230.0
1253;Utrecht (PV);2011 juni;4014.0
1254;Utrecht (PV);2011 juli;3467.0
1255;Utrecht (PV);2011 augustus;3482.0
1256;Utrecht (PV);2011 september;3938.0
1257;Utrecht (PV);2011 oktober;3928.0
1258;Utrecht (PV);2011 november;3885.0
1259;Utrecht (PV);2011 december;3477.0
1260;Utrecht (PV);2011;3859.0
1261;Utrecht (PV);2012 januari;3500.0
1262;Utrecht (PV);2012 februari;3560.0
1263;Utrecht (PV);2012 maart;3813.0
1264;Utrecht (PV);2012 april;3765.0
1265;Utrecht (PV);2012 mei;3728.0
1266;Utrecht (PV);2012 juni;3611.0
1267;Utrecht (PV);2012 juli;3538.0
1268;Utrecht (PV);2012 augustus;3705.0
1269;Utrecht (PV);2012 september;3978.0
1270;Utrecht (PV);2012 oktober;4092.0
1271;Utrecht (PV);2012 november;3996.0
1272;Utrecht (PV);2012 december;3413.0
1273;Utrecht (PV);2012;3725.0
1274;Utrecht (PV);2013 januari;3519.0
1275;Utrecht (PV);2013 februari;3783.0
1276;Utrecht (PV);2013 maart;3879.0
1277;Utrecht (PV);2013 april;4029.0
1278;Utrecht (PV);2013 mei;4016.0
1279;Utrecht (PV);2013 juni;4146.0
1280;Utrecht (PV);2013 juli;3944.0
1281;Utrecht (PV);2013 augustus;3831.0
1282;Utrecht (PV);2013 september;4225.0
1283;Utrecht (PV);2013 oktober;4307.0
1284;Utrecht (PV);2013 november;4207.0
1285;Utrecht (PV);2013 december;3752.0
1286;Utrecht (PV);2013;3969.0
1287;Utrecht (PV);2014 januari;3851.0
1288;Utrecht (PV);2014 februari;3940.0
1289;Utrecht (PV);2014 maart;4033.0
1290;Utrecht (PV);2014 april;4140.0
1291;Utrecht (PV);2014 mei;4199.0
1292;Utrecht (PV);2014 juni;4277.0
1293;Utrecht (PV);2014 juli;4064.0
1294;Utrecht (PV);2014 augustus;3876.0
1295;Utrecht (PV);2014 september;4368.0
1296;Utrecht (PV);2014 oktober;4405.0
1297;Utrecht (PV);2014 november;4263.0
1298;Utrecht (PV);2014 december;3873.0
1299;Utrecht (PV);2014;4107.0
1300;Utrecht (PV);2015 januari;3850.0
1301;Utrecht (PV);2015 februari;4109.0
1302;Utrecht (PV);2015 maart;4284.0
1303;Utrecht (PV);2015 april;4317.0
1304;Utrecht (PV);2015 mei;4180.0
1305;Utrecht (PV);2015 juni;4485.0
1306;Utrecht (PV);2015 juli;4093.0
1307;Utrecht (PV);2015 augustus;4050.0
1308;Utrecht (PV);2015 september;4466.0
1309;Utrecht (PV);2015 oktober;4486.0
1310;Utrecht (PV);2015 november;4375.0
1311;Utrecht (PV);2015 december;4062.0
1312;Utrecht (PV);2015;4229.0
1313;Utrecht (PV);2016 januari;3950.0
1314;Utrecht (PV);2016 februari;4230.0
1315;Utrecht (PV);2016 maart;4406.0
1316;Utrecht (PV);2016 april;4318.0
1317;Utrecht (PV);2016 mei;4335.0
1318;Utrecht (PV);2016 juni;4480.0
1319;Utrecht (PV);2016 juli;4127.0
1320;Utrecht (PV);2016 augustus;4102.0
1321;Utrecht (PV);2016 september;4531.0
1322;Utrecht (PV);2016 oktober;4440.0
1323;Utrecht (PV);2016 november;4428.0
1324;Utrecht (PV);2016 december;4098.0
1325;Utrecht (PV);2016;4287.0
1326;Utrecht (PV);2017 januari;3993.0
1327;Utrecht (PV);2017 februari;4276.0
1328;Utrecht (PV);2017 maart;4513.0
1329;Utrecht (PV);2017 april;4393.0
1330;Utrecht (PV);2017 mei;4500.0
1331;Utrecht (PV);2017 juni;4605.0
1332;Utrecht (PV);2017 juli;4225.0
1333;Utrecht (PV);2017 augustus;4259.0
1334;Utrecht (PV);2017 september;4560.0
1335;Utrecht (PV);2017 oktober;4649.0
1336;Utrecht (PV);2017 november;4525.0
1337;Utrecht (PV);2017 december;3910.0
1338;Utrecht (PV);2017;4367.0
1339;Utrecht (PV);2018 januari;4085.0
1340;Utrecht (PV);2018 februari;4281.0
1341;Utrecht (PV);2018 maart;4411.0
1342;Utrecht (PV);2018 april;4441.0
1343;Utrecht (PV);2018 mei;4451.0
1344;Utrecht (PV);2018 juni;4598.0
1345;Utrecht (PV);2018 juli;4313.0
1346;Utrecht (PV);2018 augustus;4295.0
1347;Utrecht (PV);2018 september;4591.0
1348;Utrecht (PV);2018 oktober;4747.0
1349;Utrecht (PV);2018 november;4680.0
1350;Utrecht (PV);2018 december;4121.0
1351;Utrecht (PV);2018;4418.0
1352;Noord-Holland (PV);2011 januari;2220.0
1353;Noord-Holland (PV);2011 februari;2409.0
1354;Noord-Holland (PV);2011 maart;2482.0
1355;Noord-Holland (PV);2011 april;2509.0
1356;Noord-Holland (PV);2011 mei;2518.0
1357;Noord-Holland (PV);2011 juni;2507.0
1358;Noord-Holland (PV);2011 juli;2388.0
1359;Noord-Holland (PV);2011 augustus;2287.0
1360;Noord-Holland (PV);2011 september;2560.0
1361;Noord-Holland (PV);2011 oktober;2539.0
1362;Noord-Holland (PV);2011 november;2514.0
1363;Noord-Holland (PV);2011 december;2336.0
1364;Noord-Holland (PV);2011;2438.0
1365;Noord-Holland (PV);2012 januari;2318.0
1366;Noord-Holland (PV);2012 februari;2349.0
1367;Noord-Holland (PV);2012 maart;2544.0
1368;Noord-Holland (PV);2012 april;2513.0
1369;Noord-Holland (PV);2012 mei;2584.0
1370;Noord-Holland (PV);2012 juni;2497.0
1371;Noord-Holland (PV);2012 juli;2566.0
1372;Noord-Holland (PV);2012 augustus;2440.0
1373;Noord-Holland (PV);2012 september;2618.0
1374;Noord-Holland (PV);2012 oktober;2688.0
1375;Noord-Holland (PV);2012 november;2597.0
1376;Noord-Holland (PV);2012 december;2282.0
1377;Noord-Holland (PV);2012;2500.0
1378;Noord-Holland (PV);2013 januari;2311.0
1379;Noord-Holland (PV);2013 februari;2480.0
1380;Noord-Holland (PV);2013 maart;2554.0
1381;Noord-Holland (PV);2013 april;2593.0
1382;Noord-Holland (PV);2013 mei;2599.0
1383;Noord-Holland (PV);2013 juni;2626.0
1384;Noord-Holland (PV);2013 juli;2487.0
1385;Noord-Holland (PV);2013 augustus;2496.0
1386;Noord-Holland (PV);2013 september;2625.0
1387;Noord-Holland (PV);2013 oktober;2626.0
1388;Noord-Holland (PV);2013 november;2575.0
1389;Noord-Holland (PV);2013 december;2338.0
1390;Noord-Holland (PV);2013;2525.0
1391;Noord-Holland (PV);2014 januari;2390.0
1392;Noord-Holland (PV);2014 februari;2355.0
1393;Noord-Holland (PV);2014 maart;2406.0
1394;Noord-Holland (PV);2014 april;2478.0
1395;Noord-Holland (PV);2014 mei;2589.0
1396;Noord-Holland (PV);2014 juni;2613.0
1397;Noord-Holland (PV);2014 juli;2444.0
1398;Noord-Holland (PV);2014 augustus;2475.0
1399;Noord-Holland (PV);2014 september;2677.0
1400;Noord-Holland (PV);2014 oktober;2682.0
1401;Noord-Holland (PV);2014 november;2597.0
1402;Noord-Holland (PV);2014 december;2385.0
1403;Noord-Holland (PV);2014;2508.0
1404;Noord-Holland (PV);2015 januari;2369.0
1405;Noord-Holland (PV);2015 februari;2508.0
1406;Noord-Holland (PV);2015 maart;2607.0
1407;Noord-Holland (PV);2015 april;2647.0
1408;Noord-Holland (PV);2015 mei;2559.0
1409;Noord-Holland (PV);2015 juni;2727.0
1410;Noord-Holland (PV);2015 juli;2487.0
1411;Noord-Holland (PV);2015 augustus;2589.0
1412;Noord-Holland (PV);2015 september;2685.0
1413;Noord-Holland (PV);2015 oktober;2700.0
1414;Noord-Holland (PV);2015 november;2608.0
1415;Noord-Holland (PV);2015 december;2467.0
1416;Noord-Holland (PV);2015;2579.0
1417;Noord-Holland (PV);2016 januari;2425.0
1418;Noord-Holland (PV);2016 februari;2599.0
1419;Noord-Holland (PV);2016 maart;2650.0
1420;Noord-Holland (PV);2016 april;2599.0
1421;Noord-Holland (PV);2016 mei;2608.0
1422;Noord-Holland (PV);2016 juni;2685.0
1423;Noord-Holland (PV);2016 juli;2540.0
1424;Noord-Holland (PV);2016 augustus;2490.0
1425;Noord-Holland (PV);2016 september;2673.0
1426;Noord-Holland (PV);2016 oktober;2635.0
1427;Noord-Holland (PV);2016 november;2587.0
1428;Noord-Holland (PV);2016 december;2414.0
1429;Noord-Holland (PV);2016;2575.0
1430;Noord-Holland (PV);2017 januari;2356.0
1431;Noord-Holland (PV);2017 februari;2475.0
1432;Noord-Holland (PV);2017 maart;2621.0
1433;Noord-Holland (PV);2017 april;2583.0
1434;Noord-Holland (PV);2017 mei;2699.0
1435;Noord-Holland (PV);2017 juni;2683.0
1436;Noord-Holland (PV);2017 juli;2586.0
1437;Noord-Holland (PV);2017 augustus;2459.0
1438;Noord-Holland (PV);2017 september;2634.0
1439;Noord-Holland (PV);2017 oktober;2693.0
1440;Noord-Holland (PV);2017 november;2658.0
1441;Noord-Holland (PV);2017 december;2342.0
1442;Noord-Holland (PV);2017;2548.0
1443;Noord-Holland (PV);2018 januari;2440.0
1444;Noord-Holland (PV);2018 februari;2523.0
1445;Noord-Holland (PV);2018 maart;2603.0
1446;Noord-Holland (PV);2018 april;2639.0
1447;Noord-Holland (PV);2018 mei;2682.0
1448;Noord-Holland (PV);2018 juni;2750.0
1449;Noord-Holland (PV);2018 juli;2686.0
1450;Noord-Holland (PV);2018 augustus;2542.0
1451;Noord-Holland (PV);2018 september;2705.0
1452;Noord-Holland (PV);2018 oktober;2790.0
1453;Noord-Holland (PV);2018 november;2729.0
1454;Noord-Holland (PV);2018 december;2451.0
1455;Noord-Holland (PV);2018;2630.0
1456;Zuid-Holland (PV);2011 januari;2640.0
1457;Zuid-Holland (PV);2011 februari;2816.0
1458;Zuid-Holland (PV);2011 maart;2941.0
1459;Zuid-Holland (PV);2011 april;2903.0
1460;Zuid-Holland (PV);2011 mei;2904.0
1461;Zuid-Holland (PV);2011 juni;2896.0
1462;Zuid-Holland (PV);2011 juli;2618.0
1463;Zuid-Holland (PV);2011 augustus;2766.0
1464;Zuid-Holland (PV);2011 september;2982.0
1465;Zuid-Holland (PV);2011 oktober;2919.0
1466;Zuid-Holland (PV);2011 november;2933.0
1467;Zuid-Holland (PV);2011 december;2674.0
1468;Zuid-Holland (PV);2011;2832.0
1469;Zuid-Holland (PV);2012 januari;2705.0
1470;Zuid-Holland (PV);2012 februari;2716.0
1471;Zuid-Holland (PV);2012 maart;2878.0
1472;Zuid-Holland (PV);2012 april;2807.0
1473;Zuid-Holland (PV);2012 mei;2888.0
1474;Zuid-Holland (PV);2012 juni;2813.0
1475;Zuid-Holland (PV);2012 juli;2748.0
1476;Zuid-Holland (PV);2012 augustus;2869.0
1477;Zuid-Holland (PV);2012 september;2927.0
1478;Zuid-Holland (PV);2012 oktober;3016.0
1479;Zuid-Holland (PV);2012 november;2927.0
1480;Zuid-Holland (PV);2012 december;2540.0
1481;Zuid-Holland (PV);2012;2820.0
1482;Zuid-Holland (PV);2013 januari;2568.0
1483;Zuid-Holland (PV);2013 februari;2785.0
1484;Zuid-Holland (PV);2013 maart;2820.0
1485;Zuid-Holland (PV);2013 april;2913.0
1486;Zuid-Holland (PV);2013 mei;2934.0
1487;Zuid-Holland (PV);2013 juni;2972.0
1488;Zuid-Holland (PV);2013 juli;2903.0
1489;Zuid-Holland (PV);2013 augustus;2760.0
1490;Zuid-Holland (PV);2013 september;2953.0
1491;Zuid-Holland (PV);2013 oktober;2975.0
1492;Zuid-Holland (PV);2013 november;2898.0
1493;Zuid-Holland (PV);2013 december;2607.0
1494;Zuid-Holland (PV);2013;2840.0
1495;Zuid-Holland (PV);2014 januari;2701.0
1496;Zuid-Holland (PV);2014 februari;2764.0
1497;Zuid-Holland (PV);2014 maart;2789.0
1498;Zuid-Holland (PV);2014 april;2885.0
1499;Zuid-Holland (PV);2014 mei;2902.0
1500;Zuid-Holland (PV);2014 juni;2907.0
1501;Zuid-Holland (PV);2014 juli;2839.0
1502;Zuid-Holland (PV);2014 augustus;2635.0
1503;Zuid-Holland (PV);2014 september;2967.0
1504;Zuid-Holland (PV);2014 oktober;2977.0
1505;Zuid-Holland (PV);2014 november;2886.0
1506;Zuid-Holland (PV);2014 december;2651.0
1507;Zuid-Holland (PV);2014;2825.0
1508;Zuid-Holland (PV);2015 januari;2681.0
1509;Zuid-Holland (PV);2015 februari;2839.0
1510;Zuid-Holland (PV);2015 maart;2916.0
1511;Zuid-Holland (PV);2015 april;2954.0
1512;Zuid-Holland (PV);2015 mei;2861.0
1513;Zuid-Holland (PV);2015 juni;3066.0
1514;Zuid-Holland (PV);2015 juli;2887.0
1515;Zuid-Holland (PV);2015 augustus;2794.0
1516;Zuid-Holland (PV);2015 september;3032.0
1517;Zuid-Holland (PV);2015 oktober;3013.0
1518;Zuid-Holland (PV);2015 november;2976.0
1519;Zuid-Holland (PV);2015 december;2761.0
1520;Zuid-Holland (PV);2015;2898.0
1521;Zuid-Holland (PV);2016 januari;2697.0
1522;Zuid-Holland (PV);2016 februari;2868.0
1523;Zuid-Holland (PV);2016 maart;2974.0
1524;Zuid-Holland (PV);2016 april;2986.0
1525;Zuid-Holland (PV);2016 mei;2963.0
1526;Zuid-Holland (PV);2016 juni;3088.0
1527;Zuid-Holland (PV);2016 juli;2864.0
1528;Zuid-Holland (PV);2016 augustus;2884.0
1529;Zuid-Holland (PV);2016 september;3101.0
1530;Zuid-Holland (PV);2016 oktober;3027.0
1531;Zuid-Holland (PV);2016 november;3018.0
1532;Zuid-Holland (PV);2016 december;2806.0
1533;Zuid-Holland (PV);2016;2940.0
1534;Zuid-Holland (PV);2017 januari;2749.0
1535;Zuid-Holland (PV);2017 februari;2914.0
1536;Zuid-Holland (PV);2017 maart;3061.0
1537;Zuid-Holland (PV);2017 april;3053.0
1538;Zuid-Holland (PV);2017 mei;3052.0
1539;Zuid-Holland (PV);2017 juni;3125.0
1540;Zuid-Holland (PV);2017 juli;2921.0
1541;Zuid-Holland (PV);2017 augustus;2986.0
1542;Zuid-Holland (PV);2017 september;3116.0
1543;Zuid-Holland (PV);2017 oktober;3147.0
1544;Zuid-Holland (PV);2017 november;3110.0
1545;Zuid-Holland (PV);2017 december;2744.0
1546;Zuid-Holland (PV);2017;2998.0
1547;Zuid-Holland (PV);2018 januari;2884.0
1548;Zuid-Holland (PV);2018 februari;2974.0
1549;Zuid-Holland (PV);2018 maart;3027.0
1550;Zuid-Holland (PV);2018 april;3060.0
1551;Zuid-Holland (PV);2018 mei;3065.0
1552;Zuid-Holland (PV);2018 juni;3139.0
1553;Zuid-Holland (PV);2018 juli;2980.0
1554;Zuid-Holland (PV);2018 augustus;2964.0
1555;Zuid-Holland (PV);2018 september;3021.0
1556;Zuid-Holland (PV);2018 oktober;3120.0
1557;Zuid-Holland (PV);2018 november;3112.0
1558;Zuid-Holland (PV);2018 december;2746.0
1559;Zuid-Holland (PV);2018;3008.0
1560;Zeeland (PV);2011 januari;750.0
1561;Zeeland (PV);2011 februari;820.0
1562;Zeeland (PV);2011 maart;873.0
1563;Zeeland (PV);2011 april;988.0
1564;Zeeland (PV);2011 mei;971.0
1565;Zeeland (PV);2011 juni;1016.0
1566;Zeeland (PV);2011 juli;1003.0
1567;Zeeland (PV);2011 augustus;1048.0
1568;Zeeland (PV);2011 september;1002.0
1569;Zeeland (PV);2011 oktober;953.0
1570;Zeeland (PV);2011 november;864.0
1571;Zeeland (PV);2011 december;796.0
1572;Zeeland (PV);2011;924.0
1573;Zeeland (PV);2012 januari;733.0
1574;Zeeland (PV);2012 februari;743.0
1575;Zeeland (PV);2012 maart;841.0
1576;Zeeland (PV);2012 april;919.0
1577;Zeeland (PV);2012 mei;1021.0
1578;Zeeland (PV);2012 juni;1014.0
1579;Zeeland (PV);2012 juli;1045.0
1580;Zeeland (PV);2012 augustus;1160.0
1581;Zeeland (PV);2012 september;1018.0
1582;Zeeland (PV);2012 oktober;966.0
1583;Zeeland (PV);2012 november;880.0
1584;Zeeland (PV);2012 december;778.0
1585;Zeeland (PV);2012;927.0
1586;Zeeland (PV);2013 januari;765.0
1587;Zeeland (PV);2013 februari;843.0
1588;Zeeland (PV);2013 maart;900.0
1589;Zeeland (PV);2013 april;1002.0
1590;Zeeland (PV);2013 mei;1039.0
1591;Zeeland (PV);2013 juni;1051.0
1592;Zeeland (PV);2013 juli;1115.0
1593;Zeeland (PV);2013 augustus;1155.0
1594;Zeeland (PV);2013 september;990.0
1595;Zeeland (PV);2013 oktober;934.0
1596;Zeeland (PV);2013 november;865.0
1597;Zeeland (PV);2013 december;797.0
1598;Zeeland (PV);2013;955.0
1599;Zeeland (PV);2014 januari;808.0
1600;Zeeland (PV);2014 februari;857.0
1601;Zeeland (PV);2014 maart;916.0
1602;Zeeland (PV);2014 april;987.0
1603;Zeeland (PV);2014 mei;987.0
1604;Zeeland (PV);2014 juni;1032.0
1605;Zeeland (PV);2014 juli;1040.0
1606;Zeeland (PV);2014 augustus;1041.0
1607;Zeeland (PV);2014 september;1008.0
1608;Zeeland (PV);2014 oktober;993.0
1609;Zeeland (PV);2014 november;900.0
1610;Zeeland (PV);2014 december;820.0
1611;Zeeland (PV);2014;950.0
1612;Zeeland (PV);2015 januari;818.0
1613;Zeeland (PV);2015 februari;858.0
1614;Zeeland (PV);2015 maart;909.0
1615;Zeeland (PV);2015 april;998.0
1616;Zeeland (PV);2015 mei;1014.0
1617;Zeeland (PV);2015 juni;1003.0
1618;Zeeland (PV);2015 juli;1069.0
1619;Zeeland (PV);2015 augustus;1057.0
1620;Zeeland (PV);2015 september;973.0
1621;Zeeland (PV);2015 oktober;968.0
1622;Zeeland (PV);2015 november;886.0
1623;Zeeland (PV);2015 december;831.0
1624;Zeeland (PV);2015;949.0
1625;Zeeland (PV);2016 januari;803.0
1626;Zeeland (PV);2016 februari;854.0
1627;Zeeland (PV);2016 maart;938.0
1628;Zeeland (PV);2016 april;969.0
1629;Zeeland (PV);2016 mei;1052.0
1630;Zeeland (PV);2016 juni;1039.0
1631;Zeeland (PV);2016 juli;1138.0
1632;Zeeland (PV);2016 augustus;1145.0
1633;Zeeland (PV);2016 september;1101.0
1634;Zeeland (PV);2016 oktober;1019.0
1635;Zeeland (PV);2016 november;920.0
1636;Zeeland (PV);2016 december;845.0
1637;Zeeland (PV);2016;985.0
1638;Zeeland (PV);2017 januari;816.0
1639;Zeeland (PV);2017 februari;870.0
1640;Zeeland (PV);2017 maart;952.0
1641;Zeeland (PV);2017 april;1028.0
1642;Zeeland (PV);2017 mei;1054.0
1643;Zeeland (PV);2017 juni;1113.0
1644;Zeeland (PV);2017 juli;1099.0
1645;Zeeland (PV);2017 augustus;1133.0
1646;Zeeland (PV);2017 september;1049.0
1647;Zeeland (PV);2017 oktober;1033.0
1648;Zeeland (PV);2017 november;946.0
1649;Zeeland (PV);2017 december;851.0
1650;Zeeland (PV);2017;995.0
1651;Zeeland (PV);2018 januari;889.0
1652;Zeeland (PV);2018 februari;970.0
1653;Zeeland (PV);2018 maart;1016.0
1654;Zeeland (PV);2018 april;1052.0
1655;Zeeland (PV);2018 mei;1139.0
1656;Zeeland (PV);2018 juni;1132.0
1657;Zeeland (PV);2018 juli;1169.0
1658;Zeeland (PV);2018 augustus;1207.0
1659;Zeeland (PV);2018 september;1101.0
1660;Zeeland (PV);2018 oktober;1098.0
1661;Zeeland (PV);2018 november;1005.0
1662;Zeeland (PV);2018 december;890.0
1663;Zeeland (PV);2018;1056.0
1664;Noord-Brabant (PV);2011 januari;2078.0
1665;Noord-Brabant (PV);2011 februari;2269.0
1666;Noord-Brabant (PV);2011 maart;2316.0
1667;Noord-Brabant (PV);2011 april;2369.0
1668;Noord-Brabant (PV);2011 mei;2368.0
1669;Noord-Brabant (PV);2011 juni;2375.0
1670;Noord-Brabant (PV);2011 juli;2252.0
1671;Noord-Brabant (PV);2011 augustus;2258.0
1672;Noord-Brabant (PV);2011 september;2435.0
1673;Noord-Brabant (PV);2011 oktober;2388.0
1674;Noord-Brabant (PV);2011 november;2379.0
1675;Noord-Brabant (PV);2011 december;2145.0
1676;Noord-Brabant (PV);2011;2302.0
1677;Noord-Brabant (PV);2012 januari;2138.0
1678;Noord-Brabant (PV);2012 februari;2103.0
1679;Noord-Brabant (PV);2012 maart;2320.0
1680;Noord-Brabant (PV);2012 april;2303.0
1681;Noord-Brabant (PV);2012 mei;2388.0
1682;Noord-Brabant (PV);2012 juni;2438.0
1683;Noord-Brabant (PV);2012 juli;2209.0
1684;Noord-Brabant (PV);2012 augustus;2399.0
1685;Noord-Brabant (PV);2012 september;2403.0
1686;Noord-Brabant (PV);2012 oktober;2459.0
1687;Noord-Brabant (PV);2012 november;2378.0
1688;Noord-Brabant (PV);2012 december;2054.0
1689;Noord-Brabant (PV);2012;2299.0
1690;Noord-Brabant (PV);2013 januari;2089.0
1691;Noord-Brabant (PV);2013 februari;2203.0
1692;Noord-Brabant (PV);2013 maart;2283.0
1693;Noord-Brabant (PV);2013 april;2365.0
1694;Noord-Brabant (PV);2013 mei;2395.0
1695;Noord-Brabant (PV);2013 juni;2455.0
1696;Noord-Brabant (PV);2013 juli;2274.0
1697;Noord-Brabant (PV);2013 augustus;2416.0
1698;Noord-Brabant (PV);2013 september;2458.0
1699;Noord-Brabant (PV);2013 oktober;2476.0
1700;Noord-Brabant (PV);2013 november;2410.0
1701;Noord-Brabant (PV);2013 december;2182.0
1702;Noord-Brabant (PV);2013;2334.0
1703;Noord-Brabant (PV);2014 januari;2223.0
1704;Noord-Brabant (PV);2014 februari;2289.0
1705;Noord-Brabant (PV);2014 maart;2274.0
1706;Noord-Brabant (PV);2014 april;2441.0
1707;Noord-Brabant (PV);2014 mei;2447.0
1708;Noord-Brabant (PV);2014 juni;2494.0
1709;Noord-Brabant (PV);2014 juli;2407.0
1710;Noord-Brabant (PV);2014 augustus;2342.0
1711;Noord-Brabant (PV);2014 september;2523.0
1712;Noord-Brabant (PV);2014 oktober;2557.0
1713;Noord-Brabant (PV);2014 november;2418.0
1714;Noord-Brabant (PV);2014 december;2199.0
1715;Noord-Brabant (PV);2014;2384.0
1716;Noord-Brabant (PV);2015 januari;2207.0
1717;Noord-Brabant (PV);2015 februari;2308.0
1718;Noord-Brabant (PV);2015 maart;2447.0
1719;Noord-Brabant (PV);2015 april;2491.0
1720;Noord-Brabant (PV);2015 mei;2440.0
1721;Noord-Brabant (PV);2015 juni;2597.0
1722;Noord-Brabant (PV);2015 juli;2526.0
1723;Noord-Brabant (PV);2015 augustus;2321.0
1724;Noord-Brabant (PV);2015 september;2556.0
1725;Noord-Brabant (PV);2015 oktober;2580.0
1726;Noord-Brabant (PV);2015 november;2508.0
1727;Noord-Brabant (PV);2015 december;2322.0
1728;Noord-Brabant (PV);2015;2442.0
1729;Noord-Brabant (PV);2016 januari;2275.0
1730;Noord-Brabant (PV);2016 februari;2382.0
1731;Noord-Brabant (PV);2016 maart;2535.0
1732;Noord-Brabant (PV);2016 april;2522.0
1733;Noord-Brabant (PV);2016 mei;2529.0
1734;Noord-Brabant (PV);2016 juni;2620.0
1735;Noord-Brabant (PV);2016 juli;2564.0
1736;Noord-Brabant (PV);2016 augustus;2400.0
1737;Noord-Brabant (PV);2016 september;2613.0
1738;Noord-Brabant (PV);2016 oktober;2578.0
1739;Noord-Brabant (PV);2016 november;2539.0
1740;Noord-Brabant (PV);2016 december;2355.0
1741;Noord-Brabant (PV);2016;2493.0
1742;Noord-Brabant (PV);2017 januari;2295.0
1743;Noord-Brabant (PV);2017 februari;2396.0
1744;Noord-Brabant (PV);2017 maart;2555.0
1745;Noord-Brabant (PV);2017 april;2524.0
1746;Noord-Brabant (PV);2017 mei;2591.0
1747;Noord-Brabant (PV);2017 juni;2696.0
1748;Noord-Brabant (PV);2017 juli;2585.0
1749;Noord-Brabant (PV);2017 augustus;2512.0
1750;Noord-Brabant (PV);2017 september;2626.0
1751;Noord-Brabant (PV);2017 oktober;2666.0
1752;Noord-Brabant (PV);2017 november;2618.0
1753;Noord-Brabant (PV);2017 december;2303.0
1754;Noord-Brabant (PV);2017;2515.0
1755;Noord-Brabant (PV);2018 januari;2404.0
1756;Noord-Brabant (PV);2018 februari;2428.0
