ID;BestemmingVoorInvoer;Perioden;InvoerVanGoederenEnDiensten_1;InvoerVanGoederen_2;InvoerVanDiensten_3;InvoerVanGoederenEnDiensten_4;InvoerVanGoederen_5;InvoerVanDiensten_6;InvoerVanGoederenEnDiensten_7;InvoerVanGoederen_8;InvoerVanDiensten_9;InvoerVanGoederenEnDiensten_10;InvoerVanGoederen_11;InvoerVanDiensten_12
213;61 Telecommunicatie;2021;3181;1434;1747;3181.0;1434.0;1747.0;;;;100.0;100.0;100.0
214;61 Telecommunicatie;2022;3593;1466;2127;3458.0;1325.0;2133.0;8.7;-7.6;22.1;103.9;110.6;99.7
215;61 Telecommunicatie;2023;3511;1415;2096;3368.0;1292.0;2077.0;-2.6;-2.5;-2.6;104.2;109.6;100.9
216;62-63 IT- en informatiedienstverlening;2021;9362;957;8405;9362.0;957.0;8405.0;;;;100.0;100.0;100.0
217;62-63 IT- en informatiedienstverlening;2022;10939;1209;9730;10533.0;1079.0;9454.0;12.5;12.7;12.5;103.9;112.0;102.9
218;62-63 IT- en informatiedienstverlening;2023;11041;1120;9921;10290.0;1075.0;9214.0;-2.3;-0.4;-2.5;107.3;104.2;107.7
219;62 IT-dienstverlening;2021;7782;700;7082;7782.0;700.0;7082.0;;;;100.0;100.0;100.0
220;62 IT-dienstverlening;2022;8739;886;7853;8421.0;793.0;7628.0;8.2;13.3;7.7;103.8;111.7;102.9
221;62 IT-dienstverlening;2023;8994;844;8150;8388.0;811.0;7576.0;-0.4;2.3;-0.7;107.2;104.1;107.6
222;63 Diensten op het gebied van informatie;2021;1580;257;1323;1580.0;257.0;1323.0;;;;100.0;100.0;100.0
223;63 Diensten op het gebied van informatie;2022;2200;323;1877;2112.0;286.0;1826.0;33.7;11.3;38.0;104.2;112.9;102.8
224;63 Diensten op het gebied van informatie;2023;2047;276;1771;1903.0;264.0;1638.0;-9.9;-7.7;-10.3;107.6;104.6;108.1
225;K Financiële dienstverlening;2021;17642;216;17426;17642.0;216.0;17426.0;;;;100.0;100.0;100.0
226;K Financiële dienstverlening;2022;14049;238;13811;16124.0;180.0;15944.0;-8.6;-16.7;-8.5;87.1;132.2;86.6
227;K Financiële dienstverlening;2023;12907;208;12699;15861.0;175.0;15688.0;-1.6;-2.9;-1.6;81.4;119.1;80.9
228;64 Bankwezen;2021;8280;35;8245;8280.0;35.0;8245.0;;;;100.0;100.0;100.0
229;64 Bankwezen;2022;7280;42;7238;6807.0;34.0;6773.0;-17.8;-2.9;-17.9;106.9;123.5;106.9
230;64 Bankwezen;2023;7345;39;7306;6959.0;32.0;6927.0;2.2;-4.8;2.3;105.5;120.4;105.5
231;65 Verzekeraars en pensioenfondsen;2021;8187;97;8090;8187.0;97.0;8090.0;;;;100.0;100.0;100.0
232;65 Verzekeraars en pensioenfondsen;2022;5487;98;5389;8169.0;79.0;8090.0;-0.2;-18.6;0.0;67.2;124.1;66.6
233;65 Verzekeraars en pensioenfondsen;2023;4190;87;4103;7495.0;80.0;7408.0;-8.3;1.0;-8.4;55.9;109.0;55.4
234;66 Overige financiële dienstverlening;2021;1175;84;1091;1175.0;84.0;1091.0;;;;100.0;100.0;100.0
235;66 Overige financiële dienstverlening;2022;1282;98;1184;1148.0;67.0;1081.0;-2.3;-20.2;-0.9;111.7;146.3;109.5
236;66 Overige financiële dienstverlening;2023;1372;82;1290;1203.0;63.0;1142.0;4.8;-6.1;5.7;114.1;130.4;112.9
237;L Verhuur en handel van onroerend goed;2021;2035;899;1136;2035.0;899.0;1136.0;;;;100.0;100.0;100.0
238;L Verhuur en handel van onroerend goed;2022;2689;1387;1302;2162.0;893.0;1269.0;6.2;-0.7;11.7;124.4;155.3;102.6
239;L Verhuur en handel van onroerend goed;2023;2650;1293;1357;2192.0;917.0;1269.0;1.4;2.7;0.0;120.9;141.0;106.9
240;68 Verhuur en handel van onroerend goed;2021;2035;899;1136;2035.0;899.0;1136.0;;;;100.0;100.0;100.0
241;68 Verhuur en handel van onroerend goed;2022;2689;1387;1302;2162.0;893.0;1269.0;6.2;-0.7;11.7;124.4;155.3;102.6
242;68 Verhuur en handel van onroerend goed;2023;2650;1293;1357;2192.0;917.0;1269.0;1.4;2.7;0.0;120.9;141.0;106.9
243;M-N Zakelijke dienstverlening;2021;45800;5275;40525;45800.0;5275.0;40525.0;;;;100.0;100.0;100.0
244;M-N Zakelijke dienstverlening;2022;55679;6918;48761;52431.0;5512.0;46919.0;14.5;4.5;15.8;106.2;125.5;103.9
245;M-N Zakelijke dienstverlening;2023;63321;7001;56320;57034.0;5670.0;51432.0;8.8;2.9;9.6;111.0;123.5;109.5
246;M Specialistische zakelijke diensten;2021;33777;3540;30237;33777.0;3540.0;30237.0;;;;100.0;100.0;100.0
247;M Specialistische zakelijke diensten;2022;37884;4639;33245;35694.0;3657.0;32037.0;5.7;3.3;6.0;106.1;126.9;103.8
248;M Specialistische zakelijke diensten;2023;44255;4970;39285;39695.0;3879.0;35859.0;11.2;6.1;11.9;111.5;128.1;109.6
249;69-71 Management- en technisch advies;2021;29423;2449;26974;29423.0;2449.0;26974.0;;;;100.0;100.0;100.0
250;69-71 Management- en technisch advies;2022;32560;3248;29312;30815.0;2546.0;28269.0;4.7;4.0;4.8;105.7;127.6;103.7
251;69-71 Management- en technisch advies;2023;38880;3618;35262;34914.0;2730.0;32219.0;13.3;7.2;14.0;111.4;132.5;109.4
252;69-70 Juridisch en managementadvies;2021;28127;1848;26279;28127.0;1848.0;26279.0;;;;100.0;100.0;100.0
253;69-70 Juridisch en managementadvies;2022;30734;2523;28211;29135.0;1908.0;27227.0;3.6;3.2;3.6;105.5;132.2;103.6
254;69-70 Juridisch en managementadvies;2023;37050;2933;34117;33273.0;2110.0;31182.0;14.2;10.6;14.5;111.4;139.0;109.4
255;69 Juridische diensten en administratie;2021;1256;89;1167;1256.0;89.0;1167.0;;;;100.0;100.0;100.0
256;69 Juridische diensten en administratie;2022;1399;113;1286;1328.0;85.0;1243.0;5.7;-4.5;6.5;105.3;132.9;103.5
257;69 Juridische diensten en administratie;2023;1436;109;1327;1315.0;90.0;1224.0;-1.0;5.3;-1.6;109.2;121.8;108.4
258;70 Holdings en managementadviesbureaus;2021;26871;1759;25112;26871.0;1759.0;25112.0;;;;100.0;100.0;100.0
259;70 Holdings en managementadviesbureaus;2022;29335;2410;26925;27807.0;1823.0;25984.0;3.5;3.6;3.5;105.5;132.2;103.6
260;70 Holdings en managementadviesbureaus;2023;35614;2824;32790;31958.0;2020.0;29958.0;14.9;10.8;15.3;111.4;139.8;109.5
261;71 Architecten-, ingenieursbureaus e.d.;2021;1296;601;695;1296.0;601.0;695.0;;;;100.0;100.0;100.0
262;71 Architecten-, ingenieursbureaus e.d.;2022;1826;725;1101;1680.0;638.0;1042.0;29.6;6.2;49.9;108.7;113.6;105.7
263;71 Architecten-, ingenieursbureaus e.d.;2023;1830;685;1145;1649.0;610.0;1040.0;-1.9;-4.4;-0.2;111.0;112.3;110.1
264;72 Research;2021;1363;626;737;1363.0;626.0;737.0;;;;100.0;100.0;100.0
265;72 Research;2022;1773;847;926;1531.0;649.0;882.0;12.3;3.7;19.7;115.8;130.5;105.0
266;72 Research;2023;1742;807;935;1519.0;674.0;838.0;-0.8;3.8;-5.0;114.7;119.8;111.6
267;73-75 Reclame, design, overige diensten;2021;2991;465;2526;2991.0;465.0;2526.0;;;;100.0;100.0;100.0
268;73-75 Reclame, design, overige diensten;2022;3551;544;3007;3348.0;462.0;2886.0;11.9;-0.6;14.3;106.1;117.7;104.2
269;73-75 Reclame, design, overige diensten;2023;3633;545;3088;3282.0;474.0;2805.0;-2.0;2.6;-2.8;110.7;115.0;110.1
270;73 Reclamewezen en marktonderzoek;2021;2246;107;2139;2246.0;107.0;2139.0;;;;100.0;100.0;100.0
271;73 Reclamewezen en marktonderzoek;2022;2616;133;2483;2482.0;106.0;2376.0;10.5;-0.9;11.1;105.4;125.5;104.5
272;73 Reclamewezen en marktonderzoek;2023;2675;134;2541;2413.0;109.0;2302.0;-2.8;3.0;-3.1;110.9;122.7;110.4
273;74-75 Overige professionele diensten;2021;745;358;387;745.0;358.0;387.0;;;;100.0;100.0;100.0
274;74-75 Overige professionele diensten;2022;935;411;524;866.0;356.0;510.0;16.2;-0.6;31.8;108.0;115.4;102.7
275;74-75 Overige professionele diensten;2023;958;411;547;869.0;365.0;503.0;0.3;2.4;-1.3;110.3;112.7;108.7
276;74 Design, fotografie, vertaalbureaus;2021;616;244;372;616.0;244.0;372.0;;;;100.0;100.0;100.0
277;74 Design, fotografie, vertaalbureaus;2022;809;300;509;744.0;248.0;496.0;20.8;1.6;33.3;108.7;121.0;102.6
278;74 Design, fotografie, vertaalbureaus;2023;833;301;532;746.0;255.0;489.0;0.2;3.0;-1.4;111.7;117.8;108.8
279;75 Veterinaire dienstverlening;2021;129;114;15;129.0;114.0;15.0;;;;100.0;100.0;100.0
280;75 Veterinaire dienstverlening;2022;126;111;15;122.0;108.0;14.0;-5.4;-5.3;-6.7;103.3;102.8;107.1
281;75 Veterinaire dienstverlening;2023;125;110;15;123.0;109.0;14.0;0.8;0.9;0.0;101.7;100.9;107.1
282;N Verhuur en overige zakelijke diensten;2021;12023;1735;10288;12023.0;1735.0;10288.0;;;;100.0;100.0;100.0
283;N Verhuur en overige zakelijke diensten;2022;17795;2279;15516;16737.0;1855.0;14882.0;39.2;6.9;44.7;106.3;122.9;104.3
284;N Verhuur en overige zakelijke diensten;2023;19066;2031;17035;17340.0;1787.0;15576.0;3.6;-3.6;4.7;110.0;113.6;109.4
285;77 Verhuur van roerende goederen;2021;4938;232;4706;4938.0;232.0;4706.0;;;;100.0;100.0;100.0
286;77 Verhuur van roerende goederen;2022;6806;336;6470;6424.0;224.0;6200.0;30.1;-3.4;31.7;105.9;150.0;104.4
287;77 Verhuur van roerende goederen;2023;6950;279;6671;6267.0;218.0;6050.0;-2.4;-2.7;-2.4;110.9;128.0;110.3
288;78 Uitzendbureaus en arbeidsbemiddeling;2021;900;84;816;900.0;84.0;816.0;;;;100.0;100.0;100.0
289;78 Uitzendbureaus en arbeidsbemiddeling;2022;1499;133;1366;1437.0;102.0;1335.0;59.7;21.4;63.6;104.3;130.4;102.3
290;78 Uitzendbureaus en arbeidsbemiddeling;2023;1469;113;1356;1346.0;92.0;1255.0;-6.3;-9.8;-6.0;109.1;122.8;108.1
291;79 Reisbureaus, reisorganisatie en -info;2021;3979;35;3944;3979.0;35.0;3944.0;;;;100.0;100.0;100.0
292;79 Reisbureaus, reisorganisatie en -info;2022;6854;85;6769;6538.0;75.0;6463.0;64.3;114.3;63.9;104.8;113.3;104.7
293;79 Reisbureaus, reisorganisatie en -info;2023;8144;98;8046;7464.0;84.0;7381.0;14.2;11.8;14.2;109.1;116.9;109.0
294;80-82 Overige zakelijke dienstverlening;2021;2206;1384;822;2206.0;1384.0;822.0;;;;100.0;100.0;100.0
295;80-82 Overige zakelijke dienstverlening;2022;2636;1725;911;2338.0;1454.0;884.0;6.0;5.1;7.5;112.7;118.6;103.1
296;80-82 Overige zakelijke dienstverlening;2023;2503;1541;962;2277.0;1394.0;886.0;-2.6;-4.1;0.2;109.9;110.5;108.6
297;80 Beveiligings- en opsporingsdiensten;2021;204;124;80;204.0;124.0;80.0;;;;100.0;100.0;100.0
298;80 Beveiligings- en opsporingsdiensten;2022;283;180;103;265.0;165.0;100.0;29.9;33.1;25.0;106.8;109.1;103.0
299;80 Beveiligings- en opsporingsdiensten;2023;293;180;113;269.0;164.0;105.0;1.4;-0.6;4.9;109.0;109.7;107.8
300;81 Schoonmaakbedrijven, hoveniers e.d.;2021;1234;951;283;1234.0;951.0;283.0;;;;100.0;100.0;100.0
301;81 Schoonmaakbedrijven, hoveniers e.d.;2022;1436;1130;306;1268.0;971.0;297.0;2.8;2.1;4.9;113.2;116.4;103.0
302;81 Schoonmaakbedrijven, hoveniers e.d.;2023;1298;981;317;1223.0;929.0;295.0;-3.6;-4.3;-0.7;106.1;105.6;107.4
303;82 Overige zakelijke dienstverlening;2021;768;309;459;768.0;309.0;459.0;;;;100.0;100.0;100.0
304;82 Overige zakelijke dienstverlening;2022;917;415;502;805.0;318.0;487.0;4.8;2.9;6.1;113.9;130.5;103.1
305;82 Overige zakelijke dienstverlening;2023;912;380;532;786.0;302.0;486.0;-2.4;-5.1;-0.2;116.1;125.9;109.5
306;O-Q Overheid en zorg;2021;12538;7711;4827;12538.0;7711.0;4827.0;;;;100.0;100.0;100.0
307;O-Q Overheid en zorg;2022;13168;7896;5272;11632.0;6410.0;5222.0;-7.2;-16.9;8.2;113.2;123.2;101.0
308;O-Q Overheid en zorg;2023;13365;7673;5692;11847.0;6430.0;5438.0;1.8;0.3;4.1;112.8;119.3;104.7
309;O Openbaar bestuur en overheidsdiensten;2021;5109;2641;2468;5109.0;2641.0;2468.0;;;;100.0;100.0;100.0
310;O Openbaar bestuur en overheidsdiensten;2022;4689;1989;2700;4403.0;1694.0;2709.0;-13.8;-35.9;9.8;106.5;117.4;99.7
311;O Openbaar bestuur en overheidsdiensten;2023;4891;1867;3024;4513.0;1622.0;2912.0;2.5;-4.3;7.5;108.4;115.1;103.9
312;84 Openbaar bestuur en overheidsdiensten;2021;5109;2641;2468;5109.0;2641.0;2468.0;;;;100.0;100.0;100.0
313;84 Openbaar bestuur en overheidsdiensten;2022;4689;1989;2700;4403.0;1694.0;2709.0;-13.8;-35.9;9.8;106.5;117.4;99.7
314;84 Openbaar bestuur en overheidsdiensten;2023;4891;1867;3024;4513.0;1622.0;2912.0;2.5;-4.3;7.5;108.4;115.1;103.9
315;P Onderwijs;2021;1309;673;636;1309.0;673.0;636.0;;;;100.0;100.0;100.0
316;P Onderwijs;2022;1688;959;729;1336.0;628.0;708.0;2.1;-6.7;11.3;126.3;152.7;103.0
317;P Onderwijs;2023;1611;872;739;1373.0;665.0;698.0;2.8;5.9;-1.4;117.3;131.1;105.8
318;85 Onderwijs;2021;1309;673;636;1309.0;673.0;636.0;;;;100.0;100.0;100.0
319;85 Onderwijs;2022;1688;959;729;1336.0;628.0;708.0;2.1;-6.7;11.3;126.3;152.7;103.0
320;85 Onderwijs;2023;1611;872;739;1373.0;665.0;698.0;2.8;5.9;-1.4;117.3;131.1;105.8
321;Q Gezondheids- en welzijnszorg;2021;6120;4397;1723;6120.0;4397.0;1723.0;;;;100.0;100.0;100.0
322;Q Gezondheids- en welzijnszorg;2022;6791;4948;1843;5893.0;4088.0;1805.0;-3.7;-7.0;4.8;115.2;121.0;102.1
323;Q Gezondheids- en welzijnszorg;2023;6863;4934;1929;5962.0;4132.0;1830.0;1.2;1.1;1.4;115.1;119.4;105.4
324;86 Gezondheidszorg;2021;4044;3034;1010;4044.0;3034.0;1010.0;;;;100.0;100.0;100.0
325;86 Gezondheidszorg;2022;4494;3438;1056;3875.0;2840.0;1035.0;-4.2;-6.4;2.5;116.0;121.1;102.0
326;86 Gezondheidszorg;2023;4424;3355;1069;3832.0;2812.0;1019.0;-1.1;-1.0;-1.5;115.5;119.3;104.9
327;87-88 Verzorging en welzijn;2021;2076;1363;713;2076.0;1363.0;713.0;;;;100.0;100.0;100.0
328;87-88 Verzorging en welzijn;2022;2297;1510;787;2018.0;1248.0;770.0;-2.8;-8.4;8.0;113.8;121.0;102.2
329;87-88 Verzorging en welzijn;2023;2439;1579;860;2131.0;1320.0;811.0;5.6;5.8;5.3;114.4;119.6;106.0
330;R-U Cultuur, recreatie, overige diensten;2021;2487;1209;1278;2487.0;1209.0;1278.0;;;;100.0;100.0;100.0
331;R-U Cultuur, recreatie, overige diensten;2022;3138;1618;1520;2657.0;1183.0;1474.0;6.8;-2.2;15.3;118.1;136.8;103.1
332;R-U Cultuur, recreatie, overige diensten;2023;3326;1651;1675;2842.0;1298.0;1534.0;7.0;9.7;4.1;117.0;127.2;109.2
333;R Cultuur, sport en recreatie;2021;1065;426;639;1065.0;426.0;639.0;;;;100.0;100.0;100.0
334;R Cultuur, sport en recreatie;2022;1497;672;825;1274.0;467.0;807.0;19.6;9.6;26.3;117.5;143.9;102.2
335;R Cultuur, sport en recreatie;2023;1622;699;923;1390.0;524.0;860.0;9.1;12.2;6.5;116.7;133.4;107.3
336;90-92  Kunst, cultuur en kansspelen;2021;668;199;469;668.0;199.0;469.0;;;;100.0;100.0;100.0
337;90-92  Kunst, cultuur en kansspelen;2022;940;328;612;816.0;217.0;599.0;22.2;9.0;27.7;115.2;151.2;102.2
338;90-92  Kunst, cultuur en kansspelen;2023;1061;357;704;909.0;251.0;653.0;11.4;15.9;9.0;116.7;142.0;107.8
339;90 Kunst;2021;409;67;342;409.0;67.0;342.0;;;;100.0;100.0;100.0
340;90 Kunst;2022;548;100;448;514.0;76.0;438.0;25.7;13.4;28.1;106.6;131.6;102.3
341;90 Kunst;2023;630;112;518;571.0;88.0;482.0;11.1;16.0;10.0;110.3;127.0;107.5
342;91 Bibliotheken, musea en natuurbehoud;2021;169;86;83;169.0;86.0;83.0;;;;100.0;100.0;100.0
343;91 Bibliotheken, musea en natuurbehoud;2022;257;149;108;197.0;91.0;106.0;16.6;5.8;27.7;130.5;163.7;101.9
344;91 Bibliotheken, musea en natuurbehoud;2023;281;156;125;218.0;103.0;114.0;10.9;13.4;7.4;128.6;151.1;109.8
345;92 Loterijen en kansspelen;2021;90;46;44;90.0;46.0;44.0;;;;100.0;100.0;100.0
346;92 Loterijen en kansspelen;2022;135;79;56;105.0;50.0;55.0;16.7;8.7;25.0;128.6;158.0;101.8
347;92 Loterijen en kansspelen;2023;150;89;61;119.0;60.0;57.0;13.3;20.3;3.6;126.1;148.0;107.1
348;93 Sport en recreatie;2021;397;227;170;397.0;227.0;170.0;;;;100.0;100.0;100.0
349;93 Sport en recreatie;2022;557;344;213;458.0;250.0;208.0;15.4;10.1;22.4;121.6;137.6;102.4
350;93 Sport en recreatie;2023;561;342;219;482.0;272.0;207.0;5.2;8.7;-0.5;116.4;125.8;105.8
351;S Overige dienstverlening;2021;1422;783;639;1422.0;783.0;639.0;;;;100.0;100.0;100.0
352;S Overige dienstverlening;2022;1641;946;695;1383.0;716.0;667.0;-2.7;-8.6;4.4;118.7;132.1;104.2
353;S Overige dienstverlening;2023;1704;952;752;1453.0;773.0;675.0;5.1;7.9;1.2;117.3;123.2;111.5
354;94 Ideële, belangen-, hobbyverenigingen;2021;595;211;384;595.0;211.0;384.0;;;;100.0;100.0;100.0
355;94 Ideële, belangen-, hobbyverenigingen;2022;677;253;424;558.0;153.0;405.0;-6.2;-27.5;5.5;121.3;165.4;104.7
356;94 Ideële, belangen-, hobbyverenigingen;2023;705;243;462;598.0;180.0;409.0;7.1;17.4;0.9;118.0;135.3;113.0
357;95 Reparatie van consumentenartikelen;2021;276;173;103;276.0;173.0;103.0;;;;100.0;100.0;100.0
358;95 Reparatie van consumentenartikelen;2022;302;200;102;272.0;173.0;99.0;-1.4;0.0;-3.9;111.0;115.6;103.0
359;95 Reparatie van consumentenartikelen;2023;314;204;110;283.0;180.0;103.0;4.0;4.0;3.9;111.0;113.4;106.9
360;96 Overige persoonlijke dienstverlening;2021;551;399;152;551.0;399.0;152.0;;;;100.0;100.0;100.0
361;96 Overige persoonlijke dienstverlening;2022;662;493;169;553.0;390.0;163.0;0.4;-2.3;7.2;119.7;126.4;103.7
362;96 Overige persoonlijke dienstverlening;2023;685;505;180;572.0;408.0;163.0;3.5;4.7;0.0;119.7;123.7;110.4
363;T Huishoudens;2021;0;0;0;0.0;0.0;0.0;;;;;;
364;T Huishoudens;2022;0;0;0;;;;;;;;;
365;T Huishoudens;2023;0;0;0;;;;;;;;;
366;97 Huishoudens met personeel;2021;0;0;0;0.0;0.0;0.0;;;;;;
367;97 Huishoudens met personeel;2022;0;0;0;;;;;;;;;
368;97 Huishoudens met personeel;2023;0;0;0;;;;;;;;;
369;98 Huishoudproductie voor eigen gebruik;2021;0;0;0;0.0;0.0;0.0;;;;;;
370;98 Huishoudproductie voor eigen gebruik;2022;0;0;0;;;;;;;;;
371;98 Huishoudproductie voor eigen gebruik;2023;0;0;0;;;;;;;;;
372;U Extraterritoriale organisaties;2021;0;0;0;0.0;0.0;0.0;;;;;;
373;U Extraterritoriale organisaties;2022;0;0;0;;;;;;;;;
374;U Extraterritoriale organisaties;2023;0;0;0;;;;;;;;;
375;99 Extraterritoriale organisaties;2021;0;0;0;0.0;0.0;0.0;;;;;;
376;99 Extraterritoriale organisaties;2022;0;0;0;;;;;;;;;
377;99 Extraterritoriale organisaties;2023;0;0;0;;;;;;;;;
378;68A Toeger. huurwaarde eigen woningbezit;2021;218;164;54;218.0;164.0;54.0;;;;100.0;100.0;100.0
379;68A Toeger. huurwaarde eigen woningbezit;2022;274;210;64;232.0;170.0;62.0;6.4;3.7;14.8;118.1;123.5;103.2
380;68A Toeger. huurwaarde eigen woningbezit;2023;289;219;70;234.0;170.0;64.0;0.7;0.0;3.1;123.7;128.8;109.5
381;68B Exploitatie o.g. excl. woningbezit;2021;1817;735;1082;1817.0;735.0;1082.0;;;;100.0;100.0;100.0
382;68B Exploitatie o.g. excl. woningbezit;2022;2415;1177;1238;1930.0;723.0;1207.0;6.2;-1.6;11.6;125.1;162.8;102.6
383;68B Exploitatie o.g. excl. woningbezit;2023;2361;1074;1287;1958.0;746.0;1205.0;1.4;3.1;-0.2;120.6;144.0;106.8
384;Totaal invoer voor finale bestedingen;2021;349164;310214;38950;349164.0;310214.0;38950.0;;;;100.0;100.0;100.0
385;Totaal invoer voor finale bestedingen;2022;465389;413751;51638;376412.0;329726.0;46686.0;7.8;6.3;19.9;123.6;125.5;110.6
386;Totaal invoer voor finale bestedingen;2023;439598;384603;54995;366892.0;319508.0;47637.0;-2.5;-3.1;2.0;119.8;120.4;115.4
387;Consumptie huishoudens inclusief IZWh;2021;49288;39453;9835;49288.0;39453.0;9835.0;;;;100.0;100.0;100.0
388;Consumptie huishoudens inclusief IZWh;2022;66868;45300;21568;56438.0;38251.0;18187.0;14.5;-3.0;84.9;118.5;118.4;118.6
389;Consumptie huishoudens inclusief IZWh;2023;73980;49835;24145;57635.0;38053.0;19580.0;2.1;-0.5;7.7;128.4;131.0;123.3
390;Consumptie door de overheid;2021;1410;1347;63;1410.0;1347.0;63.0;;;;100.0;100.0;100.0
391;Consumptie door de overheid;2022;1972;1922;50;1706.0;1660.0;46.0;21.0;23.2;-27.0;115.6;115.8;108.7
392;Consumptie door de overheid;2023;1973;1936;37;1737.0;1704.0;32.0;1.8;2.7;-30.0;113.6;113.6;114.9
393;Investeringen in vaste activa;2021;39455;30610;8845;39455.0;30610.0;8845.0;;;;100.0;100.0;100.0
394;Investeringen in vaste activa;2022;45007;35196;9811;41944.0;32603.0;9341.0;6.3;6.5;5.6;107.3;108.0;105.0
395;Investeringen in vaste activa;2023;47265;37121;10144;42392.0;33215.0;9170.0;1.1;1.9;-1.8;111.5;111.8;110.6
396;Wederuitvoer;2021;251819;231605;20214;251819.0;231605.0;20214.0;;;;100.0;100.0;100.0
397;Wederuitvoer;2022;336892;316679;20213;266138.0;247023.0;19115.0;5.7;6.7;-5.4;126.6;128.2;105.7
398;Wederuitvoer;2023;318091;297422;20669;266406.0;247606.0;18728.0;0.1;0.2;-2.0;119.4;120.1;110.4
399;Verandering in voorraden;2021;7192;7199;-7;7192.0;7199.0;-7.0;;;;100.0;100.0;100.0
400;Verandering in voorraden;2022;14650;14654;-4;10186.0;10189.0;-3.0;41.6;41.5;-57.1;143.8;143.8;133.3
401;Verandering in voorraden;2023;-1711;-1711;0;421.0;421.0;0.0;-95.9;-95.9;-100.0;-406.1;-406.1;
402;Totaal overige posten;2021;780;-6117;6897;780.0;-6117.0;6897.0;;;;100.0;100.0;100.0
403;Totaal overige posten;2022;-2161;-15296;13135;-2501.0;-14876.0;12375.0;-420.6;143.2;79.4;86.4;102.8;106.1
404;Totaal overige posten;2023;-4263;-20121;15858;-2860.0;-14902.0;12108.0;14.3;0.2;-2.2;149.1;135.0;131.0
405;Cif/fob-correctie en herclassificatie;2021;-6662;-6662;0;-6662.0;-6662.0;0.0;;;;100.0;100.0;
406;Cif/fob-correctie en herclassificatie;2022;-15919;-15919;0;-15470.0;-15470.0;;132.2;132.2;;102.9;102.9;
407;Cif/fob-correctie en herclassificatie;2023;-20688;-20688;0;-15420.0;-15420.0;;-0.3;-0.3;;134.2;134.2;
408;Cif/fob-herclassificatie;2021;4062;0;4062;4062.0;0.0;4062.0;;;;100.0;;100.0
409;Cif/fob-herclassificatie;2022;9720;0;9720;9446.0;;9446.0;132.5;;132.5;102.9;;102.9
410;Cif/fob-herclassificatie;2023;12501;0;12501;9342.0;;9342.0;-1.1;;-1.1;133.8;;133.8
411;Handels- en vervoersmarges;2021;2835;0;2835;2835.0;0.0;2835.0;;;;100.0;;100.0
412;Handels- en vervoersmarges;2022;3415;0;3415;2929.0;;2929.0;3.3;;3.3;116.6;;116.6
413;Handels- en vervoersmarges;2023;3357;0;3357;2778.0;;2778.0;-5.2;;-5.2;120.8;;120.8
414;Goederen en diensten n.e.g.;2021;545;545;0;545.0;545.0;0.0;;;;100.0;100.0;
415;Goederen en diensten n.e.g.;2022;623;623;0;594.0;594.0;;9.0;9.0;;104.9;104.9;
416;Goederen en diensten n.e.g.;2023;567;567;0;520.0;520.0;;-12.5;-12.5;;109.1;109.1;
417;Totaal invoer;2021;683862;495280;188582;683862.0;495280.0;188582.0;;;;100.0;100.0;100.0
418;Totaal invoer;2022;871221;650159;221062;713637.0;503428.0;210209.0;4.4;1.6;11.5;122.1;129.1;105.2
419;Totaal invoer;2023;825984;591834;234150;700614.0;489596.0;212078.0;-1.8;-2.7;0.9;117.9;120.9;110.4
