ID;UtiliteitsbouwDienstensector;Oppervlakteklasse;Bouwjaarklasse;GemiddeldAardgasverbruik_1;GemiddeldElektriciteitsverbruik_2
330;Recreatie: buitensport;500 tot 1 000 m²;1977 tot 1993;12.4;62.8
331;Recreatie: buitensport;500 tot 1 000 m²;Vanaf 1994;10.7;73.4
332;Recreatie: buitensport;1 000 tot 2 500 m²;Tot 1921;;
333;Recreatie: buitensport;1 000 tot 2 500 m²;1922 tot 1976;9.0;45.2
334;Recreatie: buitensport;1 000 tot 2 500 m²;1977 tot 1993;9.8;49.3
335;Recreatie: buitensport;1 000 tot 2 500 m²;Vanaf 1994;19.4;58.2
336;Recreatie: buitensport;2 500 tot 5 000 m²;Tot 1921;;
337;Recreatie: buitensport;2 500 tot 5 000 m²;1922 tot 1976;;
338;Recreatie: buitensport;2 500 tot 5 000 m²;1977 tot 1993;;
339;Recreatie: buitensport;2 500 tot 5 000 m²;Vanaf 1994;;
340;Overig: religie;0 tot 250 m²;Tot 1921;19.4;23.9
341;Overig: religie;0 tot 250 m²;1922 tot 1976;18.7;25.4
342;Overig: religie;0 tot 250 m²;1977 tot 1993;16.9;30.0
343;Overig: religie;0 tot 250 m²;Vanaf 1994;13.2;25.8
344;Overig: religie;250 tot 500 m²;Tot 1921;16.0;19.0
345;Overig: religie;250 tot 500 m²;1922 tot 1976;16.5;19.7
346;Overig: religie;250 tot 500 m²;1977 tot 1993;14.1;21.2
347;Overig: religie;250 tot 500 m²;Vanaf 1994;13.0;22.5
348;Overig: religie;500 tot 1 000 m²;Tot 1921;13.4;17.4
349;Overig: religie;500 tot 1 000 m²;1922 tot 1976;14.5;17.5
350;Overig: religie;500 tot 1 000 m²;1977 tot 1993;12.6;19.5
351;Overig: religie;500 tot 1 000 m²;Vanaf 1994;10.7;20.5
352;Overig: religie;1 000 tot 2 500 m²;Tot 1921;10.4;16.4
353;Overig: religie;1 000 tot 2 500 m²;1922 tot 1976;10.6;15.7
354;Overig: religie;1 000 tot 2 500 m²;1977 tot 1993;8.6;21.4
355;Overig: religie;1 000 tot 2 500 m²;Vanaf 1994;8.2;21.2
356;Overig: religie;2 500 tot 5 000 m²;Tot 1921;;
357;Overig: religie;2 500 tot 5 000 m²;1922 tot 1976;;
358;Overig: religie;2 500 tot 5 000 m²;1977 tot 1993;;
359;Overig: religie;2 500 tot 5 000 m²;Vanaf 1994;;
