ID;SBI93EnOESOSectoren;Perioden;TotaalVanDeArbeidsjaren_1;FundamenteelOnderzoek_2;DelfstoffenProductieWinning_3;EnergieTechnologie_4;MaterialenLaagMoleculair_5;MaterialenHoogMoleculair_6;OppervlakteTechnologie_7;LevensmiddelenTechnologie_8;Biotechnologie_9;MedischeFarmaceutischeTechnologie_10;Procestechnologie_11;Elektronica_12;Transportmiddelen_13;OverigeProductenOnderzoek_14;FabricageTechnologie_15;InformatieTechnologieICT_16;LogistiekeSystemen_17;BouwCivieleTechnologie_18;MilieuEnVeiligheid_19;Defensie_20;Ruimteonderzoek_21;OverigOnderzoek_22
131;01-14, 40, 41+45 Totaal overig;2001;2296.0;204.0;331.0;319.0;102.0;40.0;7.0;354.0;434.0;0.0;135.0;30.0;0.0;5.0;0.0;16.0;12.0;210.0;15.0;0.0;0.0;83.0
132;01-05 Landbouw,bosbouw en visserij;1995;619.0;33.0;0.0;0.0;0.0;0.0;0.0;;258.0;0.0;2.0;0.0;3.0;24.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
133;01-05 Landbouw,bosbouw en visserij;1997;638.0;19.0;0.0;;0.0;0.0;;;;0.0;26.0;;1.0;;;;;0.0;0.0;0.0;0.0;
134;01-05 Landbouw,bosbouw en visserij;1999;1052.0;45.0;0.0;;;;0.0;262.0;646.0;0.0;;0.0;;;0.0;;;;;0.0;0.0;
135;01-05 Landbouw,bosbouw en visserij;2001;897.0;90.0;0.0;7.0;0.0;0.0;0.0;349.0;434.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;0.0;0.0;10.0
136;10-14 Delfstoffenwinning;1995;780.0;11.0;;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;3.0;13.0;0.0;0.0;;2.0;0.0;0.0;0.0;0.0
137;10-14 Delfstoffenwinning;1997;;;890.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
138;10-14 Delfstoffenwinning;1999;448.0;;270.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0
139;10-14 Delfstoffenwinning;2001;518.0;48.0;316.0;112.0;1.0;0.0;0.0;0.0;0.0;0.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
140;40+41 Energie en waterleiding;1995;85.0;1.0;11.0;27.0;0.0;0.0;1.0;0.0;0.0;0.0;20.0;;0.0;3.0;0.0;0.0;;0.0;;0.0;0.0;9.0
141;40+41 Energie en waterleiding;1997;;;32.0;168.0;0.0;;;;0.0;0.0;19.0;;;;;12.0;;;6.0;0.0;0.0;
142;40+41 Energie en waterleiding;1999;284.0;10.0;15.0;79.0;;;;0.0;0.0;0.0;44.0;;;;0.0;34.0;;;;0.0;0.0;21.0
143;40+41 Energie en waterleiding;2001;319.0;35.0;3.0;164.0;0.0;0.0;0.0;3.0;0.0;0.0;63.0;2.0;0.0;5.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;39.0
144;45 Bouwnijverheid;1995;473.0;10.0;;;2.0;1.0;0.0;0.0;;0.0;17.0;25.0;42.0;20.0;60.0;38.0;21.0;160.0;36.0;0.0;0.0;1.0
145;45 Bouwnijverheid;1997;417.0;17.0;19.0;67.0;2.0;;;0.0;;0.0;13.0;48.0;;13.0;38.0;;20.0;;33.0;0.0;0.0;13.0
146;45 Bouwnijverheid;1999;886.0;;15.0;18.0;4.0;;0.0;0.0;0.0;0.0;15.0;;7.0;;32.0;;14.0;70.0;30.0;0.0;0.0;
147;45 Bouwnijverheid;2001;561.0;31.0;11.0;36.0;101.0;40.0;6.0;1.0;0.0;0.0;34.0;29.0;0.0;0.0;0.0;12.0;8.0;206.0;13.0;0.0;0.0;34.0
148;Researchinstellingen (B-wetenschappen);1995;14130.0;4565.0;38.0;754.0;85.0;189.0;29.0;1974.0;120.0;640.0;78.0;228.0;396.0;405.0;44.0;247.0;758.0;966.0;1509.0;931.0;173.0;0.0
149;Researchinstellingen (B-wetenschappen);1997;14311.0;4420.0;157.0;841.0;85.0;144.0;100.0;2061.0;141.0;659.0;231.0;160.0;421.0;414.0;102.0;205.0;889.0;919.0;1250.0;904.0;208.0;
150;Researchinstellingen (B-wetenschappen);1999;14659.0;5293.0;44.0;1120.0;61.0;227.0;81.0;1776.0;208.0;635.0;207.0;165.0;454.0;391.0;116.0;191.0;52.0;961.0;1138.0;999.0;203.0;337.0
151;Researchinstellingen (B-wetenschappen);2001;12407.0;2613.0;0.0;867.0;138.0;131.0;44.0;2716.0;625.0;1103.0;276.0;277.0;0.0;275.0;0.0;388.0;254.0;715.0;0.0;0.0;0.0;1986.0
152;(Semi-)overheidsinstellingen;1995;8639.0;3780.0;0.0;52.0;0.0;0.0;0.0;1700.0;1.0;349.0;1.0;55.0;0.0;202.0;0.0;79.0;723.0;449.0;1217.0;22.0;9.0;
153;(Semi-)overheidsinstellingen;1997;8725.0;3559.0;0.0;119.0;0.0;41.0;41.0;1752.0;50.0;343.0;126.0;72.0;0.0;207.0;1.0;51.0;824.0;420.0;1050.0;22.0;47.0;
154;(Semi-)overheidsinstellingen;1999;8485.0;4457.0;0.0;111.0;0.0;46.0;46.0;1426.0;69.0;348.0;88.0;64.0;0.0;172.0;0.0;16.0;18.0;381.0;920.0;102.0;35.0;186.0
155;(Semi-)overheidsinstellingen;2001;12076.0;2575.0;0.0;867.0;138.0;131.0;44.0;2716.0;625.0;809.0;276.0;277.0;0.0;275.0;0.0;388.0;254.0;715.0;0.0;0.0;0.0;1986.0
156;TNO;1995;2950.0;299.0;29.0;59.0;58.0;144.0;29.0;269.0;118.0;230.0;77.0;173.0;144.0;58.0;44.0;115.0;35.0;259.0;205.0;576.0;29.0;
157;TNO;1997;2998.0;363.0;147.0;60.0;59.0;59.0;59.0;303.0;91.0;205.0;105.0;88.0;176.0;59.0;101.0;117.0;65.0;234.0;121.0;557.0;29.0;
158;TNO;1999;3458.0;419.0;34.0;137.0;34.0;136.0;34.0;349.0;139.0;169.0;119.0;102.0;203.0;68.0;116.0;136.0;34.0;305.0;139.0;610.0;34.0;142.0
159;TNO;2001;3440.0;413.0;0.0;138.0;34.0;69.0;34.0;344.0;103.0;172.0;275.0;138.0;0.0;275.0;0.0;172.0;34.0;275.0;0.0;0.0;0.0;964.0
160;GTI's;1995;2091.0;110.0;9.0;643.0;27.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;145.0;0.0;52.0;0.0;258.0;82.0;333.0;135.0;
161;GTI's;1997;2091.0;121.0;10.0;662.0;26.0;44.0;0.0;0.0;0.0;0.0;0.0;0.0;245.0;148.0;0.0;37.0;0.0;265.0;76.0;325.0;132.0;
162;GTI's;1999;2240.0;64.0;10.0;872.0;27.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;250.0;151.0;0.0;38.0;0.0;275.0;78.0;287.0;134.0;9.0
163;GTI's;2001;1999.0;383.0;0.0;595.0;0.0;0.0;0.0;198.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;145.0;0.0;0.0;0.0;664.0
164;PNP;1995;450.0;376.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;61.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0
165;PNP;1997;497.0;377.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;111.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
166;PNP;1999;476.0;354.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
167;PNP;2001;332.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;294.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
