ID;Periods;GrossDomesticProduct_1;ConsumptionOfFixedCapital_2;GrossOperatingSurplusAndMixedIncome_3;GrossNationalIncome_4;GrossDisposableNationalIncome_5;GrossNationalSaving_6;GrossFixedCapitalFormation_7;NetLendingOrNetBorrowing_8;NetLendingToPrivateSector_9;LendingToPrivateSectorEndOfPeriod_10;LabourInputOfEmployedPersons_11;GrossValueAdded_12;GrossOperatingSurplus_13;GrossProfitsBeforeTaxes_14;ProfitsFromForeignSubsidiaries_15;ProfitRatio_16;CapitalFormationRatio_17;LabourInputOfEmployees_18;GrossValueAdded_19;GrossProfitsBeforeTaxes_20;ProfitsFromForeignSubsidiaries_21;FinancialNetWorth_22;PropertyIncomeReceived_23;PropertyIncomePaid_24;LiquidityRatioMonFinInstitutions_25;FinancialAssetsOfPensionFunds_26;LabourInputOfEmployees_27;TotalRevenue_28;TaxesAndSocialSecurityContributions_29;TotalExpenditure_30;GovernmentDebtEMU_31;BalanceGeneralGovernmentSectorEMU_32;LabourInputOfEmployees_33;GrossOperatingSurplusAndMixedIncome_34;MixedIncome_35;GrossDisposableIncome_36;RealDisposableIncome_37;AdjustedDisposableIncome_38;FinalConsumptionExpenditure_39;FreeIndividualSavings_40;SavingsRatio_41;HouseholdsCapitalFormationRatio_42;SavingsDepositsAndOtherDeposits_43;InsurancePensionAndGuaranteeSchemes_44;PensionEntitlementsAndClaims_45;HomeMortgagesClosingBalance_46;HomeMortgagesNetLending_47;LabourInputOfEmployees_48;LabourInputOfSelfEmployedPersons_49;NetExportsShare_50;NetExports_51;NetPrimaryIncomeAbroad_52;NetCurrentTransfersAbroad_53;NetCapitalTransfersAbroad_54;SurplusOnCurrentTransactions_55;NetExternalAssets_56;NetExternalAssetsMarketValue_57
20;2002 2nd quarter;126495;19876;43045;121668;119424;27494;26529;974;9.8;209.8;;71987;22397;24092;-851;31.1;17.3;;8493;7833;1111;-72631;3.4;2.6;20.4;431161;;42.4;35.3;43.5;50.2;-1.2;;12734;10598;76694;3.4;94690;62959;13735;21.8;11.0;179165;602422;490686;395449;9139;;;6.4;8042;-4827;-2250;9;965;-384365;
21;2002 3rd quarter;122746;19907;51913;120116;118282;28742;25025;3712;12.7;212.4;;72065;29943;29846;3532;41.5;15.7;;7846;6235;1285;-58299;3.3;2.6;20.0;413197;;41.9;34.9;43.5;49.5;-1.7;;13909;11564;64677;1.0;80970;63243;1434;7.9;11.4;181683;621563;500771;404880;9247;;;6.7;8194;-2630;-1847;-5;3717;-319779;
22;2002 4th quarter;129327;19950;53468;125142;122979;30358;27120;3312;10.6;212.3;;73833;31641;31626;380;42.9;15.8;;7858;4663;951;-48652;3.2;2.5;19.4;429396;;41.7;34.8;43.7;48.9;-2.0;;14094;11951;64709;-0.7;82115;63225;1484;7.4;11.5;182718;633429;510534;414055;8858;;;7.4;9597;-4185;-2174;74;3238;-311655;
23;2002;501137;79534;198663;486974;478650;117028;105282;11908;10.6;212.3;6797.0;289146;113043;113171;4380;39.1;16.5;4265.0;32757;24675;4729;-48652;3.2;2.5;19.4;429396;243.0;41.7;34.8;43.7;48.9;-2.0;1003.0;53816;44912;267576;-0.7;336096;250713;16863;11.2;11.9;182718;633429;510534;414055;34479;369.0;918.0;6.8;34275;-14163;-8366;162;11746;-311655;
24;2003 1st quarter;126435;20596;52648;122601;120509;29508;26190;3440;11.1;213.2;;73608;30770;29040;491;41.8;15.0;;8528;4949;1646;-45378;3.0;2.4;21.3;424445;;41.6;34.7;43.9;50.0;-2.2;;13574;11291;62097;-0.9;80019;63209;-1112;4.3;14.1;190009;646554;520514;422067;6711;;;7.3;9257;-3834;-2105;118;3318;-269797;
25;2003 2nd quarter;129110;20674;43536;126877;124674;29646;26129;3539;13.2;215.2;;73334;22075;26198;905;30.1;16.5;;8584;7607;1060;-44200;2.8;2.2;20.1;452749;;41.6;34.7;44.1;49.5;-2.5;;13243;10787;77398;-1.6;96475;64409;12989;21.4;11.3;196506;659682;531523;431886;8451;;;6.2;7961;-2233;-2211;18;3517;-265888;
26;2003 3rd quarter;124858;20718;51561;124731;122495;30172;24577;5587;11.3;217.8;;71230;28213;30556;5501;39.6;14.1;;8424;7190;1237;-48036;2.7;2.1;20.3;460843;;41.5;34.5;44.6;50.4;-3.1;;14496;11573;66828;-0.9;84258;64416;2412;9.8;10.8;201510;669160;542151;445182;11918;;;6.4;7971;-127;-2249;-12;5595;-257210;
27;2003 4th quarter;132407;20772;54316;131778;130089;34744;28169;6688;11.3;227.4;;74652;31246;33376;2435;41.9;17.1;;8382;5895;1179;-38378;2.7;2.0;20.9;479457;;41.6;34.5;44.7;50.0;-3.1;;14604;11629;64780;-1.3;83283;64180;600;6.9;12.9;200496;676897;552580;453871;7335;;;6.7;8904;-629;-1700;109;6575;-263403;
28;2003;512810;82760;202061;505987;497767;124070;105065;19254;11.3;227.4;6717.0;292824;112304;119170;9332;38.4;15.7;4187.0;33918;25641;5122;-38378;2.7;2.0;20.9;479457;237.0;41.6;34.5;44.7;50.0;-3.1;1022.0;55917;45280;271103;-1.3;344035;256214;14889;11.2;12.2;200496;676897;552580;453871;34415;360.0;911.0;6.6;34093;-6823;-8265;233;19005;-263403;
29;2004 1st quarter;129524;21301;54881;128135;125484;32942;26828;6256;9.9;226.7;;75677;32216;36237;6275;42.6;14.2;;8680;5754;1818;-32231;2.6;2.0;20.9;501607;;41.4;34.3;44.6;51.0;-3.1;;14029;11393;63396;-0.7;81448;64370;-974;4.4;15.3;204967;681246;549109;461181;7674;;;7.8;10165;-1389;-2662;132;6114;-254426;
