ID;Regions;Periods;TotalFixedCapitalFormation_1;DwellingStock_2;IndustrialBuildings_3;CivilEngineering_4;Transport_5;MachineryAndEquipment_6;CultivatedBiologicalResources_7;TransferCostsOfGround_8;ComputersSoftwareAndDatabases_9;ResearchAndDevelopment_10;OtherFixedAssets_11
328;Gelderland (PV);2015;13229;2522;1823;2179;864;1565;47;151;1721;1089;1268
329;Gelderland (PV);2016;13709;2943;1803;1876;895;1871;42;211;1774;1164;1130
330;Gelderland (PV);2017;14249;2768;1956;2027;1057;1922;11;201;1818;1241;1248
331;Gelderland (PV);2018;17091;4083;2516;2667;1022;1985;11;213;1850;1362;1382
332;Gelderland (PV);2019;17322;3901;2810;2594;1194;1820;39;230;1909;1463;1362
333;Gelderland (PV);2020;18710;4691;2699;2554;950;2018;45;275;1937;1595;1946
334;Gelderland (PV);2021;19794;5147;3076;2702;1133;1950;30;311;1977;1711;1757
335;Gelderland (PV);2022;23522;6150;3506;3042;1153;2406;33;274;2119;1772;3067
336;Utrecht (PV);1995;5491;1214;825;741;754;559;24;73;334;405;562
337;Utrecht (PV);1996;5917;1315;769;768;840;617;22;95;412;418;661
338;Utrecht (PV);1997;6478;1433;842;828;888;687;52;90;458;449;751
339;Utrecht (PV);1998;7099;1504;968;887;994;730;18;104;634;450;810
340;Utrecht (PV);1999;8024;1626;1060;1042;1179;836;24;108;737;506;906
341;Utrecht (PV);2000;8484;1760;1252;1045;1202;801;17;148;815;525;919
342;Utrecht (PV);2001;9197;1940;1412;1229;1323;693;19;127;825;573;1056
343;Utrecht (PV);2002;9055;1942;1368;1322;1243;676;18;111;829;580;966
344;Utrecht (PV);2003;9146;1950;1425;1357;1315;636;15;76;818;595;959
345;Utrecht (PV);2004;9396;2104;1316;1206;1456;667;19;95;912;628;993
346;Utrecht (PV);2005;9927;2282;1397;1305;1499;667;17;101;1022;637;1000
347;Utrecht (PV);2006;10814;2515;1529;1406;1680;730;15;107;1144;661;1027
348;Utrecht (PV);2007;11712;2698;1747;1423;1783;841;22;98;1298;643;1159
349;Utrecht (PV);2008;12302;2795;1894;1580;1772;896;19;89;1381;662;1214
350;Utrecht (PV);2009;11933;2670;1994;2214;1129;785;19;88;1345;675;1014
351;Utrecht (PV);2010;11468;2329;1699;2027;1297;744;20;109;1527;753;963
352;Utrecht (PV);2011;12319;2508;2101;1853;1232;1095;15;107;1464;803;1141
353;Utrecht (PV);2012;10564;1700;1416;1677;1430;864;19;108;1489;833;1028
354;Utrecht (PV);2013;9956;1483;1669;1608;689;973;24;96;1511;938;965
355;Utrecht (PV);2014;10345;1773;2040;1447;651;826;17;112;1536;979;964
356;Utrecht (PV);2015;12594;2046;1208;2856;1605;1055;16;128;1766;860;1054
357;Utrecht (PV);2016;13519;2504;1483;2654;1751;1202;19;175;1823;913;995
358;Utrecht (PV);2017;13826;2991;1833;1892;1850;1004;1;198;1905;984;1168
359;Utrecht (PV);2018;16140;3612;1979;2087;3056;1015;11;209;1976;1081;1114
360;Utrecht (PV);2019;17372;4439;2209;1816;3066;995;6;249;2092;1198;1302
361;Utrecht (PV);2020;16634;3979;1672;1957;2714;1154;19;295;2139;1309;1396
362;Utrecht (PV);2021;17419;4143;1717;2163;2714;1297;6;288;2198;1391;1502
363;Utrecht (PV);2022;18459;4245;1891;2168;2651;1634;16;272;2365;1360;1857
364;Noord-Holland (PV);1995;11514;2752;1447;978;1693;1572;16;142;772;883;1259
365;Noord-Holland (PV);1996;12362;2980;1517;1136;1397;1873;14;182;901;912;1450
366;Noord-Holland (PV);1997;13565;3247;1575;1144;1492;2194;33;175;1014;992;1699
367;Noord-Holland (PV);1998;15168;3410;1727;1222;1705;2589;12;199;1402;994;1908
368;Noord-Holland (PV);1999;17449;3687;2160;1448;1674;3405;16;216;1625;1113;2105
369;Noord-Holland (PV);2000;19102;3990;2355;1652;2330;3377;11;287;1795;1163;2142
370;Noord-Holland (PV);2001;19252;4398;2533;1759;2096;2805;12;245;1826;1258;2320
371;Noord-Holland (PV);2002;18110;4412;2565;1681;1817;2180;12;222;1792;1267;2162
372;Noord-Holland (PV);2003;18616;4428;2537;1629;2699;1839;9;159;1766;1292;2258
373;Noord-Holland (PV);2004;18464;4778;2356;1592;2128;1847;12;201;1973;1350;2227
374;Noord-Holland (PV);2005;19624;5184;2528;1781;2125;1853;11;215;2206;1375;2346
375;Noord-Holland (PV);2006;21272;5699;2583;1951;2509;2010;9;228;2458;1421;2404
376;Noord-Holland (PV);2007;22821;6115;3068;2266;2153;2056;14;212;2780;1388;2769
377;Noord-Holland (PV);2008;24530;6333;3572;2209;2488;2390;12;195;2967;1443;2921
378;Noord-Holland (PV);2009;24089;5391;3878;2721;2039;2947;10;181;2872;1434;2616
379;Noord-Holland (PV);2010;22239;4892;3598;1900;1517;2332;13;258;3353;1816;2560
380;Noord-Holland (PV);2011;22050;4346;3113;2029;2145;2330;10;260;3341;1913;2563
381;Noord-Holland (PV);2012;20838;3710;2983;1910;2196;1783;12;271;3315;1998;2660
382;Noord-Holland (PV);2013;20978;3402;2964;2265;1860;2288;16;234;3363;2194;2392
383;Noord-Holland (PV);2014;22150;3556;2791;2934;1778;2448;25;299;3625;2314;2380
384;Noord-Holland (PV);2015;24490;4660;2749;1526;3354;2324;34;308;4061;2517;2957
385;Noord-Holland (PV);2016;27680;6431;2635;1522;4186;2399;93;422;4245;2633;3114
386;Noord-Holland (PV);2017;31907;7789;3302;2224;5135;2827;35;471;4323;2788;3013
387;Noord-Holland (PV);2018;30287;7742;3068;1874;3532;2824;9;517;4469;3071;3181
388;Noord-Holland (PV);2019;34657;8100;3734;3077;4990;2473;14;650;4668;3196;3755
389;Noord-Holland (PV);2020;33943;7652;5141;2246;3758;2745;32;740;4660;3267;3702
390;Noord-Holland (PV);2021;35310;8980;4035;2249;3938;2913;28;745;4793;3415;4214
391;Noord-Holland (PV);2022;42839;11512;5747;2239;4199;4462;20;666;5369;3433;5192
392;Zuid-Holland (PV);1995;14962;3748;2343;1648;1439;2234;20;169;893;1181;1287
393;Zuid-Holland (PV);1996;16265;4061;2351;1777;1608;2522;19;217;1049;1184;1477
394;Zuid-Holland (PV);1997;17402;4427;2526;1810;1476;2899;44;210;1087;1284;1639
395;Zuid-Holland (PV);1998;19042;4646;2844;1891;1824;2975;15;238;1515;1281;1813
396;Zuid-Holland (PV);1999;21337;5024;3180;2174;1962;3572;21;267;1724;1427;1986
397;Zuid-Holland (PV);2000;22342;5437;3727;2261;1776;3397;14;346;1884;1483;2017
398;Zuid-Holland (PV);2001;23804;5992;4040;2612;1835;3074;16;306;2009;1593;2327
399;Zuid-Holland (PV);2002;23905;6007;4275;2854;1743;2871;15;270;1991;1602;2277
400;Zuid-Holland (PV);2003;23779;6030;4095;2971;1904;2658;12;203;1993;1649;2264
401;Zuid-Holland (PV);2004;24213;6508;3949;2702;1966;2588;16;239;2196;1762;2287
402;Zuid-Holland (PV);2005;25425;7060;3974;2919;2021;2626;14;261;2438;1785;2327
403;Zuid-Holland (PV);2006;27848;7764;4268;3158;2327;2961;12;270;2747;1869;2472
404;Zuid-Holland (PV);2007;40329;8325;4968;3286;2645;3335;19;260;4879;9955;2657
405;Zuid-Holland (PV);2008;32681;8625;5541;3664;2904;3778;16;240;3198;1886;2829
406;Zuid-Holland (PV);2009;30843;7733;5057;3598;2009;3382;14;223;3107;3067;2653
407;Zuid-Holland (PV);2010;30135;6692;4605;4100;2234;3893;15;258;3586;1988;2764
408;Zuid-Holland (PV);2011;30538;5663;4357;5061;2346;4424;12;265;3453;2160;2797
409;Zuid-Holland (PV);2012;27655;4847;4264;3737;1945;4219;14;272;3457;2183;2717
410;Zuid-Holland (PV);2013;30946;3929;3720;4159;2177;3066;18;220;5432;5813;2412
411;Zuid-Holland (PV);2014;27076;4126;3650;4220;1927;3612;25;278;3575;3044;2619
412;Zuid-Holland (PV);2015;60699;5499;4010;5075;2355;4363;81;282;8960;27501;2573
413;Zuid-Holland (PV);2016;32528;7497;4001;4856;2955;4035;76;401;3934;2591;2182
414;Zuid-Holland (PV);2017;34529;8790;3805;4794;3169;4374;84;389;3960;2728;2436
415;Zuid-Holland (PV);2018;35045;10033;3394;4292;2795;4144;23;412;4042;3034;2876
416;Zuid-Holland (PV);2019;41301;11204;4429;5199;4489;5054;36;458;4224;3170;3038
417;Zuid-Holland (PV);2020;41430;12979;5127;4895;2311;4889;101;554;4274;3255;3045
418;Zuid-Holland (PV);2021;43214;13046;5504;5331;2515;4736;67;613;4356;3694;3352
419;Zuid-Holland (PV);2022;47046;13207;5894;5927;3248;5106;86;541;4703;3997;4337
420;Zeeland (PV);1995;2008;429;222;77;123;758;42;14;84;153;106
421;Zeeland (PV);1996;2050;465;206;86;133;748;38;15;89;153;117
422;Zeeland (PV);1997;2351;507;201;90;116;944;88;17;88;167;133
423;Zeeland (PV);1998;2160;532;218;86;148;695;31;15;126;168;141
424;Zeeland (PV);1999;2351;575;241;98;144;753;42;17;143;174;164
425;Zeeland (PV);2000;2332;623;249;116;137;658;29;21;156;180;163
426;Zeeland (PV);2001;2334;686;269;119;126;537;32;18;169;181;197
427;Zeeland (PV);2002;2461;688;281;130;124;653;31;18;164;184;188
428;Zeeland (PV);2003;2510;691;291;132;135;675;25;14;167;192;188
429;Zeeland (PV);2004;2650;745;289;128;128;701;33;17;184;236;189
430;Zeeland (PV);2005;2719;808;288;132;131;687;28;20;203;230;192
431;Zeeland (PV);2006;3007;889;310;144;155;778;25;20;228;260;198
432;Zeeland (PV);2007;3357;953;345;152;191;869;38;19;251;297;242
433;Zeeland (PV);2008;3575;987;401;174;223;957;32;19;265;298;219
434;Zeeland (PV);2009;3157;849;337;271;304;656;30;16;261;227;206
435;Zeeland (PV);2010;2933;765;320;461;244;455;36;16;274;179;183
436;Zeeland (PV);2011;3322;769;366;265;505;718;28;17;266;166;222
437;Zeeland (PV);2012;2958;787;398;310;264;519;35;19;260;169;197
438;Zeeland (PV);2013;2549;567;271;288;291;417;46;16;253;170;230
439;Zeeland (PV);2014;2593;501;301;305;259;543;7;21;264;178;214
440;Zeeland (PV);2015;2786;642;352;322;295;436;13;29;279;242;176
441;Zeeland (PV);2016;3260;730;415;563;140;662;8;40;282;243;177
442;Zeeland (PV);2017;2755;492;397;261;181;639;1;36;273;259;216
443;Zeeland (PV);2018;3608;660;520;660;198;740;2;39;283;295;211
444;Zeeland (PV);2019;4333;1058;601;571;207;552;5;42;292;314;691
445;Zeeland (PV);2020;5111;1286;808;1105;158;748;11;49;294;311;341
446;Zeeland (PV);2021;5112;1712;1112;471;172;630;4;57;294;375;285
447;Zeeland (PV);2022;5523;1687;1065;561;212;724;6;50;333;440;445
448;Noord-Brabant (PV);1995;10561;2803;1402;887;772;2034;43;101;597;1062;860
449;Noord-Brabant (PV);1996;11284;3037;1430;983;825;2071;38;127;681;1140;952
450;Noord-Brabant (PV);1997;11939;3310;1504;910;843;2162;90;124;700;1226;1070
451;Noord-Brabant (PV);1998;12920;3474;1641;960;966;2314;31;135;976;1251;1172
452;Noord-Brabant (PV);1999;14338;3757;1927;1056;1076;2497;43;155;1130;1400;1297
453;Noord-Brabant (PV);2000;14885;4065;2016;1222;1034;2293;30;191;1235;1481;1318
454;Noord-Brabant (PV);2001;15858;4480;2195;1323;1098;2133;33;169;1297;1621;1509
455;Noord-Brabant (PV);2002;15944;4488;2407;1454;1023;2131;32;142;1286;1552;1429
456;Noord-Brabant (PV);2003;16072;4505;2479;1520;1098;2047;25;108;1283;1584;1423
457;Noord-Brabant (PV);2004;16332;4861;2305;1430;1182;1919;33;132;1419;1613;1438
458;Noord-Brabant (PV);2005;17256;5274;2373;1539;1196;2026;29;146;1573;1656;1444
459;Noord-Brabant (PV);2006;18685;5807;2548;1696;1309;2182;25;154;1766;1700;1498
460;Noord-Brabant (PV);2007;20342;6227;2895;1819;1444;2513;39;150;1969;1635;1651
461;Noord-Brabant (PV);2008;21648;6451;3308;1961;1471;2864;32;136;2103;1638;1684
462;Noord-Brabant (PV);2009;20183;5891;3089;2193;1006;2494;46;125;2056;1655;1628
463;Noord-Brabant (PV);2010;18473;5012;2753;2013;794;2222;36;135;2190;1820;1498
464;Noord-Brabant (PV);2011;19865;4485;2792;2084;1640;3018;28;146;2156;1976;1540
465;Noord-Brabant (PV);2012;18780;3948;2543;2296;1258;2899;35;146;2178;1935;1542
466;Noord-Brabant (PV);2013;18828;3755;2836;2394;1580;2348;43;120;2222;1987;1543
467;Noord-Brabant (PV);2014;17910;3612;2425;2018;1553;2210;44;150;2309;2070;1519
468;Noord-Brabant (PV);2015;18797;3772;2473;2330;1919;2296;88;206;2504;1713;1496
469;Noord-Brabant (PV);2016;20208;4271;3193;2213;1867;2341;38;285;2610;1857;1533
470;Noord-Brabant (PV);2017;22271;4517;3917;2385;2213;2608;5;276;2688;2015;1647
471;Noord-Brabant (PV);2018;24758;5126;4807;3017;2203;2680;11;293;2707;2188;1726
472;Noord-Brabant (PV);2019;25085;5648;4296;2201;2317;3223;15;324;2799;2325;1937
473;Noord-Brabant (PV);2020;24304;5530;3824;2232;1957;2989;51;381;2806;2470;2064
474;Noord-Brabant (PV);2021;26896;6732;4394;2324;1849;3132;47;429;2889;2687;2413
475;Noord-Brabant (PV);2022;29065;7342;4875;2511;1955;3479;44;380;3211;2859;2409
476;Limburg (PV);1995;4436;1108;612;435;232;1026;23;42;230;366;362
477;Limburg (PV);1996;4732;1200;664;513;246;987;21;54;267;381;399
478;Limburg (PV);1997;5061;1308;702;463;239;1058;49;51;287;408;496
479;Limburg (PV);1998;5510;1373;707;501;280;1131;17;59;395;412;635
480;Limburg (PV);1999;6105;1485;865;592;289;1207;23;66;459;446;673
481;Limburg (PV);2000;6358;1607;877;755;264;1145;16;87;510;465;632
482;Limburg (PV);2001;6512;1771;959;704;276;1033;18;76;539;492;644
483;Limburg (PV);2002;6441;1777;1008;627;256;1042;17;69;541;493;611
484;Limburg (PV);2003;6346;1783;1022;536;280;995;14;50;544;506;616
485;Limburg (PV);2004;6465;1925;953;548;294;910;18;61;596;552;608
486;Limburg (PV);2005;6953;2088;1009;625;292;965;16;65;665;556;672
487;Limburg (PV);2006;7514;2294;1028;712;315;1066;14;67;749;594;675
488;Limburg (PV);2007;8304;2460;1155;892;358;1196;21;65;829;617;711
489;Limburg (PV);2008;8559;2549;1247;739;378;1361;17;60;877;621;710
490;Limburg (PV);2009;7158;2002;1063;531;382;1013;21;56;835;626;629
491;Limburg (PV);2010;6288;1539;1056;425;228;895;28;55;857;663;542
492;Limburg (PV);2011;7019;1402;1038;511;332;1464;22;57;826;726;641
493;Limburg (PV);2012;6954;1126;1035;717;460;1390;27;59;815;721;604
494;Limburg (PV);2013;6710;973;1460;491;627;891;34;49;834;742;609
495;Limburg (PV);2014;6709;994;1474;415;600;949;12;63;818;782;602
496;Limburg (PV);2015;7223;1509;1358;750;359;999;17;79;911;671;570
497;Limburg (PV);2016;7508;1803;1138;686;345;1181;18;111;938;706;582
498;Limburg (PV);2017;8588;2330;1294;737;469;1340;14;105;945;743;611
499;Limburg (PV);2018;8596;2259;1405;729;380;1246;3;110;960;821;683
500;Limburg (PV);2019;9365;2607;1505;584;430;1558;10;122;993;891;665
501;Limburg (PV);2020;9205;2574;1434;607;311;1410;16;144;1000;916;793
502;Limburg (PV);2021;10121;2954;1574;577;382;1509;12;160;1007;1043;903
503;Limburg (PV);2022;10825;3003;1857;665;363;1745;9;136;1120;1058;869
504;Oost-Groningen (CR);1995;478;115;39;94;27;121;2;5;17;25;33
505;Oost-Groningen (CR);1996;497;124;40;101;29;107;2;6;21;26;41
506;Oost-Groningen (CR);1997;524;135;42;70;29;149;4;6;22;28;39
507;Oost-Groningen (CR);1998;492;142;43;77;33;89;1;6;30;29;42
508;Oost-Groningen (CR);1999;538;154;52;74;35;99;2;7;35;32;48
509;Oost-Groningen (CR);2000;569;166;52;87;34;101;1;7;38;33;50
510;Oost-Groningen (CR);2001;632;183;53;129;35;89;2;7;41;36;57
511;Oost-Groningen (CR);2002;647;183;60;142;32;90;1;5;41;36;57
512;Oost-Groningen (CR);2003;564;183;61;71;35;75;1;4;40;37;57
513;Oost-Groningen (CR);2004;601;198;57;73;37;90;2;5;45;37;57
514;Oost-Groningen (CR);2005;607;215;59;68;36;78;1;6;49;38;57
515;Oost-Groningen (CR);2006;664;238;62;75;40;87;1;6;56;38;61
516;Oost-Groningen (CR);2007;727;255;72;78;44;103;2;6;61;38;68
517;Oost-Groningen (CR);2008;777;264;81;119;43;97;1;6;65;38;63
518;Oost-Groningen (CR);2009;713;206;120;88;31;114;2;5;64;35;48
519;Oost-Groningen (CR);2010;580;143;101;87;26;85;1;5;58;32;42
520;Oost-Groningen (CR);2011;627;130;120;84;31;99;1;5;61;44;52
521;Oost-Groningen (CR);2012;557;81;90;81;32;116;1;5;59;44;48
522;Oost-Groningen (CR);2013;718;56;98;125;83;180;1;4;59;45;67
523;Oost-Groningen (CR);2014;855;63;126;194;75;210;4;6;62;49;66
524;Oost-Groningen (CR);2015;718;92;272;61;39;86;4;7;67;46;44
525;Oost-Groningen (CR);2016;739;83;312;59;34;75;3;10;68;50;45
526;Oost-Groningen (CR);2017;648;57;222;47;46;103;0;9;66;53;45
527;Oost-Groningen (CR);2018;553;78;117;53;35;94;1;9;66;56;44
528;Oost-Groningen (CR);2019;589;70;96;83;34;108;1;9;72;59;57
529;Oost-Groningen (CR);2020;575;70;68;79;29;109;2;11;73;64;70
530;Oost-Groningen (CR);2021;650;116;59;86;41;126;1;13;74;71;63
531;Oost-Groningen (CR);2022;819;165;71;81;72;156;4;12;89;81;88
532;Delfzijl en omgeving (CR);1995;193;18;30;8;24;73;1;1;10;16;12
533;Delfzijl en omgeving (CR);1996;224;19;27;9;24;103;1;1;10;17;13
534;Delfzijl en omgeving (CR);1997;241;21;30;10;17;118;3;1;10;18;13
535;Delfzijl en omgeving (CR);1998;250;22;28;10;24;118;1;1;14;18;14
536;Delfzijl en omgeving (CR);1999;266;24;36;11;21;121;1;1;16;19;16
537;Delfzijl en omgeving (CR);2000;255;26;35;10;18;111;1;1;17;19;17
538;Delfzijl en omgeving (CR);2001;241;28;36;10;16;89;1;1;20;20;20
539;Delfzijl en omgeving (CR);2002;294;28;37;13;15;143;1;1;18;20;18
540;Delfzijl en omgeving (CR);2003;309;29;43;11;19;148;1;1;18;20;19
541;Delfzijl en omgeving (CR);2004;255;31;43;11;16;90;1;1;20;23;19
542;Delfzijl en omgeving (CR);2005;270;33;44;12;18;99;1;1;22;22;18
543;Delfzijl en omgeving (CR);2006;322;37;49;13;26;124;1;1;25;25;21
544;Delfzijl en omgeving (CR);2007;318;40;52;13;32;102;1;1;26;27;24
545;Delfzijl en omgeving (CR);2008;382;41;56;14;42;149;1;1;28;28;22
546;Delfzijl en omgeving (CR);2009;515;52;42;40;97;205;1;1;27;26;24
547;Delfzijl en omgeving (CR);2010;510;50;41;35;42;258;1;1;26;21;35
548;Delfzijl en omgeving (CR);2011;304;43;38;42;21;81;1;1;27;24;26
549;Delfzijl en omgeving (CR);2012;340;67;47;19;50;78;1;1;29;27;21
550;Delfzijl en omgeving (CR);2013;282;36;27;51;36;56;1;1;26;26;22
551;Delfzijl en omgeving (CR);2014;297;20;40;24;28;107;3;1;25;28;21
552;Delfzijl en omgeving (CR);2015;358;66;32;62;43;55;20;3;29;31;17
553;Delfzijl en omgeving (CR);2016;1134;580;33;272;8;160;1;3;31;32;14
554;Delfzijl en omgeving (CR);2017;814;401;34;182;23;92;0;3;29;34;16
555;Delfzijl en omgeving (CR);2018;828;502;44;56;11;121;4;3;28;41;18
556;Delfzijl en omgeving (CR);2019;952;328;70;103;29;328;1;4;29;42;18
557;Delfzijl en omgeving (CR);2020;1190;489;127;275;38;147;8;4;29;46;27
558;Delfzijl en omgeving (CR);2021;828;327;125;47;74;140;1;5;30;57;22
559;Delfzijl en omgeving (CR);2022;541;1;64;37;77;223;1;4;38;67;29
560;Overig Groningen (CR);1995;1728;404;333;170;120;300;6;13;74;111;197
561;Overig Groningen (CR);1996;1836;438;297;198;134;324;5;17;92;113;218
562;Overig Groningen (CR);1997;1912;477;306;152;112;391;12;17;108;122;215
563;Overig Groningen (CR);1998;2052;501;342;165;145;364;4;19;148;124;240
564;Overig Groningen (CR);1999;2145;542;341;158;140;392;6;21;174;135;236
565;Overig Groningen (CR);2000;2296;586;440;231;121;343;4;27;195;141;208
566;Overig Groningen (CR);2001;2411;646;445;247;119;318;4;24;209;155;244
567;Overig Groningen (CR);2002;2435;648;439;248;113;331;4;22;209;160;261
568;Overig Groningen (CR);2003;2417;651;414;248;130;314;3;16;211;165;265
569;Overig Groningen (CR);2004;2506;702;438;226;122;333;4;19;234;171;257
570;Overig Groningen (CR);2005;2621;762;394;270;128;342;4;21;263;176;261
571;Overig Groningen (CR);2006;2880;837;436;299;158;360;3;22;296;178;291
572;Overig Groningen (CR);2007;3130;897;501;332;191;392;5;21;329;176;286
573;Overig Groningen (CR);2008;3335;929;521;366;226;438;4;19;348;181;303
574;Overig Groningen (CR);2009;3471;680;611;404;152;788;4;19;354;181;278
575;Overig Groningen (CR);2010;2695;509;513;269;115;429;4;20;374;180;282
576;Overig Groningen (CR);2011;2566;552;449;298;96;350;3;21;348;193;256
577;Overig Groningen (CR);2012;2584;532;303;322;156;434;4;21;355;190;267
578;Overig Groningen (CR);2013;2245;330;324;238;198;318;5;17;333;197;285
579;Overig Groningen (CR);2014;2452;446;381;242;187;313;16;23;372;207;265
580;Overig Groningen (CR);2015;4570;623;373;418;228;1639;16;25;460;222;566
581;Overig Groningen (CR);2016;3362;591;371;541;221;445;16;36;486;236;419
582;Overig Groningen (CR);2017;3176;632;357;400;180;444;10;34;474;240;405
583;Overig Groningen (CR);2018;4085;717;463;482;175;962;2;38;489;264;493
584;Overig Groningen (CR);2019;4558;744;1228;308;310;783;4;40;478;275;388
585;Overig Groningen (CR);2020;4725;764;1006;452;291;663;3;47;463;284;752
586;Overig Groningen (CR);2021;4591;492;1120;533;337;590;3;55;483;326;652
587;Overig Groningen (CR);2022;3568;306;393;576;240;564;4;52;512;346;575
588;Noord-Friesland (CR);1995;1119;329;202;103;69;156;12;23;61;71;93
589;Noord-Friesland (CR);1996;1210;356;190;121;72;179;11;31;76;73;101
590;Noord-Friesland (CR);1997;1302;388;197;117;65;198;26;28;91;80;112
591;Noord-Friesland (CR);1998;1389;407;209;128;77;203;9;34;122;81;119
592;Noord-Friesland (CR);1999;1562;441;238;159;77;238;12;34;140;89;134
593;Noord-Friesland (CR);2000;1665;477;258;193;70;222;9;55;150;93;138
594;Noord-Friesland (CR);2001;1740;525;276;187;70;206;10;46;155;100;165
595;Noord-Friesland (CR);2002;1701;526;298;153;65;189;9;41;154;105;161
596;Noord-Friesland (CR);2003;1714;528;336;140;72;177;7;24;155;107;168
597;Noord-Friesland (CR);2004;1766;570;309;144;73;181;10;30;171;110;168
598;Noord-Friesland (CR);2005;1876;619;323;168;74;181;8;28;193;113;169
599;Noord-Friesland (CR);2006;2033;681;353;187;81;193;7;29;219;113;170
600;Noord-Friesland (CR);2007;2254;730;391;239;96;228;11;26;244;111;178
601;Noord-Friesland (CR);2008;2337;756;433;198;106;256;9;24;260;113;182
602;Noord-Friesland (CR);2009;2017;585;415;146;89;224;8;21;245;108;176
603;Noord-Friesland (CR);2010;1991;391;348;451;69;202;7;17;244;113;149
604;Noord-Friesland (CR);2011;1769;426;299;109;83;295;5;18;232;119;183
605;Noord-Friesland (CR);2012;1900;377;345;203;102;329;6;20;233;114;171
606;Noord-Friesland (CR);2013;2360;343;300;419;247;482;8;16;222;116;207
607;Noord-Friesland (CR);2014;2306;349;380;149;259;575;25;17;227;122;203
608;Noord-Friesland (CR);2015;2296;648;387;160;110;433;10;22;223;135;168
609;Noord-Friesland (CR);2016;2293;712;408;208;164;246;9;29;228;142;147
610;Noord-Friesland (CR);2017;2171;703;338;178;173;209;2;30;224;147;167
611;Noord-Friesland (CR);2018;2308;787;359;199;115;265;2;31;230;160;160
612;Noord-Friesland (CR);2019;2295;734;348;199;117;254;4;34;245;175;185
613;Noord-Friesland (CR);2020;2428;783;296;251;101;292;6;40;251;193;215
614;Noord-Friesland (CR);2021;2844;1059;340;274;115;300;43;42;255;209;207
615;Noord-Friesland (CR);2022;2970;896;490;275;166;343;7;40;298;226;229
616;Zuidwest-Friesland (CR);1995;342;113;52;18;30;62;3;4;15;20;25
617;Zuidwest-Friesland (CR);1996;363;122;52;22;25;69;3;4;18;20;28
618;Zuidwest-Friesland (CR);1997;389;133;53;21;23;76;7;4;19;22;31
619;Zuidwest-Friesland (CR);1998;413;140;55;20;28;76;3;5;29;23;34
620;Zuidwest-Friesland (CR);1999;456;151;64;23;30;82;3;5;35;25;38
621;Zuidwest-Friesland (CR);2000;472;164;67;25;27;80;2;6;37;26;38
622;Zuidwest-Friesland (CR);2001;511;180;74;27;27;78;3;5;43;29;45
623;Zuidwest-Friesland (CR);2002;509;181;81;33;25;72;3;4;38;29;43
624;Zuidwest-Friesland (CR);2003;502;181;84;33;27;62;2;3;38;29;43
625;Zuidwest-Friesland (CR);2004;524;196;80;32;28;67;3;4;41;30;43
626;Zuidwest-Friesland (CR);2005;550;212;82;33;28;68;2;5;45;31;44
627;Zuidwest-Friesland (CR);2006;612;234;90;55;31;68;2;5;50;31;46
628;Zuidwest-Friesland (CR);2007;657;251;109;39;36;80;3;5;55;30;49
629;Zuidwest-Friesland (CR);2008;703;260;118;54;38;86;3;5;57;30;52
630;Zuidwest-Friesland (CR);2009;620;202;126;68;34;53;3;3;55;31;45
631;Zuidwest-Friesland (CR);2010;559;175;96;61;33;61;3;3;52;32;43
632;Zuidwest-Friesland (CR);2011;503;116;47;57;38;108;2;3;49;35;48
633;Zuidwest-Friesland (CR);2012;612;214;114;46;25;82;3;3;50;36;39
634;Zuidwest-Friesland (CR);2013;899;127;77;203;120;210;4;3;50;38;67
635;Zuidwest-Friesland (CR);2014;839;70;120;56;177;202;16;5;65;44;84
636;Zuidwest-Friesland (CR);2015;686;153;140;35;41;90;35;9;69;61;53
637;Zuidwest-Friesland (CR);2016;753;249;120;42;44;86;13;12;71;66;50
638;Zuidwest-Friesland (CR);2017;918;329;114;63;68;129;1;11;73;71;59
639;Zuidwest-Friesland (CR);2018;873;251;179;54;48;112;1;12;75;79;62
640;Zuidwest-Friesland (CR);2019;1137;407;202;56;61;162;3;14;78;86;68
641;Zuidwest-Friesland (CR);2020;1285;552;184;54;42;185;3;16;77;92;80
642;Zuidwest-Friesland (CR);2021;1241;477;178;58;55;183;3;19;78;99;91
643;Zuidwest-Friesland (CR);2022;1307;451;274;62;52;166;4;16;90;101;91
644;Zuidoost-Friesland (CR);1995;868;191;336;49;54;86;9;5;33;54;51
645;Zuidoost-Friesland (CR);1996;858;207;280;56;53;94;8;6;39;57;58
646;Zuidoost-Friesland (CR);1997;957;225;332;54;51;103;20;6;40;62;64
647;Zuidoost-Friesland (CR);1998;1083;237;417;56;62;106;7;6;58;63;71
648;Zuidoost-Friesland (CR);1999;1122;256;375;62;67;126;9;8;69;71;79
649;Zuidoost-Friesland (CR);2000;1340;277;566;69;61;120;7;8;75;75;82
650;Zuidoost-Friesland (CR);2001;1360;305;524;78;63;115;7;7;81;82;98
651;Zuidoost-Friesland (CR);2002;1270;306;458;88;58;100;7;6;78;79;90
652;Zuidoost-Friesland (CR);2003;1218;307;397;94;66;94;6;6;78;81;89
653;Zuidoost-Friesland (CR);2004;1287;331;433;90;68;93;7;7;86;81;91
654;Zuidoost-Friesland (CR);2005;1244;359;343;97;65;95;6;9;95;84;91
655;Zuidoost-Friesland (CR);2006;1356;395;377;106;71;106;6;10;105;84;96
