ID;Perioden;GrossDomesticProduct_1;ConsumptionOfFixedCapital_2;GrossOperatingSurplusAndMixedIncome_3;GrossNationalIncome_4;GrossDisposableNationalIncome_5;GrossNationalSaving_6;GrossFixedCapitalFormation_7;NetLendingOrNetBorrowing_8;NetLendingToPrivateSector_9;LendingToPrivateSectorEndOfPeriod_10;NetExternalAssets_11;LabourInputOfEmployedPersons_12;GrossValueAdded_13;GrossOperatingSurplus_14;GrossProfitsBeforeTaxes_15;ProfitsFromForeignSubsidiaries_16;ProfitRatio_17;CapitalFormationRatio_18;LabourInputOfEmployees_19;GrossValueAdded_20;GrossProfitsBeforeTaxes_21;ProfitsFromForeignSubsidiaries_22;FinancialNetWorth_23;PropertyIncomeReceived_24;PropertyIncomePaid_25;LiquidityRatioMonFinInstitutions_26;FinancialAssetsOfPensionFunds_27;LabourInputOfEmployees_28;TotalRevenue_29;TaxesAndSocialSecurityContributions_30;TotalExpenditure_31;GovernmentDebtEMU_32;BalanceGeneralGovernmentSectorEMU_33;LabourInputOfEmployees_34;GrossOperatingSurplusAndMixedIncome_35;MixedIncome_36;GrossDisposableIncome_37;RealDisposableIncome_38;AdjustedDisposableIncome_39;FinalConsumptionExpenditure_40;FreeIndividualSavings_41;SavingsRatio_42;HouseholdsCapitalFormationRatio_43;SavingsDepositsAndOtherDeposits_44;InsurancePensionAndGuaranteeSchemes_45;PensionEntitlementsAndClaims_46;HomeMortgagesClosingBalance_47;HomeMortgagesNetLending_48;LabourInputOfEmployees_49;LabourInputOfSelfEmployedPersons_50;NetExportsShare_51;NetExports_52;NetPrimaryIncomeAbroad_53;NetCurrentTransfersAbroad_54;NetCapitalTransfersAbroad_55
66;2011 3rd quarter;156596;26800;69069;159533;157610;44906;31367;13181;2.2;223.6;77649;;93443;42226;49805;7955;45.2;15.9;;11360;8167;2709;-85897;1.8;1.2;18.7;849141;;43.3;35.8;47.2;61.0;-3.9;;14550;13360;72288;-0.3;99355;72753;-465;6.5;9.6;318017;1100867;942844;665007;3421;;;8.1;12616;2937;-1923;-100
67;2011 4th quarter;165133;26831;66771;167655;164412;48129;33357;14312;4.2;225.0;105649;;96858;40299;53517;11834;41.6;18.4;;11483;7605;1990;-75596;1.9;1.2;19.1;882067;;42.7;35.5;47.0;61.6;-4.3;;14491;13294;75796;0.6;104591;72317;3479;9.9;10.5;319762;1119988;954846;666453;1621;;;9.4;15564;2522;-3243;-228
68;2011;642929;107068;263698;654687;645237;188809;131928;55001;4.2;225.0;105649;7099.0;378713;158051;200951;42997;41.7;18.1;4295.0;45913;28189;6539;-75596;1.9;1.2;19.1;882067;229.0;42.7;35.5;47.0;61.6;-4.3;1050.0;58265;53419;312078;0.6;423737;288939;23139;13.1;9.8;319762;1119988;954846;666453;11855;385.0;1140.0;8.5;54904;11758;-9450;-552
69;2012 1st quarter;160016;26880;69990;163156;160396;47627;30780;8602;5.1;226.0;130986;;95695;42951;50296;10257;44.9;17.3;;12472;5982;1531;-76646;1.8;1.2;20.4;927160;;42.8;35.5;47.0;62.4;-4.2;;14004;12618;73454;0.4;100695;72216;1238;7.7;9.4;328175;1158121;991173;666567;154;;;10.3;16533;3140;-2760;-99
70;2012 2nd quarter;162664;26971;57546;168323;166311;49303;32720;17383;5.2;227.2;153555;;95178;32201;39452;8263;33.8;18.9;;12274;4941;1215;-109056;1.7;1.1;19.3;955751;;43.1;35.7;47.0;63.9;-4.0;;13336;13331;89529;-1.7;119337;72612;16917;25.7;7.7;334306;1212660;1045839;668614;2129;;;8.0;13076;5659;-2012;-55
71;2012 3rd quarter;155974;27008;67763;158094;156083;42812;29361;14073;4.6;227.4;184923;;93132;40877;49696;9402;43.9;14.8;;12495;6523;1512;-47280;1.7;1.1;18.1;987685;;42.9;35.5;47.2;65.0;-4.3;;13373;13098;73377;-0.7;101111;72765;612;8.6;9.2;335981;1194198;1023604;670473;1889;;;8.6;13443;2120;-2011;-69
72;2012 4th quarter;166510;27038;66422;168877;166385;49457;30726;19409;2.0;225.9;215314;;97752;40561;52960;14004;41.5;17.1;;12242;5446;1150;-36736;1.5;1.0;17.5;1017363;;43.2;35.7;47.1;66.3;-3.9;;13533;14020;77101;-0.8;106741;72163;4938;11.6;9.1;338448;1210123;1044256;670063;-315;;;11.3;18894;2367;-2492;-45
73;2012;645164;107897;261721;658450;649175;189199;123587;59467;2.0;225.9;215314;7055.0;381757;156590;192404;41926;41.0;17.0;4273.0;49483;22892;5408;-36736;1.5;1.0;17.5;1017363;227.0;43.2;35.7;47.1;66.3;-3.9;1029.0;54246;53067;313461;-0.8;427884;289756;23705;14.1;8.8;338448;1210123;1044256;670063;3857;372.0;1154.0;9.6;61946;13286;-9275;-268
74;2013 1st quarter;161304;27245;69018;167042;163981;49969;27270;22639;1.0;225.8;266522;;96062;42503;51202;11572;44.2;15.2;;12573;5578;1779;15417;1.5;1.0;15.5;1042588;;43.6;35.9;46.6;66.7;-3.0;;13808;13979;73168;-1.5;100843;72596;572;7.8;7.8;343373;1197694;1028485;665399;-4588;;;12.5;20117;5738;-3061;-203
75;2013 2nd quarter;163735;27337;57082;164367;162117;44389;30669;13541;-0.4;224.8;247896;;95220;31701;39307;7465;33.3;17.2;;12537;6896;1572;-25819;1.5;1.0;16.0;1010106;;43.9;36.1;46.6;68.4;-2.7;;13283;13426;89885;-1.1;119401;73178;16707;25.4;6.6;346444;1206607;1044889;662109;-3234;;;9.5;15481;632;-2250;-45
76;2013 3rd quarter;158739;27375;69033;161919;159023;44323;28391;15639;0.7;224.5;248947;;94313;41767;51489;9196;44.3;14.9;;11875;6223;1572;6253;1.5;1.0;16.1;1017459;;44.1;36.5;46.5;68.0;-2.4;;14661;13216;74148;-1.7;101610;74016;132;8.1;8.3;344710;1170278;1007986;659346;-2583;;;9.9;15756;3180;-2896;-114
77;2013 4th quarter;168970;27405;68834;168551;164978;47082;32697;13263;1.5;223.4;258601;;99110;41847;49144;7700;42.2;18.8;;11756;7482;1500;-8848;1.6;1.0;15.1;1030713;;43.9;36.2;46.3;67.8;-2.4;;15054;13445;79241;-1.3;108106;73855;5386;12.5;8.7;341323;1178004;1016981;652473;-6721;;;10.9;18464;-419;-3573;-200
78;2013;652748;109362;263967;661879;650099;185763;119027;65082;1.5;223.4;258601;6972.0;384705;157818;191142;35933;41.0;16.5;4200.0;48741;26179;6423;-8848;1.6;1.0;15.1;1030713;222.0;43.9;36.2;46.3;67.8;-2.4;1013.0;56806;54066;316442;-1.3;429960;293645;22797;14.1;7.8;341323;1178004;1016981;652473;-17126;372.0;1165.0;10.7;69818;9131;-11780;-562
79;2014 1st quarter;162844;27452;69520;163247;159995;44965;28584;16284;0.2;222.3;304110;;95714;41850;47792;8332;43.7;15.6;;12343;6217;1607;10181;1.6;0.9;15.6;1084697;;43.7;36.5;46.7;67.4;-3.0;;15368;14285;75059;-0.2;102895;73326;1733;8.4;9.3;345697;1207100;1047074;650836;-1652;;;11.9;19331;403;-3252;-86
80;2014 2nd quarter;165503;27545;57006;167227;164603;45798;30617;15054;1.8;223.2;354577;;95630;30968;39440;8588;32.4;16.6;;11942;6830;2043;4575;1.5;0.9;14.8;1158220;;43.8;36.7;46.8;68.8;-3.0;;14509;13692;92298;1.0;122177;73954;18344;26.1;7.3;351256;1257804;1097404;650048;-755;;;9.8;16232;1724;-2624;-144
81;2014 3rd quarter;161744;27583;70496;161699;159967;44074;29349;14600;0.4;222.2;406409;;95675;42398;49721;7580;44.3;14.8;;12047;6110;1862;-15989;1.5;0.8;14.4;1212382;;43.7;36.8;46.4;68.2;-2.7;;15555;14030;75475;1.7;103315;74626;849;8.4;9.2;350032;1330690;1169482;649208;-891;;;10.3;16621;-45;-1732;-136
82;2014 4th quarter;172917;27614;69336;169114;166090;46669;33905;12519;-1.8;225.7;492814;;101327;42362;45615;4005;41.8;19.0;;11696;7225;2485;2837;1.4;0.8;15.3;1273211;;43.9;37.2;46.2;68.0;-2.3;;15427;14120;79851;1.4;109230;74776;5075;12.4;8.8;346509;1403014;1237680;649931;-1661;;;11.4;19701;-3803;-3024;-66
83;2014;663008;110194;266358;661287;650655;181506;122455;58457;-1.8;225.7;492814;6964.0;388346;157578;182568;28505;40.6;16.5;4223.0;48028;26382;7997;2837;1.4;0.8;15.3;1273211;214.0;43.9;37.2;46.2;68.0;-2.3;1006.0;60859;56127;322683;1.4;437617;296682;26001;14.5;8.6;346509;1403014;1237680;649931;-4959;331.0;1190.0;10.8;71885;-1721;-10632;-432
84;2015 1st quarter;166398;27841;72548;169361;165840;50178;30521;17544;-0.2;232.8;602883;;99694;44789;52436;8696;44.9;16.0;;12081;7380;2246;-64642;1.3;0.7;16.0;1420565;;43.9;37.4;46.0;69.0;-2.1;;15122;14351;74588;1.2;102380;74165;423;6.8;10.3;353597;1599395;1405056;649853;-207;;;12.2;20313;2963;-3521;-53
85;2015 2nd quarter;171558;27935;62472;173734;171387;50775;34302;-15071;0.0;231.6;492860;;100849;35344;44703;8591;35.0;17.2;;11775;8283;1986;-11266;1.4;0.7;16.8;1293520;;43.4;37.1;45.5;66.7;-2.2;;15224;14344;94086;1.0;123932;75958;18128;24.6;8.9;360036;1410247;1249491;650562;723;;;9.8;16773;2176;-2347;-236
86;2015 3rd quarter;168098;27974;75614;166617;164927;46507;32608;14026;1.0;229.9;513694;;100492;46512;52980;6079;46.3;14.9;;11570;7382;1964;-48165;1.4;0.7;18.3;1264178;;43.0;36.8;45.1;65.8;-2.2;;16495;14726;77797;1.3;105972;76954;843;8.1;9.9;358296;1470123;1311105;653874;3632;;;10.2;17186;-1481;-1690;-27
87;2015 4th quarter;177403;28005;72488;169898;166634;45750;38744;6043;-0.8;225.1;519623;;104606;44706;52510;7002;42.7;20.7;;11227;6532;1461;-31024;1.4;0.7;18.1;1280514;;42.8;37.0;44.9;64.6;-2.1;;16515;14932;80668;1.3;109883;76393;4275;10.4;10.3;351863;1467713;1313675;655613;1781;;;10.1;17863;-7505;-3264;-577
88;2015;683457;111755;283122;679610;668788;193210;136175;22542;-0.8;225.1;519623;7037.0;405641;171351;202629;30368;42.2;17.3;4313.0;46653;29577;7657;-31024;1.4;0.7;18.1;1280514;209.0;42.8;37.0;44.9;64.6;-2.1;971.0;63356;58353;327139;1.3;442167;303470;23669;13.1;9.8;351863;1467713;1313675;655613;5929;334.0;1210.0;10.6;72135;-3847;-10822;-893
89;2016 1st quarter;170749;28498;73490;170877;167345;49606;32388;16630;-0.3;224.5;587879;;101993;45423;50231;5514;44.5;17.1;;11302;5627;1627;-94942;1.3;0.6;18.0;1355023;;42.8;37.3;44.6;64.3;-1.8;;16411;15040;77232;1.7;104904;76122;1110;6.9;12.3;355078;1615618;1453721;657581;1756;;;12.1;20714;128;-3532;-672
90;2016 2nd quarter;176193;28593;63515;173669;172099;49666;36082;13411;-2.8;222.5;629376;;104285;36786;42561;4851;35.3;17.9;;10952;6625;2064;-107408;1.2;0.5;18.9;1405192;;43.4;37.9;44.3;63.2;-1.0;;15893;14703;95911;1.6;126354;77082;18829;24.7;10.0;362136;1669930;1506359;661343;3685;;;10.1;17807;-2524;-1570;-68
91;2016 3rd quarter;172657;28633;76315;169356;166796;46416;34184;12217;-0.9;224.2;657172;;103546;47402;54089;6070;45.8;15.6;;11127;6237;1992;-99532;1.1;0.5;19.8;1440688;;43.8;38.4;44.2;61.5;-0.4;;16899;15124;79581;1.5;107723;78552;1029;7.5;11.9;360660;1709890;1546242;664832;3058;;;10.5;18201;-3301;-2560;-24
92;2016 4th quarter;183042;28665;73817;180329;180714;56479;38265;17352;1.5;221.5;627930;;108192;45489;49649;4402;42.0;18.6;;10529;7078;2025;-73561;1.2;0.5;19.4;1401570;;43.8;38.4;43.4;61.8;0.4;;17389;15436;84324;2.3;113928;78936;5388;10.7;11.0;356734;1606683;1449704;664014;-435;;;11.3;20626;-2713;385;-278
93;2016;702641;114389;287137;694231;686954;202167;140919;59610;1.5;221.5;627930;7132.0;418016;175100;196530;20837;41.9;17.3;4414.0;43910;25567;7708;-73561;1.2;0.5;19.4;1401570;204.0;43.8;38.4;43.4;61.8;0.4;967.0;66592;60303;337048;2.3;452909;310692;26356;13.1;11.2;356734;1606683;1449704;664014;8064;345.0;1202.0;11.0;77348;-8410;-7277;-1042
94;2017 1st quarter;177872;29181;77805;179306;177137;55513;34096;20890;2.1;220.6;641290;;106088;47923;56897;8171;45.2;16.5;;11291;6512;2087;-41180;1.2;0.5;21.2;1413078;;44.0;38.7;43.0;59.5;1.0;;18229;16200;79567;2.1;108050;78835;732;6.1;13.0;359435;1590746;1434136;665490;1620;;;12.5;22240;1434;-2169;-403
95;2017 2nd quarter;184177;29278;66862;180836;179426;53033;37952;14909;4.1;218.4;648364;;109167;38746;47635;7545;35.5;18.2;;10154;5818;1950;-20796;1.2;0.6;20.8;1410715;;43.7;38.5;42.6;58.6;1.1;;17989;15905;98824;2.1;129911;80189;18635;24.2;10.6;366669;1563638;1408252;669148;3767;;;10.8;19968;-3341;-1410;-7
96;2017 3rd quarter;180098;29319;79674;179251;177472;52711;35497;17161;2.6;216.4;636581;;108187;49075;58846;8758;45.4;15.8;;10700;6865;1976;-30903;1.2;0.6;22.4;1417746;;43.6;38.5;42.4;56.9;1.2;;18998;16165;81957;1.9;110845;81889;68;6.3;12.2;364506;1559742;1406045;670785;1744;;;11.1;19949;-847;-1779;-116
97;2017 4th quarter;191021;29351;77705;189602;188112;60736;40250;20520;2.4;212.7;669177;;113114;47729;54699;6814;42.2;18.1;;10224;5838;1914;-44762;1.2;0.5;21.9;1472103;;43.7;38.5;42.6;56.7;1.1;;19285;16581;87228;1.5;117568;80997;6231;11.6;11.4;358418;1586493;1435793;672235;1463;;;12.3;23485;-1419;-1490;-33
98;2017;733168;117129;302046;728995;722147;221993;147795;73480;2.4;212.7;669177;;436556;183473;218077;31288;42.0;17.2;;42369;25033;7927;-44762;1.2;0.5;21.9;1472103;;43.7;38.5;42.6;56.7;1.1;;74501;64851;347576;1.5;466374;321910;25666;12.7;11.7;358418;1586493;1435793;672235;8594;;;11.7;85642;-4173;-6848;-559
