ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6
1490;Total;O Public administration and services;2014 4th quarter;490.0;488.0;520.0;518.0;195.0;187.0
1491;Total;O Public administration and services;2014;490.0;;520.0;;753.0;
1492;Total;O Public administration and services;2015 1st quarter;486.0;485.0;516.0;515.0;197.0;185.0
1493;Total;O Public administration and services;2015 2nd quarter;485.0;484.0;515.0;513.0;176.0;183.0
1494;Total;O Public administration and services;2015 3rd quarter;480.0;483.0;507.0;513.0;166.0;181.0
1495;Total;O Public administration and services;2015 4th quarter;484.0;483.0;514.0;512.0;195.0;185.0
1496;Total;O Public administration and services;2015;484.0;;513.0;;734.0;
1497;Total;O Public administration and services;2016 1st quarter;483.0;482.0;513.0;511.0;195.0;183.0
1498;Total;O Public administration and services;2016 2nd quarter;483.0;482.0;513.0;512.0;182.0;186.0
1499;Total;O Public administration and services;2016 3rd quarter;479.0;483.0;507.0;512.0;170.0;185.0
1500;Total;O Public administration and services;2016 4th quarter;485.0;484.0;515.0;513.0;192.0;185.0
1501;Total;O Public administration and services;2016;483.0;;512.0;;739.0;
1502;Total;O Public administration and services;2017 1st quarter;486.0;485.0;515.0;514.0;202.0;184.0
1503;Total;O Public administration and services;2017 2nd quarter;487.0;486.0;517.0;515.0;179.0;184.0
1504;Total;O Public administration and services;2017 3rd quarter;484.0;487.0;511.0;516.0;168.0;185.0
1505;Total;O Public administration and services;2017 4th quarter;490.0;489.0;520.0;518.0;191.0;186.0
1506;Total;O Public administration and services;2017;487.0;;516.0;;740.0;
1507;Total;O Public administration and services;2018 1st quarter;493.0;492.0;523.0;521.0;204.0;188.0
1508;Total;P Education;1995 1st quarter;401.0;405.0;450.0;453.0;141.0;130.0
1509;Total;P Education;1995 2nd quarter;408.0;406.0;458.0;456.0;130.0;133.0
1510;Total;P Education;1995 3rd quarter;405.0;407.0;454.0;457.0;123.0;135.0
1511;Total;P Education;1995 4th quarter;410.0;407.0;460.0;458.0;142.0;138.0
1512;Total;P Education;1995;406.0;;456.0;;536.0;
1513;Total;P Education;1996 1st quarter;400.0;404.0;458.0;460.0;143.0;135.0
1514;Total;P Education;1996 2nd quarter;406.0;404.0;465.0;463.0;132.0;133.0
1515;Total;P Education;1996 3rd quarter;403.0;405.0;462.0;464.0;124.0;136.0
1516;Total;P Education;1996 4th quarter;407.0;405.0;466.0;464.0;143.0;139.0
1517;Total;P Education;1996;404.0;;463.0;;543.0;
1518;Total;P Education;1997 1st quarter;410.0;412.0;462.0;464.0;143.0;138.0
1519;Total;P Education;1997 2nd quarter;413.0;411.0;465.0;463.0;140.0;139.0
1520;Total;P Education;1997 3rd quarter;411.0;413.0;462.0;465.0;126.0;138.0
1521;Total;P Education;1997 4th quarter;416.0;414.0;469.0;466.0;143.0;138.0
1522;Total;P Education;1997;413.0;;464.0;;553.0;
1523;Total;P Education;1998 1st quarter;410.0;412.0;466.0;468.0;149.0;141.0
1524;Total;P Education;1998 2nd quarter;414.0;413.0;471.0;469.0;141.0;141.0
1525;Total;P Education;1998 3rd quarter;412.0;414.0;468.0;471.0;129.0;141.0
1526;Total;P Education;1998 4th quarter;418.0;416.0;476.0;473.0;146.0;140.0
1527;Total;P Education;1998;414.0;;470.0;;564.0;
1528;Total;P Education;1999 1st quarter;421.0;422.0;467.0;469.0;148.0;142.0
1529;Total;P Education;1999 2nd quarter;426.0;424.0;473.0;472.0;142.0;143.0
1530;Total;P Education;1999 3rd quarter;424.0;426.0;471.0;473.0;130.0;143.0
1531;Total;P Education;1999 4th quarter;430.0;429.0;478.0;475.0;151.0;143.0
1532;Total;P Education;1999;425.0;;472.0;;571.0;
1533;Total;P Education;2000 1st quarter;429.0;430.0;476.0;477.0;155.0;143.0
1534;Total;P Education;2000 2nd quarter;433.0;432.0;480.0;479.0;145.0;146.0
1535;Total;P Education;2000 3rd quarter;432.0;435.0;479.0;481.0;129.0;143.0
1536;Total;P Education;2000 4th quarter;440.0;439.0;487.0;485.0;147.0;145.0
1537;Total;P Education;2000;434.0;;481.0;;576.0;
1538;Total;P Education;2001 1st quarter;439.0;439.0;484.0;485.0;157.0;146.0
1539;Total;P Education;2001 2nd quarter;445.0;443.0;491.0;489.0;146.0;147.0
1540;Total;P Education;2001 3rd quarter;445.0;448.0;490.0;493.0;135.0;149.0
1541;Total;P Education;2001 4th quarter;453.0;452.0;499.0;497.0;154.0;150.0
1542;Total;P Education;2001;445.0;;491.0;;591.0;
1543;Total;P Education;2002 1st quarter;456.0;455.0;502.0;503.0;161.0;151.0
1544;Total;P Education;2002 2nd quarter;462.0;459.0;508.0;506.0;151.0;152.0
1545;Total;P Education;2002 3rd quarter;462.0;464.0;508.0;510.0;141.0;154.0
1546;Total;P Education;2002 4th quarter;468.0;469.0;516.0;516.0;159.0;155.0
1547;Total;P Education;2002;462.0;;509.0;;612.0;
1548;Total;P Education;2003 1st quarter;476.0;475.0;526.0;526.0;171.0;160.0
1549;Total;P Education;2003 2nd quarter;482.0;477.0;532.0;527.0;159.0;160.0
1550;Total;P Education;2003 3rd quarter;470.0;475.0;519.0;523.0;146.0;159.0
1551;Total;P Education;2003 4th quarter;472.0;474.0;521.0;521.0;162.0;158.0
1552;Total;P Education;2003;475.0;;524.0;;637.0;
1553;Total;P Education;2004 1st quarter;482.0;479.0;523.0;523.0;169.0;158.0
1554;Total;P Education;2004 2nd quarter;486.0;482.0;528.0;526.0;154.0;158.0
1555;Total;P Education;2004 3rd quarter;481.0;486.0;525.0;529.0;145.0;161.0
1556;Total;P Education;2004 4th quarter;484.0;485.0;529.0;529.0;169.0;161.0
1557;Total;P Education;2004;483.0;;527.0;;638.0;
1558;Total;P Education;2005 1st quarter;483.0;481.0;528.0;528.0;168.0;159.0
1559;Total;P Education;2005 2nd quarter;490.0;486.0;535.0;532.0;159.0;160.0
1560;Total;P Education;2005 3rd quarter;485.0;491.0;531.0;536.0;146.0;160.0
1561;Total;P Education;2005 4th quarter;488.0;487.0;534.0;533.0;165.0;159.0
1562;Total;P Education;2005;487.0;;532.0;;637.0;
1563;Total;P Education;2006 1st quarter;484.0;483.0;528.0;529.0;172.0;157.0
1564;Total;P Education;2006 2nd quarter;488.0;482.0;533.0;527.0;154.0;158.0
1565;Total;P Education;2006 3rd quarter;474.0;481.0;520.0;527.0;142.0;158.0
1566;Total;P Education;2006 4th quarter;494.0;493.0;542.0;541.0;165.0;161.0
1567;Total;P Education;2006;485.0;;530.0;;633.0;
1568;Total;P Education;2007 1st quarter;501.0;497.0;548.0;544.0;175.0;161.0
1569;Total;P Education;2007 2nd quarter;501.0;499.0;551.0;547.0;158.0;161.0
1570;Total;P Education;2007 3rd quarter;492.0;500.0;541.0;550.0;145.0;163.0
1571;Total;P Education;2007 4th quarter;506.0;504.0;556.0;556.0;171.0;164.0
1572;Total;P Education;2007;500.0;;549.0;;649.0;
1573;Total;P Education;2008 1st quarter;512.0;509.0;568.0;561.0;180.0;168.0
1574;Total;P Education;2008 2nd quarter;514.0;511.0;566.0;563.0;165.0;168.0
1575;Total;P Education;2008 3rd quarter;505.0;514.0;556.0;567.0;154.0;172.0
1576;Total;P Education;2008 4th quarter;525.0;523.0;577.0;577.0;180.0;172.0
1577;Total;P Education;2008;514.0;;567.0;;680.0;
1578;Total;P Education;2009 1st quarter;526.0;522.0;584.0;576.0;186.0;174.0
1579;Total;P Education;2009 2nd quarter;526.0;523.0;582.0;578.0;166.0;171.0
1580;Total;P Education;2009 3rd quarter;513.0;523.0;569.0;582.0;156.0;174.0
1581;Total;P Education;2009 4th quarter;525.0;523.0;581.0;581.0;184.0;172.0
1582;Total;P Education;2009;523.0;;579.0;;691.0;
1583;Total;P Education;2010 1st quarter;528.0;524.0;590.0;582.0;184.0;172.0
1584;Total;P Education;2010 2nd quarter;527.0;523.0;588.0;582.0;162.0;170.0
1585;Total;P Education;2010 3rd quarter;510.0;522.0;564.0;579.0;151.0;170.0
1586;Total;P Education;2010 4th quarter;524.0;521.0;578.0;577.0;185.0;171.0
1587;Total;P Education;2010;522.0;;580.0;;683.0;
1588;Total;P Education;2011 1st quarter;526.0;522.0;586.0;580.0;182.0;168.0
1589;Total;P Education;2011 2nd quarter;528.0;523.0;591.0;583.0;163.0;168.0
1590;Total;P Education;2011 3rd quarter;514.0;525.0;570.0;586.0;150.0;169.0
1591;Total;P Education;2011 4th quarter;530.0;527.0;592.0;590.0;182.0;172.0
1592;Total;P Education;2011;524.0;;585.0;;678.0;
1593;Total;P Education;2012 1st quarter;530.0;525.0;594.0;587.0;188.0;171.0
1594;Total;P Education;2012 2nd quarter;525.0;522.0;588.0;582.0;164.0;169.0
1595;Total;P Education;2012 3rd quarter;508.0;518.0;565.0;579.0;145.0;166.0
1596;Total;P Education;2012 4th quarter;518.0;517.0;578.0;578.0;175.0;165.0
1597;Total;P Education;2012;520.0;;581.0;;671.0;
1598;Total;P Education;2013 1st quarter;521.0;516.0;584.0;578.0;178.0;165.0
1599;Total;P Education;2013 2nd quarter;521.0;517.0;587.0;578.0;164.0;167.0
1600;Total;P Education;2013 3rd quarter;505.0;516.0;561.0;576.0;147.0;166.0
1601;Total;P Education;2013 4th quarter;514.0;513.0;571.0;573.0;175.0;165.0
1602;Total;P Education;2013;515.0;;576.0;;664.0;
1603;Total;P Education;2014 1st quarter;519.0;515.0;581.0;573.0;183.0;169.0
1604;Total;P Education;2014 2nd quarter;519.0;515.0;581.0;574.0;164.0;168.0
1605;Total;P Education;2014 3rd quarter;503.0;515.0;558.0;575.0;146.0;165.0
1606;Total;P Education;2014 4th quarter;520.0;515.0;585.0;577.0;178.0;168.0
1607;Total;P Education;2014;515.0;;576.0;;670.0;
1608;Total;P Education;2015 1st quarter;518.0;515.0;583.0;578.0;179.0;166.0
1609;Total;P Education;2015 2nd quarter;519.0;517.0;585.0;579.0;160.0;166.0
1610;Total;P Education;2015 3rd quarter;510.0;520.0;568.0;583.0;149.0;169.0
1611;Total;P Education;2015 4th quarter;524.0;520.0;588.0;585.0;185.0;172.0
1612;Total;P Education;2015;518.0;;581.0;;673.0;
1613;Total;P Education;2016 1st quarter;524.0;520.0;591.0;584.0;184.0;171.0
1614;Total;P Education;2016 2nd quarter;523.0;520.0;590.0;585.0;170.0;172.0
1615;Total;P Education;2016 3rd quarter;510.0;522.0;572.0;588.0;151.0;171.0
1616;Total;P Education;2016 4th quarter;533.0;528.0;597.0;593.0;185.0;174.0
1617;Total;P Education;2016;522.0;;587.0;;689.0;
1618;Total;P Education;2017 1st quarter;536.0;531.0;602.0;596.0;193.0;176.0
1619;Total;P Education;2017 2nd quarter;532.0;531.0;604.0;598.0;171.0;176.0
1620;Total;P Education;2017 3rd quarter;525.0;531.0;584.0;599.0;155.0;178.0
1621;Total;P Education;2017 4th quarter;533.0;530.0;599.0;597.0;184.0;175.0
1622;Total;P Education;2017;531.0;;597.0;;704.0;
1623;Total;P Education;2018 1st quarter;533.0;530.0;604.0;598.0;190.0;175.0
1624;Total;Q Health and social work activities;1995 1st quarter;858.0;869.0;963.0;974.0;263.0;247.0
1625;Total;Q Health and social work activities;1995 2nd quarter;872.0;877.0;979.0;983.0;247.0;251.0
1626;Total;Q Health and social work activities;1995 3rd quarter;895.0;885.0;1003.0;993.0;226.0;253.0
1627;Total;Q Health and social work activities;1995 4th quarter;900.0;893.0;1009.0;1002.0;294.0;279.0
1628;Total;Q Health and social work activities;1995;881.0;;988.0;;1030.0;
1629;Total;Q Health and social work activities;1996 1st quarter;887.0;898.0;996.0;1007.0;272.0;261.0
1630;Total;Q Health and social work activities;1996 2nd quarter;898.0;902.0;1008.0;1013.0;254.0;257.0
1631;Total;Q Health and social work activities;1996 3rd quarter;918.0;909.0;1031.0;1021.0;232.0;258.0
1632;Total;Q Health and social work activities;1996 4th quarter;924.0;918.0;1037.0;1031.0;302.0;284.0
1633;Total;Q Health and social work activities;1996;907.0;;1018.0;;1060.0;
1634;Total;Q Health and social work activities;1997 1st quarter;912.0;924.0;1027.0;1038.0;282.0;275.0
1635;Total;Q Health and social work activities;1997 2nd quarter;932.0;935.0;1047.0;1052.0;274.0;274.0
1636;Total;Q Health and social work activities;1997 3rd quarter;953.0;944.0;1070.0;1061.0;248.0;274.0
1637;Total;Q Health and social work activities;1997 4th quarter;959.0;952.0;1076.0;1069.0;294.0;276.0
1638;Total;Q Health and social work activities;1997;939.0;;1055.0;;1099.0;
1639;Total;Q Health and social work activities;1998 1st quarter;950.0;963.0;1067.0;1081.0;290.0;279.0
1640;Total;Q Health and social work activities;1998 2nd quarter;967.0;970.0;1085.0;1089.0;275.0;279.0
1641;Total;Q Health and social work activities;1998 3rd quarter;985.0;976.0;1105.0;1096.0;255.0;283.0
1642;Total;Q Health and social work activities;1998 4th quarter;988.0;984.0;1109.0;1105.0;304.0;283.0
1643;Total;Q Health and social work activities;1998;973.0;;1092.0;;1124.0;
1644;Total;Q Health and social work activities;1999 1st quarter;979.0;991.0;1100.0;1112.0;294.0;284.0
1645;Total;Q Health and social work activities;1999 2nd quarter;993.0;996.0;1115.0;1119.0;280.0;286.0
1646;Total;Q Health and social work activities;1999 3rd quarter;1010.0;1001.0;1134.0;1124.0;260.0;289.0
1647;Total;Q Health and social work activities;1999 4th quarter;1013.0;1006.0;1138.0;1129.0;318.0;293.0
1648;Total;Q Health and social work activities;1999;999.0;;1122.0;;1152.0;
1649;Total;Q Health and social work activities;2000 1st quarter;981.0;993.0;1101.0;1116.0;305.0;285.0
1650;Total;Q Health and social work activities;2000 2nd quarter;1000.0;1003.0;1122.0;1126.0;286.0;291.0
1651;Total;Q Health and social work activities;2000 3rd quarter;1025.0;1017.0;1149.0;1139.0;257.0;288.0
1652;Total;Q Health and social work activities;2000 4th quarter;1036.0;1031.0;1160.0;1153.0;306.0;291.0
1653;Total;Q Health and social work activities;2000;1011.0;;1133.0;;1155.0;
1654;Total;Q Health and social work activities;2001 1st quarter;1023.0;1034.0;1140.0;1153.0;314.0;295.0
1655;Total;Q Health and social work activities;2001 2nd quarter;1044.0;1046.0;1162.0;1165.0;295.0;300.0
1656;Total;Q Health and social work activities;2001 3rd quarter;1068.0;1059.0;1188.0;1178.0;271.0;303.0
1657;Total;Q Health and social work activities;2001 4th quarter;1076.0;1075.0;1196.0;1193.0;327.0;308.0
1658;Total;Q Health and social work activities;2001;1053.0;;1171.0;;1206.0;
1659;Total;Q Health and social work activities;2002 1st quarter;1089.0;1095.0;1213.0;1221.0;333.0;317.0
1660;Total;Q Health and social work activities;2002 2nd quarter;1101.0;1103.0;1226.0;1229.0;310.0;317.0
1661;Total;Q Health and social work activities;2002 3rd quarter;1119.0;1113.0;1245.0;1238.0;290.0;319.0
1662;Total;Q Health and social work activities;2002 4th quarter;1126.0;1124.0;1251.0;1247.0;342.0;322.0
1663;Total;Q Health and social work activities;2002;1109.0;;1234.0;;1275.0;
1664;Total;Q Health and social work activities;2003 1st quarter;1131.0;1138.0;1257.0;1264.0;344.0;327.0
1665;Total;Q Health and social work activities;2003 2nd quarter;1151.0;1151.0;1275.0;1277.0;324.0;331.0
1666;Total;Q Health and social work activities;2003 3rd quarter;1166.0;1160.0;1294.0;1287.0;305.0;335.0
1667;Total;Q Health and social work activities;2003 4th quarter;1172.0;1165.0;1299.0;1289.0;357.0;338.0
1668;Total;Q Health and social work activities;2003;1155.0;;1281.0;;1330.0;
1669;Total;Q Health and social work activities;2004 1st quarter;1141.0;1151.0;1266.0;1280.0;355.0;336.0
1670;Total;Q Health and social work activities;2004 2nd quarter;1150.0;1151.0;1276.0;1277.0;325.0;337.0
1671;Total;Q Health and social work activities;2004 3rd quarter;1161.0;1156.0;1287.0;1282.0;306.0;339.0
1672;Total;Q Health and social work activities;2004 4th quarter;1162.0;1167.0;1289.0;1294.0;364.0;338.0
1673;Total;Q Health and social work activities;2004;1154.0;;1280.0;;1349.0;
1674;Total;Q Health and social work activities;2005 1st quarter;1181.0;1180.0;1315.0;1312.0;358.0;343.0
1675;Total;Q Health and social work activities;2005 2nd quarter;1190.0;1190.0;1324.0;1324.0;339.0;345.0
1676;Total;Q Health and social work activities;2005 3rd quarter;1202.0;1199.0;1339.0;1336.0;315.0;345.0
1677;Total;Q Health and social work activities;2005 4th quarter;1202.0;1207.0;1340.0;1347.0;368.0;348.0
1678;Total;Q Health and social work activities;2005;1194.0;;1330.0;;1381.0;
1679;Total;Q Health and social work activities;2006 1st quarter;1217.0;1216.0;1361.0;1359.0;378.0;351.0
1680;Total;Q Health and social work activities;2006 2nd quarter;1226.0;1223.0;1370.0;1367.0;345.0;354.0
1681;Total;Q Health and social work activities;2006 3rd quarter;1230.0;1231.0;1376.0;1377.0;322.0;355.0
1682;Total;Q Health and social work activities;2006 4th quarter;1243.0;1246.0;1389.0;1394.0;376.0;361.0
1683;Total;Q Health and social work activities;2006;1229.0;;1374.0;;1421.0;
1684;Total;Q Health and social work activities;2007 1st quarter;1252.0;1251.0;1405.0;1402.0;386.0;362.0
1685;Total;Q Health and social work activities;2007 2nd quarter;1265.0;1263.0;1420.0;1416.0;355.0;365.0
1686;Total;Q Health and social work activities;2007 3rd quarter;1275.0;1274.0;1430.0;1431.0;335.0;368.0
1687;Total;Q Health and social work activities;2007 4th quarter;1273.0;1279.0;1430.0;1437.0;386.0;367.0
1688;Total;Q Health and social work activities;2007;1266.0;;1421.0;;1462.0;
1689;Total;Q Health and social work activities;2008 1st quarter;1305.0;1301.0;1470.0;1464.0;398.0;377.0
1690;Total;Q Health and social work activities;2008 2nd quarter;1312.0;1311.0;1479.0;1477.0;371.0;379.0
1691;Total;Q Health and social work activities;2008 3rd quarter;1316.0;1316.0;1482.0;1483.0;349.0;380.0
1692;Total;Q Health and social work activities;2008 4th quarter;1315.0;1319.0;1482.0;1487.0;396.0;379.0
1693;Total;Q Health and social work activities;2008;1312.0;;1478.0;;1514.0;
1694;Total;Q Health and social work activities;2009 1st quarter;1329.0;1326.0;1503.0;1497.0;407.0;384.0
1695;Total;Q Health and social work activities;2009 2nd quarter;1345.0;1345.0;1516.0;1516.0;374.0;388.0
1696;Total;Q Health and social work activities;2009 3rd quarter;1350.0;1352.0;1522.0;1526.0;361.0;394.0
1697;Total;Q Health and social work activities;2009 4th quarter;1371.0;1368.0;1548.0;1545.0;416.0;392.0
1698;Total;Q Health and social work activities;2009;1349.0;;1522.0;;1558.0;
1699;Total;Q Health and social work activities;2010 1st quarter;1381.0;1383.0;1559.0;1560.0;415.0;391.0
1700;Total;Q Health and social work activities;2010 2nd quarter;1392.0;1392.0;1573.0;1571.0;370.0;390.0
1701;Total;Q Health and social work activities;2010 3rd quarter;1402.0;1405.0;1578.0;1583.0;359.0;395.0
1702;Total;Q Health and social work activities;2010 4th quarter;1426.0;1411.0;1605.0;1592.0;442.0;411.0
1703;Total;Q Health and social work activities;2010;1400.0;;1579.0;;1586.0;
1704;Total;Q Health and social work activities;2011 1st quarter;1413.0;1416.0;1600.0;1603.0;434.0;403.0
1705;Total;Q Health and social work activities;2011 2nd quarter;1419.0;1422.0;1614.0;1613.0;388.0;403.0
1706;Total;Q Health and social work activities;2011 3rd quarter;1429.0;1429.0;1618.0;1622.0;369.0;407.0
1707;Total;Q Health and social work activities;2011 4th quarter;1439.0;1436.0;1632.0;1629.0;436.0;413.0
1708;Total;Q Health and social work activities;2011;1425.0;;1616.0;;1626.0;
1709;Total;Q Health and social work activities;2012 1st quarter;1438.0;1440.0;1630.0;1631.0;448.0;411.0
1710;Total;Q Health and social work activities;2012 2nd quarter;1440.0;1442.0;1634.0;1631.0;398.0;413.0
1711;Total;Q Health and social work activities;2012 3rd quarter;1441.0;1444.0;1624.0;1632.0;369.0;413.0
1712;Total;Q Health and social work activities;2012 4th quarter;1452.0;1443.0;1638.0;1630.0;436.0;413.0
1713;Total;Q Health and social work activities;2012;1443.0;;1632.0;;1651.0;
1714;Total;Q Health and social work activities;2013 1st quarter;1437.0;1441.0;1623.0;1627.0;435.0;409.0
1715;Total;Q Health and social work activities;2013 2nd quarter;1436.0;1438.0;1626.0;1623.0;404.0;416.0
1716;Total;Q Health and social work activities;2013 3rd quarter;1430.0;1432.0;1610.0;1615.0;371.0;410.0
1717;Total;Q Health and social work activities;2013 4th quarter;1432.0;1425.0;1612.0;1607.0;436.0;411.0
1718;Total;Q Health and social work activities;2013;1434.0;;1618.0;;1646.0;
1719;Total;Q Health and social work activities;2014 1st quarter;1412.0;1415.0;1594.0;1597.0;437.0;410.0
1720;Total;Q Health and social work activities;2014 2nd quarter;1408.0;1408.0;1592.0;1589.0;398.0;409.0
1721;Total;Q Health and social work activities;2014 3rd quarter;1396.0;1400.0;1576.0;1582.0;368.0;408.0
1722;Total;Q Health and social work activities;2014 4th quarter;1398.0;1393.0;1578.0;1574.0;428.0;404.0
1723;Total;Q Health and social work activities;2014;1403.0;;1585.0;;1631.0;
1724;Total;Q Health and social work activities;2015 1st quarter;1391.0;1391.0;1572.0;1572.0;432.0;406.0
1725;Total;Q Health and social work activities;2015 2nd quarter;1387.0;1387.0;1573.0;1570.0;390.0;406.0
1726;Total;Q Health and social work activities;2015 3rd quarter;1376.0;1382.0;1558.0;1567.0;361.0;401.0
1727;Total;Q Health and social work activities;2015 4th quarter;1386.0;1379.0;1571.0;1565.0;432.0;402.0
1728;Total;Q Health and social work activities;2015;1385.0;;1568.0;;1615.0;
1729;Total;Q Health and social work activities;2016 1st quarter;1376.0;1375.0;1564.0;1562.0;426.0;402.0
1730;Total;Q Health and social work activities;2016 2nd quarter;1375.0;1377.0;1563.0;1562.0;399.0;406.0
1731;Total;Q Health and social work activities;2016 3rd quarter;1370.0;1380.0;1547.0;1563.0;365.0;407.0
1732;Total;Q Health and social work activities;2016 4th quarter;1396.0;1384.0;1580.0;1568.0;436.0;411.0
1733;Total;Q Health and social work activities;2016;1379.0;;1563.0;;1627.0;
1734;Total;Q Health and social work activities;2017 1st quarter;1387.0;1388.0;1575.0;1575.0;445.0;410.0
1735;Total;Q Health and social work activities;2017 2nd quarter;1390.0;1395.0;1577.0;1583.0;397.0;409.0
1736;Total;Q Health and social work activities;2017 3rd quarter;1399.0;1405.0;1582.0;1593.0;370.0;416.0
1737;Total;Q Health and social work activities;2017 4th quarter;1430.0;1417.0;1619.0;1605.0;442.0;419.0
1738;Total;Q Health and social work activities;2017;1401.0;;1588.0;;1654.0;
1739;Total;Q Health and social work activities;2018 1st quarter;1419.0;1421.0;1609.0;1610.0;450.0;419.0
1740;Total;R-U Culture, recreation, other services;1995 1st quarter;260.0;268.0;320.0;327.0;95.0;93.0
1741;Total;R-U Culture, recreation, other services;1995 2nd quarter;267.0;266.0;328.0;327.0;92.0;94.0
1742;Total;R-U Culture, recreation, other services;1995 3rd quarter;269.0;267.0;330.0;328.0;85.0;95.0
1743;Total;R-U Culture, recreation, other services;1995 4th quarter;273.0;268.0;334.0;331.0;106.0;97.0
1744;Total;R-U Culture, recreation, other services;1995;267.0;;328.0;;378.0;
1745;Total;R-U Culture, recreation, other services;1996 1st quarter;268.0;275.0;327.0;334.0;99.0;98.0
1746;Total;R-U Culture, recreation, other services;1996 2nd quarter;276.0;275.0;337.0;335.0;96.0;98.0
1747;Total;R-U Culture, recreation, other services;1996 3rd quarter;277.0;275.0;338.0;336.0;89.0;98.0
1748;Total;R-U Culture, recreation, other services;1996 4th quarter;281.0;278.0;342.0;340.0;110.0;101.0
1749;Total;R-U Culture, recreation, other services;1996;275.0;;336.0;;395.0;
1750;Total;R-U Culture, recreation, other services;1997 1st quarter;274.0;280.0;332.0;338.0;103.0;103.0
1751;Total;R-U Culture, recreation, other services;1997 2nd quarter;285.0;284.0;344.0;342.0;104.0;105.0
1752;Total;R-U Culture, recreation, other services;1997 3rd quarter;288.0;286.0;347.0;345.0;97.0;106.0
1753;Total;R-U Culture, recreation, other services;1997 4th quarter;291.0;286.0;350.0;346.0;116.0;106.0
1754;Total;R-U Culture, recreation, other services;1997;284.0;;343.0;;420.0;
1755;Total;R-U Culture, recreation, other services;1998 1st quarter;278.0;286.0;339.0;347.0;109.0;109.0
1756;Total;R-U Culture, recreation, other services;1998 2nd quarter;288.0;286.0;350.0;349.0;108.0;110.0
1757;Total;R-U Culture, recreation, other services;1998 3rd quarter;289.0;287.0;353.0;350.0;102.0;112.0
1758;Total;R-U Culture, recreation, other services;1998 4th quarter;290.0;285.0;353.0;350.0;122.0;111.0
1759;Total;R-U Culture, recreation, other services;1998;286.0;;349.0;;442.0;
1760;Total;R-U Culture, recreation, other services;1999 1st quarter;274.0;281.0;340.0;347.0;111.0;110.0
1761;Total;R-U Culture, recreation, other services;1999 2nd quarter;282.0;281.0;350.0;349.0;109.0;111.0
1762;Total;R-U Culture, recreation, other services;1999 3rd quarter;284.0;282.0;353.0;351.0;101.0;111.0
1763;Total;R-U Culture, recreation, other services;1999 4th quarter;287.0;284.0;356.0;353.0;124.0;112.0
1764;Total;R-U Culture, recreation, other services;1999;282.0;;350.0;;444.0;
1765;Total;R-U Culture, recreation, other services;2000 1st quarter;280.0;287.0;347.0;354.0;114.0;111.0
1766;Total;R-U Culture, recreation, other services;2000 2nd quarter;287.0;285.0;354.0;353.0;109.0;111.0
1767;Total;R-U Culture, recreation, other services;2000 3rd quarter;287.0;285.0;354.0;352.0;100.0;110.0
1768;Total;R-U Culture, recreation, other services;2000 4th quarter;287.0;285.0;355.0;352.0;120.0;111.0
1769;Total;R-U Culture, recreation, other services;2000;285.0;;353.0;;444.0;
1770;Total;R-U Culture, recreation, other services;2001 1st quarter;291.0;295.0;354.0;360.0;116.0;114.0
1771;Total;R-U Culture, recreation, other services;2001 2nd quarter;300.0;298.0;365.0;363.0;113.0;114.0
1772;Total;R-U Culture, recreation, other services;2001 3rd quarter;303.0;302.0;368.0;366.0;104.0;115.0
1773;Total;R-U Culture, recreation, other services;2001 4th quarter;305.0;304.0;370.0;368.0;126.0;116.0
1774;Total;R-U Culture, recreation, other services;2001;300.0;;364.0;;459.0;
1775;Total;R-U Culture, recreation, other services;2002 1st quarter;300.0;305.0;363.0;369.0;114.0;112.0
1776;Total;R-U Culture, recreation, other services;2002 2nd quarter;308.0;306.0;373.0;371.0;111.0;113.0
1777;Total;R-U Culture, recreation, other services;2002 3rd quarter;308.0;307.0;374.0;374.0;103.0;112.0
1778;Total;R-U Culture, recreation, other services;2002 4th quarter;311.0;309.0;380.0;376.0;122.0;113.0
1779;Total;R-U Culture, recreation, other services;2002;307.0;;372.0;;450.0;
1780;Total;R-U Culture, recreation, other services;2003 1st quarter;304.0;307.0;368.0;372.0;115.0;112.0
1781;Total;R-U Culture, recreation, other services;2003 2nd quarter;307.0;307.0;373.0;371.0;111.0;112.0
1782;Total;R-U Culture, recreation, other services;2003 3rd quarter;308.0;308.0;374.0;373.0;104.0;113.0
1783;Total;R-U Culture, recreation, other services;2003 4th quarter;310.0;309.0;375.0;376.0;123.0;115.0
1784;Total;R-U Culture, recreation, other services;2003;307.0;;373.0;;453.0;
1785;Total;R-U Culture, recreation, other services;2004 1st quarter;307.0;310.0;379.0;382.0;119.0;116.0
1786;Total;R-U Culture, recreation, other services;2004 2nd quarter;314.0;312.0;385.0;384.0;114.0;116.0
1787;Total;R-U Culture, recreation, other services;2004 3rd quarter;317.0;314.0;389.0;386.0;107.0;118.0
1788;Total;R-U Culture, recreation, other services;2004 4th quarter;313.0;315.0;385.0;387.0;125.0;116.0
1789;Total;R-U Culture, recreation, other services;2004;313.0;;385.0;;465.0;
1790;Total;R-U Culture, recreation, other services;2005 1st quarter;322.0;326.0;397.0;400.0;124.0;120.0
1791;Total;R-U Culture, recreation, other services;2005 2nd quarter;328.0;325.0;404.0;401.0;119.0;120.0
