ID;ProvincieOpdrachtgever;Periode;TotaleBouwsom_1;TotaalNieuwbouw_2;Woningen_3;Bedrijfsgebouwen_4;AgrarischeGebouwen_5;IndustrieEnBouwnijverheid_6;HandelEnHoreca_7;VervoerEnCommunicatie_8;ZakelijkeDienstverlening_9;OpenbaarBestuur_10;Onderwijs_11;GezondheidsEnWelzijnszorg_12;OverigeDienstverlening_13;BouwsomOverig_14
264;Bouwers voor de markt;1995 Januari;296;290;265;25;0;0;1;0;24;0;0;0;0;6
265;Bouwers voor de markt;1995 Februari;327;320;266;53;0;0;4;0;5;23;0;0;21;7
266;Bouwers voor de markt;1995 Maart;259;251;225;26;0;0;1;0;17;0;7;0;1;8
267;Bouwers voor de markt;1995 1e kwartaal;882;861;756;106;0;1;7;0;46;23;7;0;22;21
268;Bouwers voor de markt;1995 April;243;234;199;35;0;1;6;0;20;8;0;0;0;9
269;Bouwers voor de markt;1995 Mei;360;342;291;51;0;3;19;3;23;0;0;0;3;18
270;Bouwers voor de markt;1995 juni;392;366;270;94;0;1;5;8;69;10;0;0;1;26
271;Bouwers voor de markt;1995 2e kwartaal;994;942;761;181;0;6;30;11;112;18;0;0;4;52
272;Bouwers voor de markt;1995 Juli;298;276;212;63;0;2;6;3;22;12;0;0;18;22
273;Bouwers voor de markt;1995 Augustus;422;386;268;118;0;5;8;0;70;35;0;0;0;36
274;Bouwers voor de markt;1995 September;288;278;229;49;0;2;27;1;19;0;0;0;0;10
275;Bouwers voor de markt;1995 3e kwartaal;1009;940;709;231;0;9;42;4;111;47;0;0;18;69
276;Bouwers voor de markt;1995 Oktober;308;296;245;50;0;4;16;12;11;6;0;0;1;12
277;Bouwers voor de markt;1995 November;317;302;245;56;0;3;21;7;24;0;0;1;0;15
278;Bouwers voor de markt;1995 December;471;452;412;41;0;1;12;0;28;0;0;0;0;19
279;Bouwers voor de markt;1995 4e kwartaal;1097;1051;903;147;0;7;49;19;64;6;0;1;1;46
280;Bouwers voor de markt;1995;3981;3793;3128;666;0;23;128;34;332;95;7;2;45;188
281;Bouwers voor de markt;1996 Januari;351;340;243;97;0;2;11;0;82;0;0;0;2;11
282;Bouwers voor de markt;1996 Februari;444;431;397;34;0;1;2;1;30;0;0;0;0;13
283;Bouwers voor de markt;1996 Maart;422;406;341;64;0;4;9;0;51;0;0;0;0;16
284;Bouwers voor de markt;1996 1e kwartaal;1217;1177;981;196;0;7;22;1;164;0;0;0;2;40
285;Bouwers voor de markt;1996 April;339;325;288;36;0;6;2;1;26;0;0;1;0;14
286;Bouwers voor de markt;1996 Mei;407;392;295;96;0;2;52;0;42;0;0;0;0;15
287;Bouwers voor de markt;1996 Juni;539;523;362;160;0;3;2;2;153;0;0;0;0;16
288;Bouwers voor de markt;1996 2e kwartaal;1284;1238;944;294;0;12;57;3;221;0;0;1;0;46
289;Bouwers voor de markt;1996 Juli;378;363;287;77;0;7;43;3;24;0;0;0;0;15
290;Bouwers voor de markt;1996 Augustus;422;403;311;93;0;7;47;0;38;0;0;0;1;19
291;Bouwers voor de markt;1996 September;377;359;317;43;0;8;9;1;25;0;0;0;0;18
292;Bouwers voor de markt;1996 3e kwartaal;1178;1126;915;212;0;23;99;4;85;0;0;0;1;52
293;Bouwers voor de markt;1996 Oktober;584;562;479;83;0;8;1;5;68;0;0;0;1;22
294;Bouwers voor de markt;1996 November;566;539;490;50;0;9;10;2;29;0;0;0;0;27
295;Bouwers voor de markt;1996 December;554;535;445;91;0;5;12;0;74;0;0;0;0;19
296;Bouwers voor de markt;1996 4e kwartaal;1704;1636;1414;223;0;21;23;7;171;0;0;0;1;68
297;Bouwers voor de markt;1996;5383;5177;4253;924;0;63;200;15;642;0;0;1;3;206
298;Bouwers voor de markt;1997 Januari;390;373;285;88;0;12;18;17;41;0;0;0;0;17
299;Bouwers voor de markt;1997 Februari;356;341;271;70;0;5;13;16;36;0;0;0;0;15
300;Bouwers voor de markt;1997 Maart;400;376;324;53;0;3;8;0;42;0;0;0;0;24
301;Bouwers voor de markt;1997 1e kwartaal;1146;1090;879;211;0;20;39;33;119;0;0;0;0;56
302;Bouwers voor de markt;1997 April;475;457;347;111;0;4;5;1;101;0;0;0;0;18
303;Bouwers voor de markt;1997 Mei;396;391;295;97;0;10;10;0;75;0;0;0;2;5
304;Bouwers voor de markt;1997 Juni;588;563;442;120;0;5;20;0;88;0;0;0;7;25
305;Bouwers voor de markt;1997 2e kwartaal;1458;1409;1084;327;0;18;34;2;264;0;0;0;9;49
306;Bouwers voor de markt;1997 Juli;496;482;362;121;0;2;60;0;59;0;0;0;0;14
307;Bouwers voor de markt;1997 Augustus;398;377;319;60;0;4;22;0;34;0;0;0;0;21
308;Bouwers voor de markt;1997 September;703;684;563;120;0;5;42;0;73;0;0;0;0;19
309;Bouwers voor de markt;1997 3e kwartaal;1598;1544;1243;300;0;11;124;0;165;0;0;0;0;54
310;Bouwers voor de markt;1997 Oktober;565;547;470;77;0;9;10;0;57;0;0;0;1;18
311;Bouwers voor de markt;1997 November;621;601;464;136;0;9;34;11;82;0;0;0;0;20
312;Bouwers voor de markt;1997 December;577;542;466;75;0;6;3;11;55;0;0;0;0;35
313;Bouwers voor de markt;1997 4e kwartaal;1762;1688;1401;287;0;24;47;22;193;0;0;0;1;74
314;Bouwers voor de markt;1997;5965;5733;4607;1126;0;72;245;57;741;0;0;1;10;232
315;Bouwers voor de markt;1998 Januari;336;305;240;65;0;7;5;1;52;0;0;0;0;31
316;Bouwers voor de markt;1998 Februari;421;400;300;98;0;13;18;12;55;0;0;0;0;21
317;Bouwers voor de markt;1998 Maart;560;535;401;134;0;5;5;0;124;0;0;0;0;25
318;Bouwers voor de markt;1998 1e kwartaal;1316;1239;940;299;0;25;29;13;232;0;0;0;0;77
319;Bouwers voor de markt;1998 April;405;390;274;117;0;9;16;1;91;0;0;0;0;15
320;Bouwers voor de markt;1998 Mei;390;370;266;104;0;6;20;0;78;0;0;0;0;20
321;Bouwers voor de markt;1998 Juni;473;430;300;131;0;10;20;0;99;0;0;0;2;43
322;Bouwers voor de markt;1998 2e kwartaal;1269;1192;840;351;0;24;57;1;267;0;0;0;2;77
323;Bouwers voor de markt;1998 Juli;464;426;318;108;0;10;2;0;91;0;0;0;5;38
324;Bouwers voor de markt;1998 Augustus;321;297;219;79;0;8;2;3;57;0;0;0;9;24
325;Bouwers voor de markt;1998 September;507;492;395;97;0;17;1;0;79;0;0;0;0;15
326;Bouwers voor de markt;1998 3e kwartaal;1293;1215;933;283;0;35;5;3;226;0;0;0;14;78
327;Bouwers voor de markt;1998 Oktober;676;639;470;170;0;10;5;2;152;0;0;0;1;37
328;Bouwers voor de markt;1998 November;596;566;447;120;0;15;37;5;63;0;0;0;0;30
329;Bouwers voor de markt;1998 December;723;674;511;164;0;10;34;5;115;0;0;0;0;49
330;Bouwers voor de markt;1998 4e kwartaal;1995;1879;1428;451;0;34;75;12;329;0;0;0;1;116
331;Bouwers voor de markt;1998;5872;5524;4140;1385;0;119;166;29;1054;0;0;0;17;348
332;Bouwers voor de markt;1999 Januari;537;517;327;189;0;11;23;9;146;0;0;0;0;20
333;Bouwers voor de markt;1999 Februari;339;318;231;87;0;3;0;5;79;0;0;0;0;21
334;Bouwers voor de markt;1999 Maart;570;546;363;183;0;5;6;0;172;0;0;0;0;24
335;Bouwers voor de markt;1999 1e kwartaal;1445;1380;921;460;0;20;29;15;396;0;0;0;0;65
336;Bouwers voor de markt;1999 April;443;428;327;102;0;7;15;0;80;0;0;0;0;15
337;Bouwers voor de markt;1999 Mei;529;511;402;108;0;7;3;0;98;0;0;0;0;18
338;Bouwers voor de markt;1999 Juni;596;567;380;188;0;10;5;2;163;0;0;0;8;29
339;Bouwers voor de markt;1999 2e kwartaal;1568;1507;1109;398;0;24;23;2;341;0;0;0;8;61
340;Bouwers voor de markt;1999 Juli;703;670;503;167;0;3;10;4;150;0;0;0;0;33
341;Bouwers voor de markt;1999 Augustus;462;432;356;76;0;6;1;0;69;0;0;0;0;30
342;Bouwers voor de markt;1999 September;481;462;365;98;0;5;25;0;68;0;0;0;0;19
343;Bouwers voor de markt;1999 3e kwartaal;1647;1566;1224;342;0;15;36;4;287;0;0;0;0;81
344;Bouwers voor de markt;1999 Oktober;594;560;403;156;0;2;18;0;135;0;0;1;0;34
345;Bouwers voor de markt;1999 November;620;604;456;148;0;11;1;6;129;0;0;0;1;16
346;Bouwers voor de markt;1999 December;665;639;511;128;0;2;6;0;115;0;0;0;5;26
347;Bouwers voor de markt;1999 4e kwartaal;1879;1802;1370;432;0;15;26;6;379;0;0;1;5;77
348;Bouwers voor de markt;1999;6539;6255;4623;1632;0;74;113;27;1403;0;0;1;14;284
349;Bouwers voor de markt;2000 Januari;402;391;280;110;0;6;0;0;104;0;0;0;0;11
350;Bouwers voor de markt;2000 Februari;632;614;404;209;0;0;19;2;188;0;0;0;0;18
351;Bouwers voor de markt;2000 Maart;540;529;457;72;0;5;8;10;49;0;0;0;0;11
352;Bouwers voor de markt;2000 1e kwartaal;1573;1533;1141;393;0;12;28;12;341;0;0;0;0;40
353;Bouwers voor de markt;2000 April;518;510;408;101;0;6;0;0;95;0;0;0;0;8
354;Bouwers voor de markt;2000 Mei;610;580;457;123;0;4;35;0;84;0;0;0;0;30
355;Bouwers voor de markt;2000 Juni;589;569;362;206;0;4;22;2;178;0;0;0;0;20
356;Bouwers voor de markt;2000 2e kwartaal;1718;1660;1227;432;0;14;58;2;358;0;0;0;0;58
357;Bouwers voor de markt;2000 Juli;399;365;305;60;0;2;19;0;39;0;0;0;0;34
358;Bouwers voor de markt;2000 Augustus;555;542;341;199;0;2;35;2;160;0;0;0;0;13
359;Bouwers voor de markt;2000 September;393;381;287;95;0;5;6;3;77;0;0;4;0;12
360;Bouwers voor de markt;2000 3e kwartaal;1346;1288;933;355;0;9;61;5;276;0;0;4;0;58
361;Bouwers voor de markt;2000 Januari-september;4637;4481;3301;1180;1;34;147;19;975;0;0;4;0;156
362;Bouwers voor de markt;2000 Oktober;550;534;388;146;0;3;6;0;137;0;0;0;0;16
363;Bouwers voor de markt;2000 Januari-oktober;5187;5014;3689;1325;1;37;153;19;1111;0;0;4;0;173
364;Bouwers voor de markt;2000 Januari-november;5677;5480;4026;1453;1;39;168;19;1222;0;0;4;0;197
365;Bouwers voor de markt;2000 November;490;465;337;128;0;2;15;0;111;0;0;0;0;25
366;Bouwers voor de markt;2000 December;536;533;445;88;0;0;15;0;73;0;0;0;0;3
367;Bouwers voor de markt;2000 4e kwartaal;1576;1532;1170;362;0;5;37;0;320;0;0;0;0;44
368;Bouwers voor de markt;2000;6213;6013;4471;1541;1;39;183;19;1295;0;0;4;0;200
369;Bouwers voor de markt;2001 Januari;349;341;301;41;0;0;2;0;39;0;0;0;0;8
370;Bouwers voor de markt;2001 Februari;453;439;326;114;0;0;9;1;104;0;0;0;0;14
371;Bouwers voor de markt;2001 Maart;444;430;354;76;0;0;9;0;65;0;0;0;2;14
372;Bouwers voor de markt;2001 1e kwartaal;1247;1212;982;230;0;0;20;1;207;0;0;0;2;35
373;Bouwers voor de markt;2001 April;311;289;177;111;0;0;6;0;105;0;0;0;0;22
374;Bouwers voor de markt;2001 Mei;424;416;322;93;0;0;8;1;84;0;0;0;0;8
375;Bouwers voor de markt;2001 Juni;622;609;371;238;0;0;68;10;160;0;0;0;0;13
376;Bouwers voor de markt;2001 2e kwartaal;1356;1313;871;442;0;0;82;11;349;0;0;0;0;43
377;Bouwers voor de markt;2001 Juli;713;681;401;280;0;0;27;0;253;0;0;0;0;32
378;Bouwers voor de markt;2001 Augustus;388;380;290;89;0;0;3;2;83;0;0;1;0;8
379;Bouwers voor de markt;2001 September;658;640;474;167;0;0;4;0;146;4;0;13;0;18
380;Bouwers voor de markt;2001 3e kwartaal;1758;1701;1165;536;0;0;34;2;482;4;0;14;0;57
381;Bouwers voor de markt;2001 Oktober;658;637;475;162;0;5;6;0;140;11;0;0;0;21
382;Bouwers voor de markt;2001 November;446;433;360;73;0;0;7;0;66;0;0;0;0;13
383;Bouwers voor de markt;2001 December;433;415;352;62;0;0;3;0;59;0;0;0;0;18
384;Bouwers voor de markt;2001 4e kwartaal;1536;1485;1188;297;0;6;15;0;265;11;0;0;0;51
385;Bouwers voor de markt;2001 Januari-februari;803;781;627;154;0;0;11;1;142;0;0;0;0;22
386;Bouwers voor de markt;2001 Januari-maart;1247;1212;982;230;0;0;20;1;207;0;0;0;2;35
387;Bouwers voor de markt;2001 Januari-april;1557;1500;1159;341;0;0;26;1;312;0;0;0;2;57
388;Bouwers voor de markt;2001 Januari-mei;1981;1916;1481;435;0;0;34;2;397;0;0;0;2;65
389;Bouwers voor de markt;2001 Januari-juni;2602;2524;1852;672;0;0;102;12;556;0;0;0;2;78
390;Bouwers voor de markt;2001 Januari-juli;3315;3205;2253;953;0;0;130;12;809;0;0;0;2;110
391;Bouwers voor de markt;2001 Januari-augustus;3703;3585;2543;1042;0;0;133;14;892;0;0;1;2;118
392;Bouwers voor de markt;2001 Januari-september;4361;4225;3017;1209;0;0;137;14;1038;4;0;14;2;136
393;Bouwers voor de markt;2001 Januari-oktober;5019;4863;3492;1371;0;6;143;14;1178;14;0;14;2;156
394;Bouwers voor de markt;2001 Januari-november;5464;5295;3852;1444;0;6;150;14;1244;14;0;14;2;169
395;Bouwers voor de markt;2001;5897;5710;4205;1506;0;6;152;15;1303;14;0;14;2;187
396;Andere particuliere opdrachtgevers;1995 Januari;407;271;124;147;23;41;33;9;11;0;13;6;11;136
397;Andere particuliere opdrachtgevers;1995 Februari;368;252;135;116;21;22;24;7;3;0;3;21;15;116
398;Andere particuliere opdrachtgevers;1995 Maart;505;363;115;248;23;34;38;35;16;0;27;62;13;142
399;Andere particuliere opdrachtgevers;1995 1e kwartaal;1280;886;375;509;68;97;95;50;30;0;42;88;39;394
400;Andere particuliere opdrachtgevers;1995 April;446;308;115;193;21;31;21;32;32;0;31;16;9;138
401;Andere particuliere opdrachtgevers;1995 Mei;461;333;136;197;28;42;30;25;12;0;9;25;26;128
402;Andere particuliere opdrachtgevers;1995 juni;494;357;135;220;29;51;56;15;8;0;5;29;27;137
403;Andere particuliere opdrachtgevers;1995 2e kwartaal;1401;998;387;611;79;123;107;73;53;0;45;70;61;403
404;Andere particuliere opdrachtgevers;1995 Juli;486;356;132;224;22;65;35;29;5;0;21;20;27;130
405;Andere particuliere opdrachtgevers;1995 Augustus;512;373;135;238;28;33;52;29;15;0;42;25;14;139
406;Andere particuliere opdrachtgevers;1995 September;418;283;116;168;25;33;36;11;8;0;18;17;20;135
407;Andere particuliere opdrachtgevers;1995 3e kwartaal;1416;1011;383;629;75;131;123;69;28;0;80;62;61;405
408;Andere particuliere opdrachtgevers;1995 Oktober;434;313;142;169;15;34;39;19;13;0;5;25;19;121
409;Andere particuliere opdrachtgevers;1995 November;469;337;135;201;21;63;46;14;9;0;9;20;19;132
410;Andere particuliere opdrachtgevers;1995 December;423;304;118;187;23;37;36;13;27;0;7;27;17;119
411;Andere particuliere opdrachtgevers;1995 4e kwartaal;1326;955;396;559;60;135;121;46;49;0;21;73;54;371
412;Andere particuliere opdrachtgevers;1995;5423;3850;1540;2311;281;486;447;238;161;0;189;293;216;1573
413;Andere particuliere opdrachtgevers;1996 Januari;435;308;133;176;19;55;36;6;10;4;2;35;9;127
414;Andere particuliere opdrachtgevers;1996 Februari;460;298;113;185;16;53;46;19;12;0;9;21;9;162
415;Andere particuliere opdrachtgevers;1996 Maart;403;275;118;157;20;50;41;11;7;0;3;10;15;128
416;Andere particuliere opdrachtgevers;1996 1e kwartaal;1298;881;364;516;55;158;123;36;29;4;13;66;32;417
417;Andere particuliere opdrachtgevers;1996 April;456;322;120;201;25;41;45;12;9;0;2;54;13;134
418;Andere particuliere opdrachtgevers;1996 Mei;507;379;153;228;29;48;36;33;17;0;33;19;13;128
419;Andere particuliere opdrachtgevers;1996 Juni;539;398;168;231;33;37;49;39;15;0;20;21;17;141
420;Andere particuliere opdrachtgevers;1996 2e kwartaal;1502;1099;442;657;87;126;129;83;40;0;56;94;42;403
421;Andere particuliere opdrachtgevers;1996 Juli;524;371;144;226;28;51;47;20;16;0;15;27;22;153
422;Andere particuliere opdrachtgevers;1996 Augustus;522;344;146;199;20;83;34;20;11;0;3;20;8;178
423;Andere particuliere opdrachtgevers;1996 September;513;372;157;215;27;74;41;18;11;0;6;21;17;141
424;Andere particuliere opdrachtgevers;1996 3e kwartaal;1559;1088;447;641;75;208;123;57;38;0;24;69;47;471
425;Andere particuliere opdrachtgevers;1996 Oktober;501;343;126;216;32;64;52;15;10;0;7;11;25;158
426;Andere particuliere opdrachtgevers;1996 November;525;358;146;213;29;47;48;23;13;0;10;17;26;167
427;Andere particuliere opdrachtgevers;1996 December;441;320;113;207;27;54;42;34;5;0;3;21;21;121
428;Andere particuliere opdrachtgevers;1996 4e kwartaal;1467;1021;385;637;88;166;141;72;29;0;20;49;72;446
429;Andere particuliere opdrachtgevers;1996;5826;4088;1638;2449;305;658;515;248;136;4;112;278;193;1738
430;Andere particuliere opdrachtgevers;1997 Januari;389;269;107;163;21;31;32;22;13;0;0;11;33;120
431;Andere particuliere opdrachtgevers;1997 Februari;363;273;111;161;20;39;35;8;13;0;7;22;17;90
432;Andere particuliere opdrachtgevers;1997 Maart;520;395;128;268;29;64;44;39;8;0;20;16;48;125
433;Andere particuliere opdrachtgevers;1997 1e kwartaal;1272;937;346;591;70;133;110;69;34;0;28;49;98;335
434;Andere particuliere opdrachtgevers;1997 April;533;386;148;237;34;71;48;20;30;0;0;16;18;147
435;Andere particuliere opdrachtgevers;1997 Mei;494;360;126;234;45;86;32;18;32;0;2;9;10;134
436;Andere particuliere opdrachtgevers;1997 Juni;584;398;155;243;44;63;48;27;10;0;10;29;12;186
437;Andere particuliere opdrachtgevers;1997 2e kwartaal;1610;1143;429;714;122;220;128;65;72;0;13;55;39;467
438;Andere particuliere opdrachtgevers;1997 Juli;486;321;126;194;50;39;43;17;11;0;9;16;9;165
439;Andere particuliere opdrachtgevers;1997 Augustus;450;322;125;195;48;35;41;35;8;0;7;8;13;128
440;Andere particuliere opdrachtgevers;1997 September;562;391;137;252;65;58;49;32;17;0;4;15;12;171
441;Andere particuliere opdrachtgevers;1997 3e kwartaal;1497;1032;388;643;164;132;133;84;37;0;20;39;34;465
442;Andere particuliere opdrachtgevers;1997 Oktober;564;358;152;205;39;47;41;11;20;0;17;11;19;206
443;Andere particuliere opdrachtgevers;1997 November;630;418;127;290;47;74;56;60;18;0;5;8;22;212
444;Andere particuliere opdrachtgevers;1997 December;584;406;141;266;48;39;44;40;39;0;15;17;24;178
445;Andere particuliere opdrachtgevers;1997 4e kwartaal;1777;1181;420;760;134;160;140;111;77;0;37;36;65;596
446;Andere particuliere opdrachtgevers;1997;6157;4294;1584;2710;491;644;512;329;219;0;98;180;237;1863
447;Andere particuliere opdrachtgevers;1998 Januari;550;376;122;256;33;50;63;24;34;0;8;19;25;174
448;Andere particuliere opdrachtgevers;1998 Februari;497;361;115;246;38;64;45;23;11;0;32;6;27;136
449;Andere particuliere opdrachtgevers;1998 Maart;606;374;139;236;36;46;63;13;25;7;4;9;33;232
450;Andere particuliere opdrachtgevers;1998 1e kwartaal;1654;1113;376;736;108;159;170;60;69;7;44;34;85;541
451;Andere particuliere opdrachtgevers;1998 April;555;399;114;286;40;89;59;49;14;0;6;20;9;156
452;Andere particuliere opdrachtgevers;1998 Mei;486;351;131;220;47;45;64;11;25;7;1;9;11;135
453;Andere particuliere opdrachtgevers;1998 Juni;602;445;163;282;46;73;58;30;13;0;5;28;29;157
454;Andere particuliere opdrachtgevers;1998 2e kwartaal;1644;1196;409;787;134;207;181;90;51;7;12;57;48;448
455;Andere particuliere opdrachtgevers;1998 Juli;660;485;142;342;42;87;46;34;18;0;38;18;59;175
456;Andere particuliere opdrachtgevers;1998 Augustus;562;409;129;281;46;55;57;29;15;6;6;33;34;153
457;Andere particuliere opdrachtgevers;1998 September;713;497;157;338;49;53;84;41;49;5;11;21;25;216
458;Andere particuliere opdrachtgevers;1998 3e kwartaal;1935;1390;428;961;137;194;187;104;82;12;55;72;118;545
459;Andere particuliere opdrachtgevers;1998 Oktober;557;397;131;267;33;36;77;44;36;0;10;23;8;160
460;Andere particuliere opdrachtgevers;1998 November;610;425;157;268;39;86;62;22;18;0;3;13;25;185
461;Andere particuliere opdrachtgevers;1998 December;764;527;152;377;46;93;86;50;39;7;9;24;23;237
462;Andere particuliere opdrachtgevers;1998 4e kwartaal;1931;1349;439;911;118;216;225;117;93;7;21;59;55;582
463;Andere particuliere opdrachtgevers;1998;7163;5048;1652;3396;498;776;763;371;295;33;131;223;306;2115
464;Andere particuliere opdrachtgevers;1999 Januari;526;371;129;241;36;39;60;49;20;0;7;16;14;155
465;Andere particuliere opdrachtgevers;1999 Februari;529;351;139;211;39;48;39;19;14;0;14;27;11;178
466;Andere particuliere opdrachtgevers;1999 Maart;632;406;141;265;47;44;56;39;49;0;3;10;17;226
467;Andere particuliere opdrachtgevers;1999 1e kwartaal;1686;1127;409;719;123;131;156;107;84;0;24;52;42;559
468;Andere particuliere opdrachtgevers;1999 April;591;408;142;265;49;41;67;32;25;0;17;14;20;183
469;Andere particuliere opdrachtgevers;1999 Mei;744;541;136;407;67;101;64;102;27;0;12;20;14;203
470;Andere particuliere opdrachtgevers;1999 Juni;667;462;180;281;46;62;57;41;10;0;2;40;23;205
471;Andere particuliere opdrachtgevers;1999 2e kwartaal;2002;1411;458;953;162;204;188;175;62;0;31;74;57;591
472;Andere particuliere opdrachtgevers;1999 Juli;658;483;135;348;43;37;62;24;83;0;5;55;39;175
473;Andere particuliere opdrachtgevers;1999 Augustus;592;415;147;267;51;50;45;19;63;0;1;28;10;177
474;Andere particuliere opdrachtgevers;1999 September;628;461;149;311;36;54;75;58;52;0;4;24;8;167
475;Andere particuliere opdrachtgevers;1999 3e kwartaal;1877;1359;432;929;131;142;182;100;198;0;11;107;58;518
476;Andere particuliere opdrachtgevers;1999 Oktober;630;421;135;289;39;44;61;50;23;0;14;16;42;209
477;Andere particuliere opdrachtgevers;1999 November;689;508;172;337;42;49;100;52;45;0;9;31;9;181
478;Andere particuliere opdrachtgevers;1999 December;722;533;178;356;51;61;74;34;62;0;13;40;21;189
479;Andere particuliere opdrachtgevers;1999 4e kwartaal;2042;1464;486;978;131;153;234;135;130;0;35;88;72;578
480;Andere particuliere opdrachtgevers;1999;7608;5362;1784;3577;547;630;760;517;474;0;101;320;228;2246
481;Andere particuliere opdrachtgevers;2000 Januari;626;469;131;339;40;67;47;21;106;0;2;47;9;157
482;Andere particuliere opdrachtgevers;2000 Februari;703;490;146;343;39;65;61;28;81;0;29;15;25;213
483;Andere particuliere opdrachtgevers;2000 Maart;710;495;171;325;42;58;74;21;65;0;5;40;20;215
484;Andere particuliere opdrachtgevers;2000 1e kwartaal;2039;1455;447;1007;121;190;181;70;252;0;36;103;54;584
485;Andere particuliere opdrachtgevers;2000 April;624;458;149;309;51;74;70;21;48;0;6;15;24;166
486;Andere particuliere opdrachtgevers;2000 Mei;746;509;141;367;35;72;72;70;72;0;11;20;15;237
487;Andere particuliere opdrachtgevers;2000 Juni;757;515;154;361;43;80;54;16;92;0;15;39;22;242
488;Andere particuliere opdrachtgevers;2000 2e kwartaal;2127;1482;445;1036;128;226;196;108;211;0;32;73;62;645
489;Andere particuliere opdrachtgevers;2000 Juli;643;410;157;252;47;46;42;18;46;0;10;33;10;233
490;Andere particuliere opdrachtgevers;2000 Augustus;805;528;173;354;33;59;88;33;74;0;18;34;15;277
491;Andere particuliere opdrachtgevers;2000 September;670;428;145;282;39;44;72;45;29;0;31;14;8;242
492;Andere particuliere opdrachtgevers;2000 3e kwartaal;2118;1367;476;890;119;149;202;97;149;0;59;81;34;751
493;Andere particuliere opdrachtgevers;2000 Januari-september;6284;4303;1368;2934;368;566;580;274;613;0;128;256;149;1981
494;Andere particuliere opdrachtgevers;2000 Oktober;682;471;149;323;41;78;58;31;61;0;8;9;37;211
495;Andere particuliere opdrachtgevers;2000 Januari-oktober;6966;4775;1517;3258;409;643;638;305;675;0;136;266;186;2191
496;Andere particuliere opdrachtgevers;2000 Januari-november;7691;5310;1634;3676;450;694;716;356;765;0;170;300;225;2381
497;Andere particuliere opdrachtgevers;2000 November;725;536;117;417;41;50;78;50;91;0;34;34;39;189
498;Andere particuliere opdrachtgevers;2000 December;668;457;133;326;34;87;48;27;78;0;20;15;17;211
499;Andere particuliere opdrachtgevers;2000 4e kwartaal;2075;1465;399;1068;116;215;184;109;230;0;62;59;93;610
500;Andere particuliere opdrachtgevers;2000;8359;5768;1768;4001;484;781;763;383;843;0;190;315;242;2591
501;Andere particuliere opdrachtgevers;2001 Januari;966;692;198;494;37;76;62;53;127;0;9;41;89;274
502;Andere particuliere opdrachtgevers;2001 Februari;793;522;141;381;50;90;65;72;57;0;25;10;12;271
503;Andere particuliere opdrachtgevers;2001 Maart;810;539;146;392;49;83;65;27;90;0;25;43;10;271
504;Andere particuliere opdrachtgevers;2001 1e kwartaal;2568;1752;485;1267;136;249;192;152;274;0;58;94;112;816
505;Andere particuliere opdrachtgevers;2001 April;601;388;118;271;42;79;30;41;46;0;4;3;26;213
506;Andere particuliere opdrachtgevers;2001 Mei;978;706;156;549;51;77;76;193;23;0;8;101;20;272
507;Andere particuliere opdrachtgevers;2001 Juni;721;474;146;328;35;62;81;23;44;0;6;52;25;247
508;Andere particuliere opdrachtgevers;2001 2e kwartaal;2301;1569;420;1147;128;218;186;258;113;0;18;155;71;732
509;Andere particuliere opdrachtgevers;2001 Juli;705;483;152;331;46;61;77;32;63;0;17;23;12;222
510;Andere particuliere opdrachtgevers;2001 Augustus;654;416;114;303;31;50;48;90;51;0;4;16;13;238
511;Andere particuliere opdrachtgevers;2001 September;627;407;127;278;37;81;57;22;39;3;7;22;10;220
512;Andere particuliere opdrachtgevers;2001 3e kwartaal;1986;1305;393;912;115;192;182;144;153;3;28;60;35;681
513;Andere particuliere opdrachtgevers;2001 Oktober;750;479;144;336;43;75;64;38;63;0;23;9;21;271
514;Andere particuliere opdrachtgevers;2001 November;620;400;114;287;32;66;71;25;39;0;25;12;17;220
515;Andere particuliere opdrachtgevers;2001 December;541;374;105;269;31;61;51;11;62;0;12;14;27;167
516;Andere particuliere opdrachtgevers;2001 4e kwartaal;1911;1253;363;890;106;202;185;74;164;0;60;35;64;658
517;Andere particuliere opdrachtgevers;2001 Januari-februari;1758;1213;338;875;87;166;127;125;184;0;34;51;101;545
518;Andere particuliere opdrachtgevers;2001 Januari-maart;2568;1752;485;1267;136;249;192;152;274;0;58;94;112;816
519;Andere particuliere opdrachtgevers;2001 Januari-april;3169;2140;603;1538;178;328;222;193;320;0;62;97;138;1029
520;Andere particuliere opdrachtgevers;2001 Januari-mei;4147;2846;759;2087;229;405;297;386;343;0;71;198;158;1301
521;Andere particuliere opdrachtgevers;2001 Januari-juni;4869;3321;905;2417;264;468;378;410;387;0;77;250;183;1548
522;Andere particuliere opdrachtgevers;2001 Januari-juli;5574;3804;1057;2747;310;528;456;441;451;0;94;272;195;1770
523;Andere particuliere opdrachtgevers;2001 Januari-augustus;6228;4220;1170;3047;341;578;503;531;501;0;97;288;208;2008
524;Andere particuliere opdrachtgevers;2001 Januari-september;6855;4626;1298;3330;379;660;561;554;540;3;105;310;218;2229
525;Andere particuliere opdrachtgevers;2001 Januari-oktober;7605;5105;1441;3662;422;734;624;592;603;3;127;318;239;2500
526;Andere particuliere opdrachtgevers;2001 Januari-november;8225;5505;1555;3952;455;801;695;617;642;3;153;330;256;2720
527;Andere particuliere opdrachtgevers;2001;8766;5880;1660;4219;485;861;746;628;704;3;165;344;283;2886
