ID;BedrijfstakkenBranchesSBI2008;Marges;Seizoencorrectie;Perioden;Ondernemersvertrouwen_1;OntwikkelingEconomischKlimaat_2;VerwachtingEconomischKlimaat_3;OnzekerheidsindicatorEconomischKlimaat_4
733;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 februari;;;;
734;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 maart;;;;
735;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 april;-53.6;-39.5;-70.3;
736;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 mei;;;;
737;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 juni;;;;
738;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 juli;-16.7;-29.8;-7.0;
739;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 augustus;;;;
740;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 september;;;;
741;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 oktober;-20.0;-21.6;-20.2;
742;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 november;;;;
743;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2020 december;;;;
744;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 januari;-16.8;-18.7;-16.9;
745;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 februari;;;;
746;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 maart;;;;
747;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 april;2.7;3.7;-0.8;
748;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 mei;;;;
749;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 juni;;;;
750;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 juli;-5.3;-2.7;-9.1;
751;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 augustus;;;;
752;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 september;;;;
753;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 oktober;-9.3;-9.0;-11.3;20.3
754;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 november;;;;
755;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2021 december;;;;
756;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 januari;-16.9;-20.5;-15.0;21.6
757;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 februari;;;;
758;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 maart;;;;
759;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 april;-32.6;-34.6;-32.4;23.0
760;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 mei;;;;
761;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 juni;;;;
762;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 juli;-42.2;-44.8;-41.0;26.9
763;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 augustus;;;;
764;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 september;;;;
765;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 oktober;-45.4;-49.3;-43.6;27.9
766;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 november;;;;
767;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2022 december;;;;
768;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 januari;-30.9;-35.5;-28.7;28.5
769;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 februari;;;;
770;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 maart;;;;
771;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 april;-19.6;-19.3;-21.7;27.5
772;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 mei;;;;
773;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 juni;;;;
774;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 juli;-19.0;-20.3;-19.2;27.1
775;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 augustus;;;;
776;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 september;;;;
777;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 oktober;-24.6;-29.9;-21.2;26.5
778;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 november;;;;
779;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2023 december;;;;
780;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 januari;-22.2;-28.4;-18.1;24.1
781;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 februari;;;;
782;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 maart;;;;
783;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 april;-20.8;-25.5;-18.0;22.8
784;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 mei;;;;
785;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 juni;;;;
786;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 juli;-20.5;-22.8;-19.6;22.7
787;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 augustus;;;;
788;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 september;;;;
789;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 oktober;-15.8;-17.3;-15.8;25.9
790;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 november;;;;
791;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2024 december;;;;
792;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2025 januari;-24.5;-25.1;-25.2;23.0
793;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2025 februari;;;;
794;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2025 maart;;;;
795;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 januari;;;;
796;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 februari;;;;
797;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 maart;;;;
798;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 april;;;;
799;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 mei;;;;
800;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 juni;;;;
801;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 juli;;;;
802;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 augustus;;;;
803;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 september;;;;
804;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 oktober;;;;
805;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 november;;;;
806;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2012 december;;;;
807;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 januari;;;;
808;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 februari;;;;
809;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 maart;;;;
810;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 april;;;;
811;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 mei;;;;
812;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 juni;;;;
813;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 juli;;;;
814;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 augustus;;;;
815;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 september;;;;
816;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 oktober;;;;
817;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 november;;;;
818;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2013 december;;;;
819;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 januari;0.8;4.3;3.5;
820;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 februari;;;;
821;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 maart;;;;
822;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 april;0.2;0.2;2.8;
823;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 mei;;;;
824;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 juni;;;;
825;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 juli;-0.1;-4.8;6.1;
826;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 augustus;;;;
827;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 september;;;;
828;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 oktober;1.2;-2.7;8.7;
829;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 november;;;;
830;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2014 december;;;;
831;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 januari;3.8;-1.0;11.6;
832;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 februari;;;;
833;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 maart;;;;
834;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 april;2.5;4.1;3.3;
835;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 mei;;;;
836;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 juni;;;;
837;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 juli;10.8;13.0;12.4;
838;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 augustus;;;;
839;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 september;;;;
840;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 oktober;2.2;-1.4;7.7;
841;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 november;;;;
842;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2015 december;;;;
843;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 januari;6.5;6.7;8.1;
844;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 februari;;;;
845;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 maart;;;;
846;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 april;1.1;4.1;-0.4;
847;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 mei;;;;
848;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 juni;;;;
849;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 juli;1.1;2.0;1.9;
850;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 augustus;;;;
851;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 september;;;;
852;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 oktober;17.3;19.8;16.5;
853;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 november;;;;
854;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2016 december;;;;
855;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 januari;5.9;4.1;9.6;
856;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 februari;;;;
857;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 maart;;;;
858;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 april;18.2;24.0;14.5;
859;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 mei;;;;
860;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 juni;;;;
861;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 juli;7.4;12.3;4.9;
862;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 augustus;;;;
863;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 september;;;;
864;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 oktober;15.1;18.2;13.5;
865;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 november;;;;
866;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2017 december;;;;
867;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 januari;16.3;22.9;11.1;
868;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 februari;;;;
869;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 maart;;;;
870;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 april;9.4;12.7;8.3;
871;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 mei;;;;
872;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 juni;;;;
873;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 juli;9.6;13.0;7.7;
874;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 augustus;;;;
875;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 september;;;;
876;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 oktober;9.0;7.4;13.0;
877;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 november;;;;
878;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2018 december;;;;
879;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 januari;0.4;2.1;0.2;
880;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 februari;;;;
881;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 maart;;;;
882;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 april;7.0;8.0;7.9;
883;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 mei;;;;
884;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 juni;;;;
885;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 juli;7.1;6.4;9.8;
886;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 augustus;;;;
887;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 september;;;;
888;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 oktober;-4.8;-2.4;-5.5;
889;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 november;;;;
890;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2019 december;;;;
891;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 januari;-6.4;-5.1;-6.0;
892;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 februari;;;;
893;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 maart;;;;
894;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 april;-41.4;-24.3;-56.1;
895;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 mei;;;;
896;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 juni;;;;
897;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 juli;-6.1;-14.6;6.0;
898;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 augustus;;;;
899;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 september;;;;
900;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 oktober;-8.6;-8.2;-7.2;
901;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 november;;;;
902;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2020 december;;;;
903;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 januari;-6.6;-5.7;-5.5;
904;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 februari;;;;
905;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 maart;;;;
906;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 april;13.3;16.7;12.2;
907;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 mei;;;;
908;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 juni;;;;
909;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 juli;7.7;12.5;3.9;
910;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 augustus;;;;
911;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 september;;;;
912;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 oktober;4.1;5.6;4.3;37.5
913;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 november;;;;
914;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2021 december;;;;
915;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 januari;-3.5;-4.9;-0.4;38.4
916;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 februari;;;;
917;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 maart;;;;
918;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 april;-18.4;-17.8;-17.2;39.4
919;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 mei;;;;
920;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 juni;;;;
921;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 juli;-28.4;-29.2;-26.2;44.1
922;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 augustus;;;;
923;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 september;;;;
924;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 oktober;-32.8;-34.7;-29.0;44.3
925;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 november;;;;
926;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2022 december;;;;
927;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 januari;-18.7;-21.7;-13.5;44.9
928;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 februari;;;;
929;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 maart;;;;
930;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 april;-5.8;-3.7;-6.1;44.7
931;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 mei;;;;
932;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 juni;;;;
933;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 juli;-7.2;-6.1;-6.6;43.1
934;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 augustus;;;;
935;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 september;;;;
936;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 oktober;-12.0;-15.7;-6.4;42.5
937;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 november;;;;
938;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2023 december;;;;
939;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 januari;-11.6;-15.8;-5.5;39.3
940;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 februari;;;;
941;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 maart;;;;
942;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 april;-9.4;-12.1;-4.6;38.4
943;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 mei;;;;
944;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 juni;;;;
945;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 juli;-5.9;-5.6;-5.0;38.7
946;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 augustus;;;;
947;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 september;;;;
948;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 oktober;-3.6;-3.1;-2.4;41.1
949;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 november;;;;
950;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2024 december;;;;
951;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2025 januari;-12.7;-12.1;-11.8;38.2
952;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2025 februari;;;;
953;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;Seizoengecorrigeerde cijfers;2025 maart;;;;
954;B Delfstoffenwinning;Waarde;Seizoengecorrigeerde cijfers;2012 januari;-1.6;-5.4;2.2;
