ID;StandenEnBeroepOpDeKapitaalmarkt;Perioden;Totaal_1;TotaalBeleggingsfondsen_2;TotaalAandelenfondsen_3;TotaalRegiofondsen_4;Nederland_5;Europa_6;NoordAmerika_7;Azie_8;Wereldwijd_9;Overig_10;Sectorfondsen_11;TotaalObligatiefondsen_12;EuroGebied_13;Wereldwijd_14;Overige_15;Depositofondsen_16;Mixfondsen_17;Trackers_18;OverigeFondsen_19;TotaalVastgoedfondsen_20;DirecteVastgoedfondsen_21;IndirecteVastgoedfondsen_22
105;5;2015 oktober;489;450;358;77;15;4;7;0;50;0;281;12;2;10;0;2;23;50;6;39;0;39
106;5;2015 november;245;239;100;94;23;16;12;4;40;0;6;84;59;25;0;0;38;0;17;5;0;5
107;5;2015 december;307;280;157;96;3;5;5;2;79;2;62;38;31;7;1;1;26;0;58;27;26;2
108;5;2016 januari;598;597;521;474;0;274;6;7;188;0;47;54;53;1;0;1;19;0;2;1;0;1
109;5;2016 februari;214;210;193;152;3;16;15;5;112;0;41;3;0;3;0;2;12;0;0;4;0;4
110;5;2016 maart;185;166;106;92;0;4;3;2;82;0;14;6;2;4;0;0;52;0;1;19;0;19
111;5;2016 april;2439;2291;602;575;0;4;11;9;551;0;27;1667;709;958;0;2;10;0;9;149;0;149
112;5;2016 mei;220;196;148;109;0;7;3;4;94;0;40;20;2;18;0;0;14;3;11;25;0;25
113;5;2016 juni;10;9;4;1;1;0;0;0;0;0;3;4;0;4;0;1;0;0;0;0;0;0
114;5;2016 juli;282;281;201;147;6;11;13;11;105;0;54;50;17;32;0;5;20;0;4;1;0;1
115;5;2016 augustus;78;77;52;42;0;1;2;8;31;0;10;17;3;13;0;0;2;0;5;1;0;1
116;Brutoberoep emissie;2007 januari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;Brutoberoep emissie;2007 februari;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;600;0
118;Brutoberoep emissie;2007 maart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;Brutoberoep emissie;2007 april;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;Brutoberoep emissie;2007 mei;239;239;239;239;0;0;0;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;Brutoberoep emissie;2007 juni;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;162;0
122;Brutoberoep emissie;2007 juli;104;104;104;0;0;0;0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0
123;Brutoberoep emissie;2007 augustus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;Brutoberoep emissie;2007 september;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;Brutoberoep emissie;2007 oktober;717;717;717;717;0;0;0;0;717;0;0;0;0;0;0;0;0;0;0;0;0;0
126;Brutoberoep emissie;2007 november;317;317;317;317;0;299;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
127;Brutoberoep emissie;2007 december;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;7;7;0
128;Brutoberoep emissie;2008 januari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;Brutoberoep emissie;2008 februari;434;434;434;434;0;0;0;0;434;0;0;0;0;0;0;0;0;0;0;0;0;0
130;Brutoberoep emissie;2008 maart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;Brutoberoep emissie;2008 april;13;13;13;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
132;Brutoberoep emissie;2008 mei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;Brutoberoep emissie;2008 juni;23;23;23;23;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0
134;Brutoberoep emissie;2008 juli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;Brutoberoep emissie;2008 augustus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;Brutoberoep emissie;2008 september;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;Brutoberoep emissie;2008 oktober;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;Brutoberoep emissie;2008 november;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;Brutoberoep emissie;2008 december;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;Brutoberoep emissie;2009 januari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;Brutoberoep emissie;2009 februari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;Brutoberoep emissie;2009 maart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;Brutoberoep emissie;2009 april;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;Brutoberoep emissie;2009 mei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;Brutoberoep emissie;2009 juni;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;265;0
146;Brutoberoep emissie;2009 juli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;Brutoberoep emissie;2009 augustus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;Brutoberoep emissie;2009 september;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;76;0
149;Brutoberoep emissie;2009 oktober;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;Brutoberoep emissie;2009 november;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;0
151;Brutoberoep emissie;2009 december;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;Brutoberoep emissie;2010 januari;3;3;3;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
153;Brutoberoep emissie;2010 februari;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0
154;Brutoberoep emissie;2010 maart;1035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1035;1035;0
155;Brutoberoep emissie;2010 april;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
156;Brutoberoep emissie;2010 mei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;Brutoberoep emissie;2010 juni;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;55;0
158;Brutoberoep emissie;2010 juli;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
159;Brutoberoep emissie;2010 augustus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;Brutoberoep emissie;2010 september;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
161;Brutoberoep emissie;2010 oktober;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;Brutoberoep emissie;2010 november;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;Brutoberoep emissie;2010 december;58;58;10;10;0;0;0;0;10;0;0;0;0;0;0;0;0;48;0;0;0;0
164;Brutoberoep emissie;2011 januari;143;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;0;0;0;0
165;Brutoberoep emissie;2011 februari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;Brutoberoep emissie;2011 maart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;Brutoberoep emissie;2011 april;30;30;30;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0
168;Brutoberoep emissie;2011 mei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;Brutoberoep emissie;2011 juni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;Brutoberoep emissie;2011 juli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;Brutoberoep emissie;2011 augustus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
172;Brutoberoep emissie;2011 september;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
