ID;Plaatsnamen;Gemeentecode_1;Naam_2;Code_3;Naam_4;Code_5;NaamAfkorting_6;PTTWoonplaatsnaam_7;Gemeentenaam_8
5280;Terlinden (ged.);913;Gulpen                     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
5281;Terlinden (ged.);936;Margraten                  ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
5282;Termaar;936;Margraten                  ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
5283;Termaar;986;Voerendaal                 ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5284;88;10;Delfzijl                   ;2;Appingedam, Delfzijl                              ;20;Gr. ;ja ;nee
5285;89;10;Delfzijl                   ;2;Appingedam, Delfzijl                              ;20;Gr. ;ja ;nee
5286;534;58;Dongeradeel                ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
5287;Terneuzen;715;Terneuzen                  ;99;Kanaalzone Oost-Zeeuwsch-Vlaanderen               ;29;Z.  ;ja ;ja 
5288;396;51;Skarsterlân                ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
5289;Terover;1723;Alphen-Chaam               ;108;Gebied om Tilburg                                 ;30;NB. ;nee;nee
5290;843;93;Terschelling               ;13;Friese Waddeneilanden                             ;21;F.  ;nee;ja 
5291;Terschuren;917;Heerlen                    ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5292;Terschuur;203;Barneveld                  ;31;Gelderse Vallei                                   ;25;Gld.;ja ;nee
5293;Tersluis;454;Venhuizen                  ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;nee;nee
5294;465;55;Boarnsterhim               ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
5295;Terstraten;951;Nuth                       ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5296;Tervoorst;951;Nuth                       ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5297;Tervoort;758;Breda                      ;103;Breda                                             ;30;NB. ;nee;nee
5298;Terwinselen (ged.);928;Kerkrade                   ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5299;Terwinselen (ged.);882;Landgraaf                  ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5300;770;85;Ooststellingwerf           ;9;Fries zandgebied                                  ;21;F.  ;nee;nee
5301;798;86;Opsterland                 ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
