ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;NetTurnover_6;OtherRevenues_7;Total_8;Total_9;Total_10;InitialStockOfRawAndAuxiliaryMater_11;PurchasedRawAndAuxiliaryMaterials_12;ClosingStockRawAndAuxiliaryMat_13;Total_14;InitialStockOfCommodities_15;PurchasedCommodities_16;ClosingStockOfCommodities_17;PaymentsToSubcontractors_18;PurchaseValueNotElsewhereClassified_19;Total_20;GrossWagesAndSalaries_21;Total_22;EmployerPaidSocialInsurancePremiums_23;PensionAndEarlyRetirementPremiums_24;OtherSocialInsuranceCosts_25;OtherPersonnelCosts_26;Total_27;CostsOfEnergyUse_28;HousingCosts_29;EquipmentAndInventoryCosts_30;TransportCosts_31;SalesCosts_32;CommunicationCosts_33;CostsOfOtherServices_34;OtherLiabilities_35;DepreciationFixedAssets_36;OperatingResults_37;NetFinancialIncome_38;BalanceOfProvisions_39;NetExtraordinaryIncome_40;PreTaxResults_41
67;1061 Manufacture of grain mill products;2011;1.4;1.6;1.3;1.5;884.0;883.0;1.0;856.0;652.0;484.0;49.0;470.0;35.0;166.0;10.0;165.0;10.0;2.0;1.0;85.0;60.0;16.0;8.0;8.0;1.0;8.0;99.0;17.0;12.0;8.0;4.0;21.0;1.0;20.0;15.0;21.0;28.0;2.0;0.0;-18.0;12.0
68;1061 Manufacture of grain mill products;2012;1.3;1.5;1.1;1.3;861.0;850.0;11.0;807.0;587.0;442.0;45.0;441.0;43.0;142.0;5.0;143.0;5.0;2.0;1.0;80.0;56.0;14.0;7.0;7.0;1.0;9.0;118.0;15.0;11.0;7.0;5.0;20.0;1.0;41.0;19.0;22.0;54.0;-4.0;0.0;0.0;49.0
69;1061 Manufacture of grain mill products;2013;1.1;1.3;1.0;1.2;922.0;919.0;2.0;867.0;662.0;511.0;41.0;500.0;31.0;148.0;6.0;148.0;6.0;3.0;1.0;76.0;53.0;13.0;7.0;7.0;1.0;9.0;113.0;15.0;11.0;7.0;4.0;22.0;1.0;36.0;16.0;16.0;55.0;-5.0;1.0;-1.0;50.0
70;1062 Manufacture of starches;2009;1.7;1.8;1.7;1.7;1218.0;1197.0;21.0;1230.0;804.0;498.0;9.0;497.0;8.0;292.0;30.0;278.0;16.0;15.0;0.0;125.0;85.0;29.0;12.0;18.0;2.0;9.0;251.0;88.0;14.0;37.0;2.0;5.0;2.0;64.0;39.0;51.0;-12.0;-2.0;0.0;0.0;-15.0
71;1062 Manufacture of starches;2010;1.8;1.8;1.8;1.8;1321.0;1337.0;-16.0;1330.0;868.0;593.0;12.0;594.0;13.0;259.0;15.0;256.0;12.0;16.0;0.0;128.0;85.0;30.0;11.0;19.0;2.0;10.0;278.0;84.0;13.0;42.0;3.0;4.0;1.0;89.0;41.0;56.0;-9.0;0.0;0.0;0.0;-8.0
72;1062 Manufacture of starches;2011;2.1;2.0;2.0;1.9;1303.0;1294.0;9.0;1210.0;743.0;650.0;16.0;650.0;17.0;90.0;12.0;99.0;21.0;4.0;0.0;134.0;90.0;29.0;12.0;17.0;2.0;12.0;293.0;87.0;11.0;74.0;1.0;4.0;1.0;81.0;34.0;41.0;93.0;-10.0;-21.0;-8.0;54.0
73;1062 Manufacture of starches;2012;2.1;2.1;1.8;1.8;1541.0;1476.0;65.0;1440.0;920.0;796.0;19.0;797.0;20.0;102.0;21.0;105.0;24.0;23.0;0.0;161.0;108.0;36.0;16.0;21.0;2.0;15.0;314.0;111.0;18.0;40.0;1.0;4.0;1.0;93.0;45.0;46.0;101.0;-8.0;0.0;-8.0;86.0
74;1062 Manufacture of starches;2013;2.1;2.2;1.9;2.0;1466.0;1443.0;23.0;1403.0;900.0;776.0;20.0;776.0;20.0;103.0;24.0;101.0;22.0;22.0;0.0;160.0;106.0;36.0;15.0;21.0;1.0;16.0;294.0;105.0;13.0;31.0;3.0;4.0;1.0;94.0;45.0;49.0;63.0;-8.0;0.0;0.0;56.0
75;107 Manufacture of bakery products;2009;39.5;46.6;27.3;33.3;4482.0;4443.0;38.0;4087.0;1888.0;1507.0;146.0;1520.0;159.0;370.0;16.0;368.0;15.0;7.0;5.0;1180.0;815.0;185.0;122.0;62.0;7.0;172.0;821.0;176.0;157.0;88.0;61.0;94.0;11.0;124.0;109.0;198.0;395.0;-65.0;-4.0;33.0;360.0
76;107 Manufacture of bakery products;2010;41.7;49.3;29.6;35.6;4505.0;4436.0;69.0;4097.0;1860.0;1578.0;99.0;1570.0;91.0;275.0;15.0;278.0;18.0;6.0;2.0;1253.0;882.0;191.0;121.0;70.0;9.0;171.0;772.0;112.0;153.0;91.0;61.0;98.0;11.0;123.0;124.0;212.0;408.0;-37.0;-3.0;20.0;389.0
77;107 Manufacture of bakery products;2011;41.4;48.2;28.8;34.7;4565.0;4516.0;50.0;4311.0;1988.0;1687.0;180.0;1687.0;179.0;286.0;18.0;285.0;16.0;13.0;2.0;1288.0;893.0;205.0;134.0;71.0;9.0;182.0;815.0;118.0;148.0;100.0;66.0;103.0;13.0;131.0;138.0;220.0;254.0;-35.0;0.0;0.0;219.0
78;107 Manufacture of bakery products;2012;40.6;47.4;27.8;33.8;4620.0;4586.0;34.0;4338.0;2016.0;1701.0;97.0;1697.0;93.0;306.0;14.0;304.0;12.0;9.0;0.0;1284.0;865.0;211.0;131.0;80.0;11.0;197.0;809.0;115.0;156.0;91.0;66.0;94.0;11.0;139.0;138.0;229.0;283.0;-34.0;0.0;55.0;304.0
79;107 Manufacture of bakery products;2013;41.2;48.0;27.2;33.5;4743.0;4695.0;48.0;4415.0;2093.0;1812.0;246.0;1812.0;246.0;271.0;17.0;268.0;14.0;9.0;1.0;1302.0;889.0;209.0;136.0;73.0;11.0;193.0;802.0;108.0;159.0;94.0;67.0;92.0;11.0;148.0;124.0;219.0;327.0;-31.0;0.0;1.0;298.0
80;1072 Manufacture of preserved pastry;2009;5.8;7.5;5.1;6.4;1349.0;1342.0;7.0;1217.0;671.0;528.0;36.0;526.0;35.0;138.0;6.0;139.0;6.0;5.0;0.0;298.0;185.0;45.0;26.0;19.0;1.0;67.0;194.0;26.0;23.0;25.0;8.0;37.0;2.0;43.0;30.0;54.0;132.0;-9.0;-1.0;-2.0;120.0
81;1072 Manufacture of preserved pastry;2010;6.2;8.1;5.4;6.9;1484.0;1451.0;33.0;1384.0;747.0;598.0;37.0;602.0;41.0;141.0;8.0;142.0;8.0;6.0;1.0;341.0;209.0;51.0;29.0;22.0;1.0;80.0;233.0;27.0;44.0;31.0;8.0;37.0;2.0;40.0;45.0;63.0;101.0;-9.0;0.0;5.0;96.0
82;1072 Manufacture of preserved pastry;2011;5.7;7.5;4.9;6.3;1408.0;1375.0;33.0;1343.0;743.0;601.0;37.0;603.0;39.0;135.0;9.0;133.0;7.0;6.0;1.0;321.0;196.0;48.0;28.0;20.0;2.0;75.0;220.0;25.0;43.0;26.0;7.0;34.0;2.0;39.0;45.0;59.0;65.0;-9.0;-1.0;-1.0;54.0
83;1072 Manufacture of preserved pastry;2012;5.7;7.4;5.1;6.4;1451.0;1426.0;25.0;1374.0;767.0;630.0;40.0;632.0;42.0;133.0;5.0;133.0;5.0;4.0;0.0;312.0;188.0;48.0;28.0;20.0;2.0;74.0;234.0;24.0;36.0;26.0;8.0;41.0;2.0;47.0;51.0;61.0;77.0;-9.0;0.0;7.0;74.0
84;1072 Manufacture of preserved pastry;2013;5.7;7.3;5.1;6.5;1578.0;1548.0;30.0;1495.0;844.0;693.0;40.0;695.0;42.0;146.0;10.0;144.0;8.0;4.0;0.0;338.0;207.0;50.0;30.0;20.0;2.0;79.0;249.0;26.0;44.0;30.0;6.0;40.0;2.0;53.0;48.0;64.0;83.0;-5.0;-2.0;-4.0;72.0
85;108 Manufacture of other food;2009;24.1;29.3;21.4;25.4;11507.0;11269.0;238.0;10661.0;7315.0;5748.0;960.0;5685.0;898.0;1494.0;170.0;1524.0;200.0;64.0;10.0;1481.0;981.0;240.0;124.0;116.0;10.0;250.0;1550.0;213.0;139.0;156.0;49.0;254.0;19.0;231.0;489.0;315.0;847.0;393.0;1.0;-29.0;1211.0
86;108 Manufacture of other food;2010;23.5;28.3;21.2;25.0;11350.0;11097.0;253.0;10128.0;6882.0;5478.0;922.0;5572.0;1016.0;1290.0;87.0;1291.0;88.0;96.0;19.0;1529.0;1016.0;241.0;126.0;116.0;7.0;265.0;1398.0;190.0;138.0;144.0;41.0;275.0;17.0;222.0;372.0;319.0;1221.0;456.0;-1.0;44.0;1721.0
87;108 Manufacture of other food;2011;23.4;27.4;20.9;24.4;11375.0;11110.0;265.0;10273.0;7135.0;5712.0;728.0;5754.0;769.0;1287.0;76.0;1295.0;83.0;133.0;3.0;1480.0;992.0;238.0;121.0;118.0;11.0;239.0;1371.0;157.0;135.0;132.0;36.0;255.0;17.0;273.0;366.0;287.0;1102.0;330.0;-3.0;27.0;1455.0
88;108 Manufacture of other food;2012;23.5;27.8;20.9;24.6;12192.0;11978.0;214.0;10967.0;7672.0;6128.0;771.0;6225.0;867.0;1423.0;93.0;1425.0;94.0;119.0;2.0;1526.0;1025.0;248.0;130.0;118.0;7.0;246.0;1466.0;165.0;144.0;151.0;47.0;267.0;19.0;257.0;417.0;302.0;1225.0;27.0;-4.0;29.0;1277.0
89;108 Manufacture of other food;2013;24.0;28.0;21.4;24.8;13373.0;13109.0;264.0;11893.0;8380.0;6600.0;884.0;6776.0;1060.0;1570.0;106.0;1577.0;112.0;196.0;14.0;1584.0;1067.0;271.0;139.0;132.0;6.0;240.0;1575.0;173.0;168.0;164.0;49.0;275.0;17.0;288.0;441.0;354.0;1480.0;72.0;-5.0;18.0;1565.0
90;1082 Manufacture of cocoa,confectionary ;2009;6.3;7.4;5.7;6.5;4634.0;4587.0;47.0;4373.0;3455.0;2454.0;692.0;2413.0;651.0;975.0;118.0;1011.0;154.0;26.0;0.0;424.0;273.0;80.0;34.0;46.0;3.0;68.0;420.0;51.0;43.0;38.0;12.0;104.0;5.0;75.0;91.0;75.0;261.0;55.0;-2.0;2.0;315.0
91;1082 Manufacture of cocoa,confectionary ;2010;6.5;7.6;5.8;6.7;4180.0;4122.0;59.0;3900.0;3022.0;2194.0;643.0;2256.0;705.0;801.0;32.0;802.0;34.0;27.0;0.0;437.0;283.0;74.0;35.0;39.0;2.0;77.0;369.0;43.0;35.0;36.0;11.0;105.0;6.0;55.0;80.0;73.0;280.0;28.0;-1.0;1.0;309.0
92;1082 Manufacture of cocoa,confectionary ;2011;6.4;7.5;5.8;6.7;4211.0;4176.0;35.0;3966.0;3073.0;2202.0;480.0;2235.0;513.0;832.0;34.0;836.0;38.0;39.0;0.0;443.0;290.0;78.0;35.0;42.0;3.0;73.0;378.0;47.0;44.0;42.0;12.0;100.0;5.0;59.0;69.0;72.0;245.0;123.0;-2.0;8.0;373.0
93;1082 Manufacture of cocoa,confectionary ;2012;6.9;8.3;6.1;7.3;4338.0;4331.0;7.0;4045.0;3085.0;2139.0;515.0;2233.0;609.0;889.0;37.0;886.0;34.0;56.0;0.0;475.0;317.0;83.0;39.0;44.0;4.0;72.0;402.0;52.0;53.0;54.0;14.0;105.0;6.0;59.0;60.0;84.0;293.0;45.0;-4.0;-3.0;332.0
94;1082 Manufacture of cocoa,confectionary ;2013;6.7;7.9;6.0;7.0;4277.0;4206.0;72.0;4021.0;3087.0;2166.0;585.0;2099.0;518.0;855.0;36.0;860.0;41.0;66.0;0.0;464.0;301.0;85.0;38.0;47.0;3.0;74.0;384.0;49.0;55.0;45.0;15.0;107.0;6.0;56.0;52.0;86.0;257.0;35.0;0.0;-2.0;290.0
95;109 Manufacture of animal foods;2009;7.4;8.0;6.9;7.5;5669.0;5636.0;33.0;5463.0;4451.0;3795.0;183.0;3774.0;163.0;518.0;43.0;515.0;41.0;28.0;111.0;434.0;311.0;68.0;40.0;28.0;5.0;50.0;486.0;110.0;52.0;64.0;58.0;33.0;8.0;72.0;89.0;92.0;206.0;57.0;-10.0;6.0;259.0
96;109 Manufacture of animal foods;2010;7.3;7.9;6.8;7.4;6321.0;6265.0;56.0;6072.0;5036.0;4124.0;145.0;4169.0;190.0;458.0;33.0;467.0;43.0;28.0;426.0;446.0;318.0;71.0;41.0;30.0;5.0;53.0;487.0;98.0;50.0;67.0;68.0;35.0;8.0;96.0;65.0;103.0;249.0;21.0;-3.0;3.0;270.0
97;109 Manufacture of animal foods;2011;7.4;8.1;6.9;7.5;7603.0;7562.0;41.0;7353.0;6162.0;5237.0;164.0;5252.0;179.0;481.0;24.0;490.0;33.0;29.0;416.0;479.0;340.0;73.0;42.0;31.0;6.0;60.0;604.0;108.0;58.0;74.0;77.0;39.0;8.0;153.0;88.0;108.0;250.0;-12.0;-2.0;6.0;242.0
98;109 Manufacture of animal foods;2012;7.0;7.7;6.5;7.1;8102.0;8069.0;33.0;7733.0;6526.0;5351.0;148.0;5402.0;199.0;455.0;31.0;464.0;40.0;32.0;688.0;476.0;334.0;75.0;43.0;32.0;5.0;62.0;617.0;111.0;57.0;70.0;72.0;39.0;8.0;168.0;93.0;114.0;369.0;14.0;-11.0;10.0;382.0
99;109 Manufacture of animal foods;2013;7.2;7.9;6.7;7.3;8434.0;8413.0;22.0;8115.0;6913.0;5823.0;243.0;5831.0;251.0;487.0;28.0;494.0;36.0;31.0;573.0;484.0;334.0;79.0;46.0;33.0;5.0;66.0;598.0;102.0;55.0;73.0;74.0;35.0;8.0;163.0;89.0;121.0;319.0;-8.0;-10.0;1.0;303.0
100;11 Manufacture of beverages;2009;7.2;8.1;6.7;7.5;4730.0;4674.0;56.0;4224.0;2057.0;1659.0;106.0;1631.0;78.0;373.0;26.0;365.0;17.0;25.0;0.0;490.0;348.0;66.0;36.0;30.0;5.0;72.0;1459.0;79.0;101.0;90.0;24.0;374.0;7.0;96.0;688.0;219.0;506.0;-16.0;15.0;24.0;529.0
101;11 Manufacture of beverages;2010;7.3;8.4;6.8;7.6;4714.0;4660.0;54.0;4179.0;1976.0;1663.0;88.0;1655.0;80.0;288.0;28.0;292.0;33.0;23.0;2.0;501.0;359.0;73.0;40.0;33.0;3.0;66.0;1494.0;54.0;104.0;85.0;25.0;455.0;7.0;112.0;652.0;208.0;535.0;-14.0;-13.0;4.0;512.0
102;11 Manufacture of beverages;2011;7.3;8.4;6.6;7.4;4763.0;4732.0;31.0;4082.0;2027.0;1703.0;87.0;1711.0;96.0;293.0;33.0;290.0;30.0;23.0;10.0;496.0;353.0;67.0;38.0;29.0;4.0;72.0;1364.0;55.0;95.0;82.0;25.0;273.0;7.0;104.0;724.0;195.0;681.0;-18.0;-10.0;34.0;686.0
103;11 Manufacture of beverages;2012;6.7;7.8;6.3;7.3;4905.0;4835.0;70.0;4227.0;2158.0;1856.0;94.0;1857.0;95.0;270.0;30.0;271.0;30.0;28.0;3.0;485.0;351.0;58.0;41.0;17.0;3.0;73.0;1388.0;67.0;97.0;87.0;26.0;262.0;7.0;101.0;741.0;196.0;679.0;-16.0;-10.0;0.0;653.0
104;11 Manufacture of beverages;2013;6.6;7.6;6.2;7.0;4923.0;4864.0;60.0;4237.0;2130.0;1856.0;99.0;1854.0;97.0;239.0;16.0;251.0;28.0;31.0;3.0;504.0;345.0;78.0;41.0;37.0;4.0;77.0;1414.0;67.0;102.0;97.0;26.0;282.0;7.0;89.0;745.0;188.0;687.0;15.0;-3.0;5.0;703.0
105;1107 Manufacture of soft drinks;2009;2.0;2.3;1.9;2.1;1337.0;1335.0;2.0;1215.0;763.0;616.0;21.0;615.0;21.0;135.0;9.0;127.0;1.0;13.0;0.0;138.0;95.0;19.0;11.0;8.0;1.0;23.0;270.0;15.0;15.0;41.0;8.0;49.0;2.0;23.0;116.0;43.0;122.0;-6.0;2.0;0.0;118.0
106;1107 Manufacture of soft drinks;2010;2.1;2.4;2.0;2.2;1395.0;1388.0;7.0;1242.0;785.0;682.0;27.0;683.0;28.0;88.0;9.0;93.0;14.0;15.0;0.0;151.0;102.0;24.0;14.0;10.0;1.0;24.0;274.0;12.0;14.0;41.0;9.0;48.0;2.0;37.0;112.0;32.0;154.0;-6.0;-1.0;-1.0;146.0
107;1107 Manufacture of soft drinks;2011;2.1;2.4;2.0;2.2;1467.0;1461.0;6.0;1308.0;828.0;721.0;27.0;724.0;30.0;94.0;14.0;93.0;13.0;13.0;0.0;152.0;103.0;23.0;13.0;10.0;1.0;26.0;295.0;12.0;12.0;39.0;8.0;43.0;2.0;39.0;141.0;32.0;159.0;-5.0;0.0;0.0;154.0
108;1107 Manufacture of soft drinks;2012;2.0;2.4;2.0;2.3;1481.0;1468.0;13.0;1339.0;839.0;759.0;30.0;760.0;31.0;63.0;13.0;62.0;12.0;17.0;0.0;156.0;105.0;24.0;15.0;9.0;1.0;25.0;311.0;13.0;14.0;41.0;10.0;36.0;2.0;43.0;152.0;33.0;142.0;-5.0;0.0;1.0;138.0
109;1107 Manufacture of soft drinks;2013;2.0;2.3;1.9;2.3;1455.0;1440.0;15.0;1309.0;815.0;755.0;31.0;752.0;28.0;37.0;0.0;48.0;11.0;23.0;0.0;157.0;107.0;26.0;16.0;10.0;2.0;23.0;306.0;14.0;18.0;43.0;9.0;36.0;2.0;35.0;150.0;31.0;146.0;-3.0;0.0;1.0;143.0
110;12 Manufacture of tobacco products;2009;3.0;3.3;2.9;3.1;4385.0;4380.0;4.0;2984.0;847.0;768.0;191.0;761.0;184.0;22.0;2.0;22.0;2.0;56.0;0.0;223.0;151.0;45.0;23.0;22.0;0.0;26.0;1854.0;25.0;14.0;45.0;9.0;91.0;1.0;15.0;1655.0;60.0;1401.0;-8.0;-1.0;-1150.0;241.0
111;12 Manufacture of tobacco products;2010;3.0;3.2;2.8;3.0;3153.0;3159.0;-6.0;2889.0;391.0;257.0;183.0;274.0;201.0;75.0;9.0;72.0;6.0;59.0;0.0;235.0;171.0;41.0;20.0;21.0;0.0;23.0;2206.0;20.0;13.0;44.0;8.0;81.0;1.0;12.0;2028.0;57.0;264.0;2.0;-1.0;-1.0;264.0
112;12 Manufacture of tobacco products;2011;2.8;3.0;2.7;2.9;3279.0;3276.0;4.0;3034.0;442.0;335.0;200.0;340.0;205.0;32.0;9.0;31.0;8.0;75.0;0.0;233.0;167.0;42.0;20.0;22.0;0.0;24.0;2295.0;19.0;13.0;44.0;9.0;63.0;2.0;17.0;2129.0;63.0;246.0;2.0;-1.0;-2.0;245.0
113;12 Manufacture of tobacco products;2012;2.8;3.0;2.6;2.8;2549.0;2526.0;23.0;2253.0;410.0;320.0;209.0;270.0;159.0;23.0;8.0;22.0;7.0;67.0;0.0;233.0;160.0;49.0;21.0;28.0;0.0;23.0;1549.0;15.0;13.0;39.0;11.0;70.0;2.0;11.0;1390.0;61.0;296.0;3.0;0.0;-1.0;299.0
114;12 Manufacture of tobacco products;2013;2.7;2.9;2.5;2.8;2007.0;1985.0;21.0;1752.0;347.0;245.0;150.0;270.0;175.0;30.0;9.0;23.0;2.0;72.0;0.0;243.0;154.0;69.0;20.0;48.0;0.0;20.0;1098.0;16.0;11.0;40.0;9.0;74.0;2.0;10.0;936.0;64.0;255.0;3.0;0.0;1.0;258.0
115;13-15 Man. of textile-, leatherproducts;2009;16.1;18.7;13.6;15.4;2961.0;2969.0;-8.0;2834.0;1570.0;1202.0;279.0;1158.0;235.0;241.0;71.0;252.0;82.0;116.0;11.0;668.0;498.0;107.0;63.0;44.0;7.0;56.0;505.0;66.0;82.0;53.0;24.0;85.0;12.0;79.0;106.0;91.0;127.0;-23.0;1.0;-2.0;104.0
116;13-15 Man. of textile-, leatherproducts;2010;17.2;20.3;14.0;16.4;3410.0;3378.0;32.0;3140.0;1794.0;1371.0;394.0;1384.0;406.0;285.0;68.0;284.0;67.0;119.0;18.0;705.0;505.0;112.0;66.0;46.0;4.0;85.0;545.0;63.0;91.0;43.0;26.0;113.0;12.0;65.0;131.0;96.0;271.0;-16.0;-5.0;-11.0;239.0
117;13-15 Man. of textile-, leatherproducts;2011;17.0;19.9;13.9;16.3;3717.0;3677.0;40.0;3381.0;2003.0;1556.0;229.0;1566.0;239.0;330.0;68.0;349.0;87.0;97.0;20.0;732.0;526.0;122.0;71.0;51.0;5.0;79.0;550.0;61.0;98.0;57.0;28.0;118.0;13.0;68.0;107.0;96.0;336.0;-30.0;1.0;-1.0;305.0
118;13-15 Man. of textile-, leatherproducts;2012;15.8;18.8;13.0;15.5;3627.0;3585.0;42.0;3327.0;1942.0;1419.0;215.0;1401.0;198.0;419.0;77.0;423.0;81.0;98.0;6.0;728.0;512.0;118.0;71.0;47.0;6.0;93.0;569.0;58.0;87.0;53.0;26.0;110.0;13.0;74.0;149.0;88.0;300.0;-37.0;-1.0;4.0;266.0
119;13-15 Man. of textile-, leatherproducts;2013;15.6;18.7;13.1;15.5;3629.0;3607.0;22.0;3320.0;1986.0;1450.0;250.0;1460.0;259.0;390.0;66.0;394.0;70.0;142.0;4.0;710.0;515.0;120.0;72.0;48.0;4.0;71.0;533.0;62.0;91.0;55.0;29.0;115.0;11.0;77.0;94.0;91.0;310.0;-29.0;-1.0;4.0;283.0
120;13 Manufacture of textiles;2009;11.7;13.1;10.0;11.1;2271.0;2284.0;-14.0;2191.0;1213.0;986.0;206.0;947.0;168.0;138.0;31.0;135.0;27.0;79.0;11.0;512.0;379.0;82.0;49.0;34.0;6.0;44.0;391.0;55.0;59.0;47.0;17.0;64.0;7.0;63.0;79.0;74.0;80.0;-18.0;0.0;2.0;64.0
121;13 Manufacture of textiles;2010;12.4;14.1;10.3;11.6;2525.0;2500.0;25.0;2325.0;1320.0;1085.0;174.0;1104.0;193.0;141.0;27.0;142.0;28.0;78.0;16.0;533.0;379.0;84.0;49.0;35.0;3.0;66.0;399.0;54.0;68.0;39.0;18.0;78.0;8.0;50.0;85.0;73.0;200.0;-10.0;-4.0;-3.0;183.0
122;13 Manufacture of textiles;2011;12.6;14.5;10.6;12.2;2820.0;2789.0;32.0;2557.0;1501.0;1225.0;175.0;1240.0;191.0;203.0;32.0;215.0;44.0;56.0;17.0;567.0;403.0;95.0;55.0;40.0;4.0;65.0;413.0;52.0;72.0;53.0;20.0;83.0;8.0;54.0;72.0;76.0;263.0;-27.0;2.0;-3.0;235.0
123;13 Manufacture of textiles;2012;11.7;13.7;10.0;11.6;2720.0;2680.0;40.0;2491.0;1416.0;1129.0;175.0;1113.0;159.0;225.0;42.0;228.0;46.0;59.0;4.0;573.0;394.0;90.0;54.0;36.0;5.0;84.0;433.0;51.0;67.0;49.0;18.0;81.0;7.0;60.0;99.0;70.0;228.0;-26.0;-1.0;3.0;204.0
124;13 Manufacture of textiles;2013;11.5;13.3;10.0;11.6;2678.0;2659.0;19.0;2464.0;1415.0;1132.0;217.0;1138.0;223.0;174.0;35.0;173.0;34.0;106.0;3.0;562.0;402.0;96.0;57.0;38.0;4.0;60.0;414.0;55.0;73.0;50.0;20.0;82.0;7.0;61.0;65.0;74.0;214.0;-21.0;-1.0;4.0;195.0
125;139 Manufacture of other textiles;2009;8.7;9.8;7.4;8.1;1772.0;1781.0;-9.0;1710.0;985.0;795.0;147.0;768.0;119.0;108.0;27.0;106.0;25.0;72.0;10.0;374.0;280.0;59.0;36.0;23.0;4.0;31.0;298.0;36.0;45.0;36.0;15.0;50.0;6.0;52.0;58.0;53.0;62.0;-12.0;2.0;2.0;54.0
126;139 Manufacture of other textiles;2010;9.6;10.9;7.8;8.7;1993.0;1980.0;13.0;1821.0;1077.0;889.0;135.0;902.0;148.0;103.0;24.0;104.0;26.0;70.0;15.0;395.0;282.0;61.0;36.0;25.0;3.0;50.0;293.0;33.0;51.0;27.0;15.0;66.0;6.0;35.0;61.0;56.0;172.0;-5.0;-2.0;1.0;166.0
127;139 Manufacture of other textiles;2011;9.5;10.9;7.9;9.1;2216.0;2196.0;19.0;1998.0;1219.0;1017.0;144.0;1024.0;151.0;139.0;27.0;149.0;37.0;47.0;16.0;415.0;300.0;69.0;40.0;29.0;4.0;43.0;308.0;35.0;50.0;40.0;17.0;66.0;6.0;41.0;54.0;55.0;217.0;-13.0;2.0;-4.0;203.0
128;139 Manufacture of other textiles;2012;8.7;10.2;7.3;8.4;2122.0;2092.0;30.0;1924.0;1155.0;920.0;139.0;903.0;122.0;184.0;38.0;186.0;40.0;48.0;4.0;403.0;282.0;59.0;38.0;21.0;3.0;59.0;319.0;32.0;46.0;33.0;15.0;65.0;5.0;43.0;81.0;46.0;198.0;-10.0;1.0;-5.0;184.0
129;139 Manufacture of other textiles;2013;8.6;9.9;7.3;8.4;2080.0;2068.0;12.0;1889.0;1151.0;926.0;185.0;929.0;188.0;126.0;27.0;123.0;25.0;97.0;2.0;396.0;288.0;65.0;41.0;25.0;3.0;39.0;291.0;34.0;53.0;34.0;16.0;60.0;5.0;43.0;46.0;52.0;191.0;-9.0;-1.0;-1.0;182.0
130;14 Manufacture of wearing apparel;2009;2.6;3.4;2.0;2.5;397.0;395.0;1.0;360.0;210.0;128.0;45.0;124.0;41.0;50.0;24.0;48.0;22.0;31.0;1.0;81.0;63.0;12.0;7.0;5.0;0.0;4.0;64.0;5.0;15.0;2.0;4.0;9.0;3.0;9.0;18.0;6.0;37.0;-2.0;1.0;-3.0;33.0
131;14 Manufacture of wearing apparel;2010;2.9;3.9;2.2;3.0;508.0;505.0;4.0;471.0;264.0;157.0;198.0;149.0;191.0;79.0;28.0;77.0;27.0;27.0;2.0;98.0;71.0;15.0;9.0;6.0;0.0;11.0;98.0;4.0;14.0;2.0;6.0;25.0;3.0;7.0;37.0;12.0;37.0;-7.0;-1.0;0.0;30.0
132;14 Manufacture of wearing apparel;2011;2.7;3.4;1.9;2.5;458.0;451.0;8.0;421.0;245.0;177.0;33.0;171.0;27.0;40.0;17.0;43.0;21.0;27.0;1.0;86.0;65.0;14.0;9.0;5.0;0.0;7.0;81.0;4.0;15.0;2.0;4.0;24.0;3.0;6.0;23.0;9.0;37.0;-1.0;-1.0;0.0;36.0
133;14 Manufacture of wearing apparel;2012;2.5;3.2;1.7;2.3;460.0;459.0;1.0;430.0;270.0;131.0;18.0;128.0;15.0;114.0;13.0;115.0;15.0;25.0;0.0;72.0;56.0;13.0;8.0;4.0;0.0;3.0;81.0;3.0;10.0;2.0;5.0;17.0;3.0;7.0;34.0;7.0;29.0;-6.0;0.0;2.0;25.0
134;14 Manufacture of wearing apparel;2013;2.4;3.3;1.7;2.3;482.0;481.0;1.0;439.0;287.0;144.0;19.0;143.0;18.0;118.0;8.0;118.0;8.0;24.0;1.0;74.0;57.0;13.0;8.0;4.0;0.0;4.0;73.0;3.0;12.0;2.0;4.0;21.0;3.0;8.0;19.0;6.0;43.0;-5.0;0.0;0.0;38.0
135;15 Manufacture of leather and footwear;2009;1.9;2.2;1.6;1.8;294.0;289.0;4.0;283.0;147.0;89.0;28.0;86.0;26.0;53.0;17.0;69.0;33.0;5.0;0.0;75.0;55.0;12.0;7.0;5.0;1.0;8.0;50.0;6.0;7.0;5.0;3.0;12.0;1.0;7.0;9.0;12.0;10.0;-3.0;0.0;-1.0;7.0
136;15 Manufacture of leather and footwear;2010;1.9;2.2;1.5;1.8;377.0;374.0;3.0;344.0;210.0;129.0;21.0;131.0;23.0;66.0;13.0;65.0;13.0;14.0;1.0;75.0;54.0;12.0;7.0;5.0;0.0;8.0;48.0;5.0;10.0;2.0;2.0;10.0;2.0;8.0;10.0;11.0;34.0;1.0;0.0;-7.0;27.0
137;15 Manufacture of leather and footwear;2011;1.7;2.0;1.4;1.6;439.0;438.0;1.0;403.0;256.0;154.0;21.0;155.0;21.0;87.0;19.0;90.0;22.0;14.0;2.0;79.0;57.0;14.0;8.0;6.0;0.0;8.0;56.0;5.0;11.0;3.0;3.0;12.0;2.0;8.0;13.0;12.0;36.0;-3.0;0.0;2.0;35.0
