ID;AgeMotherOn31December;Periods;TotalLiveBornChildren_1;FirstChild_2;SecondChild_3;ThirdChild_4;FourthOrFollowingChildren_5;TotalMaritalLiveBornChildren_6;FirstChild_7;SecondChild_8;ThirdChild_9;FourthOrFollowingChildren_10;TotalNonMaritalLiveBornChildren_11;FirstChild_12;SecondChild_13;ThirdChild_14;FourthOrFollowingChildren_15;TotalLiveBornChildren_16;FirstChild_17;SecondChild_18;ThirdChild_19;FourthOrFollowingChildren_20
1978;44 years;1978;116.0;15.0;12.0;9.0;80.0;107.0;12.0;10.0;9.0;76.0;9.0;3.0;2.0;0.0;4.0;1.54;0.2;0.16;0.12;1.06
1979;44 years;1979;118.0;19.0;11.0;11.0;77.0;110.0;16.0;11.0;10.0;73.0;8.0;3.0;0.0;1.0;4.0;1.57;0.25;0.15;0.15;1.02
1980;44 years;1980;95.0;14.0;6.0;11.0;64.0;89.0;11.0;6.0;10.0;62.0;6.0;3.0;0.0;1.0;2.0;1.24;0.18;0.08;0.14;0.84
1981;44 years;1981;112.0;11.0;11.0;7.0;83.0;105.0;9.0;10.0;6.0;80.0;7.0;2.0;1.0;1.0;3.0;1.47;0.14;0.14;0.09;1.09
1982;44 years;1982;126.0;12.0;16.0;12.0;86.0;117.0;9.0;14.0;10.0;84.0;9.0;3.0;2.0;2.0;2.0;1.57;0.15;0.2;0.15;1.07
1983;44 years;1983;132.0;13.0;15.0;14.0;90.0;120.0;9.0;13.0;14.0;84.0;12.0;4.0;2.0;0.0;6.0;1.61;0.16;0.18;0.17;1.1
1984;44 years;1984;144.0;6.0;11.0;11.0;116.0;135.0;4.0;8.0;9.0;114.0;9.0;2.0;3.0;2.0;2.0;1.71;0.07;0.13;0.13;1.38
1985;44 years;1985;107.0;7.0;13.0;20.0;67.0;97.0;6.0;9.0;19.0;63.0;10.0;1.0;4.0;1.0;4.0;1.32;0.09;0.16;0.25;0.82
1986;44 years;1986;121.0;15.0;10.0;10.0;86.0;107.0;10.0;7.0;9.0;81.0;14.0;5.0;3.0;1.0;5.0;1.43;0.18;0.12;0.12;1.01
1987;44 years;1987;117.0;13.0;17.0;18.0;69.0;110.0;11.0;15.0;17.0;67.0;7.0;2.0;2.0;1.0;2.0;1.27;0.14;0.19;0.2;0.75
1988;44 years;1988;128.0;18.0;19.0;13.0;78.0;120.0;17.0;16.0;12.0;75.0;8.0;1.0;3.0;1.0;3.0;1.32;0.19;0.2;0.13;0.81
1989;44 years;1989;135.0;19.0;15.0;14.0;87.0;112.0;11.0;11.0;9.0;81.0;23.0;8.0;4.0;5.0;6.0;1.47;0.21;0.16;0.15;0.94
1990;44 years;1990;175.0;29.0;16.0;22.0;108.0;147.0;18.0;14.0;17.0;98.0;28.0;11.0;2.0;5.0;10.0;1.37;0.23;0.13;0.17;0.85
1991;44 years;1991;144.0;18.0;20.0;19.0;87.0;121.0;10.0;14.0;15.0;82.0;23.0;8.0;6.0;4.0;5.0;1.17;0.15;0.16;0.15;0.7
1992;44 years;1992;189.0;48.0;32.0;32.0;77.0;158.0;30.0;29.0;27.0;72.0;31.0;18.0;3.0;5.0;5.0;1.62;0.41;0.27;0.27;0.66
1993;44 years;1993;153.0;26.0;34.0;21.0;72.0;124.0;13.0;26.0;16.0;69.0;29.0;13.0;8.0;5.0;3.0;1.36;0.23;0.3;0.19;0.64
1994;44 years;1994;171.0;30.0;35.0;21.0;85.0;137.0;16.0;26.0;13.0;82.0;34.0;14.0;9.0;8.0;3.0;1.54;0.27;0.32;0.19;0.77
1995;44 years;1995;153.0;29.0;41.0;20.0;63.0;120.0;20.0;36.0;10.0;54.0;33.0;9.0;5.0;10.0;9.0;1.39;0.26;0.37;0.18;0.57
1996;44 years;1996;182.0;36.0;37.0;35.0;74.0;139.0;20.0;26.0;26.0;67.0;43.0;16.0;11.0;9.0;7.0;1.6;0.32;0.33;0.31;0.65
1997;44 years;1997;167.0;36.0;35.0;23.0;73.0;125.0;22.0;21.0;18.0;64.0;42.0;14.0;14.0;5.0;9.0;1.48;0.32;0.31;0.2;0.65
1998;44 years;1998;197.0;53.0;32.0;35.0;77.0;144.0;33.0;23.0;24.0;64.0;53.0;20.0;9.0;11.0;13.0;1.73;0.46;0.28;0.31;0.67
1999;44 years;1999;183.0;39.0;43.0;36.0;65.0;136.0;20.0;33.0;24.0;59.0;47.0;19.0;10.0;12.0;6.0;1.58;0.34;0.37;0.31;0.56
2000;44 years;2000;226.0;38.0;65.0;39.0;84.0;144.0;13.0;39.0;25.0;67.0;82.0;25.0;26.0;14.0;17.0;1.92;0.32;0.55;0.33;0.71
2001;44 years;2001;232.0;54.0;72.0;36.0;70.0;155.0;26.0;52.0;18.0;59.0;77.0;28.0;20.0;18.0;11.0;1.94;0.45;0.6;0.3;0.58
2002;44 years;2002;247.0;49.0;65.0;47.0;86.0;152.0;21.0;39.0;30.0;62.0;95.0;28.0;26.0;17.0;24.0;2.03;0.4;0.53;0.39;0.71
2003;44 years;2003;238.0;67.0;63.0;35.0;73.0;147.0;30.0;39.0;20.0;58.0;91.0;37.0;24.0;15.0;15.0;1.91;0.54;0.51;0.28;0.59
2004;44 years;2004;255.0;58.0;66.0;45.0;86.0;155.0;24.0;38.0;30.0;63.0;100.0;34.0;28.0;15.0;23.0;2.04;0.46;0.53;0.36;0.69
2005;44 years;2005;256.0;61.0;70.0;47.0;78.0;160.0;31.0;40.0;29.0;60.0;96.0;30.0;30.0;18.0;18.0;2.0;0.48;0.55;0.37;0.61
2006;44 years;2006;293.0;75.0;85.0;50.0;83.0;174.0;33.0;44.0;33.0;64.0;119.0;42.0;41.0;17.0;19.0;2.28;0.58;0.66;0.39;0.65
2007;44 years;2007;302.0;80.0;74.0;59.0;89.0;191.0;36.0;43.0;40.0;72.0;111.0;44.0;31.0;19.0;17.0;2.33;0.62;0.57;0.46;0.69
2008;44 years;2008;340.0;83.0;102.0;56.0;99.0;185.0;33.0;53.0;29.0;70.0;155.0;50.0;49.0;27.0;29.0;2.59;0.63;0.78;0.43;0.75
2009;44 years;2009;358.0;98.0;94.0;64.0;102.0;204.0;35.0;54.0;40.0;75.0;154.0;63.0;40.0;24.0;27.0;2.78;0.76;0.73;0.5;0.79
2010;44 years;2010;351.0;85.0;90.0;84.0;92.0;209.0;40.0;51.0;48.0;70.0;142.0;45.0;39.0;36.0;22.0;2.77;0.67;0.71;0.66;0.73
2011;44 years;2011;322.0;92.0;79.0;64.0;87.0;178.0;27.0;47.0;35.0;69.0;144.0;65.0;32.0;29.0;18.0;2.56;0.73;0.63;0.51;0.69
2012;44 years;2012;321.0;111.0;80.0;47.0;83.0;171.0;50.0;39.0;27.0;55.0;150.0;61.0;41.0;20.0;28.0;2.52;0.87;0.63;0.37;0.65
2013;44 years;2013;376.0;103.0;118.0;81.0;74.0;192.0;40.0;57.0;39.0;56.0;184.0;63.0;61.0;42.0;18.0;2.84;0.78;0.89;0.61;0.56
2014;44 years;2014;401.0;115.0;122.0;66.0;98.0;215.0;48.0;56.0;30.0;81.0;186.0;67.0;66.0;36.0;17.0;3.09;0.89;0.94;0.51;0.76
2015;45 years;1950;984.0;35.0;45.0;77.0;827.0;982.0;35.0;45.0;77.0;825.0;2.0;0.0;0.0;0.0;2.0;15.36;0.55;0.7;1.2;12.91
2016;45 years;1951;926.0;34.0;43.0;73.0;776.0;919.0;33.0;41.0;71.0;774.0;7.0;1.0;2.0;2.0;2.0;14.29;0.53;0.66;1.13;11.98
2017;45 years;1952;959.0;35.0;45.0;76.0;803.0;951.0;34.0;43.0;76.0;798.0;8.0;1.0;2.0;0.0;5.0;14.52;0.53;0.68;1.15;12.16
2018;45 years;1953;893.0;30.0;44.0;71.0;748.0;886.0;29.0;42.0;70.0;745.0;7.0;1.0;2.0;1.0;3.0;13.38;0.45;0.66;1.06;11.21
2019;45 years;1954;909.0;33.0;44.0;76.0;756.0;902.0;30.0;43.0;76.0;753.0;7.0;3.0;1.0;0.0;3.0;13.51;0.49;0.65;1.13;11.24
2020;45 years;1955;825.0;20.0;42.0;64.0;699.0;821.0;20.0;42.0;64.0;695.0;4.0;0.0;0.0;0.0;4.0;12.5;0.3;0.64;0.97;10.59
2021;45 years;1956;808.0;19.0;40.0;60.0;689.0;803.0;19.0;39.0;60.0;685.0;5.0;0.0;1.0;0.0;4.0;12.41;0.29;0.61;0.92;10.58
2022;45 years;1957;820.0;24.0;36.0;62.0;698.0;813.0;22.0;33.0;62.0;696.0;7.0;2.0;3.0;0.0;2.0;11.84;0.35;0.52;0.9;10.08
2023;45 years;1958;794.0;19.0;31.0;70.0;674.0;790.0;19.0;31.0;70.0;670.0;4.0;0.0;0.0;0.0;4.0;11.43;0.27;0.45;1.01;9.7
2024;45 years;1959;803.0;23.0;34.0;55.0;691.0;797.0;21.0;34.0;55.0;687.0;6.0;2.0;0.0;0.0;4.0;11.38;0.33;0.48;0.78;9.8
2025;45 years;1960;703.0;28.0;27.0;57.0;591.0;696.0;26.0;26.0;57.0;587.0;7.0;2.0;1.0;0.0;4.0;10.62;0.42;0.41;0.86;8.92
2026;45 years;1961;708.0;21.0;32.0;51.0;604.0;701.0;19.0;31.0;50.0;601.0;7.0;2.0;1.0;1.0;3.0;10.46;0.31;0.47;0.75;8.92
2027;45 years;1962;592.0;19.0;24.0;49.0;500.0;588.0;18.0;23.0;49.0;498.0;4.0;1.0;1.0;0.0;2.0;8.84;0.28;0.36;0.73;7.47
2028;45 years;1963;583.0;18.0;27.0;47.0;491.0;579.0;18.0;26.0;47.0;488.0;4.0;0.0;1.0;0.0;3.0;8.92;0.28;0.41;0.72;7.52
2029;45 years;1964;591.0;19.0;30.0;54.0;488.0;585.0;18.0;30.0;53.0;484.0;6.0;1.0;0.0;1.0;4.0;8.88;0.29;0.45;0.81;7.33
2030;45 years;1965;572.0;19.0;30.0;58.0;465.0;567.0;18.0;29.0;58.0;462.0;5.0;1.0;1.0;0.0;3.0;7.23;0.24;0.38;0.73;5.88
2031;45 years;1966;513.0;20.0;32.0;58.0;403.0;509.0;20.0;31.0;58.0;400.0;4.0;0.0;1.0;0.0;3.0;6.61;0.26;0.41;0.75;5.19
2032;45 years;1967;446.0;21.0;30.0;46.0;349.0;439.0;20.0;28.0;46.0;345.0;7.0;1.0;2.0;0.0;4.0;5.85;0.28;0.39;0.6;4.58
2033;45 years;1968;381.0;20.0;23.0;43.0;295.0;375.0;19.0;21.0;43.0;292.0;6.0;1.0;2.0;0.0;3.0;4.85;0.25;0.29;0.55;3.75
2034;45 years;1969;363.0;23.0;20.0;43.0;277.0;357.0;22.0;20.0;42.0;273.0;6.0;1.0;0.0;1.0;4.0;4.71;0.3;0.26;0.56;3.6
2035;45 years;1970;309.0;18.0;20.0;33.0;238.0;299.0;15.0;20.0;33.0;231.0;10.0;3.0;0.0;0.0;7.0;4.1;0.24;0.27;0.44;3.16
2036;45 years;1971;248.0;15.0;21.0;22.0;190.0;240.0;13.0;21.0;21.0;185.0;8.0;2.0;0.0;1.0;5.0;3.32;0.2;0.28;0.29;2.54
2037;45 years;1972;172.0;15.0;13.0;21.0;123.0;170.0;14.0;13.0;20.0;123.0;2.0;1.0;0.0;1.0;0.0;2.32;0.2;0.18;0.28;1.66
2038;45 years;1973;128.0;15.0;12.0;8.0;93.0;118.0;12.0;12.0;8.0;86.0;10.0;3.0;0.0;0.0;7.0;1.68;0.2;0.16;0.11;1.22
2039;45 years;1974;105.0;8.0;12.0;7.0;78.0;101.0;8.0;10.0;7.0;76.0;4.0;0.0;2.0;0.0;2.0;1.39;0.11;0.16;0.09;1.03
2040;45 years;1975;101.0;9.0;13.0;7.0;72.0;99.0;9.0;12.0;6.0;72.0;2.0;0.0;1.0;1.0;0.0;1.29;0.12;0.17;0.09;0.92
2041;45 years;1976;91.0;10.0;14.0;9.0;58.0;86.0;9.0;12.0;9.0;56.0;5.0;1.0;2.0;0.0;2.0;1.19;0.13;0.18;0.12;0.76
2042;45 years;1977;75.0;6.0;12.0;3.0;54.0;72.0;6.0;10.0;3.0;53.0;3.0;0.0;2.0;0.0;1.0;0.97;0.08;0.16;0.04;0.7
2043;45 years;1978;64.0;7.0;8.0;5.0;44.0;59.0;5.0;7.0;5.0;42.0;5.0;2.0;1.0;0.0;2.0;0.86;0.09;0.11;0.07;0.59
2044;45 years;1979;69.0;10.0;11.0;3.0;45.0;64.0;8.0;11.0;2.0;43.0;5.0;2.0;0.0;1.0;2.0;0.92;0.13;0.15;0.04;0.6
2045;45 years;1980;61.0;5.0;5.0;3.0;48.0;54.0;4.0;5.0;3.0;42.0;7.0;1.0;0.0;0.0;6.0;0.81;0.07;0.07;0.04;0.64
2046;45 years;1981;84.0;8.0;3.0;10.0;63.0;81.0;7.0;3.0;10.0;61.0;3.0;1.0;0.0;0.0;2.0;1.1;0.11;0.04;0.13;0.82
2047;45 years;1982;66.0;7.0;5.0;5.0;49.0;64.0;7.0;5.0;3.0;49.0;2.0;0.0;0.0;2.0;0.0;0.86;0.09;0.07;0.07;0.64
2048;45 years;1983;68.0;1.0;7.0;3.0;57.0;66.0;0.0;7.0;3.0;56.0;2.0;1.0;0.0;0.0;1.0;0.85;0.01;0.09;0.04;0.71
2049;45 years;1984;61.0;10.0;8.0;0.0;43.0;59.0;10.0;7.0;0.0;42.0;2.0;0.0;1.0;0.0;1.0;0.75;0.12;0.1;0.0;0.53
2050;45 years;1985;84.0;7.0;5.0;1.0;71.0;77.0;5.0;3.0;1.0;68.0;7.0;2.0;2.0;0.0;3.0;1.0;0.08;0.06;0.01;0.85
2051;45 years;1986;77.0;9.0;5.0;10.0;53.0;67.0;7.0;5.0;8.0;47.0;10.0;2.0;0.0;2.0;6.0;0.95;0.11;0.06;0.12;0.65
2052;45 years;1987;82.0;10.0;14.0;5.0;53.0;68.0;8.0;9.0;2.0;49.0;14.0;2.0;5.0;3.0;4.0;0.97;0.12;0.17;0.06;0.63
2053;45 years;1988;65.0;7.0;6.0;10.0;42.0;55.0;4.0;6.0;7.0;38.0;10.0;3.0;0.0;3.0;4.0;0.71;0.08;0.07;0.11;0.46
2054;45 years;1989;78.0;10.0;11.0;3.0;54.0;71.0;8.0;8.0;3.0;52.0;7.0;2.0;3.0;0.0;2.0;0.81;0.1;0.11;0.03;0.56
2055;45 years;1990;81.0;7.0;10.0;7.0;57.0;72.0;6.0;7.0;5.0;54.0;9.0;1.0;3.0;2.0;3.0;0.88;0.08;0.11;0.08;0.62
2056;45 years;1991;83.0;13.0;9.0;5.0;56.0;75.0;9.0;7.0;4.0;55.0;8.0;4.0;2.0;1.0;1.0;0.65;0.1;0.07;0.04;0.44
2057;45 years;1992;95.0;8.0;17.0;14.0;56.0;86.0;4.0;15.0;12.0;55.0;9.0;4.0;2.0;2.0;1.0;0.77;0.07;0.14;0.11;0.45
2058;45 years;1993;99.0;18.0;14.0;12.0;55.0;81.0;14.0;10.0;8.0;49.0;18.0;4.0;4.0;4.0;6.0;0.85;0.15;0.12;0.1;0.47
2059;45 years;1994;79.0;14.0;14.0;17.0;34.0;57.0;7.0;7.0;12.0;31.0;22.0;7.0;7.0;5.0;3.0;0.7;0.12;0.12;0.15;0.3
2060;45 years;1995;72.0;13.0;6.0;13.0;40.0;61.0;9.0;5.0;9.0;38.0;11.0;4.0;1.0;4.0;2.0;0.65;0.12;0.05;0.12;0.36
2061;45 years;1996;85.0;16.0;17.0;14.0;38.0;67.0;8.0;13.0;11.0;35.0;18.0;8.0;4.0;3.0;3.0;0.77;0.15;0.16;0.13;0.35
2062;45 years;1997;78.0;15.0;13.0;14.0;36.0;54.0;7.0;5.0;11.0;31.0;24.0;8.0;8.0;3.0;5.0;0.69;0.13;0.12;0.12;0.32
2063;45 years;1998;78.0;11.0;13.0;7.0;47.0;63.0;7.0;11.0;5.0;40.0;15.0;4.0;2.0;2.0;7.0;0.69;0.1;0.12;0.06;0.42
2064;45 years;1999;105.0;17.0;21.0;15.0;52.0;80.0;9.0;16.0;13.0;42.0;25.0;8.0;5.0;2.0;10.0;0.92;0.15;0.18;0.13;0.46
2065;45 years;2000;114.0;19.0;20.0;21.0;54.0;80.0;10.0;14.0;12.0;44.0;34.0;9.0;6.0;9.0;10.0;0.98;0.16;0.17;0.18;0.47
2066;45 years;2001;100.0;16.0;16.0;16.0;52.0;79.0;11.0;14.0;10.0;44.0;21.0;5.0;2.0;6.0;8.0;0.85;0.14;0.14;0.14;0.44
2067;45 years;2002;118.0;26.0;29.0;16.0;47.0;70.0;10.0;14.0;9.0;37.0;48.0;16.0;15.0;7.0;10.0;0.99;0.22;0.24;0.13;0.39
2068;45 years;2003;133.0;41.0;36.0;17.0;39.0;82.0;21.0;21.0;8.0;32.0;51.0;20.0;15.0;9.0;7.0;1.09;0.34;0.3;0.14;0.32
2069;45 years;2004;122.0;24.0;29.0;23.0;46.0;76.0;12.0;18.0;13.0;33.0;46.0;12.0;11.0;10.0;13.0;0.98;0.19;0.23;0.19;0.37
2070;45 years;2005;125.0;20.0;26.0;22.0;57.0;76.0;8.0;11.0;13.0;44.0;49.0;12.0;15.0;9.0;13.0;1.0;0.16;0.21;0.18;0.46
2071;45 years;2006;134.0;29.0;41.0;29.0;35.0;82.0;15.0;25.0;17.0;25.0;52.0;14.0;16.0;12.0;10.0;1.05;0.23;0.32;0.23;0.27
2072;45 years;2007;134.0;32.0;33.0;21.0;48.0;82.0;17.0;18.0;13.0;34.0;52.0;15.0;15.0;8.0;14.0;1.05;0.25;0.26;0.16;0.37
2073;45 years;2008;141.0;33.0;29.0;26.0;53.0;87.0;19.0;15.0;12.0;41.0;54.0;14.0;14.0;14.0;12.0;1.09;0.26;0.22;0.2;0.41
2074;45 years;2009;148.0;42.0;29.0;30.0;47.0;74.0;17.0;11.0;14.0;32.0;74.0;25.0;18.0;16.0;15.0;1.13;0.32;0.22;0.23;0.36
2075;45 years;2010;151.0;35.0;38.0;34.0;44.0;89.0;13.0;21.0;18.0;37.0;62.0;22.0;17.0;16.0;7.0;1.17;0.27;0.3;0.26;0.34
2076;45 years;2011;171.0;46.0;40.0;36.0;49.0;99.0;22.0;23.0;21.0;33.0;72.0;24.0;17.0;15.0;16.0;1.35;0.36;0.32;0.29;0.39
2077;45 years;2012;171.0;36.0;51.0;31.0;53.0;104.0;16.0;26.0;21.0;41.0;67.0;20.0;25.0;10.0;12.0;1.36;0.29;0.41;0.25;0.42
2078;45 years;2013;196.0;54.0;56.0;31.0;55.0;113.0;24.0;29.0;19.0;41.0;83.0;30.0;27.0;12.0;14.0;1.54;0.43;0.44;0.24;0.43
2079;45 years;2014;212.0;58.0;48.0;34.0;72.0;127.0;29.0;32.0;22.0;44.0;85.0;29.0;16.0;12.0;28.0;1.6;0.44;0.36;0.26;0.54
2080;46 years;1950;506.0;21.0;27.0;31.0;427.0;502.0;21.0;26.0;31.0;424.0;4.0;0.0;1.0;0.0;3.0;8.02;0.33;0.43;0.49;6.77
2081;46 years;1951;484.0;17.0;24.0;36.0;407.0;482.0;17.0;22.0;36.0;407.0;2.0;0.0;2.0;0.0;0.0;7.57;0.27;0.38;0.56;6.36
2082;46 years;1952;513.0;17.0;16.0;36.0;444.0;511.0;17.0;16.0;36.0;442.0;2.0;0.0;0.0;0.0;2.0;7.95;0.26;0.25;0.56;6.88
2083;46 years;1953;455.0;18.0;22.0;29.0;386.0;452.0;16.0;22.0;29.0;385.0;3.0;2.0;0.0;0.0;1.0;6.93;0.27;0.34;0.44;5.88
2084;46 years;1954;468.0;13.0;25.0;36.0;394.0;466.0;13.0;25.0;35.0;393.0;2.0;0.0;0.0;1.0;1.0;7.04;0.2;0.38;0.54;5.92
2085;46 years;1955;455.0;12.0;22.0;28.0;393.0;452.0;12.0;22.0;28.0;390.0;3.0;0.0;0.0;0.0;3.0;6.78;0.18;0.33;0.42;5.86
2086;46 years;1956;420.0;9.0;15.0;26.0;370.0;419.0;9.0;15.0;25.0;370.0;1.0;0.0;0.0;1.0;0.0;6.38;0.14;0.23;0.4;5.62
2087;46 years;1957;406.0;11.0;22.0;23.0;350.0;404.0;11.0;21.0;22.0;350.0;2.0;0.0;1.0;1.0;0.0;6.25;0.17;0.34;0.35;5.39
2088;46 years;1958;414.0;10.0;18.0;30.0;356.0;411.0;9.0;18.0;28.0;356.0;3.0;1.0;0.0;2.0;0.0;5.98;0.14;0.26;0.43;5.14
2089;46 years;1959;420.0;14.0;16.0;26.0;364.0;417.0;13.0;16.0;24.0;364.0;3.0;1.0;0.0;2.0;0.0;6.05;0.2;0.23;0.38;5.25
2090;46 years;1960;386.0;16.0;14.0;23.0;333.0;385.0;15.0;14.0;23.0;333.0;1.0;1.0;0.0;0.0;0.0;5.49;0.23;0.2;0.33;4.74
2091;46 years;1961;364.0;10.0;13.0;17.0;324.0;361.0;9.0;13.0;16.0;323.0;3.0;1.0;0.0;1.0;1.0;5.5;0.15;0.2;0.26;4.9
2092;46 years;1962;330.0;9.0;14.0;20.0;287.0;328.0;8.0;13.0;20.0;287.0;2.0;1.0;1.0;0.0;0.0;4.88;0.13;0.21;0.3;4.24
2093;46 years;1963;339.0;10.0;15.0;19.0;295.0;335.0;10.0;14.0;18.0;293.0;4.0;0.0;1.0;1.0;2.0;5.07;0.15;0.22;0.28;4.41
2094;46 years;1964;295.0;10.0;12.0;19.0;254.0;294.0;10.0;12.0;19.0;253.0;1.0;0.0;0.0;0.0;1.0;4.52;0.15;0.18;0.29;3.9
2095;46 years;1965;275.0;8.0;12.0;22.0;233.0;273.0;8.0;11.0;22.0;232.0;2.0;0.0;1.0;0.0;1.0;4.14;0.12;0.18;0.33;3.51
2096;46 years;1966;283.0;10.0;17.0;27.0;229.0;280.0;10.0;17.0;26.0;227.0;3.0;0.0;0.0;1.0;2.0;3.58;0.13;0.22;0.34;2.9
2097;46 years;1967;237.0;15.0;14.0;14.0;194.0;233.0;13.0;14.0;14.0;192.0;4.0;2.0;0.0;0.0;2.0;3.06;0.19;0.18;0.18;2.51
2098;46 years;1968;219.0;10.0;10.0;21.0;178.0;216.0;10.0;10.0;20.0;176.0;3.0;0.0;0.0;1.0;2.0;2.88;0.13;0.13;0.28;2.34
2099;46 years;1969;203.0;9.0;15.0;15.0;164.0;196.0;9.0;15.0;14.0;158.0;7.0;0.0;0.0;1.0;6.0;2.59;0.12;0.19;0.19;2.09
2100;46 years;1970;174.0;11.0;10.0;14.0;139.0;171.0;11.0;9.0;14.0;137.0;3.0;0.0;1.0;0.0;2.0;2.26;0.14;0.13;0.18;1.81
2101;46 years;1971;142.0;5.0;13.0;14.0;110.0;139.0;5.0;11.0;13.0;110.0;3.0;0.0;2.0;1.0;0.0;1.89;0.07;0.17;0.19;1.46
2102;46 years;1972;74.0;3.0;6.0;5.0;60.0;72.0;3.0;6.0;4.0;59.0;2.0;0.0;0.0;1.0;1.0;0.99;0.04;0.08;0.07;0.8
2103;46 years;1973;73.0;3.0;10.0;7.0;53.0;71.0;3.0;10.0;7.0;51.0;2.0;0.0;0.0;0.0;2.0;0.99;0.04;0.14;0.09;0.72
2104;46 years;1974;53.0;4.0;3.0;4.0;42.0;53.0;4.0;3.0;4.0;42.0;0.0;0.0;0.0;0.0;0.0;0.7;0.05;0.04;0.05;0.55
2105;46 years;1975;54.0;7.0;2.0;6.0;39.0;52.0;6.0;2.0;6.0;38.0;2.0;1.0;0.0;0.0;1.0;0.71;0.09;0.03;0.08;0.52
2106;46 years;1976;49.0;1.0;7.0;1.0;40.0;47.0;1.0;6.0;1.0;39.0;2.0;0.0;1.0;0.0;1.0;0.63;0.01;0.09;0.01;0.51
2107;46 years;1977;46.0;6.0;1.0;5.0;34.0;45.0;5.0;1.0;5.0;34.0;1.0;1.0;0.0;0.0;0.0;0.6;0.08;0.01;0.07;0.45
2108;46 years;1978;51.0;8.0;4.0;5.0;34.0;50.0;8.0;4.0;4.0;34.0;1.0;0.0;0.0;1.0;0.0;0.66;0.1;0.05;0.07;0.44
2109;46 years;1979;34.0;4.0;6.0;3.0;21.0;32.0;4.0;6.0;3.0;19.0;2.0;0.0;0.0;0.0;2.0;0.46;0.05;0.08;0.04;0.28
2110;46 years;1980;44.0;3.0;5.0;3.0;33.0;41.0;3.0;5.0;3.0;30.0;3.0;0.0;0.0;0.0;3.0;0.58;0.04;0.07;0.04;0.44
2111;46 years;1981;42.0;4.0;6.0;3.0;29.0;37.0;4.0;6.0;1.0;26.0;5.0;0.0;0.0;2.0;3.0;0.56;0.05;0.08;0.04;0.39
2112;46 years;1982;43.0;1.0;3.0;7.0;32.0;40.0;1.0;2.0;5.0;32.0;3.0;0.0;1.0;2.0;0.0;0.56;0.01;0.04;0.09;0.42
2113;46 years;1983;42.0;5.0;6.0;5.0;26.0;37.0;3.0;6.0;3.0;25.0;5.0;2.0;0.0;2.0;1.0;0.55;0.07;0.08;0.07;0.34
2114;46 years;1984;35.0;1.0;1.0;3.0;30.0;35.0;1.0;1.0;3.0;30.0;0.0;0.0;0.0;0.0;0.0;0.44;0.01;0.01;0.04;0.37
2115;46 years;1985;43.0;2.0;3.0;4.0;34.0;41.0;2.0;2.0;4.0;33.0;2.0;0.0;1.0;0.0;1.0;0.53;0.02;0.04;0.05;0.42
2116;46 years;1986;57.0;5.0;1.0;3.0;48.0;54.0;4.0;1.0;3.0;46.0;3.0;1.0;0.0;0.0;2.0;0.68;0.06;0.01;0.04;0.57
2117;46 years;1987;35.0;5.0;3.0;0.0;27.0;33.0;4.0;2.0;0.0;27.0;2.0;1.0;1.0;0.0;0.0;0.43;0.06;0.04;0.0;0.33
2118;46 years;1988;49.0;2.0;3.0;4.0;40.0;46.0;1.0;3.0;4.0;38.0;3.0;1.0;0.0;0.0;2.0;0.58;0.02;0.04;0.05;0.47
2119;46 years;1989;41.0;3.0;3.0;2.0;33.0;39.0;2.0;2.0;2.0;33.0;2.0;1.0;1.0;0.0;0.0;0.45;0.03;0.03;0.02;0.36
2120;46 years;1990;46.0;5.0;5.0;6.0;30.0;38.0;1.0;3.0;5.0;29.0;8.0;4.0;2.0;1.0;1.0;0.48;0.05;0.05;0.06;0.31
2121;46 years;1991;58.0;9.0;5.0;3.0;41.0;50.0;5.0;5.0;3.0;37.0;8.0;4.0;0.0;0.0;4.0;0.63;0.1;0.05;0.03;0.45
2122;46 years;1992;50.0;5.0;6.0;8.0;31.0;41.0;2.0;5.0;4.0;30.0;9.0;3.0;1.0;4.0;1.0;0.39;0.04;0.05;0.06;0.24
2123;46 years;1993;35.0;2.0;6.0;2.0;25.0;31.0;1.0;3.0;2.0;25.0;4.0;1.0;3.0;0.0;0.0;0.28;0.02;0.05;0.02;0.2
2124;46 years;1994;54.0;7.0;9.0;11.0;27.0;46.0;1.0;9.0;10.0;26.0;8.0;6.0;0.0;1.0;1.0;0.46;0.06;0.08;0.09;0.23
2125;46 years;1995;38.0;3.0;5.0;4.0;26.0;32.0;1.0;5.0;3.0;23.0;6.0;2.0;0.0;1.0;3.0;0.34;0.03;0.04;0.04;0.23
2126;46 years;1996;38.0;6.0;7.0;4.0;21.0;34.0;3.0;7.0;4.0;20.0;4.0;3.0;0.0;0.0;1.0;0.34;0.05;0.06;0.04;0.19
2127;46 years;1997;43.0;4.0;11.0;5.0;23.0;34.0;1.0;9.0;2.0;22.0;9.0;3.0;2.0;3.0;1.0;0.39;0.04;0.1;0.05;0.21
2128;46 years;1998;40.0;9.0;3.0;7.0;21.0;34.0;5.0;2.0;7.0;20.0;6.0;4.0;1.0;0.0;1.0;0.35;0.08;0.03;0.06;0.19
2129;46 years;1999;35.0;4.0;6.0;5.0;20.0;28.0;1.0;5.0;4.0;18.0;7.0;3.0;1.0;1.0;2.0;0.31;0.04;0.05;0.04;0.18
