ID;Perioden;Aardappelen_1;Bier_2;Brood_3;Hamlappen_4;Kaas_5;Eieren_6;Koffie_7;Margarine_8;Melk_9;Riblappen_10;Rijst_11;Roomboter_12;Suiker_13;Thee_14
114;1914;;;;;0.48;;0.3;0.23;;;0.14;;0.24;0.08
115;1915;;;;;0.52;;0.31;0.24;;;0.14;;0.25;0.08
116;1916;;;;;0.5;;0.35;0.26;;;0.16;;0.26;0.09
117;1917;;;;;0.52;;0.42;0.28;;;0.16;;0.27;0.1
118;1918;;;;;0.7;;0.63;0.31;;;0.16;;0.27;0.1
119;1919;;;;;0.79;;0.59;0.34;;;0.25;;0.33;0.11
120;1920;;;;;0.88;;0.52;0.38;;;0.44;;0.47;0.11
121;1921;;;0.12;1.11;0.95;0.07;0.4;0.33;0.1;1.17;0.22;0.35;0.33;0.09
122;1922;0.05;;0.1;1.01;0.78;0.05;0.4;0.29;0.08;0.99;0.18;0.29;0.27;0.09
123;1923;0.03;;0.09;0.94;0.77;0.04;0.41;0.29;0.07;0.85;0.16;0.29;0.31;0.12
124;1924;0.05;;0.09;0.94;0.78;0.04;0.46;0.27;0.07;0.88;0.16;0.3;0.3;0.13
125;1925;0.04;;0.1;0.94;0.72;0.04;0.53;0.27;0.08;0.87;0.17;0.26;0.25;0.15
126;1926;0.04;;0.1;0.84;0.72;0.04;0.53;0.27;0.07;0.81;0.17;0.26;0.23;0.15
127;1927;0.05;;0.1;0.77;0.67;0.04;0.5;0.25;0.07;0.76;0.17;0.27;0.24;0.14
128;1928;0.05;;0.1;0.75;0.72;0.04;0.49;0.25;0.07;0.77;0.17;0.27;0.23;0.13
129;1929;0.04;;0.09;0.86;0.71;0.04;0.49;0.25;0.07;0.79;0.17;0.27;0.21;0.13
130;1930;0.04;;0.09;0.84;0.64;0.03;0.45;0.25;0.06;0.84;0.16;0.23;0.27;0.13
131;1931;0.04;;0.07;0.65;0.55;0.03;0.4;0.23;0.05;0.72;0.15;0.19;0.18;0.12
132;1932;0.04;;0.07;0.49;0.41;0.02;0.37;0.2;0.05;0.55;0.14;0.17;0.18;0.11
133;1933;0.03;;0.07;0.53;0.39;0.02;0.37;0.26;0.05;0.53;0.12;0.21;0.2;0.11
134;1934;0.03;;0.07;0.53;0.35;0.02;0.35;0.26;0.05;0.62;0.11;0.2;0.22;0.11
135;1935;0.03;;0.08;0.5;0.29;0.02;0.33;0.26;0.05;0.53;0.1;0.2;0.21;0.1
136;1936;0.02;;0.08;0.49;0.31;0.02;0.31;0.25;0.05;0.52;0.1;0.2;0.21;0.1
137;1937;0.02;;0.08;0.54;0.32;0.02;0.3;0.25;0.05;0.6;0.11;0.2;0.21;0.11
138;1938;0.03;;0.08;0.57;0.34;0.02;0.3;0.25;0.05;0.62;0.11;0.19;0.21;0.11
139;1939;0.03;;0.08;0.56;0.34;0.02;0.3;0.26;0.05;0.59;0.11;0.19;0.21;0.11
140;1940;0.03;;0.08;0.62;0.44;0.03;0.34;0.29;0.06;0.66;0.13;0.22;0.24;0.12
141;1941;0.04;;0.08;0.75;0.69;0.04;;0.3;0.07;0.74;0.15;0.28;0.25;0.13
142;1942;0.04;;;0.82;0.77;0.05;;0.31;0.08;0.73;0.15;0.29;0.25;
143;1943;0.04;;;0.82;0.77;0.05;;0.31;0.08;0.73;0.17;0.29;0.25;
144;1944;0.04;;;0.82;0.77;0.05;;0.31;0.08;0.73;0.18;0.29;0.25;
145;1945;0.05;;;0.82;0.8;0.07;0.36;0.31;0.08;0.73;0.23;0.29;0.25;
146;1946;0.05;;;1.06;0.87;0.1;0.46;0.31;0.08;0.91;0.23;0.29;0.25;0.18
147;1947;0.05;;;1.17;0.88;0.08;0.69;0.31;0.09;0.98;0.23;0.3;0.25;0.21
148;1948;0.05;;0.16;1.35;1.03;0.08;0.74;0.31;0.1;0.98;0.32;0.42;0.27;0.29
149;1949;0.05;;0.16;1.53;1.47;0.08;0.88;0.31;0.09;1.03;0.45;0.51;0.34;0.28
150;1950;0.07;;0.17;1.7;1.46;0.08;1.18;0.32;0.09;1.65;0.46;0.54;0.34;0.32
151;1951;0.07;0.37;0.19;1.96;1.56;0.08;1.74;0.45;0.1;1.75;0.49;0.52;0.4;0.26
152;1952;0.07;0.39;0.19;2.18;1.55;0.09;1.85;0.41;0.1;1.74;0.56;0.56;0.41;0.24
153;1953;0.08;0.39;0.18;2.08;1.52;0.09;1.91;0.4;0.1;1.67;0.69;0.53;0.41;0.23
154;1954;0.09;0.39;0.19;2.19;1.51;0.08;2.3;0.39;0.11;1.71;0.56;0.52;0.37;0.32
155;1955;0.08;0.39;0.19;2.18;1.55;0.09;2.06;0.36;0.13;1.68;0.46;0.55;0.36;0.36
156;1956;0.09;0.39;0.19;2.34;1.55;0.09;1.72;0.34;0.14;1.92;0.45;0.55;0.35;0.3
157;1957;0.1;0.44;0.2;2.45;1.61;0.08;1.73;0.35;0.15;1.95;0.48;0.55;0.4;0.3
158;1958;0.1;0.47;0.2;2.49;1.47;0.08;1.62;0.34;0.16;1.78;0.48;0.46;0.43;0.29
159;1959;0.11;0.47;0.2;2.6;1.58;0.08;1.5;0.35;0.16;1.88;0.47;0.53;0.44;0.29
160;1960;0.11;0.47;0.2;2.54;1.49;0.08;1.38;0.33;0.18;1.78;0.45;0.44;0.44;0.32
161;1961;0.1;0.47;0.2;2.7;1.52;0.08;1.34;0.33;0.19;1.84;0.45;0.46;0.44;0.32
162;1962;0.15;0.47;0.21;2.67;1.53;0.07;1.33;0.31;0.19;1.79;0.46;0.45;0.44;0.32
163;1963;0.11;0.47;0.23;2.94;1.59;0.09;1.33;0.32;0.2;1.81;0.46;0.49;0.45;0.32
164;1964;0.12;0.5;0.25;3.26;1.84;0.08;1.59;0.33;0.22;2.58;0.46;0.59;0.49;0.3
165;1965;0.14;0.5;0.26;3.29;1.93;0.09;1.62;0.37;0.22;2.65;0.52;0.63;0.51;0.29
166;1966;0.17;0.53;0.29;3.42;2.14;0.08;1.72;0.34;0.23;2.68;0.54;0.67;0.53;0.29
167;1967;0.14;0.53;0.31;3.62;2.32;0.08;1.63;0.34;0.24;2.7;0.61;0.74;0.55;0.3
168;1968;0.12;0.54;0.33;3.77;2.38;0.09;1.63;0.36;0.25;2.78;0.69;0.79;0.57;0.3
169;1969;0.16;0.54;0.35;4.27;2.6;0.09;1.64;0.35;0.25;3.06;0.74;0.82;0.56;0.3
170;1970;0.21;0.54;0.36;4.52;2.68;0.08;1.98;0.48;0.29;3.12;0.83;0.83;0.52;0.31
171;1971;0.15;0.58;0.39;4.52;3.18;0.09;2.01;0.52;0.31;3.24;0.9;0.86;0.56;0.32
172;1972;0.18;0.58;0.43;4.86;3.25;0.09;1.98;0.48;0.34;3.79;0.93;0.88;0.56;0.34
173;1973;0.25;0.59;0.46;5.59;3.35;0.1;2.11;0.54;0.36;4.25;0.93;0.88;0.56;0.33
174;1974;0.2;0.63;0.53;5.29;3.55;0.1;2.11;0.78;0.39;4.1;1.11;0.85;0.59;0.34
175;1975;0.27;0.67;0.59;5.55;3.96;0.1;2.03;0.68;0.43;4.37;1.09;0.94;0.7;0.36
176;1976;0.56;0.68;0.64;6.23;4.16;0.11;2.88;0.64;0.45;4.89;1.01;1.01;0.76;0.36
177;1977;0.31;0.69;0.67;6.23;4.48;0.11;4.95;0.69;0.49;5.11;1.13;1.05;0.77;0.48
178;1978;0.22;0.71;0.73;6.31;4.74;0.1;3.75;0.68;0.5;5.32;1.17;1.04;0.79;0.49
179;1979;0.33;0.73;0.75;6.32;4.73;0.1;3.26;0.7;0.5;5.51;1.16;1.04;0.81;0.48
180;1980;0.29;0.75;0.79;6.6;5.05;0.11;3.3;0.69;0.52;5.73;1.21;1.09;0.83;0.54
181;1981;0.31;0.77;0.87;6.93;5.15;0.13;2.98;0.74;0.56;6.21;1.23;1.15;0.9;0.55
182;1982;0.34;0.89;0.94;7.46;5.44;0.11;3.23;0.75;0.6;6.78;1.24;1.19;1.0;0.57
183;1983;0.37;0.92;0.95;7.33;5.54;0.12;3.26;0.79;0.6;6.9;1.28;1.26;1.04;0.61
184;1984;0.47;0.9;0.98;7.12;5.67;0.13;3.88;1.17;0.58;6.85;1.41;1.15;1.05;0.82
185;1985;0.28;0.91;0.98;7.24;5.8;0.12;3.92;1.12;0.59;6.9;1.54;1.09;1.06;0.79
186;1986;0.28;0.91;0.98;7.23;5.79;0.11;4.14;0.89;0.6;6.92;1.62;1.12;1.06;0.66
187;1987;0.29;0.91;0.99;6.87;5.94;0.11;2.7;0.81;0.59;6.82;1.59;1.12;1.06;0.63
188;1988;0.29;0.9;1.01;6.68;6.22;0.11;2.65;0.8;0.61;6.82;1.7;1.11;1.06;0.63
189;1989;0.35;1.02;1.0;7.1;6.39;0.11;2.72;0.83;0.63;7.07;1.69;1.14;0.93;0.63
190;1990;0.36;1.05;1.02;7.51;6.43;0.11;2.25;0.85;0.62;7.42;1.72;1.11;0.92;0.68
191;1991;0.4;1.1;1.04;7.52;6.46;0.11;2.25;0.92;0.62;7.5;1.74;1.1;0.92;0.68
192;1992;0.34;1.13;1.09;7.81;6.51;0.11;2.25;0.96;0.64;7.75;1.74;1.12;0.93;0.69
193;1993;0.32;1.18;1.12;7.51;6.61;0.12;2.27;0.98;0.66;7.77;1.72;1.09;0.89;0.7
194;1994;0.39;1.16;1.11;7.4;6.6;0.12;3.0;1.14;0.65;8.94;1.87;1.06;0.88;0.69
195;1995;0.47;1.19;1.1;7.33;6.52;0.11;3.35;1.04;0.65;8.71;2.12;1.04;0.86;0.7
196;1996;0.38;1.19;1.11;7.47;6.53;0.13;2.89;1.03;0.66;8.59;2.11;1.03;0.85;0.69
197;1997;0.35;1.18;1.09;7.99;6.59;0.13;3.43;1.03;0.67;8.57;2.09;1.05;0.86;0.73
198;1998;0.48;1.17;1.12;8.06;6.83;0.11;3.45;1.05;0.69;8.56;2.09;1.09;0.85;0.78
199;1999;0.51;1.18;1.14;7.82;6.92;0.11;3.02;1.06;0.69;8.79;2.05;1.08;0.87;0.77
200;2000;0.63;1.17;1.29;7.63;7.01;1.4;6.16;0.64;0.51;8.65;2.12;1.09;0.88;1.02
201;2001;0.75;1.29;1.34;8.81;7.34;1.4;5.96;0.69;0.57;9.27;2.21;1.11;0.89;1.1
202;2002;0.87;1.38;1.38;8.12;7.58;1.4;5.76;0.72;0.61;9.4;2.27;1.12;0.88;1.15
203;2003;0.79;1.43;1.39;8.0;7.67;1.9;5.54;0.76;0.62;9.01;2.27;1.09;0.85;1.12
204;2004;0.73;1.29;1.41;7.75;7.34;1.6;4.94;0.73;0.6;8.59;1.81;1.05;0.82;0.97
