ID;Vakantiekenmerken;Perioden;Totaal_1;Auto_2;TreinAutoslaaptrein_3;Touringcar_4;Vliegtuig_5;OverigeVervoermiddelen_6;GeorganiseerdeReisPerAuto_7;GeorganiseerdeReisPerTouringcar_8;GeorganiseerdeReisPerVliegtuig_9;GeorganiseerdeReisMetOverigVervoer_10;NietGeorganiseerdeReizen_11
549;54;2011;266.0;228.0;0.0;0.0;37.0;0.0;60.0;0.0;37.0;0.0;168.0
550;54;2012;325.0;283.0;0.0;0.0;41.0;0.0;59.0;0.0;41.0;0.0;224.0
551;54;2013;311.0;292.0;0.0;0.0;19.0;0.0;44.0;0.0;19.0;0.0;247.0
552;54;2014;326.0;273.0;0.0;0.0;54.0;0.0;57.0;0.0;54.0;0.0;216.0
553;54;2015;301.0;280.0;0.0;0.0;22.0;0.0;35.0;0.0;22.0;0.0;244.0
554;54;2016;332.0;285.0;0.0;0.0;47.0;0.0;0.0;0.0;47.0;0.0;250.0
555;55;2002;100.0;5.0;7.0;12.0;36.0;41.0;2.0;12.0;36.0;43.0;7.0
556;55;2003;130.0;46.0;2.0;4.0;35.0;42.0;36.0;4.0;35.0;37.0;17.0
557;55;2004;126.0;6.0;1.0;8.0;75.0;34.0;2.0;8.0;75.0;36.0;4.0
558;55;2005;117.0;2.0;1.0;8.0;71.0;36.0;1.0;8.0;71.0;33.0;4.0
559;55;2006;110.0;0.0;2.0;9.0;65.0;35.0;0.0;9.0;65.0;30.0;8.0
560;55;2007;87.0;8.0;0.0;5.0;46.0;28.0;4.0;5.0;46.0;28.0;4.0
561;55;2008;158.0;7.0;0.0;11.0;67.0;73.0;3.0;11.0;67.0;73.0;4.0
562;55;2009;149.0;8.0;2.0;0.0;93.0;45.0;5.0;0.0;93.0;44.0;7.0
563;55;2010;160.0;10.0;1.0;7.0;68.0;74.0;8.0;7.0;68.0;72.0;5.0
564;55;2011;178.0;7.0;0.0;3.0;69.0;99.0;2.0;3.0;69.0;94.0;10.0
565;55;2012;227.0;1.0;0.0;8.0;114.0;104.0;0.0;8.0;114.0;102.0;4.0
