ID;Geslacht;Perioden;Totaal_1;HuwendePersonen_2;PersonenDieEenPartnerschapSluiten_3;Totaal_4;NaHuwelijkGescheidenPersonen_5;NaPartnerschapGescheidenPersonen_6;NaHuwelijkVerweduwdePersonen_7;NaPartnerschapVerweduwdePersonen_8
345;Mannen;2021 juni;8427;6027;2400;3963;2083;193;1645;42
346;Mannen;2021 juli;8652;6346;2306;4018;2131;253;1603;31
347;Mannen;2021 augustus;9197;6949;2248;3837;1892;223;1684;38
348;Mannen;2021 september;10175;8026;2149;3730;1804;191;1711;24
349;Mannen;2021 oktober;6736;4643;2093;3860;1729;177;1924;30
350;Mannen;2021 november;5560;3358;2202;4169;1815;217;2105;32
351;Mannen;2021 december;5216;3148;2068;4416;1954;247;2177;38
352;Mannen;2021;80270;54326;25944;49249;24236;2612;22022;379
353;Mannen;2022 januari;3971;2143;1828;3984;1896;183;1876;29
354;Mannen;2022 februari;6104;4089;2015;3800;1803;253;1706;38
355;Mannen;2022 maart;5437;3363;2074;4347;2102;259;1949;37
356;Mannen;2022 april;6777;4909;1868;3871;1747;219;1882;23
357;Mannen;2022 mei;10330;8189;2141;3957;1852;276;1804;25
358;Mannen;2022 juni;11346;9351;1995;3756;1713;228;1775;40
359;Mannen;2022 juli;10241;8224;2017;3892;1844;233;1786;29
360;Mannen;2022 augustus;9539;7432;2107;3946;1879;252;1772;43
361;Mannen;2022 september;10936;8962;1974;3668;1639;235;1748;46
362;Mannen;2022 oktober;6670;4613;2057;3789;1611;267;1877;34
363;Mannen;2022 november;5681;3624;2057;4287;2029;318;1912;28
364;Mannen;2022 december;5049;3226;1823;4302;1848;294;2121;39
365;Mannen;2022;92081;68125;23956;47599;21963;3017;22208;411
366;Mannen;2023 januari;4817;2903;1914;4522;2110;267;2095;50
367;Mannen;2023 februari;4665;2868;1797;3796;1743;248;1767;38
368;Mannen;2023 maart;5873;3920;1953;4447;2130;301;1967;49
369;Mannen;2023 april;5769;4072;1697;3665;1616;242;1769;38
370;Mannen;2023 mei;9502;7558;1944;3974;1861;312;1759;42
371;Mannen;2023 juni;11907;9975;1932;4014;1962;279;1743;30
372;Mannen;2023 juli;9172;7185;1987;3971;1999;285;1654;33
373;Mannen;2023 augustus;8706;6744;1962;4013;1952;329;1698;34
374;Mannen;2023 september;10887;9001;1886;3681;1726;246;1679;30
375;Mannen;2023 oktober;7048;4917;2131;4014;1812;296;1876;30
376;Mannen;2023 november;5135;3189;1946;4185;1939;305;1897;44
377;Mannen;2023 december;4876;3154;1722;4212;1800;328;2047;37
378;Mannen;2023;88357;65486;22871;48494;22650;3438;21951;455
379;Mannen;2024 januari;4535;2613;1922;4654;2120;364;2144;26
380;Mannen;2024 februari;4843;2930;1913;4397;1934;342;2087;34
381;Mannen;2024 maart;4953;3080;1873;4305;1900;341;2021;43
382;Mannen;2024 april;7385;5273;2112;4075;1821;311;1904;39
383;Mannen;2024 mei;9654;7795;1859;4043;1779;339;1876;49
384;Mannen;2024 juni;10842;9026;1816;4050;1913;294;1812;31
385;Mannen;2024 juli;9099;6734;2365;4215;2075;342;1756;42
386;Mannen;2024 augustus;9381;7385;1996;4159;1937;342;1841;39
387;Mannen;2024 september;10335;8344;1991;3906;1731;285;1841;49
388;Mannen;2024 oktober;7268;4942;2326;4280;1952;315;1972;41
389;Mannen;2024 november;5521;3409;2112;4010;1845;348;1790;27
390;Mannen;2024 december;5962;3651;2311;4170;1877;312;1941;40
391;Mannen;2024;89778;65182;24596;50264;22884;3935;22985;460
392;Mannen;2025 januari;4947;2931;2016;4588;1998;374;2173;43
393;Mannen;2025 februari;5212;3156;2056;4463;2013;313;2094;43
394;Vrouwen;2010 januari;3161;2442;719;6315;2729;82;3489;15
395;Vrouwen;2010 februari;3544;2803;741;5515;2357;71;3069;18
396;Vrouwen;2010 maart;4384;3501;883;6366;2920;135;3290;21
397;Vrouwen;2010 april;6059;5337;722;5866;2593;86;3173;14
398;Vrouwen;2010 mei;9688;8944;744;5449;2244;71;3113;21
399;Vrouwen;2010 juni;10163;9391;772;5988;2842;106;3020;20
400;Vrouwen;2010 juli;7997;7219;778;5722;2613;87;3001;21
401;Vrouwen;2010 augustus;8220;7439;781;5735;2630;123;2961;21
402;Vrouwen;2010 september;11135;10330;805;5796;2702;98;2973;23
403;Vrouwen;2010 oktober;7106;6308;798;5897;2614;89;3173;21
404;Vrouwen;2010 november;4292;3360;932;5727;2530;102;3080;15
405;Vrouwen;2010 december;4361;3470;891;6508;2848;130;3512;18
406;Vrouwen;2010;80110;70544;9566;70884;31622;1180;37854;228
407;Vrouwen;2011 januari;3119;2393;726;6171;2799;89;3263;20
408;Vrouwen;2011 februari;3610;2817;793;5717;2627;101;2967;22
409;Vrouwen;2011 maart;3822;3022;800;6276;2948;124;3185;19
410;Vrouwen;2011 april;5465;4743;722;5665;2458;96;3086;25
411;Vrouwen;2011 mei;9308;8403;905;5902;2733;123;3026;20
412;Vrouwen;2011 juni;10371;9680;691;5459;2479;101;2859;20
413;Vrouwen;2011 juli;8470;7676;794;5768;2619;108;3018;23
414;Vrouwen;2011 augustus;7698;6782;916;5991;2881;100;2995;15
415;Vrouwen;2011 september;10249;9478;771;5626;2616;90;2892;28
416;Vrouwen;2011 oktober;5459;4599;860;5374;2286;84;2987;17
417;Vrouwen;2011 november;5760;4771;989;5901;2648;119;3112;22
418;Vrouwen;2011 december;4205;3246;959;5943;2526;112;3280;25
419;Vrouwen;2011;77536;67610;9926;69793;31620;1247;36670;256
420;Vrouwen;2012 januari;3075;2321;754;6137;2729;118;3266;24
421;Vrouwen;2012 februari;3392;2616;776;6036;2601;111;3303;21
422;Vrouwen;2012 maart;3819;3113;706;6227;2663;131;3405;28
423;Vrouwen;2012 april;5781;5137;644;5672;2339;105;3207;21
424;Vrouwen;2012 mei;9093;8235;858;5840;2540;123;3162;15
425;Vrouwen;2012 juni;11086;10313;773;5928;2788;133;2982;25
426;Vrouwen;2012 juli;6719;5970;749;6063;2907;128;3000;28
427;Vrouwen;2012 augustus;7658;6946;712;6162;3084;100;2963;15
428;Vrouwen;2012 september;9276;8669;607;5679;2562;136;2959;22
429;Vrouwen;2012 oktober;5629;4703;926;6002;2737;140;3101;24
430;Vrouwen;2012 november;4122;3299;823;6242;2910;110;3201;21
431;Vrouwen;2012 december;5944;5087;857;6026;2502;126;3372;26
432;Vrouwen;2012;75594;66409;9185;72014;32362;1461;37921;270
433;Vrouwen;2013 januari;2875;2100;775;6491;2770;164;3525;32
434;Vrouwen;2013 februari;2983;2240;743;6178;2760;104;3286;28
435;Vrouwen;2013 maart;3985;3285;700;6573;2839;112;3586;36
436;Vrouwen;2013 april;5191;4456;735;5929;2510;134;3253;32
437;Vrouwen;2013 mei;8727;8017;710;5844;2636;123;3060;25
438;Vrouwen;2013 juni;9305;8537;768;5498;2422;117;2928;31
439;Vrouwen;2013 juli;6344;5528;816;6226;3018;179;2998;31
440;Vrouwen;2013 augustus;8017;7286;731;6059;2995;150;2888;26
441;Vrouwen;2013 september;9109;8252;857;5627;2645;121;2841;20
442;Vrouwen;2013 oktober;5025;4178;847;6256;2897;132;3193;34
443;Vrouwen;2013 november;3561;2764;797;5720;2474;127;3100;19
444;Vrouwen;2013 december;4481;3608;873;6076;2683;125;3239;29
445;Vrouwen;2013;69603;60251;9352;72477;32649;1588;37897;343
446;Vrouwen;2014 januari;2818;2106;712;6453;3010;124;3291;28
447;Vrouwen;2014 februari;3470;2739;731;5808;2684;137;2955;32
448;Vrouwen;2014 maart;3555;2752;803;6298;2952;148;3164;34
449;Vrouwen;2014 april;5634;4875;759;5996;2830;148;2992;26
450;Vrouwen;2014 mei;8607;7932;675;5797;2592;112;3073;20
451;Vrouwen;2014 juni;9164;8381;783;5844;2884;167;2760;33
452;Vrouwen;2014 juli;7421;6556;865;6434;3126;165;3112;31
453;Vrouwen;2014 augustus;8336;7483;853;5974;2792;173;2976;33
454;Vrouwen;2014 september;9034;8047;987;6049;2929;153;2943;24
455;Vrouwen;2014 oktober;5567;4535;1032;6223;2949;166;3077;31
456;Vrouwen;2014 november;3770;2802;968;5968;2660;179;3111;18
457;Vrouwen;2014 december;4346;3195;1151;6688;2996;156;3503;33
458;Vrouwen;2014;71722;61403;10319;73532;34404;1828;36957;343
459;Vrouwen;2015 januari;2885;2029;856;6631;2716;141;3731;43
460;Vrouwen;2015 februari;3178;2311;867;6250;2722;129;3366;33
461;Vrouwen;2015 maart;4025;2957;1068;6715;3046;193;3447;29
462;Vrouwen;2015 april;4709;3826;883;6059;2767;158;3102;32
463;Vrouwen;2015 mei;9836;8997;839;5663;2390;139;3108;26
464;Vrouwen;2015 juni;9556;8350;1206;6153;2921;164;3045;23
465;Vrouwen;2015 juli;7351;6222;1129;6576;3263;194;3095;24
466;Vrouwen;2015 augustus;8042;6939;1103;6043;2844;143;3018;38
467;Vrouwen;2015 september;9559;8448;1111;5840;2683;159;2967;31
468;Vrouwen;2015 oktober;5801;4675;1126;6068;2649;159;3232;28
469;Vrouwen;2015 november;3989;2771;1218;5910;2616;150;3117;27
470;Vrouwen;2015 december;4261;2915;1346;6200;2708;215;3248;29
471;Vrouwen;2015;73192;60440;12752;74108;33325;1944;38476;363
472;Vrouwen;2016 januari;3108;2041;1067;6700;2862;154;3656;28
473;Vrouwen;2016 februari;3799;2567;1232;6238;2728;148;3323;39
474;Vrouwen;2016 maart;3958;2802;1156;6547;2854;157;3503;33
475;Vrouwen;2016 april;5986;4785;1201;6087;2734;161;3164;28
476;Vrouwen;2016 mei;7967;6670;1297;6023;2671;154;3159;39
477;Vrouwen;2016 juni;10876;9555;1321;5955;2828;163;2931;33
478;Vrouwen;2016 juli;8506;7154;1352;5981;2737;182;3029;33
479;Vrouwen;2016 augustus;8219;6748;1471;5971;2729;162;3049;31
480;Vrouwen;2016 september;10213;8955;1258;5830;2632;153;3002;43
481;Vrouwen;2016 oktober;5889;4404;1485;5687;2302;150;3196;39
482;Vrouwen;2016 november;4247;2802;1445;6092;2673;174;3211;34
483;Vrouwen;2016 december;4242;2858;1384;6463;2722;196;3501;44
484;Vrouwen;2016;77010;61341;15669;73574;32472;1954;38724;424
485;Vrouwen;2017 januari;3835;2378;1457;6998;2897;163;3903;35
486;Vrouwen;2017 februari;3781;2411;1370;6324;2645;182;3457;40
487;Vrouwen;2017 maart;4436;2965;1471;6577;2955;202;3388;32
488;Vrouwen;2017 april;5262;3993;1269;5534;2254;163;3089;28
489;Vrouwen;2017 mei;8183;6599;1584;6034;2675;194;3130;35
490;Vrouwen;2017 juni;9169;7882;1287;5939;2748;207;2956;28
491;Vrouwen;2017 juli;10015;8508;1507;6064;2802;183;3040;39
492;Vrouwen;2017 augustus;7756;6179;1577;6123;2845;209;3033;36
493;Vrouwen;2017 september;10837;9452;1385;5596;2298;197;3059;42
494;Vrouwen;2017 oktober;6144;4414;1730;5975;2563;186;3186;40
495;Vrouwen;2017 november;4363;2807;1556;6216;2774;219;3181;42
496;Vrouwen;2017 december;4542;2917;1625;6007;2343;179;3442;43
497;Vrouwen;2017;78323;60505;17818;73387;31799;2284;38864;440
498;Vrouwen;2018 januari;4002;2341;1661;6769;2807;175;3733;54
499;Vrouwen;2018 februari;3913;2379;1534;6340;2533;178;3586;43
500;Vrouwen;2018 maart;4341;2795;1546;7018;2672;217;4082;47
501;Vrouwen;2018 april;5699;4105;1594;5879;2494;208;3137;40
502;Vrouwen;2018 mei;8180;6594;1586;5990;2617;206;3134;33
503;Vrouwen;2018 juni;10338;8715;1623;5536;2349;211;2939;37
504;Vrouwen;2018 juli;7975;6181;1794;5904;2567;230;3067;40
505;Vrouwen;2018 augustus;10221;8600;1621;5793;2426;201;3121;45
506;Vrouwen;2018 september;9858;8309;1549;5435;2254;168;2985;28
507;Vrouwen;2018 oktober;6542;4556;1986;5852;2367;225;3222;38
508;Vrouwen;2018 november;4417;2742;1675;5983;2574;208;3166;35
509;Vrouwen;2018 december;4257;2690;1567;5756;2157;233;3323;43
510;Vrouwen;2018;79743;60007;19736;72255;29817;2460;39495;483
511;Vrouwen;2019 januari;4051;2351;1700;6646;2774;232;3597;43
512;Vrouwen;2019 februari;4093;2416;1677;5880;2359;214;3270;37
513;Vrouwen;2019 maart;4518;2875;1643;6435;2520;217;3653;45
514;Vrouwen;2019 april;5930;4039;1891;6011;2465;232;3260;54
515;Vrouwen;2019 mei;9147;7279;1868;6006;2596;217;3152;41
516;Vrouwen;2019 juni;9606;7990;1616;5587;2257;259;3036;35
517;Vrouwen;2019 juli;8343;6296;2047;6155;2692;246;3174;43
518;Vrouwen;2019 augustus;8449;6655;1794;5633;2352;199;3043;39
519;Vrouwen;2019 september;10370;8587;1783;5320;2071;213;3009;27
520;Vrouwen;2019 oktober;6491;4478;2013;6118;2416;270;3389;43
521;Vrouwen;2019 november;4698;2866;1832;5914;2323;201;3344;46
522;Vrouwen;2019 december;4819;2929;1890;6067;2312;256;3446;53
523;Vrouwen;2019;80515;58761;21754;71772;29137;2756;39373;506
524;Vrouwen;2020 januari;4133;2416;1717;6563;2618;232;3665;48
525;Vrouwen;2020 februari;5288;3476;1812;5828;2313;208;3260;47
526;Vrouwen;2020 maart;4517;2569;1948;7073;2358;249;4407;59
527;Vrouwen;2020 april;3607;2184;1423;7303;2099;219;4919;66
528;Vrouwen;2020 mei;4470;2872;1598;5882;2301;244;3293;44
529;Vrouwen;2020 juni;6481;4372;2109;5984;2600;273;3069;42
530;Vrouwen;2020 juli;7512;5196;2316;6042;2715;292;2995;40
531;Vrouwen;2020 augustus;8544;6240;2304;5727;2320;226;3124;57
532;Vrouwen;2020 september;9346;7174;2172;5556;2199;215;3094;48
533;Vrouwen;2020 oktober;6992;4857;2135;6297;2078;223;3935;61
534;Vrouwen;2020 november;4974;2737;2237;6582;2238;203;4094;47
535;Vrouwen;2020 december;5305;2986;2319;7158;2393;251;4460;54
536;Vrouwen;2020;71169;47079;24090;75995;28232;2835;44315;613
537;Vrouwen;2021 januari;3973;1995;1978;7129;2363;234;4467;65
538;Vrouwen;2021 februari;4477;2460;2017;6104;2185;219;3639;61
539;Vrouwen;2021 maart;5313;2886;2427;6603;2566;258;3729;50
540;Vrouwen;2021 april;4973;3030;1943;6160;2119;235;3753;53
541;Vrouwen;2021 mei;6967;4787;2180;5789;2026;205;3518;40
542;Vrouwen;2021 juni;8324;5894;2430;5564;2154;202;3164;44
543;Vrouwen;2021 juli;8579;6266;2313;5793;2207;245;3278;63
544;Vrouwen;2021 augustus;9160;6872;2288;5580;1959;225;3336;60
545;Vrouwen;2021 september;10026;7884;2142;5349;1879;194;3221;55
546;Vrouwen;2021 oktober;6609;4508;2101;5702;1793;185;3670;54
547;Vrouwen;2021 november;5421;3224;2197;6561;1861;227;4415;58
548;Vrouwen;2021 december;5013;2928;2085;7072;2015;256;4738;63
549;Vrouwen;2021;78835;52734;26101;73406;25127;2685;44928;666
550;Vrouwen;2022 januari;3757;1942;1815;5883;1982;196;3647;58
551;Vrouwen;2022 februari;5908;3885;2023;5578;1860;265;3405;48
552;Vrouwen;2022 maart;5257;3154;2103;6307;2135;272;3843;57
553;Vrouwen;2022 april;6698;4820;1878;5638;1796;226;3571;45
554;Vrouwen;2022 mei;10178;7987;2191;5645;1942;294;3370;39
555;Vrouwen;2022 juni;11171;9197;1974;5361;1795;243;3266;57
556;Vrouwen;2022 juli;10039;8015;2024;5611;1956;248;3354;53
557;Vrouwen;2022 augustus;9341;7214;2127;5527;1941;269;3257;60
558;Vrouwen;2022 september;10785;8818;1967;5243;1719;239;3214;71
559;Vrouwen;2022 oktober;6516;4476;2040;5710;1679;274;3693;64
560;Vrouwen;2022 november;5434;3367;2067;5873;2057;321;3437;58
561;Vrouwen;2022 december;4825;3006;1819;6631;1892;305;4362;72
562;Vrouwen;2022;89909;65881;24028;69007;22754;3152;42419;682
563;Vrouwen;2023 januari;4482;2569;1913;6532;2170;280;4021;61
564;Vrouwen;2023 februari;4447;2645;1802;5507;1792;254;3408;53
565;Vrouwen;2023 maart;5673;3709;1964;6495;2190;309;3913;83
566;Vrouwen;2023 april;5631;3914;1717;5349;1676;256;3369;48
567;Vrouwen;2023 mei;9284;7300;1984;5640;1975;329;3281;55
568;Vrouwen;2023 juni;11741;9815;1926;5648;2033;303;3263;49
569;Vrouwen;2023 juli;8869;6917;1952;5557;2071;289;3134;63
570;Vrouwen;2023 augustus;8508;6529;1979;5663;2050;346;3199;68
571;Vrouwen;2023 september;10592;8722;1870;5340;1774;262;3244;60
572;Vrouwen;2023 oktober;6807;4673;2134;5796;1878;308;3538;72
573;Vrouwen;2023 november;4954;3001;1953;5986;2032;311;3579;64
574;Vrouwen;2023 december;4632;2903;1729;6270;1864;329;4008;69
575;Vrouwen;2023;85620;62697;22923;69783;23505;3576;41957;745
576;Vrouwen;2024 januari;4452;2496;1956;6883;2212;378;4220;73
577;Vrouwen;2024 februari;4679;2800;1879;6158;2015;352;3710;81
578;Vrouwen;2024 maart;4742;2861;1881;6221;1967;342;3841;71
579;Vrouwen;2024 april;7280;5171;2109;5928;1872;313;3668;75
580;Vrouwen;2024 mei;9460;7611;1849;5661;1814;348;3422;77
581;Vrouwen;2024 juni;10656;8840;1816;5592;1974;302;3249;67
582;Vrouwen;2024 juli;8915;6554;2361;5899;2142;361;3327;69
583;Vrouwen;2024 augustus;9124;7103;2021;5781;2042;329;3338;72
584;Vrouwen;2024 september;10118;8120;1998;5504;1787;292;3357;68
585;Vrouwen;2024 oktober;7112;4789;2323;6062;2046;326;3611;79
586;Vrouwen;2024 november;5292;3150;2142;6045;1924;362;3668;91
587;Vrouwen;2024 december;5738;3436;2302;6126;1969;312;3775;70
588;Vrouwen;2024;87568;62931;24637;71860;23764;4017;43186;893
589;Vrouwen;2025 januari;4672;2626;2046;6795;2081;377;4251;86
590;Vrouwen;2025 februari;4988;2941;2047;6336;2082;329;3845;80
