ID;CharacteristicsOfHouseholds;Periods;NetWorth_1;Total_2;CurrencyAndDeposits_3;DebtSecurities_4;Loans_5;EquityInvestmentFundSharesOrUnits_6;InsurancePensionAndGuaranteeSchemes_7;FinDerivativesEmployeeStockOptions_8;OtherAccountsReceivablePayable_9;Total_10;Loans_11;FinDerivativesEmployeeStockOptions_12;OtherLiabilities_13;Total_14;Dwellings_15;LandUnderlyingDwellings_16;OtherNonFinancialAssets_17;NetWorth_18;Total_19;CurrencyAndDeposits_20;DebtSecurities_21;Loans_22;EquityInvestmentFundSharesOrUnits_23;InsurancePensionAndGuaranteeSchemes_24;FinDerivativesEmployeeStockOptions_25;OtherAccountsReceivablePayable_26;Total_27;Loans_28;FinDerivativesEmployeeStockOptions_29;OtherLiabilities_30;Total_31;Dwellings_32;LandUnderlyingDwellings_33;OtherNonFinancialAssets_34;NetWorth_35;Total_36;CurrencyAndDeposits_37;DebtSecurities_38;Loans_39;EquityInvestmentFundSharesOrUnits_40;InsurancePensionAndGuaranteeSchemes_41;FinDerivativesEmployeeStockOptions_42;OtherAccountsReceivablePayable_43;Total_44;Loans_45;FinDerivativesEmployeeStockOptions_46;OtherLiabilities_47;Total_48;Dwellings_49;LandUnderlyingDwellings_50;OtherNonFinancialAssets_51;NetWorth_52;Total_53;CurrencyAndDeposits_54;DebtSecurities_55;Loans_56;EquityInvestmentFundSharesOrUnits_57;InsurancePensionAndGuaranteeSchemes_58;FinDerivativesEmployeeStockOptions_59;OtherAccountsReceivablePayable_60;Total_61;Loans_62;FinDerivativesEmployeeStockOptions_63;OtherLiabilities_64;Total_65;Dwellings_66;LandUnderlyingDwellings_67;OtherNonFinancialAssets_68
45;Type: Single man;2018;328201;244640;42864;542;956;38038;157205;53;4982;76320;73239;9;3072;159881;63054;73945;22882;229.0;170.7;29.9;0.4;0.7;26.5;109.7;0.0;3.5;53.3;51.1;0.0;2.1;111.6;44.0;51.6;16.0;229.0;170.7;29.9;0.4;0.7;26.5;109.7;0.0;3.5;53.3;51.1;0.0;2.1;111.6;44.0;51.6;16.0;100;74.5;13.1;0.2;0.3;11.6;47.9;0.0;1.5;23.3;22.3;0.0;0.9;48.7;19.2;22.5;7.0
46;Type: Single man;2019;349549;249646;44477;480;1013;36779;161781;53;5063;77442;74312;5;3125;177345;68180;85142;24023;240.4;171.7;30.6;0.3;0.7;25.3;111.3;0.0;3.5;53.3;51.1;0.0;2.1;122.0;46.9;58.5;16.5;240.4;171.7;30.6;0.3;0.7;25.3;111.3;0.0;3.5;53.3;51.1;0.0;2.1;122.0;46.9;58.5;16.5;100;71.4;12.7;0.1;0.3;10.5;46.3;0.0;1.4;22.2;21.3;0.0;0.9;50.7;19.5;24.4;6.9
47;Type: Single man;2020;397722;284265;47882;488;999;40340;189056;50;5450;79674;76041;6;3627;193131;74155;93915;25061;267.9;191.5;32.3;0.3;0.7;27.2;127.3;0.0;3.7;53.7;51.2;0.0;2.4;130.1;49.9;63.3;16.9;267.9;191.5;32.3;0.3;0.7;27.2;127.3;0.0;3.7;53.7;51.2;0.0;2.4;130.1;49.9;63.3;16.9;100;71.5;12.0;0.1;0.3;10.1;47.5;0.0;1.4;20.0;19.1;0.0;0.9;48.6;18.6;23.6;6.3
48;Type: Single man;2021;438408;309053;51888;463;1038;42569;207292;41;5762;80780;77099;4;3677;210135;80162;103826;26147;294.0;207.3;34.8;0.3;0.7;28.5;139.0;0.0;3.9;54.2;51.7;0.0;2.5;140.9;53.8;69.6;17.5;294.0;207.3;34.8;0.3;0.7;28.5;139.0;0.0;3.9;54.2;51.7;0.0;2.5;140.9;53.8;69.6;17.5;100;70.5;11.8;0.1;0.2;9.7;47.3;0.0;1.3;18.4;17.6;0.0;0.8;47.9;18.3;23.7;6.0
49;Type: Single woman;2015;311410;251460;52492;1101;1353;22274;169843;95;4302;48169;46178;94;1897;108119;57949;46822;3348;210.3;169.8;35.5;0.7;0.9;15.0;114.7;0.1;2.9;32.5;31.2;0.1;1.3;73.0;39.1;31.6;2.3;210.3;169.8;35.5;0.7;0.9;15.0;114.7;0.1;2.9;32.5;31.2;0.1;1.3;73.0;39.1;31.6;2.3;100;80.7;16.9;0.4;0.4;7.2;54.5;0.0;1.4;15.5;14.8;0.0;0.6;34.7;18.6;15.0;1.1
50;Type: Single woman;2016;327054;262258;52689;835;1358;23455;179494;99;4328;48976;47012;86;1878;113772;57491;52714;3567;219.3;175.8;35.3;0.6;0.9;15.7;120.3;0.1;2.9;32.8;31.5;0.1;1.3;76.3;38.5;35.3;2.4;219.3;175.8;35.3;0.6;0.9;15.7;120.3;0.1;2.9;32.8;31.5;0.1;1.3;76.3;38.5;35.3;2.4;100;80.2;16.1;0.3;0.4;7.2;54.9;0.0;1.3;15.0;14.4;0.0;0.6;34.8;17.6;16.1;1.1
51;Type: Single woman;2017;349344;272402;53024;704;1315;26960;186530;90;3779;49466;47622;77;1767;126408;58310;59860;8238;230.8;180.0;35.0;0.5;0.9;17.8;123.2;0.1;2.5;32.7;31.5;0.1;1.2;83.5;38.5;39.5;5.4;230.8;180.0;35.0;0.5;0.9;17.8;123.2;0.1;2.5;32.7;31.5;0.1;1.2;83.5;38.5;39.5;5.4;100;78.0;15.2;0.2;0.4;7.7;53.4;0.0;1.1;14.2;13.6;0.0;0.5;36.2;16.7;17.1;2.4
52;Type: Single woman;2018;364823;275692;54318;622;1279;24612;191123;31;3707;50458;48603;10;1845;139589;60216;70617;8756;239.1;180.7;35.6;0.4;0.8;16.1;125.3;0.0;2.4;33.1;31.9;0.0;1.2;91.5;39.5;46.3;5.7;239.1;180.7;35.6;0.4;0.8;16.1;125.3;0.0;2.4;33.1;31.9;0.0;1.2;91.5;39.5;46.3;5.7;100;75.6;14.9;0.2;0.4;6.7;52.4;0.0;1.0;13.8;13.3;0.0;0.5;38.3;16.5;19.4;2.4
53;Type: Single woman;2019;378272;276504;56380;556;1342;23096;191438;30;3662;51535;49697;6;1832;153303;64072;80011;9220;245.6;179.5;36.6;0.4;0.9;15.0;124.3;0.0;2.4;33.5;32.3;0.0;1.2;99.5;41.6;51.9;6.0;245.6;179.5;36.6;0.4;0.9;15.0;124.3;0.0;2.4;33.5;32.3;0.0;1.2;99.5;41.6;51.9;6.0;100;73.1;14.9;0.1;0.4;6.1;50.6;0.0;1.0;13.6;13.1;0.0;0.5;40.5;16.9;21.2;2.4
54;Type: Single woman;2020;432050;317258;59266;554;1307;29897;222415;30;3789;53655;51483;7;2165;168447;70200;88905;9342;276.6;203.1;37.9;0.4;0.8;19.1;142.4;0.0;2.4;34.4;33.0;0.0;1.4;107.8;44.9;56.9;6.0;276.6;203.1;37.9;0.4;0.8;19.1;142.4;0.0;2.4;34.4;33.0;0.0;1.4;107.8;44.9;56.9;6.0;100;73.4;13.7;0.1;0.3;6.9;51.5;0.0;0.9;12.4;11.9;0.0;0.5;39.0;16.2;20.6;2.2
55;Type: Single woman;2021;469321;339109;64776;509;1358;30760;237604;25;4077;55016;52805;4;2207;185228;76426;98987;9815;299.8;216.7;41.4;0.3;0.9;19.7;151.8;0.0;2.6;35.2;33.7;0.0;1.4;118.3;48.8;63.2;6.3;299.8;216.7;41.4;0.3;0.9;19.7;151.8;0.0;2.6;35.2;33.7;0.0;1.4;118.3;48.8;63.2;6.3;100;72.3;13.8;0.1;0.3;6.6;50.6;0.0;0.9;11.7;11.3;0.0;0.5;39.5;16.3;21.1;2.1
56;Type: One-parent family;2015;100065;82729;16343;210;374;8065;54981;39;2717;38494;37071;18;1405;55830;27032;21841;6957;191.1;158.0;31.2;0.4;0.7;15.4;105.0;0.1;5.2;73.5;70.8;0.0;2.7;106.6;51.6;41.7;13.3;117.8;97.4;19.2;0.2;0.4;9.5;64.7;0.0;3.2;45.3;43.6;0.0;1.7;65.7;31.8;25.7;8.2;100;82.7;16.3;0.2;0.4;8.1;54.9;0.0;2.7;38.5;37.0;0.0;1.4;55.8;27.0;21.8;7.0
57;Type: One-parent family;2016;104720;85651;16064;158;365;8136;58165;37;2726;38799;37366;16;1417;57868;26334;24145;7389;198.4;162.3;30.4;0.3;0.7;15.4;110.2;0.1;5.2;73.5;70.8;0.0;2.7;109.6;49.9;45.8;14.0;122.2;99.9;18.7;0.2;0.4;9.5;67.8;0.0;3.2;45.3;43.6;0.0;1.7;67.5;30.7;28.2;8.6;100;81.8;15.3;0.2;0.3;7.8;55.5;0.0;2.6;37.1;35.7;0.0;1.4;55.3;25.1;23.1;7.1
58;Type: One-parent family;2017;115976;90981;16382;132;355;8945;62586;37;2544;38612;37225;14;1373;63607;26647;27356;9604;218.4;171.3;30.8;0.2;0.7;16.8;117.9;0.1;4.8;72.7;70.1;0.0;2.6;119.8;50.2;51.5;18.1;134.2;105.2;19.0;0.2;0.4;10.3;72.4;0.0;2.9;44.7;43.1;0.0;1.6;73.6;30.8;31.6;11.1;100;78.4;14.1;0.1;0.3;7.7;54.0;0.0;2.2;33.3;32.1;0.0;1.2;54.8;23.0;23.6;8.3
59;Type: One-parent family;2018;124702;93965;16649;120;358;9616;64734;26;2462;39653;38179;2;1472;70390;27600;32367;10423;230.7;173.8;30.8;0.2;0.7;17.8;119.7;0.0;4.6;73.3;70.6;0.0;2.7;130.2;51.1;59.9;19.3;141.4;106.6;18.9;0.1;0.4;10.9;73.4;0.0;2.8;45.0;43.3;0.0;1.7;79.8;31.3;36.7;11.8;100;75.4;13.4;0.1;0.3;7.7;51.9;0.0;2.0;31.8;30.6;0.0;1.2;56.4;22.1;26.0;8.4
60;Type: One-parent family;2019;139637;98627;17392;109;389;10100;68109;27;2501;40730;39214;1;1515;81740;31439;39260;11041;254.0;179.4;31.6;0.2;0.7;18.4;123.9;0.0;4.5;74.1;71.3;0.0;2.8;148.7;57.2;71.4;20.1;155.5;109.8;19.4;0.1;0.4;11.2;75.9;0.0;2.8;45.4;43.7;0.0;1.7;91.0;35.0;43.7;12.3;100;70.6;12.5;0.1;0.3;7.2;48.8;0.0;1.8;29.2;28.1;0.0;1.1;58.5;22.5;28.1;7.9
61;Type: One-parent family;2020;160150;113367;18746;108;409;11840;79429;27;2808;42912;41179;1;1732;89695;34423;43595;11677;286.7;202.9;33.6;0.2;0.7;21.2;142.2;0.0;5.0;76.8;73.7;0.0;3.1;160.6;61.6;78.0;20.9;175.6;124.3;20.6;0.1;0.4;13.0;87.1;0.0;3.1;47.1;45.2;0.0;1.9;98.4;37.8;47.8;12.8;100;70.8;11.7;0.1;0.3;7.4;49.6;0.0;1.8;26.8;25.7;0.0;1.1;56.0;21.5;27.2;7.3
62;Type: One-parent family;2021;183371;129352;21054;100;542;12567;92063;22;3004;43807;42030;1;1776;97826;37294;48303;12229;326.7;230.4;37.5;0.2;1.0;22.4;164.0;0.0;5.4;78.0;74.9;0.0;3.2;174.3;66.4;86.1;21.8;200.0;141.1;23.0;0.1;0.6;13.7;100.4;0.0;3.3;47.8;45.8;0.0;1.9;106.7;40.7;52.7;13.3;100;70.5;11.5;0.1;0.3;6.9;50.2;0.0;1.6;23.9;22.9;0.0;1.0;53.3;20.3;26.3;6.7
63;Type: Couple, with child(ren);2015;884391;637274;127339;1737;2753;119479;360294;377;25295;391863;375620;156;16087;638980;278537;225050;135393;453.1;326.5;65.2;0.9;1.4;61.2;184.6;0.2;13.0;200.7;192.4;0.1;8.2;327.3;142.7;115.3;69.4;204.6;147.5;29.5;0.4;0.6;27.6;83.4;0.1;5.9;90.7;86.9;0.0;3.7;147.9;64.5;52.1;31.3;100;72.1;14.4;0.2;0.3;13.5;40.7;0.0;2.9;44.3;42.5;0.0;1.8;72.3;31.5;25.4;15.3
64;Type: Couple, with child(ren);2016;930659;670170;129385;1372;2817;126338;384024;359;25875;394478;377941;142;16395;654967;270438;247967;136562;478.0;344.2;66.5;0.7;1.4;64.9;197.2;0.2;13.3;202.6;194.1;0.1;8.4;336.4;138.9;127.4;70.1;215.8;155.4;30.0;0.3;0.7;29.3;89.0;0.1;6.0;91.5;87.6;0.0;3.8;151.8;62.7;57.5;31.7;100;72.0;13.9;0.1;0.3;13.6;41.3;0.0;2.8;42.4;40.6;0.0;1.8;70.4;29.1;26.6;14.7
65;Type: Couple, with child(ren);2017;1005514;730258;134943;1180;2750;135202;430399;359;25425;398510;382334;129;16047;673766;270947;278146;124673;515.9;374.7;69.2;0.6;1.4;69.4;220.8;0.2;13.0;204.5;196.2;0.1;8.2;345.7;139.0;142.7;64.0;232.7;169.0;31.2;0.3;0.6;31.3;99.6;0.1;5.9;92.2;88.5;0.0;3.7;155.9;62.7;64.4;28.8;100;72.6;13.4;0.1;0.3;13.4;42.8;0.0;2.5;39.6;38.0;0.0;1.6;67.0;26.9;27.7;12.4
66;Type: Couple, with child(ren);2018;1048673;731027;135234;1041;2837;143617;422136;246;25916;404255;387402;17;16836;721901;273324;320534;128043;539.8;376.3;69.6;0.5;1.5;73.9;217.3;0.1;13.3;208.1;199.4;0.0;8.7;371.6;140.7;165.0;65.9;243.1;169.5;31.3;0.2;0.7;33.3;97.9;0.1;6.0;93.7;89.8;0.0;3.9;167.3;63.4;74.3;29.7;100;69.7;12.9;0.1;0.3;13.7;40.3;0.0;2.5;38.5;36.9;0.0;1.6;68.8;26.1;30.6;12.2
67;Type: Couple, with child(ren);2019;1130873;755585;134452;940;2981;146686;444999;244;25283;410018;393121;12;16885;785306;290744;363073;131489;582.9;389.4;69.3;0.5;1.5;75.6;229.4;0.1;13.0;211.3;202.6;0.0;8.7;404.7;149.8;187.1;67.8;262.1;175.1;31.2;0.2;0.7;34.0;103.1;0.1;5.9;95.0;91.1;0.0;3.9;182.0;67.4;84.1;30.5;100;66.8;11.9;0.1;0.3;13.0;39.4;0.0;2.2;36.3;34.8;0.0;1.5;69.4;25.7;32.1;11.6
68;Type: Couple, with child(ren);2020;1252503;818843;139175;918;3129;145083;506425;240;23873;410597;393961;13;16623;844257;312510;395783;135964;642.4;420.0;71.4;0.5;1.6;74.4;259.7;0.1;12.2;210.6;202.1;0.0;8.5;433.0;160.3;203.0;69.7;289.1;189.0;32.1;0.2;0.7;33.5;116.9;0.1;5.5;94.8;90.9;0.0;3.8;194.9;72.1;91.3;31.4;100;65.4;11.1;0.1;0.2;11.6;40.4;0.0;1.9;32.8;31.5;0.0;1.3;67.4;25.0;31.6;10.9
69;Type: Couple, with child(ren);2021;1430072;936187;152052;890;3277;153931;601269;197;24571;415598;399012;8;16578;909483;336172;435416;137895;737.1;482.6;78.4;0.5;1.7;79.3;309.9;0.1;12.7;214.2;205.7;0.0;8.5;468.8;173.3;224.4;71.1;331.5;217.0;35.3;0.2;0.8;35.7;139.4;0.0;5.7;96.4;92.5;0.0;3.8;210.9;77.9;100.9;32.0;100;65.5;10.6;0.1;0.2;10.8;42.0;0.0;1.7;29.1;27.9;0.0;1.2;63.6;23.5;30.4;9.6
70;Type: Couple, no children;2015;1208135;938288;144520;3219;3961;128724;641099;326;16439;224195;215014;278;8903;494042;247002;199571;47469;567.9;441.1;67.9;1.5;1.9;60.5;301.4;0.2;7.7;105.4;101.1;0.1;4.2;232.2;116.1;93.8;22.3;377.4;293.1;45.2;1.0;1.2;40.2;200.3;0.1;5.1;70.0;67.2;0.1;2.8;154.3;77.2;62.4;14.8;100;77.7;12.0;0.3;0.3;10.7;53.1;0.0;1.4;18.6;17.8;0.0;0.7;40.9;20.4;16.5;3.9
71;Type: Couple, no children;2016;1269929;983772;146126;2521;4064;132630;681498;336;16597;226138;216854;260;9024;512295;242165;222043;48087;594.3;460.4;68.4;1.2;1.9;62.1;318.9;0.2;7.8;105.8;101.5;0.1;4.2;239.7;113.3;103.9;22.5;395.1;306.1;45.5;0.8;1.3;41.3;212.1;0.1;5.2;70.4;67.5;0.1;2.8;159.4;75.4;69.1;15.0;100;77.5;11.5;0.2;0.3;10.4;53.7;0.0;1.3;17.8;17.1;0.0;0.7;40.3;19.1;17.5;3.8
72;Type: Couple, no children;2017;1371301;1051660;147919;2165;3924;138543;743745;316;15048;228653;219599;236;8818;548294;242415;248858;57021;638.2;489.4;68.8;1.0;1.8;64.5;346.1;0.1;7.0;106.4;102.2;0.1;4.1;255.2;112.8;115.8;26.5;424.4;325.5;45.8;0.7;1.2;42.9;230.2;0.1;4.7;70.8;68.0;0.1;2.7;169.7;75.0;77.0;17.6;100;76.7;10.8;0.2;0.3;10.1;54.2;0.0;1.1;16.7;16.0;0.0;0.6;40.0;17.7;18.1;4.2
73;Type: Couple, no children;2018;1403399;1041243;151126;1935;4110;143778;725083;131;15080;231831;222695;31;9105;593987;246104;288612;59271;647.7;480.6;69.7;0.9;1.9;66.4;334.6;0.1;7.0;107.0;102.8;0.0;4.2;274.1;113.6;133.2;27.4;430.7;319.6;46.4;0.6;1.3;44.1;222.5;0.0;4.6;71.2;68.3;0.0;2.8;182.3;75.5;88.6;18.2;100;74.2;10.8;0.1;0.3;10.2;51.7;0.0;1.1;16.5;15.9;0.0;0.6;42.3;17.5;20.6;4.2
74;Type: Couple, no children;2019;1470355;1054148;156487;1741;4304;141740;734189;130;15557;235264;226089;20;9155;651471;262389;327665;61417;674.4;483.5;71.8;0.8;2.0;65.0;336.7;0.1;7.1;107.9;103.7;0.0;4.2;298.8;120.3;150.3;28.2;448.2;321.3;47.7;0.5;1.3;43.2;223.8;0.0;4.7;71.7;68.9;0.0;2.8;198.6;80.0;99.9;18.7;100;71.7;10.6;0.1;0.3;9.6;49.9;0.0;1.1;16.0;15.4;0.0;0.6;44.3;17.8;22.3;4.2
75;Type: Couple, no children;2020;1655020;1195601;164702;1719;4328;156614;853164;126;14948;239673;229729;22;9922;699092;280606;355378;63108;749.7;541.6;74.6;0.8;2.0;70.9;386.4;0.1;6.8;108.6;104.1;0.0;4.5;316.7;127.1;161.0;28.6;498.9;360.4;49.7;0.5;1.3;47.2;257.2;0.0;4.5;72.3;69.3;0.0;3.0;210.7;84.6;107.1;19.0;100;72.2;10.0;0.1;0.3;9.5;51.6;0.0;0.9;14.5;13.9;0.0;0.6;42.2;17.0;21.5;3.8
76;Type: Couple, no children;2021;1795924;1280727;181722;1610;4304;165061;912101;105;15824;247235;237180;14;10041;762432;303466;393052;65914;805.5;574.4;81.5;0.7;1.9;74.0;409.1;0.0;7.1;110.9;106.4;0.0;4.5;342.0;136.1;176.3;29.6;535.7;382.0;54.2;0.5;1.3;49.2;272.1;0.0;4.7;73.7;70.8;0.0;3.0;227.4;90.5;117.2;19.7;100;71.3;10.1;0.1;0.2;9.2;50.8;0.0;0.9;13.8;13.2;0.0;0.6;42.5;16.9;21.9;3.7
77;Other types of households;2015;80305;66640;17561;219;403;8159;38012;27;2259;21023;19594;19;1410;34688;14453;11677;8558;169.7;140.8;37.1;0.5;0.9;17.2;80.3;0.1;4.8;44.4;41.4;0.0;3.0;73.3;30.5;24.7;18.1;118.3;98.2;25.9;0.3;0.6;12.0;56.0;0.0;3.3;31.0;28.9;0.0;2.1;51.1;21.3;17.2;12.6;100;83.0;21.9;0.3;0.5;10.2;47.3;0.0;2.8;26.2;24.4;0.0;1.8;43.2;18.0;14.5;10.7
78;Other types of households;2016;88700;71510;18043;181;420;8939;41578;29;2320;22435;21005;19;1411;39625;14698;13477;11450;179.3;144.6;36.5;0.4;0.8;18.1;84.1;0.1;4.7;45.4;42.5;0.0;2.9;80.1;29.7;27.2;23.2;125.6;101.3;25.6;0.3;0.6;12.7;58.9;0.0;3.3;31.8;29.7;0.0;2.0;56.1;20.8;19.1;16.2;100;80.6;20.3;0.2;0.5;10.1;46.9;0.0;2.6;25.3;23.7;0.0;1.6;44.7;16.6;15.2;12.9
79;Other types of households;2017;94655;76392;18300;149;397;10681;44480;28;2357;23675;22257;16;1402;41938;16332;16766;8840;195.0;157.4;37.7;0.3;0.8;22.0;91.7;0.1;4.9;48.8;45.9;0.0;2.9;86.4;33.7;34.5;18.2;134.7;108.7;26.0;0.2;0.6;15.2;63.3;0.0;3.4;33.7;31.7;0.0;2.0;59.7;23.2;23.9;12.6;100;80.7;19.3;0.2;0.4;11.3;47.0;0.0;2.5;25.0;23.5;0.0;1.5;44.3;17.3;17.7;9.3
80;Other types of households;2018;100398;78907;19080;137;397;10821;46128;15;2329;25016;23478;2;1536;46507;16910;19831;9766;201.6;158.5;38.3;0.3;0.8;21.7;92.6;0.0;4.7;50.2;47.1;0.0;3.1;93.4;34.0;39.8;19.6;139.8;109.9;26.6;0.2;0.6;15.1;64.2;0.0;3.2;34.8;32.7;0.0;2.1;64.8;23.5;27.6;13.6;100;78.6;19.0;0.1;0.4;10.8;45.9;0.0;2.3;24.9;23.4;0.0;1.5;46.3;16.8;19.8;9.7
81;Other types of households;2019;104670;80467;19612;125;397;10671;46937;15;2710;25257;23711;1;1545;49460;17584;21959;9917;206.4;158.7;38.7;0.2;0.8;21.0;92.6;0.0;5.3;49.8;46.8;0.0;3.0;97.5;34.7;43.3;19.6;143.2;110.1;26.8;0.2;0.5;14.6;64.2;0.0;3.7;34.6;32.4;0.0;2.1;67.7;24.1;30.1;13.6;100;76.9;18.7;0.1;0.4;10.2;44.8;0.0;2.6;24.1;22.7;0.0;1.5;47.3;16.8;21.0;9.5
82;Other types of households;2020;116945;89213;20428;129;386;11467;54677;14;2112;25677;24328;2;1347;53409;18969;24023;10417;236.6;180.5;41.3;0.3;0.8;23.2;110.6;0.0;4.3;52.0;49.2;0.0;2.7;108.1;38.4;48.6;21.1;163.6;124.8;28.6;0.2;0.5;16.0;76.5;0.0;3.0;35.9;34.0;0.0;1.9;74.7;26.5;33.6;14.6;100;76.3;17.5;0.1;0.3;9.8;46.8;0.0;1.8;22.0;20.8;0.0;1.2;45.7;16.2;20.5;8.9
83;Other types of households;2021;129526;96934;22299;122;362;12237;59625;12;2277;26318;24919;1;1398;58910;20727;26845;11338;251.6;188.3;43.3;0.2;0.7;23.8;115.8;0.0;4.4;51.1;48.4;0.0;2.7;114.4;40.3;52.2;22.0;174.1;130.3;30.0;0.2;0.5;16.4;80.2;0.0;3.1;35.4;33.5;0.0;1.9;79.2;27.9;36.1;15.2;100;74.8;17.2;0.1;0.3;9.4;46.0;0.0;1.8;20.3;19.2;0.0;1.1;45.5;16.0;20.7;8.8
84;Source of income: mixed income;2015;575489;349974;78466;3317;1686;141065;110495;215;14730;134995;122924;280;11791;360510;93178;75285;192047;790.1;480.5;107.7;4.6;2.3;193.7;151.7;0.3;20.2;185.3;168.8;0.4;16.2;494.9;127.9;103.4;263.6;488.4;297.0;66.6;2.8;1.4;119.7;93.8;0.2;12.5;114.6;104.3;0.2;10.0;306.0;79.1;63.9;163.0;100;60.8;13.6;0.6;0.3;24.5;19.2;0.0;2.6;23.5;21.4;0.0;2.0;62.6;16.2;13.1;33.4
85;Source of income: mixed income;2016;576585;342328;76188;2530;1640;118622;126997;235;16116;129016;116167;261;12588;363273;89159;81750;192364;773.1;459.0;102.2;3.4;2.2;159.0;170.3;0.3;21.6;173.0;155.8;0.4;16.9;487.1;119.5;109.6;257.9;479.6;284.7;63.4;2.1;1.4;98.7;105.6;0.2;13.4;107.3;96.6;0.2;10.5;302.2;74.2;68.0;160.0;100;59.4;13.2;0.4;0.3;20.6;22.0;0.0;2.8;22.4;20.1;0.0;2.2;63.0;15.5;14.2;33.4
86;Source of income: mixed income;2017;677341;445302;83928;2226;1679;136856;203122;213;17278;133166;119729;243;13194;365205;94184;96687;174334;891.3;585.9;110.4;2.9;2.2;180.1;267.3;0.3;22.7;175.2;157.5;0.3;17.4;480.5;123.9;127.2;229.4;553.2;363.7;68.5;1.8;1.4;111.8;165.9;0.2;14.1;108.8;97.8;0.2;10.8;298.3;76.9;79.0;142.4;100;65.7;12.4;0.3;0.2;20.2;30.0;0.0;2.6;19.7;17.7;0.0;1.9;53.9;13.9;14.3;25.7
87;Source of income: mixed income;2018;607855;361985;78654;1685;1841;128316;132965;28;18496;137788;123925;27;13836;383658;93496;109645;180517;787.5;469.0;101.9;2.2;2.4;166.2;172.3;0.0;24.0;178.5;160.5;0.0;17.9;497.0;121.1;142.0;233.9;488.0;290.6;63.1;1.4;1.5;103.0;106.7;0.0;14.8;110.6;99.5;0.0;11.1;308.0;75.1;88.0;144.9;100;59.6;12.9;0.3;0.3;21.1;21.9;0.0;3.0;22.7;20.4;0.0;2.3;63.1;15.4;18.0;29.7
88;Source of income: mixed income;2019;651727;381421;74258;1592;1670;139495;145184;27;19195;145116;130710;18;14388;415422;102213;127641;185568;817.5;478.4;93.1;2.0;2.1;175.0;182.1;0.0;24.1;182.0;164.0;0.0;18.0;521.1;128.2;160.1;232.8;506.4;296.4;57.7;1.2;1.3;108.4;112.8;0.0;14.9;112.8;101.6;0.0;11.2;322.8;79.4;99.2;144.2;100;58.5;11.4;0.2;0.3;21.4;22.3;0.0;2.9;22.3;20.1;0.0;2.2;63.7;15.7;19.6;28.5
89;Source of income: mixed income;2020;737564;426984;73707;1487;1537;160005;171782;24;18442;147582;132764;19;14799;458162;111414;141102;205646;910.6;527.2;91.0;1.8;1.9;197.6;212.1;0.0;22.8;182.2;163.9;0.0;18.3;565.7;137.6;174.2;253.9;563.2;326.0;56.3;1.1;1.2;122.2;131.2;0.0;14.1;112.7;101.4;0.0;11.3;349.9;85.1;107.7;157.0;100;57.9;10.0;0.2;0.2;21.7;23.3;0.0;2.5;20.0;18.0;0.0;2.0;62.1;15.1;19.1;27.9
90;Source of income: mixed income;2021;786063;444429;73969;1392;1520;158983;190462;21;18082;147902;133449;12;14441;489536;120710;156345;212481;952.4;538.5;89.6;1.7;1.8;192.6;230.8;0.0;21.9;179.2;161.7;0.0;17.5;593.1;146.2;189.4;257.4;587.7;332.3;55.3;1.0;1.1;118.9;142.4;0.0;13.5;110.6;99.8;0.0;10.8;366.0;90.2;116.9;158.9;100;56.5;9.4;0.2;0.2;20.2;24.2;0.0;2.3;18.8;17.0;0.0;1.8;62.3;15.4;19.9;27.0
91;Source of income: compensation of employ;2015;1212322;1020715;180720;2039;4253;133818;667937;618;31330;554731;538097;187;16447;746338;401223;324177;20938;310.5;261.4;46.3;0.5;1.1;34.3;171.1;0.2;8.0;142.1;137.8;0.0;4.2;191.1;102.8;83.0;5.4;185.5;156.2;27.7;0.3;0.7;20.5;102.2;0.1;4.8;84.9;82.3;0.0;2.5;114.2;61.4;49.6;3.2;100;84.2;14.9;0.2;0.4;11.0;55.1;0.1;2.6;45.8;44.4;0.0;1.4;61.6;33.1;26.7;1.7
92;Source of income: compensation of employ;2016;1325085;1109830;186702;1666;4408;166530;718780;586;31158;566970;550484;172;16314;782225;395413;362557;24255;335.0;280.6;47.2;0.4;1.1;42.1;181.7;0.1;7.9;143.3;139.2;0.0;4.1;197.7;100.0;91.7;6.1;200.7;168.1;28.3;0.3;0.7;25.2;108.8;0.1;4.7;85.9;83.4;0.0;2.5;118.4;59.9;54.9;3.7;100;83.8;14.1;0.1;0.3;12.6;54.2;0.0;2.4;42.8;41.5;0.0;1.2;59.0;29.8;27.4;1.8
93;Source of income: compensation of employ;2017;1462570;1184057;188935;1406;4253;173013;787570;596;28284;573002;557503;154;15345;851515;397874;408448;45193;363.4;294.2;46.9;0.3;1.1;43.0;195.7;0.1;7.0;142.4;138.5;0.0;3.8;211.6;98.9;101.5;11.2;218.2;176.7;28.2;0.2;0.6;25.8;117.5;0.1;4.2;85.5;83.2;0.0;2.3;127.1;59.4;60.9;6.7;100;81.0;12.9;0.1;0.3;11.8;53.8;0.0;1.9;39.2;38.1;0.0;1.0;58.2;27.2;27.9;3.1
