ID;AreasOfCivilEngineeringWorks;Periods;InputPriceIndex_1;ChangesComparedWithOneYearEarlier_2
494;4211c Road maintenance;1993 August;85.1;3.6
495;4211c Road maintenance;1994 February;85.8;1.8
496;4211c Road maintenance;1994 August;86.5;1.5
497;4211c Road maintenance;1995 February;87.4;1.9
498;4211c Road maintenance;1995 August;87.7;1.4
499;4211c Road maintenance;1996 February;87.4;0.0
500;4211c Road maintenance;1996 August;87.8;0.1
501;4211c Road maintenance;1997 February;89.0;1.8
502;4211c Road maintenance;1997 August;89.4;1.8
503;4211c Road maintenance;1998 January;90.8;
504;4211c Road maintenance;1998 April;91.2;
505;4211c Road maintenance;1998 July;91.5;
506;4211c Road maintenance;1998 October;91.2;
507;4211c Road maintenance;1999 January;91.4;0.7
508;4211c Road maintenance;1999 April;92.2;1.1
509;4211c Road maintenance;1999 July;93.7;2.3
510;4211c Road maintenance;1999 October;95.6;4.7
511;4211c Road maintenance;2000 January;97.8;7.0
512;4211c Road maintenance;2000 April;99.4;7.8
513;4211c Road maintenance;2000 July;100.4;7.2
514;4211c Road maintenance;2000 October;102.5;7.2
515;4211c Road maintenance;2001 January;102.0;4.4
516;4211c Road maintenance;2001 April;102.8;3.5
517;4211c Road maintenance;2001 July;103.4;3.0
518;4211c Road maintenance;2001 October;103.8;1.3
519;4211c Road maintenance;2002 January;104.6;2.5
520;4211c Road maintenance;2002 April;105.5;2.6
521;4211c Road maintenance;2002 July;104.9;1.5
522;4211c Road maintenance;2002 October;105.0;1.1
523;4211c Road maintenance;2003 January;107.0;2.3
524;4211c Road maintenance;2003 April;107.0;1.5
525;4211c Road maintenance;2003 July;107.2;2.2
526;4211c Road maintenance;2003 October;107.4;2.3
527;4211c Road maintenance;2004 January;107.3;0.2
528;4211c Road maintenance;2004 April;108.0;0.9
529;4211c Road maintenance;2004 July;109.8;2.4
530;4211c Road maintenance;2004 October;111.2;3.5
531;4211c Road maintenance;2005 January;;
532;4211c Road maintenance;2005 April;;
533;4211c Road maintenance;2005 July;;
534;4211c Road maintenance;2005 October;;
535;4211c Road maintenance;2006 January;;
536;4211c Road maintenance;2006 April;;
537;4211c Road maintenance;2006 July;;
538;4211c Road maintenance;2006 October;;
539;4211c Road maintenance;2007 January;;
540;4211c Road maintenance;2007 April;;
541;4211c Road maintenance;2007 July;;
542;4211c Road maintenance;2007 October;;
543;4211c Road maintenance;2008 January;;
544;4211c Road maintenance;2008 April;;
545;4211c Road maintenance;2008 July;;
546;4211c Road maintenance;2008 October;;
547;4211c Road maintenance;2009 January;;
548;4211c Road maintenance;2009 April;;
549;4211c Road maintenance;2009 July;;
550;4211c Road maintenance;2009 October;;
551;4211c Road maintenance;2010 January;;
552;4211c Road maintenance;2010 April;;
553;4211c Road maintenance;2010 July;;
554;4211c Road maintenance;2010 October;;
555;4211c Road maintenance;2011 January;;
556;4211c Road maintenance;2011 April;;
557;4211c Road maintenance;2011 July;;
558;4211c Road maintenance;2011 October;;
559;4211c Road maintenance;2012 January;;
560;4211c Road maintenance;2012 April;;
561;4211c Road maintenance;2012 July;;
562;4211c Road maintenance;2012 October;;
563;4211c Road maintenance;2013 January;;
564;4211c Road maintenance;2013 April;;
565;4211c Road maintenance;2013 July;;
566;4211c Road maintenance;2013 October;;
567;4211c Road maintenance;2014 January;;
568;4211c Road maintenance;2014 April;;
569;4211c Road maintenance;2014 July;;
570;4211c Road maintenance;2014 October;;
571;4211c Road maintenance;2015 January;;
572;4211c Road maintenance;2015 April;;
573;4211c Road maintenance;2015 July;;
574;4211c Road maintenance;2015 October;;
575;4211c Road maintenance;2016 January;;
576;4211c Road maintenance;2016 April;;
577;4211c Road maintenance;2016 July;;
578;4211c Road maintenance;2016 October;;
579;4211c Road maintenance;2017 January;;
580;4211c Road maintenance;2017 April;;
581;4211c Road maintenance;2017 July;;
582;4211c Road maintenance;2017 October;;
583;4211c Road maintenance;2018 January;;
584;4211c Road maintenance;2018 April;;
585;4211c Road maintenance;2018 July;;
586;4211c Road maintenance;2018 October;;
587;4211c Road maintenance;2019 January;;
588;4211c Road maintenance;2019 April;;
589;4211c Road maintenance;2019 July;;
590;4211c Road maintenance;2019 October;;
591;4211c Road maintenance;2020 January;;
592;4211c Road maintenance;2020 April;;
593;4211c Road maintenance;2020 July;;
594;4211c Road maintenance;2020 October;;
595;4211c Road maintenance;2021 January;;
596;4211c Road maintenance;2021 April;;
597;4211c Road maintenance;2021 July;;
598;4211c Road maintenance;2021 October;;
599;4211c Road maintenance;2022 January;;
600;4211c Road maintenance;2022 April;;
601;4211c Road maintenance;2022 July;;
602;4211c Road maintenance;2022 October;;
603;4211c Road maintenance;2023 January;;
604;4211c Road maintenance;2023 April;;
605;4211c Road maintenance;2023 July;;
606;4211c Road maintenance;2023 October;;
607;4211c Road maintenance;2024 January;;
608;4211c Road maintenance;2024 February;;
609;4211c Road maintenance;2024 March;;
610;4211c Road maintenance;2024 April;;
611;4211c Road maintenance;2024 May;;
612;4211c Road maintenance;2024 June;;
613;4211c Road maintenance;2024 July;;
614;4211c Road maintenance;2024 August;;
615;4211c Road maintenance;2024 September;;
616;4211c Road maintenance;2024 October;;
617;4211c Road maintenance;2024 November;;
618;4211c Road maintenance;2024 December;;
619;4211c Road maintenance;2025 January;;
620;4212 Railways and underground railway.;1979 February;;
621;4212 Railways and underground railway.;1979 August;;
622;4212 Railways and underground railway.;1980 February;;
623;4212 Railways and underground railway.;1980 August;;
624;4212 Railways and underground railway.;1981 February;;
625;4212 Railways and underground railway.;1981 August;;
626;4212 Railways and underground railway.;1982 February;;
627;4212 Railways and underground railway.;1982 August;;
628;4212 Railways and underground railway.;1983 February;;
629;4212 Railways and underground railway.;1983 August;;
630;4212 Railways and underground railway.;1984 February;;
631;4212 Railways and underground railway.;1984 August;;
632;4212 Railways and underground railway.;1985 February;;
633;4212 Railways and underground railway.;1985 August;;
634;4212 Railways and underground railway.;1986 February;;
635;4212 Railways and underground railway.;1986 August;;
636;4212 Railways and underground railway.;1987 February;;
637;4212 Railways and underground railway.;1987 August;;
638;4212 Railways and underground railway.;1988 February;;
639;4212 Railways and underground railway.;1988 August;;
640;4212 Railways and underground railway.;1989 February;;
641;4212 Railways and underground railway.;1989 August;;
642;4212 Railways and underground railway.;1990 February;;
643;4212 Railways and underground railway.;1990 August;;
644;4212 Railways and underground railway.;1991 February;;
645;4212 Railways and underground railway.;1991 August;;
646;4212 Railways and underground railway.;1992 February;;
647;4212 Railways and underground railway.;1992 August;;
648;4212 Railways and underground railway.;1993 February;;
649;4212 Railways and underground railway.;1993 August;;
650;4212 Railways and underground railway.;1994 February;;
651;4212 Railways and underground railway.;1994 August;;
652;4212 Railways and underground railway.;1995 February;;
653;4212 Railways and underground railway.;1995 August;;
654;4212 Railways and underground railway.;1996 February;;
655;4212 Railways and underground railway.;1996 August;;
656;4212 Railways and underground railway.;1997 February;;
657;4212 Railways and underground railway.;1997 August;;
658;4212 Railways and underground railway.;1998 January;;
659;4212 Railways and underground railway.;1998 April;;
660;4212 Railways and underground railway.;1998 July;;
661;4212 Railways and underground railway.;1998 October;;
662;4212 Railways and underground railway.;1999 January;;
663;4212 Railways and underground railway.;1999 April;;
664;4212 Railways and underground railway.;1999 July;;
665;4212 Railways and underground railway.;1999 October;;
666;4212 Railways and underground railway.;2000 January;98.2;
667;4212 Railways and underground railway.;2000 April;99.4;
668;4212 Railways and underground railway.;2000 July;100.9;
669;4212 Railways and underground railway.;2000 October;101.5;
670;4212 Railways and underground railway.;2001 January;101.9;3.8
671;4212 Railways and underground railway.;2001 April;102.9;3.6
672;4212 Railways and underground railway.;2001 July;103.8;2.8
673;4212 Railways and underground railway.;2001 October;103.8;2.3
674;4212 Railways and underground railway.;2002 January;105.5;3.5
675;4212 Railways and underground railway.;2002 April;106.3;3.2
676;4212 Railways and underground railway.;2002 July;107.1;3.2
677;4212 Railways and underground railway.;2002 October;107.2;3.2
678;4212 Railways and underground railway.;2003 January;107.9;2.3
679;4212 Railways and underground railway.;2003 April;108.2;1.8
680;4212 Railways and underground railway.;2003 July;108.8;1.6
681;4212 Railways and underground railway.;2003 October;108.8;1.6
682;4212 Railways and underground railway.;2004 January;110.7;2.6
683;4212 Railways and underground railway.;2004 April;116.2;7.5
684;4212 Railways and underground railway.;2004 July;117.6;8.1
685;4212 Railways and underground railway.;2004 October;120.5;10.7
686;4212 Railways and underground railway.;2005 January;120.2;8.6
687;4212 Railways and underground railway.;2005 April;119.4;2.7
688;4212 Railways and underground railway.;2005 July;117.1;-0.4
689;4212 Railways and underground railway.;2005 October;119.8;-0.6
690;4212 Railways and underground railway.;2006 January;122.0;1.5
691;4212 Railways and underground railway.;2006 April;124.7;4.4
692;4212 Railways and underground railway.;2006 July;128.9;10.1
693;4212 Railways and underground railway.;2006 October;130.2;8.7
694;4212 Railways and underground railway.;2007 January;131.9;8.1
695;4212 Railways and underground railway.;2007 April;135.3;8.5
696;4212 Railways and underground railway.;2007 July;135.9;5.4
697;4212 Railways and underground railway.;2007 October;135.6;4.2
698;4212 Railways and underground railway.;2008 January;136.4;3.4
699;4212 Railways and underground railway.;2008 April;142.3;5.1
700;4212 Railways and underground railway.;2008 July;150.6;10.9
701;4212 Railways and underground railway.;2008 October;145.7;7.4
702;4212 Railways and underground railway.;2009 January;143.9;5.4
703;4212 Railways and underground railway.;2009 April;142.0;-0.2
704;4212 Railways and underground railway.;2009 July;143.1;-5.0
705;4212 Railways and underground railway.;2009 October;142.5;-2.1
706;4212 Railways and underground railway.;2010 January;143.1;-0.5
707;4212 Railways and underground railway.;2010 April;145.8;2.7
708;4212 Railways and underground railway.;2010 July;146.6;2.5
709;4212 Railways and underground railway.;2010 October;147.6;3.5
710;4212 Railways and underground railway.;2011 January;149.7;4.6
711;4212 Railways and underground railway.;2011 April;149.9;2.8
712;4212 Railways and underground railway.;2011 July;149.9;2.2
713;4212 Railways and underground railway.;2011 October;149.0;1.0
714;4212 Railways and underground railway.;2012 January;150.6;0.6
715;4212 Railways and underground railway.;2012 April;151.5;1.1
716;4212 Railways and underground railway.;2012 July;152.8;1.9
717;4212 Railways and underground railway.;2012 October;152.8;2.5
718;4212 Railways and underground railway.;2013 January;152.9;1.6
719;4212 Railways and underground railway.;2013 April;152.7;0.8
720;4212 Railways and underground railway.;2013 July;151.7;-0.7
721;4212 Railways and underground railway.;2013 October;151.3;-1.0
722;4212 Railways and underground railway.;2014 January;152.3;-0.4
723;4212 Railways and underground railway.;2014 April;151.5;-0.8
724;4212 Railways and underground railway.;2014 July;151.9;0.1
725;4212 Railways and underground railway.;2014 October;153.2;1.3
726;4212 Railways and underground railway.;2015 January;154.6;1.5
727;4212 Railways and underground railway.;2015 April;156.8;3.5
728;4212 Railways and underground railway.;2015 July;157.3;3.5
729;4212 Railways and underground railway.;2015 October;156.6;2.2
730;4212 Railways and underground railway.;2016 January;156.7;1.4
731;4212 Railways and underground railway.;2016 April;156.3;-0.3
732;4212 Railways and underground railway.;2016 July;157.6;0.2
733;4212 Railways and underground railway.;2016 October;157.6;0.7
734;4212 Railways and underground railway.;2017 January;160.6;2.5
735;4212 Railways and underground railway.;2017 April;160.4;2.6
736;4212 Railways and underground railway.;2017 July;159.7;1.3
737;4212 Railways and underground railway.;2017 October;160.7;2.0
738;4212 Railways and underground railway.;2018 January;162.0;0.9
739;4212 Railways and underground railway.;2018 April;162.1;1.0
740;4212 Railways and underground railway.;2018 July;164.1;2.8
741;4212 Railways and underground railway.;2018 October;164.9;2.6
742;4212 Railways and underground railway.;2019 January;165.2;2.0
743;4212 Railways and underground railway.;2019 April;166.5;2.7
744;4212 Railways and underground railway.;2019 July;167.1;1.8
745;4212 Railways and underground railway.;2019 October;167.6;1.6
746;4212 Railways and underground railway.;2020 January;168.9;2.2
747;4212 Railways and underground railway.;2020 April;168.0;0.9
748;4212 Railways and underground railway.;2020 July;169.0;1.1
749;4212 Railways and underground railway.;2020 October;169.2;1.0
750;4212 Railways and underground railway.;2021 January;173.0;2.4
751;4212 Railways and underground railway.;2021 April;177.4;5.6
752;4212 Railways and underground railway.;2021 July;184.3;9.1
753;4212 Railways and underground railway.;2021 October;188.7;11.6
754;4212 Railways and underground railway.;2022 January;194.1;12.2
755;4212 Railways and underground railway.;2022 April;204.8;15.5
756;4212 Railways and underground railway.;2022 July;206.3;12.0
757;4212 Railways and underground railway.;2022 October;206.1;9.2
758;4212 Railways and underground railway.;2023 January;206.5;6.4
759;4212 Railways and underground railway.;2023 April;207.4;1.3
760;4212 Railways and underground railway.;2023 July;204.6;-0.8
761;4212 Railways and underground railway.;2023 October;204.3;-0.9
762;4212 Railways and underground railway.;2024 January;205.9;-0.3
763;4212 Railways and underground railway.;2024 February;206.1;
764;4212 Railways and underground railway.;2024 March;206.3;
765;4212 Railways and underground railway.;2024 April;207.7;0.1
766;4212 Railways and underground railway.;2024 May;207.3;
767;4212 Railways and underground railway.;2024 June;208.8;
768;4212 Railways and underground railway.;2024 July;211.8;3.5
769;4212 Railways and underground railway.;2024 August;210.5;
770;4212 Railways and underground railway.;2024 September;210.5;
771;4212 Railways and underground railway.;2024 October;209.6;2.6
772;4212 Railways and underground railway.;2024 November;211.0;
773;4212 Railways and underground railway.;2024 December;211.2;
774;4212 Railways and underground railway.;2025 January;214.2;4.0
775;"4213 Bridges and tunnels; constructio.";1979 February;;
776;"4213 Bridges and tunnels; constructio.";1979 August;;
777;"4213 Bridges and tunnels; constructio.";1980 February;;
778;"4213 Bridges and tunnels; constructio.";1980 August;;
779;"4213 Bridges and tunnels; constructio.";1981 February;;
780;"4213 Bridges and tunnels; constructio.";1981 August;;
781;"4213 Bridges and tunnels; constructio.";1982 February;;
782;"4213 Bridges and tunnels; constructio.";1982 August;;
783;"4213 Bridges and tunnels; constructio.";1983 February;;
784;"4213 Bridges and tunnels; constructio.";1983 August;;
785;"4213 Bridges and tunnels; constructio.";1984 February;;
786;"4213 Bridges and tunnels; constructio.";1984 August;;
787;"4213 Bridges and tunnels; constructio.";1985 February;;
788;"4213 Bridges and tunnels; constructio.";1985 August;;
789;"4213 Bridges and tunnels; constructio.";1986 February;;
790;"4213 Bridges and tunnels; constructio.";1986 August;;
791;"4213 Bridges and tunnels; constructio.";1987 February;;
792;"4213 Bridges and tunnels; constructio.";1987 August;;
793;"4213 Bridges and tunnels; constructio.";1988 February;;
794;"4213 Bridges and tunnels; constructio.";1988 August;;
795;"4213 Bridges and tunnels; constructio.";1989 February;;
796;"4213 Bridges and tunnels; constructio.";1989 August;;
797;"4213 Bridges and tunnels; constructio.";1990 February;;
798;"4213 Bridges and tunnels; constructio.";1990 August;;
799;"4213 Bridges and tunnels; constructio.";1991 February;;
800;"4213 Bridges and tunnels; constructio.";1991 August;;
801;"4213 Bridges and tunnels; constructio.";1992 February;;
802;"4213 Bridges and tunnels; constructio.";1992 August;;
803;"4213 Bridges and tunnels; constructio.";1993 February;;
804;"4213 Bridges and tunnels; constructio.";1993 August;;
805;"4213 Bridges and tunnels; constructio.";1994 February;;
806;"4213 Bridges and tunnels; constructio.";1994 August;;
807;"4213 Bridges and tunnels; constructio.";1995 February;;
808;"4213 Bridges and tunnels; constructio.";1995 August;;
809;"4213 Bridges and tunnels; constructio.";1996 February;;
810;"4213 Bridges and tunnels; constructio.";1996 August;;
811;"4213 Bridges and tunnels; constructio.";1997 February;;
812;"4213 Bridges and tunnels; constructio.";1997 August;;
813;"4213 Bridges and tunnels; constructio.";1998 January;;
814;"4213 Bridges and tunnels; constructio.";1998 April;;
815;"4213 Bridges and tunnels; constructio.";1998 July;;
816;"4213 Bridges and tunnels; constructio.";1998 October;;
817;"4213 Bridges and tunnels; constructio.";1999 January;;
818;"4213 Bridges and tunnels; constructio.";1999 April;;
819;"4213 Bridges and tunnels; constructio.";1999 July;;
820;"4213 Bridges and tunnels; constructio.";1999 October;;
821;"4213 Bridges and tunnels; constructio.";2000 January;98.5;
822;"4213 Bridges and tunnels; constructio.";2000 April;99.3;
823;"4213 Bridges and tunnels; constructio.";2000 July;100.7;
824;"4213 Bridges and tunnels; constructio.";2000 October;101.5;
825;"4213 Bridges and tunnels; constructio.";2001 January;104.7;6.3
826;"4213 Bridges and tunnels; constructio.";2001 April;105.1;5.8
827;"4213 Bridges and tunnels; constructio.";2001 July;105.5;4.8
828;"4213 Bridges and tunnels; constructio.";2001 October;105.5;3.9
829;"4213 Bridges and tunnels; constructio.";2002 January;107.1;2.3
830;"4213 Bridges and tunnels; constructio.";2002 April;107.5;2.3
831;"4213 Bridges and tunnels; constructio.";2002 July;108.4;2.7
832;"4213 Bridges and tunnels; constructio.";2002 October;108.0;2.4
833;"4213 Bridges and tunnels; constructio.";2003 January;107.9;0.8
834;"4213 Bridges and tunnels; constructio.";2003 April;107.4;0.0
835;"4213 Bridges and tunnels; constructio.";2003 July;107.2;-1.1
836;"4213 Bridges and tunnels; constructio.";2003 October;106.7;-1.2
837;"4213 Bridges and tunnels; constructio.";2004 January;106.5;-1.3
838;"4213 Bridges and tunnels; constructio.";2004 April;108.2;0.7
839;"4213 Bridges and tunnels; constructio.";2004 July;109.7;2.3
840;"4213 Bridges and tunnels; constructio.";2004 October;107.8;1.0
841;"4213 Bridges and tunnels; constructio.";2005 January;107.1;0.5
842;"4213 Bridges and tunnels; constructio.";2005 April;107.5;-0.6
843;"4213 Bridges and tunnels; constructio.";2005 July;107.6;-1.9
844;"4213 Bridges and tunnels; constructio.";2005 October;108.6;0.7
845;"4213 Bridges and tunnels; constructio.";2006 January;111.4;4.0
846;"4213 Bridges and tunnels; constructio.";2006 April;112.2;4.3
847;"4213 Bridges and tunnels; constructio.";2006 July;114.2;6.1
848;"4213 Bridges and tunnels; constructio.";2006 October;115.5;6.4
849;"4213 Bridges and tunnels; constructio.";2007 January;117.6;5.5
850;"4213 Bridges and tunnels; constructio.";2007 April;118.7;5.9
851;"4213 Bridges and tunnels; constructio.";2007 July;118.5;3.8
852;"4213 Bridges and tunnels; constructio.";2007 October;118.4;2.5
853;"4213 Bridges and tunnels; constructio.";2008 January;122.0;3.7
854;"4213 Bridges and tunnels; constructio.";2008 April;125.8;6.0
855;"4213 Bridges and tunnels; constructio.";2008 July;132.9;12.1
856;"4213 Bridges and tunnels; constructio.";2008 October;131.6;11.2
857;"4213 Bridges and tunnels; constructio.";2009 January;130.9;7.3
858;"4213 Bridges and tunnels; constructio.";2009 April;127.4;1.2
859;"4213 Bridges and tunnels; constructio.";2009 July;123.8;-6.8
860;"4213 Bridges and tunnels; constructio.";2009 October;120.5;-8.4
861;"4213 Bridges and tunnels; constructio.";2010 January;119.0;-9.1
862;"4213 Bridges and tunnels; constructio.";2010 April;120.5;-5.4
863;"4213 Bridges and tunnels; constructio.";2010 July;120.6;-2.6
864;"4213 Bridges and tunnels; constructio.";2010 October;120.3;-0.2
865;"4213 Bridges and tunnels; constructio.";2011 January;123.5;3.7
866;"4213 Bridges and tunnels; constructio.";2011 April;122.7;1.9
867;"4213 Bridges and tunnels; constructio.";2011 July;123.3;2.2
868;"4213 Bridges and tunnels; constructio.";2011 October;123.3;2.5
869;"4213 Bridges and tunnels; constructio.";2012 January;124.5;0.8
870;"4213 Bridges and tunnels; constructio.";2012 April;124.8;1.7
871;"4213 Bridges and tunnels; constructio.";2012 July;125.4;1.7
872;"4213 Bridges and tunnels; constructio.";2012 October;125.8;2.1
873;"4213 Bridges and tunnels; constructio.";2013 January;126.0;1.2
874;"4213 Bridges and tunnels; constructio.";2013 April;125.6;0.7
875;"4213 Bridges and tunnels; constructio.";2013 July;124.9;-0.3
876;"4213 Bridges and tunnels; constructio.";2013 October;125.4;-0.4
877;"4213 Bridges and tunnels; constructio.";2014 January;126.4;0.3
878;"4213 Bridges and tunnels; constructio.";2014 April;125.6;0.0
879;"4213 Bridges and tunnels; constructio.";2014 July;125.3;0.3
880;"4213 Bridges and tunnels; constructio.";2014 October;125.6;0.2
881;"4213 Bridges and tunnels; constructio.";2015 January;124.7;-1.3
882;"4213 Bridges and tunnels; constructio.";2015 April;125.0;-0.5
883;"4213 Bridges and tunnels; constructio.";2015 July;125.5;0.1
884;"4213 Bridges and tunnels; constructio.";2015 October;124.7;-0.7
885;"4213 Bridges and tunnels; constructio.";2016 January;124.1;-0.5
886;"4213 Bridges and tunnels; constructio.";2016 April;125.1;0.0
887;"4213 Bridges and tunnels; constructio.";2016 July;126.9;1.1
888;"4213 Bridges and tunnels; constructio.";2016 October;126.6;1.5
889;"4213 Bridges and tunnels; constructio.";2017 January;128.2;3.2
890;"4213 Bridges and tunnels; constructio.";2017 April;128.9;3.1
891;"4213 Bridges and tunnels; constructio.";2017 July;129.3;1.9
892;"4213 Bridges and tunnels; constructio.";2017 October;131.5;3.8
893;"4213 Bridges and tunnels; constructio.";2018 January;132.6;3.5
894;"4213 Bridges and tunnels; constructio.";2018 April;132.7;2.9
895;"4213 Bridges and tunnels; constructio.";2018 July;134.0;3.6
896;"4213 Bridges and tunnels; constructio.";2018 October;134.7;2.5
897;"4213 Bridges and tunnels; constructio.";2019 January;135.3;2.0
898;"4213 Bridges and tunnels; constructio.";2019 April;135.4;2.1
899;"4213 Bridges and tunnels; constructio.";2019 July;136.3;1.7
900;"4213 Bridges and tunnels; constructio.";2019 October;135.6;0.7
901;"4213 Bridges and tunnels; constructio.";2020 January;137.5;1.6
902;"4213 Bridges and tunnels; constructio.";2020 April;136.7;1.0
903;"4213 Bridges and tunnels; constructio.";2020 July;137.7;1.0
904;"4213 Bridges and tunnels; constructio.";2020 October;137.9;1.7
905;"4213 Bridges and tunnels; constructio.";2021 January;142.9;3.9
906;"4213 Bridges and tunnels; constructio.";2021 April;144.7;5.9
907;"4213 Bridges and tunnels; constructio.";2021 July;152.0;10.4
908;"4213 Bridges and tunnels; constructio.";2021 October;153.9;11.7
909;"4213 Bridges and tunnels; constructio.";2022 January;158.8;11.2
910;"4213 Bridges and tunnels; constructio.";2022 April;172.9;19.5
911;"4213 Bridges and tunnels; constructio.";2022 July;171.4;12.8
912;"4213 Bridges and tunnels; constructio.";2022 October;170.0;10.4
913;"4213 Bridges and tunnels; constructio.";2023 January;169.7;6.8
914;"4213 Bridges and tunnels; constructio.";2023 April;170.1;-1.6
915;"4213 Bridges and tunnels; constructio.";2023 July;168.0;-2.0
916;"4213 Bridges and tunnels; constructio.";2023 October;167.2;-1.6
917;"4213 Bridges and tunnels; constructio.";2024 January;169.2;-0.3
918;"4213 Bridges and tunnels; constructio.";2024 February;169.2;
919;"4213 Bridges and tunnels; constructio.";2024 March;169.4;
920;"4213 Bridges and tunnels; constructio.";2024 April;169.1;-0.6
921;"4213 Bridges and tunnels; constructio.";2024 May;168.1;
922;"4213 Bridges and tunnels; constructio.";2024 June;168.8;
923;"4213 Bridges and tunnels; constructio.";2024 July;172.0;2.4
924;"4213 Bridges and tunnels; constructio.";2024 August;172.0;
925;"4213 Bridges and tunnels; constructio.";2024 September;171.4;
926;"4213 Bridges and tunnels; constructio.";2024 October;171.0;2.3
927;"4213 Bridges and tunnels; constructio.";2024 November;171.3;
928;"4213 Bridges and tunnels; constructio.";2024 December;171.5;
929;"4213 Bridges and tunnels; constructio.";2025 January;172.9;2.2
930;4221 Constructions and construction w.;1979 February;51.8;
931;4221 Constructions and construction w.;1979 August;53.9;
932;4221 Constructions and construction w.;1980 February;56.2;8.4
933;4221 Constructions and construction w.;1980 August;57.5;6.6
934;4221 Constructions and construction w.;1981 February;60.0;6.7
935;4221 Constructions and construction w.;1981 August;61.5;6.8
936;4221 Constructions and construction w.;1982 February;63.9;6.6
937;4221 Constructions and construction w.;1982 August;64.3;4.6
938;4221 Constructions and construction w.;1983 February;64.9;1.6
939;4221 Constructions and construction w.;1983 August;65.4;1.7
940;4221 Constructions and construction w.;1984 February;66.3;2.1
941;4221 Constructions and construction w.;1984 August;67.0;2.4
942;4221 Constructions and construction w.;1985 February;68.4;3.1
943;4221 Constructions and construction w.;1985 August;69.2;3.4
944;4221 Constructions and construction w.;1986 February;70.4;3.0
945;4221 Constructions and construction w.;1986 August;70.9;2.4
946;4221 Constructions and construction w.;1987 February;71.8;2.0
947;4221 Constructions and construction w.;1987 August;72.0;1.5
948;4221 Constructions and construction w.;1988 February;72.8;1.4
949;4221 Constructions and construction w.;1988 August;72.7;1.0
950;4221 Constructions and construction w.;1989 February;74.9;2.9
951;4221 Constructions and construction w.;1989 August;76.3;4.9
952;4221 Constructions and construction w.;1990 February;77.8;3.8
953;4221 Constructions and construction w.;1990 August;78.4;2.8
954;4221 Constructions and construction w.;1991 February;81.2;4.4
955;4221 Constructions and construction w.;1991 August;81.7;4.2
956;4221 Constructions and construction w.;1992 February;84.6;4.2
957;4221 Constructions and construction w.;1992 August;85.6;4.8
958;4221 Constructions and construction w.;1993 February;87.9;3.9
959;4221 Constructions and construction w.;1993 August;88.0;2.8
960;4221 Constructions and construction w.;1994 February;88.7;0.8
961;4221 Constructions and construction w.;1994 August;89.2;1.4
962;4221 Constructions and construction w.;1995 February;90.2;1.8
963;4221 Constructions and construction w.;1995 August;90.9;1.9
964;4221 Constructions and construction w.;1996 February;91.9;1.8
965;4221 Constructions and construction w.;1996 August;92.6;1.8
966;4221 Constructions and construction w.;1997 February;93.6;1.9
967;4221 Constructions and construction w.;1997 August;94.1;1.7
968;4221 Constructions and construction w.;1998 January;95.9;
969;4221 Constructions and construction w.;1998 April;96.7;
970;4221 Constructions and construction w.;1998 July;97.2;
971;4221 Constructions and construction w.;1998 October;97.0;
972;4221 Constructions and construction w.;1999 January;97.4;1.6
973;4221 Constructions and construction w.;1999 April;97.3;0.6
974;4221 Constructions and construction w.;1999 July;97.6;0.3
975;4221 Constructions and construction w.;1999 October;98.0;1.0
976;4221 Constructions and construction w.;2000 January;98.9;1.5
977;4221 Constructions and construction w.;2000 April;100.1;2.9
978;4221 Constructions and construction w.;2000 July;100.5;3.0
979;4221 Constructions and construction w.;2000 October;100.5;2.6
980;4221 Constructions and construction w.;2001 January;101.7;2.9
981;4221 Constructions and construction w.;2001 April;103.7;3.6
982;4221 Constructions and construction w.;2001 July;104.3;3.8
983;4221 Constructions and construction w.;2001 October;105.8;5.2
984;4221 Constructions and construction w.;2002 January;107.9;6.1
985;4221 Constructions and construction w.;2002 April;109.1;5.2
986;4221 Constructions and construction w.;2002 July;110.1;5.5
987;4221 Constructions and construction w.;2002 October;110.3;4.3
988;4221 Constructions and construction w.;2003 January;111.6;3.4
989;4221 Constructions and construction w.;2003 April;112.3;2.9
990;4221 Constructions and construction w.;2003 July;112.9;2.6
991;4221 Constructions and construction w.;2003 October;112.7;2.2
992;4221 Constructions and construction w.;2004 January;114.9;3.0
993;4221 Constructions and construction w.;2004 April;115.1;2.5
994;4221 Constructions and construction w.;2004 July;116.3;3.0
995;4221 Constructions and construction w.;2004 October;117.1;3.9
996;4221 Constructions and construction w.;2005 January;120.9;5.2
997;4221 Constructions and construction w.;2005 April;121.1;5.2
998;4221 Constructions and construction w.;2005 July;122.1;5.0
999;4221 Constructions and construction w.;2005 October;123.1;5.1
1000;4221 Constructions and construction w.;2006 January;124.5;3.0
1001;4221 Constructions and construction w.;2006 April;125.7;3.7
1002;4221 Constructions and construction w.;2006 July;126.2;3.3
1003;4221 Constructions and construction w.;2006 October;126.3;2.6
1004;4221 Constructions and construction w.;2007 January;128.1;2.9
1005;4221 Constructions and construction w.;2007 April;129.3;2.9
1006;4221 Constructions and construction w.;2007 July;130.0;3.1
1007;4221 Constructions and construction w.;2007 October;130.5;3.3
1008;4221 Constructions and construction w.;2008 January;133.2;4.0
1009;4221 Constructions and construction w.;2008 April;135.4;4.7
1010;4221 Constructions and construction w.;2008 July;139.1;7.0
1011;4221 Constructions and construction w.;2008 October;139.0;6.5
1012;4221 Constructions and construction w.;2009 January;139.2;4.5
