ID;Geslacht;Diplomasoort;Studierichting;Vooropleiding;Herkomstgroepering;Opleidingsvorm;Perioden;TotaalGediplomeerden_1;StudieduurInMaanden_2
189;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2004/'05;1365;76.0
190;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2005/'06;1428;77.0
191;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2006/'07;1506;79.0
192;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2007/'08;1388;77.0
193;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2008/'09;1382;78.0
194;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2009/'10;1395;79.0
195;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2010/'11;1494;79.0
196;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2011/'12;1666;79.0
197;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Voltijd;2012/'13;1406;77.0
198;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;1995/'96;32;
199;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;1996/'97;39;
200;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;1997/'98;65;92.0
201;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;1998/'99;40;
202;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;1999/'00;57;96.0
203;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2000/'01;64;101.0
204;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2001/'02;76;107.0
205;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2002/'03;72;106.0
206;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2003/'04;64;108.0
207;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2004/'05;81;108.0
208;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2005/'06;71;110.0
209;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2006/'07;97;112.0
210;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2007/'08;57;117.0
211;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2008/'09;44;
212;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2009/'10;47;
213;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2010/'11;45;
214;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2011/'12;49;
215;Totaal mannen en vrouwen;Master;0;VWO;Westerse allochtoon;Deeltijd;2012/'13;26;
216;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;1995/'96;686;74.0
217;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;1996/'97;697;75.0
218;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;1997/'98;664;75.0
219;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;1998/'99;647;75.0
220;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;1999/'00;670;77.0
221;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2000/'01;725;77.0
222;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2001/'02;783;76.0
223;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2002/'03;859;75.0
224;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2003/'04;980;76.0
225;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2004/'05;1087;78.0
226;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2005/'06;1256;77.0
227;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2006/'07;1353;81.0
228;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2007/'08;1263;80.0
229;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2008/'09;1353;78.0
230;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2009/'10;1506;80.0
231;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2010/'11;1432;80.0
232;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2011/'12;1691;79.0
233;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Totaal opleidingsvorm;2012/'13;1418;77.0
234;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Voltijd;1995/'96;683;74.0
235;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Voltijd;1996/'97;683;74.0
236;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Voltijd;1997/'98;644;75.0
237;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Voltijd;1998/'99;625;74.0
238;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Voltijd;1999/'00;647;76.0
239;Totaal mannen en vrouwen;Master;0;VWO;Niet-westerse allochtoon;Voltijd;2000/'01;692;75.0
