ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
2386;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;1996/97;0;0
2387;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;1997/98;0;0
2388;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;1998/99;1;1035
2389;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;1999/00;1;1122
2390;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2000/01;2;2193
2391;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2001/02;2;2235
2392;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2002/03;2;2265
2393;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2003/04;1;1219
2394;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2004/05;1;1210
2395;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2005/06;1;1153
2396;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2006/07;1;1086
2397;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2007/08;1;1030
2398;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2008/09;0;0
2399;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2009/10;0;0
2400;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2010/11;0;0
2401;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2011/12;0;0
2402;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2012/13;0;0
2403;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2013/14;1;1014
2404;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2014/15;1;1016
2405;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2015/16;0;0
2406;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2016/17;1;1089
2407;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2017/18;1;1152
2408;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2018/19;1;1158
2409;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2019/20;1;1180
2410;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2020/21;1;1170
2411;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2021/22;1;1202
2412;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2022/23;1;1351
2413;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2023/24;1;1425
2414;Total (special) primary education;Public schools;1 001 to 2 001 pupils/students;2024/25;0;0
2415;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1990/91;0;0
2416;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1991/92;0;0
2417;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1992/93;0;0
2418;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1993/94;0;0
2419;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1994/95;0;0
2420;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1995/96;0;0
2421;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1996/97;0;0
2422;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1997/98;0;0
2423;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1998/99;0;0
2424;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;1999/00;0;0
2425;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2000/01;0;0
2426;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2001/02;0;0
2427;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2002/03;0;0
2428;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2003/04;0;0
2429;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2004/05;0;0
2430;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2005/06;0;0
2431;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2006/07;0;0
2432;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2007/08;0;0
2433;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2008/09;0;0
2434;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2009/10;0;0
2435;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2010/11;0;0
2436;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2011/12;0;0
2437;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2012/13;0;0
2438;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2013/14;0;0
2439;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2014/15;0;0
2440;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2015/16;0;0
2441;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2016/17;0;0
2442;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2017/18;0;0
2443;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2018/19;0;0
2444;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2019/20;0;0
2445;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2020/21;0;0
2446;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2021/22;0;0
2447;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2022/23;0;0
2448;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2023/24;0;0
2449;Total (special) primary education;Public schools;2 001 to 5 001 pupils/students;2024/25;0;0
2450;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1990/91;0;0
2451;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1991/92;0;0
2452;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1992/93;0;0
2453;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1993/94;0;0
2454;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1994/95;0;0
2455;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1995/96;0;0
2456;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1996/97;0;0
2457;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1997/98;0;0
2458;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1998/99;0;0
2459;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;1999/00;0;0
2460;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2000/01;0;0
2461;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2001/02;0;0
2462;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2002/03;0;0
2463;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2003/04;0;0
2464;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2004/05;0;0
2465;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2005/06;0;0
2466;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2006/07;0;0
2467;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2007/08;0;0
2468;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2008/09;0;0
2469;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2009/10;0;0
2470;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2010/11;0;0
2471;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2011/12;0;0
2472;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2012/13;0;0
2473;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2013/14;0;0
2474;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2014/15;0;0
2475;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2015/16;0;0
2476;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2016/17;0;0
2477;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2017/18;0;0
2478;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2018/19;0;0
2479;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2019/20;0;0
2480;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2020/21;0;0
2481;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2021/22;0;0
2482;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2022/23;0;0
2483;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2023/24;0;0
2484;Total (special) primary education;Public schools;5 001 to 10 001 pupils/students;2024/25;0;0
2485;Total (special) primary education;Public schools;More than 10 000 pupils/students;1990/91;0;0
2486;Total (special) primary education;Public schools;More than 10 000 pupils/students;1991/92;0;0
2487;Total (special) primary education;Public schools;More than 10 000 pupils/students;1992/93;0;0
2488;Total (special) primary education;Public schools;More than 10 000 pupils/students;1993/94;0;0
2489;Total (special) primary education;Public schools;More than 10 000 pupils/students;1994/95;0;0
2490;Total (special) primary education;Public schools;More than 10 000 pupils/students;1995/96;0;0
2491;Total (special) primary education;Public schools;More than 10 000 pupils/students;1996/97;0;0
2492;Total (special) primary education;Public schools;More than 10 000 pupils/students;1997/98;0;0
2493;Total (special) primary education;Public schools;More than 10 000 pupils/students;1998/99;0;0
2494;Total (special) primary education;Public schools;More than 10 000 pupils/students;1999/00;0;0
2495;Total (special) primary education;Public schools;More than 10 000 pupils/students;2000/01;0;0
2496;Total (special) primary education;Public schools;More than 10 000 pupils/students;2001/02;0;0
2497;Total (special) primary education;Public schools;More than 10 000 pupils/students;2002/03;0;0
2498;Total (special) primary education;Public schools;More than 10 000 pupils/students;2003/04;0;0
2499;Total (special) primary education;Public schools;More than 10 000 pupils/students;2004/05;0;0
2500;Total (special) primary education;Public schools;More than 10 000 pupils/students;2005/06;0;0
2501;Total (special) primary education;Public schools;More than 10 000 pupils/students;2006/07;0;0
2502;Total (special) primary education;Public schools;More than 10 000 pupils/students;2007/08;0;0
2503;Total (special) primary education;Public schools;More than 10 000 pupils/students;2008/09;0;0
2504;Total (special) primary education;Public schools;More than 10 000 pupils/students;2009/10;0;0
2505;Total (special) primary education;Public schools;More than 10 000 pupils/students;2010/11;0;0
2506;Total (special) primary education;Public schools;More than 10 000 pupils/students;2011/12;0;0
2507;Total (special) primary education;Public schools;More than 10 000 pupils/students;2012/13;0;0
2508;Total (special) primary education;Public schools;More than 10 000 pupils/students;2013/14;0;0
2509;Total (special) primary education;Public schools;More than 10 000 pupils/students;2014/15;0;0
2510;Total (special) primary education;Public schools;More than 10 000 pupils/students;2015/16;0;0
2511;Total (special) primary education;Public schools;More than 10 000 pupils/students;2016/17;0;0
2512;Total (special) primary education;Public schools;More than 10 000 pupils/students;2017/18;0;0
2513;Total (special) primary education;Public schools;More than 10 000 pupils/students;2018/19;0;0
2514;Total (special) primary education;Public schools;More than 10 000 pupils/students;2019/20;0;0
2515;Total (special) primary education;Public schools;More than 10 000 pupils/students;2020/21;0;0
2516;Total (special) primary education;Public schools;More than 10 000 pupils/students;2021/22;0;0
2517;Total (special) primary education;Public schools;More than 10 000 pupils/students;2022/23;0;0
2518;Total (special) primary education;Public schools;More than 10 000 pupils/students;2023/24;0;0
2519;Total (special) primary education;Public schools;More than 10 000 pupils/students;2024/25;0;0
2520;Total (special) primary education;Special schools;Total;1990/91;5850;1030356
2521;Total (special) primary education;Special schools;Total;1991/92;5835;1005288
2522;Total (special) primary education;Special schools;Total;1992/93;5783;1008694
2523;Total (special) primary education;Special schools;Total;1993/94;5685;1015946
2524;Total (special) primary education;Special schools;Total;1994/95;5540;1032070
2525;Total (special) primary education;Special schools;Total;1995/96;5292;1048967
2526;Total (special) primary education;Special schools;Total;1996/97;5192;1062987
2527;Total (special) primary education;Special schools;Total;1997/98;5132;1075635
2528;Total (special) primary education;Special schools;Total;1998/99;5086;1084959
2529;Total (special) primary education;Special schools;Total;1999/00;5051;1090208
2530;Total (special) primary education;Special schools;Total;2000/01;4993;1092537
2531;Total (special) primary education;Special schools;Total;2001/02;4971;1098245
2532;Total (special) primary education;Special schools;Total;2002/03;4971;1100406
2533;Total (special) primary education;Special schools;Total;2003/04;4939;1102240
2534;Total (special) primary education;Special schools;Total;2004/05;4904;1105664
2535;Total (special) primary education;Special schools;Total;2005/06;4900;1107746
2536;Total (special) primary education;Special schools;Total;2006/07;4881;1108082
2537;Total (special) primary education;Special schools;Total;2007/08;4865;1110580
2538;Total (special) primary education;Special schools;Total;2008/09;4872;1111769
2539;Total (special) primary education;Special schools;Total;2009/10;4863;1107047
2540;Total (special) primary education;Special schools;Total;2010/11;4827;1096945
2541;Total (special) primary education;Special schools;Total;2011/12;4806;1083811
2542;Total (special) primary education;Special schools;Total;2012/13;4760;1070206
2543;Total (special) primary education;Special schools;Total;2013/14;4703;1056150
2544;Total (special) primary education;Special schools;Total;2014/15;4647;1043333
2545;Total (special) primary education;Special schools;Total;2015/16;4576;1032244
2546;Total (special) primary education;Special schools;Total;2016/17;4529;1022146
2547;Total (special) primary education;Special schools;Total;2017/18;4476;1014427
2548;Total (special) primary education;Special schools;Total;2018/19;4433;1009294
2549;Total (special) primary education;Special schools;Total;2019/20;4422;1004010
2550;Total (special) primary education;Special schools;Total;2020/21;4407;998335
2551;Total (special) primary education;Special schools;Total;2021/22;4378;988523
2552;Total (special) primary education;Special schools;Total;2022/23;4364;985827
2553;Total (special) primary education;Special schools;Total;2023/24;4358;978653
2554;Total (special) primary education;Special schools;Total;2024/25;4341;976478
2555;Total (special) primary education;Special schools;Less than 101 pupils/students;1990/91;1249;86662
2556;Total (special) primary education;Special schools;Less than 101 pupils/students;1991/92;1296;89397
2557;Total (special) primary education;Special schools;Less than 101 pupils/students;1992/93;1283;90118
2558;Total (special) primary education;Special schools;Less than 101 pupils/students;1993/94;1223;84934
2559;Total (special) primary education;Special schools;Less than 101 pupils/students;1994/95;1108;77235
2560;Total (special) primary education;Special schools;Less than 101 pupils/students;1995/96;966;66488
2561;Total (special) primary education;Special schools;Less than 101 pupils/students;1996/97;916;63682
2562;Total (special) primary education;Special schools;Less than 101 pupils/students;1997/98;865;60240
2563;Total (special) primary education;Special schools;Less than 101 pupils/students;1998/99;831;57604
2564;Total (special) primary education;Special schools;Less than 101 pupils/students;1999/00;817;56360
2565;Total (special) primary education;Special schools;Less than 101 pupils/students;2000/01;780;54767
2566;Total (special) primary education;Special schools;Less than 101 pupils/students;2001/02;745;51823
2567;Total (special) primary education;Special schools;Less than 101 pupils/students;2002/03;758;51844
2568;Total (special) primary education;Special schools;Less than 101 pupils/students;2003/04;734;50832
2569;Total (special) primary education;Special schools;Less than 101 pupils/students;2004/05;709;49201
2570;Total (special) primary education;Special schools;Less than 101 pupils/students;2005/06;715;49674
2571;Total (special) primary education;Special schools;Less than 101 pupils/students;2006/07;713;49700
2572;Total (special) primary education;Special schools;Less than 101 pupils/students;2007/08;708;48857
2573;Total (special) primary education;Special schools;Less than 101 pupils/students;2008/09;746;51022
2574;Total (special) primary education;Special schools;Less than 101 pupils/students;2009/10;780;53839
2575;Total (special) primary education;Special schools;Less than 101 pupils/students;2010/11;792;55726
2576;Total (special) primary education;Special schools;Less than 101 pupils/students;2011/12;807;56316
2577;Total (special) primary education;Special schools;Less than 101 pupils/students;2012/13;789;55451
2578;Total (special) primary education;Special schools;Less than 101 pupils/students;2013/14;794;55939
2579;Total (special) primary education;Special schools;Less than 101 pupils/students;2014/15;785;55678
2580;Total (special) primary education;Special schools;Less than 101 pupils/students;2015/16;765;54286
2581;Total (special) primary education;Special schools;Less than 101 pupils/students;2016/17;754;53548
2582;Total (special) primary education;Special schools;Less than 101 pupils/students;2017/18;740;53084
2583;Total (special) primary education;Special schools;Less than 101 pupils/students;2018/19;710;50759
2584;Total (special) primary education;Special schools;Less than 101 pupils/students;2019/20;715;51116
2585;Total (special) primary education;Special schools;Less than 101 pupils/students;2020/21;713;50949
2586;Total (special) primary education;Special schools;Less than 101 pupils/students;2021/22;695;49663
2587;Total (special) primary education;Special schools;Less than 101 pupils/students;2022/23;704;49568
2588;Total (special) primary education;Special schools;Less than 101 pupils/students;2023/24;697;49229
2589;Total (special) primary education;Special schools;Less than 101 pupils/students;2024/25;687;49133
2590;Total (special) primary education;Special schools;101 to 201 pupils/students;1990/91;2608;388810
2591;Total (special) primary education;Special schools;101 to 201 pupils/students;1991/92;2647;393356
2592;Total (special) primary education;Special schools;101 to 201 pupils/students;1992/93;2577;384407
2593;Total (special) primary education;Special schools;101 to 201 pupils/students;1993/94;2405;359078
2594;Total (special) primary education;Special schools;101 to 201 pupils/students;1994/95;2236;336087
2595;Total (special) primary education;Special schools;101 to 201 pupils/students;1995/96;1917;290629
2596;Total (special) primary education;Special schools;101 to 201 pupils/students;1996/97;1778;269657
2597;Total (special) primary education;Special schools;101 to 201 pupils/students;1997/98;1738;264331
2598;Total (special) primary education;Special schools;101 to 201 pupils/students;1998/99;1683;256286
2599;Total (special) primary education;Special schools;101 to 201 pupils/students;1999/00;1639;249721
2600;Total (special) primary education;Special schools;101 to 201 pupils/students;2000/01;1602;245234
2601;Total (special) primary education;Special schools;101 to 201 pupils/students;2001/02;1613;246700
2602;Total (special) primary education;Special schools;101 to 201 pupils/students;2002/03;1604;245092
2603;Total (special) primary education;Special schools;101 to 201 pupils/students;2003/04;1602;244804
2604;Total (special) primary education;Special schools;101 to 201 pupils/students;2004/05;1580;240975
2605;Total (special) primary education;Special schools;101 to 201 pupils/students;2005/06;1563;238061
2606;Total (special) primary education;Special schools;101 to 201 pupils/students;2006/07;1565;238562
2607;Total (special) primary education;Special schools;101 to 201 pupils/students;2007/08;1560;237127
2608;Total (special) primary education;Special schools;101 to 201 pupils/students;2008/09;1540;234809
2609;Total (special) primary education;Special schools;101 to 201 pupils/students;2009/10;1533;234371
2610;Total (special) primary education;Special schools;101 to 201 pupils/students;2010/11;1544;237067
2611;Total (special) primary education;Special schools;101 to 201 pupils/students;2011/12;1560;239516
2612;Total (special) primary education;Special schools;101 to 201 pupils/students;2012/13;1586;243169
2613;Total (special) primary education;Special schools;101 to 201 pupils/students;2013/14;1570;240823
2614;Total (special) primary education;Special schools;101 to 201 pupils/students;2014/15;1548;235628
2615;Total (special) primary education;Special schools;101 to 201 pupils/students;2015/16;1512;229904
2616;Total (special) primary education;Special schools;101 to 201 pupils/students;2016/17;1499;227731
2617;Total (special) primary education;Special schools;101 to 201 pupils/students;2017/18;1503;229160
2618;Total (special) primary education;Special schools;101 to 201 pupils/students;2018/19;1492;227151
2619;Total (special) primary education;Special schools;101 to 201 pupils/students;2019/20;1472;223329
2620;Total (special) primary education;Special schools;101 to 201 pupils/students;2020/21;1470;223013
2621;Total (special) primary education;Special schools;101 to 201 pupils/students;2021/22;1484;224994
2622;Total (special) primary education;Special schools;101 to 201 pupils/students;2022/23;1462;222607
2623;Total (special) primary education;Special schools;101 to 201 pupils/students;2023/24;1466;222942
2624;Total (special) primary education;Special schools;101 to 201 pupils/students;2024/25;1473;225370
2625;Total (special) primary education;Special schools;201 to 501 pupils/students;1990/91;1954;532763
2626;Total (special) primary education;Special schools;201 to 501 pupils/students;1991/92;1862;505404
2627;Total (special) primary education;Special schools;201 to 501 pupils/students;1992/93;1889;514781
2628;Total (special) primary education;Special schools;201 to 501 pupils/students;1993/94;2018;549987
2629;Total (special) primary education;Special schools;201 to 501 pupils/students;1994/95;2145;589984
2630;Total (special) primary education;Special schools;201 to 501 pupils/students;1995/96;2346;655609
2631;Total (special) primary education;Special schools;201 to 501 pupils/students;1996/97;2422;685742
2632;Total (special) primary education;Special schools;201 to 501 pupils/students;1997/98;2432;695014
2633;Total (special) primary education;Special schools;201 to 501 pupils/students;1998/99;2457;704712
2634;Total (special) primary education;Special schools;201 to 501 pupils/students;1999/00;2470;710756
2635;Total (special) primary education;Special schools;201 to 501 pupils/students;2000/01;2491;720867
2636;Total (special) primary education;Special schools;201 to 501 pupils/students;2001/02;2478;719377
2637;Total (special) primary education;Special schools;201 to 501 pupils/students;2002/03;2473;721890
2638;Total (special) primary education;Special schools;201 to 501 pupils/students;2003/04;2460;720362
2639;Total (special) primary education;Special schools;201 to 501 pupils/students;2004/05;2465;724164
2640;Total (special) primary education;Special schools;201 to 501 pupils/students;2005/06;2467;724901
2641;Total (special) primary education;Special schools;201 to 501 pupils/students;2006/07;2431;714733
2642;Total (special) primary education;Special schools;201 to 501 pupils/students;2007/08;2406;706939
2643;Total (special) primary education;Special schools;201 to 501 pupils/students;2008/09;2388;702719
2644;Total (special) primary education;Special schools;201 to 501 pupils/students;2009/10;2349;692831
2645;Total (special) primary education;Special schools;201 to 501 pupils/students;2010/11;2279;671413
2646;Total (special) primary education;Special schools;201 to 501 pupils/students;2011/12;2220;651423
2647;Total (special) primary education;Special schools;201 to 501 pupils/students;2012/13;2175;639909
2648;Total (special) primary education;Special schools;201 to 501 pupils/students;2013/14;2135;631584
2649;Total (special) primary education;Special schools;201 to 501 pupils/students;2014/15;2105;621648
2650;Total (special) primary education;Special schools;201 to 501 pupils/students;2015/16;2101;623353
2651;Total (special) primary education;Special schools;201 to 501 pupils/students;2016/17;2076;615032
2652;Total (special) primary education;Special schools;201 to 501 pupils/students;2017/18;2038;608584
2653;Total (special) primary education;Special schools;201 to 501 pupils/students;2018/19;2044;611942
2654;Total (special) primary education;Special schools;201 to 501 pupils/students;2019/20;2055;614858
2655;Total (special) primary education;Special schools;201 to 501 pupils/students;2020/21;2050;613500
2656;Total (special) primary education;Special schools;201 to 501 pupils/students;2021/22;2035;609234
2657;Total (special) primary education;Special schools;201 to 501 pupils/students;2022/23;2032;607508
2658;Total (special) primary education;Special schools;201 to 501 pupils/students;2023/24;2041;609301
2659;Total (special) primary education;Special schools;201 to 501 pupils/students;2024/25;2026;604854
2660;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1990/91;39;22121
2661;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1991/92;30;17131
2662;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1992/93;34;19388
2663;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1993/94;39;21947
2664;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1994/95;51;28764
2665;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1995/96;63;36241
2666;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1996/97;76;43906
2667;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1997/98;97;56050
2668;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1998/99;115;66357
2669;Total (special) primary education;Special schools;501 to 1 001 pupils/students;1999/00;125;73371
2670;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2000/01;119;70645
2671;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2001/02;134;79255
2672;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2002/03;135;80450
2673;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2003/04;142;85070
2674;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2004/05;149;90158
2675;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2005/06;154;93921
2676;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2006/07;171;103879
2677;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2007/08;189;115460
2678;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2008/09;196;121002
2679;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2009/10;197;121787
2680;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2010/11;209;129515
2681;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2011/12;216;133417
2682;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2012/13;207;128493
2683;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2013/14;200;123421
2684;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2014/15;204;124700
2685;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2015/16;193;118837
2686;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2016/17;196;120761
2687;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2017/18;191;118309
2688;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2018/19;183;114038
2689;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2019/20;176;109244
2690;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2020/21;171;106507
2691;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2021/22;161;100337
2692;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2022/23;163;101776
2693;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2023/24;152;94055
2694;Total (special) primary education;Special schools;501 to 1 001 pupils/students;2024/25;151;92007
2695;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1990/91;0;0
2696;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1991/92;0;0
2697;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1992/93;0;0
2698;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1993/94;0;0
2699;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1994/95;0;0
2700;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1995/96;0;0
2701;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1996/97;0;0
2702;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1997/98;0;0
2703;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1998/99;0;0
2704;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;1999/00;0;0
2705;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2000/01;1;1024
2706;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2001/02;1;1090
2707;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2002/03;1;1130
2708;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2003/04;1;1172
2709;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2004/05;1;1166
2710;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2005/06;1;1189
2711;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2006/07;1;1208
2712;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2007/08;2;2197
2713;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2008/09;2;2217
2714;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2009/10;4;4219
2715;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2010/11;3;3224
2716;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2011/12;3;3139
2717;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2012/13;3;3184
2718;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2013/14;4;4383
2719;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2014/15;5;5679
2720;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2015/16;5;5864
2721;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2016/17;4;5074
2722;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2017/18;4;5290
2723;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2018/19;4;5404
2724;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2019/20;4;5463
2725;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2020/21;3;4366
2726;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2021/22;3;4295
2727;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2022/23;3;4368
2728;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2023/24;2;3126
2729;Total (special) primary education;Special schools;1 001 to 2 001 pupils/students;2024/25;4;5114
2730;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1990/91;0;0
2731;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1991/92;0;0
2732;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1992/93;0;0
2733;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1993/94;0;0
