ID;Geslacht;Leeftijd;GeneesmiddelengroepATC;RegioS;Perioden;PersonenMetVerstrekteGeneesmiddelen_1;PersonenMetGeneesmiddelenRelatief_2;GedefinieerdeDagdosesDDD_3;GedefinieerdeDagdosesDDDRelatief_4
239;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2021;90315.0;62.88;71422.0;497238.0
240;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2022;92765.0;64.12;72467.0;500890.0
241;Totaal mannen en vrouwen;10000;Totaal;Zuidwest-Friesland (CR);2023;93460.0;64.55;69533.0;480274.0
242;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2013;140890.0;66.97;;
243;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2014;125820.0;66.5;;
244;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2015;127130.0;67.11;;
245;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2016;127220.0;67.27;;
246;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2017;126775.0;67.03;;
247;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2018;127610.0;67.39;;
248;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2019;127320.0;67.06;;
249;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2020;122905.0;64.65;102571.0;539539.0
250;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2021;123885.0;65.07;104487.0;548767.0
251;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2022;127190.0;66.23;105632.0;550019.0
252;Totaal mannen en vrouwen;10000;Totaal;Zuidoost-Friesland (CR);2023;128160.0;66.42;101771.0;527405.0
253;Totaal mannen en vrouwen;10000;Totaal;Noord-Drenthe (CR);2013;127350.0;66.34;;
254;Totaal mannen en vrouwen;10000;Totaal;Noord-Drenthe (CR);2014;126720.0;66.06;;
255;Totaal mannen en vrouwen;10000;Totaal;Noord-Drenthe (CR);2015;126955.0;66.02;;
256;Totaal mannen en vrouwen;10000;Totaal;Noord-Drenthe (CR);2016;128410.0;63.75;;
257;Totaal mannen en vrouwen;10000;Totaal;Noord-Drenthe (CR);2017;132635.0;62.59;;
