ID;Sex;CharacteristicHouseholdsPersons;CaribbeanNetherlands;Periods;LabourForceAndNotInTheLabourForce_1;EmployedLabourForce_2;WantToWorkMoreHoursAvailable_3;DoesnTWantMoreHoursOrNotAvailable_4;NotEmployedLabourForce_5;UnemployedLabourForce_6;NotInTheLabourForce_7;AvailableToWorkButNotSeeking_8;SeekingWorkButNotAvailable_9;NotSeekingWorkNotAvailable_10;WantToWork_11;DoesnTWantToOrCanTWork_12;BecauseOfFamilyHouseholdCare_13;BecauseOfEducation_14;BecauseOfRetirementOldAge_15;BecauseOfIllnessDisability_16;BecauseOfOtherReason_17
201;Total male and female;Age: 65 to 74 years;Bonaire;2018;1600;370;40;340;1220;20;1210;10;0;1200;20;1180;10;0;1060;60;50
202;Total male and female;Age: 65 to 74 years;Bonaire;2020;1790;430;120;320;1350;10;1350;40;0;1310;20;1300;20;0;1170;40;60
203;Total male and female;Age: 65 to 74 years;Bonaire;2022;1990;340;60;280;1640;0;1640;0;0;1640;30;1610;70;0;1470;50;20
204;Total male and female;Age: 65 to 74 years;St. Eustatius;2012;220;50;0;50;170;0;170;0;0;170;0;170;0;0;160;10;0
205;Total male and female;Age: 65 to 74 years;St. Eustatius;2014;280;100;20;70;190;0;190;20;0;160;0;160;10;0;110;30;10
206;Total male and female;Age: 65 to 74 years;St. Eustatius;2016;210;40;10;30;170;10;170;20;0;150;10;150;0;0;130;10;0
207;Total male and female;Age: 65 to 74 years;St. Eustatius;2018;260;70;0;60;190;0;190;0;0;190;0;180;0;0;180;0;0
208;Total male and female;Age: 65 to 74 years;St. Eustatius;2020;260;50;0;50;210;0;210;0;0;210;0;210;0;0;210;0;0
209;Total male and female;Age: 65 to 74 years;St. Eustatius;2022;270;100;10;80;180;0;170;0;0;170;0;170;0;0;150;20;10
210;Total male and female;Age: 65 to 74 years;Saba;2012;140;40;10;30;100;0;100;10;0;90;0;90;10;0;60;10;0
211;Total male and female;Age: 65 to 74 years;Saba;2014;140;30;10;30;100;0;100;20;0;90;0;80;10;0;70;10;0
212;Total male and female;Age: 65 to 74 years;Saba;2016;160;30;0;30;130;0;130;0;0;120;10;120;10;0;80;10;10
213;Total male and female;Age: 65 to 74 years;Saba;2018;180;60;10;50;120;0;120;0;0;120;0;110;0;0;100;20;0
214;Total male and female;Age: 65 to 74 years;Saba;2020;170;40;10;40;130;0;130;10;0;120;0;120;0;0;100;10;0
215;Total male and female;Age: 65 to 74 years;Saba;2022;180;30;0;30;140;0;140;0;0;140;0;140;0;0;130;10;0
216;Total male and female;Level of educ: 1. Low;Caribbean Netherlands;2012;10200;6530;1620;4910;3670;400;3270;540;40;2690;120;2580;220;640;1000;350;360
217;Total male and female;Level of educ: 1. Low;Caribbean Netherlands;2014;10180;6720;1370;5350;3460;570;2900;440;70;2390;150;2240;230;610;800;420;190
218;Total male and female;Level of educ: 1. Low;Caribbean Netherlands;2016;9820;5830;640;5190;4000;620;3380;480;50;2850;130;2720;200;720;1130;470;210
219;Total male and female;Level of educ: 1. Low;Caribbean Netherlands;2018;9750;6650;840;5810;3100;330;2780;340;100;2330;130;2200;150;520;1000;340;180
220;Total male and female;Level of educ: 1. Low;Caribbean Netherlands;2020;10530;6810;1100;5720;3720;360;3360;410;20;2940;150;2790;250;690;1130;470;250
221;Total male and female;Level of educ: 1. Low;Caribbean Netherlands;2022;11020;7410;960;6440;3620;310;3310;290;40;2980;170;2820;240;550;1170;610;250
222;Total male and female;Level of educ: 1. Low;Bonaire;2012;7630;4790;1240;3540;2840;330;2510;420;20;2070;80;1990;170;450;770;300;300
223;Total male and female;Level of educ: 1. Low;Bonaire;2014;7780;5170;1060;4110;2610;420;2190;270;60;1860;60;1800;190;490;650;310;160
224;Total male and female;Level of educ: 1. Low;Bonaire;2016;7560;4440;420;4020;3120;490;2630;280;50;2300;90;2210;160;570;930;380;170
225;Total male and female;Level of educ: 1. Low;Bonaire;2018;7650;5200;660;4550;2440;270;2180;230;100;1850;120;1730;120;360;790;290;170
226;Total male and female;Level of educ: 1. Low;Bonaire;2020;8290;5310;920;4390;2980;310;2680;290;20;2370;140;2230;230;510;840;410;230
227;Total male and female;Level of educ: 1. Low;Bonaire;2022;8950;6000;860;5140;2950;250;2700;200;30;2470;160;2310;220;410;980;540;180
228;Total male and female;Level of educ: 1. Low;St. Eustatius;2012;1740;1180;220;970;560;50;520;80;10;430;20;410;30;140;160;30;60
229;Total male and female;Level of educ: 1. Low;St. Eustatius;2014;1890;1180;220;960;710;140;580;160;10;410;80;320;30;90;90;90;20
230;Total male and female;Level of educ: 1. Low;St. Eustatius;2016;1580;960;190;770;620;100;520;160;0;370;30;340;30;130;130;40;10
231;Total male and female;Level of educ: 1. Low;St. Eustatius;2018;1450;990;100;890;460;50;410;100;0;310;10;300;20;130;120;20;10
232;Total male and female;Level of educ: 1. Low;St. Eustatius;2020;1630;1070;100;970;560;30;530;90;0;440;0;440;20;150;230;20;20
233;Total male and female;Level of educ: 1. Low;St. Eustatius;2022;1530;1040;60;980;490;40;440;90;0;350;10;350;10;130;100;60;60
234;Total male and female;Level of educ: 1. Low;Saba;2012;830;560;160;400;270;30;240;40;10;200;20;180;20;50;70;20;10
235;Total male and female;Level of educ: 1. Low;Saba;2014;520;370;90;280;150;10;130;10;0;120;10;120;10;30;60;20;0
236;Total male and female;Level of educ: 1. Low;Saba;2016;680;430;40;390;260;30;230;40;0;190;20;170;20;20;70;50;20
237;Total male and female;Level of educ: 1. Low;Saba;2018;650;460;80;380;200;10;180;10;0;170;0;170;20;30;90;30;0
238;Total male and female;Level of educ: 1. Low;Saba;2020;610;430;70;360;180;30;150;30;0;130;0;130;0;30;60;40;0
239;Total male and female;Level of educ: 1. Low;Saba;2022;550;370;50;320;180;10;170;0;10;160;10;150;10;20;90;20;20
240;Total male and female;Level of educ: 2 Intermediate;Caribbean Netherlands;2012;4160;3080;440;2640;1080;190;900;210;40;650;50;600;70;270;130;40;90
241;Total male and female;Level of educ: 2 Intermediate;Caribbean Netherlands;2014;5070;3580;850;2730;1490;240;1260;170;60;1030;50;980;90;370;370;30;140
242;Total male and female;Level of educ: 2 Intermediate;Caribbean Netherlands;2016;5440;4150;420;3730;1290;230;1060;70;10;970;60;920;120;450;260;40;50
243;Total male and female;Level of educ: 2 Intermediate;Caribbean Netherlands;2018;6400;5030;670;4360;1370;80;1300;110;20;1170;40;1130;90;520;350;100;70
244;Total male and female;Level of educ: 2 Intermediate;Caribbean Netherlands;2020;6000;4520;520;4000;1480;160;1320;190;90;1050;40;1010;120;390;360;70;70
245;Total male and female;Level of educ: 2 Intermediate;Caribbean Netherlands;2022;6200;4720;640;4080;1480;140;1350;110;0;1240;80;1160;80;430;470;80;100
246;Total male and female;Level of educ: 2 Intermediate;Bonaire;2012;3170;2320;310;2010;840;170;670;190;20;460;40;430;40;190;100;30;70
247;Total male and female;Level of educ: 2 Intermediate;Bonaire;2014;3840;2660;630;2030;1180;150;1030;100;60;870;40;840;70;330;310;10;120
248;Total male and female;Level of educ: 2 Intermediate;Bonaire;2016;4750;3610;340;3270;1140;210;930;60;0;870;50;830;100;420;220;40;50
249;Total male and female;Level of educ: 2 Intermediate;Bonaire;2018;5200;4130;570;3560;1070;40;1030;80;0;940;20;930;70;470;250;90;60
250;Total male and female;Level of educ: 2 Intermediate;Bonaire;2020;5100;3820;440;3370;1290;140;1140;150;90;910;30;880;110;360;290;50;70
251;Total male and female;Level of educ: 2 Intermediate;Bonaire;2022;5250;3980;600;3380;1270;120;1160;80;0;1080;70;1010;70;400;380;70;90
252;Total male and female;Level of educ: 2 Intermediate;St. Eustatius;2012;750;550;80;470;200;20;190;20;10;150;10;140;20;70;20;10;20
253;Total male and female;Level of educ: 2 Intermediate;St. Eustatius;2014;870;640;160;480;230;80;160;50;0;110;10;90;10;20;40;10;10
254;Total male and female;Level of educ: 2 Intermediate;St. Eustatius;2016;380;290;40;250;100;20;70;10;10;50;10;40;10;10;20;0;0
255;Total male and female;Level of educ: 2 Intermediate;St. Eustatius;2018;760;540;60;480;230;30;200;20;10;170;10;150;20;40;80;10;10
256;Total male and female;Level of educ: 2 Intermediate;St. Eustatius;2020;480;380;30;350;100;10;90;20;0;80;10;70;0;20;40;0;0
257;Total male and female;Level of educ: 2 Intermediate;St. Eustatius;2022;540;420;30;390;120;10;110;30;0;70;0;70;10;10;40;0;0
258;Total male and female;Level of educ: 2 Intermediate;Saba;2012;240;200;50;160;40;0;40;0;0;30;0;30;10;10;10;0;0
259;Total male and female;Level of educ: 2 Intermediate;Saba;2014;370;280;60;220;90;10;80;20;0;60;10;50;10;20;10;10;10
260;Total male and female;Level of educ: 2 Intermediate;Saba;2016;310;250;40;210;60;0;60;10;0;50;0;50;10;20;20;0;0
261;Total male and female;Level of educ: 2 Intermediate;Saba;2018;440;360;40;320;80;10;70;10;0;60;10;50;10;10;20;10;10
262;Total male and female;Level of educ: 2 Intermediate;Saba;2020;420;330;60;270;100;10;90;20;0;60;10;60;10;10;30;10;0
263;Total male and female;Level of educ: 2 Intermediate;Saba;2022;410;320;10;310;90;10;80;0;0;80;0;80;0;20;50;10;10
264;Total male and female;Level of educ: 3 High;Caribbean Netherlands;2012;3100;2330;300;2020;770;60;710;60;0;650;30;620;10;330;250;0;30
265;Total male and female;Level of educ: 3 High;Caribbean Netherlands;2014;3440;2490;390;2100;950;100;860;60;10;780;30;750;70;370;220;40;50
266;Total male and female;Level of educ: 3 High;Caribbean Netherlands;2016;3530;2910;260;2640;620;50;570;30;0;540;10;530;40;250;200;10;30
267;Total male and female;Level of educ: 3 High;Caribbean Netherlands;2018;3410;2470;260;2220;940;80;860;80;0;780;20;760;60;290;360;20;30
268;Total male and female;Level of educ: 3 High;Caribbean Netherlands;2020;3450;2680;310;2370;770;50;720;100;0;620;70;550;50;80;370;0;50
269;Total male and female;Level of educ: 3 High;Caribbean Netherlands;2022;4160;3310;200;3110;850;40;810;0;0;810;20;790;50;170;450;40;70
270;Total male and female;Level of educ: 3 High;Bonaire;2012;2040;1690;210;1480;350;50;310;40;0;270;10;250;0;70;170;0;20
271;Total male and female;Level of educ: 3 High;Bonaire;2014;2370;1880;300;1580;490;90;400;20;10;360;20;350;50;50;170;30;40
272;Total male and female;Level of educ: 3 High;Bonaire;2016;2490;2270;180;2090;220;40;180;30;0;160;0;160;20;20;100;0;20
273;Total male and female;Level of educ: 3 High;Bonaire;2018;2400;1840;190;1650;560;60;500;70;0;430;10;420;60;10;300;20;30
274;Total male and female;Level of educ: 3 High;Bonaire;2020;2700;2090;210;1880;610;50;560;70;0;490;70;420;40;20;320;0;50
275;Total male and female;Level of educ: 3 High;Bonaire;2022;3310;2720;150;2570;590;20;570;0;0;570;20;550;50;10;380;40;60
276;Total male and female;Level of educ: 3 High;St. Eustatius;2012;480;360;50;310;130;10;120;0;0;110;10;100;0;30;60;0;0
277;Total male and female;Level of educ: 3 High;St. Eustatius;2014;460;380;60;330;80;0;80;30;0;50;10;40;10;0;30;0;10
278;Total male and female;Level of educ: 3 High;St. Eustatius;2016;460;350;40;310;110;0;110;10;0;100;10;90;10;0;60;10;10
279;Total male and female;Level of educ: 3 High;St. Eustatius;2018;370;310;30;290;50;10;50;10;0;40;10;30;0;0;30;0;0
280;Total male and female;Level of educ: 3 High;St. Eustatius;2020;290;260;20;240;30;0;30;0;0;30;0;30;0;10;10;0;10
281;Total male and female;Level of educ: 3 High;St. Eustatius;2022;360;310;10;300;50;10;40;0;0;30;0;30;0;0;30;0;0
282;Total male and female;Level of educ: 3 High;Saba;2012;570;280;50;230;300;10;280;10;0;270;10;260;10;230;20;0;10
283;Total male and female;Level of educ: 3 High;Saba;2014;610;230;40;190;380;0;380;10;0;370;10;360;10;320;30;0;0
284;Total male and female;Level of educ: 3 High;Saba;2016;580;290;50;240;290;10;280;0;0;280;0;280;10;230;40;0;10
285;Total male and female;Level of educ: 3 High;Saba;2018;650;320;40;280;330;10;320;10;0;310;0;310;0;280;30;0;0
286;Total male and female;Level of educ: 3 High;Saba;2020;470;340;90;250;130;0;130;20;0;110;0;110;0;60;40;0;0
287;Total male and female;Level of educ: 3 High;Saba;2022;490;280;30;240;220;10;210;0;0;210;0;200;0;160;30;0;10
288;Total male and female;Level of educ: unknown;Caribbean Netherlands;2012;30;10;0;10;20;0;20;0;0;20;0;20;0;0;0;10;0
289;Total male and female;Level of educ: unknown;Caribbean Netherlands;2014;530;270;110;170;250;10;240;20;10;210;10;200;0;80;90;10;20
290;Total male and female;Level of educ: unknown;Caribbean Netherlands;2016;530;410;10;400;130;30;90;0;0;90;0;90;10;0;30;50;0
291;Total male and female;Level of educ: unknown;Caribbean Netherlands;2018;200;120;10;110;80;0;80;50;0;30;0;30;0;0;0;10;10
292;Total male and female;Level of educ: unknown;Caribbean Netherlands;2020;420;320;40;280;100;50;40;0;0;40;10;30;0;0;10;20;0
293;Total male and female;Level of educ: unknown;Caribbean Netherlands;2022;320;230;30;210;90;10;80;20;0;60;0;60;20;0;10;10;20
294;Total male and female;Level of educ: unknown;Bonaire;2012;20;10;0;10;10;0;10;0;0;10;0;10;0;0;0;10;0
295;Total male and female;Level of educ: unknown;Bonaire;2014;480;250;100;150;230;10;210;10;0;200;10;190;0;70;90;10;10
296;Total male and female;Level of educ: unknown;Bonaire;2016;510;390;10;380;120;30;90;0;0;90;0;90;10;0;30;50;0
297;Total male and female;Level of educ: unknown;Bonaire;2018;150;70;0;70;80;0;80;50;0;20;0;20;0;0;0;10;10
298;Total male and female;Level of educ: unknown;Bonaire;2020;360;280;40;240;90;50;40;0;0;40;10;30;0;0;10;20;0
299;Total male and female;Level of educ: unknown;Bonaire;2022;200;140;20;120;60;0;60;20;0;40;0;40;10;0;0;10;10
300;Total male and female;Level of educ: unknown;St. Eustatius;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
301;Total male and female;Level of educ: unknown;St. Eustatius;2014;30;10;10;0;20;0;20;10;10;10;0;10;0;10;0;0;0
302;Total male and female;Level of educ: unknown;St. Eustatius;2016;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
303;Total male and female;Level of educ: unknown;St. Eustatius;2018;20;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
304;Total male and female;Level of educ: unknown;St. Eustatius;2020;20;10;0;10;10;0;10;0;0;10;0;10;0;0;0;0;0
305;Total male and female;Level of educ: unknown;St. Eustatius;2022;50;40;10;30;20;0;10;0;0;10;0;10;0;0;10;0;0
306;Total male and female;Level of educ: unknown;Saba;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
307;Total male and female;Level of educ: unknown;Saba;2014;20;20;0;20;10;0;10;0;0;10;0;10;0;0;0;0;0
308;Total male and female;Level of educ: unknown;Saba;2016;10;10;0;10;10;0;10;0;0;10;0;10;0;0;0;0;0
309;Total male and female;Level of educ: unknown;Saba;2018;30;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0
310;Total male and female;Level of educ: unknown;Saba;2020;40;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0
311;Total male and female;Level of educ: unknown;Saba;2022;70;50;0;50;10;0;10;0;0;10;0;10;0;0;10;0;0
312;Male;Total persons;Caribbean Netherlands;2012;9410;6620;1420;5210;2780;350;2430;440;30;1960;50;1910;20;700;770;180;250
313;Male;Total persons;Caribbean Netherlands;2014;10220;7250;1750;5510;2970;490;2480;350;90;2030;50;1980;30;710;830;220;190
314;Male;Total persons;Caribbean Netherlands;2016;10100;7160;680;6480;2950;500;2450;340;10;2100;90;2020;10;750;790;300;170
315;Male;Total persons;Caribbean Netherlands;2018;10230;7580;1010;6580;2650;280;2380;320;20;2040;50;1990;30;740;820;230;170
316;Male;Total persons;Caribbean Netherlands;2020;10630;7820;1280;6540;2810;300;2510;370;70;2070;70;2000;30;610;880;260;220
317;Male;Total persons;Caribbean Netherlands;2022;11300;8350;1110;7250;2940;270;2680;220;0;2450;170;2290;0;600;1090;410;200
318;Male;Total persons;Bonaire;2012;6870;4820;1100;3730;2040;290;1750;360;20;1370;40;1330;10;390;580;140;210
319;Male;Total persons;Bonaire;2014;7640;5500;1400;4100;2150;340;1810;180;90;1550;10;1530;30;460;710;160;180
320;Male;Total persons;Bonaire;2016;8050;5800;500;5300;2240;410;1830;240;0;1600;60;1540;0;550;610;240;140
321;Male;Total persons;Bonaire;2018;8000;5990;810;5180;2010;210;1800;240;20;1550;50;1500;20;470;660;200;160
322;Male;Total persons;Bonaire;2020;8610;6330;1110;5220;2280;280;2000;250;70;1680;60;1620;30;450;710;230;200
323;Male;Total persons;Bonaire;2022;9230;6890;1010;5890;2340;210;2130;150;0;1980;150;1830;0;440;900;360;140
324;Male;Total persons;St. Eustatius;2012;1670;1240;160;1080;430;40;390;50;10;330;0;330;0;150;130;20;40
325;Male;Total persons;St. Eustatius;2014;1830;1300;260;1040;530;140;390;160;10;230;30;200;0;70;70;50;10
326;Male;Total persons;St. Eustatius;2016;1270;850;110;740;420;80;340;80;10;260;20;240;10;80;110;30;20
327;Male;Total persons;St. Eustatius;2018;1360;1010;120;890;350;50;300;70;0;230;10;220;0;100;100;10;10
328;Male;Total persons;St. Eustatius;2020;1260;900;70;840;360;20;340;80;0;260;10;250;0;110;130;0;20
329;Male;Total persons;St. Eustatius;2022;1290;940;40;900;350;40;310;70;0;240;10;230;0;70;90;30;40
330;Male;Total persons;Saba;2012;870;560;160;390;320;30;290;30;10;260;10;250;10;160;60;20;0
331;Male;Total persons;Saba;2014;750;450;90;360;290;20;280;20;0;260;0;260;10;190;60;10;0
332;Male;Total persons;Saba;2016;790;510;60;440;280;10;270;30;0;240;10;240;0;130;70;30;20
333;Male;Total persons;Saba;2018;870;580;80;500;290;10;280;10;0;270;0;270;0;170;70;30;0
334;Male;Total persons;Saba;2020;760;580;100;480;180;10;170;40;0;130;0;130;0;50;50;20;0
335;Male;Total persons;Saba;2022;770;520;60;460;250;10;240;0;0;230;10;220;0;90;100;10;30
336;Male;Age: 15 to 24 years;Caribbean Netherlands;2012;1400;570;150;420;830;80;750;90;10;650;10;640;0;550;0;0;90
337;Male;Age: 15 to 24 years;Caribbean Netherlands;2014;1310;460;220;250;850;80;770;60;30;680;20;660;0;600;0;30;40
338;Male;Age: 15 to 24 years;Caribbean Netherlands;2016;1400;470;120;350;930;150;780;30;0;740;0;740;0;690;0;10;40
339;Male;Age: 15 to 24 years;Caribbean Netherlands;2018;1490;640;100;540;850;50;790;120;0;670;30;640;0;620;0;0;20
340;Male;Age: 15 to 24 years;Caribbean Netherlands;2020;1410;600;220;390;810;80;730;110;20;610;20;600;0;580;0;20;0
341;Male;Age: 15 to 24 years;Caribbean Netherlands;2022;1230;500;60;450;730;60;670;80;0;590;20;570;0;540;0;0;30
342;Male;Age: 15 to 24 years;Bonaire;2012;1000;430;90;340;570;70;510;60;0;450;10;440;0;360;0;0;80
343;Male;Age: 15 to 24 years;Bonaire;2014;980;360;200;150;620;50;570;30;30;510;10;500;0;450;0;30;30
344;Male;Age: 15 to 24 years;Bonaire;2016;1120;410;100;310;710;120;590;20;0;570;0;570;0;530;0;10;30
345;Male;Age: 15 to 24 years;Bonaire;2018;1150;520;100;430;630;40;590;90;0;490;30;460;0;450;0;0;20
346;Male;Age: 15 to 24 years;Bonaire;2020;1130;500;190;310;630;60;570;80;10;480;10;470;0;450;0;20;0
347;Male;Age: 15 to 24 years;Bonaire;2022;950;430;60;380;520;40;470;40;0;440;10;420;0;410;0;0;10
348;Male;Age: 15 to 24 years;St. Eustatius;2012;210;50;20;30;160;0;160;20;10;130;0;130;0;110;0;0;20
349;Male;Age: 15 to 24 years;St. Eustatius;2014;190;60;10;50;140;20;120;20;10;80;0;80;0;70;0;0;10
350;Male;Age: 15 to 24 years;St. Eustatius;2016;140;20;0;20;120;30;90;10;0;90;0;90;0;80;0;0;10
351;Male;Age: 15 to 24 years;St. Eustatius;2018;210;70;0;70;140;10;120;20;0;100;0;100;0;100;0;0;10
352;Male;Age: 15 to 24 years;St. Eustatius;2020;190;60;10;50;130;20;110;0;0;110;10;100;0;100;0;0;0
353;Male;Age: 15 to 24 years;St. Eustatius;2022;200;60;0;60;140;10;130;40;0;90;0;90;0;70;0;0;10
354;Male;Age: 15 to 24 years;Saba;2012;180;80;40;50;100;10;90;10;10;70;0;70;0;70;0;0;0
355;Male;Age: 15 to 24 years;Saba;2014;140;50;10;40;90;0;90;10;0;80;0;80;0;80;0;0;0
356;Male;Age: 15 to 24 years;Saba;2016;140;50;10;30;100;10;90;0;0;90;0;90;0;90;0;0;0
357;Male;Age: 15 to 24 years;Saba;2018;130;50;0;40;80;0;80;10;0;80;0;80;0;80;0;0;0
358;Male;Age: 15 to 24 years;Saba;2020;100;40;10;30;60;0;50;30;0;30;0;30;0;30;0;0;0
359;Male;Age: 15 to 24 years;Saba;2022;80;10;0;10;70;0;70;0;0;70;10;70;0;60;0;0;10
360;Male;Age: 25 to 44 years;Caribbean Netherlands;2012;3640;3060;580;2480;590;160;430;190;10;230;30;200;0;150;0;20;30
361;Male;Age: 25 to 44 years;Caribbean Netherlands;2014;4020;3510;820;2690;510;150;370;100;60;210;20;190;0;120;0;50;30
362;Male;Age: 25 to 44 years;Caribbean Netherlands;2016;3780;3290;220;3070;500;230;270;130;0;140;20;130;0;60;0;20;50
363;Male;Age: 25 to 44 years;Caribbean Netherlands;2018;3640;3220;500;2720;420;100;320;90;20;210;0;210;0;110;0;40;60
364;Male;Age: 25 to 44 years;Caribbean Netherlands;2020;3870;3460;490;2970;410;140;270;90;0;170;10;160;20;30;0;60;60
365;Male;Age: 25 to 44 years;Caribbean Netherlands;2022;4380;3980;760;3220;400;120;290;70;0;210;70;140;0;60;0;10;80
366;Male;Age: 25 to 44 years;Bonaire;2012;2620;2220;450;1770;400;130;270;150;10;100;30;70;0;30;0;20;30
367;Male;Age: 25 to 44 years;Bonaire;2014;3000;2710;660;2050;290;110;180;40;60;90;0;90;0;10;0;50;30
368;Male;Age: 25 to 44 years;Bonaire;2016;2980;2630;160;2470;350;190;160;80;0;80;20;70;0;20;0;20;30
369;Male;Age: 25 to 44 years;Bonaire;2018;2790;2520;390;2120;270;70;200;70;20;110;0;110;0;10;0;40;60
370;Male;Age: 25 to 44 years;Bonaire;2020;3100;2790;400;2390;310;140;170;40;0;140;10;120;20;0;0;50;60
371;Male;Age: 25 to 44 years;Bonaire;2022;3640;3340;700;2640;300;90;210;50;0;160;70;90;0;20;0;0;70
372;Male;Age: 25 to 44 years;St. Eustatius;2012;650;580;60;520;80;10;60;30;0;30;0;30;0;30;0;0;10
373;Male;Age: 25 to 44 years;St. Eustatius;2014;720;610;110;500;110;30;80;60;0;20;20;0;0;0;0;0;0
374;Male;Age: 25 to 44 years;St. Eustatius;2016;500;420;40;380;70;40;40;30;0;10;0;10;0;0;0;0;10
375;Male;Age: 25 to 44 years;St. Eustatius;2018;470;440;60;370;40;20;20;10;0;0;0;0;0;0;0;0;0
376;Male;Age: 25 to 44 years;St. Eustatius;2020;450;390;30;360;60;0;60;50;0;10;0;10;0;0;0;0;0
377;Male;Age: 25 to 44 years;St. Eustatius;2022;420;380;30;350;50;20;20;10;0;10;0;10;0;0;0;10;10
378;Male;Age: 25 to 44 years;Saba;2012;370;260;70;190;110;10;100;10;0;90;0;90;0;90;0;0;0
379;Male;Age: 25 to 44 years;Saba;2014;300;200;50;140;110;10;100;0;0;100;0;100;0;100;0;0;0
380;Male;Age: 25 to 44 years;Saba;2016;310;240;20;220;70;10;70;20;0;50;0;50;0;40;0;0;10
381;Male;Age: 25 to 44 years;Saba;2018;380;270;40;230;110;10;100;0;0;100;0;100;0;90;0;10;0
382;Male;Age: 25 to 44 years;Saba;2020;320;280;60;230;40;0;40;10;0;30;0;30;0;30;0;0;0
383;Male;Age: 25 to 44 years;Saba;2022;320;270;30;230;60;10;50;0;0;50;0;40;0;30;0;0;10
384;Male;Age: 25 to 34 years;Caribbean Netherlands;2012;1730;1350;300;1050;380;80;300;90;10;190;30;160;0;140;0;20;10
385;Male;Age: 25 to 34 years;Caribbean Netherlands;2014;2100;1680;440;1250;420;130;290;60;30;190;20;170;0;110;0;30;30
386;Male;Age: 25 to 34 years;Caribbean Netherlands;2016;1990;1710;70;1640;280;120;160;60;0;110;20;90;0;60;0;20;10
387;Male;Age: 25 to 34 years;Caribbean Netherlands;2018;1700;1430;250;1170;270;80;190;70;20;110;0;110;0;90;0;10;20
388;Male;Age: 25 to 34 years;Caribbean Netherlands;2020;1830;1620;240;1380;210;70;130;50;0;90;0;90;0;30;0;40;20
389;Male;Age: 25 to 34 years;Caribbean Netherlands;2022;2210;1990;520;1460;220;30;190;60;0;130;50;80;0;30;0;0;50
390;Male;Age: 25 to 34 years;Bonaire;2012;1200;990;260;730;210;60;150;60;10;70;30;50;0;30;0;20;0
391;Male;Age: 25 to 34 years;Bonaire;2014;1560;1320;330;990;240;100;140;40;30;70;0;70;0;10;0;30;30
392;Male;Age: 25 to 34 years;Bonaire;2016;1580;1410;40;1370;170;80;90;40;0;50;20;40;0;20;0;20;0
393;Male;Age: 25 to 34 years;Bonaire;2018;1240;1090;200;890;150;50;100;60;20;20;0;20;0;0;0;0;20
394;Male;Age: 25 to 34 years;Bonaire;2020;1420;1270;180;1100;140;70;70;20;0;50;0;50;0;0;0;30;20
395;Male;Age: 25 to 34 years;Bonaire;2022;1850;1690;480;1220;160;20;140;50;0;90;50;40;0;0;0;0;40
396;Male;Age: 25 to 34 years;St. Eustatius;2012;280;220;10;210;70;10;50;20;0;30;0;30;0;30;0;0;10
397;Male;Age: 25 to 34 years;St. Eustatius;2014;350;270;80;200;80;30;50;30;0;20;20;0;0;0;0;0;0
398;Male;Age: 25 to 34 years;St. Eustatius;2016;240;190;20;170;50;40;20;10;0;10;0;10;0;0;0;0;10
399;Male;Age: 25 to 34 years;St. Eustatius;2018;220;190;30;170;20;10;10;10;0;0;0;0;0;0;0;0;0
400;Male;Age: 25 to 34 years;St. Eustatius;2020;210;180;30;160;30;0;30;30;0;10;0;10;0;0;0;0;0
401;Male;Age: 25 to 34 years;St. Eustatius;2022;160;130;30;110;20;10;10;10;0;0;0;0;0;0;0;0;0
402;Male;Age: 25 to 34 years;Saba;2012;250;150;40;110;100;10;90;10;0;80;0;80;0;80;0;0;0
403;Male;Age: 25 to 34 years;Saba;2014;200;90;30;60;110;10;100;0;0;100;0;100;0;100;0;0;0
404;Male;Age: 25 to 34 years;Saba;2016;170;100;10;100;60;10;60;10;0;50;0;50;0;40;0;0;10
405;Male;Age: 25 to 34 years;Saba;2018;250;150;30;120;100;10;90;0;0;90;0;90;0;80;0;10;0
406;Male;Age: 25 to 34 years;Saba;2020;200;170;40;130;30;0;30;10;0;20;0;20;0;20;0;0;0
407;Male;Age: 25 to 34 years;Saba;2022;200;160;20;140;40;0;40;0;0;40;0;30;0;30;0;0;10
408;Male;Age: 35 to 44 years;Caribbean Netherlands;2012;1910;1700;280;1430;210;70;140;100;0;40;0;40;0;10;0;0;30
409;Male;Age: 35 to 44 years;Caribbean Netherlands;2014;1920;1830;390;1440;90;10;80;30;30;20;0;20;0;0;0;20;0
410;Male;Age: 35 to 44 years;Caribbean Netherlands;2016;1790;1580;150;1430;210;110;100;70;0;40;0;40;0;0;0;0;40
411;Male;Age: 35 to 44 years;Caribbean Netherlands;2018;1940;1790;250;1550;150;20;130;20;0;110;0;110;0;30;0;40;40
412;Male;Age: 35 to 44 years;Caribbean Netherlands;2020;2040;1840;250;1590;200;70;130;40;0;90;10;80;20;0;0;20;40
413;Male;Age: 35 to 44 years;Caribbean Netherlands;2022;2180;2000;240;1750;180;90;100;0;0;90;20;70;0;30;0;10;30
